id	2c298a08-f047-49c0-8e69-cec2187caddf	8e08141b-7a0a-4a93-b9f1-0479b423c4b0
102466659	0.0	0.0
26999	1254.0	7932.0
403273	0.0	0.0
102466658	1.0	2.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	15.0
106481460	0.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2298.0	2736.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	3.0	2.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	78.0	519.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1899.0	1718.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	17.0	12.0
106481437	0.0	0.0
26974	441.0	511.0
153657	46.0	54.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1451.0	1502.0
165631	16.0	43.0
106481436	0.0	1.0
26978	15.0	21.0
126075	2374.0	1858.0
106481439	0.0	0.0
403250	0.0	0.0
126074	462.0	460.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3773.0	2708.0
106481444	1.0	4.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	629.0	1050.0
85354	0.0	0.0
85352	210.0	725.0
403241	0.0	0.0
344462	5.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	1168.0	855.0
153643	2.0	6.0
403247	0.0	0.0
403248	0.0	0.0
26985	7242.0	4791.0
106481448	0.0	0.0
26986	80009.0	128272.0
126069	219.0	351.0
106481449	0.0	0.0
126068	873.0	664.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1121.0	998.0
106481447	0.0	0.0
106481451	3.0	6.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	43.0	66.0
106481455	1.0	0.0
85349	56.0	23.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	4.0
85347	0.0	0.0
26980	12.0	8.0
106481454	0.0	0.0
403238	0.0	0.0
85344	6.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	4.0	2.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	0.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	5830.0	5898.0
100873390	0.0	0.0
728556	119.0	86.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	127.0	131.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	332.0	371.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	13.0	147.0
100873380	0.0	2.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	158.0	223.0
100873384	0.0	0.0
285601	21.0	1.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	2.0
63910	16.0	87.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1205.0	1663.0
222008	667.0	43.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5516.0	3455.0
63904	0.0	0.0
106481430	2.0	0.0
163071	29.0	16.0
63906	892.0	891.0
106481433	0.0	0.0
63908	925.0	878.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	1.0
285613	149.0	136.0
63920	749.0	688.0
63923	15.0	917.0
63922	276.0	697.0
728577	58.0	50.0
63925	1583.0	2382.0
63924	9.0	22.0
63916	6540.0	7982.0
63917	8856.0	5576.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	5.0
728564	2.0	7.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1862.0	1449.0
106481402	1.0	1.0
63931	2998.0	2550.0
106481403	1.0	1.0
63934	734.0	862.0
728567	5.0	2.0
106481408	1.0	0.0
163088	5.0	2.0
63933	3432.0	2638.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4096.0	4096.0
163087	1123.0	839.0
728568	475.0	515.0
106481407	19.0	14.0
3704	1487.0	1491.0
3705	8923.0	6657.0
63926	896.0	984.0
3706	28.0	20.0
63929	1400.0	1669.0
3707	6232.0	9274.0
63928	44.0	47.0
3708	4544.0	14020.0
106481411	1.0	0.0
3709	4685.0	9499.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	12.0	11.0
3702	93.0	160.0
3703	19993.0	19940.0
645506	0.0	0.0
151050	2250.0	1511.0
645520	0.0	0.0
63941	8470.0	5760.0
63940	495.0	656.0
63943	342.0	292.0
728517	0.0	0.0
163033	483.0	614.0
258010	6246.0	4063.0
63947	0.0	0.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	8677.0	13134.0
100033804	0.0	0.0
3717	1317.0	1206.0
100033805	0.0	0.0
3718	139.0	348.0
63939	2039.0	1626.0
100033806	0.0	0.0
100190799	3.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	155.0	154.0
3710	3911.0	13427.0
3712	17544.0	15790.0
3713	1.0	6.0
3714	2218.0	1614.0
63950	2.0	1.0
728505	1.0	1.0
63951	1369.0	631.0
100033807	0.0	0.0
728501	52.0	26.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	2937.0	5316.0
100033814	0.0	0.0
3727	4377.0	4051.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	8.0
3728	22675.0	30562.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1582.0	3222.0
151056	227.0	255.0
3725	13573.0	20103.0
645528	0.0	0.0
728532	51.0	48.0
163059	469.0	427.0
728538	1.0	0.0
728537	40.0	134.0
63967	62.0	170.0
3737	22.0	11.0
3738	20.0	40.0
3739	3.0	15.0
645538	0.0	0.0
3730	2671.0	1648.0
3732	5262.0	3740.0
3734	56.0	106.0
3735	8075.0	8395.0
3736	0.0	1.0
63970	347.0	20.0
3750	98.0	303.0
63971	8340.0	8511.0
63974	0.0	0.0
163049	2859.0	3124.0
63973	0.0	0.0
63976	34.0	102.0
222068	14161.0	11988.0
63978	0.0	0.0
63977	587.0	902.0
63979	822.0	763.0
728524	0.0	0.0
3748	159.0	389.0
163051	61.0	54.0
3749	517.0	499.0
163050	97.0	99.0
3741	1.0	9.0
645548	6.0	4.0
3743	1.0	5.0
3744	0.0	0.0
3745	337.0	389.0
3746	16.0	23.0
3747	2275.0	898.0
285671	1348.0	946.0
285672	2429.0	1498.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	371.0	389.0
285676	223.0	115.0
3761	0.0	0.0
100128657	0.0	0.0
285679	3.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	282.0	310.0
283008	1.0	1.0
3751	9.0	45.0
100873435	0.0	0.0
3752	6482.0	7976.0
100873434	0.0	0.0
3753	4.0	1.0
100873433	0.0	1.0
3754	12.0	6.0
100873432	0.0	0.0
3755	241.0	343.0
100873439	0.0	0.0
3756	23.0	21.0
100873438	0.0	0.0
3757	444.0	1345.0
100873437	0.0	0.0
3758	4.0	3.0
100873436	0.0	0.0
100873420	1.0	1.0
3770	93.0	120.0
3772	249.0	85.0
100861458	0.0	0.0
100861453	10.0	6.0
100861455	0.0	0.0
1107	19529.0	29821.0
1106	6775.0	11012.0
1105	2420.0	3219.0
1104	1181.0	3242.0
100873429	0.0	0.0
1103	0.0	10.0
1102	2390.0	1563.0
1101	53.0	56.0
3762	668.0	453.0
100873424	0.0	0.0
3763	427.0	25.0
100128640	202.0	351.0
100873423	0.0	0.0
3764	462.0	709.0
100873422	0.0	0.0
3765	3.0	3.0
100873421	0.0	0.0
3766	24.0	29.0
100873428	0.0	0.0
3767	632.0	1145.0
100873427	0.0	0.0
3768	43.0	330.0
1109	0.0	1.0
100873426	0.0	0.0
1108	10808.0	20937.0
3769	10.0	12.0
100873425	0.0	0.0
100128637	5.0	0.0
100128639	0.0	0.0
3780	14.0	20.0
100873453	0.0	0.0
3781	1766.0	1366.0
100873452	0.0	0.0
3782	289.0	369.0
100873451	0.0	0.0
3783	2993.0	9503.0
100873450	0.0	0.0
1121	2711.0	2415.0
100861468	0.0	0.0
1120	115.0	161.0
100861469	0.0	0.0
1118	25.0	138.0
1117	195.0	47.0
1116	38.0	303.0
1114	142.0	359.0
1113	221.0	2068.0
1112	5862.0	9220.0
1111	501.0	529.0
3773	3.0	4.0
100873457	1.0	4.0
100873456	0.0	0.0
3775	547.0	1296.0
100873455	0.0	0.0
3776	7.0	177.0
100873454	0.0	0.0
3777	8027.0	2161.0
3778	4478.0	6245.0
3779	1419.0	2292.0
100873459	0.0	0.0
1119	3092.0	1994.0
100128627	3.0	1.0
100128626	1.0	0.0
3790	365.0	1889.0
100128628	8.0	6.0
3791	1543.0	1799.0
100873442	0.0	0.0
3792	49.0	10.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	4.0
1131	168.0	3641.0
1130	1792.0	2298.0
100861476	1.0	0.0
1129	46.0	23.0
1128	17865.0	4784.0
1124	896.0	4109.0
1123	656.0	491.0
1122	901.0	1583.0
100861470	0.0	0.0
3784	1035.0	2555.0
100873446	0.0	0.0
3785	91.0	27.0
100873445	0.0	0.0
3786	100.0	424.0
100873444	0.0	0.0
3787	247.0	155.0
100873443	0.0	0.0
3788	3.0	21.0
100873449	6.0	8.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	130.0	51.0
100128618	1.0	2.0
728597	1.0	6.0
100128617	3.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	740.0	199.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	5.0
285634	5.0	16.0
1142	0.0	0.0
1141	38.0	9.0
285636	3545.0	3321.0
1140	509.0	235.0
728599	5.0	7.0
1139	124.0	56.0
1138	300.0	154.0
1137	34.0	5.0
100861485	0.0	0.0
1136	34.0	36.0
1135	10601.0	7235.0
1134	2.0	14.0
1133	10.0	18.0
3795	195.0	265.0
100873479	9.0	23.0
3796	1652.0	1723.0
100873478	0.0	0.0
3797	497.0	1093.0
100873477	0.0	2.0
3798	36.0	65.0
100873476	0.0	0.0
3799	21839.0	25962.0
100873460	0.0	0.0
728586	24.0	29.0
285641	2.0	0.0
100873464	5.0	9.0
100873463	0.0	0.0
100873462	1.0	2.0
285643	0.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	646.0	838.0
1153	25797.0	25543.0
1152	45824.0	40925.0
285647	63.0	66.0
728589	9.0	13.0
728588	13.0	4.0
1149	0.0	1.0
1147	2372.0	2284.0
1146	2.0	2.0
1145	30.0	30.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	297.0	481.0
1163	888.0	405.0
285659	0.0	0.0
1161	512.0	406.0
1160	209.0	190.0
1159	150.0	210.0
1158	153.0	82.0
1157	0.0	0.0
1155	2630.0	3105.0
550643	2467.0	1780.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	1.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2255.0	2428.0
1175	6956.0	3630.0
285668	3.0	0.0
1174	4613.0	3061.0
1173	28432.0	25202.0
550631	190.0	98.0
100873489	0.0	0.0
283014	1.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	24.0	40.0
1186	3754.0	4088.0
1185	1241.0	1679.0
1184	498.0	768.0
1183	254.0	716.0
1182	14923.0	17129.0
1181	384.0	665.0
440375	73.0	130.0
1180	1.0	3.0
1179	0.0	0.0
1178	3.0	8.0
283089	17.0	17.0
85495	0.0	0.0
85480	256.0	115.0
283080	0.0	0.0
1198	3508.0	4165.0
1197	4.0	2.0
1196	1931.0	2539.0
1195	3004.0	3772.0
440366	1.0	0.0
1193	243.0	341.0
1192	27175.0	21114.0
1191	13638.0	19404.0
1188	29.0	28.0
283078	654.0	1321.0
85486	14.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	28.0	53.0
440396	40.0	44.0
128609	1.0	0.0
128602	1.0	3.0
440387	1.0	1.0
128674	0.0	0.0
128676	0.0	0.0
114026	1.0	2.0
100861402	1.0	2.0
126014	27.0	62.0
440335	317.0	1369.0
100128690	0.0	0.0
114034	1238.0	759.0
126006	51.0	32.0
114036	2.0	6.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	113.0	144.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	35.0
100128678	6.0	2.0
100861429	0.0	0.0
128653	0.0	0.0
200728	349.0	231.0
440356	7.0	3.0
440354	79.0	57.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	9.0	32.0
100873410	0.0	0.0
100873417	1.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	173.0	275.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	36.0	45.0
200734	3387.0	4706.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	11.0	47.0
100873402	0.0	0.0
100873401	0.0	4.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4377.0	4677.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	9.0	5.0
165530	27.0	24.0
85409	186.0	122.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	3.0	68.0
106481383	0.0	2.0
85417	31.0	50.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	271510.0	101532.0
106481389	0.0	0.0
85415	7413.0	10870.0
106481387	0.0	0.0
85413	3.0	15.0
106481388	4.0	9.0
645436	1.0	4.0
106481381	0.0	0.0
106481382	0.0	0.0
10	9.0	11.0
106481380	0.0	0.0
11	0.0	0.0
403341	752.0	961.0
12	7.0	42.0
13	0.0	0.0
14	12613.0	10528.0
15	2.0	4.0
16	13676.0	13941.0
645455	14.0	29.0
18	17111.0	6443.0
19	953.0	4684.0
128580	12.0	14.0
85407	311.0	728.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2505.0	2505.0
106481395	0.0	0.0
85403	4203.0	3661.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	1.0
20	4515.0	9466.0
106481390	0.0	0.0
21	4387.0	5706.0
106481391	0.0	0.0
22	1335.0	1921.0
153571	218.0	375.0
153572	411.0	668.0
23	5635.0	7430.0
24	11.0	81.0
25	7882.0	14103.0
26	7625.0	594.0
27	1967.0	3058.0
28	587.0	230.0
29	6355.0	7383.0
153579	151.0	69.0
728615	0.0	2.0
728614	0.0	0.0
200765	232.0	247.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	40.0	50.0
102466518	0.0	0.0
102466516	0.0	2.0
102466515	0.0	0.0
106481363	5.0	3.0
106481364	0.0	0.0
85438	3.0	22.0
106481361	0.0	0.0
85439	486.0	435.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	4362.0	3182.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	180.0	289.0
106481366	0.0	0.0
30	9321.0	5651.0
106481360	0.0	0.0
31	18047.0	25390.0
32	1236.0	2251.0
33	4103.0	535.0
34	4155.0	3445.0
35	1480.0	1098.0
153562	3277.0	5159.0
36	11519.0	7486.0
37	20136.0	11726.0
38	3129.0	4649.0
440307	12.0	18.0
39	7248.0	2541.0
165545	6.0	7.0
106481369	0.0	0.0
728606	902.0	984.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	1.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	105.0
106481370	0.0	0.0
41	938.0	1353.0
106481371	0.0	0.0
43	115.0	173.0
645486	1.0	0.0
47	39643.0	45040.0
48	4678.0	4718.0
49	11.0	19.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	0.0	5.0
106481340	0.0	0.0
85458	3381.0	3884.0
