id	456b4981-9f37-42ff-b056-883a19ebc7a9	363209a4-9d1d-450e-b9f4-e35400fd76f6
100873360	0.0	0.0
285540	185.0	77.0
100128705	1.0	4.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	537.0	22.0
100873362	0.0	0.0
100128701	4.0	5.0
1054	2710.0	2523.0
285547	0.0	0.0
1053	4.0	6.0
285548	2.0	3.0
1052	5891.0	1386.0
1051	2293.0	575.0
728489	7.0	18.0
1050	1993.0	1258.0
100128707	0.0	0.0
1048	124.0	2.0
1047	4967.0	4420.0
1046	2.0	1.0
1045	299.0	11.0
100873369	5.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	707.0	100.0
1063	118.0	2859.0
1062	95.0	825.0
1061	7.0	6.0
1060	2093.0	1327.0
440253	155.0	27.0
1059	5724.0	3429.0
1058	12.0	260.0
1057	0.0	4.0
85379	6439.0	7138.0
114112	581.0	636.0
1056	83.0	26.0
85377	3583.0	1880.0
85378	3052.0	3888.0
128745	0.0	1.0
85376	15.0	9.0
440248	453.0	464.0
1075	2172.0	946.0
1074	22.0	11.0
1073	7427.0	2188.0
1072	33183.0	29601.0
1071	32.0	30.0
440243	0.0	0.0
1070	1006.0	524.0
1069	3971.0	3010.0
1068	0.0	2.0
85369	2420.0	1427.0
85366	0.0	5.0
85364	1534.0	1019.0
85365	5399.0	5232.0
85363	2464.0	1728.0
85360	1303.0	262.0
1080	2224.0	126.0
85391	1.0	18.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	2.0
1088	2.0	12.0
153733	880.0	1534.0
1087	16.0	9.0
1086	0.0	1.0
440279	4.0	18.0
1085	2.0	1.0
1084	11.0	14.0
440278	87.0	181.0
1082	0.0	0.0
403294	0.0	0.0
440275	8058.0	7299.0
1081	20.0	4.0
85397	1.0	1.0
85395	492.0	476.0
403285	0.0	0.0
1091	1.0	5.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	2.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	1.0
1094	0.0	0.0
1093	0.0	1.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	6.0
440270	265.0	1220.0
1089	12.0	14.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	97.0	21.0
285598	572.0	143.0
126133	1622.0	1303.0
128790	0.0	1.0
126129	164.0	96.0
126123	29.0	5.0
442862	0.0	0.0
126119	1001.0	687.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	1.0
442893	0.0	5.0
442894	0.0	0.0
442895	0.0	0.0
114131	6.0	6.0
442896	0.0	0.0
114132	50.0	40.0
442897	0.0	1.0
442898	1.0	1.0
114134	719.0	1594.0
442899	0.0	0.0
100128790	0.0	1.0
128760	3.0	2.0
100128788	143.0	286.0
100128787	0.0	0.0
440225	0.0	0.0
440224	15.0	6.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	0.0	4.0
100128782	771.0	683.0
100128781	2.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	2.0
645560	3.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	3.0	28.0
102466616	0.0	0.0
126052	0.0	0.0
151009	57.0	41.0
403227	0.0	0.0
403228	0.0	0.0
138046	7.0	15.0
645558	0.0	0.0
403229	0.0	3.0
645573	0.0	1.0
645572	0.0	0.0
645571	49.0	17.0
403223	0.0	2.0
403224	0.0	0.0
403226	0.0	0.0
200634	2753.0	2062.0
107131122	0.0	1.0
138050	7995.0	3911.0
403219	0.0	0.0
151011	6177.0	1897.0
645587	1.0	1.0
165679	3966.0	33.0
126037	53.0	28.0
114049	4602.0	5278.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	65.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1039.0	306.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	2.0
85313	2236.0	1515.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	154.0	159.0
100033820	0.0	0.0
106481480	0.0	3.0
106481481	0.0	0.0
138065	12.0	32.0
645598	0.0	4.0
163007	3.0	5.0
114038	3.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	62.0	0.0
106481496	0.0	0.0
114042	3.0	5.0
106481493	0.0	0.0
114043	0.0	5.0
106481494	0.0	0.0
106481499	0.0	1.0
114044	202.0	366.0
126017	2619.0	494.0
106481497	0.0	4.0
106481498	0.0	2.0
85303	0.0	0.0
85300	270.0	50.0
85301	1277.0	259.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	7.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	5146.0	5126.0
106481459	0.0	0.0
26994	10471.0	6137.0
106481457	7.0	15.0
26995	3020.0	5133.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	1.0
403272	0.0	1.0
102466659	0.0	0.0
26999	1537.0	4089.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	0.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2381.0	2313.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	1.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	1.0
403266	0.0	0.0
138009	0.0	305.0
106481468	0.0	0.0
106481469	0.0	1.0
403260	0.0	2.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	7.0	3.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	0.0
106481475	0.0	2.0
106481476	0.0	0.0
85320	156.0	195.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1483.0	1510.0
403255	0.0	3.0
403256	0.0	3.0
403257	0.0	0.0
344471	11.0	15.0
106481437	0.0	0.0
26974	404.0	794.0
153657	53.0	142.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1425.0	3112.0
165631	46.0	36.0
106481436	0.0	1.0
26978	11.0	13.0
126075	1843.0	2507.0
106481439	0.0	1.0
403250	0.0	0.0
126074	374.0	349.0
403251	0.0	2.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3389.0	2668.0
106481444	2.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1797.0	1198.0
85354	0.0	0.0
85352	371.0	22.0
403241	0.0	17.0
344462	3.0	5.0
403244	0.0	0.0
403245	0.0	0.0
153642	998.0	396.0
153643	7.0	19.0
403247	0.0	0.0
403248	0.0	0.0
26985	5888.0	5267.0
106481448	0.0	0.0
26986	64383.0	324044.0
126069	167.0	205.0
106481449	0.0	0.0
126068	855.0	995.0
106481446	0.0	0.0
26983	0.0	7.0
26984	1203.0	680.0
106481447	0.0	0.0
106481451	3.0	5.0
106481452	0.0	1.0
106481450	0.0	0.0
114088	81.0	21.0
106481455	0.0	0.0
85349	36.0	0.0
106481456	2.0	0.0
26982	0.0	1.0
106481453	1.0	2.0
85347	0.0	0.0
26980	8.0	19.0
106481454	1.0	0.0
403238	0.0	1.0
85344	9.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	15.0	14.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	3.0
100873392	3.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	1.0
100873395	0.0	0.0
100128811	2.0	7.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	1.0
106481414	1.0	0.0
63901	5284.0	3907.0
100873390	0.0	1.0
728556	113.0	204.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	94.0	138.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	1.0
163081	476.0	525.0
106481423	0.0	0.0
106481420	0.0	1.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	31.0	11.0
100873380	0.0	1.0
100128804	0.0	1.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	4.0
285600	142.0	137.0
100873384	1.0	0.0
285601	78.0	4.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	4.0	4.0
63910	63.0	51.0
106481424	0.0	2.0
106481425	0.0	0.0
285605	587.0	1062.0
222008	55.0	267.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5455.0	2951.0
63904	0.0	1.0
106481430	1.0	6.0
163071	19.0	24.0
63906	842.0	666.0
106481433	0.0	0.0
63908	910.0	700.0
106481434	0.0	2.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	15.0
285613	199.0	374.0
63920	434.0	842.0
63923	4.0	8.0
63922	375.0	923.0
728577	59.0	7.0
63925	1427.0	1628.0
63924	11.0	16.0
63916	5769.0	3839.0
63917	6632.0	4894.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	4.0
728564	1.0	3.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1781.0	1016.0
106481402	0.0	0.0
63931	2675.0	2022.0
106481403	0.0	3.0
63934	502.0	1298.0
728567	3.0	0.0
106481408	0.0	0.0
163088	7.0	17.0
63933	3586.0	3901.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3539.0	1504.0
163087	889.0	862.0
728568	475.0	471.0
106481407	14.0	16.0
3704	2250.0	1758.0
3705	9455.0	4504.0
63926	784.0	822.0
3706	27.0	19.0
63929	1093.0	1800.0
3707	5775.0	3485.0
63928	672.0	16.0
3708	5179.0	963.0
106481411	0.0	4.0
3709	3293.0	762.0
106481412	0.0	1.0
106481410	0.0	0.0
3700	18.0	5.0
3702	231.0	74.0
3703	14565.0	14335.0
645506	0.0	1.0
151050	1847.0	1776.0
645520	0.0	0.0
63941	5665.0	4181.0
63940	814.0	212.0
63943	289.0	382.0
728517	0.0	0.0
163033	523.0	512.0
258010	5214.0	3923.0
63947	0.0	0.0
63946	0.0	60.0
728513	0.0	0.0
100033803	0.0	0.0
3716	9514.0	7514.0
100033804	0.0	0.0
3717	1344.0	1038.0
100033805	0.0	0.0
3718	358.0	140.0
63939	2119.0	1282.0
100033806	0.0	0.0
100190799	2.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	133.0	94.0
3710	3704.0	1168.0
3712	12005.0	14252.0
3713	79.0	4.0
3714	2395.0	1580.0
63950	3.0	1.0
728505	0.0	0.0
63951	791.0	1084.0
100033807	0.0	0.0
728501	45.0	29.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	16884.0	1580.0
100033814	0.0	0.0
3727	8984.0	8153.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	1.0
3728	16878.0	12166.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1245.0	1504.0
151056	274.0	122.0
3725	13667.0	10177.0
645528	0.0	1.0
728532	33.0	21.0
163059	502.0	493.0
728538	1.0	1.0
728537	82.0	108.0
63967	22.0	264.0
3737	17.0	1.0
3738	45.0	15.0
3739	4.0	1.0
645538	0.0	0.0
3730	1853.0	1358.0
3732	5005.0	2702.0
3734	90.0	12.0
3735	7487.0	3793.0
3736	0.0	0.0
63970	96.0	31.0
3750	120.0	48.0
63971	6468.0	3356.0
63974	0.0	0.0
163049	2635.0	2540.0
63973	0.0	0.0
63976	107.0	42.0
222068	10440.0	9670.0
63978	0.0	9.0
63977	533.0	692.0
63979	611.0	981.0
728524	0.0	0.0
3748	405.0	294.0
163051	34.0	45.0
3749	623.0	231.0
163050	83.0	94.0
3741	7.0	45.0
645548	4.0	5.0
3743	6.0	1.0
3744	0.0	1.0
3745	411.0	114.0
3746	14.0	22.0
3747	578.0	1358.0
285671	1159.0	300.0
285672	2473.0	908.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	534.0	131.0
285676	191.0	72.0
3761	1.0	9.0
100128657	0.0	1.0
285679	1.0	57.0
100861449	0.0	2.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	532.0	747.0
283008	21.0	26.0
3751	60.0	989.0
100873435	0.0	0.0
3752	3195.0	3452.0
100873434	0.0	0.0
3753	1.0	6.0
100873433	0.0	0.0
3754	24.0	0.0
100873432	0.0	0.0
3755	340.0	307.0
100873439	0.0	1.0
3756	25.0	32.0
100873438	0.0	0.0
3757	1440.0	980.0
100873437	0.0	0.0
3758	5.0	2.0
100873436	0.0	0.0
100873420	7.0	0.0
3770	84.0	266.0
3772	555.0	11.0
100861458	1.0	1.0
100861453	12.0	8.0
100861455	0.0	0.0
1107	21121.0	21121.0
1106	6353.0	6392.0
1105	2287.0	1528.0
1104	1543.0	4156.0
100873429	0.0	0.0
1103	1.0	0.0
1102	2780.0	373.0
1101	91.0	8.0
3762	624.0	271.0
100873424	0.0	0.0
3763	291.0	103.0
100128640	179.0	279.0
100873423	0.0	0.0
3764	1001.0	238.0
100873422	0.0	1.0
3765	3.0	3.0
100873421	0.0	0.0
3766	4.0	34.0
100873428	0.0	0.0
3767	346.0	1207.0
100873427	0.0	0.0
3768	84.0	10.0
1109	0.0	0.0
100873426	0.0	1.0
1108	9065.0	10742.0
3769	10.0	3.0
100873425	0.0	0.0
100128637	1.0	4.0
100128639	0.0	2.0
3780	13.0	41.0
100873453	0.0	0.0
3781	4407.0	11926.0
100873452	0.0	0.0
3782	435.0	300.0
100873451	0.0	0.0
3783	2561.0	27.0
100873450	0.0	0.0
1121	2843.0	1395.0
100861468	0.0	0.0
1120	250.0	210.0
100861469	1.0	0.0
1118	102.0	58.0
1117	78.0	11.0
1116	413.0	69.0
1114	277.0	93.0
1113	1145.0	249.0
1112	5559.0	3189.0
1111	535.0	757.0
3773	173.0	23.0
100873457	1.0	2.0
100873456	0.0	1.0
3775	1276.0	297.0
100873455	0.0	0.0
3776	112.0	3.0
100873454	0.0	0.0
3777	13159.0	378.0
3778	6786.0	1506.0
3779	3600.0	234.0
100873459	0.0	0.0
1119	2718.0	1719.0
100128627	0.0	1.0
100128626	0.0	0.0
3790	657.0	678.0
100128628	4.0	0.0
3791	3196.0	1403.0
100873442	0.0	1.0
3792	7.0	109.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	2.0
1131	213.0	25.0
1130	2109.0	1333.0
100861476	0.0	0.0
1129	109.0	3.0
1128	12761.0	4444.0
1124	497.0	217.0
1123	835.0	547.0
1122	424.0	458.0
100861470	0.0	2.0
3784	2215.0	1874.0
100873446	0.0	0.0
3785	33.0	88.0
100873445	0.0	0.0
3786	245.0	89.0
100873444	0.0	0.0
3787	213.0	0.0
100873443	0.0	0.0
3788	74.0	0.0
100873449	2.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	122.0	359.0
100128618	0.0	9.0
728597	2.0	2.0
100128617	3.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	347.0	3.0
100873473	1.0	0.0
100873472	0.0	0.0
1143	5.0	11.0
285634	5.0	2.0
1142	3.0	7.0
1141	14.0	0.0
285636	2838.0	3614.0
1140	450.0	349.0
728599	1.0	2.0
1139	158.0	6.0
1138	183.0	38.0
1137	29.0	1.0
100861485	0.0	1.0
1136	15.0	25.0
1135	7264.0	2567.0
1134	3.0	39.0
1133	7.0	20.0
3795	298.0	293.0
100873479	17.0	12.0
3796	1611.0	753.0
100873478	0.0	0.0
3797	1063.0	513.0
100873477	1.0	0.0
3798	66.0	57.0
100873476	0.0	0.0
3799	19099.0	17157.0
100873460	0.0	0.0
728586	48.0	13.0
285641	7.0	7.0
100873464	0.0	5.0
100873463	0.0	1.0
100873462	3.0	4.0
285643	2.0	5.0
100128603	0.0	1.0
100873461	0.0	0.0
1154	543.0	366.0
1153	21328.0	18618.0
1152	68906.0	10155.0
285647	40.0	33.0
728589	6.0	7.0
728588	3.0	7.0
1149	5.0	11.0
1147	2591.0	1619.0
1146	1.0	15.0
1145	39.0	77.0
1144	0.0	16.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	2.0
283033	0.0	2.0
100873469	0.0	1.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	3.0	2.0
100873494	0.0	0.0
1164	343.0	1367.0
1163	674.0	410.0
285659	0.0	2.0
1161	491.0	224.0
1160	257.0	34.0
1159	77.0	27.0
1158	180.0	142.0
1157	0.0	11.0
1155	2910.0	1720.0
550643	2039.0	1125.0
283025	1.0	2.0
100873499	0.0	0.0
100873498	0.0	1.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	1.0	3.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2670.0	2716.0
1175	4883.0	3902.0
285668	5.0	2.0
1174	4024.0	3153.0
1173	25547.0	10871.0
550631	176.0	361.0
100873489	0.0	0.0
283014	15.0	6.0
100873488	0.0	2.0
100873487	0.0	0.0
283093	0.0	1.0
283092	0.0	0.0
1187	95.0	31.0
1186	3767.0	3828.0
1185	1352.0	1036.0
1184	588.0	602.0
1183	464.0	674.0
1182	14547.0	12713.0
1181	304.0	631.0
440375	97.0	44.0
1180	15.0	39.0
1179	0.0	0.0
1178	6.0	0.0
283089	17.0	21.0
85495	0.0	0.0
85480	441.0	26.0
283080	0.0	0.0
1198	3445.0	2685.0
1197	1.0	19.0
1196	1960.0	1644.0
1195	5782.0	6101.0
440366	1.0	8.0
1193	784.0	206.0
1192	27434.0	11058.0
1191	47637.0	11458.0
1188	50.0	4.0
283078	1489.0	285.0
85486	3.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	53.0	18.0
440396	50.0	99.0
128609	0.0	0.0
128602	1.0	2.0
440387	0.0	2.0
128674	0.0	0.0
128676	0.0	1.0
114026	0.0	7.0
100861402	0.0	4.0
126014	112.0	63.0
440335	805.0	1577.0
100128690	0.0	0.0
114034	935.0	484.0
126006	51.0	69.0
114036	5.0	5.0
100128696	0.0	3.0
100128688	0.0	0.0
126003	91.0	118.0
100861412	1.0	0.0
105180390	1.0	3.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	31.0
100128678	2.0	3.0
100861429	0.0	1.0
128653	0.0	3.0
200728	326.0	296.0
440356	10.0	9.0
440354	48.0	32.0
440352	1.0	4.0
100873419	0.0	0.0
100873418	0.0	2.0
100873413	0.0	0.0
128646	1.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	8.0	26.0
100873410	0.0	0.0
100873417	3.0	1.0
100873416	0.0	1.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	200.0	147.0
100861435	0.0	0.0
100861436	0.0	2.0
440345	53.0	94.0
200734	2802.0	843.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	0.0
100873408	0.0	1.0
100873407	0.0	0.0
100861430	42.0	14.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	1.0
100128665	0.0	0.0
128637	5077.0	3295.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	1.0	7.0
165530	118.0	51.0
85409	171.0	54.0
106481385	1.0	1.0
106481386	0.0	0.0
85416	4.0	846.0
106481383	0.0	5.0
85417	17.0	57.0
106481384	0.0	0.0
103106903	5.0	0.0
85414	242029.0	101998.0
106481389	0.0	0.0
85415	8545.0	9735.0
106481387	0.0	0.0
85413	48.0	76.0
106481388	0.0	2.0
645436	0.0	4.0
106481381	0.0	1.0
106481382	0.0	0.0
10	8.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	677.0	1608.0
12	64.0	2.0
13	1.0	0.0
14	9402.0	7261.0
15	5.0	11.0
16	12076.0	6283.0
645455	2.0	2.0
18	9216.0	1196.0
19	881.0	760.0
128580	9.0	5.0
85407	549.0	104.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	1849.0	1678.0
106481395	0.0	0.0
85403	3395.0	2050.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	2.0	1.0
20	4641.0	9924.0
106481390	0.0	0.0
21	4134.0	5627.0
106481391	0.0	0.0
22	1366.0	1270.0
153571	287.0	551.0
153572	619.0	596.0
23	4839.0	5328.0
24	25.0	24.0
25	7404.0	8694.0
26	79105.0	57.0
27	1377.0	2266.0
28	1159.0	46.0
29	6889.0	5148.0
153579	176.0	358.0
728615	1.0	0.0
728614	0.0	0.0
200765	198.0	395.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	12.0	4.0
102466518	3.0	0.0
102466516	3.0	1.0
102466515	0.0	0.0
106481363	1.0	0.0
106481364	0.0	0.0
85438	0.0	3.0
106481361	0.0	4.0
85439	226.0	485.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3347.0	2882.0
106481368	0.0	2.0
106481365	0.0	1.0
728609	158.0	277.0
106481366	0.0	0.0
30	8955.0	4018.0
106481360	0.0	0.0
31	13712.0	96809.0
32	2196.0	806.0
33	3329.0	3509.0
34	3409.0	3981.0
35	1774.0	871.0
153562	2326.0	1216.0
36	7824.0	6297.0
37	21885.0	11779.0
38	3740.0	408.0
440307	21.0	33.0
39	6400.0	1355.0
165545	11.0	7.0
106481369	0.0	0.0
728606	633.0	18.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	7.0	14.0
106481370	0.0	0.0
41	283.0	477.0
106481371	0.0	0.0
43	308.0	29.0
645486	0.0	6.0
47	22274.0	24353.0
48	5065.0	3694.0
49	7.0	8.0
106481338	0.0	0.0
106481339	0.0	2.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	2.0	1.0
106481340	0.0	0.0
85458	5310.0	585.0
106481345	0.0	0.0
85459	813.0	1187.0
