id	0a4df4cc-74dd-4858-864b-b483e75b30f8	5d7766c6-e42f-4f85-9065-d8bcc54d7db9
285596	129.0	103.0
285598	491.0	287.0
126133	1509.0	1171.0
128790	0.0	0.0
126129	257.0	126.0
126123	14.0	5.0
442862	0.0	0.0
126119	1021.0	820.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	8.0	17.0
442896	0.0	0.0
114132	8.0	10.0
442897	0.0	0.0
442898	0.0	0.0
114134	521.0	570.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	4.0
100128788	93.0	102.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	505.0	600.0
100128781	0.0	5.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	4.0	1.0
102466616	0.0	0.0
126052	0.0	0.0
151009	75.0	69.0
403227	0.0	0.0
403228	0.0	0.0
138046	27.0	20.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	9.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2009.0	2783.0
107131122	0.0	0.0
138050	6589.0	7605.0
403219	0.0	0.0
151011	3134.0	2810.0
645587	0.0	0.0
165679	2144.0	1392.0
126037	30.0	46.0
114049	4410.0	5181.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1584.0	697.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1553.0	1686.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	150.0	195.0
100033820	0.0	0.0
106481480	0.0	2.0
106481481	0.0	0.0
138065	11.0	9.0
645598	0.0	0.0
163007	0.0	0.0
114038	0.0	2.0
645591	0.0	2.0
106481495	0.0	0.0
114041	2.0	5.0
106481496	0.0	0.0
114042	7.0	0.0
106481493	0.0	0.0
114043	2.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	138.0	187.0
126017	1983.0	2563.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	711.0	230.0
85301	1353.0	852.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2517.0	5727.0
106481459	0.0	0.0
26994	7684.0	6687.0
106481457	1.0	2.0
26995	2563.0	3535.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1239.0	1990.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	5.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2231.0	2543.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	2.0	0.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	83.0	107.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	777.0	1054.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	20.0
106481437	0.0	0.0
26974	235.0	317.0
153657	33.0	27.0
106481438	0.0	0.0
106481435	1.0	0.0
26973	1421.0	1541.0
165631	16.0	13.0
106481436	0.0	0.0
26978	8.0	9.0
126075	1888.0	2469.0
106481439	0.0	0.0
403250	0.0	0.0
126074	391.0	507.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3967.0	4084.0
106481444	0.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	867.0	615.0
85354	0.0	0.0
85352	1629.0	746.0
403241	2.0	0.0
344462	2.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	1130.0	1167.0
153643	6.0	8.0
403247	0.0	0.0
403248	0.0	0.0
26985	3937.0	4711.0
106481448	0.0	0.0
26986	67570.0	79855.0
126069	76.0	139.0
106481449	0.0	0.0
126068	366.0	452.0
106481446	0.0	0.0
26983	0.0	1.0
26984	777.0	920.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	59.0	36.0
106481455	1.0	0.0
85349	24.0	18.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	4.0
106481454	0.0	1.0
403238	0.0	0.0
85344	0.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	1.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	4.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	2.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	2.0
63901	2430.0	4817.0
100873390	0.0	0.0
728556	50.0	68.0
106481419	2.0	0.0
100128817	0.0	0.0
728558	69.0	52.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	295.0	350.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	21.0	53.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	97.0	106.0
100873384	0.0	0.0
285601	88.0	48.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	46.0	29.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	515.0	873.0
222008	4.0	212.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5011.0	4064.0
63904	0.0	0.0
106481430	0.0	0.0
163071	8.0	11.0
63906	910.0	801.0
106481433	0.0	0.0
63908	818.0	646.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	3.0
285613	82.0	90.0
63920	400.0	517.0
63923	20.0	20.0
63922	311.0	379.0
728577	50.0	103.0
63925	1380.0	1710.0
63924	137.0	6.0
63916	4911.0	6846.0
63917	5463.0	6621.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	8.0
728564	7.0	8.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1240.0	1439.0
106481402	0.0	0.0
63931	1981.0	2254.0
106481403	0.0	2.0
63934	370.0	436.0
728567	2.0	5.0
106481408	0.0	0.0
163088	3.0	6.0
63933	1955.0	2144.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3184.0	3214.0
163087	727.0	828.0
728568	388.0	498.0
106481407	32.0	20.0
3704	2224.0	2274.0
3705	9585.0	6432.0
63926	589.0	887.0
3706	48.0	13.0
63929	1021.0	1319.0
3707	8733.0	6830.0
63928	394.0	156.0
3708	3858.0	3693.0
106481411	0.0	0.0
3709	1851.0	3409.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	4.0	4.0
3702	58.0	98.0
3703	12246.0	22392.0
645506	1.0	0.0
151050	1210.0	1140.0
645520	0.0	0.0
63941	5414.0	6509.0
63940	409.0	296.0
63943	282.0	373.0
728517	0.0	0.0
163033	795.0	660.0
258010	2835.0	4558.0
63947	0.0	0.0
63946	0.0	1.0
728513	5.0	0.0
100033803	0.0	0.0
3716	7078.0	5387.0
100033804	0.0	0.0
3717	638.0	619.0
100033805	0.0	0.0
3718	166.0	157.0
63939	1192.0	1406.0
100033806	0.0	0.0
100190799	2.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	88.0	103.0
3710	2525.0	4554.0
3712	11706.0	16563.0
3713	0.0	0.0
3714	1898.0	1148.0
63950	2.0	2.0
728505	0.0	0.0
63951	462.0	985.0
100033807	0.0	0.0
728501	38.0	55.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	5318.0	27027.0
100033814	0.0	0.0
3727	13399.0	13533.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	17620.0	24522.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	861.0	1019.0
151056	206.0	229.0
3725	24328.0	31622.0
645528	0.0	0.0
728532	28.0	32.0
163059	279.0	366.0
728538	0.0	0.0
728537	37.0	50.0
63967	22.0	9.0
3737	18.0	5.0
3738	8.0	4.0
3739	5.0	4.0
645538	0.0	0.0
3730	1414.0	1564.0
3732	3797.0	4537.0
3734	33.0	26.0
3735	8037.0	10121.0
3736	4.0	0.0
63970	47.0	66.0
3750	205.0	74.0
63971	5273.0	5937.0
63974	0.0	0.0
163049	1702.0	2415.0
63973	0.0	0.0
63976	60.0	42.0
222068	9870.0	14090.0
63978	0.0	1.0
63977	495.0	544.0
63979	412.0	349.0
728524	0.0	0.0
3748	138.0	162.0
163051	76.0	70.0
3749	617.0	311.0
163050	42.0	53.0
3741	29.0	10.0
645548	1.0	3.0
3743	4.0	0.0
3744	2.0	1.0
3745	1026.0	525.0
3746	115.0	34.0
3747	744.0	1072.0
285671	956.0	791.0
285672	1947.0	2190.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	396.0	126.0
285676	89.0	90.0
3761	0.0	0.0
100128657	0.0	0.0
285679	5.0	5.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	224.0	199.0
283008	37.0	53.0
3751	14.0	13.0
100873435	0.0	0.0
3752	2963.0	3100.0
100873434	0.0	0.0
3753	0.0	3.0
100873433	0.0	0.0
3754	22.0	12.0
100873432	0.0	0.0
3755	869.0	487.0
100873439	0.0	0.0
3756	2.0	2.0
100873438	0.0	0.0
3757	3044.0	1246.0
100873437	0.0	0.0
3758	2.0	2.0
100873436	0.0	0.0
100873420	5.0	1.0
3770	114.0	91.0
3772	408.0	239.0
100861458	0.0	0.0
100861453	16.0	9.0
100861455	0.0	0.0
1107	22522.0	19365.0
1106	5639.0	5765.0
1105	1282.0	1629.0
1104	1231.0	1852.0
100873429	0.0	0.0
1103	0.0	3.0
1102	1382.0	1480.0
1101	78.0	64.0
3762	126.0	143.0
100873424	0.0	0.0
3763	148.0	46.0
100128640	178.0	238.0
100873423	0.0	0.0
3764	1170.0	479.0
100873422	0.0	0.0
3765	0.0	0.0
100873421	0.0	1.0
3766	6.0	16.0
100873428	0.0	0.0
3767	1271.0	1737.0
100873427	0.0	0.0
3768	117.0	173.0
1109	0.0	0.0
100873426	0.0	2.0
1108	9146.0	8454.0
3769	1.0	4.0
100873425	0.0	0.0
100128637	1.0	2.0
100128639	0.0	0.0
3780	31.0	23.0
100873453	0.0	0.0
3781	1962.0	4019.0
100873452	0.0	0.0
3782	403.0	298.0
100873451	0.0	0.0
3783	4681.0	14166.0
100873450	0.0	0.0
1121	1420.0	1208.0
100861468	0.0	0.0
1120	177.0	168.0
100861469	0.0	0.0
1118	18.0	18.0
1117	83.0	110.0
1116	30.0	146.0
1114	722.0	320.0
1113	2550.0	1087.0
1112	4286.0	3542.0
1111	359.0	325.0
3773	0.0	0.0
100873457	0.0	2.0
100873456	0.0	0.0
3775	672.0	564.0
100873455	0.0	0.0
3776	11.0	16.0
100873454	2.0	0.0
3777	3929.0	1604.0
3778	5390.0	3329.0
3779	7340.0	3064.0
100873459	0.0	0.0
1119	3486.0	4914.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	569.0	1357.0
100128628	3.0	3.0
3791	2869.0	1375.0
100873442	0.0	0.0
3792	18.0	7.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	4.0
1131	773.0	5142.0
1130	1004.0	1072.0
100861476	0.0	0.0
1129	0.0	1.0
1128	11272.0	12835.0
1124	1245.0	2583.0
1123	899.0	436.0
1122	358.0	520.0
100861470	0.0	0.0
3784	1232.0	1762.0
100873446	0.0	0.0
3785	6.0	58.0
100873445	0.0	0.0
3786	270.0	165.0
100873444	0.0	0.0
3787	484.0	161.0
100873443	0.0	0.0
3788	3.0	12.0
100873449	0.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	2.0
100873470	1.0	0.0
283050	89.0	63.0
100128618	0.0	2.0
728597	0.0	5.0
100128617	0.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	182.0	173.0
100873473	0.0	0.0
100873472	0.0	1.0
1143	1.0	0.0
285634	4.0	3.0
1142	0.0	0.0
1141	26.0	9.0
285636	2845.0	3209.0
1140	358.0	369.0
728599	2.0	6.0
1139	57.0	20.0
1138	163.0	218.0
1137	3.0	1.0
100861485	0.0	0.0
1136	28.0	22.0
1135	11559.0	21471.0
1134	1.0	2.0
1133	8.0	14.0
3795	262.0	147.0
100873479	22.0	20.0
3796	539.0	597.0
100873478	0.0	0.0
3797	939.0	500.0
100873477	0.0	2.0
3798	77.0	40.0
100873476	0.0	0.0
3799	15279.0	15823.0
100873460	0.0	0.0
728586	24.0	25.0
285641	0.0	2.0
100873464	1.0	1.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	494.0	868.0
1153	22614.0	26351.0
1152	91249.0	49324.0
285647	17.0	20.0
728589	1.0	7.0
728588	2.0	2.0
1149	0.0	0.0
1147	1287.0	1355.0
1146	0.0	0.0
1145	25.0	21.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	747.0	431.0
1163	504.0	450.0
285659	0.0	0.0
1161	276.0	333.0
1160	500.0	306.0
1159	184.0	194.0
1158	845.0	177.0
1157	0.0	0.0
1155	2533.0	2548.0
550643	2040.0	2527.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1836.0	2068.0
1175	6159.0	7151.0
285668	5.0	3.0
1174	2792.0	3166.0
1173	29466.0	28045.0
550631	169.0	265.0
100873489	0.0	0.0
283014	6.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	23.0	46.0
1186	3507.0	3704.0
1185	968.0	1077.0
1184	253.0	406.0
1183	269.0	235.0
1182	9631.0	14252.0
1181	329.0	495.0
440375	37.0	37.0
1180	3.0	2.0
1179	0.0	0.0
1178	0.0	0.0
283089	15.0	13.0
85495	0.0	0.0
85480	206.0	107.0
283080	0.0	0.0
1198	3589.0	4126.0
1197	1.0	0.0
1196	1559.0	1678.0
1195	2241.0	2615.0
440366	1.0	1.0
1193	208.0	207.0
1192	19958.0	25197.0
1191	56752.0	24949.0
1188	21.0	14.0
283078	1329.0	1006.0
85486	5.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	14.0	16.0
440396	46.0	56.0
128609	0.0	0.0
128602	8.0	1.0
440387	2.0	3.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	6.0	2.0
126014	58.0	22.0
440335	605.0	1562.0
100128690	0.0	0.0
114034	934.0	820.0
126006	25.0	21.0
114036	3.0	1.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	169.0	150.0
100861412	0.0	0.0
105180390	0.0	2.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	7.0	16.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	237.0	275.0
440356	2.0	5.0
440354	48.0	51.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	19.0
100873410	0.0	0.0
100873417	0.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	4.0	9.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	149.0	88.0
200734	2221.0	2458.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	13.0	8.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4068.0	3547.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	1.0	2.0
165530	25.0	23.0
85409	135.0	70.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	5.0	70.0
106481383	0.0	0.0
85417	22.0	24.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	192717.0	209917.0
106481389	0.0	0.0
85415	4167.0	8788.0
106481387	0.0	0.0
85413	6.0	45.0
106481388	0.0	1.0
645436	0.0	1.0
106481381	0.0	1.0
106481382	0.0	0.0
10	26.0	22.0
106481380	0.0	0.0
11	0.0	0.0
403341	511.0	682.0
12	18.0	59.0
13	0.0	0.0
14	8495.0	10873.0
15	1.0	0.0
16	11990.0	14543.0
645455	5.0	1.0
18	5102.0	9864.0
19	502.0	504.0
128580	3.0	7.0
85407	749.0	370.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	1590.0	2023.0
106481395	0.0	0.0
85403	2090.0	2550.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	1.0
20	3869.0	4787.0
106481390	0.0	0.0
21	3534.0	3991.0
106481391	0.0	0.0
22	960.0	987.0
153571	358.0	404.0
153572	764.0	918.0
23	5157.0	4814.0
24	17.0	25.0
25	8555.0	9215.0
26	5360.0	807.0
27	1374.0	1839.0
28	564.0	581.0
29	5244.0	4494.0
153579	190.0	137.0
728615	0.0	1.0
728614	0.0	0.0
200765	183.0	167.0
106481358	1.0	0.0
106481359	1.0	0.0
728611	11.0	58.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	1.0	1.0
106481364	0.0	0.0
85438	1.0	0.0
106481361	0.0	0.0
85439	212.0	197.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3160.0	3593.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	308.0	299.0
106481366	0.0	0.0
30	8766.0	9048.0
106481360	0.0	0.0
31	12315.0	16433.0
32	2299.0	1222.0
33	1803.0	2002.0
34	2425.0	2289.0
35	1385.0	1098.0
153562	2104.0	3042.0
36	3474.0	5441.0
37	19030.0	17926.0
38	2539.0	3324.0
440307	7.0	10.0
39	3770.0	4798.0
165545	4.0	0.0
106481369	0.0	0.0
728606	574.0	1529.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	10.0	9.0
106481370	0.0	0.0
41	883.0	1045.0
106481371	0.0	0.0
43	218.0	160.0
645486	0.0	0.0
47	17250.0	24492.0
48	4814.0	4430.0
49	12.0	13.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	1.0	0.0
106481340	0.0	0.0
85458	2571.0	1729.0
106481345	0.0	0.0
