id	f927688f-646f-466e-aeab-1d6eceda8d56	2cf39fef-9135-401a-a08e-ae5a7bf48ada
85376	12.0	28.0
440248	536.0	190.0
1075	1830.0	587.0
1074	8.0	13.0
1073	7682.0	3130.0
1072	36840.0	31718.0
1071	35.0	10.0
440243	0.0	0.0
1070	1121.0	795.0
1069	5762.0	3227.0
1068	0.0	0.0
85369	2474.0	1903.0
85366	0.0	0.0
85364	1778.0	1208.0
85365	3899.0	3490.0
85363	2046.0	1606.0
85360	1210.0	568.0
1080	1845.0	274.0
85391	4.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	688.0	745.0
1087	16.0	13.0
1086	0.0	0.0
440279	5.0	4.0
1085	2.0	0.0
1084	11.0	6.0
440278	110.0	80.0
1082	0.0	0.0
403294	0.0	0.0
440275	6991.0	7386.0
1081	9.0	7.0
85397	1.0	0.0
85395	490.0	496.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	395.0	96.0
1089	102.0	6.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	128.0	45.0
285598	895.0	322.0
126133	1360.0	1176.0
128790	0.0	2.0
126129	232.0	89.0
126123	7.0	11.0
442862	0.0	0.0
126119	697.0	632.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	2.0	2.0
442896	0.0	0.0
114132	13.0	0.0
442897	0.0	0.0
442898	0.0	0.0
114134	670.0	548.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	1.0
100128788	72.0	73.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	552.0	414.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	27.0	16.0
102466616	0.0	0.0
126052	0.0	0.0
151009	58.0	35.0
403227	1.0	0.0
403228	0.0	0.0
138046	6.0	9.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	1.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1736.0	1966.0
107131122	0.0	0.0
138050	8700.0	7049.0
403219	0.0	0.0
151011	5641.0	2797.0
645587	1.0	0.0
165679	1077.0	1777.0
126037	31.0	17.0
114049	4342.0	3212.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1603.0	806.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3062.0	1594.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	270.0	247.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	14.0	3.0
645598	0.0	0.0
163007	2.0	0.0
114038	1.0	2.0
645591	0.0	0.0
106481495	0.0	0.0
114041	9.0	1.0
106481496	0.0	0.0
114042	1.0	0.0
106481493	0.0	0.0
114043	13.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	219.0	155.0
126017	3070.0	4689.0
106481497	2.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	466.0	385.0
85301	2327.0	445.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2573.0	4664.0
106481459	0.0	0.0
26994	9400.0	6359.0
106481457	1.0	5.0
26995	2345.0	2671.0
106481458	0.0	0.0
403271	0.0	1.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2075.0	3263.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	5.0	3.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3606.0	2061.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	3.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	38.0	0.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	87.0	35.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1378.0	1022.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	7.0	5.0
106481437	0.0	0.0
26974	274.0	304.0
153657	62.0	34.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1862.0	870.0
165631	46.0	10.0
106481436	0.0	2.0
26978	6.0	4.0
126075	1676.0	1793.0
106481439	0.0	0.0
403250	0.0	0.0
126074	242.0	300.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2707.0	2788.0
106481444	1.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1454.0	542.0
85354	0.0	0.0
85352	537.0	1048.0
403241	1.0	0.0
344462	1.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	1527.0	817.0
153643	18.0	9.0
403247	0.0	0.0
403248	0.0	0.0
26985	5653.0	4497.0
106481448	0.0	0.0
26986	66023.0	77004.0
126069	168.0	169.0
106481449	0.0	0.0
126068	746.0	463.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1041.0	742.0
106481447	0.0	0.0
106481451	1.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	118.0	37.0
106481455	0.0	1.0
85349	26.0	17.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	4.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	5.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	1.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	1.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	3.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3645.0	3283.0
100873390	0.0	0.0
728556	63.0	77.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	146.0	70.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	584.0	279.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	26.0	35.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	197.0	90.0
100873384	0.0	0.0
285601	78.0	36.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	1.0
63910	65.0	16.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	647.0	629.0
222008	362.0	30.0
106481428	1.0	0.0
106481429	0.0	1.0
63905	5238.0	4182.0
63904	0.0	0.0
106481430	1.0	0.0
163071	33.0	21.0
63906	942.0	830.0
106481433	0.0	0.0
63908	884.0	476.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	122.0	104.0
63920	529.0	443.0
63923	13.0	23.0
63922	262.0	263.0
728577	133.0	63.0
63925	2073.0	1529.0
63924	48.0	29.0
63916	5092.0	5078.0
63917	6117.0	5079.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	1.0
728564	3.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1932.0	1209.0
106481402	0.0	0.0
63931	2563.0	2100.0
106481403	0.0	0.0
63934	605.0	519.0
728567	3.0	3.0
106481408	0.0	0.0
163088	2.0	6.0
63933	2666.0	1793.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3626.0	3046.0
163087	848.0	602.0
728568	457.0	458.0
106481407	7.0	8.0
3704	1834.0	1563.0
3705	10152.0	8194.0
63926	855.0	704.0
3706	46.0	13.0
63929	1114.0	1046.0
3707	4584.0	5820.0
63928	320.0	183.0
3708	9938.0	7051.0
106481411	0.0	0.0
3709	3990.0	3901.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	13.0	4.0
3702	382.0	59.0
3703	15309.0	17481.0
645506	0.0	0.0
151050	2434.0	1107.0
645520	0.0	0.0
63941	4506.0	7035.0
63940	993.0	277.0
63943	232.0	250.0
728517	0.0	0.0
163033	492.0	661.0
258010	3882.0	3924.0
63947	0.0	0.0
63946	0.0	0.0
728513	3.0	1.0
100033803	0.0	0.0
3716	12032.0	6967.0
100033804	0.0	0.0
3717	1361.0	670.0
100033805	0.0	0.0
3718	278.0	94.0
63939	1702.0	1417.0
100033806	0.0	0.0
100190799	0.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	114.0	110.0
3710	4488.0	5591.0
3712	13269.0	16221.0
3713	1.0	1.0
3714	2154.0	1496.0
63950	0.0	2.0
728505	1.0	0.0
63951	480.0	648.0
100033807	0.0	0.0
728501	43.0	42.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	9940.0	1253.0
100033814	0.0	0.0
3727	7458.0	4934.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	17310.0	19777.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1388.0	1303.0
151056	361.0	137.0
3725	9707.0	7388.0
645528	0.0	0.0
728532	32.0	19.0
163059	542.0	308.0
728538	0.0	0.0
728537	51.0	28.0
63967	48.0	29.0
3737	28.0	14.0
3738	27.0	10.0
3739	1.0	2.0
645538	0.0	0.0
3730	1656.0	1760.0
3732	6096.0	3824.0
3734	81.0	24.0
3735	8334.0	7087.0
3736	0.0	1.0
63970	82.0	13.0
3750	277.0	82.0
63971	8193.0	6466.0
63974	0.0	0.0
163049	2384.0	1956.0
63973	0.0	0.0
63976	89.0	49.0
222068	9732.0	9760.0
63978	0.0	0.0
63977	543.0	419.0
63979	479.0	334.0
728524	0.0	0.0
3748	196.0	183.0
163051	48.0	56.0
3749	793.0	378.0
163050	90.0	53.0
3741	29.0	30.0
645548	0.0	2.0
3743	3.0	0.0
3744	2.0	0.0
3745	1207.0	676.0
3746	99.0	177.0
3747	262.0	4014.0
285671	1292.0	862.0
285672	1833.0	1735.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1423.0	103.0
285676	140.0	124.0
3761	0.0	1.0
100128657	0.0	0.0
285679	2.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	258.0	148.0
283008	24.0	15.0
3751	11.0	14.0
100873435	0.0	0.0
3752	4961.0	5431.0
100873434	0.0	0.0
3753	6.0	0.0
100873433	0.0	0.0
3754	126.0	13.0
100873432	0.0	0.0
3755	587.0	367.0
100873439	0.0	0.0
3756	85.0	8.0
100873438	0.0	0.0
3757	3515.0	1308.0
100873437	0.0	0.0
3758	2.0	0.0
100873436	0.0	0.0
100873420	2.0	2.0
3770	86.0	37.0
3772	754.0	44.0
100861458	0.0	0.0
100861453	10.0	8.0
100861455	0.0	0.0
1107	25757.0	20232.0
1106	9479.0	6723.0
1105	3730.0	1540.0
1104	971.0	1390.0
100873429	0.0	0.0
1103	0.0	8.0
1102	2429.0	1495.0
1101	46.0	33.0
3762	344.0	142.0
100873424	0.0	0.0
3763	232.0	142.0
100128640	216.0	281.0
100873423	0.0	0.0
3764	1879.0	474.0
100873422	0.0	0.0
3765	4.0	2.0
100873421	1.0	0.0
3766	12.0	31.0
100873428	0.0	0.0
3767	1175.0	1498.0
100873427	0.0	0.0
3768	54.0	93.0
1109	0.0	0.0
100873426	0.0	0.0
1108	13006.0	8857.0
3769	1.0	1.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	31.0	27.0
100873453	0.0	0.0
3781	1347.0	3383.0
100873452	3.0	0.0
3782	708.0	349.0
100873451	0.0	0.0
3783	984.0	7611.0
100873450	0.0	0.0
1121	2702.0	1826.0
100861468	0.0	0.0
1120	181.0	117.0
100861469	0.0	0.0
1118	11.0	74.0
1117	6553.0	37.0
1116	216.0	305.0
1114	2380.0	192.0
1113	2393.0	975.0
1112	6614.0	4668.0
1111	426.0	394.0
3773	0.0	3.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	1161.0	803.0
100873455	0.0	0.0
3776	10.0	4.0
100873454	0.0	0.0
3777	6565.0	3329.0
3778	13614.0	5405.0
3779	7096.0	2926.0
100873459	0.0	0.0
1119	4235.0	3054.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	635.0	1349.0
100128628	4.0	2.0
3791	3396.0	1647.0
100873442	0.0	0.0
3792	16.0	5.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	2.0
1132	9.0	8.0
1131	286.0	3308.0
1130	2221.0	1112.0
100861476	0.0	0.0
1129	272.0	5.0
1128	7253.0	10184.0
1124	1153.0	1288.0
1123	2699.0	437.0
1122	507.0	496.0
100861470	0.0	0.0
3784	1391.0	1144.0
100873446	0.0	0.0
3785	88.0	16.0
100873445	0.0	0.0
3786	258.0	176.0
100873444	0.0	0.0
3787	159.0	132.0
100873443	0.0	0.0
3788	53.0	24.0
100873449	2.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	108.0	62.0
100128618	0.0	0.0
728597	2.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	557.0	622.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	4.0
285634	7.0	3.0
1142	0.0	0.0
1141	11.0	8.0
285636	3450.0	2692.0
1140	471.0	341.0
728599	2.0	5.0
1139	75.0	51.0
1138	244.0	210.0
1137	41.0	0.0
100861485	0.0	1.0
1136	24.0	21.0
1135	6672.0	14683.0
1134	1.0	1.0
1133	10.0	12.0
3795	253.0	190.0
100873479	18.0	20.0
3796	1620.0	929.0
100873478	0.0	0.0
3797	1236.0	559.0
100873477	1.0	0.0
3798	218.0	67.0
100873476	0.0	0.0
3799	20823.0	17245.0
100873460	0.0	0.0
728586	35.0	22.0
285641	0.0	0.0
100873464	1.0	0.0
100873463	1.0	0.0
100873462	2.0	0.0
285643	1.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	654.0	373.0
1153	25636.0	25429.0
1152	56270.0	48605.0
285647	36.0	18.0
728589	7.0	2.0
728588	2.0	0.0
1149	1.0	0.0
1147	2469.0	1328.0
1146	0.0	0.0
1145	95.0	20.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	653.0	409.0
1163	864.0	477.0
285659	0.0	0.0
1161	499.0	327.0
1160	575.0	276.0
1159	192.0	211.0
1158	745.0	479.0
1157	0.0	0.0
1155	2825.0	2392.0
550643	2172.0	1732.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2816.0	1737.0
1175	4692.0	4525.0
285668	6.0	4.0
1174	3269.0	3024.0
1173	27971.0	25209.0
550631	201.0	143.0
100873489	0.0	0.0
283014	6.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	58.0	21.0
1186	3093.0	3029.0
1185	1790.0	1126.0
1184	519.0	274.0
1183	514.0	280.0
1182	10750.0	11792.0
1181	415.0	448.0
440375	51.0	57.0
1180	11.0	5.0
1179	0.0	0.0
1178	1.0	0.0
283089	11.0	13.0
85495	0.0	0.0
85480	422.0	68.0
283080	0.0	0.0
1198	3771.0	3041.0
1197	1.0	0.0
1196	1998.0	1295.0
1195	7347.0	1823.0
440366	0.0	0.0
1193	420.0	149.0
1192	20705.0	20673.0
1191	90489.0	26971.0
1188	36.0	9.0
283078	2625.0	780.0
85486	2.0	1.0
128615	0.0	0.0
85481	0.0	0.0
128611	78.0	11.0
440396	52.0	21.0
128609	0.0	0.0
128602	10.0	0.0
440387	1.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	0.0
126014	100.0	26.0
440335	399.0	1649.0
100128690	0.0	0.0
114034	1165.0	863.0
126006	38.0	33.0
114036	6.0	4.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	74.0	90.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	8.0	6.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	287.0	272.0
440356	7.0	3.0
440354	96.0	45.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	2.0	0.0
100873413	0.0	0.0
128646	3.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	17.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	12.0	7.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	141.0	23.0
200734	2510.0	1741.0
100861431	1.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	15.0	1.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4868.0	3645.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	3.0
165530	122.0	36.0
85409	328.0	61.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	13.0
106481383	2.0	0.0
85417	39.0	24.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	103327.0	119115.0
106481389	0.0	0.0
85415	12279.0	9909.0
106481387	0.0	0.0
85413	10.0	16.0
106481388	2.0	2.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	23.0	13.0
106481380	0.0	0.0
11	0.0	0.0
403341	793.0	504.0
12	279.0	17.0
13	0.0	0.0
14	9666.0	8718.0
15	4.0	0.0
16	13035.0	12027.0
645455	14.0	5.0
18	9325.0	11125.0
19	1104.0	879.0
128580	5.0	9.0
85407	1316.0	739.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2020.0	1684.0
106481395	0.0	0.0
85403	2569.0	2538.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4077.0	4847.0
106481390	0.0	0.0
21	2881.0	3422.0
106481391	0.0	0.0
22	1320.0	1072.0
153571	342.0	470.0
153572	764.0	598.0
23	7044.0	4964.0
24	27.0	31.0
25	11423.0	7698.0
26	5209.0	2212.0
27	1979.0	1420.0
28	1993.0	993.0
29	7776.0	4449.0
153579	470.0	112.0
728615	0.0	0.0
728614	0.0	0.0
200765	226.0	143.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	34.0	21.0
102466518	0.0	0.0
102466516	3.0	0.0
102466515	0.0	0.0
106481363	0.0	1.0
106481364	0.0	0.0
85438	7.0	3.0
106481361	0.0	0.0
85439	372.0	95.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	4254.0	2748.0
106481368	0.0	0.0
106481365	0.0	1.0
728609	191.0	77.0
106481366	0.0	0.0
30	7628.0	7983.0
106481360	0.0	0.0
31	16111.0	17364.0
32	3902.0	1610.0
33	2388.0	1378.0
34	3546.0	2400.0
35	1525.0	1050.0
153562	1881.0	2699.0
36	6840.0	7870.0
37	21665.0	16830.0
38	4064.0	3268.0
440307	17.0	3.0
39	5685.0	4236.0
165545	6.0	4.0
106481369	0.0	0.0
728606	408.0	1864.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	6.0	22.0
106481370	0.0	0.0
41	575.0	883.0
106481371	0.0	0.0
43	291.0	176.0
645486	1.0	0.0
47	28338.0	30278.0
48	7285.0	4271.0
49	17.0	2.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	4.0	1.0
106481340	0.0	0.0
85458	5160.0	2147.0
106481345	0.0	0.0
