id	5e480597-1410-4c25-bc82-6712d2743187	ff052832-df71-405d-9cc9-8e1f55f65610
114038	4.0	0.0
645591	0.0	1.0
106481495	2.0	0.0
114041	169.0	0.0
106481496	0.0	0.0
114042	3.0	3.0
106481493	0.0	0.0
114043	88.0	28.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	514.0	233.0
126017	1882.0	1420.0
106481497	3.0	1.0
106481498	0.0	0.0
85303	1.0	0.0
85300	592.0	102.0
85301	2748.0	330.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	2.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3735.0	5532.0
106481459	0.0	0.0
26994	10228.0	8190.0
106481457	20.0	10.0
26995	3100.0	3801.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2434.0	2999.0
403273	0.0	0.0
102466658	3.0	1.0
106481462	1.0	0.0
106481463	0.0	0.0
104310353	3.0	3.0
106481460	5.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3594.0	1952.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	36.0	15.0
106481472	0.0	0.0
106481477	1.0	5.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	177.0	105.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	4785.0	1083.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	11.0	19.0
106481437	0.0	0.0
26974	319.0	422.0
153657	74.0	27.0
106481438	0.0	0.0
106481435	0.0	2.0
26973	2548.0	1553.0
165631	110.0	21.0
106481436	7.0	2.0
26978	32.0	59.0
126075	2098.0	2052.0
106481439	0.0	0.0
403250	0.0	0.0
126074	390.0	281.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	1.0	0.0
85359	3326.0	2562.0
106481444	20.0	7.0
106481445	1.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1429.0	863.0
85354	0.0	0.0
85352	1329.0	260.0
403241	3.0	0.0
344462	6.0	12.0
403244	0.0	0.0
403245	0.0	0.0
153642	836.0	615.0
153643	41.0	8.0
403247	0.0	0.0
403248	0.0	0.0
26985	5633.0	5740.0
106481448	0.0	0.0
26986	131410.0	174690.0
126069	219.0	144.0
106481449	0.0	0.0
126068	769.0	428.0
106481446	0.0	0.0
26983	0.0	1.0
26984	1472.0	969.0
106481447	0.0	0.0
106481451	4.0	2.0
106481452	1.0	0.0
106481450	1.0	0.0
114088	90.0	58.0
106481455	1.0	4.0
85349	386.0	18.0
106481456	0.0	6.0
26982	0.0	0.0
106481453	5.0	3.0
85347	0.0	0.0
26980	6.0	17.0
106481454	0.0	2.0
403238	0.0	0.0
85344	0.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	5.0	7.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	2.0
100873392	3.0	3.0
100873391	0.0	1.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	0.0	1.0
63901	6230.0	7745.0
100873390	0.0	0.0
728556	175.0	176.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	180.0	157.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	514.0	325.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	64.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	288.0	129.0
100873384	1.0	0.0
285601	26.0	0.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	1.0	4.0
63910	175.0	17.0
106481424	0.0	2.0
106481425	0.0	0.0
285605	987.0	964.0
222008	11.0	61.0
106481428	0.0	1.0
106481429	1.0	0.0
63905	6096.0	3765.0
63904	0.0	0.0
106481430	0.0	0.0
163071	29.0	9.0
63906	980.0	603.0
106481433	1.0	0.0
63908	1212.0	555.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	7.0
285613	140.0	170.0
63920	385.0	431.0
63923	7.0	6.0
63922	818.0	441.0
728577	237.0	24.0
63925	3085.0	1489.0
63924	17.0	7.0
63916	5404.0	4811.0
63917	6232.0	4990.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	12.0
728564	3.0	6.0
285622	0.0	2.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2038.0	1150.0
106481402	0.0	6.0
63931	2615.0	2150.0
106481403	0.0	0.0
63934	872.0	493.0
728567	13.0	10.0
106481408	0.0	0.0
163088	8.0	16.0
63933	2839.0	2879.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4797.0	2051.0
163087	1031.0	464.0
728568	444.0	528.0
106481407	23.0	15.0
3704	2632.0	1924.0
3705	8465.0	6906.0
63926	1089.0	648.0
3706	64.0	6.0
63929	1404.0	1488.0
3707	7951.0	5873.0
63928	1008.0	5.0
3708	7744.0	4141.0
106481411	0.0	2.0
3709	5472.0	2923.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	47.0	9.0
3702	213.0	49.0
3703	15522.0	24339.0
645506	1.0	0.0
151050	2085.0	1719.0
645520	0.0	0.0
63941	4959.0	7769.0
63940	1345.0	171.0
63943	410.0	336.0
728517	0.0	1.0
163033	581.0	668.0
258010	3779.0	4682.0
63947	0.0	0.0
63946	0.0	0.0
728513	4.0	1.0
100033803	0.0	0.0
3716	13324.0	6169.0
100033804	0.0	0.0
3717	1830.0	893.0
100033805	0.0	0.0
3718	522.0	107.0
63939	1634.0	1191.0
100033806	0.0	0.0
100190799	7.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	162.0	121.0
3710	6471.0	2279.0
3712	10728.0	19810.0
3713	303.0	0.0
3714	3945.0	742.0
63950	1.0	0.0
728505	1.0	1.0
63951	501.0	176.0
100033807	0.0	0.0
728501	57.0	38.0
100033808	0.0	0.0
100033809	0.0	2.0
3726	112580.0	79625.0
100033814	0.0	0.0
3727	37355.0	26066.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	0.0
3728	36667.0	19525.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2412.0	1475.0
151056	506.0	89.0
3725	68875.0	72604.0
645528	2.0	1.0
728532	32.0	30.0
163059	673.0	424.0
728538	0.0	5.0
728537	268.0	99.0
63967	51.0	57.0
3737	55.0	17.0
3738	43.0	11.0
3739	7.0	0.0
645538	0.0	0.0
3730	2088.0	972.0
3732	12130.0	3833.0
3734	123.0	27.0
3735	10310.0	8867.0
3736	5.0	3.0
63970	975.0	16.0
3750	285.0	74.0
63971	8834.0	9952.0
63974	0.0	0.0
163049	2737.0	2110.0
63973	0.0	1.0
63976	148.0	107.0
222068	10701.0	14224.0
63978	0.0	0.0
63977	950.0	459.0
63979	1061.0	483.0
728524	0.0	0.0
3748	602.0	144.0
163051	54.0	22.0
3749	1307.0	205.0
163050	87.0	23.0
3741	41.0	58.0
645548	3.0	8.0
3743	9.0	2.0
3744	0.0	0.0
3745	953.0	338.0
3746	95.0	1.0
3747	78.0	54.0
285671	1340.0	700.0
285672	2927.0	2003.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	136.0	70.0
285676	145.0	14.0
3761	2.0	2.0
100128657	1.0	0.0
285679	3.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	525.0	300.0
283008	11.0	16.0
3751	13.0	2.0
100873435	0.0	0.0
3752	4024.0	8390.0
100873434	0.0	0.0
3753	7.0	6.0
100873433	0.0	0.0
3754	10.0	9.0
100873432	0.0	0.0
3755	688.0	192.0
100873439	0.0	0.0
3756	8.0	0.0
100873438	0.0	0.0
3757	2523.0	529.0
100873437	0.0	0.0
3758	17.0	1.0
100873436	0.0	0.0
100873420	3.0	0.0
3770	198.0	186.0
3772	1379.0	26.0
100861458	0.0	1.0
100861453	51.0	7.0
100861455	0.0	0.0
1107	38322.0	14616.0
1106	11729.0	5680.0
1105	4064.0	2640.0
1104	2165.0	1694.0
100873429	0.0	1.0
1103	7.0	1.0
1102	2407.0	1102.0
1101	239.0	2.0
3762	959.0	69.0
100873424	0.0	0.0
3763	387.0	225.0
100128640	363.0	226.0
100873423	0.0	0.0
3764	1336.0	295.0
100873422	0.0	0.0
3765	7.0	6.0
100873421	2.0	7.0
3766	922.0	166.0
100873428	0.0	0.0
3767	742.0	837.0
100873427	0.0	0.0
3768	87.0	35.0
1109	0.0	0.0
100873426	0.0	2.0
1108	17380.0	10678.0
3769	9.0	11.0
100873425	0.0	1.0
100128637	0.0	16.0
100128639	0.0	0.0
3780	40.0	13.0
100873453	0.0	1.0
3781	1121.0	292.0
100873452	0.0	0.0
3782	596.0	312.0
100873451	0.0	1.0
3783	3860.0	226.0
100873450	0.0	0.0
1121	2689.0	2057.0
100861468	0.0	0.0
1120	503.0	109.0
100861469	0.0	0.0
1118	160.0	79.0
1117	250.0	125.0
1116	176.0	282.0
1114	408.0	38.0
1113	2000.0	138.0
1112	9189.0	4268.0
1111	541.0	464.0
3773	23.0	11.0
100873457	1.0	1.0
100873456	0.0	0.0
3775	2158.0	1044.0
100873455	0.0	0.0
3776	55.0	19.0
100873454	0.0	0.0
3777	1609.0	122.0
3778	9951.0	2873.0
3779	5545.0	1389.0
100873459	1.0	0.0
1119	3302.0	2949.0
100128627	2.0	0.0
100128626	0.0	0.0
3790	1251.0	891.0
100128628	19.0	3.0
3791	3608.0	1101.0
100873442	0.0	0.0
3792	121.0	18.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	22.0	4.0
1131	205.0	57.0
1130	3344.0	1294.0
100861476	0.0	0.0
1129	3.0	1.0
1128	7624.0	3302.0
1124	1127.0	269.0
1123	649.0	394.0
1122	994.0	693.0
100861470	0.0	0.0
3784	3482.0	757.0
100873446	1.0	0.0
3785	1.0	93.0
100873445	0.0	0.0
3786	249.0	35.0
100873444	0.0	0.0
3787	251.0	12.0
100873443	0.0	0.0
3788	28.0	18.0
100873449	3.0	4.0
100873448	0.0	0.0
100873447	0.0	1.0
100873471	0.0	2.0
100873470	0.0	0.0
283050	202.0	83.0
100128618	0.0	7.0
728597	4.0	0.0
100128617	11.0	13.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	434.0	1517.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	11.0	0.0
285634	1.0	4.0
1142	0.0	0.0
1141	26.0	9.0
285636	3494.0	3311.0
1140	488.0	165.0
728599	1.0	11.0
1139	408.0	8.0
1138	174.0	557.0
1137	5.0	11.0
100861485	0.0	7.0
1136	19.0	33.0
1135	8190.0	23631.0
1134	1.0	1.0
1133	17.0	11.0
3795	306.0	101.0
100873479	20.0	6.0
3796	1621.0	986.0
100873478	1.0	0.0
3797	1144.0	433.0
100873477	3.0	0.0
3798	48.0	19.0
100873476	0.0	0.0
3799	22001.0	18058.0
100873460	0.0	0.0
728586	34.0	6.0
285641	5.0	0.0
100873464	4.0	2.0
100873463	0.0	11.0
100873462	6.0	0.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4244.0	1026.0
1153	42503.0	33181.0
1152	45035.0	37642.0
285647	37.0	22.0
728589	19.0	8.0
728588	5.0	22.0
1149	10.0	0.0
1147	2056.0	1917.0
1146	4.0	1.0
1145	110.0	27.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	1.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	640.0	668.0
1163	811.0	398.0
285659	0.0	0.0
1161	520.0	383.0
1160	526.0	227.0
1159	496.0	436.0
1158	509.0	113.0
1157	1.0	3.0
1155	2918.0	1757.0
550643	2329.0	1671.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	1.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2974.0	2618.0
1175	4119.0	7406.0
285668	1.0	1.0
1174	2659.0	2509.0
1173	25516.0	18172.0
550631	311.0	206.0
100873489	0.0	0.0
283014	9.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	82.0	10.0
1186	4709.0	3523.0
1185	2513.0	1335.0
1184	917.0	393.0
1183	635.0	70.0
1182	14377.0	11847.0
1181	482.0	431.0
440375	64.0	54.0
1180	193.0	0.0
1179	2.0	0.0
1178	10.0	3.0
283089	6.0	12.0
85495	0.0	0.0
85480	401.0	51.0
283080	0.0	1.0
1198	5739.0	3401.0
1197	2.0	1.0
1196	3246.0	1416.0
1195	11153.0	4887.0
440366	0.0	1.0
1193	490.0	201.0
1192	26694.0	19388.0
1191	56562.0	12331.0
1188	51.0	2.0
283078	1575.0	363.0
85486	5.0	24.0
128615	0.0	0.0
85481	0.0	0.0
128611	92.0	21.0
440396	61.0	24.0
128609	0.0	0.0
128602	44.0	3.0
440387	2.0	18.0
128674	0.0	0.0
128676	4.0	2.0
114026	0.0	1.0
100861402	4.0	4.0
126014	113.0	38.0
440335	1474.0	91.0
100128690	0.0	0.0
114034	1294.0	515.0
126006	105.0	26.0
114036	16.0	14.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	74.0	62.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	12.0	7.0
100128678	4.0	2.0
100861429	0.0	0.0
128653	1.0	0.0
200728	333.0	346.0
440356	5.0	7.0
440354	76.0	54.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	0.0
100873412	0.0	1.0
100873411	0.0	0.0
100128675	22.0	74.0
100873410	0.0	0.0
100873417	18.0	4.0
100873416	0.0	6.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	439.0	249.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	127.0	58.0
200734	3266.0	2150.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	49.0	14.0
100873402	0.0	0.0
100873401	3.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5881.0	3926.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	2.0
645443	6.0	20.0
165530	102.0	10.0
85409	307.0	21.0
106481385	0.0	0.0
106481386	1.0	0.0
85416	5.0	50.0
106481383	5.0	0.0
85417	49.0	51.0
106481384	0.0	1.0
103106903	0.0	1.0
85414	160642.0	202575.0
106481389	0.0	0.0
85415	10291.0	10455.0
106481387	0.0	0.0
85413	2.0	4.0
106481388	15.0	4.0
645436	1.0	2.0
106481381	0.0	1.0
106481382	0.0	0.0
10	26.0	6.0
106481380	0.0	0.0
11	1.0	0.0
403341	1000.0	587.0
12	1621.0	1198.0
13	4.0	0.0
14	11128.0	8699.0
15	6.0	1.0
16	11316.0	13106.0
645455	14.0	6.0
18	6701.0	18780.0
19	2619.0	1147.0
128580	5.0	16.0
85407	1775.0	470.0
106481396	0.0	0.0
106481397	2.0	0.0
106481394	0.0	0.0
85406	2148.0	1440.0
106481395	0.0	0.0
85403	2741.0	2616.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	7.0	3.0
20	6808.0	6681.0
106481390	0.0	0.0
21	3956.0	7266.0
106481391	0.0	0.0
22	1970.0	1222.0
153571	263.0	427.0
153572	1144.0	1127.0
23	8261.0	4915.0
24	52.0	6.0
25	11961.0	7969.0
26	1103.0	27.0
27	2879.0	2445.0
28	2687.0	1161.0
29	15476.0	4112.0
153579	201.0	72.0
728615	3.0	0.0
728614	0.0	0.0
200765	220.0	132.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	16.0	20.0
102466518	1.0	0.0
102466516	6.0	0.0
102466515	0.0	0.0
106481363	1.0	0.0
106481364	0.0	0.0
85438	6.0	0.0
106481361	0.0	0.0
85439	802.0	151.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3685.0	3333.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	462.0	176.0
106481366	0.0	0.0
30	7334.0	7934.0
106481360	0.0	0.0
31	16304.0	24411.0
32	5204.0	856.0
33	2239.0	8474.0
34	4631.0	5801.0
35	1793.0	1049.0
153562	3213.0	2769.0
36	7490.0	19123.0
37	30852.0	15865.0
38	3885.0	4874.0
440307	25.0	21.0
39	3886.0	3923.0
165545	45.0	3.0
106481369	0.0	0.0
728606	801.0	3307.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	2.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	41.0	6.0
106481370	0.0	0.0
41	852.0	491.0
106481371	0.0	0.0
43	1781.0	680.0
645486	0.0	1.0
47	24319.0	40984.0
48	4726.0	3597.0
49	11.0	15.0
106481338	0.0	0.0
106481339	0.0	3.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	4.0	3.0
106481340	1.0	1.0
85458	5397.0	3535.0
