id	b50ac187-7079-4b52-b872-f815521fc164	f676c6d1-b263-467c-ae4f-547628572df8
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	0.0
100128788	50.0	161.0
100128787	0.0	1.0
440225	0.0	1.0
440224	0.0	2.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	427.0	455.0
100128781	3.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	0.0	6.0
102466616	0.0	0.0
126052	0.0	0.0
151009	64.0	122.0
403227	0.0	0.0
403228	0.0	0.0
138046	69.0	9.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	4.0	10.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2205.0	1626.0
107131122	0.0	1.0
138050	7381.0	5230.0
403219	0.0	0.0
151011	2968.0	2139.0
645587	0.0	0.0
165679	1183.0	416.0
126037	86.0	36.0
114049	4877.0	4977.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1626.0	652.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1790.0	1823.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	187.0	118.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	0.0	0.0
138065	43.0	5.0
645598	0.0	1.0
163007	0.0	1.0
114038	2.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	36.0	1.0
106481496	0.0	0.0
114042	3.0	1.0
106481493	0.0	0.0
114043	3.0	1.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	121.0	158.0
126017	973.0	866.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	607.0	278.0
85301	989.0	1098.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1359.0	4477.0
106481459	0.0	0.0
26994	7070.0	8515.0
106481457	3.0	8.0
26995	2212.0	3134.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1866.0	3268.0
403273	0.0	0.0
102466658	4.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	4.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3833.0	2953.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	2.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	8.0	8.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	153.0	84.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1239.0	1175.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	17.0
106481437	0.0	0.0
26974	350.0	347.0
153657	48.0	38.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1236.0	2271.0
165631	22.0	23.0
106481436	0.0	0.0
26978	12.0	4.0
126075	1639.0	2073.0
106481439	0.0	0.0
403250	0.0	0.0
126074	223.0	350.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3379.0	4364.0
106481444	2.0	4.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	1.0	0.0
85358	484.0	1032.0
85354	0.0	0.0
85352	849.0	652.0
403241	1.0	0.0
344462	3.0	7.0
403244	0.0	1.0
403245	0.0	0.0
153642	674.0	607.0
153643	0.0	27.0
403247	0.0	0.0
403248	0.0	0.0
26985	3198.0	3890.0
106481448	0.0	0.0
26986	88477.0	68027.0
126069	112.0	121.0
106481449	0.0	0.0
126068	475.0	501.0
106481446	0.0	0.0
26983	0.0	0.0
26984	811.0	987.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	187.0	20.0
106481455	0.0	2.0
85349	17.0	16.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	1.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	5.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	4.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	15.0
106481415	0.0	0.0
106481416	1.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2341.0	8201.0
100873390	1.0	0.0
728556	47.0	75.0
106481419	0.0	0.0
100128817	0.0	1.0
728558	67.0	69.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	446.0	348.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	13.0	11.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	68.0	96.0
100873384	0.0	0.0
285601	12.0	15.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	0.0	1.0
63910	55.0	73.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	361.0	309.0
222008	58.0	2829.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	5253.0	4508.0
63904	0.0	0.0
106481430	1.0	1.0
163071	22.0	4.0
63906	828.0	777.0
106481433	0.0	0.0
63908	845.0	630.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	1.0
285613	40.0	166.0
63920	601.0	444.0
63923	5.0	74.0
63922	388.0	499.0
728577	49.0	10.0
63925	1593.0	1574.0
63924	103.0	24.0
63916	3904.0	5779.0
63917	3289.0	5013.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	1.0
728564	3.0	9.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	954.0	1690.0
106481402	0.0	0.0
63931	1759.0	1962.0
106481403	0.0	0.0
63934	684.0	583.0
728567	11.0	1.0
106481408	0.0	0.0
163088	3.0	10.0
63933	1634.0	2463.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3618.0	2469.0
163087	834.0	559.0
728568	328.0	495.0
106481407	14.0	18.0
3704	2244.0	2761.0
3705	8729.0	9347.0
63926	513.0	717.0
3706	86.0	51.0
63929	920.0	1156.0
3707	4710.0	8572.0
63928	854.0	108.0
3708	4692.0	1817.0
106481411	1.0	0.0
3709	1928.0	2021.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	9.0	15.0
3702	48.0	84.0
3703	8591.0	12958.0
645506	0.0	0.0
151050	1063.0	1682.0
645520	1.0	0.0
63941	3584.0	9242.0
63940	732.0	344.0
63943	295.0	291.0
728517	0.0	0.0
163033	777.0	859.0
258010	3002.0	4752.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	8757.0	5344.0
100033804	0.0	0.0
3717	847.0	926.0
100033805	0.0	0.0
3718	255.0	210.0
63939	1153.0	905.0
100033806	0.0	0.0
100190799	2.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	118.0	130.0
3710	1965.0	1773.0
3712	8886.0	14327.0
3713	38.0	0.0
3714	3557.0	2091.0
63950	1.0	0.0
728505	0.0	0.0
63951	437.0	393.0
100033807	0.0	0.0
728501	57.0	43.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	22947.0	88852.0
100033814	0.0	0.0
3727	16529.0	36990.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	1.0
3728	26891.0	22943.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	788.0	1132.0
151056	248.0	189.0
3725	46568.0	79870.0
645528	0.0	2.0
728532	22.0	31.0
163059	396.0	386.0
728538	0.0	0.0
728537	49.0	64.0
63967	14.0	20.0
3737	14.0	11.0
3738	8.0	7.0
3739	19.0	9.0
645538	0.0	0.0
3730	493.0	738.0
3732	9873.0	4467.0
3734	25.0	19.0
3735	8233.0	7301.0
3736	3.0	5.0
63970	304.0	32.0
3750	260.0	143.0
63971	3820.0	6003.0
63974	0.0	0.0
163049	1931.0	2096.0
63973	0.0	0.0
63976	100.0	31.0
222068	8105.0	7217.0
63978	0.0	0.0
63977	421.0	552.0
63979	428.0	477.0
728524	0.0	0.0
3748	213.0	232.0
163051	63.0	54.0
3749	682.0	461.0
163050	47.0	27.0
3741	2.0	19.0
645548	6.0	3.0
3743	0.0	0.0
3744	0.0	0.0
3745	763.0	489.0
3746	7.0	30.0
3747	585.0	1326.0
285671	963.0	927.0
285672	1828.0	1643.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	792.0	69.0
285676	107.0	54.0
3761	0.0	2.0
100128657	0.0	0.0
285679	0.0	15.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	522.0	309.0
283008	2.0	4.0
3751	62.0	15.0
100873435	0.0	0.0
3752	2803.0	5813.0
100873434	0.0	0.0
3753	0.0	0.0
100873433	0.0	0.0
3754	20.0	13.0
100873432	0.0	0.0
3755	1111.0	386.0
100873439	0.0	0.0
3756	6.0	7.0
100873438	0.0	0.0
3757	2638.0	1410.0
100873437	0.0	0.0
3758	12.0	2.0
100873436	0.0	0.0
100873420	6.0	2.0
3770	111.0	114.0
3772	1426.0	69.0
100861458	2.0	0.0
100861453	18.0	6.0
100861455	0.0	0.0
1107	15294.0	19903.0
1106	6100.0	4913.0
1105	1542.0	1963.0
1104	1166.0	1501.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1329.0	1023.0
1101	161.0	18.0
3762	1052.0	454.0
100873424	0.0	0.0
3763	17.0	586.0
100128640	209.0	243.0
100873423	0.0	0.0
3764	1008.0	419.0
100873422	0.0	0.0
3765	2.0	0.0
100873421	1.0	0.0
3766	9.0	155.0
100873428	0.0	0.0
3767	219.0	891.0
100873427	0.0	0.0
3768	128.0	218.0
1109	0.0	0.0
100873426	0.0	0.0
1108	15306.0	9801.0
3769	30.0	16.0
100873425	1.0	2.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	16.0	37.0
100873453	0.0	0.0
3781	997.0	1598.0
100873452	0.0	0.0
3782	179.0	248.0
100873451	0.0	0.0
3783	4445.0	600.0
100873450	0.0	0.0
1121	832.0	1214.0
100861468	0.0	0.0
1120	188.0	191.0
100861469	1.0	0.0
1118	34.0	37.0
1117	70.0	109.0
1116	106.0	182.0
1114	455.0	61.0
1113	2216.0	1097.0
1112	5191.0	3578.0
1111	1108.0	371.0
3773	428.0	0.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	1565.0	564.0
100873455	0.0	0.0
3776	85.0	9.0
100873454	0.0	0.0
3777	4967.0	1209.0
3778	5348.0	2808.0
3779	7746.0	2809.0
100873459	0.0	0.0
1119	2750.0	4565.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	276.0	562.0
100128628	2.0	2.0
3791	909.0	1635.0
100873442	2.0	0.0
3792	28.0	5.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	7.0
1131	105.0	136.0
1130	1295.0	1011.0
100861476	0.0	0.0
1129	128.0	15.0
1128	4761.0	11532.0
1124	540.0	876.0
1123	740.0	695.0
1122	296.0	579.0
100861470	0.0	0.0
3784	3362.0	1784.0
100873446	0.0	0.0
3785	0.0	40.0
100873445	0.0	0.0
3786	240.0	118.0
100873444	0.0	0.0
3787	150.0	43.0
100873443	0.0	0.0
3788	38.0	17.0
100873449	0.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	115.0	103.0
100128618	0.0	0.0
728597	1.0	5.0
100128617	2.0	7.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	115.0	2663.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	8.0	0.0
285634	4.0	1.0
1142	0.0	0.0
1141	9.0	11.0
285636	2184.0	2831.0
1140	499.0	245.0
728599	0.0	4.0
1139	60.0	17.0
1138	34.0	134.0
1137	15.0	8.0
100861485	0.0	1.0
1136	20.0	25.0
1135	596.0	16735.0
1134	10.0	47.0
1133	2.0	9.0
3795	282.0	227.0
100873479	22.0	12.0
3796	690.0	449.0
100873478	0.0	0.0
3797	1218.0	703.0
100873477	1.0	0.0
3798	42.0	19.0
100873476	0.0	0.0
3799	11025.0	13711.0
100873460	0.0	0.0
728586	9.0	22.0
285641	6.0	0.0
100873464	0.0	3.0
100873463	1.0	0.0
100873462	0.0	3.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1716.0	1107.0
1153	27433.0	23595.0
1152	80937.0	45580.0
285647	8.0	23.0
728589	7.0	5.0
728588	1.0	18.0
1149	25.0	0.0
1147	1134.0	1384.0
1146	0.0	0.0
1145	39.0	16.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	454.0	634.0
1163	621.0	308.0
285659	0.0	0.0
1161	291.0	329.0
1160	194.0	345.0
1159	255.0	485.0
1158	333.0	411.0
1157	0.0	0.0
1155	3305.0	2998.0
550643	2299.0	1968.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2697.0	1399.0
1175	4114.0	8124.0
285668	0.0	4.0
1174	2175.0	3248.0
1173	26076.0	26778.0
550631	114.0	369.0
100873489	0.0	0.0
283014	5.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	22.0	37.0
1186	2314.0	3840.0
1185	1040.0	1529.0
1184	291.0	417.0
1183	436.0	470.0
1182	7692.0	9823.0
1181	309.0	558.0
440375	28.0	35.0
1180	26.0	6.0
1179	3.0	0.0
1178	0.0	0.0
283089	17.0	13.0
85495	0.0	0.0
85480	490.0	109.0
283080	0.0	0.0
1198	2869.0	3728.0
1197	0.0	0.0
1196	2373.0	1715.0
1195	5814.0	6278.0
440366	0.0	0.0
1193	284.0	289.0
1192	20283.0	26537.0
1191	120588.0	16026.0
1188	114.0	23.0
283078	1287.0	1327.0
85486	7.0	2.0
128615	0.0	0.0
85481	0.0	1.0
128611	21.0	32.0
440396	43.0	48.0
128609	0.0	0.0
128602	9.0	26.0
440387	0.0	29.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	0.0	0.0
126014	96.0	64.0
440335	822.0	898.0
100128690	0.0	0.0
114034	835.0	678.0
126006	54.0	18.0
114036	4.0	5.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	92.0	85.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	7.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	108.0	415.0
440356	8.0	8.0
440354	73.0	41.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	2.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	19.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	176.0	254.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	32.0	44.0
200734	2702.0	2835.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	40.0	2.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4158.0	5086.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	0.0
165530	63.0	35.0
85409	166.0	259.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	1.0	173.0
106481383	1.0	0.0
85417	15.0	37.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	26607.0	230554.0
106481389	0.0	0.0
85415	2988.0	5910.0
106481387	0.0	0.0
85413	10.0	2.0
106481388	0.0	2.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	15.0	28.0
106481380	0.0	0.0
11	0.0	0.0
403341	505.0	495.0
12	6.0	450.0
13	2.0	0.0
14	9656.0	10040.0
15	0.0	2.0
16	8918.0	9721.0
645455	1.0	4.0
18	2135.0	11905.0
19	969.0	607.0
128580	4.0	4.0
85407	395.0	354.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1136.0	1330.0
106481395	0.0	1.0
85403	1785.0	2179.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	2914.0	4978.0
106481390	0.0	0.0
21	1594.0	4999.0
106481391	0.0	0.0
22	864.0	734.0
153571	489.0	762.0
153572	629.0	993.0
23	6246.0	4681.0
24	71.0	26.0
25	7440.0	8632.0
26	706.0	533.0
27	1360.0	1807.0
28	1741.0	841.0
29	7180.0	4986.0
153579	78.0	206.0
728615	0.0	0.0
728614	0.0	0.0
200765	259.0	225.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	16.0	11.0
102466518	0.0	0.0
102466516	4.0	1.0
102466515	0.0	0.0
106481363	0.0	4.0
106481364	0.0	0.0
85438	31.0	1.0
106481361	0.0	0.0
85439	634.0	226.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3062.0	3925.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	92.0	165.0
106481366	0.0	0.0
30	5149.0	7877.0
106481360	0.0	0.0
31	6290.0	24434.0
32	2219.0	1333.0
33	319.0	8790.0
34	1743.0	2643.0
35	1750.0	1194.0
153562	1549.0	1497.0
36	3407.0	10976.0
37	14782.0	15755.0
38	3307.0	3337.0
440307	13.0	17.0
39	1450.0	3429.0
165545	16.0	0.0
106481369	0.0	0.0
728606	14.0	1469.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	21.0	19.0
106481370	0.0	0.0
41	279.0	735.0
106481371	0.0	0.0
43	411.0	130.0
645486	0.0	0.0
47	6836.0	27251.0
48	3991.0	3367.0
49	7.0	14.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	5.0	3.0
106481340	0.0	0.0
85458	3321.0	1629.0
106481345	0.0	0.0
85459	370.0	442.0
106481346	0.0	0.0
85456	13795.0	21232.0
