id	8c36062e-bf1d-4d6c-be76-37d9fd4805bc	640827e7-e319-4b34-a59b-485ef92cdc66
85378	1656.0	4143.0
128745	0.0	1.0
85376	25.0	49.0
440248	461.0	809.0
1075	2313.0	1768.0
1074	10.0	28.0
1073	6122.0	1927.0
1072	28470.0	35368.0
1071	98.0	53.0
440243	0.0	0.0
1070	1405.0	966.0
1069	4110.0	4207.0
1068	0.0	0.0
85369	1628.0	3571.0
85366	2.0	16.0
85364	1506.0	1427.0
85365	4802.0	5968.0
85363	1558.0	2321.0
85360	824.0	892.0
1080	2367.0	788.0
85391	1.0	4.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	688.0	2147.0
1087	91.0	24.0
1086	0.0	0.0
440279	8.0	7.0
1085	0.0	0.0
1084	23.0	7.0
440278	115.0	280.0
1082	0.0	0.0
403294	0.0	1.0
440275	5577.0	15005.0
1081	10.0	3.0
85397	9.0	5.0
85395	406.0	499.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	2.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	7.0	6.0
440270	390.0	699.0
1089	13.0	10.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	172.0	89.0
285598	393.0	566.0
126133	969.0	2681.0
128790	0.0	1.0
126129	93.0	117.0
126123	16.0	2.0
442862	0.0	0.0
126119	791.0	1031.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	10.0	4.0
442896	0.0	0.0
114132	8.0	19.0
442897	0.0	0.0
442898	4.0	5.0
114134	528.0	490.0
442899	0.0	0.0
100128790	0.0	0.0
128760	8.0	4.0
100128788	140.0	278.0
100128787	0.0	0.0
440225	0.0	0.0
440224	7.0	7.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	0.0	0.0
100128782	886.0	579.0
100128781	0.0	4.0
403230	0.0	0.0
403231	1.0	0.0
403232	0.0	1.0
645560	2.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	14.0	8.0
102466616	0.0	0.0
126052	2.0	1.0
151009	41.0	78.0
403227	5.0	12.0
403228	0.0	0.0
138046	9.0	23.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	29.0	16.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2858.0	1752.0
107131122	0.0	0.0
138050	5118.0	10080.0
403219	0.0	0.0
151011	5972.0	4711.0
645587	5.0	4.0
165679	1971.0	348.0
126037	37.0	51.0
114049	4336.0	3760.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	12.0	232.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	896.0	359.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2404.0	1940.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	141.0	234.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	21.0	29.0
645598	3.0	1.0
163007	2.0	0.0
114038	2.0	1.0
645591	0.0	0.0
106481495	3.0	0.0
114041	69.0	16.0
106481496	0.0	0.0
114042	3.0	4.0
106481493	0.0	0.0
114043	5.0	6.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	195.0	541.0
126017	2295.0	1309.0
106481497	1.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	229.0	243.0
85301	981.0	800.0
106481491	0.0	2.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	2.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	6423.0	10756.0
106481459	0.0	0.0
26994	10612.0	10603.0
106481457	8.0	10.0
26995	2677.0	3933.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1505.0	2824.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	21.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	1.0
26993	1819.0	2956.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	2.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	5.0	367.0
106481468	0.0	0.0
106481469	0.0	2.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	9.0	3.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	171.0	75.0
106481470	1.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1572.0	1252.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	6.0	5.0
106481437	0.0	0.0
26974	261.0	665.0
153657	40.0	79.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1170.0	854.0
165631	105.0	54.0
106481436	3.0	3.0
26978	16.0	42.0
126075	1558.0	1811.0
106481439	0.0	0.0
403250	0.0	0.0
126074	325.0	515.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3275.0	2857.0
106481444	1.0	10.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	913.0	2424.0
85354	0.0	0.0
85352	324.0	210.0
403241	0.0	0.0
344462	6.0	7.0
403244	0.0	0.0
403245	0.0	0.0
153642	734.0	424.0
153643	19.0	9.0
403247	0.0	0.0
403248	0.0	0.0
26985	4418.0	5939.0
106481448	0.0	1.0
26986	54603.0	217261.0
126069	245.0	317.0
106481449	0.0	0.0
126068	1004.0	1004.0
106481446	0.0	0.0
26983	0.0	4.0
26984	1182.0	1600.0
106481447	0.0	0.0
106481451	1.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	29.0	14.0
106481455	0.0	0.0
85349	38.0	30.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	1.0	3.0
85347	0.0	0.0
26980	2.0	11.0
106481454	1.0	0.0
403238	0.0	0.0
85344	12.0	8.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	6.0	5.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	1.0
100873392	2.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	7.0	12.0
106481415	0.0	0.0
106481416	1.0	1.0
106481413	0.0	0.0
106481414	2.0	1.0
63901	3976.0	9672.0
100873390	0.0	0.0
728556	76.0	249.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	144.0	202.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	501.0	395.0
106481423	0.0	0.0
106481420	0.0	2.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	23.0	15.0
100873380	1.0	0.0
100128804	0.0	9.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	2.0	0.0
100128801	0.0	0.0
285600	137.0	255.0
100873384	0.0	0.0
285601	42.0	9.0
106481426	0.0	0.0
106481427	0.0	4.0
222005	0.0	2.0
63910	112.0	126.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1034.0	1039.0
222008	82.0	128.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	5464.0	3956.0
63904	0.0	1.0
106481430	0.0	1.0
163071	31.0	25.0
63906	711.0	1104.0
106481433	1.0	0.0
63908	683.0	691.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	24.0
285613	123.0	194.0
63920	541.0	1599.0
63923	5.0	11.0
63922	254.0	953.0
728577	124.0	39.0
63925	1166.0	2372.0
63924	9.0	3.0
63916	3075.0	6811.0
63917	4862.0	6616.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	7.0	8.0
728564	1.0	6.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1534.0	1743.0
106481402	3.0	0.0
63931	2696.0	2975.0
106481403	0.0	1.0
63934	431.0	1010.0
728567	3.0	4.0
106481408	0.0	0.0
163088	4.0	3.0
63933	3244.0	2216.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2799.0	3806.0
163087	1094.0	1069.0
728568	502.0	486.0
106481407	16.0	33.0
3704	2106.0	2169.0
3705	5130.0	6047.0
63926	772.0	1142.0
3706	21.0	34.0
63929	979.0	2045.0
3707	4001.0	6255.0
63928	668.0	36.0
3708	4061.0	2873.0
106481411	1.0	0.0
3709	2146.0	7364.0
106481412	0.0	0.0
106481410	1.0	1.0
3700	10.0	16.0
3702	554.0	176.0
3703	11129.0	21340.0
645506	0.0	1.0
151050	1379.0	2069.0
645520	0.0	0.0
63941	5000.0	7587.0
63940	1371.0	636.0
63943	275.0	474.0
728517	0.0	0.0
163033	390.0	797.0
258010	4914.0	4819.0
63947	1.0	0.0
63946	1.0	6.0
728513	0.0	0.0
100033803	0.0	0.0
3716	6468.0	9814.0
100033804	0.0	0.0
3717	1303.0	948.0
100033805	0.0	0.0
3718	531.0	462.0
63939	2435.0	873.0
100033806	0.0	0.0
100190799	4.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	169.0	300.0
3710	2052.0	5938.0
3712	7997.0	16248.0
3713	108.0	11.0
3714	1291.0	2014.0
63950	1.0	0.0
728505	2.0	3.0
63951	810.0	1117.0
100033807	0.0	0.0
728501	44.0	31.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	24004.0	9456.0
100033814	0.0	0.0
3727	7375.0	10138.0
63948	0.0	1.0
100033815	0.0	0.0
222052	0.0	4.0
3728	10327.0	39581.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	870.0	1673.0
151056	251.0	319.0
3725	10093.0	11327.0
645528	0.0	3.0
728532	33.0	32.0
163059	593.0	514.0
728538	0.0	1.0
728537	83.0	133.0
63967	32.0	216.0
3737	18.0	12.0
3738	85.0	47.0
3739	2.0	1.0
645538	0.0	0.0
3730	1197.0	444.0
3732	3624.0	5362.0
3734	52.0	43.0
3735	6363.0	8811.0
3736	1.0	1.0
63970	40.0	75.0
3750	78.0	136.0
63971	4324.0	7896.0
63974	0.0	0.0
163049	2681.0	2669.0
63973	0.0	5.0
63976	56.0	82.0
222068	9100.0	10378.0
63978	0.0	3.0
63977	315.0	966.0
63979	430.0	314.0
728524	0.0	0.0
3748	192.0	396.0
163051	49.0	45.0
3749	612.0	1592.0
163050	106.0	100.0
3741	17.0	10.0
645548	1.0	13.0
3743	6.0	2.0
3744	2.0	0.0
3745	260.0	594.0
3746	9.0	18.0
3747	151.0	72.0
285671	1268.0	1058.0
285672	3023.0	1908.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	176.0	82.0
285676	101.0	40.0
3761	1.0	2.0
100128657	0.0	0.0
285679	0.0	6.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	852.0	476.0
283008	1.0	1.0
3751	44.0	2.0
100873435	2.0	0.0
3752	2995.0	13117.0
100873434	0.0	0.0
3753	6.0	4.0
100873433	0.0	0.0
3754	22.0	4.0
100873432	0.0	0.0
3755	254.0	194.0
100873439	0.0	0.0
3756	15.0	57.0
100873438	0.0	0.0
3757	676.0	664.0
100873437	0.0	0.0
3758	9.0	2.0
100873436	0.0	0.0
100873420	1.0	1.0
3770	76.0	128.0
3772	364.0	87.0
100861458	0.0	0.0
100861453	3.0	4.0
100861455	0.0	0.0
1107	12225.0	32069.0
1106	4178.0	7629.0
1105	1832.0	727.0
1104	1016.0	1822.0
100873429	0.0	0.0
1103	0.0	1.0
1102	1654.0	785.0
1101	57.0	17.0
3762	401.0	298.0
100873424	0.0	0.0
3763	415.0	15.0
100128640	201.0	1125.0
100873423	0.0	0.0
3764	801.0	392.0
100873422	1.0	0.0
3765	1.0	5.0
100873421	0.0	0.0
3766	31.0	34.0
100873428	0.0	0.0
3767	328.0	926.0
100873427	0.0	0.0
3768	53.0	96.0
1109	1.0	0.0
100873426	0.0	0.0
1108	6045.0	19327.0
3769	9.0	5.0
100873425	0.0	0.0
100128637	3.0	2.0
100128639	0.0	0.0
3780	18.0	22.0
100873453	0.0	1.0
3781	2336.0	16996.0
100873452	0.0	1.0
3782	411.0	663.0
100873451	0.0	0.0
3783	1652.0	244.0
100873450	0.0	0.0
1121	2538.0	2162.0
100861468	0.0	0.0
1120	207.0	293.0
100861469	1.0	0.0
1118	1949.0	2809.0
1117	228.0	81.0
1116	252.0	187.0
1114	219.0	67.0
1113	1239.0	569.0
1112	4390.0	3970.0
1111	484.0	733.0
3773	19.0	0.0
100873457	3.0	1.0
100873456	1.0	0.0
3775	1340.0	435.0
100873455	0.0	1.0
3776	65.0	19.0
100873454	0.0	0.0
3777	3146.0	325.0
3778	5324.0	6097.0
3779	2145.0	1267.0
100873459	0.0	2.0
1119	2133.0	5115.0
100128627	1.0	1.0
100128626	0.0	1.0
3790	733.0	947.0
100128628	15.0	6.0
3791	1497.0	4690.0
100873442	0.0	0.0
3792	17.0	24.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	1.0
1132	5.0	18.0
1131	99.0	217.0
1130	1571.0	1871.0
100861476	0.0	1.0
1129	85.0	1.0
1128	7510.0	11540.0
1124	762.0	4773.0
1123	906.0	882.0
1122	459.0	1469.0
100861470	0.0	0.0
3784	1379.0	956.0
100873446	0.0	0.0
3785	45.0	39.0
100873445	1.0	0.0
3786	110.0	108.0
100873444	0.0	0.0
3787	98.0	21.0
100873443	0.0	0.0
3788	67.0	17.0
100873449	3.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	150.0	422.0
100128618	2.0	1.0
728597	6.0	1.0
100128617	1.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	362.0	22.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	7.0	1.0
285634	5.0	12.0
1142	2.0	5.0
1141	10.0	15.0
285636	2299.0	4236.0
1140	333.0	314.0
728599	4.0	6.0
1139	122.0	223.0
1138	249.0	243.0
1137	16.0	3.0
100861485	0.0	0.0
1136	38.0	30.0
1135	5762.0	17984.0
1134	28.0	68.0
1133	9.0	17.0
3795	206.0	405.0
100873479	6.0	7.0
3796	1489.0	2095.0
100873478	0.0	0.0
3797	515.0	1454.0
100873477	0.0	0.0
3798	46.0	35.0
100873476	0.0	0.0
3799	18178.0	23040.0
100873460	0.0	0.0
728586	115.0	24.0
285641	4.0	1.0
100873464	2.0	3.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	0.0	1.0
100128603	2.0	0.0
100873461	0.0	0.0
1154	482.0	402.0
1153	24839.0	21560.0
1152	31118.0	37320.0
285647	41.0	47.0
728589	13.0	9.0
728588	3.0	37.0
1149	2.0	2.0
1147	2057.0	2549.0
1146	3.0	3.0
1145	93.0	90.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	1.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	2.0
100873494	0.0	0.0
1164	418.0	282.0
1163	736.0	486.0
285659	0.0	0.0
1161	435.0	639.0
1160	304.0	96.0
1159	99.0	206.0
1158	36.0	29.0
1157	0.0	2.0
1155	2940.0	4027.0
550643	2129.0	1705.0
283025	1.0	0.0
100873499	0.0	1.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	3.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2388.0	2844.0
1175	4347.0	4582.0
285668	8.0	4.0
1174	4262.0	4883.0
1173	19738.0	33478.0
550631	203.0	508.0
100873489	0.0	0.0
283014	6.0	6.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	31.0	34.0
1186	2439.0	6172.0
1185	875.0	1955.0
1184	311.0	433.0
1183	397.0	696.0
1182	9113.0	24823.0
1181	225.0	861.0
440375	73.0	192.0
1180	13.0	5.0
1179	4.0	5.0
1178	36.0	0.0
283089	24.0	46.0
85495	0.0	0.0
85480	258.0	89.0
283080	1.0	0.0
1198	2581.0	3954.0
1197	1.0	7.0
1196	1386.0	1663.0
1195	4269.0	4747.0
440366	1.0	16.0
1193	862.0	272.0
1192	29603.0	25274.0
1191	18892.0	16298.0
1188	50.0	13.0
283078	1324.0	1254.0
85486	2.0	7.0
128615	0.0	0.0
85481	0.0	0.0
128611	138.0	59.0
440396	53.0	147.0
128609	0.0	0.0
128602	9.0	0.0
440387	4.0	12.0
128674	0.0	1.0
128676	0.0	1.0
114026	0.0	0.0
100861402	1.0	1.0
126014	111.0	137.0
440335	1132.0	4144.0
100128690	0.0	0.0
114034	1092.0	715.0
126006	34.0	31.0
114036	3.0	8.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	45.0	53.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	6.0	10.0
100128678	2.0	11.0
100861429	0.0	0.0
128653	0.0	1.0
200728	322.0	273.0
440356	1.0	9.0
440354	82.0	25.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	7.0	76.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	1.0	1.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	186.0	374.0
100861435	0.0	0.0
100861436	0.0	1.0
440345	113.0	123.0
200734	1776.0	1714.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	1.0
100873408	0.0	1.0
100873407	0.0	0.0
100861430	22.0	33.0
100873402	0.0	0.0
100873401	1.0	1.0
100873400	0.0	0.0
100128665	0.0	1.0
128637	3850.0	6588.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	9.0	12.0
165530	50.0	34.0
85409	126.0	138.0
106481385	3.0	0.0
106481386	0.0	1.0
85416	0.0	7.0
106481383	3.0	4.0
85417	17.0	35.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	132574.0	191942.0
106481389	0.0	0.0
85415	9828.0	14850.0
106481387	0.0	0.0
85413	18.0	9.0
106481388	1.0	2.0
645436	0.0	0.0
106481381	1.0	1.0
106481382	0.0	0.0
10	21.0	9.0
106481380	0.0	0.0
11	0.0	0.0
403341	593.0	864.0
12	38.0	37.0
13	4.0	0.0
14	7696.0	14778.0
15	6.0	1.0
16	6588.0	23444.0
645455	0.0	0.0
18	6975.0	31556.0
19	1009.0	1621.0
128580	4.0	7.0
85407	476.0	663.0
106481396	0.0	0.0
106481397	1.0	1.0
106481394	0.0	0.0
85406	1414.0	2447.0
106481395	0.0	0.0
85403	3216.0	6217.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	1.0	0.0
20	2540.0	15060.0
106481390	0.0	0.0
21	2305.0	10735.0
106481391	0.0	0.0
22	1309.0	1516.0
153571	194.0	531.0
153572	355.0	978.0
23	3275.0	6452.0
24	32.0	16.0
25	5089.0	16278.0
26	23338.0	111.0
27	1194.0	2924.0
28	2362.0	319.0
29	4570.0	10282.0
153579	123.0	180.0
728615	0.0	2.0
728614	0.0	0.0
200765	246.0	829.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	42.0	128.0
102466518	0.0	0.0
102466516	0.0	1.0
102466515	0.0	0.0
106481363	1.0	0.0
106481364	0.0	0.0
85438	6.0	0.0
106481361	0.0	0.0
85439	245.0	363.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	4572.0	4002.0
106481368	0.0	1.0
106481365	0.0	0.0
728609	241.0	226.0
106481366	0.0	0.0
30	6466.0	2729.0
106481360	0.0	0.0
31	6372.0	42057.0
32	1622.0	1540.0
33	2278.0	2817.0
34	4504.0	2841.0
35	1503.0	717.0
153562	2031.0	3463.0
36	7687.0	13857.0
37	14041.0	18380.0
38	3402.0	8056.0
440307	8.0	24.0
39	6647.0	6224.0
165545	1.0	2.0
106481369	0.0	0.0
728606	599.0	603.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	6.0	6.0
106481370	0.0	0.0
41	320.0	958.0
106481371	0.0	0.0
43	460.0	157.0
645486	0.0	3.0
47	15033.0	57056.0
48	2761.0	2110.0
49	12.0	10.0
106481338	0.0	0.0
106481339	1.0	1.0
106481336	0.0	0.0
106481337	0.0	3.0
106481341	0.0	0.0
106481342	3.0	13.0
106481340	1.0	0.0
85458	3853.0	4842.0
