id	f3cf307e-8d8d-4477-9531-ccd7a877e829	0eb37323-6070-4be3-9b1f-11b49a7ab6f2
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	2505.0	409.0
1063	222.0	489.0
1062	141.0	227.0
1061	2.0	5.0
1060	2267.0	1673.0
440253	99.0	87.0
1059	6895.0	3143.0
1058	11.0	41.0
1057	2.0	2.0
85379	8705.0	4024.0
114112	605.0	831.0
1056	161.0	16.0
85377	3741.0	1665.0
85378	3037.0	3662.0
128745	0.0	0.0
85376	42.0	26.0
440248	404.0	705.0
1075	822.0	713.0
1074	15.0	37.0
1073	5709.0	1391.0
1072	32928.0	29911.0
1071	17.0	20.0
440243	0.0	0.0
1070	855.0	955.0
1069	3443.0	2701.0
1068	0.0	2.0
85369	2086.0	1921.0
85366	0.0	2.0
85364	1381.0	1440.0
85365	3750.0	5074.0
85363	1903.0	2243.0
85360	1105.0	254.0
1080	960.0	145.0
85391	0.0	24.0
403296	2.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	1.0
153733	723.0	903.0
1087	1.0	1.0
1086	0.0	0.0
440279	9.0	0.0
1085	0.0	0.0
1084	7.0	0.0
440278	147.0	283.0
1082	0.0	0.0
403294	0.0	0.0
440275	8933.0	8902.0
1081	1.0	677.0
85397	0.0	2.0
85395	610.0	522.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	1.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	1.0
1092	0.0	0.0
440270	376.0	985.0
1089	21.0	2.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	58.0	41.0
285598	743.0	189.0
126133	1853.0	2004.0
128790	0.0	0.0
126129	103.0	43.0
126123	17.0	0.0
442862	0.0	0.0
126119	842.0	493.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	38.0
442896	0.0	1.0
114132	4.0	4.0
442897	0.0	0.0
442898	0.0	0.0
114134	545.0	640.0
442899	0.0	0.0
100128790	0.0	0.0
128760	8.0	3.0
100128788	88.0	199.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	3.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	1.0
100128782	395.0	447.0
100128781	3.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	5.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	4.0	10.0
102466616	0.0	0.0
126052	0.0	0.0
151009	102.0	58.0
403227	0.0	0.0
403228	0.0	0.0
138046	8.0	3.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	17.0	8.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2100.0	2549.0
107131122	0.0	2.0
138050	8057.0	3998.0
403219	2.0	0.0
151011	4932.0	2459.0
645587	1.0	3.0
165679	853.0	149.0
126037	38.0	24.0
114049	4237.0	4229.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	2.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	942.0	207.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1917.0	1994.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	243.0	295.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	8.0	4.0
645598	1.0	1.0
163007	4.0	0.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	6.0	6.0
106481496	0.0	0.0
114042	1.0	2.0
106481493	0.0	0.0
114043	11.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	207.0	315.0
126017	3544.0	1946.0
106481497	0.0	1.0
106481498	0.0	1.0
85303	0.0	0.0
85300	374.0	83.0
85301	1858.0	468.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	2.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	1.0	0.0
26996	3415.0	17670.0
106481459	0.0	0.0
26994	7894.0	6894.0
106481457	8.0	3.0
26995	2440.0	3672.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1715.0	4049.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	4.0	3.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2791.0	2493.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	1.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	4.0	4.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	161.0	40.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1275.0	1363.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	7.0	15.0
106481437	0.0	0.0
26974	314.0	411.0
153657	36.0	53.0
106481438	0.0	0.0
106481435	0.0	2.0
26973	1211.0	1894.0
165631	16.0	19.0
106481436	0.0	0.0
26978	9.0	8.0
126075	1858.0	2321.0
106481439	0.0	0.0
403250	0.0	0.0
126074	318.0	453.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3581.0	2470.0
106481444	0.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	853.0	869.0
85354	0.0	0.0
85352	917.0	232.0
403241	0.0	2.0
344462	3.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	942.0	696.0
153643	3.0	4.0
403247	0.0	0.0
403248	0.0	0.0
26985	4986.0	4947.0
106481448	0.0	0.0
26986	75026.0	98322.0
126069	145.0	196.0
106481449	0.0	0.0
126068	766.0	555.0
106481446	0.0	0.0
26983	1.0	1.0
26984	863.0	903.0
106481447	0.0	0.0
106481451	1.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	66.0	11.0
106481455	0.0	0.0
85349	59.0	10.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	1.0	3.0
85347	0.0	0.0
26980	4.0	2.0
106481454	1.0	0.0
403238	0.0	0.0
85344	6.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	2.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	2.0	4.0
100873392	2.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	7.0
106481415	0.0	0.0
106481416	3.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	4245.0	4520.0
100873390	0.0	0.0
728556	65.0	94.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	111.0	77.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	417.0	406.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	37.0	77.0
100873380	0.0	0.0
100128804	1.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	2.0
285600	211.0	151.0
100873384	0.0	0.0
285601	23.0	3.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	0.0	1.0
63910	24.0	22.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	740.0	1251.0
222008	1090.0	45.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5032.0	2880.0
63904	0.0	0.0
106481430	0.0	1.0
163071	22.0	13.0
63906	930.0	646.0
106481433	0.0	0.0
63908	856.0	584.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	2.0
285613	101.0	140.0
63920	578.0	401.0
63923	4.0	10.0
63922	325.0	766.0
728577	118.0	219.0
63925	1979.0	2221.0
63924	31.0	2.0
63916	5044.0	6616.0
63917	6146.0	3268.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	4.0
728564	9.0	9.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1585.0	1187.0
106481402	0.0	2.0
63931	2133.0	2351.0
106481403	0.0	0.0
63934	574.0	761.0
728567	7.0	5.0
106481408	1.0	0.0
163088	7.0	9.0
63933	2529.0	2811.0
106481409	3.0	0.0
106481406	0.0	0.0
63935	3851.0	2315.0
163087	1009.0	622.0
728568	347.0	656.0
106481407	15.0	10.0
3704	1798.0	2037.0
3705	11223.0	3912.0
63926	728.0	1000.0
3706	58.0	8.0
63929	1299.0	1471.0
3707	6617.0	5465.0
63928	354.0	56.0
3708	9714.0	11727.0
106481411	0.0	0.0
3709	4099.0	4793.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	8.0	18.0
3702	75.0	42.0
3703	13706.0	27202.0
645506	0.0	1.0
151050	1826.0	1084.0
645520	0.0	0.0
63941	6428.0	8489.0
63940	496.0	175.0
63943	339.0	262.0
728517	0.0	0.0
163033	853.0	671.0
258010	3847.0	4505.0
63947	0.0	0.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	9213.0	6343.0
100033804	0.0	0.0
3717	1049.0	722.0
100033805	0.0	0.0
3718	219.0	167.0
63939	2057.0	853.0
100033806	0.0	0.0
100190799	0.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	101.0	188.0
3710	4055.0	6510.0
3712	14983.0	20294.0
3713	0.0	0.0
3714	4295.0	1250.0
63950	1.0	1.0
728505	1.0	0.0
63951	876.0	939.0
100033807	0.0	0.0
728501	33.0	35.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	3026.0	22072.0
100033814	0.0	0.0
3727	7978.0	10687.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	24159.0	20634.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1619.0	1579.0
151056	234.0	122.0
3725	23548.0	14962.0
645528	0.0	0.0
728532	27.0	27.0
163059	437.0	396.0
728538	0.0	0.0
728537	81.0	245.0
63967	51.0	45.0
3737	20.0	7.0
3738	18.0	14.0
3739	1.0	0.0
645538	0.0	0.0
3730	2054.0	1034.0
3732	5255.0	2783.0
3734	56.0	40.0
3735	7030.0	6600.0
3736	0.0	1.0
63970	240.0	21.0
3750	129.0	60.0
63971	8593.0	7735.0
63974	0.0	0.0
163049	2740.0	2778.0
63973	0.0	1.0
63976	44.0	38.0
222068	11208.0	12358.0
63978	0.0	0.0
63977	639.0	662.0
63979	621.0	568.0
728524	0.0	0.0
3748	433.0	369.0
163051	68.0	38.0
3749	793.0	550.0
163050	74.0	67.0
3741	5.0	16.0
645548	0.0	0.0
3743	9.0	4.0
3744	3.0	0.0
3745	1023.0	166.0
3746	27.0	14.0
3747	364.0	7117.0
285671	1425.0	1096.0
285672	2364.0	1888.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1778.0	93.0
285676	204.0	60.0
3761	0.0	0.0
100128657	1.0	0.0
285679	2.0	7.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	315.0	131.0
283008	1.0	2.0
3751	12.0	7.0
100873435	0.0	0.0
3752	6152.0	6010.0
100873434	0.0	0.0
3753	1.0	0.0
100873433	0.0	0.0
3754	61.0	0.0
100873432	0.0	0.0
3755	501.0	364.0
100873439	0.0	0.0
3756	49.0	3.0
100873438	0.0	0.0
3757	1582.0	546.0
100873437	0.0	0.0
3758	8.0	0.0
100873436	0.0	0.0
100873420	5.0	1.0
3770	126.0	107.0
3772	437.0	15.0
100861458	0.0	0.0
100861453	21.0	6.0
100861455	0.0	0.0
1107	24391.0	20089.0
1106	8909.0	6731.0
1105	2268.0	2865.0
1104	1013.0	2274.0
100873429	0.0	0.0
1103	1.0	7.0
1102	1814.0	863.0
1101	83.0	11.0
3762	1367.0	74.0
100873424	0.0	0.0
3763	608.0	26.0
100128640	215.0	260.0
100873423	0.0	0.0
3764	855.0	155.0
100873422	0.0	0.0
3765	3.0	0.0
100873421	0.0	2.0
3766	9.0	66.0
100873428	0.0	0.0
3767	828.0	1372.0
100873427	0.0	0.0
3768	51.0	205.0
1109	0.0	0.0
100873426	0.0	0.0
1108	13145.0	9592.0
3769	9.0	2.0
100873425	1.0	0.0
100128637	1.0	2.0
100128639	0.0	0.0
3780	37.0	16.0
100873453	0.0	0.0
3781	2657.0	7196.0
100873452	0.0	0.0
3782	333.0	190.0
100873451	0.0	0.0
3783	1226.0	15126.0
100873450	0.0	0.0
1121	2194.0	1508.0
100861468	0.0	0.0
1120	132.0	191.0
100861469	0.0	0.0
1118	9.0	353.0
1117	95.0	37.0
1116	75.0	404.0
1114	337.0	365.0
1113	1354.0	180.0
1112	6753.0	3844.0
1111	456.0	407.0
3773	1.0	3.0
100873457	1.0	2.0
100873456	0.0	1.0
3775	932.0	811.0
100873455	0.0	0.0
3776	13.0	7.0
100873454	0.0	0.0
3777	9585.0	1317.0
3778	8619.0	924.0
3779	4079.0	698.0
100873459	0.0	0.0
1119	3001.0	2820.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	424.0	2106.0
100128628	3.0	2.0
3791	1362.0	983.0
100873442	0.0	0.0
3792	37.0	20.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	1.0	5.0
1131	167.0	3956.0
1130	1978.0	1296.0
100861476	0.0	1.0
1129	76.0	31.0
1128	16503.0	4465.0
1124	904.0	2410.0
1123	835.0	580.0
1122	634.0	886.0
100861470	0.0	0.0
3784	1326.0	1342.0
100873446	0.0	0.0
3785	13.0	12.0
100873445	0.0	0.0
3786	210.0	693.0
100873444	0.0	0.0
3787	308.0	31.0
100873443	0.0	0.0
3788	5.0	11.0
100873449	2.0	7.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	151.0	157.0
100128618	0.0	0.0
728597	0.0	0.0
100128617	2.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	501.0	21.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	5.0	2.0
285634	8.0	1.0
1142	0.0	1.0
1141	22.0	1.0
285636	3149.0	2789.0
1140	384.0	155.0
728599	1.0	2.0
1139	125.0	14.0
1138	347.0	277.0
1137	2.0	0.0
100861485	1.0	0.0
1136	58.0	24.0
1135	17284.0	7717.0
1134	1.0	8.0
1133	9.0	57.0
3795	190.0	101.0
100873479	11.0	19.0
3796	1358.0	1084.0
100873478	0.0	0.0
3797	994.0	344.0
100873477	1.0	1.0
3798	89.0	43.0
100873476	0.0	0.0
3799	20412.0	19468.0
100873460	0.0	0.0
728586	36.0	20.0
285641	0.0	2.0
100873464	1.0	8.0
100873463	0.0	0.0
100873462	1.0	2.0
285643	1.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	967.0	454.0
1153	26131.0	29794.0
1152	51031.0	25597.0
285647	34.0	21.0
728589	7.0	8.0
728588	9.0	0.0
1149	2.0	1.0
1147	1494.0	1846.0
1146	1.0	2.0
1145	48.0	33.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	298.0	445.0
1163	580.0	403.0
285659	0.0	0.0
1161	344.0	386.0
1160	265.0	167.0
1159	206.0	372.0
1158	565.0	25.0
1157	0.0	3.0
1155	2384.0	2352.0
550643	1863.0	1742.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	1.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1923.0	2114.0
1175	5055.0	3108.0
285668	3.0	1.0
1174	3364.0	2393.0
1173	25786.0	24432.0
550631	165.0	211.0
100873489	0.0	1.0
283014	8.0	4.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	25.0	54.0
1186	3740.0	3717.0
1185	1654.0	1327.0
1184	353.0	391.0
1183	415.0	317.0
1182	10815.0	14117.0
1181	456.0	722.0
440375	68.0	52.0
1180	11.0	3.0
1179	0.0	0.0
1178	2.0	1.0
283089	11.0	17.0
85495	0.0	0.0
85480	407.0	35.0
283080	0.0	0.0
1198	3309.0	3502.0
1197	0.0	0.0
1196	1863.0	2176.0
1195	3600.0	4632.0
440366	1.0	3.0
1193	187.0	180.0
1192	20494.0	18585.0
1191	38899.0	6521.0
1188	57.0	7.0
283078	1008.0	398.0
85486	10.0	6.0
128615	0.0	0.0
85481	0.0	0.0
128611	24.0	15.0
440396	50.0	63.0
128609	0.0	0.0
128602	1.0	0.0
440387	2.0	0.0
128674	1.0	1.0
128676	1.0	0.0
114026	0.0	1.0
100861402	2.0	2.0
126014	47.0	30.0
440335	312.0	603.0
100128690	0.0	0.0
114034	976.0	743.0
126006	51.0	45.0
114036	3.0	9.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	143.0	64.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	54.0
100128678	0.0	3.0
100861429	0.0	0.0
128653	0.0	1.0
200728	280.0	310.0
440356	0.0	4.0
440354	59.0	55.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	1.0
128646	0.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	9.0	88.0
100873410	0.0	0.0
100873417	2.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	5.0	12.0
100861435	0.0	0.0
100861436	0.0	1.0
440345	48.0	87.0
200734	2995.0	1279.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	8.0	3.0
100873402	0.0	0.0
100873401	1.0	2.0
100873400	3.0	0.0
100128665	0.0	0.0
128637	4008.0	3151.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	1.0
645443	6.0	2.0
165530	30.0	12.0
85409	178.0	61.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	1.0	97.0
106481383	0.0	2.0
85417	25.0	56.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	165199.0	117087.0
106481389	0.0	0.0
85415	6924.0	17089.0
106481387	0.0	0.0
85413	1.0	36.0
106481388	0.0	4.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	14.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	907.0	598.0
12	5.0	381.0
13	0.0	0.0
14	9311.0	10005.0
15	2.0	1.0
16	12413.0	14626.0
645455	9.0	9.0
18	13116.0	7885.0
19	1172.0	1727.0
128580	6.0	6.0
85407	1118.0	201.0
106481396	0.0	0.0
106481397	1.0	1.0
106481394	0.0	0.0
85406	1927.0	1793.0
106481395	0.0	0.0
85403	2666.0	2452.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	2.0
20	4779.0	6565.0
106481390	0.0	0.0
21	3533.0	5085.0
106481391	0.0	0.0
22	1078.0	1017.0
153571	324.0	613.0
153572	584.0	1097.0
23	6691.0	5254.0
24	12.0	22.0
25	8576.0	7281.0
26	20081.0	132.0
27	2187.0	2446.0
28	1735.0	132.0
29	6796.0	4473.0
153579	141.0	94.0
728615	0.0	0.0
728614	0.0	0.0
200765	138.0	225.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	42.0	60.0
102466518	0.0	0.0
102466516	0.0	3.0
102466515	0.0	0.0
106481363	1.0	0.0
106481364	0.0	0.0
85438	12.0	0.0
106481361	0.0	0.0
85439	390.0	33.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	2888.0	3215.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	126.0	110.0
106481366	0.0	0.0
30	7928.0	4728.0
106481360	0.0	0.0
31	14823.0	25696.0
32	2567.0	757.0
33	1925.0	680.0
34	2750.0	2961.0
35	1761.0	685.0
153562	2285.0	3657.0
36	6608.0	12382.0
37	18681.0	15566.0
38	2764.0	4332.0
440307	8.0	13.0
39	5156.0	2981.0
165545	1.0	1.0
106481369	0.0	0.0
728606	235.0	1391.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	3.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	3.0	22.0
106481370	0.0	0.0
41	899.0	1080.0
106481371	0.0	0.0
43	276.0	460.0
645486	0.0	0.0
47	27069.0	29653.0
48	4848.0	3409.0
49	10.0	22.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	6.0	0.0
106481340	0.0	0.0
85458	4220.0	2047.0
106481345	0.0	0.0
85459	1044.0	1183.0
