id	f0b61979-b534-4fbb-863b-4a368818df92	5f8449ce-a11c-4641-a5a4-ea1524a6f94a
442896	0.0	0.0
114132	17.0	23.0
442897	0.0	0.0
442898	0.0	0.0
114134	895.0	544.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	6.0
100128788	32.0	142.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	2.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	3.0	1.0
100128782	441.0	335.0
100128781	5.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	3.0
403234	0.0	0.0
403235	0.0	2.0
403236	0.0	0.0
63982	23.0	17.0
102466616	0.0	0.0
126052	0.0	0.0
151009	49.0	106.0
403227	0.0	0.0
403228	0.0	0.0
138046	9.0	9.0
645558	0.0	0.0
403229	0.0	0.0
645573	3.0	1.0
645572	0.0	0.0
645571	1.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1098.0	2899.0
107131122	0.0	0.0
138050	6363.0	5181.0
403219	0.0	0.0
151011	6227.0	3129.0
645587	1.0	0.0
165679	523.0	662.0
126037	55.0	49.0
114049	3256.0	4332.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1766.0	766.0
100033821	0.0	2.0
106481488	0.0	0.0
100033822	0.0	1.0
106481489	0.0	0.0
85313	2140.0	2032.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	261.0	313.0
100033820	0.0	0.0
106481480	1.0	1.0
106481481	0.0	0.0
138065	9.0	6.0
645598	1.0	0.0
163007	0.0	2.0
114038	1.0	0.0
645591	0.0	1.0
106481495	0.0	0.0
114041	30.0	5.0
106481496	0.0	0.0
114042	6.0	4.0
106481493	0.0	0.0
114043	17.0	1.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	166.0	201.0
126017	967.0	1377.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1703.0	370.0
85301	2373.0	1486.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1387.0	4778.0
106481459	0.0	0.0
26994	11275.0	6454.0
106481457	2.0	12.0
26995	1812.0	2513.0
106481458	0.0	0.0
403271	0.0	1.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2027.0	2902.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	7.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	1.0
106481466	0.0	0.0
26993	2923.0	3040.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	12.0	5.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	39.0	29.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	935.0	690.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	20.0
106481437	0.0	0.0
26974	206.0	262.0
153657	27.0	40.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1517.0	1528.0
165631	60.0	101.0
106481436	1.0	0.0
26978	8.0	19.0
126075	1063.0	1364.0
106481439	0.0	0.0
403250	0.0	0.0
126074	126.0	196.0
403251	0.0	0.0
106481440	1.0	0.0
106481441	0.0	0.0
85359	2499.0	2568.0
106481444	2.0	7.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	2.0
85358	1975.0	1415.0
85354	0.0	0.0
85352	1735.0	507.0
403241	0.0	2.0
344462	4.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	992.0	548.0
153643	2.0	5.0
403247	0.0	0.0
403248	0.0	0.0
26985	4393.0	3010.0
106481448	0.0	0.0
26986	57845.0	108743.0
126069	160.0	130.0
106481449	0.0	0.0
126068	481.0	438.0
106481446	0.0	0.0
26983	1.0	3.0
26984	827.0	726.0
106481447	0.0	0.0
106481451	2.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	322.0	34.0
106481455	0.0	0.0
85349	34.0	25.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	2.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	3.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	0.0
100873392	0.0	6.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	6.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2199.0	3895.0
100873390	0.0	0.0
728556	59.0	98.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	122.0	64.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	452.0	365.0
106481423	0.0	2.0
106481420	0.0	3.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	7.0	62.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	1.0
100873385	0.0	0.0
100128801	0.0	1.0
285600	235.0	122.0
100873384	0.0	0.0
285601	23.0	12.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	1.0
63910	56.0	127.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	702.0	517.0
222008	3054.0	3.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4849.0	3317.0
63904	0.0	1.0
106481430	0.0	0.0
163071	27.0	22.0
63906	718.0	777.0
106481433	0.0	0.0
63908	789.0	651.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	2.0
285613	46.0	194.0
63920	696.0	468.0
63923	50.0	159.0
63922	237.0	633.0
728577	15.0	14.0
63925	1581.0	2205.0
63924	35.0	9.0
63916	4986.0	4416.0
63917	4247.0	3428.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	6.0
728564	7.0	8.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1304.0	1160.0
106481402	0.0	0.0
63931	1881.0	1761.0
106481403	0.0	0.0
63934	442.0	621.0
728567	7.0	3.0
106481408	0.0	0.0
163088	4.0	4.0
63933	1664.0	1806.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3796.0	3160.0
163087	767.0	720.0
728568	303.0	599.0
106481407	13.0	22.0
3704	1394.0	2322.0
3705	10098.0	4496.0
63926	440.0	565.0
3706	132.0	34.0
63929	1072.0	1303.0
3707	5698.0	3770.0
63928	237.0	119.0
3708	21505.0	6151.0
106481411	0.0	0.0
3709	3548.0	3646.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	7.0	19.0
3702	277.0	607.0
3703	9832.0	10275.0
645506	0.0	0.0
151050	2561.0	1110.0
645520	0.0	0.0
63941	2922.0	4805.0
63940	698.0	1120.0
63943	210.0	326.0
728517	0.0	1.0
163033	607.0	940.0
258010	3257.0	3351.0
63947	0.0	0.0
63946	0.0	18.0
728513	2.0	9.0
100033803	0.0	0.0
3716	15243.0	8037.0
100033804	0.0	0.0
3717	1769.0	835.0
100033805	0.0	0.0
3718	629.0	1040.0
63939	1498.0	1281.0
100033806	0.0	0.0
100190799	2.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	95.0	151.0
3710	1836.0	4209.0
3712	8855.0	6381.0
3713	9.0	4.0
3714	1878.0	3528.0
63950	0.0	0.0
728505	4.0	0.0
63951	200.0	460.0
100033807	0.0	0.0
728501	45.0	61.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	21601.0	7340.0
100033814	0.0	0.0
3727	12279.0	8251.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	1.0
3728	13814.0	21453.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1109.0	1605.0
151056	248.0	246.0
3725	31175.0	14694.0
645528	0.0	0.0
728532	35.0	21.0
163059	258.0	262.0
728538	2.0	0.0
728537	29.0	113.0
63967	37.0	29.0
3737	93.0	7.0
3738	80.0	44.0
3739	7.0	3.0
645538	0.0	0.0
3730	1197.0	2137.0
3732	5308.0	4020.0
3734	70.0	48.0
3735	7267.0	6705.0
3736	2.0	0.0
63970	69.0	22.0
3750	501.0	199.0
63971	7036.0	4343.0
63974	0.0	0.0
163049	2162.0	2095.0
63973	0.0	1.0
63976	155.0	173.0
222068	8401.0	7663.0
63978	0.0	1.0
63977	524.0	498.0
63979	483.0	546.0
728524	0.0	0.0
3748	167.0	320.0
163051	46.0	39.0
3749	1043.0	409.0
163050	43.0	54.0
3741	69.0	79.0
645548	3.0	4.0
3743	7.0	2.0
3744	3.0	0.0
3745	2307.0	297.0
3746	22.0	60.0
3747	207.0	970.0
285671	2553.0	798.0
285672	2301.0	2128.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	2262.0	21.0
285676	168.0	62.0
3761	0.0	2.0
100128657	0.0	0.0
285679	0.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	149.0	447.0
283008	7.0	22.0
3751	17.0	76.0
100873435	0.0	0.0
3752	5798.0	3341.0
100873434	0.0	0.0
3753	3.0	15.0
100873433	0.0	0.0
3754	129.0	11.0
100873432	0.0	0.0
3755	614.0	290.0
100873439	0.0	0.0
3756	137.0	5.0
100873438	0.0	0.0
3757	4717.0	1037.0
100873437	0.0	0.0
3758	8.0	11.0
100873436	0.0	1.0
100873420	2.0	4.0
3770	53.0	89.0
3772	453.0	91.0
100861458	1.0	1.0
100861453	8.0	15.0
100861455	0.0	0.0
1107	17941.0	12675.0
1106	7564.0	6511.0
1105	2319.0	2404.0
1104	984.0	2372.0
100873429	0.0	0.0
1103	0.0	1.0
1102	2080.0	1377.0
1101	96.0	110.0
3762	337.0	202.0
100873424	0.0	0.0
3763	57.0	27.0
100128640	189.0	370.0
100873423	0.0	0.0
3764	2548.0	631.0
100873422	0.0	0.0
3765	1.0	1.0
100873421	0.0	0.0
3766	73.0	33.0
100873428	0.0	0.0
3767	214.0	840.0
100873427	0.0	0.0
3768	136.0	113.0
1109	0.0	1.0
100873426	0.0	1.0
1108	15212.0	11152.0
3769	0.0	2.0
100873425	0.0	0.0
100128637	7.0	3.0
100128639	0.0	1.0
3780	38.0	37.0
100873453	0.0	2.0
3781	498.0	3580.0
100873452	0.0	0.0
3782	1310.0	383.0
100873451	0.0	0.0
3783	2043.0	4908.0
100873450	0.0	0.0
1121	1895.0	1217.0
100861468	0.0	0.0
1120	100.0	377.0
100861469	0.0	0.0
1118	29.0	272.0
1117	800.0	1094.0
1116	93.0	642.0
1114	3052.0	174.0
1113	94.0	641.0
1112	9560.0	4763.0
1111	295.0	345.0
3773	19.0	3.0
100873457	0.0	0.0
100873456	0.0	1.0
3775	941.0	958.0
100873455	0.0	0.0
3776	50.0	15.0
100873454	0.0	0.0
3777	5934.0	436.0
3778	23171.0	4264.0
3779	13009.0	2692.0
100873459	0.0	0.0
1119	1985.0	2675.0
100128627	2.0	1.0
100128626	0.0	0.0
3790	288.0	1152.0
100128628	4.0	1.0
3791	8936.0	2759.0
100873442	0.0	0.0
3792	30.0	21.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	2.0	10.0
1131	316.0	418.0
1130	2579.0	1370.0
100861476	0.0	0.0
1129	709.0	2.0
1128	5275.0	3960.0
1124	990.0	1354.0
1123	4107.0	542.0
1122	601.0	809.0
100861470	0.0	0.0
3784	1065.0	1983.0
100873446	0.0	0.0
3785	592.0	19.0
100873445	0.0	0.0
3786	279.0	138.0
100873444	0.0	0.0
3787	81.0	76.0
100873443	0.0	0.0
3788	40.0	11.0
100873449	0.0	12.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	1.0
283050	68.0	73.0
100128618	0.0	2.0
728597	1.0	9.0
100128617	2.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	211.0	177.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	9.0	13.0
285634	11.0	2.0
1142	0.0	1.0
1141	9.0	8.0
285636	3264.0	2254.0
1140	409.0	314.0
728599	2.0	2.0
1139	86.0	79.0
1138	74.0	101.0
1137	247.0	8.0
100861485	0.0	0.0
1136	28.0	11.0
1135	3632.0	2342.0
1134	178.0	15.0
1133	7.0	13.0
3795	285.0	181.0
100873479	14.0	14.0
3796	1853.0	1031.0
100873478	0.0	0.0
3797	1306.0	585.0
100873477	2.0	0.0
3798	155.0	57.0
100873476	0.0	0.0
3799	21842.0	15341.0
100873460	0.0	0.0
728586	24.0	22.0
285641	0.0	3.0
100873464	0.0	2.0
100873463	1.0	0.0
100873462	1.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1032.0	537.0
1153	17014.0	31378.0
1152	60237.0	32791.0
285647	28.0	30.0
728589	7.0	4.0
728588	1.0	1.0
1149	3.0	9.0
1147	1718.0	1229.0
1146	22.0	6.0
1145	91.0	56.0
1144	63.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	481.0	394.0
1163	512.0	339.0
285659	0.0	0.0
1161	363.0	343.0
1160	1023.0	212.0
1159	84.0	74.0
1158	6209.0	170.0
1157	1.0	2.0
1155	3904.0	2894.0
550643	1797.0	1508.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2835.0	2176.0
1175	3409.0	2734.0
285668	9.0	3.0
1174	1831.0	2239.0
1173	24759.0	18614.0
550631	78.0	112.0
100873489	0.0	0.0
283014	5.0	9.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	24.0	23.0
1186	2509.0	2874.0
1185	1894.0	1416.0
1184	445.0	358.0
1183	825.0	297.0
1182	6258.0	6994.0
1181	291.0	512.0
440375	52.0	48.0
1180	6.0	15.0
1179	0.0	0.0
1178	37.0	8.0
283089	7.0	13.0
85495	0.0	0.0
85480	1469.0	120.0
283080	0.0	0.0
1198	3196.0	3870.0
1197	4.0	1.0
1196	2158.0	2894.0
1195	5246.0	6460.0
440366	0.0	0.0
1193	624.0	514.0
1192	15231.0	16515.0
1191	111456.0	23329.0
1188	59.0	27.0
283078	4401.0	1094.0
85486	13.0	13.0
128615	0.0	0.0
85481	0.0	0.0
128611	56.0	157.0
440396	33.0	49.0
128609	0.0	0.0
128602	3.0	5.0
440387	0.0	0.0
128674	0.0	2.0
128676	0.0	1.0
114026	0.0	0.0
100861402	6.0	2.0
126014	88.0	190.0
440335	165.0	733.0
100128690	0.0	0.0
114034	684.0	700.0
126006	29.0	135.0
114036	11.0	9.0
100128696	1.0	0.0
100128688	0.0	0.0
126003	102.0	68.0
100861412	0.0	0.0
105180390	1.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	8.0	19.0
100128678	6.0	2.0
100861429	0.0	1.0
128653	0.0	1.0
200728	206.0	154.0
440356	5.0	2.0
440354	64.0	63.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	18.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	1.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	78.0	339.0
100861435	0.0	0.0
100861436	0.0	1.0
440345	125.0	69.0
200734	2592.0	2739.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	4.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	34.0	8.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4229.0	3187.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	7.0	6.0
165530	51.0	83.0
85409	357.0	272.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	97.0
106481383	2.0	0.0
85417	18.0	25.0
106481384	0.0	0.0
103106903	2.0	2.0
85414	39462.0	40813.0
106481389	0.0	0.0
85415	4758.0	9951.0
106481387	0.0	0.0
85413	1.0	28.0
106481388	0.0	0.0
645436	2.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	26.0	5.0
106481380	0.0	0.0
11	1.0	0.0
403341	678.0	753.0
12	89.0	335.0
13	1.0	0.0
14	7813.0	7836.0
15	1.0	9.0
16	12234.0	6559.0
645455	15.0	8.0
18	4632.0	3038.0
19	1048.0	1286.0
128580	7.0	4.0
85407	2390.0	475.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1318.0	1329.0
106481395	0.0	0.0
85403	1758.0	2090.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	2.0
106481393	0.0	1.0
20	4103.0	4702.0
106481390	0.0	0.0
21	2063.0	2647.0
106481391	0.0	0.0
22	1141.0	1128.0
153571	255.0	609.0
153572	299.0	959.0
23	6082.0	4401.0
24	14.0	15.0
25	10734.0	7467.0
26	3093.0	2766.0
27	1874.0	1890.0
28	880.0	587.0
29	7499.0	5513.0
153579	251.0	169.0
728615	0.0	0.0
728614	0.0	0.0
200765	192.0	257.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	33.0	30.0
102466518	0.0	0.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	2.0	0.0
106481364	0.0	0.0
85438	5.0	0.0
106481361	1.0	1.0
85439	310.0	128.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2826.0	2405.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	181.0	205.0
106481366	0.0	0.0
30	4568.0	4294.0
106481360	0.0	0.0
31	9995.0	9729.0
32	3465.0	2289.0
33	1361.0	871.0
34	2636.0	2603.0
35	1737.0	1076.0
153562	1138.0	1811.0
36	4720.0	3196.0
37	14437.0	14274.0
38	3994.0	2827.0
440307	6.0	13.0
39	2010.0	1245.0
165545	5.0	7.0
106481369	0.0	0.0
728606	128.0	1479.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	2.0
106481379	0.0	1.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	5.0	13.0
106481370	0.0	0.0
41	847.0	422.0
106481371	0.0	0.0
43	510.0	486.0
645486	1.0	1.0
47	14783.0	11800.0
48	9591.0	3065.0
49	20.0	26.0
106481338	0.0	0.0
106481339	0.0	2.0
106481336	0.0	0.0
106481337	1.0	1.0
106481341	0.0	0.0
106481342	4.0	5.0
106481340	0.0	0.0
85458	8446.0	2175.0
