id	c2b14984-5f00-40a2-b977-990f30066906	a772773c-9c24-4eb0-bd27-70c8a72b2f51
442896	1.0	0.0
114132	6.0	7.0
442897	0.0	0.0
442898	1.0	0.0
114134	441.0	909.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	2.0
100128788	88.0	102.0
100128787	1.0	0.0
440225	0.0	0.0
440224	1.0	3.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	845.0	254.0
100128781	4.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	1.0	2.0
102466616	0.0	0.0
126052	0.0	0.0
151009	47.0	17.0
403227	0.0	0.0
403228	0.0	0.0
138046	9.0	4.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	36.0	20.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	3559.0	932.0
107131122	0.0	0.0
138050	3791.0	8298.0
403219	0.0	0.0
151011	7407.0	2449.0
645587	0.0	0.0
165679	1362.0	159.0
126037	41.0	40.0
114049	6069.0	3104.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	2.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	852.0	274.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2658.0	1201.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	253.0	309.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	8.0	0.0
645598	0.0	0.0
163007	8.0	1.0
114038	1.0	0.0
645591	0.0	1.0
106481495	0.0	0.0
114041	29.0	4.0
106481496	0.0	0.0
114042	4.0	2.0
106481493	0.0	0.0
114043	3.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	99.0	227.0
126017	3334.0	2555.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	233.0	69.0
85301	436.0	413.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	5062.0	3727.0
106481459	0.0	0.0
26994	12354.0	6560.0
106481457	5.0	1.0
26995	4387.0	2722.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	940.0	3419.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1540.0	1482.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	0.0	5.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	42.0	58.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1584.0	673.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	7.0	6.0
106481437	0.0	0.0
26974	258.0	167.0
153657	56.0	22.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1346.0	814.0
165631	33.0	27.0
106481436	0.0	0.0
26978	5.0	5.0
126075	2095.0	976.0
106481439	0.0	0.0
403250	0.0	0.0
126074	363.0	239.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	5555.0	2546.0
106481444	0.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	456.0	1745.0
85354	0.0	0.0
85352	892.0	381.0
403241	0.0	0.0
344462	0.0	3.0
403244	0.0	0.0
403245	1.0	0.0
153642	1350.0	710.0
153643	6.0	33.0
403247	0.0	0.0
403248	0.0	0.0
26985	4612.0	4306.0
106481448	0.0	0.0
26986	59826.0	91118.0
126069	274.0	77.0
106481449	0.0	0.0
126068	748.0	380.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1560.0	492.0
106481447	0.0	0.0
106481451	0.0	0.0
106481452	0.0	0.0
106481450	1.0	0.0
114088	49.0	47.0
106481455	0.0	0.0
85349	28.0	1.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	2.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	8.0	2.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	0.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	1.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3498.0	6241.0
100873390	0.0	0.0
728556	88.0	85.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	81.0	84.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	554.0	202.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	8.0	9.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	187.0	85.0
100873384	0.0	0.0
285601	45.0	5.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	1.0
63910	13.0	30.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	922.0	780.0
222008	927.0	2321.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	8970.0	2695.0
63904	0.0	0.0
106481430	0.0	0.0
163071	26.0	8.0
63906	769.0	568.0
106481433	0.0	0.0
63908	608.0	596.0
106481434	0.0	0.0
106481431	0.0	1.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	2.0
285613	144.0	313.0
63920	1065.0	342.0
63923	0.0	84.0
63922	178.0	526.0
728577	65.0	25.0
63925	887.0	1393.0
63924	59.0	8.0
63916	3272.0	4223.0
63917	5071.0	5896.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	9.0	0.0
728564	3.0	3.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1871.0	857.0
106481402	0.0	0.0
63931	3001.0	1654.0
106481403	0.0	0.0
63934	459.0	415.0
728567	4.0	3.0
106481408	3.0	0.0
163088	1.0	9.0
63933	2470.0	2703.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2894.0	2395.0
163087	1283.0	382.0
728568	562.0	426.0
106481407	7.0	4.0
3704	2437.0	1493.0
3705	5633.0	3139.0
63926	696.0	641.0
3706	63.0	22.0
63929	947.0	780.0
3707	2447.0	4182.0
63928	313.0	0.0
3708	4374.0	2804.0
106481411	0.0	0.0
3709	1198.0	3651.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	8.0	3.0
3702	141.0	84.0
3703	11619.0	13094.0
645506	1.0	0.0
151050	2047.0	1434.0
645520	0.0	0.0
63941	4775.0	6049.0
63940	945.0	434.0
63943	412.0	231.0
728517	0.0	0.0
163033	400.0	581.0
258010	5262.0	4386.0
63947	1.0	0.0
63946	0.0	0.0
728513	0.0	1.0
100033803	0.0	0.0
3716	5337.0	9795.0
100033804	0.0	0.0
3717	1008.0	615.0
100033805	0.0	0.0
3718	165.0	228.0
63939	2271.0	694.0
100033806	0.0	0.0
100190799	2.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	125.0	58.0
3710	876.0	5628.0
3712	10064.0	11298.0
3713	11.0	0.0
3714	802.0	935.0
63950	0.0	0.0
728505	0.0	0.0
63951	455.0	204.0
100033807	0.0	0.0
728501	135.0	17.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	17342.0	46975.0
100033814	0.0	0.0
3727	8025.0	20196.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	1.0
3728	8541.0	18983.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	525.0	1014.0
151056	303.0	86.0
3725	28540.0	54711.0
645528	0.0	0.0
728532	29.0	18.0
163059	654.0	243.0
728538	0.0	0.0
728537	40.0	25.0
63967	23.0	59.0
3737	5.0	11.0
3738	16.0	47.0
3739	0.0	2.0
645538	0.0	0.0
3730	1560.0	779.0
3732	2004.0	3201.0
3734	63.0	15.0
3735	8481.0	6970.0
3736	2.0	1.0
63970	96.0	3.0
3750	114.0	113.0
63971	3681.0	5140.0
63974	0.0	0.0
163049	2881.0	1631.0
63973	0.0	0.0
63976	28.0	32.0
222068	11174.0	11247.0
63978	0.0	0.0
63977	244.0	555.0
63979	535.0	316.0
728524	0.0	0.0
3748	89.0	132.0
163051	80.0	23.0
3749	292.0	200.0
163050	99.0	36.0
3741	9.0	9.0
645548	2.0	1.0
3743	3.0	0.0
3744	0.0	0.0
3745	195.0	1490.0
3746	2.0	2.0
3747	562.0	11.0
285671	1867.0	658.0
285672	4086.0	1687.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1488.0	581.0
285676	164.0	17.0
3761	0.0	3.0
100128657	0.0	0.0
285679	0.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	275.0	166.0
283008	0.0	0.0
3751	13.0	1.0
100873435	0.0	0.0
3752	2252.0	4627.0
100873434	0.0	0.0
3753	1.0	5.0
100873433	0.0	0.0
3754	25.0	10.0
100873432	0.0	0.0
3755	514.0	214.0
100873439	0.0	0.0
3756	14.0	12.0
100873438	0.0	0.0
3757	1036.0	754.0
100873437	0.0	0.0
3758	4.0	1.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	25.0	53.0
3772	998.0	5.0
100861458	0.0	0.0
100861453	9.0	6.0
100861455	0.0	0.0
1107	6191.0	35166.0
1106	1697.0	4306.0
1105	1081.0	1411.0
1104	1402.0	1853.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2293.0	730.0
1101	26.0	2.0
3762	617.0	302.0
100873424	0.0	0.0
3763	118.0	232.0
100128640	230.0	207.0
100873423	0.0	0.0
3764	2450.0	446.0
100873422	0.0	0.0
3765	1.0	1.0
100873421	2.0	2.0
3766	13.0	20.0
100873428	0.0	0.0
3767	297.0	632.0
100873427	0.0	0.0
3768	28.0	66.0
1109	0.0	0.0
100873426	0.0	0.0
1108	4442.0	8987.0
3769	48.0	1.0
100873425	1.0	0.0
100128637	0.0	1.0
100128639	1.0	0.0
3780	20.0	9.0
100873453	0.0	0.0
3781	1408.0	568.0
100873452	0.0	0.0
3782	130.0	338.0
100873451	0.0	0.0
3783	1519.0	112.0
100873450	0.0	0.0
1121	2959.0	1785.0
100861468	0.0	0.0
1120	205.0	42.0
100861469	0.0	0.0
1118	109.0	3315.0
1117	697.0	109.0
1116	133.0	365.0
1114	508.0	158.0
1113	303.0	58.0
1112	3613.0	6007.0
1111	499.0	298.0
3773	2.0	3.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	1026.0	2149.0
100873455	0.0	0.0
3776	12.0	1.0
100873454	0.0	0.0
3777	2341.0	1032.0
3778	5714.0	2277.0
3779	6330.0	1208.0
100873459	0.0	0.0
1119	2002.0	623.0
100128627	2.0	0.0
100128626	0.0	0.0
3790	354.0	185.0
100128628	3.0	1.0
3791	1165.0	3067.0
100873442	0.0	0.0
3792	15.0	5.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	13.0
1131	51.0	164.0
1130	933.0	1016.0
100861476	0.0	0.0
1129	82.0	71.0
1128	10279.0	6380.0
1124	879.0	756.0
1123	2907.0	670.0
1122	242.0	688.0
100861470	0.0	0.0
3784	722.0	1071.0
100873446	0.0	0.0
3785	237.0	124.0
100873445	0.0	0.0
3786	179.0	56.0
100873444	0.0	0.0
3787	121.0	0.0
100873443	0.0	0.0
3788	47.0	6.0
100873449	0.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	115.0	70.0
100128618	0.0	2.0
728597	3.0	1.0
100128617	0.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	515.0	465.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	2.0	1.0
285634	1.0	3.0
1142	0.0	0.0
1141	3.0	6.0
285636	1965.0	2273.0
1140	585.0	231.0
728599	3.0	2.0
1139	89.0	20.0
1138	291.0	301.0
1137	20.0	59.0
100861485	1.0	0.0
1136	35.0	75.0
1135	3612.0	12130.0
1134	1.0	45.0
1133	2.0	3.0
3795	294.0	202.0
100873479	10.0	4.0
3796	1268.0	1160.0
100873478	0.0	0.0
3797	365.0	233.0
100873477	0.0	0.0
3798	43.0	15.0
100873476	0.0	0.0
3799	14205.0	21196.0
100873460	0.0	0.0
728586	30.0	6.0
285641	0.0	0.0
100873464	0.0	2.0
100873463	1.0	1.0
100873462	1.0	0.0
285643	0.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	567.0	346.0
1153	16548.0	12554.0
1152	51239.0	57232.0
285647	22.0	50.0
728589	1.0	8.0
728588	0.0	2.0
1149	15.0	1.0
1147	1949.0	1683.0
1146	0.0	0.0
1145	48.0	13.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	1413.0	925.0
1163	1546.0	274.0
285659	0.0	0.0
1161	606.0	281.0
1160	544.0	80.0
1159	211.0	19.0
1158	1435.0	148.0
1157	0.0	0.0
1155	4610.0	2398.0
550643	3127.0	1607.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3462.0	1781.0
1175	6924.0	5442.0
285668	6.0	0.0
1174	6317.0	4779.0
1173	26864.0	12503.0
550631	209.0	185.0
100873489	0.0	0.0
283014	2.0	0.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	19.0	1.0
1186	1534.0	3935.0
1185	529.0	868.0
1184	263.0	579.0
1183	178.0	110.0
1182	6182.0	11405.0
1181	128.0	446.0
440375	33.0	45.0
1180	5.0	3.0
1179	0.0	0.0
1178	6.0	0.0
283089	17.0	8.0
85495	0.0	0.0
85480	1637.0	177.0
283080	0.0	0.0
1198	2687.0	3108.0
1197	1.0	1.0
1196	1312.0	1111.0
1195	5269.0	4069.0
440366	0.0	0.0
1193	564.0	221.0
1192	41065.0	18362.0
1191	39657.0	9292.0
1188	61.0	0.0
283078	2177.0	880.0
85486	6.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	20.0	33.0
440396	20.0	24.0
128609	0.0	0.0
128602	7.0	0.0
440387	2.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	0.0	0.0
126014	72.0	141.0
440335	676.0	2143.0
100128690	0.0	0.0
114034	1001.0	466.0
126006	42.0	11.0
114036	5.0	2.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	112.0	120.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	4.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	453.0	297.0
440356	8.0	1.0
440354	88.0	29.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	10.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	1.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	93.0	53.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	35.0	155.0
200734	1317.0	2513.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	29.0	4.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3062.0	3230.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	7.0	1.0
165530	109.0	10.0
85409	143.0	182.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	154.0
106481383	0.0	0.0
85417	10.0	31.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	85007.0	318196.0
106481389	0.0	0.0
85415	5023.0	7649.0
106481387	0.0	0.0
85413	17.0	3.0
106481388	2.0	4.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	12.0	6.0
106481380	0.0	0.0
11	0.0	0.0
403341	278.0	443.0
12	32.0	2.0
13	2.0	0.0
14	9840.0	11411.0
15	3.0	0.0
16	8853.0	10962.0
645455	9.0	6.0
18	6088.0	8246.0
19	699.0	871.0
128580	9.0	3.0
85407	367.0	454.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1335.0	1683.0
106481395	0.0	0.0
85403	2870.0	2548.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	1121.0	8654.0
106481390	0.0	0.0
21	1110.0	4017.0
106481391	0.0	0.0
22	1840.0	854.0
153571	264.0	483.0
153572	257.0	631.0
23	2363.0	4935.0
24	26.0	7.0
25	2883.0	8514.0
26	3920.0	31.0
27	586.0	1615.0
28	981.0	80.0
29	2624.0	5708.0
153579	98.0	389.0
728615	0.0	0.0
728614	0.0	0.0
200765	330.0	228.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	21.0	23.0
102466518	0.0	0.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	0.0	3.0
106481364	0.0	1.0
85438	8.0	0.0
106481361	0.0	0.0
85439	117.0	562.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	5565.0	2949.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	79.0	70.0
106481366	0.0	0.0
30	8351.0	6063.0
106481360	0.0	0.0
31	5504.0	27033.0
32	861.0	541.0
33	2231.0	3485.0
34	4918.0	2639.0
35	2369.0	426.0
153562	1896.0	1798.0
36	8253.0	7338.0
37	16194.0	15732.0
38	5190.0	4988.0
440307	6.0	13.0
39	6247.0	1390.0
165545	2.0	3.0
106481369	0.0	0.0
728606	312.0	3068.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	4.0	12.0
106481370	0.0	0.0
41	441.0	512.0
106481371	0.0	0.0
43	228.0	114.0
645486	2.0	0.0
47	15992.0	39510.0
48	4904.0	4608.0
49	12.0	8.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	2.0	5.0
106481340	0.0	0.0
85458	4570.0	2253.0
106481345	0.0	0.0
85459	521.0	568.0
106481346	0.0	0.0
85456	4843.0	16112.0
