id	b7aa2312-9946-4dc5-a844-7e1cf249e284	edc8824b-e337-47be-8f6e-9a7516e69df0
26986	98239.0	62944.0
126069	91.0	56.0
106481449	0.0	0.0
126068	599.0	360.0
106481446	0.0	0.0
26983	0.0	0.0
26984	561.0	401.0
106481447	0.0	0.0
106481451	2.0	1.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	40.0	8.0
106481455	2.0	0.0
85349	1.0	0.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	3.0	0.0
85347	0.0	0.0
26980	2.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	2.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	0.0	0.0
100873392	2.0	8.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	3.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3368.0	2229.0
100873390	0.0	0.0
728556	97.0	26.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	47.0	29.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	308.0	185.0
106481423	2.0	0.0
106481420	1.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	435.0	134.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	127.0	38.0
100873384	0.0	0.0
285601	33.0	18.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	1.0
63910	110.0	74.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	484.0	263.0
222008	300.0	43.0
106481428	1.0	0.0
106481429	0.0	0.0
63905	2383.0	2134.0
63904	0.0	0.0
106481430	0.0	0.0
163071	5.0	1.0
63906	426.0	448.0
106481433	0.0	0.0
63908	596.0	238.0
106481434	0.0	1.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	120.0	44.0
63920	492.0	451.0
63923	7.0	1.0
63922	497.0	313.0
728577	3.0	15.0
63925	1326.0	1180.0
63924	22.0	1.0
63916	4953.0	3441.0
63917	4709.0	4258.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	6.0
728564	12.0	13.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1044.0	547.0
106481402	0.0	0.0
63931	3247.0	1744.0
106481403	0.0	0.0
63934	592.0	339.0
728567	1.0	9.0
106481408	0.0	0.0
163088	3.0	1.0
63933	2300.0	1882.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	1747.0	1095.0
163087	558.0	366.0
728568	589.0	539.0
106481407	26.0	9.0
3704	1853.0	1861.0
3705	4453.0	3478.0
63926	718.0	412.0
3706	37.0	27.0
63929	1260.0	660.0
3707	2449.0	1740.0
63928	3.0	3.0
3708	4465.0	1585.0
106481411	0.0	0.0
3709	2458.0	916.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	12.0	5.0
3702	62.0	35.0
3703	9721.0	9078.0
645506	0.0	0.0
151050	1510.0	584.0
645520	0.0	0.0
63941	4151.0	3388.0
63940	227.0	192.0
63943	285.0	207.0
728517	0.0	0.0
163033	719.0	776.0
258010	6244.0	5366.0
63947	0.0	0.0
63946	10.0	6.0
728513	0.0	0.0
100033803	0.0	0.0
3716	5565.0	2379.0
100033804	0.0	0.0
3717	480.0	256.0
100033805	0.0	0.0
3718	195.0	183.0
63939	840.0	1041.0
100033806	0.0	0.0
100190799	0.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	100.0	86.0
3710	1746.0	680.0
3712	5602.0	4127.0
3713	0.0	0.0
3714	491.0	638.0
63950	2.0	1.0
728505	0.0	0.0
63951	1048.0	702.0
100033807	0.0	0.0
728501	59.0	46.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	14497.0	2642.0
100033814	0.0	0.0
3727	18738.0	8596.0
63948	1.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	10918.0	7014.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	913.0	663.0
151056	337.0	79.0
3725	27471.0	2532.0
645528	0.0	1.0
728532	30.0	3.0
163059	301.0	241.0
728538	3.0	2.0
728537	66.0	48.0
63967	20.0	2.0
3737	3.0	1.0
3738	8.0	0.0
3739	2.0	0.0
645538	0.0	0.0
3730	483.0	764.0
3732	860.0	785.0
3734	4.0	0.0
3735	4933.0	3705.0
3736	0.0	0.0
63970	3.0	8.0
3750	63.0	22.0
63971	3159.0	2858.0
63974	3.0	1.0
163049	2184.0	1815.0
63973	0.0	0.0
63976	12.0	23.0
222068	10965.0	8009.0
63978	4.0	0.0
63977	320.0	166.0
63979	510.0	254.0
728524	0.0	0.0
3748	99.0	71.0
163051	75.0	106.0
3749	678.0	341.0
163050	22.0	17.0
3741	22.0	29.0
645548	6.0	5.0
3743	1.0	1.0
3744	0.0	0.0
3745	188.0	38.0
3746	20.0	3.0
3747	3426.0	782.0
285671	898.0	770.0
285672	2612.0	3051.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	482.0	207.0
285676	23.0	11.0
3761	0.0	0.0
100128657	0.0	0.0
285679	2.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1435.0	333.0
283008	1.0	2.0
3751	13.0	2.0
100873435	0.0	0.0
3752	3757.0	2058.0
100873434	0.0	0.0
3753	2.0	3.0
100873433	0.0	0.0
3754	42.0	2.0
100873432	0.0	0.0
3755	711.0	395.0
100873439	0.0	0.0
3756	4.0	3.0
100873438	0.0	0.0
3757	1376.0	349.0
100873437	0.0	0.0
3758	0.0	1.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	66.0	39.0
3772	6.0	33.0
100861458	3.0	0.0
100861453	10.0	2.0
100861455	0.0	0.0
1107	12453.0	7510.0
1106	4969.0	2972.0
1105	2227.0	1682.0
1104	3133.0	1777.0
100873429	0.0	0.0
1103	1.0	2.0
1102	696.0	471.0
1101	2.0	2.0
3762	19.0	25.0
100873424	0.0	0.0
3763	244.0	25.0
100128640	267.0	102.0
100873423	0.0	0.0
3764	506.0	166.0
100873422	0.0	0.0
3765	0.0	0.0
100873421	0.0	0.0
3766	19.0	5.0
100873428	0.0	0.0
3767	1216.0	1216.0
100873427	0.0	0.0
3768	121.0	80.0
1109	0.0	0.0
100873426	0.0	2.0
1108	7430.0	4080.0
3769	0.0	0.0
100873425	1.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	17.0	13.0
100873453	0.0	0.0
3781	3101.0	1557.0
100873452	1.0	0.0
3782	238.0	223.0
100873451	0.0	0.0
3783	2818.0	2241.0
100873450	0.0	0.0
1121	1051.0	428.0
100861468	0.0	0.0
1120	243.0	217.0
100861469	0.0	0.0
1118	19.0	20.0
1117	16.0	11.0
1116	92.0	72.0
1114	1755.0	185.0
1113	55804.0	7480.0
1112	3856.0	2267.0
1111	308.0	290.0
3773	0.0	57.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	1591.0	514.0
100873455	0.0	0.0
3776	12.0	8.0
100873454	0.0	0.0
3777	3844.0	1104.0
3778	1898.0	498.0
3779	3962.0	697.0
100873459	0.0	0.0
1119	4726.0	3657.0
100128627	0.0	2.0
100128626	0.0	0.0
3790	3084.0	3092.0
100128628	0.0	0.0
3791	565.0	704.0
100873442	0.0	0.0
3792	1.0	4.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	0.0	0.0
1131	3461.0	1831.0
1130	928.0	547.0
100861476	0.0	0.0
1129	433.0	195.0
1128	1252.0	3067.0
1124	1875.0	627.0
1123	1571.0	265.0
1122	687.0	354.0
100861470	1.0	0.0
3784	1285.0	1414.0
100873446	0.0	0.0
3785	321.0	151.0
100873445	0.0	1.0
3786	32.0	20.0
100873444	0.0	0.0
3787	2.0	21.0
100873443	0.0	0.0
3788	4.0	1.0
100873449	4.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	74.0	23.0
100128618	0.0	0.0
728597	7.0	2.0
100128617	9.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	1149.0	409.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	2.0
285634	1.0	3.0
1142	19.0	4.0
1141	30.0	11.0
285636	3652.0	2156.0
1140	194.0	191.0
728599	5.0	0.0
1139	4.0	2.0
1138	102.0	70.0
1137	5.0	1.0
100861485	0.0	0.0
1136	17.0	2.0
1135	2448.0	2933.0
1134	4.0	3.0
1133	44.0	12.0
3795	69.0	16.0
100873479	31.0	19.0
3796	620.0	255.0
100873478	0.0	0.0
3797	447.0	109.0
100873477	0.0	0.0
3798	38.0	14.0
100873476	0.0	0.0
3799	16317.0	10665.0
100873460	0.0	0.0
728586	36.0	16.0
285641	2.0	1.0
100873464	0.0	0.0
100873463	0.0	0.0
100873462	1.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	414.0	187.0
1153	22146.0	19044.0
1152	29368.0	32701.0
285647	11.0	8.0
728589	4.0	2.0
728588	3.0	1.0
1149	1.0	0.0
1147	1177.0	709.0
1146	3.0	0.0
1145	52.0	30.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	1.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	2480.0	402.0
1163	425.0	170.0
285659	0.0	0.0
1161	375.0	156.0
1160	212.0	39.0
1159	214.0	108.0
1158	635.0	68.0
1157	0.0	0.0
1155	3251.0	2642.0
550643	2429.0	1802.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3113.0	1566.0
1175	2376.0	2809.0
285668	1576.0	738.0
1174	1629.0	1042.0
1173	14001.0	10211.0
550631	199.0	158.0
100873489	0.0	0.0
283014	5.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	1.0
283092	0.0	0.0
1187	17.0	5.0
1186	1591.0	1233.0
1185	890.0	469.0
1184	621.0	292.0
1183	150.0	69.0
1182	10084.0	4484.0
1181	331.0	232.0
440375	8.0	2.0
1180	0.0	2.0
1179	2.0	0.0
1178	0.0	0.0
283089	11.0	4.0
85495	0.0	0.0
85480	288.0	61.0
283080	0.0	0.0
1198	4218.0	2620.0
1197	0.0	1.0
1196	1799.0	1683.0
1195	10654.0	4712.0
440366	0.0	0.0
1193	188.0	177.0
1192	21448.0	16870.0
1191	18253.0	3536.0
1188	8.0	3.0
283078	1204.0	298.0
85486	4.0	18.0
128615	0.0	0.0
85481	0.0	0.0
128611	9.0	6.0
440396	91.0	36.0
128609	0.0	0.0
128602	23.0	1.0
440387	0.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	0.0	6.0
126014	30.0	23.0
440335	2457.0	6611.0
100128690	0.0	0.0
114034	369.0	312.0
126006	14.0	33.0
114036	4.0	1.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	67.0	40.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	29.0	18.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	1.0
200728	178.0	70.0
440356	4.0	1.0
440354	25.0	20.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	2.0	0.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	32.0	7.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	4.0	10.0
100861435	0.0	0.0
100861436	0.0	1.0
440345	40.0	35.0
200734	2163.0	1236.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	13.0	4.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3133.0	2249.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	2.0
165530	5.0	5.0
85409	83.0	21.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	386.0	342.0
106481383	0.0	0.0
85417	11.0	9.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	151778.0	149489.0
106481389	0.0	0.0
85415	14372.0	7892.0
106481387	0.0	0.0
85413	42.0	27.0
106481388	4.0	0.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	12.0	5.0
106481380	0.0	0.0
11	0.0	0.0
403341	665.0	420.0
12	65.0	12.0
13	0.0	2.0
14	6665.0	5135.0
15	4.0	2.0
16	4652.0	2878.0
645455	2.0	0.0
18	4126.0	2182.0
19	440.0	202.0
128580	4.0	3.0
85407	205.0	50.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1048.0	468.0
106481395	0.0	0.0
85403	3299.0	1597.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	7.0	0.0
20	3836.0	2485.0
106481390	0.0	0.0
21	1774.0	1188.0
106481391	0.0	0.0
22	691.0	240.0
153571	431.0	421.0
153572	1166.0	624.0
23	2308.0	1444.0
24	15.0	9.0
25	6527.0	3351.0
26	32.0	275.0
27	2368.0	2088.0
28	45.0	33.0
29	2863.0	1874.0
153579	181.0	219.0
728615	0.0	0.0
728614	0.0	0.0
200765	369.0	195.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	63.0	32.0
102466518	0.0	0.0
102466516	13.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	204.0	103.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3527.0	2479.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	233.0	103.0
106481366	0.0	0.0
30	2434.0	1974.0
106481360	0.0	0.0
31	14502.0	9804.0
32	423.0	260.0
33	915.0	846.0
34	3749.0	1219.0
35	603.0	538.0
153562	2035.0	2044.0
36	9439.0	5119.0
37	10397.0	10332.0
38	2417.0	1174.0
440307	14.0	6.0
39	1630.0	1312.0
165545	0.0	10.0
106481369	0.0	0.0
728606	235.0	387.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	225.0	89.0
106481370	0.0	0.0
41	220.0	112.0
106481371	0.0	0.0
43	522.0	305.0
645486	0.0	0.0
47	18885.0	8229.0
48	2951.0	1773.0
49	5.0	5.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	2.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	0.0	2.0
106481340	0.0	0.0
85458	843.0	356.0
106481345	0.0	0.0
85459	601.0	296.0
106481346	0.0	0.0
85456	5801.0	5422.0
442910	0.0	0.0
106481343	0.0	0.0
85457	4141.0	1439.0
442911	0.0	0.0
