id	7985247f-9162-420b-b09c-55c977985b1e	aa09a5af-44cc-4f04-9ad9-d3b0a8b6aafc
442891	1.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	428.0	450.0
100128781	1.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	0.0
403234	0.0	0.0
403235	1.0	0.0
403236	1.0	0.0
63982	2.0	196.0
102466616	0.0	0.0
126052	0.0	0.0
151009	126.0	212.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	4.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2055.0	3261.0
107131122	0.0	0.0
138050	6104.0	5629.0
403219	1.0	0.0
151011	3046.0	2123.0
645587	2.0	1.0
165679	1105.0	4462.0
126037	30.0	22.0
114049	3459.0	4846.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	53.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	628.0	219.0
100033821	2.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1446.0	1548.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	84.0	74.0
100033820	0.0	0.0
106481480	3.0	0.0
106481481	0.0	0.0
138065	40.0	8.0
645598	0.0	0.0
163007	0.0	0.0
114038	9.0	2.0
645591	1.0	0.0
106481495	0.0	0.0
114041	49.0	12.0
106481496	0.0	0.0
114042	20.0	4.0
106481493	0.0	0.0
114043	6.0	1.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	202.0	236.0
126017	1100.0	507.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	110.0	39.0
85301	3047.0	720.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	1.0
26996	1661.0	4844.0
106481459	0.0	0.0
26994	5135.0	6658.0
106481457	9.0	10.0
26995	1734.0	2611.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1409.0	1844.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	3.0	2.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3829.0	2962.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	202.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	4.0	14.0
106481472	0.0	0.0
106481477	3.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	1218.0	433.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1472.0	1005.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	5.0
106481437	0.0	0.0
26974	188.0	241.0
153657	64.0	71.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1956.0	2790.0
165631	101.0	60.0
106481436	0.0	1.0
26978	15.0	21.0
126075	1958.0	2664.0
106481439	0.0	0.0
403250	0.0	0.0
126074	207.0	271.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2713.0	2500.0
106481444	7.0	7.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2707.0	1189.0
85354	0.0	0.0
85352	361.0	158.0
403241	1.0	1.0
344462	1.0	8.0
403244	0.0	0.0
403245	0.0	0.0
153642	384.0	385.0
153643	4.0	38.0
403247	0.0	0.0
403248	0.0	0.0
26985	2722.0	3446.0
106481448	0.0	0.0
26986	56433.0	64860.0
126069	143.0	177.0
106481449	0.0	0.0
126068	367.0	345.0
106481446	0.0	0.0
26983	0.0	0.0
26984	708.0	726.0
106481447	0.0	0.0
106481451	0.0	2.0
106481452	0.0	1.0
106481450	0.0	0.0
114088	54.0	27.0
106481455	0.0	2.0
85349	219.0	74.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	3.0	2.0
85347	0.0	0.0
26980	1.0	1.0
106481454	0.0	1.0
403238	0.0	0.0
85344	1.0	4.0
403239	0.0	2.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	2.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	0.0	0.0
100873392	8.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	1.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	1.0
63901	4702.0	7949.0
100873390	0.0	0.0
728556	83.0	280.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	91.0	54.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	343.0	348.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	5.0	9.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	139.0	115.0
100873384	0.0	0.0
285601	17.0	11.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	0.0	0.0
63910	138.0	85.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	458.0	579.0
222008	2278.0	771.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3884.0	4039.0
63904	0.0	2.0
106481430	0.0	0.0
163071	21.0	12.0
63906	710.0	769.0
106481433	1.0	1.0
63908	734.0	610.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	3.0
285613	183.0	226.0
63920	387.0	447.0
63923	9.0	9.0
63922	919.0	804.0
728577	52.0	17.0
63925	2266.0	1986.0
63924	6.0	1.0
63916	3250.0	3238.0
63917	3930.0	4061.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	3.0
728564	2.0	8.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1180.0	1307.0
106481402	2.0	1.0
63931	1450.0	1842.0
106481403	0.0	0.0
63934	667.0	542.0
728567	1.0	6.0
106481408	1.0	0.0
163088	3.0	10.0
63933	1187.0	1226.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3282.0	2264.0
163087	523.0	411.0
728568	326.0	378.0
106481407	11.0	11.0
3704	1958.0	2716.0
3705	5966.0	5491.0
63926	412.0	655.0
3706	64.0	27.0
63929	925.0	1026.0
3707	5407.0	6664.0
63928	713.0	24.0
3708	5138.0	2974.0
106481411	0.0	1.0
3709	2691.0	2494.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	46.0	44.0
3702	199.0	141.0
3703	7923.0	14224.0
645506	1.0	1.0
151050	1467.0	1991.0
645520	0.0	0.0
63941	4945.0	6044.0
63940	873.0	536.0
63943	214.0	287.0
728517	0.0	0.0
163033	693.0	591.0
258010	2117.0	4189.0
63947	0.0	0.0
63946	0.0	0.0
728513	1.0	2.0
100033803	0.0	0.0
3716	6881.0	5418.0
100033804	0.0	0.0
3717	940.0	813.0
100033805	0.0	0.0
3718	670.0	392.0
63939	750.0	799.0
100033806	0.0	0.0
100190799	6.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	168.0	263.0
3710	4686.0	3927.0
3712	8077.0	18777.0
3713	20.0	1.0
3714	3948.0	1133.0
63950	1.0	1.0
728505	0.0	0.0
63951	361.0	440.0
100033807	0.0	0.0
728501	18.0	16.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	125158.0	89972.0
100033814	0.0	0.0
3727	45124.0	38720.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	18030.0	17786.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1309.0	1046.0
151056	303.0	385.0
3725	139724.0	116865.0
645528	1.0	0.0
728532	15.0	17.0
163059	349.0	418.0
728538	1.0	1.0
728537	224.0	151.0
63967	35.0	94.0
3737	17.0	3.0
3738	44.0	19.0
3739	6.0	6.0
645538	0.0	0.0
3730	690.0	1806.0
3732	6727.0	2584.0
3734	51.0	20.0
3735	5000.0	4297.0
3736	2.0	0.0
63970	177.0	45.0
3750	207.0	63.0
63971	5068.0	4061.0
63974	0.0	0.0
163049	1596.0	1313.0
63973	0.0	0.0
63976	154.0	28.0
222068	7037.0	9268.0
63978	0.0	0.0
63977	625.0	629.0
63979	461.0	273.0
728524	0.0	0.0
3748	411.0	124.0
163051	47.0	27.0
3749	1111.0	199.0
163050	49.0	41.0
3741	21.0	17.0
645548	1.0	2.0
3743	6.0	0.0
3744	0.0	0.0
3745	467.0	256.0
3746	39.0	13.0
3747	82.0	238.0
285671	635.0	318.0
285672	961.0	619.0
100873431	0.0	0.0
100873430	0.0	1.0
3760	475.0	6.0
285676	126.0	38.0
3761	1.0	0.0
100128657	0.0	0.0
285679	0.0	4.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	284.0	70.0
283008	0.0	0.0
3751	2.0	13.0
100873435	0.0	0.0
3752	2916.0	2697.0
100873434	0.0	0.0
3753	7.0	10.0
100873433	0.0	0.0
3754	65.0	4.0
100873432	0.0	0.0
3755	436.0	171.0
100873439	0.0	0.0
3756	56.0	4.0
100873438	0.0	0.0
3757	1285.0	219.0
100873437	0.0	0.0
3758	12.0	3.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	204.0	106.0
3772	614.0	32.0
100861458	0.0	1.0
100861453	31.0	12.0
100861455	0.0	1.0
1107	25481.0	22252.0
1106	8272.0	5678.0
1105	1853.0	1545.0
1104	1071.0	1755.0
100873429	0.0	0.0
1103	2.0	1.0
1102	1494.0	572.0
1101	161.0	22.0
3762	696.0	372.0
100873424	0.0	0.0
3763	43.0	77.0
100128640	176.0	424.0
100873423	0.0	0.0
3764	579.0	288.0
100873422	0.0	0.0
3765	6.0	5.0
100873421	1.0	1.0
3766	95.0	124.0
100873428	0.0	0.0
3767	720.0	765.0
100873427	0.0	0.0
3768	108.0	67.0
1109	0.0	1.0
100873426	0.0	1.0
1108	10151.0	8163.0
3769	5.0	2.0
100873425	1.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	31.0	18.0
100873453	0.0	0.0
3781	1233.0	2305.0
100873452	0.0	1.0
3782	396.0	78.0
100873451	0.0	0.0
3783	4469.0	2882.0
100873450	0.0	0.0
1121	1045.0	1171.0
100861468	0.0	0.0
1120	426.0	233.0
100861469	0.0	0.0
1118	301.0	2600.0
1117	259.0	1861.0
1116	132.0	253.0
1114	245.0	42.0
1113	5986.0	330.0
1112	4537.0	2422.0
1111	338.0	525.0
3773	1.0	2.0
100873457	3.0	0.0
100873456	0.0	0.0
3775	681.0	1549.0
100873455	0.0	0.0
3776	11.0	20.0
100873454	0.0	0.0
3777	1659.0	527.0
3778	6879.0	2289.0
3779	3671.0	373.0
100873459	0.0	0.0
1119	2590.0	3289.0
100128627	5.0	1.0
100128626	0.0	0.0
3790	388.0	1080.0
100128628	24.0	9.0
3791	1754.0	857.0
100873442	0.0	0.0
3792	26.0	14.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	5.0
1131	129.0	497.0
1130	1730.0	1204.0
100861476	0.0	0.0
1129	90.0	0.0
1128	8259.0	10422.0
1124	333.0	223.0
1123	809.0	708.0
1122	366.0	599.0
100861470	0.0	0.0
3784	1718.0	1357.0
100873446	0.0	0.0
3785	84.0	61.0
100873445	0.0	0.0
3786	71.0	31.0
100873444	0.0	0.0
3787	133.0	15.0
100873443	0.0	0.0
3788	30.0	11.0
100873449	3.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	182.0	202.0
100128618	0.0	0.0
728597	1.0	2.0
100128617	15.0	25.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	225.0	2077.0
100873473	0.0	0.0
100873472	0.0	1.0
1143	3.0	1.0
285634	5.0	2.0
1142	0.0	1.0
1141	19.0	7.0
285636	1396.0	1616.0
1140	232.0	160.0
728599	3.0	3.0
1139	85.0	8.0
1138	57.0	200.0
1137	46.0	0.0
100861485	0.0	2.0
1136	12.0	43.0
1135	8873.0	25126.0
1134	7.0	21.0
1133	18.0	21.0
3795	235.0	155.0
100873479	11.0	22.0
3796	1022.0	550.0
100873478	0.0	0.0
3797	692.0	466.0
100873477	2.0	0.0
3798	76.0	12.0
100873476	0.0	0.0
3799	11035.0	11735.0
100873460	0.0	0.0
728586	16.0	16.0
285641	2.0	1.0
100873464	3.0	0.0
100873463	0.0	0.0
100873462	3.0	2.0
285643	1.0	1.0
100128603	0.0	1.0
100873461	0.0	0.0
1154	1366.0	1351.0
1153	28319.0	23449.0
1152	32704.0	7705.0
285647	33.0	18.0
728589	5.0	7.0
728588	5.0	19.0
1149	7.0	0.0
1147	1013.0	883.0
1146	5.0	3.0
1145	67.0	51.0
1144	2.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	2.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	582.0	1648.0
1163	462.0	399.0
285659	0.0	0.0
1161	267.0	205.0
1160	181.0	160.0
1159	200.0	260.0
1158	226.0	20.0
1157	0.0	0.0
1155	2203.0	2404.0
550643	1348.0	1743.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1499.0	1846.0
1175	3836.0	6725.0
285668	3.0	1.0
1174	2164.0	3362.0
1173	16914.0	11423.0
550631	212.0	337.0
100873489	0.0	0.0
283014	11.0	1.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	120.0	84.0
1186	4158.0	4097.0
1185	1753.0	1436.0
1184	467.0	386.0
1183	376.0	395.0
1182	4945.0	7400.0
1181	423.0	238.0
440375	47.0	55.0
1180	26.0	8.0
1179	1.0	9.0
1178	0.0	2.0
283089	12.0	20.0
85495	0.0	0.0
85480	468.0	55.0
283080	0.0	0.0
1198	4398.0	5361.0
1197	1.0	1.0
1196	2391.0	2401.0
1195	7673.0	7307.0
440366	2.0	2.0
1193	413.0	154.0
1192	13799.0	25119.0
1191	34456.0	8178.0
1188	90.0	13.0
283078	854.0	356.0
85486	7.0	7.0
128615	0.0	0.0
85481	0.0	0.0
128611	73.0	46.0
440396	60.0	82.0
128609	0.0	0.0
128602	9.0	134.0
440387	8.0	31.0
128674	2.0	0.0
128676	1.0	0.0
114026	0.0	0.0
100861402	4.0	1.0
126014	134.0	146.0
440335	730.0	1408.0
100128690	0.0	0.0
114034	572.0	615.0
126006	185.0	64.0
114036	7.0	7.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	90.0	60.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	9.0	6.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	201.0	369.0
440356	4.0	3.0
440354	74.0	36.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	3.0	0.0
100873413	2.0	1.0
128646	0.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	23.0	53.0
100873410	0.0	0.0
100873417	8.0	4.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	355.0	104.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	143.0	142.0
200734	2186.0	2018.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	5.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	22.0	12.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3328.0	3735.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	8.0	8.0
165530	110.0	26.0
85409	651.0	113.0
106481385	1.0	2.0
106481386	0.0	1.0
85416	0.0	4.0
106481383	2.0	2.0
85417	29.0	48.0
106481384	1.0	0.0
103106903	0.0	0.0
85414	116873.0	170234.0
106481389	0.0	0.0
85415	3514.0	8290.0
106481387	0.0	0.0
85413	5.0	8.0
106481388	7.0	3.0
645436	2.0	2.0
106481381	0.0	0.0
106481382	0.0	0.0
10	11.0	26.0
106481380	0.0	0.0
11	0.0	1.0
403341	484.0	404.0
12	309.0	1050.0
13	0.0	1.0
14	7713.0	9604.0
15	9.0	0.0
16	8072.0	8014.0
645455	6.0	9.0
18	4441.0	8353.0
19	1132.0	956.0
128580	1.0	4.0
85407	659.0	83.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1075.0	1319.0
106481395	0.0	0.0
85403	1075.0	1636.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	1.0	1.0
20	5437.0	5388.0
106481390	0.0	0.0
21	2634.0	2723.0
106481391	0.0	0.0
22	909.0	1101.0
153571	328.0	658.0
153572	564.0	1243.0
23	4836.0	4928.0
24	23.0	36.0
25	6954.0	7774.0
26	377.0	51.0
27	1539.0	1369.0
28	751.0	47.0
29	9069.0	5216.0
153579	363.0	190.0
728615	2.0	1.0
728614	0.0	0.0
200765	273.0	376.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	34.0	13.0
102466518	2.0	0.0
102466516	24.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	11.0	0.0
106481361	0.0	0.0
85439	453.0	554.0
106481362	0.0	0.0
106481367	1.0	1.0
85437	2004.0	2588.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	355.0	292.0
106481366	0.0	0.0
30	5365.0	7794.0
106481360	0.0	0.0
31	10323.0	16746.0
32	3036.0	725.0
33	1714.0	8511.0
34	2037.0	2682.0
35	1497.0	1042.0
153562	1216.0	945.0
36	4082.0	9478.0
37	23331.0	28326.0
38	2201.0	2892.0
440307	14.0	24.0
39	1658.0	2281.0
165545	11.0	11.0
106481369	0.0	0.0
728606	1255.0	1954.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	4.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	8.0	8.0
106481370	0.0	0.0
41	558.0	874.0
106481371	0.0	0.0
43	508.0	729.0
645486	0.0	0.0
47	11269.0	26414.0
48	3229.0	3842.0
49	32.0	10.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	3.0
106481341	0.0	0.0
106481342	4.0	2.0
106481340	0.0	0.0
85458	3009.0	1040.0
106481345	1.0	0.0
85459	645.0	558.0
