id	ec4a2c9d-1d81-4129-b2b9-ac500f39f7ca	0532b0ce-9326-49a6-a19b-f888bf7d000f
1019	3380.0	3798.0
128709	0.0	0.0
1018	24.0	23.0
1017	1365.0	1654.0
1016	6.0	12.0
1015	97.0	74.0
1014	2.0	2.0
1013	2.0	79.0
1012	1055.0	607.0
116730	7.0	28.0
3674	17.0	26.0
100873358	0.0	0.0
3675	8419.0	4875.0
100873357	0.0	1.0
3676	844.0	1055.0
100128731	5813.0	7236.0
100873356	0.0	0.0
3678	4727.0	6009.0
3679	3316.0	6479.0
100873359	0.0	0.0
728464	223.0	248.0
728463	85.0	196.0
100128725	0.0	0.0
3690	367.0	446.0
3691	10097.0	4506.0
100873343	0.0	1.0
3692	3680.0	3902.0
3693	8412.0	12734.0
285521	1215.0	1208.0
100873342	0.0	0.0
3694	1860.0	345.0
100873341	0.0	0.0
3695	149.0	171.0
100873340	0.0	0.0
100128723	2.0	1.0
1033	35.0	83.0
1032	183.0	269.0
285525	4.0	5.0
1031	577.0	774.0
285527	3419.0	4558.0
1030	971.0	884.0
728468	2.0	0.0
440288	145.0	161.0
1029	35.0	216.0
440295	95.0	107.0
1028	1240.0	905.0
1027	4338.0	4330.0
1026	3867.0	5408.0
1025	2733.0	2869.0
1024	874.0	964.0
3685	9506.0	14528.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	581.0	890.0
100873345	0.0	0.0
3688	22762.0	34370.0
100873344	0.0	1.0
3689	3314.0	4461.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	1.0
100873371	2.0	0.0
100873370	0.0	0.0
728498	15.0	6.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	63.0	80.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	150.0	123.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	1.0
1044	7.0	14.0
1043	655.0	945.0
1041	1.0	0.0
1040	2092.0	2205.0
1039	1802.0	1882.0
1038	1.0	2.0
1036	954.0	1582.0
3696	3715.0	1455.0
3697	4.0	2.0
100873379	0.0	0.0
3698	18.0	8.0
100873378	1.0	0.0
3699	80.0	39.0
100873377	0.0	0.0
728486	5.0	9.0
100873361	0.0	0.0
105373869	4.0	12.0
100873360	1.0	0.0
285540	165.0	191.0
100128705	0.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	30.0	325.0
100873362	0.0	0.0
100128701	2.0	0.0
1054	1961.0	2241.0
285547	0.0	0.0
1053	7.0	9.0
285548	10.0	2.0
1052	3586.0	3771.0
1051	2269.0	1541.0
728489	9.0	9.0
1050	904.0	1162.0
100128707	0.0	0.0
1048	106.0	430.0
1047	1149.0	2578.0
1046	0.0	0.0
1045	11.0	8.0
100873369	7.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	3901.0	5664.0
1063	187.0	421.0
1062	131.0	172.0
1061	5.0	10.0
1060	2281.0	1962.0
440253	129.0	103.0
1059	4835.0	4884.0
1058	23.0	22.0
1057	0.0	0.0
85379	7126.0	6483.0
114112	444.0	570.0
1056	40.0	20.0
85377	3267.0	2817.0
85378	2748.0	3160.0
128745	0.0	0.0
85376	17.0	9.0
440248	561.0	540.0
1075	2596.0	4246.0
1074	19.0	35.0
1073	6666.0	7937.0
1072	25827.0	33139.0
1071	40.0	114.0
440243	0.0	0.0
1070	857.0	868.0
1069	3622.0	3368.0
1068	0.0	1.0
85369	2144.0	2708.0
85366	2.0	84.0
85364	1425.0	1531.0
85365	3198.0	4039.0
85363	1893.0	2716.0
85360	1572.0	2003.0
1080	3540.0	170.0
85391	1.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	512.0	916.0
1087	33.0	7.0
1086	0.0	0.0
440279	13.0	2.0
1085	4.0	2.0
1084	15.0	18.0
440278	100.0	196.0
1082	0.0	0.0
403294	0.0	0.0
440275	5645.0	6205.0
1081	11.0	16.0
85397	2.0	4.0
85395	412.0	487.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	2.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	4.0
440270	620.0	695.0
1089	31.0	18.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	152.0	195.0
285598	628.0	759.0
126133	1230.0	1563.0
128790	0.0	0.0
126129	159.0	267.0
126123	20.0	0.0
442862	0.0	0.0
126119	666.0	901.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	4.0	0.0
442896	0.0	0.0
114132	20.0	17.0
442897	0.0	0.0
442898	0.0	0.0
114134	810.0	927.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	6.0
100128788	57.0	57.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	5.0
442890	0.0	3.0
442891	0.0	0.0
442892	1.0	0.0
128756	1.0	1.0
100128782	581.0	457.0
100128781	1.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	9.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	26.0	9.0
102466616	0.0	0.0
126052	0.0	2.0
151009	79.0	65.0
403227	0.0	0.0
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	4.0	15.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1567.0	1650.0
107131122	0.0	0.0
138050	6480.0	7872.0
403219	0.0	0.0
151011	4933.0	4030.0
645587	0.0	1.0
165679	1741.0	837.0
126037	20.0	42.0
114049	3171.0	3181.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1081.0	990.0
100033821	2.0	2.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1991.0	1955.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	228.0	329.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	25.0	2.0
645598	0.0	1.0
163007	2.0	4.0
114038	1.0	1.0
645591	0.0	0.0
106481495	0.0	0.0
114041	29.0	24.0
106481496	0.0	0.0
114042	5.0	7.0
106481493	0.0	0.0
114043	5.0	12.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	135.0	185.0
126017	2085.0	1879.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	598.0	755.0
85301	2178.0	1776.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1926.0	11185.0
106481459	0.0	0.0
26994	7438.0	8155.0
106481457	5.0	3.0
26995	2109.0	3392.0
106481458	0.0	0.0
403271	0.0	1.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1863.0	3360.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	0.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2185.0	2447.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	2.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	10.0	3.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	60.0	507.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1098.0	912.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	6.0	14.0
106481437	0.0	0.0
26974	308.0	426.0
153657	45.0	24.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1278.0	1765.0
165631	53.0	102.0
106481436	0.0	0.0
26978	8.0	25.0
126075	1170.0	1520.0
106481439	0.0	0.0
403250	1.0	0.0
126074	279.0	376.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2478.0	2394.0
106481444	1.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2113.0	2482.0
85354	0.0	0.0
85352	553.0	678.0
403241	0.0	0.0
344462	2.0	9.0
403244	1.0	0.0
403245	0.0	0.0
153642	894.0	968.0
153643	10.0	13.0
403247	0.0	0.0
403248	0.0	0.0
26985	4065.0	5381.0
106481448	0.0	0.0
26986	57459.0	76131.0
126069	146.0	181.0
106481449	0.0	0.0
126068	637.0	664.0
106481446	0.0	0.0
26983	0.0	0.0
26984	859.0	878.0
106481447	0.0	0.0
106481451	4.0	3.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	78.0	106.0
106481455	0.0	0.0
85349	18.0	10.0
106481456	0.0	0.0
26982	0.0	1.0
106481453	0.0	0.0
85347	0.0	0.0
26980	0.0	5.0
106481454	1.0	0.0
403238	0.0	0.0
85344	2.0	4.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	3.0	3.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	2.0
100873392	4.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	2.0	0.0
63901	3076.0	5601.0
100873390	0.0	0.0
728556	57.0	94.0
106481419	0.0	0.0
100128817	0.0	1.0
728558	120.0	133.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	445.0	425.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	1.0
100873381	19.0	64.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	165.0	193.0
100873384	0.0	0.0
285601	36.0	15.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	2.0
63910	96.0	77.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	707.0	934.0
222008	219.0	3765.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4296.0	3772.0
63904	0.0	0.0
106481430	0.0	1.0
163071	36.0	39.0
63906	755.0	758.0
106481433	0.0	0.0
63908	809.0	892.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	1.0
285613	90.0	93.0
63920	492.0	530.0
63923	6.0	32.0
63922	262.0	476.0
728577	71.0	45.0
63925	1572.0	1863.0
63924	12.0	8.0
63916	4110.0	4834.0
63917	4338.0	5041.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	6.0
728564	3.0	14.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1451.0	1344.0
106481402	0.0	1.0
63931	1958.0	2327.0
106481403	0.0	0.0
63934	522.0	722.0
728567	0.0	4.0
106481408	0.0	0.0
163088	3.0	5.0
63933	2169.0	2754.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3194.0	3208.0
163087	924.0	882.0
728568	349.0	474.0
106481407	11.0	13.0
3704	1444.0	1734.0
3705	7088.0	6540.0
63926	587.0	854.0
3706	62.0	57.0
63929	1000.0	1173.0
3707	4459.0	4547.0
63928	88.0	22.0
3708	7377.0	12908.0
106481411	0.0	0.0
3709	3260.0	18061.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	11.0	23.0
3702	286.0	435.0
3703	10327.0	19516.0
645506	0.0	0.0
151050	2046.0	1736.0
645520	0.0	0.0
63941	3368.0	4381.0
63940	958.0	1070.0
63943	237.0	242.0
728517	0.0	0.0
163033	391.0	548.0
258010	2896.0	2963.0
63947	0.0	0.0
63946	0.0	0.0
728513	4.0	2.0
100033803	0.0	0.0
3716	11118.0	13902.0
100033804	0.0	0.0
3717	1244.0	1337.0
100033805	0.0	0.0
3718	744.0	1205.0
63939	1520.0	1603.0
100033806	0.0	0.0
100190799	0.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	90.0	106.0
3710	3349.0	3248.0
3712	9592.0	14950.0
3713	7.0	0.0
3714	2733.0	1304.0
63950	2.0	2.0
728505	0.0	4.0
63951	399.0	375.0
100033807	0.0	0.0
728501	22.0	38.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	8742.0	14165.0
100033814	0.0	0.0
3727	5336.0	9400.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	4.0
3728	13457.0	14081.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1251.0	2064.0
151056	365.0	363.0
3725	16430.0	33319.0
645528	1.0	0.0
728532	35.0	35.0
163059	389.0	361.0
728538	0.0	0.0
728537	80.0	62.0
63967	38.0	48.0
3737	30.0	86.0
3738	70.0	100.0
3739	3.0	2.0
645538	0.0	0.0
3730	1378.0	1527.0
3732	4974.0	4646.0
3734	49.0	64.0
3735	6295.0	8813.0
3736	1.0	9.0
63970	41.0	38.0
3750	217.0	332.0
63971	5615.0	6327.0
63974	0.0	0.0
163049	2253.0	2451.0
63973	0.0	0.0
63976	84.0	123.0
222068	7609.0	10618.0
63978	0.0	0.0
63977	456.0	670.0
63979	453.0	477.0
728524	0.0	0.0
3748	359.0	150.0
163051	41.0	34.0
3749	732.0	625.0
163050	83.0	60.0
3741	20.0	32.0
645548	2.0	3.0
3743	4.0	47.0
3744	0.0	0.0
3745	842.0	1414.0
3746	15.0	23.0
3747	830.0	170.0
285671	1321.0	1383.0
285672	1956.0	2288.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	977.0	1051.0
285676	188.0	114.0
3761	0.0	1.0
100128657	0.0	0.0
285679	1.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	326.0	696.0
283008	0.0	2.0
3751	22.0	25.0
100873435	0.0	0.0
3752	4238.0	6844.0
100873434	0.0	0.0
3753	6.0	3.0
100873433	0.0	0.0
3754	22.0	45.0
100873432	0.0	0.0
3755	501.0	279.0
100873439	0.0	0.0
3756	64.0	265.0
100873438	0.0	0.0
3757	1826.0	2095.0
100873437	0.0	0.0
3758	2.0	0.0
100873436	0.0	0.0
100873420	5.0	0.0
3770	77.0	53.0
3772	362.0	98.0
100861458	0.0	1.0
100861453	12.0	3.0
100861455	2.0	0.0
1107	17679.0	18940.0
1106	6214.0	7484.0
1105	2012.0	2774.0
1104	1093.0	1464.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1904.0	1861.0
1101	69.0	33.0
3762	443.0	260.0
100873424	0.0	0.0
3763	93.0	31.0
100128640	148.0	146.0
100873423	0.0	0.0
3764	1506.0	1486.0
100873422	0.0	0.0
3765	2.0	6.0
100873421	0.0	0.0
3766	16.0	47.0
100873428	0.0	0.0
3767	590.0	697.0
100873427	0.0	0.0
3768	120.0	187.0
1109	0.0	0.0
100873426	0.0	0.0
1108	9661.0	14254.0
3769	6.0	0.0
100873425	2.0	0.0
100128637	0.0	2.0
100128639	0.0	1.0
3780	16.0	27.0
100873453	0.0	0.0
3781	1740.0	336.0
100873452	0.0	1.0
3782	739.0	1055.0
100873451	0.0	0.0
3783	2152.0	3819.0
100873450	0.0	0.0
1121	2049.0	2101.0
100861468	0.0	0.0
1120	164.0	135.0
100861469	0.0	0.0
1118	316.0	882.0
1117	640.0	839.0
1116	202.0	275.0
1114	393.0	342.0
1113	1826.0	943.0
1112	5883.0	8348.0
1111	345.0	298.0
3773	0.0	3.0
100873457	0.0	2.0
100873456	0.0	0.0
3775	895.0	1093.0
100873455	0.0	0.0
3776	131.0	198.0
100873454	0.0	0.0
3777	3292.0	2088.0
3778	9820.0	18670.0
3779	4388.0	5214.0
100873459	0.0	0.0
1119	1843.0	1811.0
100128627	1.0	2.0
100128626	0.0	0.0
3790	429.0	356.0
100128628	5.0	5.0
3791	3985.0	5744.0
100873442	0.0	0.0
3792	23.0	32.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	9.0
1131	134.0	1621.0
1130	2309.0	2473.0
100861476	0.0	0.0
1129	132.0	299.0
1128	7952.0	6817.0
1124	817.0	2453.0
1123	1249.0	1464.0
1122	504.0	779.0
100861470	0.0	0.0
3784	1717.0	1689.0
100873446	0.0	0.0
3785	69.0	114.0
100873445	0.0	0.0
3786	213.0	90.0
100873444	0.0	0.0
3787	67.0	43.0
100873443	0.0	0.0
3788	97.0	64.0
100873449	2.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	61.0	65.0
100128618	0.0	0.0
728597	4.0	4.0
100128617	1.0	5.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	220.0	87.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	4.0	17.0
285634	9.0	5.0
1142	0.0	0.0
1141	14.0	9.0
285636	2500.0	3256.0
1140	399.0	413.0
728599	0.0	2.0
1139	79.0	19.0
1138	106.0	274.0
1137	38.0	50.0
100861485	0.0	0.0
1136	34.0	215.0
1135	3587.0	10457.0
1134	2.0	351.0
1133	1.0	6.0
3795	206.0	178.0
100873479	11.0	6.0
3796	1590.0	1598.0
100873478	0.0	0.0
3797	893.0	899.0
100873477	0.0	2.0
3798	100.0	109.0
100873476	0.0	0.0
3799	17670.0	20228.0
100873460	0.0	0.0
728586	31.0	26.0
285641	0.0	0.0
100873464	0.0	3.0
100873463	0.0	0.0
100873462	1.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	382.0	639.0
1153	16938.0	18691.0
1152	47978.0	35839.0
285647	22.0	39.0
728589	4.0	8.0
728588	5.0	15.0
1149	0.0	1.0
1147	1730.0	1734.0
1146	4.0	36.0
1145	30.0	35.0
1144	0.0	122.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	277.0	362.0
1163	565.0	376.0
285659	0.0	0.0
1161	287.0	349.0
1160	350.0	1102.0
1159	123.0	165.0
1158	386.0	8146.0
1157	0.0	0.0
1155	2398.0	3303.0
550643	1637.0	1726.0
283025	2.0	1.0
100873499	0.0	0.0
100873498	1.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2246.0	3457.0
1175	3397.0	4887.0
285668	4.0	2.0
1174	2576.0	2815.0
1173	20903.0	21286.0
550631	154.0	144.0
100873489	0.0	0.0
283014	3.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	49.0	37.0
1186	3132.0	3601.0
1185	1198.0	1555.0
1184	475.0	934.0
1183	458.0	876.0
1182	6751.0	9965.0
1181	327.0	411.0
440375	56.0	49.0
1180	5.0	8.0
1179	28.0	0.0
1178	3.0	0.0
283089	15.0	10.0
85495	0.0	0.0
85480	618.0	567.0
283080	0.0	0.0
1198	2874.0	3426.0
1197	2.0	4.0
1196	1964.0	1842.0
1195	4734.0	4897.0
440366	0.0	0.0
1193	726.0	942.0
1192	16943.0	17449.0
1191	39239.0	50769.0
1188	97.0	30.0
283078	2156.0	2037.0
85486	1.0	11.0
128615	0.0	0.0
85481	0.0	1.0
128611	77.0	190.0
440396	37.0	33.0
128609	0.0	0.0
128602	5.0	5.0
440387	0.0	0.0
128674	0.0	0.0
128676	0.0	1.0
114026	0.0	0.0
100861402	0.0	2.0
126014	113.0	123.0
440335	301.0	3156.0
100128690	0.0	0.0
114034	860.0	734.0
126006	47.0	42.0
114036	12.0	13.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	46.0	74.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	7.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	1.0	0.0
200728	188.0	297.0
440356	3.0	3.0
440354	100.0	88.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	1.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	13.0
100873410	0.0	0.0
100873417	0.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	11.0	3.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	53.0	227.0
200734	2662.0	2036.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	23.0	42.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4030.0	4346.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	3.0	8.0
165530	69.0	46.0
85409	219.0	303.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	0.0	0.0
85417	15.0	35.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	96119.0	138527.0
106481389	0.0	0.0
85415	4849.0	4741.0
106481387	0.0	0.0
85413	9.0	11.0
106481388	3.0	2.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	7.0	12.0
106481380	0.0	0.0
11	0.0	0.0
403341	647.0	859.0
12	61.0	376.0
13	0.0	0.0
14	7555.0	9738.0
15	1.0	2.0
16	8668.0	12435.0
645455	11.0	15.0
18	4872.0	12441.0
19	1803.0	4456.0
128580	1.0	5.0
85407	812.0	1436.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	1577.0	1902.0
106481395	0.0	0.0
85403	1654.0	1533.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	1.0
20	3564.0	6295.0
106481390	0.0	0.0
21	2118.0	3042.0
106481391	0.0	0.0
22	1042.0	1330.0
153571	260.0	314.0
153572	565.0	598.0
23	4779.0	5852.0
24	33.0	20.0
25	6951.0	10201.0
26	7396.0	536.0
27	1647.0	2157.0
28	1484.0	618.0
29	6359.0	6905.0
153579	298.0	268.0
728615	1.0	0.0
728614	0.0	0.0
200765	208.0	181.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	16.0	29.0
102466518	0.0	0.0
102466516	1.0	1.0
102466515	0.0	0.0
106481363	0.0	1.0
106481364	0.0	0.0
85438	0.0	2.0
106481361	0.0	0.0
85439	245.0	718.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2989.0	3270.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	137.0	160.0
106481366	0.0	0.0
30	5593.0	6835.0
106481360	0.0	0.0
31	9290.0	16108.0
32	2974.0	2854.0
33	1393.0	839.0
34	2532.0	3249.0
35	1312.0	1082.0
153562	1527.0	1873.0
36	5239.0	10344.0
37	14510.0	14069.0
38	2942.0	5012.0
440307	5.0	13.0
39	2352.0	2451.0
165545	6.0	4.0
106481369	0.0	0.0
728606	140.0	1007.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	6.0	4.0
106481370	0.0	0.0
41	503.0	712.0
106481371	0.0	0.0
43	323.0	361.0
645486	0.0	1.0
47	15006.0	29217.0
48	3973.0	5961.0
49	15.0	9.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	2.0	5.0
106481340	0.0	0.0
