id	03ba09dd-2589-42ab-afe1-cf0493ba15a1	39952ce1-cb34-48c6-ad20-7aca8286f4ef
128760	4.0	4.0
100128788	55.0	149.0
100128787	0.0	0.0
440225	1.0	0.0
440224	0.0	3.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	1.0	0.0
100128782	473.0	479.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	3.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	5.0	6.0
102466616	0.0	0.0
126052	1.0	0.0
151009	91.0	71.0
403227	0.0	0.0
403228	0.0	0.0
138046	12.0	6.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	1.0	0.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	1959.0	687.0
107131122	0.0	0.0
138050	6474.0	5633.0
403219	0.0	0.0
151011	2895.0	2764.0
645587	2.0	4.0
165679	5477.0	2220.0
126037	49.0	76.0
114049	3646.0	6654.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	887.0	697.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1574.0	1615.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	215.0	154.0
100033820	0.0	0.0
106481480	0.0	2.0
106481481	0.0	0.0
138065	6.0	2.0
645598	0.0	0.0
163007	2.0	2.0
114038	0.0	2.0
645591	0.0	0.0
106481495	0.0	0.0
114041	11.0	2.0
106481496	0.0	0.0
114042	3.0	6.0
106481493	0.0	0.0
114043	5.0	6.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	144.0	149.0
126017	3159.0	2152.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	381.0	638.0
85301	606.0	605.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2285.0	8999.0
106481459	0.0	0.0
26994	6331.0	8180.0
106481457	2.0	7.0
26995	2401.0	2334.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2700.0	2588.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	1.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1688.0	2434.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	9.0	8.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	2441.0	4602.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	982.0	1059.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	12.0
106481437	0.0	0.0
26974	248.0	385.0
153657	27.0	22.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	960.0	1712.0
165631	9.0	10.0
106481436	0.0	1.0
26978	8.0	33.0
126075	1279.0	1784.0
106481439	0.0	0.0
403250	0.0	0.0
126074	248.0	380.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2486.0	3011.0
106481444	0.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	787.0	1034.0
85354	0.0	0.0
85352	808.0	928.0
403241	2.0	0.0
344462	3.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	774.0	984.0
153643	4.0	6.0
403247	0.0	0.0
403248	0.0	0.0
26985	4099.0	6876.0
106481448	0.0	0.0
26986	52662.0	135142.0
126069	86.0	101.0
106481449	0.0	0.0
126068	501.0	505.0
106481446	0.0	0.0
26983	0.0	0.0
26984	719.0	917.0
106481447	0.0	0.0
106481451	2.0	2.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	32.0	60.0
106481455	0.0	0.0
85349	24.0	19.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	2.0
85347	0.0	0.0
26980	3.0	10.0
106481454	2.0	0.0
403238	0.0	0.0
85344	3.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	2.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	0.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2620.0	4111.0
100873390	0.0	0.0
728556	55.0	117.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	63.0	59.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	309.0	308.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	70.0	27.0
100873380	0.0	1.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	74.0	123.0
100873384	0.0	0.0
285601	55.0	23.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	0.0	3.0
63910	27.0	67.0
106481424	0.0	1.0
106481425	0.0	0.0
285605	601.0	1113.0
222008	2.0	7.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4296.0	4883.0
63904	0.0	0.0
106481430	0.0	0.0
163071	7.0	4.0
63906	724.0	777.0
106481433	1.0	0.0
63908	534.0	790.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	92.0	181.0
63920	287.0	309.0
63923	3.0	32.0
63922	253.0	579.0
728577	68.0	33.0
63925	1294.0	1478.0
63924	46.0	18.0
63916	3716.0	4666.0
63917	3618.0	4706.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	5.0
728564	5.0	12.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1117.0	1275.0
106481402	0.0	0.0
63931	1753.0	2015.0
106481403	0.0	0.0
63934	372.0	491.0
728567	0.0	2.0
106481408	0.0	0.0
163088	7.0	4.0
63933	1864.0	2094.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2668.0	2528.0
163087	506.0	480.0
728568	276.0	287.0
106481407	7.0	10.0
3704	1517.0	1969.0
3705	7039.0	7307.0
63926	577.0	890.0
3706	24.0	16.0
63929	875.0	1510.0
3707	4833.0	5941.0
63928	176.0	17.0
3708	6168.0	4748.0
106481411	0.0	0.0
3709	4083.0	3170.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	7.0	12.0
3702	64.0	44.0
3703	12538.0	15729.0
645506	0.0	0.0
151050	910.0	1131.0
645520	0.0	0.0
63941	4570.0	4870.0
63940	456.0	267.0
63943	221.0	296.0
728517	0.0	0.0
163033	578.0	565.0
258010	2433.0	2634.0
63947	0.0	0.0
63946	0.0	8.0
728513	5.0	0.0
100033803	0.0	0.0
3716	7809.0	5880.0
100033804	0.0	0.0
3717	704.0	822.0
100033805	0.0	0.0
3718	177.0	205.0
63939	1235.0	1090.0
100033806	0.0	0.0
100190799	2.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	82.0	93.0
3710	3434.0	4068.0
3712	9620.0	10714.0
3713	0.0	4.0
3714	3018.0	1387.0
63950	2.0	2.0
728505	0.0	1.0
63951	314.0	962.0
100033807	0.0	0.0
728501	41.0	22.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	8239.0	9527.0
100033814	0.0	0.0
3727	7266.0	10114.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	1.0
3728	19127.0	21346.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1033.0	1343.0
151056	164.0	200.0
3725	18575.0	22487.0
645528	1.0	0.0
728532	20.0	55.0
163059	244.0	423.0
728538	1.0	0.0
728537	19.0	63.0
63967	40.0	117.0
3737	28.0	38.0
3738	11.0	11.0
3739	1.0	3.0
645538	0.0	0.0
3730	1237.0	1507.0
3732	3709.0	4026.0
3734	30.0	33.0
3735	6665.0	4934.0
3736	1.0	1.0
63970	39.0	14.0
3750	115.0	189.0
63971	4075.0	3837.0
63974	0.0	0.0
163049	1660.0	2023.0
63973	0.0	0.0
63976	78.0	191.0
222068	7986.0	13621.0
63978	3.0	0.0
63977	401.0	572.0
63979	297.0	566.0
728524	0.0	0.0
3748	250.0	146.0
163051	18.0	32.0
3749	393.0	471.0
163050	48.0	55.0
3741	15.0	56.0
645548	2.0	2.0
3743	6.0	1.0
3744	0.0	4.0
3745	759.0	743.0
3746	41.0	14.0
3747	71.0	196.0
285671	769.0	486.0
285672	1431.0	1402.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	125.0	62.0
285676	97.0	62.0
3761	0.0	2.0
100128657	0.0	0.0
285679	1.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	430.0	180.0
283008	0.0	1.0
3751	14.0	91.0
100873435	0.0	0.0
3752	3712.0	4630.0
100873434	0.0	0.0
3753	2.0	2.0
100873433	0.0	0.0
3754	4.0	3.0
100873432	0.0	0.0
3755	626.0	639.0
100873439	0.0	0.0
3756	2.0	12.0
100873438	0.0	0.0
3757	1542.0	2448.0
100873437	0.0	0.0
3758	4.0	2.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	33.0	96.0
3772	162.0	41.0
100861458	0.0	0.0
100861453	2.0	4.0
100861455	0.0	0.0
1107	20533.0	11291.0
1106	5806.0	5407.0
1105	1476.0	1773.0
1104	1229.0	1966.0
100873429	0.0	0.0
1103	0.0	12.0
1102	1197.0	946.0
1101	47.0	16.0
3762	585.0	210.0
100873424	0.0	0.0
3763	67.0	226.0
100128640	166.0	172.0
100873423	0.0	0.0
3764	620.0	633.0
100873422	0.0	0.0
3765	3.0	4.0
100873421	0.0	0.0
3766	13.0	34.0
100873428	0.0	0.0
3767	742.0	607.0
100873427	0.0	0.0
3768	85.0	46.0
1109	0.0	0.0
100873426	0.0	0.0
1108	11283.0	13668.0
3769	2.0	4.0
100873425	0.0	0.0
100128637	2.0	0.0
100128639	0.0	0.0
3780	20.0	16.0
100873453	0.0	0.0
3781	1545.0	1555.0
100873452	0.0	0.0
3782	446.0	449.0
100873451	0.0	0.0
3783	4795.0	513.0
100873450	0.0	0.0
1121	1448.0	1343.0
100861468	0.0	0.0
1120	99.0	114.0
100861469	0.0	0.0
1118	66.0	108.0
1117	183.0	131.0
1116	198.0	191.0
1114	203.0	236.0
1113	987.0	508.0
1112	4825.0	3724.0
1111	331.0	538.0
3773	30.0	22.0
100873457	0.0	3.0
100873456	0.0	1.0
3775	1298.0	2127.0
100873455	0.0	0.0
3776	12.0	32.0
100873454	0.0	0.0
3777	1708.0	989.0
3778	5413.0	6075.0
3779	2946.0	3444.0
100873459	0.0	1.0
1119	1645.0	1730.0
100128627	1.0	2.0
100128626	0.0	0.0
3790	244.0	461.0
100128628	3.0	3.0
3791	1585.0	1784.0
100873442	0.0	0.0
3792	9.0	14.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	14.0	21.0
1131	377.0	239.0
1130	1480.0	1160.0
100861476	0.0	0.0
1129	4.0	12.0
1128	10142.0	2847.0
1124	391.0	1177.0
1123	342.0	700.0
1122	511.0	518.0
100861470	0.0	0.0
3784	1887.0	658.0
100873446	0.0	0.0
3785	13.0	24.0
100873445	0.0	0.0
3786	110.0	73.0
100873444	0.0	0.0
3787	231.0	46.0
100873443	0.0	0.0
3788	31.0	21.0
100873449	0.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	53.0	55.0
100128618	0.0	1.0
728597	1.0	2.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	307.0	718.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	13.0	22.0
285634	4.0	2.0
1142	0.0	0.0
1141	7.0	19.0
285636	2265.0	2826.0
1140	262.0	178.0
728599	4.0	0.0
1139	68.0	21.0
1138	143.0	393.0
1137	2.0	2.0
100861485	0.0	0.0
1136	38.0	123.0
1135	6918.0	2924.0
1134	6.0	6.0
1133	2.0	9.0
3795	201.0	156.0
100873479	8.0	14.0
3796	1195.0	1183.0
100873478	0.0	0.0
3797	1013.0	859.0
100873477	0.0	0.0
3798	95.0	186.0
100873476	0.0	0.0
3799	15801.0	18812.0
100873460	0.0	0.0
728586	22.0	16.0
285641	2.0	1.0
100873464	1.0	2.0
100873463	0.0	0.0
100873462	0.0	1.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	438.0	201.0
1153	18884.0	20799.0
1152	79264.0	26844.0
285647	23.0	22.0
728589	8.0	6.0
728588	0.0	199.0
1149	2.0	1.0
1147	1491.0	947.0
1146	0.0	35.0
1145	15.0	22.0
1144	0.0	1.0
100873468	0.0	0.0
100873467	0.0	1.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	300.0	866.0
1163	372.0	511.0
285659	0.0	0.0
1161	297.0	356.0
1160	299.0	225.0
1159	119.0	164.0
1158	375.0	123.0
1157	0.0	0.0
1155	2328.0	2632.0
550643	1488.0	2198.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	1.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1461.0	2256.0
1175	4079.0	4538.0
285668	1.0	4.0
1174	2545.0	3740.0
1173	21689.0	24447.0
550631	119.0	244.0
100873489	0.0	0.0
283014	7.0	12.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	2.0	6.0
1186	3143.0	4330.0
1185	783.0	924.0
1184	326.0	595.0
1183	530.0	397.0
1182	9963.0	7822.0
1181	371.0	414.0
440375	54.0	87.0
1180	6.0	3.0
1179	1.0	0.0
1178	30.0	1.0
283089	7.0	2.0
85495	0.0	0.0
85480	94.0	78.0
283080	0.0	0.0
1198	2431.0	2593.0
1197	1.0	2.0
1196	1005.0	1333.0
1195	1536.0	2246.0
440366	0.0	0.0
1193	214.0	217.0
1192	16879.0	17068.0
1191	31091.0	29373.0
1188	23.0	22.0
283078	612.0	1129.0
85486	4.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	11.0	14.0
440396	22.0	38.0
128609	0.0	1.0
128602	7.0	6.0
440387	0.0	1.0
128674	2.0	0.0
128676	0.0	0.0
114026	1.0	1.0
100861402	3.0	1.0
126014	70.0	50.0
440335	1381.0	1825.0
100128690	0.0	0.0
114034	728.0	483.0
126006	21.0	32.0
114036	4.0	6.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	109.0	89.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	7.0	0.0
100128678	0.0	2.0
100861429	0.0	0.0
128653	0.0	0.0
200728	163.0	220.0
440356	4.0	4.0
440354	31.0	47.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	1.0
100873411	0.0	0.0
100128675	9.0	19.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	68.0	202.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	13.0	62.0
200734	1767.0	3253.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	4.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	7.0	10.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	1.0	0.0
128637	3210.0	4303.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	3.0	4.0
165530	31.0	30.0
85409	91.0	138.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	0.0	1.0
85417	16.0	92.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	135575.0	146550.0
106481389	0.0	0.0
85415	11141.0	11153.0
106481387	0.0	0.0
85413	9.0	5.0
106481388	2.0	6.0
645436	0.0	2.0
106481381	0.0	0.0
106481382	0.0	0.0
10	5.0	10.0
106481380	0.0	0.0
11	0.0	0.0
403341	446.0	846.0
12	329.0	208.0
13	0.0	0.0
14	8671.0	11045.0
15	2.0	2.0
16	10807.0	6113.0
645455	6.0	6.0
18	6821.0	5870.0
19	826.0	1124.0
128580	4.0	6.0
85407	806.0	853.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1537.0	2194.0
106481395	0.0	0.0
85403	2194.0	2528.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4334.0	5397.0
106481390	0.0	0.0
21	2374.0	4533.0
106481391	0.0	0.0
22	1005.0	1135.0
153571	405.0	654.0
153572	592.0	835.0
23	5484.0	5930.0
24	36.0	19.0
25	7627.0	9957.0
26	1089.0	242.0
27	1382.0	1715.0
28	1707.0	435.0
29	5209.0	4445.0
153579	35.0	59.0
728615	0.0	1.0
728614	0.0	0.0
200765	118.0	159.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	16.0	14.0
102466518	0.0	0.0
102466516	0.0	1.0
102466515	0.0	0.0
106481363	1.0	0.0
106481364	0.0	0.0
85438	9.0	0.0
106481361	0.0	1.0
85439	197.0	514.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2469.0	3039.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	129.0	169.0
106481366	0.0	0.0
30	7475.0	7139.0
106481360	0.0	0.0
31	11643.0	24715.0
32	1849.0	1343.0
33	981.0	978.0
34	1736.0	2069.0
35	1316.0	656.0
153562	1703.0	2758.0
36	5949.0	3091.0
37	14040.0	9244.0
38	2887.0	2789.0
440307	1.0	10.0
39	3691.0	2004.0
165545	0.0	8.0
106481369	0.0	0.0
728606	434.0	166.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	11.0	211.0
106481370	0.0	0.0
41	439.0	417.0
106481371	0.0	0.0
43	305.0	238.0
645486	0.0	0.0
47	22182.0	35196.0
48	4324.0	4789.0
49	11.0	13.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	2.0	0.0
106481340	0.0	0.0
85458	3136.0	2416.0
106481345	0.0	0.0
85459	466.0	695.0
106481346	0.0	0.0
