id	5eb01b59-7181-491d-9c1e-9903473ad91e	725ae5e0-0325-4f5e-ba91-7694ac1166bb
1075	700.0	2092.0
1074	64.0	16.0
1073	4262.0	6843.0
1072	44450.0	47529.0
1071	16.0	49.0
440243	0.0	0.0
1070	1423.0	1441.0
1069	4631.0	5160.0
1068	1.0	0.0
85369	2265.0	1823.0
85366	0.0	2.0
85364	2120.0	1687.0
85365	4279.0	3287.0
85363	1688.0	1526.0
85360	941.0	1597.0
1080	725.0	978.0
85391	53.0	5.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	1.0	0.0
1088	8.0	0.0
153733	598.0	1251.0
1087	31.0	6.0
1086	0.0	0.0
440279	15.0	2.0
1085	1.0	7.0
1084	14.0	7.0
440278	153.0	174.0
1082	1.0	0.0
403294	5.0	0.0
440275	3545.0	5080.0
1081	72.0	10.0
85397	2.0	4.0
85395	540.0	908.0
403285	0.0	0.0
1091	4.0	0.0
1090	0.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	0.0
440270	1465.0	237.0
1089	13.0	11.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	289.0	99.0
285598	517.0	474.0
126133	1070.0	1758.0
128790	1.0	0.0
126129	222.0	332.0
126123	16.0	0.0
442862	0.0	0.0
126119	774.0	1546.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	2.0	0.0
442895	0.0	0.0
114131	15.0	7.0
442896	0.0	0.0
114132	19.0	9.0
442897	0.0	0.0
442898	2.0	0.0
114134	266.0	477.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	4.0
100128788	183.0	62.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	1.0	0.0
100128782	925.0	272.0
100128781	1.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	1.0	11.0
102466616	0.0	0.0
126052	0.0	0.0
151009	115.0	77.0
403227	0.0	0.0
403228	0.0	0.0
138046	67.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	6.0	5.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2692.0	2539.0
107131122	2.0	0.0
138050	9323.0	6367.0
403219	2.0	0.0
151011	3437.0	3654.0
645587	0.0	0.0
165679	2798.0	1752.0
126037	126.0	26.0
114049	7060.0	5004.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	4.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	806.0	1126.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	2.0	0.0
85313	2522.0	2148.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	180.0	360.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	0.0	0.0
138065	46.0	11.0
645598	1.0	1.0
163007	17.0	1.0
114038	7.0	0.0
645591	0.0	0.0
106481495	2.0	0.0
114041	33.0	9.0
106481496	0.0	0.0
114042	4.0	7.0
106481493	0.0	0.0
114043	6.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	306.0	166.0
126017	1019.0	1721.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	847.0	720.0
85301	2293.0	947.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	2.0
403275	4.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2691.0	6685.0
106481459	0.0	0.0
26994	8757.0	8774.0
106481457	17.0	3.0
26995	2538.0	3879.0
106481458	0.0	0.0
403271	1.0	0.0
26998	2.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1636.0	3213.0
403273	0.0	0.0
102466658	8.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	8.0	2.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	5311.0	2658.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	4.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	1336.0	24.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1762.0	708.0
403255	0.0	0.0
403256	1.0	0.0
403257	0.0	0.0
344471	7.0	19.0
106481437	0.0	0.0
26974	327.0	480.0
153657	90.0	37.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	3102.0	1761.0
165631	49.0	17.0
106481436	0.0	0.0
26978	20.0	23.0
126075	3184.0	1976.0
106481439	0.0	0.0
403250	0.0	0.0
126074	343.0	414.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	4.0	0.0
85359	3934.0	3884.0
106481444	12.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	339.0	1090.0
85354	0.0	0.0
85352	1272.0	774.0
403241	1.0	0.0
344462	4.0	5.0
403244	0.0	0.0
403245	0.0	0.0
153642	921.0	696.0
153643	2.0	10.0
403247	0.0	0.0
403248	0.0	0.0
26985	4211.0	3911.0
106481448	0.0	0.0
26986	82089.0	148141.0
126069	140.0	204.0
106481449	0.0	0.0
126068	522.0	412.0
106481446	0.0	0.0
26983	11.0	0.0
26984	1066.0	793.0
106481447	0.0	0.0
106481451	3.0	0.0
106481452	2.0	2.0
106481450	1.0	0.0
114088	35.0	58.0
106481455	0.0	0.0
85349	211.0	40.0
106481456	1.0	0.0
26982	1.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	2.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	15.0	1.0
85340	0.0	0.0
100873394	3.0	0.0
100873393	1.0	0.0
100873392	9.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	4.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	6441.0	2468.0
100873390	0.0	0.0
728556	63.0	60.0
106481419	0.0	2.0
100128817	1.0	0.0
728558	75.0	82.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	1.0	0.0
163081	494.0	406.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	6.0	92.0
100873380	0.0	0.0
100128804	1.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	87.0	117.0
100873384	1.0	0.0
285601	36.0	13.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	70.0	47.0
106481424	1.0	0.0
106481425	0.0	0.0
285605	440.0	862.0
222008	21.0	13.0
106481428	0.0	0.0
106481429	1.0	0.0
63905	6192.0	4355.0
63904	0.0	0.0
106481430	4.0	0.0
163071	21.0	18.0
63906	1092.0	761.0
106481433	0.0	0.0
63908	819.0	645.0
106481434	3.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	57.0	52.0
63920	483.0	798.0
63923	14.0	9.0
63922	869.0	460.0
728577	34.0	21.0
63925	2708.0	1326.0
63924	17.0	9.0
63916	4227.0	5261.0
63917	4399.0	4669.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	2.0
728564	11.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1548.0	1525.0
106481402	4.0	0.0
63931	1996.0	2199.0
106481403	1.0	0.0
63934	607.0	677.0
728567	9.0	7.0
106481408	0.0	0.0
163088	8.0	10.0
63933	1999.0	2395.0
106481409	0.0	0.0
106481406	1.0	0.0
63935	3588.0	3262.0
163087	794.0	729.0
728568	447.0	763.0
106481407	13.0	13.0
3704	2238.0	2295.0
3705	8614.0	6965.0
63926	533.0	805.0
3706	81.0	77.0
63929	1221.0	1462.0
3707	6576.0	4682.0
63928	876.0	53.0
3708	3821.0	5570.0
106481411	3.0	0.0
3709	2690.0	5431.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	42.0	5.0
3702	89.0	85.0
3703	11583.0	12849.0
645506	0.0	0.0
151050	1146.0	1527.0
645520	0.0	0.0
63941	7127.0	6519.0
63940	807.0	540.0
63943	280.0	419.0
728517	0.0	0.0
163033	703.0	1361.0
258010	3293.0	4378.0
63947	0.0	0.0
63946	57.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	7270.0	9166.0
100033804	0.0	0.0
3717	918.0	771.0
100033805	0.0	0.0
3718	341.0	604.0
63939	1297.0	1196.0
100033806	0.0	0.0
100190799	12.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	302.0	156.0
3710	2974.0	3863.0
3712	11279.0	11414.0
3713	168.0	4.0
3714	2413.0	1873.0
63950	3.0	2.0
728505	0.0	0.0
63951	422.0	772.0
100033807	0.0	0.0
728501	56.0	52.0
100033808	0.0	0.0
100033809	1.0	0.0
3726	101484.0	14076.0
100033814	0.0	0.0
3727	53355.0	11644.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	32111.0	24933.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	955.0	1098.0
151056	390.0	217.0
3725	100760.0	19340.0
645528	1.0	0.0
728532	26.0	28.0
163059	591.0	260.0
728538	1.0	1.0
728537	268.0	37.0
63967	7.0	34.0
3737	12.0	19.0
3738	12.0	11.0
3739	3.0	8.0
645538	0.0	0.0
3730	644.0	855.0
3732	5350.0	3780.0
3734	41.0	28.0
3735	9164.0	12147.0
3736	2.0	0.0
63970	267.0	93.0
3750	221.0	270.0
63971	3140.0	4345.0
63974	0.0	0.0
163049	2334.0	2099.0
63973	0.0	0.0
63976	50.0	28.0
222068	11441.0	10488.0
63978	3.0	1.0
63977	466.0	525.0
63979	549.0	590.0
728524	0.0	0.0
3748	422.0	311.0
163051	79.0	68.0
3749	859.0	467.0
163050	64.0	28.0
3741	15.0	8.0
645548	5.0	4.0
3743	11.0	2.0
3744	1.0	0.0
3745	470.0	820.0
3746	16.0	25.0
3747	1499.0	6031.0
285671	809.0	1561.0
285672	2226.0	2644.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	368.0	848.0
285676	142.0	96.0
3761	7.0	0.0
100128657	0.0	0.0
285679	19.0	1.0
100861449	7.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	345.0	192.0
283008	23.0	26.0
3751	79.0	4.0
100873435	0.0	0.0
3752	3225.0	4710.0
100873434	0.0	0.0
3753	2.0	3.0
100873433	1.0	0.0
3754	25.0	17.0
100873432	0.0	0.0
3755	1053.0	675.0
100873439	0.0	0.0
3756	11.0	12.0
100873438	0.0	0.0
3757	1909.0	2480.0
100873437	0.0	0.0
3758	7.0	2.0
100873436	0.0	0.0
100873420	5.0	1.0
3770	198.0	101.0
3772	745.0	511.0
100861458	3.0	0.0
100861453	13.0	6.0
100861455	0.0	0.0
1107	21325.0	18946.0
1106	6830.0	4947.0
1105	2408.0	1826.0
1104	1474.0	3231.0
100873429	0.0	0.0
1103	2.0	0.0
1102	1575.0	1073.0
1101	307.0	69.0
3762	735.0	371.0
100873424	0.0	0.0
3763	32.0	3.0
100128640	230.0	305.0
100873423	0.0	0.0
3764	1325.0	1625.0
100873422	0.0	0.0
3765	3.0	1.0
100873421	2.0	0.0
3766	131.0	19.0
100873428	0.0	0.0
3767	270.0	1307.0
100873427	0.0	0.0
3768	97.0	247.0
1109	0.0	0.0
100873426	0.0	2.0
1108	12337.0	10412.0
3769	20.0	1.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	31.0	25.0
100873453	0.0	0.0
3781	1097.0	1104.0
100873452	0.0	0.0
3782	127.0	324.0
100873451	0.0	0.0
3783	15536.0	17846.0
100873450	0.0	0.0
1121	955.0	1130.0
100861468	0.0	0.0
1120	651.0	144.0
100861469	2.0	0.0
1118	27.0	194.0
1117	40.0	145.0
1116	64.0	233.0
1114	394.0	526.0
1113	3452.0	1312.0
1112	4208.0	4716.0
1111	449.0	599.0
3773	20.0	33.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	2496.0	719.0
100873455	0.0	0.0
3776	64.0	17.0
100873454	0.0	0.0
3777	4787.0	4601.0
3778	4415.0	7386.0
3779	6114.0	7175.0
100873459	0.0	0.0
1119	3651.0	1652.0
100128627	2.0	2.0
100128626	0.0	0.0
3790	306.0	801.0
100128628	10.0	6.0
3791	386.0	2266.0
100873442	0.0	0.0
3792	32.0	14.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	6.0	4.0
1131	54.0	4236.0
1130	1802.0	1037.0
100861476	0.0	0.0
1129	1.0	108.0
1128	12829.0	6155.0
1124	748.0	2159.0
1123	450.0	1634.0
1122	402.0	823.0
100861470	0.0	0.0
3784	3451.0	1549.0
100873446	0.0	0.0
3785	0.0	157.0
100873445	0.0	0.0
3786	373.0	173.0
100873444	0.0	0.0
3787	99.0	13.0
100873443	0.0	0.0
3788	35.0	86.0
100873449	2.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	173.0	88.0
100128618	6.0	2.0
728597	3.0	1.0
100128617	26.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	102.0	118.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	25.0	2.0
285634	2.0	0.0
1142	5.0	3.0
1141	4.0	3.0
285636	2443.0	2863.0
1140	424.0	344.0
728599	8.0	12.0
1139	115.0	11.0
1138	88.0	255.0
1137	2.0	14.0
100861485	0.0	0.0
1136	28.0	20.0
1135	3959.0	7055.0
1134	2.0	7.0
1133	17.0	8.0
3795	302.0	239.0
100873479	32.0	7.0
3796	695.0	786.0
100873478	1.0	0.0
3797	1269.0	792.0
100873477	2.0	0.0
3798	60.0	63.0
100873476	0.0	0.0
3799	18614.0	19057.0
100873460	0.0	0.0
728586	36.0	20.0
285641	8.0	0.0
100873464	1.0	2.0
100873463	1.0	0.0
100873462	5.0	0.0
285643	2.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1735.0	1267.0
1153	39145.0	19615.0
1152	103633.0	46143.0
285647	21.0	24.0
728589	20.0	4.0
728588	4.0	0.0
1149	30.0	0.0
1147	1331.0	1402.0
1146	10.0	3.0
1145	54.0	27.0
1144	2.0	0.0
100873468	1.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	2.0	0.0
283033	0.0	0.0
100873469	2.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	1032.0	655.0
1163	542.0	521.0
285659	0.0	0.0
1161	341.0	402.0
1160	242.0	376.0
1159	293.0	393.0
1158	380.0	501.0
1157	2.0	0.0
1155	3340.0	5234.0
550643	2267.0	2326.0
283025	2.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1903.0	3926.0
1175	3906.0	4239.0
285668	2.0	2.0
1174	2655.0	3040.0
1173	27189.0	22639.0
550631	184.0	180.0
100873489	0.0	0.0
283014	6.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	50.0	79.0
1186	3624.0	2650.0
1185	1345.0	1000.0
1184	359.0	374.0
1183	408.0	425.0
1182	12771.0	7555.0
1181	476.0	478.0
440375	50.0	24.0
1180	23.0	4.0
1179	2.0	0.0
1178	0.0	1.0
283089	32.0	15.0
85495	0.0	0.0
85480	399.0	763.0
283080	1.0	2.0
1198	5656.0	3759.0
1197	12.0	0.0
1196	3584.0	2037.0
1195	11972.0	3456.0
440366	4.0	0.0
1193	168.0	311.0
1192	25313.0	24109.0
1191	43687.0	48488.0
1188	84.0	133.0
283078	1718.0	2024.0
85486	6.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	25.0	27.0
440396	111.0	39.0
128609	0.0	0.0
128602	0.0	2.0
440387	5.0	4.0
128674	3.0	0.0
128676	0.0	0.0
114026	0.0	1.0
100861402	5.0	5.0
126014	81.0	64.0
440335	844.0	2171.0
100128690	0.0	0.0
114034	1111.0	567.0
126006	332.0	27.0
114036	9.0	0.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	132.0	136.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	3.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	23.0	8.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	5.0	0.0
200728	268.0	262.0
440356	32.0	11.0
440354	79.0	36.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	3.0	0.0
100873413	0.0	0.0
128646	0.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	23.0	6.0
100873410	0.0	0.0
100873417	6.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	22.0	6.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	39.0	12.0
200734	2114.0	2202.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	2.0
100873408	1.0	0.0
100873407	0.0	0.0
100861430	28.0	8.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4663.0	3768.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	1.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	3.0
165530	120.0	53.0
85409	123.0	188.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	1.0	139.0
106481383	3.0	0.0
85417	32.0	19.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	109351.0	51637.0
106481389	0.0	0.0
85415	10496.0	7117.0
106481387	1.0	0.0
85413	22.0	35.0
106481388	3.0	0.0
645436	0.0	1.0
106481381	1.0	0.0
106481382	0.0	0.0
10	22.0	12.0
106481380	1.0	0.0
11	0.0	0.0
403341	661.0	548.0
12	482.0	73.0
13	3.0	0.0
14	10005.0	9297.0
15	8.0	4.0
16	10214.0	10598.0
645455	2.0	5.0
18	3726.0	6107.0
19	1010.0	1420.0
128580	7.0	8.0
85407	488.0	1246.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1305.0	1255.0
106481395	1.0	0.0
85403	2640.0	2231.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	4509.0	5194.0
106481390	5.0	0.0
21	2494.0	3162.0
106481391	0.0	0.0
22	1027.0	1134.0
153571	320.0	618.0
153572	911.0	766.0
23	6258.0	4687.0
24	112.0	79.0
25	6212.0	7308.0
26	1397.0	39.0
27	1435.0	1552.0
28	764.0	111.0
29	7158.0	5081.0
153579	70.0	222.0
728615	0.0	0.0
728614	2.0	0.0
200765	414.0	253.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	74.0	37.0
102466518	0.0	0.0
102466516	8.0	0.0
102466515	0.0	0.0
106481363	1.0	3.0
106481364	2.0	0.0
85438	159.0	11.0
106481361	5.0	0.0
85439	679.0	350.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	3105.0	3585.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	310.0	97.0
106481366	0.0	0.0
30	8621.0	4897.0
106481360	0.0	0.0
31	6934.0	11726.0
32	2111.0	1122.0
33	920.0	857.0
34	2198.0	2676.0
35	1483.0	1282.0
153562	2135.0	2234.0
36	5350.0	4686.0
37	25646.0	13775.0
38	2980.0	4195.0
440307	27.0	11.0
39	2181.0	1791.0
165545	39.0	7.0
106481369	0.0	0.0
728606	55.0	1986.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	35.0	7.0
106481370	0.0	0.0
41	408.0	1618.0
106481371	0.0	0.0
43	561.0	439.0
645486	2.0	0.0
47	10892.0	21433.0
48	3456.0	4873.0
49	7.0	12.0
106481338	0.0	0.0
106481339	2.0	0.0
106481336	0.0	0.0
106481337	3.0	0.0
106481341	0.0	0.0
106481342	4.0	2.0
106481340	0.0	0.0
85458	2520.0	3566.0
