id	23c08503-80f7-4a8e-94fb-4a51dcebd78b	46e9b99f-ca9d-4db6-a705-662343b5242a
106481448	0.0	0.0
26986	58137.0	84202.0
126069	250.0	254.0
106481449	0.0	0.0
126068	851.0	774.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1100.0	995.0
106481447	0.0	0.0
106481451	2.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	81.0	61.0
106481455	0.0	0.0
85349	34.0	54.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	1.0
85347	0.0	0.0
26980	1.0	1.0
106481454	2.0	0.0
403238	0.0	0.0
85344	10.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	6.0	5.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	3.0
100873392	1.0	1.0
100873391	0.0	0.0
100873398	1.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	3516.0	5373.0
100873390	0.0	0.0
728556	88.0	161.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	103.0	150.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	525.0	494.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	18.0	87.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	238.0	251.0
100873384	0.0	0.0
285601	25.0	31.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	2.0
63910	76.0	122.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	843.0	1709.0
222008	1751.0	466.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5734.0	3682.0
63904	0.0	0.0
106481430	0.0	1.0
163071	48.0	27.0
63906	870.0	843.0
106481433	0.0	0.0
63908	873.0	1037.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	8.0
285613	108.0	138.0
63920	794.0	506.0
63923	11.0	40.0
63922	314.0	702.0
728577	140.0	192.0
63925	1402.0	2348.0
63924	45.0	10.0
63916	4227.0	7830.0
63917	5454.0	7010.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	7.0	3.0
728564	10.0	12.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1681.0	1492.0
106481402	0.0	0.0
63931	2515.0	2523.0
106481403	0.0	2.0
63934	581.0	758.0
728567	2.0	5.0
106481408	0.0	0.0
163088	2.0	7.0
63933	2309.0	2757.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3782.0	3816.0
163087	1029.0	1040.0
728568	466.0	566.0
106481407	13.0	9.0
3704	1882.0	1643.0
3705	7714.0	6575.0
63926	625.0	1317.0
3706	69.0	45.0
63929	1074.0	1913.0
3707	5179.0	9394.0
63928	243.0	43.0
3708	9660.0	20725.0
106481411	1.0	0.0
3709	2617.0	15605.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	16.0	24.0
3702	221.0	266.0
3703	10333.0	27658.0
645506	2.0	1.0
151050	2624.0	1823.0
645520	0.0	0.0
63941	4639.0	3094.0
63940	851.0	1046.0
63943	293.0	442.0
728517	0.0	0.0
163033	451.0	673.0
258010	3520.0	3907.0
63947	1.0	0.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	8963.0	14102.0
100033804	0.0	0.0
3717	1691.0	1724.0
100033805	0.0	0.0
3718	500.0	760.0
63939	2031.0	2267.0
100033806	0.0	0.0
100190799	3.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	170.0	133.0
3710	2260.0	22165.0
3712	10668.0	22781.0
3713	6.0	2.0
3714	1402.0	1962.0
63950	1.0	5.0
728505	1.0	0.0
63951	653.0	883.0
100033807	0.0	0.0
728501	39.0	23.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	15476.0	17523.0
100033814	0.0	0.0
3727	8759.0	8142.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	2.0
3728	11236.0	19839.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	942.0	2984.0
151056	399.0	490.0
3725	34014.0	26425.0
645528	3.0	1.0
728532	53.0	88.0
163059	472.0	458.0
728538	1.0	2.0
728537	73.0	154.0
63967	47.0	128.0
3737	38.0	38.0
3738	48.0	123.0
3739	1.0	0.0
645538	0.0	0.0
3730	1222.0	1347.0
3732	3978.0	5954.0
3734	71.0	100.0
3735	7166.0	5745.0
3736	4.0	3.0
63970	125.0	33.0
3750	256.0	262.0
63971	6358.0	12236.0
63974	0.0	0.0
163049	2879.0	3887.0
63973	0.0	1.0
63976	106.0	143.0
222068	9343.0	11725.0
63978	0.0	1.0
63977	410.0	912.0
63979	556.0	853.0
728524	0.0	0.0
3748	184.0	591.0
163051	58.0	37.0
3749	743.0	1984.0
163050	132.0	93.0
3741	15.0	16.0
645548	3.0	6.0
3743	9.0	4.0
3744	0.0	0.0
3745	816.0	1483.0
3746	14.0	18.0
3747	786.0	92.0
285671	1999.0	1679.0
285672	3061.0	3225.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1673.0	689.0
285676	179.0	105.0
3761	1.0	2.0
100128657	0.0	0.0
285679	0.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	298.0	239.0
283008	11.0	11.0
3751	10.0	10.0
100873435	0.0	0.0
3752	3869.0	7852.0
100873434	0.0	0.0
3753	1.0	5.0
100873433	0.0	0.0
3754	102.0	38.0
100873432	0.0	0.0
3755	394.0	476.0
100873439	0.0	0.0
3756	58.0	82.0
100873438	0.0	0.0
3757	2346.0	2418.0
100873437	0.0	0.0
3758	3.0	5.0
100873436	0.0	0.0
100873420	1.0	1.0
3770	62.0	124.0
3772	601.0	168.0
100861458	0.0	0.0
100861453	11.0	14.0
100861455	0.0	0.0
1107	16793.0	32677.0
1106	4656.0	12238.0
1105	1906.0	4189.0
1104	1139.0	2695.0
100873429	0.0	0.0
1103	0.0	21.0
1102	2357.0	1926.0
1101	67.0	51.0
3762	574.0	277.0
100873424	0.0	0.0
3763	86.0	7.0
100128640	219.0	319.0
100873423	0.0	0.0
3764	1940.0	978.0
100873422	0.0	0.0
3765	1.0	3.0
100873421	0.0	1.0
3766	13.0	19.0
100873428	0.0	0.0
3767	381.0	1902.0
100873427	0.0	0.0
3768	113.0	262.0
1109	0.0	0.0
100873426	0.0	0.0
1108	8660.0	17345.0
3769	6.0	6.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	19.0	25.0
100873453	0.0	0.0
3781	1593.0	5393.0
100873452	0.0	0.0
3782	777.0	1533.0
100873451	0.0	0.0
3783	1926.0	10940.0
100873450	0.0	0.0
1121	2573.0	2851.0
100861468	0.0	0.0
1120	175.0	163.0
100861469	0.0	0.0
1118	35.0	548.0
1117	257.0	359.0
1116	79.0	840.0
1114	210.0	110.0
1113	636.0	1034.0
1112	6420.0	7874.0
1111	363.0	409.0
3773	1.0	2.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	575.0	645.0
100873455	0.0	0.0
3776	35.0	54.0
100873454	0.0	0.0
3777	4964.0	1099.0
3778	12803.0	13143.0
3779	8468.0	5469.0
100873459	0.0	0.0
1119	2573.0	3228.0
100128627	4.0	0.0
100128626	1.0	2.0
3790	516.0	1858.0
100128628	10.0	4.0
3791	3272.0	7194.0
100873442	0.0	0.0
3792	51.0	28.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	2.0	12.0
1131	155.0	3383.0
1130	1891.0	2893.0
100861476	0.0	0.0
1129	302.0	6.0
1128	7542.0	5403.0
1124	1240.0	3511.0
1123	2570.0	767.0
1122	468.0	949.0
100861470	0.0	0.0
3784	1295.0	2886.0
100873446	0.0	0.0
3785	532.0	33.0
100873445	0.0	0.0
3786	269.0	412.0
100873444	0.0	0.0
3787	74.0	64.0
100873443	0.0	0.0
3788	50.0	18.0
100873449	2.0	10.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	109.0	123.0
100128618	3.0	1.0
728597	2.0	5.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	179.0	110.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	3.0	3.0
285634	3.0	19.0
1142	0.0	0.0
1141	13.0	15.0
285636	2980.0	4747.0
1140	490.0	256.0
728599	4.0	2.0
1139	48.0	37.0
1138	119.0	62.0
1137	61.0	6.0
100861485	0.0	0.0
1136	11.0	29.0
1135	6522.0	19378.0
1134	96.0	8.0
1133	10.0	12.0
3795	304.0	290.0
100873479	9.0	15.0
3796	1763.0	2573.0
100873478	0.0	0.0
3797	909.0	1035.0
100873477	1.0	7.0
3798	123.0	68.0
100873476	0.0	0.0
3799	18935.0	24689.0
100873460	0.0	0.0
728586	25.0	26.0
285641	0.0	1.0
100873464	2.0	2.0
100873463	0.0	0.0
100873462	0.0	1.0
285643	0.0	1.0
100128603	0.0	1.0
100873461	0.0	0.0
1154	1066.0	1513.0
1153	22357.0	25687.0
1152	53549.0	34454.0
285647	27.0	52.0
728589	5.0	15.0
728588	3.0	34.0
1149	0.0	0.0
1147	2049.0	2156.0
1146	25.0	4.0
1145	62.0	52.0
1144	63.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	1.0	0.0
100873494	0.0	0.0
1164	585.0	473.0
1163	802.0	478.0
285659	1.0	0.0
1161	545.0	517.0
1160	787.0	386.0
1159	92.0	171.0
1158	4566.0	340.0
1157	0.0	0.0
1155	3738.0	2867.0
550643	2149.0	1623.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3110.0	2847.0
1175	4294.0	3097.0
285668	14.0	6.0
1174	3641.0	2147.0
1173	23877.0	21170.0
550631	158.0	209.0
100873489	0.0	0.0
283014	2.0	2.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	24.0	17.0
1186	2722.0	4345.0
1185	1420.0	2351.0
1184	443.0	610.0
1183	477.0	617.0
1182	7743.0	11869.0
1181	380.0	688.0
440375	53.0	108.0
1180	10.0	6.0
1179	1.0	0.0
1178	21.0	19.0
283089	27.0	16.0
85495	0.0	0.0
85480	1548.0	381.0
283080	0.0	0.0
1198	3473.0	4528.0
1197	3.0	2.0
1196	1887.0	2376.0
1195	5880.0	3926.0
440366	0.0	2.0
1193	678.0	494.0
1192	21818.0	21317.0
1191	54074.0	36235.0
1188	78.0	53.0
283078	3888.0	2135.0
85486	7.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	52.0	117.0
440396	42.0	52.0
128609	0.0	0.0
128602	15.0	4.0
440387	1.0	1.0
128674	4.0	3.0
128676	1.0	0.0
114026	0.0	1.0
100861402	0.0	0.0
126014	95.0	135.0
440335	389.0	1975.0
100128690	0.0	0.0
114034	821.0	771.0
126006	30.0	16.0
114036	14.0	7.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	53.0	93.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	1.0	39.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	365.0	304.0
440356	2.0	2.0
440354	88.0	65.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	6.0	84.0
100873410	0.0	0.0
100873417	0.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	1.0
440348	108.0	56.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	71.0	434.0
200734	2130.0	4116.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	42.0	24.0
100873402	0.0	0.0
100873401	1.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4323.0	5776.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	1.0
100873403	0.0	0.0
645440	1.0	0.0
645443	8.0	9.0
165530	55.0	90.0
85409	351.0	229.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	2.0	137.0
106481383	4.0	2.0
85417	16.0	31.0
106481384	0.0	0.0
103106903	2.0	3.0
85414	134066.0	141932.0
106481389	0.0	0.0
85415	4591.0	14206.0
106481387	0.0	0.0
85413	3.0	21.0
106481388	4.0	8.0
645436	5.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	40.0	10.0
106481380	0.0	0.0
11	0.0	0.0
403341	552.0	1259.0
12	51.0	251.0
13	0.0	0.0
14	9062.0	10037.0
15	7.0	6.0
16	9155.0	10261.0
645455	14.0	20.0
18	8385.0	13840.0
19	949.0	6095.0
128580	9.0	10.0
85407	993.0	1996.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1609.0	2813.0
106481395	0.0	2.0
85403	2208.0	3353.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	3.0	1.0
20	3335.0	10309.0
106481390	0.0	0.0
21	2213.0	5627.0
106481391	0.0	0.0
22	1428.0	1678.0
153571	299.0	409.0
153572	432.0	765.0
23	4258.0	6691.0
24	7.0	34.0
25	7088.0	13500.0
26	2756.0	45.0
27	1069.0	3519.0
28	989.0	3437.0
29	5917.0	8794.0
153579	165.0	426.0
728615	0.0	1.0
728614	0.0	0.0
200765	348.0	145.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	23.0	7.0
102466518	2.0	1.0
102466516	2.0	3.0
102466515	0.0	0.0
106481363	1.0	0.0
106481364	0.0	0.0
85438	10.0	0.0
106481361	0.0	0.0
85439	294.0	145.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	4478.0	3353.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	188.0	216.0
106481366	0.0	0.0
30	6160.0	3933.0
106481360	0.0	0.0
31	9340.0	33473.0
32	2641.0	3706.0
33	2191.0	2168.0
34	4365.0	4597.0
35	1626.0	1453.0
153562	1708.0	3763.0
36	7907.0	10576.0
37	14076.0	14854.0
38	4285.0	4953.0
440307	5.0	14.0
39	5282.0	2193.0
165545	6.0	6.0
106481369	0.0	0.0
728606	178.0	3005.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	1.0	2.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	4.0	130.0
106481370	0.0	0.0
41	603.0	1114.0
106481371	0.0	0.0
43	300.0	559.0
645486	0.0	0.0
47	20053.0	33641.0
48	6604.0	6436.0
49	13.0	10.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
