id	d5e1f394-fa12-4197-ab85-2e738847527e	2205b107-3cb2-46dd-b1f2-b9342df83d4a
440288	120.0	112.0
1029	34.0	143.0
440295	59.0	142.0
1028	1393.0	685.0
1027	4357.0	4516.0
1026	5773.0	4648.0
1025	3444.0	4112.0
1024	603.0	841.0
3685	5329.0	6001.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	41.0	236.0
100873345	0.0	0.0
3688	11578.0	12191.0
100873344	0.0	0.0
3689	573.0	969.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	5.0	6.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	61.0	68.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	91.0	66.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	2.0
1043	334.0	216.0
1041	0.0	1.0
1040	3291.0	3582.0
1039	1148.0	1822.0
1038	0.0	0.0
1036	472.0	277.0
3696	1906.0	1370.0
3697	2.0	3.0
100873379	0.0	0.0
3698	8.0	5.0
100873378	0.0	3.0
3699	42.0	40.0
100873377	0.0	0.0
728486	2.0	4.0
100873361	0.0	0.0
105373869	1.0	0.0
100873360	0.0	0.0
285540	97.0	82.0
100128705	1.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	155.0	136.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	2588.0	2592.0
285547	0.0	0.0
1053	0.0	1.0
285548	9.0	5.0
1052	2245.0	3865.0
1051	2291.0	1685.0
728489	7.0	14.0
1050	1971.0	1588.0
100128707	0.0	0.0
1048	102.0	453.0
1047	4072.0	2012.0
1046	0.0	0.0
1045	29.0	27.0
100873369	0.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	1726.0	1514.0
1063	93.0	346.0
1062	50.0	132.0
1061	4.0	2.0
1060	998.0	857.0
440253	45.0	94.0
1059	5847.0	4807.0
1058	6.0	47.0
1057	0.0	0.0
85379	4667.0	4521.0
114112	422.0	489.0
1056	213.0	46.0
85377	2288.0	2803.0
85378	1727.0	3645.0
128745	1.0	0.0
85376	8.0	17.0
440248	117.0	480.0
1075	640.0	830.0
1074	10.0	26.0
1073	6602.0	2980.0
1072	44305.0	42616.0
1071	11.0	36.0
440243	0.0	0.0
1070	901.0	958.0
1069	4560.0	3229.0
1068	0.0	0.0
85369	2276.0	2007.0
85366	73.0	9.0
85364	1454.0	1477.0
85365	4786.0	5880.0
85363	1361.0	1538.0
85360	577.0	620.0
1080	601.0	329.0
85391	0.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	707.0	733.0
1087	26.0	13.0
1086	0.0	0.0
440279	0.0	0.0
1085	3.0	1.0
1084	1.0	2.0
440278	94.0	199.0
1082	0.0	0.0
403294	0.0	1.0
440275	5704.0	7569.0
1081	16.0	1629.0
85397	0.0	0.0
85395	513.0	675.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	135.0	574.0
1089	0.0	8.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	32.0	51.0
285598	306.0	310.0
126133	1308.0	1330.0
128790	0.0	0.0
126129	78.0	112.0
126123	13.0	3.0
442862	0.0	0.0
126119	733.0	994.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	4.0	4.0
442896	0.0	0.0
114132	3.0	7.0
442897	0.0	0.0
442898	0.0	1.0
114134	294.0	491.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	4.0
100128788	88.0	136.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	384.0	356.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	2.0	12.0
102466616	0.0	0.0
126052	0.0	0.0
151009	94.0	92.0
403227	0.0	1.0
403228	0.0	0.0
138046	10.0	4.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	1.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	3091.0	2669.0
107131122	0.0	0.0
138050	7507.0	5072.0
403219	0.0	0.0
151011	3206.0	3030.0
645587	0.0	3.0
165679	1796.0	1030.0
126037	41.0	40.0
114049	5253.0	5774.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	4.0	0.0
85315	705.0	411.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1756.0	1817.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	212.0	260.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	31.0	14.0
645598	0.0	0.0
163007	6.0	5.0
114038	3.0	0.0
645591	0.0	0.0
106481495	0.0	1.0
114041	73.0	17.0
106481496	0.0	0.0
114042	4.0	4.0
106481493	0.0	0.0
114043	3.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	106.0	229.0
126017	1495.0	2025.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	248.0	359.0
85301	453.0	864.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	4079.0	6778.0
106481459	0.0	0.0
26994	8260.0	7364.0
106481457	1.0	10.0
26995	2894.0	3218.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1875.0	3084.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	3.0	4.0
106481460	0.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1892.0	2499.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	1.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	1.0	5.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	545.0	347.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	905.0	1134.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	42.0	15.0
106481437	0.0	0.0
26974	284.0	297.0
153657	24.0	64.0
106481438	0.0	0.0
106481435	0.0	1.0
26973	1204.0	1909.0
165631	14.0	22.0
106481436	0.0	0.0
26978	10.0	3.0
126075	1950.0	2645.0
106481439	0.0	0.0
403250	0.0	0.0
126074	365.0	357.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4280.0	3691.0
106481444	1.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	449.0	1465.0
85354	0.0	0.0
85352	401.0	347.0
403241	2.0	0.0
344462	5.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	753.0	590.0
153643	44.0	11.0
403247	0.0	0.0
403248	0.0	0.0
26985	4820.0	4474.0
106481448	0.0	0.0
26986	73532.0	75522.0
126069	137.0	135.0
106481449	0.0	0.0
126068	359.0	372.0
106481446	0.0	0.0
26983	0.0	0.0
26984	988.0	959.0
106481447	0.0	0.0
106481451	0.0	1.0
106481452	0.0	1.0
106481450	0.0	0.0
114088	32.0	18.0
106481455	0.0	0.0
85349	47.0	21.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	1.0
106481454	0.0	0.0
403238	0.0	0.0
85344	8.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	3.0	1.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	0.0	0.0
100873392	2.0	0.0
100873391	0.0	0.0
100873398	3.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	6.0	1.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	1.0
63901	3992.0	4140.0
100873390	0.0	0.0
728556	60.0	89.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	81.0	44.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	2.0	0.0
163081	379.0	331.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	10.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	92.0	89.0
100873384	0.0	0.0
285601	21.0	24.0
106481426	0.0	1.0
106481427	0.0	0.0
222005	0.0	1.0
63910	19.0	46.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	580.0	1062.0
222008	1434.0	133.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	5671.0	4073.0
63904	0.0	0.0
106481430	0.0	1.0
163071	12.0	7.0
63906	904.0	815.0
106481433	1.0	0.0
63908	624.0	760.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	90.0	240.0
63920	453.0	415.0
63923	0.0	18.0
63922	268.0	647.0
728577	56.0	67.0
63925	1072.0	1645.0
63924	18.0	16.0
63916	4290.0	6981.0
63917	5771.0	7147.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	13.0	6.0
728564	15.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	910.0	1006.0
106481402	1.0	0.0
63931	2133.0	2413.0
106481403	0.0	0.0
63934	392.0	571.0
728567	3.0	1.0
106481408	0.0	0.0
163088	10.0	10.0
63933	1737.0	2382.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3200.0	3532.0
163087	662.0	701.0
728568	438.0	503.0
106481407	15.0	18.0
3704	2434.0	2696.0
3705	7419.0	5657.0
63926	688.0	934.0
3706	24.0	26.0
63929	802.0	1320.0
3707	4546.0	7500.0
63928	750.0	108.0
3708	3744.0	4709.0
106481411	1.0	0.0
3709	2923.0	3664.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	5.0	10.0
3702	49.0	64.0
3703	14034.0	19481.0
645506	0.0	1.0
151050	909.0	1047.0
645520	0.0	0.0
63941	6284.0	8740.0
63940	467.0	325.0
63943	359.0	258.0
728517	0.0	0.0
163033	498.0	687.0
258010	3387.0	3463.0
63947	0.0	0.0
63946	1.0	52.0
728513	0.0	0.0
100033803	0.0	0.0
3716	6833.0	4785.0
100033804	0.0	0.0
3717	635.0	573.0
100033805	0.0	0.0
3718	161.0	306.0
63939	1282.0	921.0
100033806	0.0	0.0
100190799	1.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	80.0	76.0
3710	1699.0	3991.0
3712	12829.0	16155.0
3713	33.0	2.0
3714	2055.0	2988.0
63950	1.0	3.0
728505	0.0	1.0
63951	884.0	1102.0
100033807	0.0	0.0
728501	82.0	60.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	9094.0	17201.0
100033814	0.0	0.0
3727	9615.0	9987.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	1.0
3728	23330.0	28401.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	987.0	1348.0
151056	128.0	200.0
3725	20670.0	14958.0
645528	0.0	0.0
728532	29.0	25.0
163059	290.0	358.0
728538	0.0	1.0
728537	28.0	73.0
63967	18.0	53.0
3737	16.0	4.0
3738	8.0	17.0
3739	4.0	1.0
645538	0.0	0.0
3730	1316.0	1521.0
3732	7478.0	2994.0
3734	9.0	30.0
3735	9199.0	5765.0
3736	0.0	0.0
63970	122.0	35.0
3750	87.0	119.0
63971	4392.0	5356.0
63974	0.0	0.0
163049	1773.0	2080.0
63973	0.0	0.0
63976	46.0	33.0
222068	12471.0	12055.0
63978	0.0	0.0
63977	390.0	590.0
63979	466.0	495.0
728524	0.0	0.0
3748	94.0	188.0
163051	73.0	77.0
3749	347.0	1061.0
163050	73.0	65.0
3741	18.0	3.0
645548	1.0	4.0
3743	17.0	3.0
3744	1.0	0.0
3745	326.0	399.0
3746	32.0	24.0
3747	81.0	199.0
285671	885.0	707.0
285672	2115.0	1690.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	131.0	440.0
285676	88.0	56.0
3761	0.0	1.0
100128657	0.0	0.0
285679	2.0	5.0
100861449	0.0	3.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	425.0	249.0
283008	6.0	4.0
3751	14.0	5.0
100873435	0.0	0.0
3752	5036.0	3723.0
100873434	0.0	0.0
3753	1.0	3.0
100873433	0.0	0.0
3754	25.0	22.0
100873432	0.0	0.0
3755	383.0	631.0
100873439	0.0	0.0
3756	8.0	24.0
100873438	0.0	0.0
3757	861.0	1407.0
100873437	0.0	0.0
3758	0.0	5.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	112.0	88.0
3772	574.0	125.0
100861458	0.0	0.0
100861453	5.0	8.0
100861455	0.0	0.0
1107	13585.0	17657.0
1106	4820.0	5903.0
1105	1239.0	1658.0
1104	1508.0	2060.0
100873429	0.0	0.0
1103	0.0	63.0
1102	1476.0	1122.0
1101	114.0	47.0
3762	450.0	249.0
100873424	0.0	0.0
3763	66.0	10.0
100128640	154.0	224.0
100873423	0.0	0.0
3764	656.0	511.0
100873422	0.0	2.0
3765	4.0	2.0
100873421	0.0	1.0
3766	9.0	16.0
100873428	0.0	0.0
3767	801.0	1556.0
100873427	0.0	0.0
3768	244.0	487.0
1109	0.0	0.0
100873426	0.0	0.0
1108	9173.0	11205.0
3769	6.0	1.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	22.0	13.0
100873453	0.0	0.0
3781	1182.0	10669.0
100873452	0.0	0.0
3782	285.0	340.0
100873451	0.0	0.0
3783	4340.0	8607.0
100873450	0.0	0.0
1121	1282.0	1409.0
100861468	0.0	0.0
1120	186.0	212.0
100861469	0.0	0.0
1118	3.0	1184.0
1117	74.0	1018.0
1116	73.0	559.0
1114	167.0	276.0
1113	1109.0	1678.0
1112	4327.0	2941.0
1111	385.0	432.0
3773	11.0	2.0
100873457	0.0	1.0
100873456	0.0	1.0
3775	910.0	1412.0
100873455	0.0	0.0
3776	80.0	19.0
100873454	0.0	0.0
3777	1789.0	9781.0
3778	6725.0	2984.0
3779	3910.0	2826.0
100873459	0.0	0.0
1119	2625.0	3052.0
100128627	1.0	1.0
100128626	0.0	0.0
3790	572.0	2525.0
100128628	2.0	3.0
3791	1332.0	2598.0
100873442	0.0	0.0
3792	120.0	25.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	9.0	6.0
1131	258.0	2813.0
1130	804.0	897.0
100861476	0.0	0.0
1129	46.0	32.0
1128	12429.0	5924.0
1124	389.0	565.0
1123	633.0	877.0
1122	360.0	664.0
100861470	0.0	1.0
3784	2062.0	3134.0
100873446	0.0	0.0
3785	4.0	28.0
100873445	0.0	0.0
3786	23.0	62.0
100873444	0.0	0.0
3787	104.0	29.0
100873443	0.0	0.0
3788	10.0	12.0
100873449	0.0	5.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	112.0	99.0
100128618	0.0	0.0
728597	2.0	2.0
100128617	0.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	353.0	31.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	7.0	5.0
285634	4.0	3.0
1142	0.0	2.0
1141	11.0	12.0
285636	2291.0	2820.0
1140	653.0	218.0
728599	7.0	1.0
1139	50.0	20.0
1138	530.0	372.0
1137	7.0	7.0
100861485	0.0	0.0
1136	77.0	15.0
1135	15444.0	3133.0
1134	567.0	18.0
1133	1.0	11.0
3795	209.0	171.0
100873479	11.0	80.0
3796	621.0	855.0
100873478	0.0	0.0
3797	506.0	512.0
100873477	0.0	2.0
3798	16.0	24.0
100873476	0.0	0.0
3799	14082.0	16974.0
100873460	0.0	0.0
728586	10.0	9.0
285641	4.0	0.0
100873464	0.0	2.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	0.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	597.0	401.0
1153	23707.0	30935.0
1152	26734.0	29836.0
285647	40.0	29.0
728589	2.0	6.0
728588	2.0	1.0
1149	1.0	1.0
1147	1279.0	1003.0
1146	15.0	3.0
1145	34.0	24.0
1144	136.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	404.0	516.0
1163	553.0	438.0
285659	0.0	0.0
1161	363.0	339.0
1160	753.0	174.0
1159	248.0	260.0
1158	9064.0	255.0
1157	0.0	0.0
1155	2730.0	2911.0
550643	2211.0	1795.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2110.0	2373.0
1175	4364.0	3943.0
285668	3.0	18.0
1174	3500.0	2696.0
1173	25522.0	23153.0
550631	140.0	260.0
100873489	0.0	0.0
283014	4.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	11.0	64.0
1186	2549.0	4581.0
1185	809.0	1147.0
1184	295.0	504.0
1183	391.0	301.0
1182	9376.0	12046.0
1181	399.0	429.0
440375	28.0	46.0
1180	27.0	12.0
1179	2.0	0.0
1178	0.0	0.0
283089	17.0	10.0
85495	0.0	0.0
85480	302.0	204.0
283080	0.0	0.0
1198	2681.0	3689.0
1197	0.0	2.0
1196	1406.0	2307.0
1195	1617.0	4570.0
440366	0.0	0.0
1193	219.0	248.0
1192	28506.0	23152.0
1191	32347.0	28681.0
1188	35.0	22.0
283078	608.0	597.0
85486	5.0	5.0
128615	0.0	1.0
85481	0.0	0.0
128611	30.0	20.0
440396	58.0	91.0
128609	0.0	0.0
128602	11.0	20.0
440387	2.0	1.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	0.0	1.0
126014	50.0	67.0
440335	1718.0	1161.0
100128690	0.0	0.0
114034	800.0	626.0
126006	39.0	34.0
114036	9.0	8.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	125.0	152.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	8.0	12.0
100128678	4.0	3.0
100861429	0.0	0.0
128653	0.0	0.0
200728	268.0	321.0
440356	4.0	8.0
440354	34.0	38.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	6.0	26.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	48.0	188.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	14.0	114.0
200734	2227.0	1294.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	10.0	10.0
100873402	0.0	1.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3224.0	4259.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	3.0
165530	14.0	16.0
85409	96.0	139.0
106481385	2.0	0.0
106481386	0.0	1.0
85416	0.0	145.0
106481383	0.0	0.0
85417	20.0	19.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	165586.0	98431.0
106481389	0.0	0.0
85415	6998.0	12591.0
106481387	0.0	0.0
85413	4.0	39.0
106481388	0.0	1.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	11.0	5.0
106481380	0.0	0.0
11	0.0	0.0
403341	522.0	647.0
12	20.0	314.0
13	0.0	0.0
14	10461.0	11040.0
15	0.0	0.0
16	11143.0	13735.0
645455	2.0	5.0
18	6670.0	3462.0
19	224.0	931.0
128580	1.0	5.0
85407	406.0	360.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1586.0	2001.0
106481395	0.0	0.0
85403	2486.0	4465.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	3.0
20	2522.0	4876.0
106481390	0.0	0.0
21	2679.0	4085.0
106481391	0.0	0.0
22	1028.0	1105.0
153571	277.0	573.0
153572	755.0	925.0
23	5310.0	5616.0
24	25.0	56.0
25	6200.0	8645.0
26	821.0	15094.0
27	1120.0	1639.0
28	670.0	192.0
29	5957.0	5596.0
153579	104.0	370.0
728615	0.0	0.0
728614	0.0	1.0
200765	129.0	173.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	14.0	24.0
102466518	1.0	0.0
102466516	5.0	2.0
102466515	0.0	0.0
106481363	2.0	0.0
106481364	0.0	0.0
85438	2.0	2.0
106481361	0.0	3.0
85439	421.0	152.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3391.0	2959.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	186.0	233.0
106481366	0.0	0.0
30	7830.0	6237.0
106481360	0.0	0.0
31	9652.0	18980.0
32	1022.0	1074.0
33	1890.0	1159.0
34	3170.0	2805.0
35	1566.0	1516.0
153562	2375.0	3378.0
36	5902.0	13027.0
37	18596.0	17423.0
38	3112.0	3816.0
440307	29.0	18.0
39	4434.0	2264.0
165545	14.0	6.0
106481369	0.0	0.0
728606	1632.0	1509.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	1.0
403315	0.0	0.0
40	2.0	124.0
106481370	0.0	0.0
41	706.0	495.0
106481371	0.0	0.0
43	372.0	929.0
645486	1.0	0.0
47	17341.0	20016.0
48	4221.0	4955.0
49	6.0	30.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	4.0	0.0
106481341	0.0	0.0
106481342	1.0	2.0
106481340	0.0	0.0
85458	2484.0	1451.0
106481345	0.0	0.0
85459	278.0	538.0
106481346	0.0	0.0
