id	16d2659e-8bd4-4956-b6f7-6f8aba267527	6a2fc43b-131d-4bba-8e64-8a39243fcdc6
728493	0.0	0.0
100128711	6.0	0.0
728492	15.0	32.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	103.0	36.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	0.0	4.0
1043	299.0	305.0
1041	1.0	0.0
1040	2610.0	5286.0
1039	1509.0	2711.0
1038	0.0	0.0
1036	23895.0	1386.0
3696	4946.0	2727.0
3697	2.0	6.0
100873379	0.0	0.0
3698	16.0	9.0
100873378	1.0	1.0
3699	27.0	18.0
100873377	0.0	0.0
728486	4.0	6.0
100873361	0.0	0.0
105373869	134.0	2.0
100873360	0.0	0.0
285540	99.0	86.0
100128705	1.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	647.0
100873362	0.0	0.0
100128701	2.0	6.0
1054	1525.0	2709.0
285547	0.0	0.0
1053	0.0	3.0
285548	0.0	0.0
1052	1113.0	5993.0
1051	2850.0	2101.0
728489	3.0	1.0
1050	229.0	1353.0
100128707	0.0	2.0
1048	1.0	432.0
1047	287.0	4910.0
1046	84.0	0.0
1045	2.0	32.0
100873369	2.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	374.0	450.0
1063	31.0	503.0
1062	41.0	260.0
1061	2.0	3.0
1060	961.0	1864.0
440253	86.0	100.0
1059	5044.0	5062.0
1058	6.0	33.0
1057	4.0	2.0
85379	4888.0	7862.0
114112	258.0	577.0
1056	110.0	27.0
85377	3134.0	2141.0
85378	3119.0	2787.0
128745	1.0	0.0
85376	7.0	25.0
440248	189.0	371.0
1075	2031.0	1982.0
1074	9.0	21.0
1073	2139.0	3293.0
1072	28441.0	44978.0
1071	5.0	48.0
440243	0.0	0.0
1070	510.0	767.0
1069	2980.0	2404.0
1068	0.0	0.0
85369	1092.0	3750.0
85366	21.0	0.0
85364	1506.0	1811.0
85365	6174.0	7326.0
85363	1561.0	2527.0
85360	416.0	419.0
1080	91.0	4092.0
85391	18.0	5.0
403296	0.0	0.0
403297	1.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	2.0
153733	424.0	1159.0
1087	1.0	13.0
1086	0.0	0.0
440279	8.0	1.0
1085	2.0	2.0
1084	0.0	17.0
440278	112.0	184.0
1082	0.0	0.0
403294	0.0	0.0
440275	1929.0	11671.0
1081	30.0	22.0
85397	3.0	0.0
85395	392.0	514.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	1.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	1083.0	414.0
1089	2.0	22.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	1.0
285596	34.0	35.0
285598	202.0	355.0
126133	1766.0	1969.0
128790	0.0	0.0
126129	121.0	57.0
126123	0.0	2.0
442862	0.0	0.0
126119	838.0	521.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	4.0	21.0
442897	0.0	0.0
442898	0.0	2.0
114134	496.0	1057.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	5.0
100128788	50.0	107.0
100128787	0.0	0.0
440225	0.0	1.0
440224	0.0	9.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	5.0
100128782	425.0	480.0
100128781	0.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	4.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	11.0	8.0
102466616	0.0	0.0
126052	0.0	1.0
151009	21.0	57.0
403227	0.0	1.0
403228	0.0	0.0
138046	35.0	4.0
645558	0.0	1.0
403229	0.0	0.0
645573	2.0	2.0
645572	0.0	0.0
645571	1.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1926.0	1432.0
107131122	0.0	0.0
138050	4731.0	10773.0
403219	0.0	1.0
151011	1861.0	3120.0
645587	1.0	5.0
165679	20.0	1391.0
126037	481.0	35.0
114049	4540.0	4277.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	6911.0	300.0
100033821	1.0	2.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1319.0	2637.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	124.0	339.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	25.0	25.0
645598	1.0	0.0
163007	1.0	0.0
114038	92.0	1.0
645591	0.0	1.0
106481495	0.0	0.0
114041	0.0	3.0
106481496	0.0	0.0
114042	1.0	0.0
106481493	0.0	0.0
114043	6.0	5.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	97.0	331.0
126017	135.0	1272.0
106481497	0.0	1.0
106481498	1.0	0.0
85303	0.0	0.0
85300	221.0	154.0
85301	585.0	605.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	1.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	680.0	8371.0
106481459	0.0	0.0
26994	5389.0	13299.0
106481457	7.0	6.0
26995	1951.0	3917.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1839.0	4712.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	4.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1999.0	2760.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	71.0	23.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	10.0	2909.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	459.0	2173.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	14.0
106481437	0.0	0.0
26974	100.0	510.0
153657	336.0	48.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	980.0	2322.0
165631	17.0	59.0
106481436	0.0	0.0
26978	13.0	20.0
126075	1163.0	1618.0
106481439	0.0	0.0
403250	0.0	0.0
126074	254.0	282.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2012.0	2289.0
106481444	7.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	10.0	0.0
85358	649.0	1051.0
85354	0.0	0.0
85352	361.0	284.0
403241	1.0	2.0
344462	1.0	5.0
403244	0.0	0.0
403245	0.0	0.0
153642	419.0	561.0
153643	36.0	9.0
403247	0.0	0.0
403248	0.0	0.0
26985	2013.0	8286.0
106481448	0.0	0.0
26986	47528.0	80499.0
126069	46.0	116.0
106481449	0.0	0.0
126068	409.0	965.0
106481446	0.0	0.0
26983	1.0	1.0
26984	458.0	1146.0
106481447	0.0	0.0
106481451	1.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	439.0	22.0
106481455	0.0	1.0
85349	16.0	17.0
106481456	0.0	0.0
26982	1.0	0.0
106481453	0.0	5.0
85347	0.0	0.0
26980	0.0	14.0
106481454	0.0	0.0
403238	0.0	0.0
85344	13.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	4.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	4.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	1.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	878.0	15174.0
100873390	0.0	0.0
728556	34.0	229.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	39.0	135.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	196.0	439.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	13.0	43.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	48.0	171.0
100873384	0.0	0.0
285601	14.0	3.0
106481426	1.0	0.0
106481427	1.0	0.0
222005	0.0	3.0
63910	69.0	93.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	535.0	1375.0
222008	2.0	587.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3403.0	4064.0
63904	0.0	0.0
106481430	0.0	0.0
163071	10.0	4.0
63906	567.0	889.0
106481433	1.0	0.0
63908	852.0	1015.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	2.0
285613	60.0	293.0
63920	157.0	272.0
63923	1.0	33.0
63922	273.0	519.0
728577	32.0	102.0
63925	1095.0	2571.0
63924	37.0	2.0
63916	2104.0	6435.0
63917	2166.0	6145.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	2.0
728564	6.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	825.0	1640.0
106481402	0.0	3.0
63931	1279.0	2687.0
106481403	0.0	0.0
63934	136.0	688.0
728567	4.0	5.0
106481408	1.0	0.0
163088	2.0	9.0
63933	3587.0	3065.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2332.0	3215.0
163087	382.0	679.0
728568	266.0	390.0
106481407	14.0	22.0
3704	1678.0	2019.0
3705	6771.0	4496.0
63926	1024.0	1039.0
3706	29.0	8.0
63929	1024.0	790.0
3707	3412.0	5596.0
63928	91.0	53.0
3708	8135.0	2346.0
106481411	0.0	0.0
3709	734.0	6756.0
106481412	3.0	0.0
106481410	0.0	0.0
3700	10.0	16.0
3702	18.0	136.0
3703	21111.0	21528.0
645506	1.0	1.0
151050	883.0	1872.0
645520	0.0	0.0
63941	1365.0	7227.0
63940	234.0	440.0
63943	316.0	250.0
728517	0.0	0.0
163033	542.0	453.0
258010	2580.0	5252.0
63947	0.0	0.0
63946	2.0	0.0
728513	0.0	1.0
100033803	0.0	0.0
3716	4645.0	9128.0
100033804	0.0	0.0
3717	453.0	1028.0
100033805	0.0	0.0
3718	124.0	578.0
63939	480.0	1742.0
100033806	0.0	0.0
100190799	4.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	67.0	105.0
3710	7014.0	6396.0
3712	7883.0	15093.0
3713	4.0	3.0
3714	1586.0	1444.0
63950	0.0	1.0
728505	0.0	0.0
63951	117.0	3258.0
100033807	0.0	0.0
728501	19.0	37.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	13199.0	52782.0
100033814	0.0	0.0
3727	14125.0	27543.0
63948	1.0	0.0
100033815	0.0	0.0
222052	0.0	2.0
3728	17002.0	24086.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	923.0	1679.0
151056	64.0	277.0
3725	11103.0	55874.0
645528	0.0	1.0
728532	12.0	66.0
163059	258.0	630.0
728538	0.0	0.0
728537	106.0	104.0
63967	1.0	137.0
3737	12.0	15.0
3738	0.0	42.0
3739	133.0	4.0
645538	0.0	0.0
3730	439.0	2516.0
3732	11252.0	3888.0
3734	12.0	69.0
3735	5031.0	5940.0
3736	1.0	0.0
63970	112.0	29.0
3750	112.0	73.0
63971	1652.0	6938.0
63974	0.0	0.0
163049	1668.0	3449.0
63973	0.0	1.0
63976	1975.0	73.0
222068	13388.0	12993.0
63978	0.0	0.0
63977	315.0	874.0
63979	234.0	662.0
728524	0.0	0.0
3748	741.0	352.0
163051	31.0	53.0
3749	462.0	305.0
163050	33.0	88.0
3741	23.0	28.0
645548	3.0	8.0
3743	1.0	3.0
3744	0.0	0.0
3745	267.0	256.0
3746	7.0	21.0
3747	2.0	770.0
285671	1380.0	689.0
285672	1321.0	2021.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	360.0	49.0
285676	30.0	114.0
3761	3.0	2.0
100128657	0.0	0.0
285679	6.0	2.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1356.0	801.0
283008	3.0	25.0
3751	13.0	10.0
100873435	0.0	0.0
3752	702.0	10512.0
100873434	0.0	0.0
3753	4.0	9.0
100873433	0.0	0.0
3754	17.0	2.0
100873432	0.0	0.0
3755	1517.0	169.0
100873439	0.0	0.0
3756	25.0	1.0
100873438	0.0	0.0
3757	562.0	462.0
100873437	0.0	0.0
3758	125.0	2.0
100873436	0.0	0.0
100873420	7.0	2.0
3770	72.0	101.0
3772	4731.0	163.0
100861458	0.0	1.0
100861453	11.0	14.0
100861455	0.0	0.0
1107	11989.0	29558.0
1106	4021.0	11871.0
1105	1569.0	3775.0
1104	727.0	1799.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2197.0	1839.0
1101	53.0	10.0
3762	11565.0	160.0
100873424	0.0	0.0
3763	9.0	218.0
100128640	144.0	197.0
100873423	0.0	0.0
3764	386.0	247.0
100873422	0.0	1.0
3765	0.0	2.0
100873421	0.0	4.0
3766	11.0	68.0
100873428	0.0	0.0
3767	1776.0	511.0
100873427	0.0	0.0
3768	29.0	58.0
1109	0.0	0.0
100873426	2.0	0.0
1108	12085.0	18781.0
3769	251.0	2.0
100873425	0.0	0.0
100128637	0.0	4.0
100128639	0.0	0.0
3780	17.0	14.0
100873453	0.0	0.0
3781	57.0	4542.0
100873452	3.0	0.0
3782	86.0	290.0
100873451	0.0	0.0
3783	5618.0	1644.0
100873450	0.0	0.0
1121	675.0	3379.0
100861468	0.0	0.0
1120	211.0	104.0
100861469	0.0	0.0
1118	7.0	166.0
1117	16.0	8648.0
1116	15.0	2090.0
1114	1475.0	134.0
1113	13.0	224.0
1112	3630.0	6251.0
1111	8340.0	557.0
3773	9241.0	4.0
100873457	0.0	0.0
100873456	1.0	0.0
3775	1777.0	2980.0
100873455	0.0	0.0
3776	4.0	5.0
100873454	0.0	0.0
3777	1703.0	457.0
3778	4246.0	1912.0
3779	2087.0	762.0
100873459	0.0	0.0
1119	4740.0	1549.0
100128627	0.0	2.0
100128626	0.0	0.0
3790	155.0	794.0
100128628	1.0	4.0
3791	1597.0	3341.0
100873442	0.0	0.0
3792	44.0	27.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	2.0	15.0
1131	4802.0	484.0
1130	540.0	2032.0
100861476	0.0	2.0
1129	3.0	0.0
1128	47.0	8738.0
1124	85.0	310.0
1123	299.0	533.0
1122	115.0	837.0
100861470	0.0	0.0
3784	35189.0	2243.0
100873446	0.0	0.0
3785	8.0	705.0
100873445	0.0	0.0
3786	98.0	97.0
100873444	0.0	0.0
3787	1976.0	40.0
100873443	0.0	0.0
3788	36.0	12.0
100873449	9.0	6.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	43.0	122.0
100128618	0.0	2.0
728597	1.0	2.0
100128617	0.0	6.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	312.0	1022.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	4.0
285634	1.0	11.0
1142	0.0	0.0
1141	4.0	18.0
285636	1427.0	3836.0
1140	603.0	240.0
728599	0.0	6.0
1139	8.0	44.0
1138	6.0	176.0
1137	1.0	0.0
100861485	0.0	0.0
1136	5.0	16.0
1135	21.0	4944.0
1134	0.0	15.0
1133	6.0	11.0
3795	195.0	143.0
100873479	2.0	5.0
3796	493.0	1982.0
100873478	0.0	0.0
3797	345.0	509.0
100873477	0.0	2.0
3798	27.0	21.0
100873476	0.0	0.0
3799	7550.0	31052.0
100873460	0.0	0.0
728586	7.0	13.0
285641	1.0	1.0
100873464	3.0	1.0
100873463	0.0	0.0
100873462	1.0	3.0
285643	0.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2147.0	350.0
1153	21447.0	28242.0
1152	18686.0	14262.0
285647	9.0	106.0
728589	2.0	8.0
728588	0.0	14.0
1149	1.0	0.0
1147	904.0	2990.0
1146	1.0	1.0
1145	64.0	51.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	1.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	237.0	438.0
1163	453.0	617.0
285659	0.0	0.0
1161	222.0	488.0
1160	625.0	113.0
1159	31.0	175.0
1158	355.0	78.0
1157	0.0	0.0
1155	2219.0	2188.0
550643	1977.0	2171.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	9145.0	2027.0
1175	1794.0	3106.0
285668	3.0	1.0
1174	995.0	2548.0
1173	17344.0	22004.0
550631	152.0	177.0
100873489	0.0	0.0
283014	3.0	6.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	33.0	1.0
1186	2762.0	5229.0
1185	573.0	2243.0
1184	612.0	1372.0
1183	337.0	1851.0
1182	6855.0	21464.0
1181	609.0	414.0
440375	20.0	116.0
1180	1.0	14.0
1179	0.0	0.0
1178	0.0	8.0
283089	4.0	10.0
85495	0.0	0.0
85480	34.0	59.0
283080	0.0	1.0
1198	2611.0	4164.0
1197	0.0	5.0
1196	1693.0	2658.0
1195	3044.0	5473.0
440366	0.0	1.0
1193	83.0	251.0
1192	7957.0	21226.0
1191	481531.0	10260.0
1188	189.0	3.0
283078	51.0	354.0
85486	2.0	12.0
128615	0.0	0.0
85481	0.0	0.0
128611	1.0	39.0
440396	28.0	40.0
128609	0.0	0.0
128602	92.0	2.0
440387	2.0	4.0
128674	0.0	2.0
128676	0.0	2.0
114026	0.0	1.0
100861402	3.0	1.0
126014	26.0	102.0
440335	2879.0	213.0
100128690	0.0	0.0
114034	629.0	804.0
126006	97.0	18.0
114036	3.0	6.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	50.0	88.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	0.0	4.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	88.0	267.0
440356	7.0	4.0
440354	48.0	59.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	12.0
100873410	0.0	0.0
100873417	0.0	5.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	205.0	169.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	125.0	104.0
200734	1156.0	2346.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	5.0	21.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3881.0	6554.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	2.0	4.0
165530	7.0	13.0
85409	85.0	52.0
106481385	0.0	0.0
106481386	1.0	0.0
85416	0.0	13.0
106481383	0.0	4.0
85417	120.0	71.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	875.0	434027.0
106481389	0.0	0.0
85415	820.0	18764.0
106481387	0.0	0.0
85413	1.0	7.0
106481388	3.0	5.0
645436	0.0	5.0
106481381	0.0	0.0
106481382	0.0	0.0
10	11.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	383.0	951.0
12	32.0	4918.0
13	0.0	0.0
14	6015.0	11910.0
15	3.0	0.0
16	8890.0	9819.0
645455	0.0	10.0
18	560.0	13630.0
19	1875.0	2309.0
128580	1.0	11.0
85407	945.0	270.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	875.0	3108.0
106481395	0.0	0.0
85403	1710.0	5908.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	2240.0	4841.0
106481390	0.0	0.0
21	2820.0	7301.0
106481391	0.0	0.0
22	592.0	1693.0
153571	335.0	572.0
153572	224.0	1186.0
23	3573.0	8497.0
24	283.0	35.0
25	3890.0	12037.0
26	45.0	1385.0
27	868.0	3457.0
28	99.0	168.0
29	1673.0	9793.0
153579	188.0	126.0
728615	1.0	0.0
728614	0.0	0.0
200765	94.0	138.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	39.0	20.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	18.0
106481364	0.0	0.0
85438	6.0	1.0
106481361	0.0	0.0
85439	456.0	139.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1952.0	2972.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	347.0	363.0
106481366	0.0	0.0
30	3011.0	6256.0
106481360	0.0	0.0
31	6227.0	28306.0
32	3852.0	1035.0
33	156.0	4349.0
34	3235.0	4113.0
35	566.0	884.0
153562	1279.0	2016.0
36	1952.0	15107.0
37	19705.0	16818.0
38	3574.0	2455.0
440307	13.0	13.0
39	533.0	7957.0
165545	8.0	4.0
106481369	0.0	0.0
728606	1.0	67.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	3.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	4.0	8.0
106481370	0.0	0.0
41	51.0	476.0
106481371	0.0	0.0
43	363.0	305.0
645486	0.0	0.0
47	4170.0	43940.0
48	2329.0	8521.0
49	8.0	5.0
106481338	0.0	0.0
106481339	2.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	0.0	3.0
106481340	0.0	0.0
85458	1766.0	2945.0
106481345	0.0	1.0
85459	295.0	1037.0
106481346	1.0	0.0
