id	f42ef7e5-39e3-4a91-b8bb-11a38d24c72b	e32272e5-a64e-482b-bb3e-b82542a643e3
645591	0.0	0.0
106481495	0.0	0.0
114041	17.0	4.0
106481496	0.0	0.0
114042	0.0	3.0
106481493	0.0	0.0
114043	4.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	202.0	212.0
126017	2666.0	2015.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	1.0
85300	662.0	72.0
85301	754.0	237.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	4923.0	2960.0
106481459	0.0	0.0
26994	8721.0	6742.0
106481457	2.0	3.0
26995	2281.0	3699.0
106481458	0.0	0.0
403271	0.0	1.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1870.0	2383.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	4.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1974.0	2099.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	0.0	2.0
106481472	0.0	0.0
106481477	0.0	2.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	191.0	24.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1207.0	1123.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	21.0
106481437	0.0	0.0
26974	328.0	410.0
153657	43.0	17.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1159.0	795.0
165631	17.0	9.0
106481436	0.0	0.0
26978	9.0	13.0
126075	1500.0	2348.0
106481439	0.0	0.0
403250	0.0	0.0
126074	277.0	448.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2785.0	3921.0
106481444	1.0	4.0
106481445	1.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1206.0	1082.0
85354	0.0	0.0
85352	829.0	142.0
403241	2.0	0.0
344462	3.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	890.0	578.0
153643	4.0	4.0
403247	0.0	0.0
403248	0.0	0.0
26985	5282.0	4526.0
106481448	0.0	0.0
26986	56671.0	66136.0
126069	115.0	153.0
106481449	0.0	0.0
126068	592.0	411.0
106481446	0.0	0.0
26983	0.0	0.0
26984	857.0	698.0
106481447	0.0	0.0
106481451	1.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	36.0	23.0
106481455	0.0	0.0
85349	41.0	15.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	0.0	2.0
106481454	0.0	1.0
403238	0.0	0.0
85344	4.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	7.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	2.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	4.0	8.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	4360.0	6078.0
100873390	0.0	0.0
728556	84.0	102.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	76.0	79.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	313.0	210.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	16.0	12.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	131.0	72.0
100873384	0.0	0.0
285601	43.0	8.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	1.0
63910	21.0	15.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1018.0	639.0
222008	1011.0	1489.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4633.0	4475.0
63904	0.0	0.0
106481430	0.0	0.0
163071	23.0	10.0
63906	676.0	866.0
106481433	0.0	0.0
63908	680.0	453.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	3.0
285613	108.0	197.0
63920	489.0	479.0
63923	4.0	10.0
63922	218.0	437.0
728577	71.0	18.0
63925	1327.0	1344.0
63924	10.0	2.0
63916	5831.0	4522.0
63917	6639.0	6459.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	5.0
728564	4.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1540.0	1307.0
106481402	0.0	0.0
63931	2212.0	1980.0
106481403	0.0	0.0
63934	462.0	535.0
728567	0.0	2.0
106481408	0.0	0.0
163088	3.0	10.0
63933	2574.0	2191.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3334.0	2833.0
163087	654.0	553.0
728568	363.0	446.0
106481407	7.0	10.0
3704	1626.0	2290.0
3705	7916.0	9764.0
63926	725.0	654.0
3706	34.0	28.0
63929	923.0	1061.0
3707	6222.0	5097.0
63928	197.0	13.0
3708	6419.0	3662.0
106481411	0.0	0.0
3709	3503.0	2297.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	8.0	6.0
3702	65.0	16.0
3703	15486.0	18704.0
645506	3.0	1.0
151050	1502.0	1050.0
645520	0.0	0.0
63941	6188.0	8792.0
63940	382.0	214.0
63943	244.0	407.0
728517	0.0	0.0
163033	534.0	717.0
258010	4883.0	3902.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	8664.0	6904.0
100033804	0.0	0.0
3717	1040.0	676.0
100033805	0.0	0.0
3718	139.0	86.0
63939	1858.0	819.0
100033806	0.0	0.0
100190799	0.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	146.0	113.0
3710	3664.0	2696.0
3712	10841.0	11029.0
3713	8.0	0.0
3714	2478.0	2017.0
63950	1.0	1.0
728505	0.0	3.0
63951	624.0	545.0
100033807	0.0	0.0
728501	18.0	30.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	4228.0	3787.0
100033814	0.0	0.0
3727	8789.0	9024.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	3.0
3728	17055.0	21193.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1439.0	1278.0
151056	171.0	103.0
3725	17048.0	10594.0
645528	1.0	0.0
728532	46.0	29.0
163059	349.0	282.0
728538	0.0	2.0
728537	38.0	33.0
63967	20.0	48.0
3737	39.0	10.0
3738	18.0	6.0
3739	5.0	4.0
645538	0.0	0.0
3730	2236.0	864.0
3732	3749.0	4166.0
3734	43.0	28.0
3735	6666.0	7818.0
3736	4.0	0.0
63970	44.0	59.0
3750	82.0	65.0
63971	9135.0	8640.0
63974	0.0	0.0
163049	2324.0	1830.0
63973	0.0	1.0
63976	60.0	69.0
222068	10235.0	12032.0
63978	0.0	0.0
63977	521.0	518.0
63979	514.0	375.0
728524	0.0	0.0
3748	274.0	237.0
163051	43.0	44.0
3749	418.0	305.0
163050	70.0	51.0
3741	13.0	10.0
645548	4.0	3.0
3743	0.0	0.0
3744	0.0	0.0
3745	790.0	327.0
3746	46.0	14.0
3747	292.0	51.0
285671	1200.0	719.0
285672	1896.0	1449.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	57.0	88.0
285676	138.0	40.0
3761	1.0	0.0
100128657	0.0	0.0
285679	0.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	196.0	90.0
283008	1.0	0.0
3751	13.0	1.0
100873435	0.0	0.0
3752	5016.0	6763.0
100873434	0.0	0.0
3753	4.0	1.0
100873433	0.0	0.0
3754	19.0	5.0
100873432	0.0	0.0
3755	706.0	189.0
100873439	0.0	0.0
3756	30.0	44.0
100873438	0.0	0.0
3757	1271.0	725.0
100873437	0.0	0.0
3758	3.0	1.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	99.0	86.0
3772	150.0	56.0
100861458	1.0	0.0
100861453	7.0	10.0
100861455	0.0	0.0
1107	29580.0	23951.0
1106	6580.0	4852.0
1105	1843.0	1419.0
1104	986.0	1696.0
100873429	0.0	0.0
1103	2.0	0.0
1102	1965.0	1061.0
1101	29.0	10.0
3762	521.0	272.0
100873424	0.0	0.0
3763	354.0	86.0
100128640	190.0	222.0
100873423	0.0	0.0
3764	729.0	310.0
100873422	0.0	0.0
3765	4.0	8.0
100873421	0.0	0.0
3766	10.0	12.0
100873428	0.0	0.0
3767	616.0	1361.0
100873427	0.0	0.0
3768	126.0	1054.0
1109	0.0	0.0
100873426	0.0	1.0
1108	10181.0	10659.0
3769	4.0	3.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	1.0
3780	17.0	10.0
100873453	0.0	0.0
3781	3597.0	1099.0
100873452	0.0	0.0
3782	418.0	213.0
100873451	0.0	0.0
3783	856.0	110.0
100873450	0.0	0.0
1121	2085.0	1222.0
100861468	0.0	0.0
1120	109.0	144.0
100861469	0.0	0.0
1118	17.0	45.0
1117	91.0	24.0
1116	22.0	33.0
1114	308.0	63.0
1113	1092.0	104.0
1112	5895.0	4336.0
1111	318.0	466.0
3773	31.0	1.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	352.0	480.0
100873455	0.0	0.0
3776	50.0	12.0
100873454	0.0	0.0
3777	10590.0	2050.0
3778	7896.0	6485.0
3779	3402.0	1891.0
100873459	0.0	0.0
1119	2300.0	2071.0
100128627	1.0	2.0
100128626	0.0	0.0
3790	593.0	598.0
100128628	6.0	2.0
3791	3252.0	2462.0
100873442	0.0	0.0
3792	14.0	11.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	10.0	8.0
1131	189.0	181.0
1130	1638.0	903.0
100861476	0.0	1.0
1129	16.0	6.0
1128	13983.0	7575.0
1124	642.0	175.0
1123	667.0	357.0
1122	588.0	478.0
100861470	0.0	0.0
3784	1387.0	1219.0
100873446	0.0	0.0
3785	10.0	145.0
100873445	0.0	0.0
3786	101.0	52.0
100873444	0.0	0.0
3787	708.0	35.0
100873443	0.0	0.0
3788	51.0	7.0
100873449	1.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	69.0	63.0
100128618	0.0	1.0
728597	7.0	3.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	353.0	1598.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	5.0	0.0
285634	3.0	5.0
1142	0.0	0.0
1141	16.0	16.0
285636	3425.0	2448.0
1140	269.0	303.0
728599	3.0	7.0
1139	41.0	12.0
1138	150.0	148.0
1137	9.0	11.0
100861485	0.0	0.0
1136	16.0	7.0
1135	15880.0	40301.0
1134	1.0	0.0
1133	7.0	1.0
3795	216.0	355.0
100873479	16.0	9.0
3796	1168.0	883.0
100873478	0.0	0.0
3797	577.0	494.0
100873477	0.0	0.0
3798	42.0	12.0
100873476	0.0	0.0
3799	19315.0	12801.0
100873460	0.0	0.0
728586	25.0	7.0
285641	0.0	0.0
100873464	2.0	0.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	295.0	292.0
1153	23681.0	22946.0
1152	43926.0	30037.0
285647	52.0	20.0
728589	3.0	2.0
728588	7.0	10.0
1149	2.0	0.0
1147	1875.0	1377.0
1146	2.0	1.0
1145	44.0	43.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	256.0	396.0
1163	495.0	568.0
285659	0.0	0.0
1161	389.0	330.0
1160	313.0	112.0
1159	89.0	208.0
1158	399.0	135.0
1157	0.0	0.0
1155	2990.0	3502.0
550643	1846.0	1705.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2025.0	1859.0
1175	4062.0	9008.0
285668	2.0	0.0
1174	2862.0	4490.0
1173	22346.0	25674.0
550631	129.0	197.0
100873489	0.0	0.0
283014	6.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	45.0	25.0
1186	3413.0	4105.0
1185	1718.0	851.0
1184	628.0	360.0
1183	268.0	274.0
1182	11965.0	9982.0
1181	323.0	510.0
440375	72.0	58.0
1180	12.0	2.0
1179	0.0	0.0
1178	5.0	0.0
283089	6.0	8.0
85495	0.0	0.0
85480	334.0	197.0
283080	0.0	0.0
1198	3079.0	3546.0
1197	2.0	1.0
1196	1439.0	1241.0
1195	2041.0	1429.0
440366	0.0	0.0
1193	336.0	195.0
1192	19974.0	22173.0
1191	26726.0	14424.0
1188	66.0	12.0
283078	1025.0	639.0
85486	3.0	4.0
128615	0.0	0.0
85481	0.0	0.0
128611	18.0	4.0
440396	29.0	20.0
128609	0.0	0.0
128602	6.0	4.0
440387	1.0	12.0
128674	1.0	0.0
128676	1.0	0.0
114026	0.0	1.0
100861402	1.0	1.0
126014	23.0	22.0
440335	389.0	124.0
100128690	0.0	0.0
114034	857.0	648.0
126006	36.0	39.0
114036	4.0	3.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	64.0	95.0
100861412	0.0	0.0
105180390	2.0	2.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	10.0	1.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	221.0	298.0
440356	7.0	6.0
440354	38.0	24.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	2.0
100873412	1.0	0.0
100873411	0.0	0.0
100128675	5.0	9.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	2.0	0.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	24.0	14.0
200734	1996.0	1710.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	8.0	1.0
100873402	0.0	0.0
100873401	0.0	2.0
100873400	0.0	0.0
100128665	1.0	0.0
128637	4249.0	3435.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	3.0	1.0
165530	70.0	23.0
85409	174.0	96.0
106481385	0.0	2.0
106481386	0.0	0.0
85416	2.0	14.0
106481383	1.0	0.0
85417	38.0	60.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	291825.0	242599.0
106481389	0.0	0.0
85415	9645.0	4869.0
106481387	0.0	0.0
85413	7.0	0.0
106481388	3.0	2.0
645436	1.0	0.0
106481381	0.0	1.0
106481382	0.0	0.0
10	11.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	673.0	323.0
12	26.0	11.0
13	0.0	0.0
14	8858.0	11170.0
15	0.0	0.0
16	11633.0	14558.0
645455	5.0	4.0
18	14897.0	17640.0
19	649.0	968.0
128580	13.0	2.0
85407	1113.0	468.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2088.0	1938.0
106481395	0.0	0.0
85403	2319.0	2254.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	5703.0	9556.0
106481390	0.0	0.0
21	6179.0	7893.0
106481391	0.0	0.0
22	1027.0	903.0
153571	242.0	498.0
153572	450.0	678.0
23	5367.0	6238.0
24	23.0	1.0
25	7692.0	8590.0
26	9607.0	5279.0
27	1626.0	1561.0
28	1423.0	60.0
29	6405.0	5860.0
153579	174.0	213.0
728615	1.0	0.0
728614	0.0	0.0
200765	171.0	136.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	18.0	19.0
102466518	0.0	0.0
102466516	1.0	3.0
102466515	0.0	0.0
106481363	2.0	1.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	1.0
85439	254.0	425.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	3488.0	3043.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	163.0	141.0
106481366	0.0	0.0
30	7795.0	8177.0
106481360	1.0	0.0
31	19293.0	27837.0
32	1984.0	988.0
33	2596.0	2853.0
34	2894.0	2854.0
35	1312.0	1127.0
153562	2437.0	2274.0
36	8100.0	8785.0
37	14625.0	16043.0
38	3118.0	5672.0
440307	8.0	29.0
39	7810.0	4740.0
165545	5.0	4.0
106481369	0.0	0.0
728606	497.0	4044.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	12.0	2.0
106481370	0.0	0.0
41	615.0	1156.0
106481371	0.0	0.0
43	230.0	116.0
645486	0.0	0.0
47	38977.0	37522.0
48	4851.0	3734.0
49	6.0	12.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	0.0	2.0
106481340	0.0	0.0
85458	4095.0	2607.0
106481345	0.0	0.0
85459	815.0	468.0
106481346	0.0	0.0
