id	3977b684-3188-4d52-bcd7-39a1d5d6f48f	acb3e352-b255-4c41-b90f-5e5ed2273b06
1057	1.0	0.0
85379	9453.0	3832.0
114112	542.0	647.0
1056	131.0	11.0
85377	4617.0	1554.0
85378	6140.0	2681.0
128745	0.0	0.0
85376	50.0	22.0
440248	428.0	197.0
1075	1835.0	1014.0
1074	30.0	11.0
1073	5073.0	1276.0
1072	41085.0	25523.0
1071	39.0	23.0
440243	0.0	0.0
1070	1161.0	832.0
1069	4045.0	1634.0
1068	0.0	0.0
85369	3242.0	1715.0
85366	2.0	0.0
85364	2082.0	1395.0
85365	5241.0	3235.0
85363	2865.0	1633.0
85360	1698.0	260.0
1080	1315.0	861.0
85391	1.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	944.0	919.0
1087	62.0	5.0
1086	0.0	0.0
440279	15.0	2.0
1085	11.0	3.0
1084	8.0	4.0
440278	103.0	69.0
1082	0.0	0.0
403294	0.0	0.0
440275	7594.0	7488.0
1081	16.0	6.0
85397	3.0	1.0
85395	611.0	404.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	6.0	2.0
440270	1123.0	400.0
1089	14.0	5.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	89.0	27.0
285598	795.0	235.0
126133	2209.0	921.0
128790	0.0	1.0
126129	246.0	67.0
126123	25.0	3.0
442862	0.0	0.0
126119	1247.0	368.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	7.0	2.0
442896	0.0	0.0
114132	26.0	14.0
442897	0.0	0.0
442898	2.0	1.0
114134	604.0	375.0
442899	0.0	0.0
100128790	0.0	0.0
128760	8.0	8.0
100128788	173.0	130.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	685.0	229.0
100128781	3.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	12.0	32.0
102466616	0.0	0.0
126052	0.0	0.0
151009	102.0	62.0
403227	0.0	0.0
403228	0.0	0.0
138046	31.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	3.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	3211.0	1638.0
107131122	1.0	0.0
138050	10085.0	5285.0
403219	2.0	4.0
151011	5499.0	3172.0
645587	0.0	0.0
165679	3344.0	367.0
126037	39.0	21.0
114049	4891.0	3075.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1090.0	256.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2675.0	1711.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	172.0	230.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	30.0	12.0
645598	0.0	0.0
163007	2.0	0.0
114038	0.0	0.0
645591	1.0	0.0
106481495	0.0	0.0
114041	34.0	1.0
106481496	0.0	0.0
114042	2.0	0.0
106481493	0.0	0.0
114043	9.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	302.0	267.0
126017	2647.0	1764.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	831.0	225.0
85301	4174.0	696.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	4024.0	8147.0
106481459	0.0	0.0
26994	8160.0	4965.0
106481457	10.0	2.0
26995	2707.0	3637.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2397.0	4115.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	11.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	4009.0	1945.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	2.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	1.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	11.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	1.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	294.0	34.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1436.0	778.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	15.0
106481437	0.0	0.0
26974	337.0	467.0
153657	52.0	28.0
106481438	0.0	0.0
106481435	1.0	0.0
26973	1168.0	977.0
165631	83.0	69.0
106481436	0.0	2.0
26978	3.0	10.0
126075	2483.0	1184.0
106481439	0.0	0.0
403250	0.0	0.0
126074	350.0	296.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3546.0	1564.0
106481444	10.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2032.0	546.0
85354	0.0	0.0
85352	671.0	260.0
403241	0.0	0.0
344462	1.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	883.0	514.0
153643	12.0	3.0
403247	0.0	0.0
403248	0.0	0.0
26985	5653.0	3731.0
106481448	0.0	0.0
26986	77744.0	146959.0
126069	159.0	151.0
106481449	0.0	0.0
126068	871.0	532.0
106481446	0.0	0.0
26983	0.0	0.0
26984	999.0	614.0
106481447	0.0	0.0
106481451	1.0	0.0
106481452	0.0	1.0
106481450	0.0	0.0
114088	101.0	28.0
106481455	1.0	0.0
85349	48.0	13.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	3.0	0.0
85347	0.0	0.0
26980	4.0	1.0
106481454	0.0	0.0
403238	0.0	0.0
85344	11.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	8.0	0.0
85340	0.0	1.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	0.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	8.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	4944.0	3011.0
100873390	0.0	0.0
728556	110.0	98.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	153.0	78.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	533.0	361.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	40.0	101.0
100873380	0.0	1.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	150.0	97.0
100873384	0.0	0.0
285601	55.0	3.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	0.0	0.0
63910	125.0	22.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	751.0	1026.0
222008	112.0	12.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5526.0	2221.0
63904	0.0	0.0
106481430	0.0	0.0
163071	22.0	6.0
63906	1096.0	635.0
106481433	0.0	0.0
63908	946.0	505.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	1.0
285613	168.0	43.0
63920	419.0	371.0
63923	23.0	153.0
63922	613.0	402.0
728577	34.0	11.0
63925	2513.0	1357.0
63924	38.0	4.0
63916	6458.0	4619.0
63917	7249.0	4156.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	3.0
728564	5.0	5.0
285622	2.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1951.0	1092.0
106481402	0.0	0.0
63931	2851.0	1785.0
106481403	0.0	0.0
63934	631.0	774.0
728567	2.0	2.0
106481408	0.0	0.0
163088	8.0	8.0
63933	3484.0	2184.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4796.0	2305.0
163087	804.0	587.0
728568	449.0	674.0
106481407	10.0	10.0
3704	2127.0	1607.0
3705	14685.0	3449.0
63926	914.0	833.0
3706	72.0	7.0
63929	1112.0	1326.0
3707	8744.0	4512.0
63928	733.0	25.0
3708	8438.0	7975.0
106481411	0.0	0.0
3709	4725.0	5495.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	24.0	3.0
3702	348.0	232.0
3703	17686.0	15638.0
645506	0.0	0.0
151050	2028.0	975.0
645520	0.0	0.0
63941	8227.0	5190.0
63940	1170.0	452.0
63943	335.0	207.0
728517	0.0	0.0
163033	805.0	494.0
258010	3488.0	3491.0
63947	0.0	0.0
63946	0.0	7.0
728513	0.0	0.0
100033803	0.0	0.0
3716	10874.0	6115.0
100033804	0.0	0.0
3717	1344.0	540.0
100033805	0.0	0.0
3718	568.0	439.0
63939	1896.0	1238.0
100033806	0.0	0.0
100190799	1.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	226.0	113.0
3710	7313.0	7808.0
3712	14353.0	14199.0
3713	52.0	0.0
3714	3558.0	935.0
63950	3.0	0.0
728505	2.0	0.0
63951	672.0	723.0
100033807	0.0	0.0
728501	31.0	39.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	50877.0	21842.0
100033814	0.0	0.0
3727	29001.0	7483.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	1.0
3728	30478.0	20175.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2124.0	2001.0
151056	341.0	102.0
3725	58764.0	23783.0
645528	0.0	2.0
728532	31.0	30.0
163059	457.0	286.0
728538	2.0	0.0
728537	104.0	82.0
63967	41.0	40.0
3737	43.0	8.0
3738	105.0	47.0
3739	0.0	0.0
645538	0.0	0.0
3730	1501.0	948.0
3732	8374.0	2593.0
3734	104.0	37.0
3735	8319.0	6784.0
3736	1.0	1.0
63970	90.0	9.0
3750	252.0	66.0
63971	8098.0	6253.0
63974	0.0	0.0
163049	2668.0	2239.0
63973	0.0	0.0
63976	115.0	31.0
222068	11835.0	8623.0
63978	0.0	1.0
63977	823.0	497.0
63979	626.0	476.0
728524	0.0	0.0
3748	359.0	168.0
163051	50.0	41.0
3749	889.0	307.0
163050	94.0	66.0
3741	22.0	1.0
645548	3.0	2.0
3743	1.0	0.0
3744	0.0	0.0
3745	738.0	103.0
3746	60.0	6.0
3747	1349.0	436.0
285671	1047.0	886.0
285672	1635.0	1505.0
100873431	0.0	0.0
100873430	0.0	2.0
3760	840.0	45.0
285676	185.0	42.0
3761	6.0	0.0
100128657	0.0	0.0
285679	6.0	11.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	340.0	222.0
283008	4.0	7.0
3751	31.0	10.0
100873435	0.0	0.0
3752	4508.0	2509.0
100873434	0.0	0.0
3753	8.0	2.0
100873433	0.0	0.0
3754	28.0	6.0
100873432	0.0	0.0
3755	455.0	320.0
100873439	0.0	0.0
3756	41.0	22.0
100873438	0.0	0.0
3757	2497.0	530.0
100873437	0.0	0.0
3758	3.0	1.0
100873436	0.0	0.0
100873420	3.0	1.0
3770	100.0	83.0
3772	484.0	14.0
100861458	0.0	0.0
100861453	21.0	9.0
100861455	0.0	0.0
1107	44140.0	12930.0
1106	10283.0	7876.0
1105	2494.0	2367.0
1104	1263.0	3424.0
100873429	0.0	0.0
1103	0.0	1.0
1102	2404.0	978.0
1101	164.0	21.0
3762	608.0	94.0
100873424	1.0	0.0
3763	196.0	6.0
100128640	258.0	315.0
100873423	0.0	0.0
3764	1240.0	210.0
100873422	0.0	0.0
3765	7.0	4.0
100873421	0.0	0.0
3766	29.0	44.0
100873428	0.0	0.0
3767	404.0	1241.0
100873427	0.0	0.0
3768	213.0	355.0
1109	2.0	0.0
100873426	2.0	1.0
1108	15191.0	11614.0
3769	10.0	4.0
100873425	1.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	38.0	15.0
100873453	0.0	0.0
3781	2884.0	6473.0
100873452	0.0	0.0
3782	493.0	88.0
100873451	0.0	0.0
3783	4770.0	7111.0
100873450	0.0	0.0
1121	2600.0	1362.0
100861468	0.0	0.0
1120	279.0	93.0
100861469	0.0	0.0
1118	19.0	113.0
1117	119.0	135.0
1116	46.0	180.0
1114	615.0	96.0
1113	1831.0	195.0
1112	7473.0	5366.0
1111	519.0	286.0
3773	19.0	4.0
100873457	2.0	1.0
100873456	0.0	1.0
3775	1047.0	1295.0
100873455	0.0	0.0
3776	78.0	19.0
100873454	0.0	0.0
3777	11278.0	301.0
3778	9119.0	1949.0
3779	5223.0	723.0
100873459	0.0	0.0
1119	3368.0	2607.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	495.0	908.0
100128628	6.0	3.0
3791	2531.0	717.0
100873442	0.0	0.0
3792	27.0	11.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	21.0	4.0
1131	189.0	476.0
1130	2438.0	942.0
100861476	0.0	0.0
1129	231.0	0.0
1128	16224.0	3668.0
1124	1207.0	2375.0
1123	1328.0	701.0
1122	435.0	1160.0
100861470	0.0	0.0
3784	2521.0	1596.0
100873446	0.0	0.0
3785	94.0	194.0
100873445	0.0	1.0
3786	270.0	289.0
100873444	0.0	0.0
3787	136.0	16.0
100873443	0.0	0.0
3788	100.0	4.0
100873449	1.0	5.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	195.0	139.0
100128618	0.0	0.0
728597	5.0	2.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	492.0	71.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	11.0	2.0
285634	4.0	2.0
1142	0.0	0.0
1141	21.0	5.0
285636	2963.0	2179.0
1140	353.0	102.0
728599	7.0	9.0
1139	220.0	23.0
1138	215.0	132.0
1137	40.0	3.0
100861485	1.0	0.0
1136	35.0	19.0
1135	12551.0	4570.0
1134	1.0	6.0
1133	10.0	4.0
3795	345.0	145.0
100873479	15.0	12.0
3796	1638.0	1127.0
100873478	0.0	0.0
3797	1299.0	333.0
100873477	2.0	1.0
3798	112.0	37.0
100873476	0.0	0.0
3799	19435.0	14898.0
100873460	0.0	0.0
728586	61.0	28.0
285641	3.0	3.0
100873464	5.0	3.0
100873463	0.0	0.0
100873462	1.0	1.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	589.0	427.0
1153	34500.0	22035.0
1152	72856.0	19245.0
285647	79.0	36.0
728589	5.0	5.0
728588	0.0	0.0
1149	6.0	0.0
1147	1969.0	1441.0
1146	3.0	0.0
1145	98.0	21.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	400.0	347.0
1163	613.0	266.0
285659	0.0	0.0
1161	426.0	369.0
1160	485.0	104.0
1159	96.0	68.0
1158	370.0	18.0
1157	0.0	0.0
1155	3792.0	2078.0
550643	2227.0	1155.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	1.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2483.0	1966.0
1175	5979.0	2971.0
285668	6.0	1.0
1174	3733.0	2261.0
1173	30025.0	15940.0
550631	212.0	95.0
100873489	0.0	0.0
283014	1.0	0.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	95.0	36.0
1186	5600.0	3548.0
1185	2367.0	1083.0
1184	569.0	533.0
1183	745.0	413.0
1182	12452.0	12231.0
1181	622.0	629.0
440375	142.0	69.0
1180	17.0	5.0
1179	1.0	0.0
1178	15.0	1.0
283089	13.0	13.0
85495	0.0	0.0
85480	403.0	72.0
283080	0.0	0.0
1198	5107.0	2924.0
1197	0.0	0.0
1196	2958.0	2092.0
1195	6684.0	5206.0
440366	0.0	1.0
1193	364.0	194.0
1192	26491.0	15773.0
1191	59503.0	6995.0
1188	67.0	11.0
283078	1309.0	271.0
85486	1.0	4.0
128615	0.0	0.0
85481	0.0	0.0
128611	125.0	92.0
440396	52.0	47.0
128609	0.0	0.0
128602	4.0	1.0
440387	2.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	3.0	4.0
126014	141.0	33.0
440335	737.0	435.0
100128690	0.0	0.0
114034	1382.0	534.0
126006	88.0	23.0
114036	6.0	3.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	149.0	170.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	19.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	316.0	156.0
440356	12.0	2.0
440354	89.0	37.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	1.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	21.0
100873410	0.0	0.0
100873417	7.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	432.0	185.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	81.0	158.0
200734	3365.0	1304.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	5.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	31.0	9.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	6124.0	3296.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	1.0
645443	3.0	2.0
165530	113.0	31.0
85409	308.0	96.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	64.0
106481383	1.0	4.0
85417	46.0	58.0
106481384	0.0	0.0
103106903	2.0	2.0
85414	288234.0	96900.0
106481389	0.0	0.0
85415	11529.0	12800.0
106481387	0.0	0.0
85413	7.0	70.0
106481388	5.0	1.0
645436	0.0	1.0
106481381	2.0	0.0
106481382	0.0	0.0
10	11.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	883.0	716.0
12	47.0	45.0
13	3.0	1.0
14	11715.0	8546.0
15	9.0	1.0
16	13823.0	6968.0
645455	12.0	8.0
18	12261.0	5431.0
19	1325.0	2080.0
128580	4.0	4.0
85407	982.0	301.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	2393.0	1552.0
106481395	0.0	0.0
85403	3497.0	2744.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	1.0	0.0
20	7325.0	5442.0
106481390	0.0	0.0
21	5342.0	4248.0
106481391	0.0	0.0
22	1420.0	1635.0
153571	496.0	336.0
153572	856.0	923.0
23	7532.0	4678.0
24	29.0	23.0
25	11585.0	7277.0
26	9616.0	201.0
27	1885.0	1794.0
28	1028.0	45.0
29	10297.0	4695.0
153579	140.0	13.0
728615	1.0	1.0
728614	0.0	0.0
200765	356.0	271.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	26.0	22.0
102466518	1.0	0.0
102466516	3.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	6.0	0.0
106481361	0.0	0.0
85439	285.0	50.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3678.0	2696.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	261.0	102.0
106481366	0.0	0.0
30	10088.0	2924.0
106481360	0.0	0.0
31	17161.0	18968.0
32	4622.0	823.0
33	2290.0	634.0
34	3220.0	3467.0
35	2244.0	682.0
153562	1490.0	2528.0
36	7496.0	5965.0
37	27109.0	8888.0
38	3629.0	5335.0
440307	18.0	11.0
39	6025.0	2117.0
165545	15.0	2.0
106481369	0.0	0.0
728606	239.0	2253.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	12.0	32.0
106481370	0.0	0.0
41	833.0	792.0
106481371	0.0	0.0
43	341.0	80.0
645486	0.0	0.0
47	38212.0	21940.0
48	5927.0	2787.0
49	8.0	9.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	6.0	0.0
106481340	0.0	0.0
85458	4753.0	1934.0
106481345	0.0	0.0
