id	2496e6ca-cfe1-4160-9a5d-d8d0c1853062	85f7e377-a186-40a2-951b-cb60fc835896
85377	4762.0	1896.0
85378	3532.0	3124.0
128745	1.0	0.0
85376	31.0	54.0
440248	599.0	542.0
1075	3037.0	1181.0
1074	9.0	25.0
1073	11039.0	4151.0
1072	31528.0	29029.0
1071	38.0	22.0
440243	0.0	0.0
1070	918.0	822.0
1069	4539.0	2756.0
1068	0.0	0.0
85369	2382.0	2280.0
85366	1.0	31.0
85364	1520.0	1134.0
85365	3203.0	4749.0
85363	2637.0	2449.0
85360	2268.0	794.0
1080	86.0	76.0
85391	2.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	1.0
1088	1.0	0.0
153733	607.0	991.0
1087	1.0	0.0
1086	0.0	0.0
440279	1.0	1.0
1085	1.0	3.0
1084	19.0	2.0
440278	116.0	192.0
1082	0.0	0.0
403294	0.0	0.0
440275	7309.0	7607.0
1081	4.0	0.0
85397	0.0	1.0
85395	448.0	532.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	638.0	509.0
1089	47.0	12.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	332.0	217.0
285598	928.0	392.0
126133	1699.0	1163.0
128790	1.0	0.0
126129	450.0	104.0
126123	1.0	1.0
442862	0.0	0.0
126119	816.0	518.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	100.0	47.0
442897	0.0	0.0
442898	0.0	3.0
114134	1408.0	819.0
442899	0.0	0.0
100128790	0.0	0.0
128760	8.0	2.0
100128788	59.0	155.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	3.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	581.0	379.0
100128781	0.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	4.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	58.0	5.0
102466616	0.0	0.0
126052	0.0	0.0
151009	101.0	94.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	17.0	25.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1084.0	1673.0
107131122	0.0	0.0
138050	7668.0	7546.0
403219	0.0	0.0
151011	6327.0	3484.0
645587	4.0	1.0
165679	1451.0	162.0
126037	28.0	30.0
114049	3191.0	3985.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1143.0	390.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2490.0	1465.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	326.0	298.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	6.0	9.0
645598	2.0	1.0
163007	5.0	1.0
114038	3.0	0.0
645591	0.0	0.0
106481495	2.0	0.0
114041	30.0	12.0
106481496	0.0	0.0
114042	2.0	3.0
106481493	0.0	0.0
114043	26.0	5.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	234.0	233.0
126017	1708.0	2654.0
106481497	1.0	2.0
106481498	0.0	1.0
85303	0.0	0.0
85300	655.0	314.0
85301	2675.0	947.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2247.0	5825.0
106481459	0.0	0.0
26994	10576.0	7591.0
106481457	6.0	11.0
26995	1960.0	3549.0
106481458	0.0	0.0
403271	1.0	1.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2164.0	2172.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	4.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2305.0	2103.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	10.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	32.0	37.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	946.0	1202.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	6.0	7.0
106481437	0.0	0.0
26974	247.0	493.0
153657	49.0	31.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	1071.0	1135.0
165631	56.0	52.0
106481436	1.0	0.0
26978	12.0	9.0
126075	1078.0	1616.0
106481439	0.0	0.0
403250	0.0	0.0
126074	199.0	360.0
403251	0.0	0.0
106481440	1.0	0.0
106481441	0.0	0.0
85359	1930.0	2839.0
106481444	8.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2962.0	1146.0
85354	0.0	0.0
85352	1978.0	358.0
403241	0.0	0.0
344462	2.0	0.0
403244	0.0	0.0
403245	0.0	1.0
153642	1060.0	1069.0
153643	2.0	10.0
403247	0.0	0.0
403248	0.0	0.0
26985	4737.0	5196.0
106481448	0.0	0.0
26986	62677.0	75954.0
126069	137.0	214.0
106481449	0.0	0.0
126068	661.0	648.0
106481446	0.0	0.0
26983	0.0	0.0
26984	889.0	877.0
106481447	0.0	0.0
106481451	5.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	147.0	68.0
106481455	0.0	0.0
85349	121.0	7.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	3.0	1.0
85347	0.0	0.0
26980	0.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	2.0	6.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	5.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	1.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	16.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3940.0	7292.0
100873390	0.0	0.0
728556	78.0	96.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	160.0	115.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	368.0	360.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	15.0	34.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	248.0	145.0
100873384	0.0	0.0
285601	21.0	12.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	0.0	1.0
63910	108.0	31.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	807.0	656.0
222008	123.0	10649.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	3795.0	3548.0
63904	0.0	0.0
106481430	0.0	0.0
163071	17.0	12.0
63906	682.0	728.0
106481433	0.0	0.0
63908	895.0	660.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	4.0
285613	78.0	185.0
63920	468.0	655.0
63923	8.0	0.0
63922	310.0	407.0
728577	88.0	34.0
63925	1657.0	1494.0
63924	72.0	4.0
63916	5280.0	4936.0
63917	4814.0	5861.0
106481400	0.0	0.0
106481401	0.0	1.0
728562	6.0	5.0
728564	3.0	2.0
285622	0.0	2.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1500.0	1198.0
106481402	0.0	0.0
63931	2149.0	2458.0
106481403	1.0	0.0
63934	526.0	676.0
728567	1.0	5.0
106481408	0.0	0.0
163088	4.0	3.0
63933	2127.0	3010.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3730.0	2459.0
163087	736.0	849.0
728568	433.0	516.0
106481407	6.0	7.0
3704	1442.0	1851.0
3705	8318.0	7632.0
63926	557.0	751.0
3706	74.0	20.0
63929	1208.0	1447.0
3707	7644.0	6454.0
63928	31.0	5.0
3708	20840.0	8228.0
106481411	0.0	0.0
3709	6295.0	6835.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	20.0	10.0
3702	439.0	129.0
3703	13288.0	17342.0
645506	2.0	0.0
151050	2765.0	1698.0
645520	0.0	0.0
63941	3183.0	8426.0
63940	1034.0	356.0
63943	266.0	291.0
728517	0.0	0.0
163033	529.0	697.0
258010	3493.0	4613.0
63947	1.0	0.0
63946	0.0	0.0
728513	6.0	0.0
100033803	0.0	0.0
3716	15340.0	8084.0
100033804	0.0	0.0
3717	1812.0	1085.0
100033805	0.0	0.0
3718	954.0	243.0
63939	1476.0	1822.0
100033806	0.0	0.0
100190799	2.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	132.0	134.0
3710	4131.0	3861.0
3712	10868.0	16745.0
3713	1.0	0.0
3714	1958.0	975.0
63950	2.0	2.0
728505	0.0	0.0
63951	227.0	717.0
100033807	0.0	0.0
728501	41.0	25.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	44387.0	14827.0
100033814	0.0	0.0
3727	15938.0	10260.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	2.0
3728	15400.0	16519.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1884.0	1513.0
151056	493.0	231.0
3725	34943.0	38970.0
645528	0.0	1.0
728532	52.0	24.0
163059	325.0	422.0
728538	0.0	1.0
728537	106.0	61.0
63967	57.0	23.0
3737	50.0	45.0
3738	81.0	27.0
3739	4.0	4.0
645538	0.0	0.0
3730	1209.0	948.0
3732	6495.0	5533.0
3734	79.0	35.0
3735	6079.0	7497.0
3736	2.0	1.0
63970	173.0	16.0
3750	601.0	106.0
63971	9016.0	9105.0
63974	0.0	0.0
163049	2709.0	2577.0
63973	0.0	0.0
63976	106.0	48.0
222068	9202.0	13286.0
63978	1.0	2.0
63977	602.0	548.0
63979	570.0	527.0
728524	0.0	0.0
3748	456.0	240.0
163051	29.0	26.0
3749	840.0	314.0
163050	68.0	53.0
3741	34.0	16.0
645548	1.0	1.0
3743	3.0	14.0
3744	0.0	0.0
3745	2007.0	936.0
3746	22.0	7.0
3747	248.0	306.0
285671	2014.0	1097.0
285672	2210.0	2028.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	3935.0	289.0
285676	139.0	90.0
3761	2.0	0.0
100128657	0.0	0.0
285679	2.0	5.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	204.0	294.0
283008	0.0	1.0
3751	13.0	10.0
100873435	0.0	0.0
3752	6747.0	10067.0
100873434	0.0	0.0
3753	16.0	6.0
100873433	0.0	0.0
3754	63.0	15.0
100873432	0.0	0.0
3755	859.0	372.0
100873439	0.0	0.0
3756	56.0	53.0
100873438	0.0	0.0
3757	3795.0	793.0
100873437	0.0	0.0
3758	6.0	1.0
100873436	0.0	0.0
100873420	6.0	0.0
3770	87.0	116.0
3772	548.0	104.0
100861458	0.0	1.0
100861453	17.0	7.0
100861455	0.0	0.0
1107	31208.0	21420.0
1106	8841.0	7123.0
1105	3231.0	2143.0
1104	1170.0	2071.0
100873429	0.0	0.0
1103	1.0	0.0
1102	2216.0	1138.0
1101	135.0	15.0
3762	575.0	144.0
100873424	0.0	0.0
3763	288.0	1123.0
100128640	221.0	283.0
100873423	0.0	0.0
3764	2349.0	647.0
100873422	0.0	0.0
3765	2.0	1.0
100873421	1.0	1.0
3766	28.0	13.0
100873428	0.0	0.0
3767	407.0	987.0
100873427	0.0	0.0
3768	131.0	144.0
1109	0.0	0.0
100873426	0.0	2.0
1108	15933.0	10815.0
3769	5.0	6.0
100873425	1.0	0.0
100128637	3.0	3.0
100128639	0.0	0.0
3780	81.0	19.0
100873453	0.0	0.0
3781	832.0	967.0
100873452	0.0	0.0
3782	1103.0	617.0
100873451	0.0	0.0
3783	2548.0	2606.0
100873450	0.0	0.0
1121	2509.0	2002.0
100861468	0.0	0.0
1120	100.0	119.0
100861469	1.0	0.0
1118	1719.0	255.0
1117	328.0	95.0
1116	342.0	182.0
1114	3647.0	57.0
1113	533.0	167.0
1112	9560.0	6267.0
1111	320.0	473.0
3773	3.0	50.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	966.0	644.0
100873455	0.0	0.0
3776	44.0	59.0
100873454	0.0	0.0
3777	6568.0	1803.0
3778	15030.0	7139.0
3779	8749.0	2918.0
100873459	0.0	0.0
1119	2265.0	3055.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	645.0	239.0
100128628	2.0	3.0
3791	3405.0	2627.0
100873442	0.0	0.0
3792	26.0	23.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	9.0	4.0
1131	268.0	171.0
1130	3459.0	2241.0
100861476	0.0	0.0
1129	290.0	17.0
1128	4860.0	8711.0
1124	855.0	1141.0
1123	3080.0	739.0
1122	579.0	610.0
100861470	0.0	0.0
3784	1796.0	1302.0
100873446	0.0	0.0
3785	456.0	99.0
100873445	0.0	0.0
3786	440.0	86.0
100873444	0.0	0.0
3787	31.0	15.0
100873443	0.0	0.0
3788	172.0	20.0
100873449	5.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	88.0	88.0
100128618	1.0	1.0
728597	4.0	4.0
100128617	2.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	346.0	761.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	4.0	2.0
285634	8.0	4.0
1142	4.0	0.0
1141	31.0	16.0
285636	3464.0	3357.0
1140	285.0	348.0
728599	1.0	10.0
1139	78.0	12.0
1138	144.0	633.0
1137	174.0	17.0
100861485	0.0	1.0
1136	15.0	51.0
1135	5557.0	24446.0
1134	22.0	239.0
1133	12.0	6.0
3795	171.0	196.0
100873479	8.0	7.0
3796	2083.0	1369.0
100873478	0.0	0.0
3797	1344.0	445.0
100873477	3.0	1.0
3798	118.0	15.0
100873476	0.0	0.0
3799	22827.0	20314.0
100873460	0.0	0.0
728586	33.0	21.0
285641	0.0	0.0
100873464	3.0	2.0
100873463	2.0	0.0
100873462	1.0	1.0
285643	1.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	516.0	292.0
1153	20521.0	21641.0
1152	57173.0	52939.0
285647	38.0	63.0
728589	9.0	5.0
728588	2.0	10.0
1149	3.0	2.0
1147	1778.0	1725.0
1146	1.0	30.0
1145	82.0	28.0
1144	0.0	82.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	1.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	410.0	353.0
1163	488.0	330.0
285659	3.0	0.0
1161	482.0	473.0
1160	477.0	426.0
1159	103.0	169.0
1158	583.0	4826.0
1157	0.0	0.0
1155	2915.0	2647.0
550643	1767.0	1549.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	1.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2856.0	2248.0
1175	2991.0	4634.0
285668	4.0	3.0
1174	2191.0	4271.0
1173	23366.0	18217.0
550631	155.0	157.0
100873489	0.0	0.0
283014	6.0	8.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	19.0	10.0
1186	3555.0	3796.0
1185	1722.0	1473.0
1184	859.0	799.0
1183	566.0	533.0
1182	9153.0	17577.0
1181	360.0	468.0
440375	65.0	42.0
1180	10.0	4.0
1179	0.0	1.0
1178	5.0	2.0
283089	18.0	10.0
85495	0.0	0.0
85480	639.0	185.0
283080	0.0	0.0
1198	3425.0	2823.0
1197	0.0	1.0
1196	1791.0	1564.0
1195	4366.0	4117.0
440366	0.0	2.0
1193	615.0	293.0
1192	13840.0	19361.0
1191	74879.0	19118.0
1188	42.0	22.0
283078	3973.0	1090.0
85486	6.0	6.0
128615	0.0	0.0
85481	0.0	0.0
128611	111.0	46.0
440396	41.0	43.0
128609	0.0	0.0
128602	4.0	2.0
440387	3.0	0.0
128674	0.0	1.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	1.0
126014	171.0	54.0
440335	116.0	871.0
100128690	0.0	0.0
114034	850.0	721.0
126006	19.0	34.0
114036	5.0	3.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	93.0	111.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	7.0
100128678	7.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	257.0	359.0
440356	1.0	1.0
440354	48.0	48.0
440352	2.0	2.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	4.0	0.0
100873412	1.0	0.0
100873411	0.0	0.0
100128675	3.0	37.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	109.0	181.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	80.0	61.0
200734	3288.0	1692.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	48.0	9.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4842.0	4066.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	4.0
165530	31.0	11.0
85409	442.0	150.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	3.0	1.0
85417	33.0	42.0
106481384	0.0	0.0
103106903	0.0	3.0
85414	88031.0	273230.0
106481389	0.0	0.0
85415	4709.0	4584.0
106481387	0.0	0.0
85413	9.0	3.0
106481388	2.0	3.0
645436	2.0	3.0
106481381	0.0	0.0
106481382	0.0	0.0
10	23.0	14.0
106481380	0.0	0.0
11	0.0	0.0
403341	715.0	711.0
12	351.0	69.0
13	1.0	0.0
14	7607.0	9315.0
15	3.0	5.0
16	10928.0	12693.0
645455	13.0	2.0
18	9452.0	26102.0
19	3075.0	2087.0
128580	5.0	5.0
85407	2716.0	1148.0
106481396	0.0	0.0
106481397	1.0	2.0
106481394	0.0	0.0
85406	1826.0	1995.0
106481395	0.0	0.0
85403	2260.0	2179.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	2.0	0.0
20	6851.0	6253.0
106481390	0.0	0.0
21	3453.0	6841.0
106481391	0.0	0.0
22	1345.0	1094.0
153571	383.0	588.0
153572	714.0	960.0
23	5975.0	5692.0
24	35.0	10.0
25	12736.0	8205.0
26	982.0	46.0
27	3116.0	2066.0
28	518.0	186.0
29	7922.0	5662.0
153579	520.0	219.0
728615	1.0	0.0
728614	0.0	0.0
200765	163.0	209.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	20.0	7.0
102466518	4.0	0.0
102466516	10.0	0.0
102466515	0.0	0.0
106481363	0.0	7.0
106481364	0.0	0.0
85438	11.0	3.0
106481361	1.0	0.0
85439	324.0	387.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3035.0	3267.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	186.0	140.0
106481366	0.0	0.0
30	4773.0	6898.0
106481360	0.0	0.0
31	13434.0	23612.0
32	3622.0	1555.0
33	1346.0	3604.0
34	2614.0	2737.0
35	1279.0	846.0
153562	1673.0	2772.0
36	5544.0	10158.0
37	14332.0	13761.0
38	3614.0	3904.0
440307	5.0	11.0
39	3035.0	4536.0
165545	3.0	3.0
106481369	0.0	0.0
728606	77.0	1069.0
106481374	1.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	3.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	10.0	9.0
106481370	0.0	0.0
41	894.0	945.0
106481371	0.0	0.0
43	746.0	243.0
645486	0.0	0.0
47	21847.0	44876.0
48	8905.0	4253.0
49	27.0	15.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	5.0	5.0
106481340	0.0	0.0
85458	8368.0	5747.0
