id	15e656ea-3229-42eb-be95-379527324b54	d0c8d150-3582-406e-af39-fd58f6e53290
1087	11.0	1.0
1086	0.0	0.0
440279	3.0	0.0
1085	0.0	0.0
1084	1.0	6.0
440278	108.0	116.0
1082	0.0	0.0
403294	0.0	0.0
440275	6903.0	4276.0
1081	16.0	29.0
85397	0.0	1.0
85395	660.0	916.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	143.0	225.0
1089	11.0	8.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	1.0
285596	50.0	51.0
285598	382.0	241.0
126133	1431.0	1849.0
128790	0.0	1.0
126129	157.0	51.0
126123	4.0	2.0
442862	0.0	0.0
126119	1812.0	1042.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	3.0
442896	0.0	0.0
114132	1.0	1.0
442897	0.0	0.0
442898	0.0	0.0
114134	986.0	292.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	4.0
100128788	63.0	154.0
100128787	0.0	0.0
440225	0.0	2.0
440224	1.0	7.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	437.0	379.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	108.0	2.0
102466616	0.0	0.0
126052	0.0	1.0
151009	122.0	248.0
403227	0.0	0.0
403228	0.0	0.0
138046	12.0	4.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	1.0
645572	0.0	0.0
645571	10.0	13.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2295.0	3778.0
107131122	0.0	0.0
138050	9439.0	7008.0
403219	0.0	0.0
151011	3836.0	2097.0
645587	0.0	0.0
165679	742.0	176.0
126037	89.0	41.0
114049	10544.0	7018.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	931.0	403.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2402.0	1650.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	246.0	272.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	4.0	5.0
645598	0.0	1.0
163007	3.0	0.0
114038	1.0	5.0
645591	0.0	2.0
106481495	0.0	0.0
114041	17.0	4.0
106481496	0.0	0.0
114042	5.0	0.0
106481493	0.0	0.0
114043	7.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	244.0	154.0
126017	1090.0	1320.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	763.0	226.0
85301	529.0	551.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	9619.0	3798.0
106481459	0.0	0.0
26994	8464.0	9380.0
106481457	4.0	4.0
26995	2783.0	4007.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1276.0	2807.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	3.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2285.0	2498.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	13.0	9.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	21.0	245.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	719.0	940.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	18.0	16.0
106481437	0.0	0.0
26974	1045.0	351.0
153657	35.0	20.0
106481438	0.0	0.0
106481435	1.0	0.0
26973	1293.0	2298.0
165631	27.0	17.0
106481436	0.0	0.0
26978	35.0	21.0
126075	1575.0	3143.0
106481439	0.0	0.0
403250	0.0	0.0
126074	301.0	387.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2676.0	4725.0
106481444	1.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	560.0	599.0
85354	0.0	0.0
85352	1079.0	397.0
403241	0.0	0.0
344462	1.0	5.0
403244	0.0	0.0
403245	0.0	0.0
153642	641.0	679.0
153643	16.0	29.0
403247	0.0	0.0
403248	0.0	0.0
26985	3193.0	4973.0
106481448	0.0	0.0
26986	202203.0	81911.0
126069	166.0	130.0
106481449	0.0	0.0
126068	758.0	298.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1013.0	955.0
106481447	0.0	0.0
106481451	1.0	1.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	36.0	10.0
106481455	0.0	0.0
85349	34.0	21.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	9.0	0.0
106481454	1.0	0.0
403238	0.0	0.0
85344	0.0	5.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	3.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	3.0	0.0
100873392	0.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	23.0	4.0
106481415	0.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2299.0	8781.0
100873390	0.0	0.0
728556	228.0	155.0
106481419	2.0	1.0
100128817	0.0	0.0
728558	41.0	54.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	516.0	301.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	7.0	18.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	88.0	65.0
100873384	0.0	0.0
285601	22.0	13.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	5.0	0.0
63910	83.0	31.0
106481424	0.0	2.0
106481425	0.0	0.0
285605	753.0	492.0
222008	2350.0	2425.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	6985.0	5963.0
63904	0.0	0.0
106481430	0.0	0.0
163071	6.0	10.0
63906	764.0	990.0
106481433	0.0	0.0
63908	967.0	592.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	67.0	188.0
63920	757.0	339.0
63923	4.0	1.0
63922	948.0	515.0
728577	22.0	25.0
63925	1208.0	1903.0
63924	45.0	15.0
63916	3388.0	3601.0
63917	3859.0	5034.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	3.0
728564	27.0	11.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2220.0	1233.0
106481402	0.0	0.0
63931	3202.0	2256.0
106481403	0.0	0.0
63934	599.0	499.0
728567	3.0	3.0
106481408	0.0	0.0
163088	9.0	9.0
63933	2269.0	1871.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3617.0	2409.0
163087	986.0	638.0
728568	436.0	542.0
106481407	6.0	24.0
3704	2576.0	4157.0
3705	6890.0	6790.0
63926	896.0	868.0
3706	24.0	21.0
63929	1236.0	897.0
3707	6668.0	2916.0
63928	77.0	32.0
3708	7056.0	2496.0
106481411	0.0	0.0
3709	2420.0	2901.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	11.0	5.0
3702	129.0	96.0
3703	14246.0	14980.0
645506	0.0	1.0
151050	1819.0	1088.0
645520	0.0	0.0
63941	3896.0	6717.0
63940	453.0	381.0
63943	940.0	432.0
728517	0.0	0.0
163033	783.0	1251.0
258010	3216.0	4631.0
63947	0.0	0.0
63946	1.0	2.0
728513	0.0	0.0
100033803	0.0	0.0
3716	8475.0	6774.0
100033804	0.0	0.0
3717	1087.0	661.0
100033805	0.0	0.0
3718	389.0	264.0
63939	892.0	970.0
100033806	0.0	0.0
100190799	2.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	98.0	123.0
3710	1736.0	1146.0
3712	6397.0	12573.0
3713	4.0	6.0
3714	823.0	1164.0
63950	3.0	3.0
728505	0.0	0.0
63951	372.0	742.0
100033807	0.0	0.0
728501	75.0	142.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	16028.0	38795.0
100033814	0.0	0.0
3727	12783.0	26310.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	0.0
3728	17048.0	23895.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1203.0	839.0
151056	205.0	140.0
3725	15368.0	40074.0
645528	0.0	0.0
728532	43.0	22.0
163059	406.0	321.0
728538	0.0	0.0
728537	24.0	39.0
63967	32.0	25.0
3737	14.0	5.0
3738	8.0	10.0
3739	0.0	7.0
645538	0.0	0.0
3730	613.0	1482.0
3732	7234.0	5125.0
3734	22.0	17.0
3735	9607.0	12786.0
3736	0.0	1.0
63970	30.0	21.0
3750	148.0	78.0
63971	3055.0	5476.0
63974	0.0	0.0
163049	2588.0	2026.0
63973	0.0	0.0
63976	87.0	29.0
222068	15458.0	11368.0
63978	0.0	0.0
63977	445.0	409.0
63979	718.0	371.0
728524	0.0	0.0
3748	173.0	265.0
163051	56.0	44.0
3749	292.0	246.0
163050	61.0	50.0
3741	22.0	13.0
645548	2.0	5.0
3743	0.0	5.0
3744	0.0	1.0
3745	1686.0	335.0
3746	4.0	13.0
3747	2440.0	192.0
285671	888.0	647.0
285672	1529.0	1916.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	135.0	30.0
285676	85.0	40.0
3761	0.0	0.0
100128657	0.0	0.0
285679	3.0	7.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	160.0	226.0
283008	1.0	2.0
3751	22.0	5.0
100873435	0.0	0.0
3752	4566.0	4301.0
100873434	0.0	0.0
3753	0.0	1.0
100873433	0.0	0.0
3754	11.0	7.0
100873432	0.0	0.0
3755	625.0	310.0
100873439	0.0	0.0
3756	22.0	9.0
100873438	0.0	0.0
3757	2768.0	784.0
100873437	0.0	0.0
3758	1.0	1.0
100873436	0.0	0.0
100873420	2.0	1.0
3770	88.0	105.0
3772	200.0	110.0
100861458	0.0	0.0
100861453	25.0	16.0
100861455	0.0	0.0
1107	8556.0	13472.0
1106	4478.0	5108.0
1105	1345.0	2053.0
1104	1325.0	1492.0
100873429	0.0	0.0
1103	0.0	0.0
1102	904.0	1098.0
1101	35.0	25.0
3762	110.0	103.0
100873424	0.0	0.0
3763	6.0	101.0
100128640	464.0	400.0
100873423	0.0	0.0
3764	1109.0	384.0
100873422	0.0	0.0
3765	2.0	2.0
100873421	0.0	0.0
3766	18.0	10.0
100873428	0.0	0.0
3767	970.0	758.0
100873427	0.0	0.0
3768	39.0	129.0
1109	1.0	0.0
100873426	0.0	3.0
1108	12885.0	10904.0
3769	9.0	2.0
100873425	0.0	0.0
100128637	2.0	1.0
100128639	0.0	0.0
3780	22.0	16.0
100873453	0.0	0.0
3781	3716.0	1029.0
100873452	0.0	0.0
3782	359.0	197.0
100873451	0.0	0.0
3783	1324.0	3654.0
100873450	0.0	0.0
1121	1540.0	1123.0
100861468	0.0	0.0
1120	133.0	234.0
100861469	0.0	0.0
1118	346.0	589.0
1117	169.0	802.0
1116	399.0	197.0
1114	104.0	77.0
1113	888.0	881.0
1112	6611.0	3137.0
1111	849.0	513.0
3773	22.0	2.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	2021.0	752.0
100873455	0.0	0.0
3776	126.0	18.0
100873454	0.0	0.0
3777	956.0	303.0
3778	10226.0	2757.0
3779	6966.0	2116.0
100873459	0.0	0.0
1119	5202.0	4416.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	939.0	1822.0
100128628	2.0	1.0
3791	995.0	737.0
100873442	0.0	0.0
3792	4.0	2.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	8.0	6.0
1131	51.0	1972.0
1130	991.0	787.0
100861476	0.0	0.0
1129	1.0	169.0
1128	2224.0	6576.0
1124	1197.0	550.0
1123	709.0	362.0
1122	579.0	709.0
100861470	0.0	0.0
3784	1029.0	1551.0
100873446	0.0	0.0
3785	715.0	21.0
100873445	0.0	0.0
3786	29.0	21.0
100873444	0.0	0.0
3787	40.0	55.0
100873443	0.0	0.0
3788	63.0	12.0
100873449	1.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	80.0	123.0
100128618	0.0	0.0
728597	1.0	2.0
100128617	9.0	12.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	179.0	1050.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	0.0
285634	10.0	0.0
1142	1.0	0.0
1141	5.0	5.0
285636	4276.0	2512.0
1140	416.0	295.0
728599	9.0	1.0
1139	12.0	36.0
1138	117.0	247.0
1137	0.0	1.0
100861485	0.0	0.0
1136	40.0	57.0
1135	4567.0	24024.0
1134	33.0	8.0
1133	5.0	5.0
3795	247.0	265.0
100873479	14.0	8.0
3796	728.0	804.0
100873478	0.0	0.0
3797	658.0	348.0
100873477	0.0	0.0
3798	35.0	12.0
100873476	0.0	0.0
3799	18423.0	14984.0
100873460	0.0	0.0
728586	26.0	11.0
285641	2.0	0.0
100873464	0.0	0.0
100873463	0.0	0.0
100873462	2.0	0.0
285643	0.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1469.0	784.0
1153	27500.0	28120.0
1152	33323.0	51784.0
285647	11.0	11.0
728589	5.0	2.0
728588	0.0	13.0
1149	4.0	0.0
1147	1544.0	1435.0
1146	1.0	3.0
1145	19.0	54.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	1.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	1570.0	743.0
1163	603.0	397.0
285659	0.0	0.0
1161	284.0	385.0
1160	280.0	159.0
1159	155.0	495.0
1158	362.0	79.0
1157	0.0	0.0
1155	3982.0	3988.0
550643	2809.0	2139.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	4291.0	2363.0
1175	6207.0	15512.0
285668	2.0	1.0
1174	6973.0	5281.0
1173	27136.0	27156.0
550631	249.0	271.0
100873489	0.0	0.0
283014	3.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	6.0	23.0
1186	3945.0	2779.0
1185	1247.0	900.0
1184	690.0	529.0
1183	168.0	238.0
1182	12031.0	15130.0
1181	557.0	423.0
440375	37.0	32.0
1180	3.0	5.0
1179	1.0	0.0
1178	0.0	0.0
283089	5.0	7.0
85495	0.0	0.0
85480	142.0	121.0
283080	0.0	0.0
1198	3033.0	3517.0
1197	6.0	0.0
1196	2185.0	1898.0
1195	3237.0	4910.0
440366	0.0	0.0
1193	366.0	244.0
1192	26327.0	30920.0
1191	79455.0	20482.0
1188	27.0	5.0
283078	2591.0	743.0
85486	9.0	12.0
128615	0.0	0.0
85481	0.0	0.0
128611	17.0	36.0
440396	30.0	57.0
128609	0.0	0.0
128602	7.0	6.0
440387	0.0	12.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	6.0	8.0
126014	78.0	60.0
440335	5644.0	3667.0
100128690	0.0	0.0
114034	459.0	893.0
126006	5.0	63.0
114036	10.0	2.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	103.0	85.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	5.0
100128678	1.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	230.0	295.0
440356	16.0	3.0
440354	37.0	38.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	11.0	16.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	90.0	170.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	46.0	38.0
200734	2782.0	2551.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	8.0	3.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5184.0	3534.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	1.0
165530	26.0	66.0
85409	203.0	60.0
106481385	2.0	1.0
106481386	0.0	0.0
85416	3.0	164.0
106481383	0.0	0.0
85417	40.0	32.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	37165.0	124215.0
106481389	0.0	0.0
85415	6270.0	7153.0
106481387	0.0	0.0
85413	11.0	11.0
106481388	0.0	0.0
645436	0.0	0.0
106481381	1.0	0.0
106481382	0.0	0.0
10	11.0	4.0
106481380	0.0	0.0
11	0.0	0.0
403341	720.0	438.0
12	174.0	534.0
13	0.0	0.0
14	9979.0	12233.0
15	2.0	3.0
16	9063.0	14519.0
645455	1.0	0.0
18	6058.0	11327.0
19	1444.0	995.0
128580	10.0	6.0
85407	820.0	322.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1368.0	1131.0
106481395	0.0	0.0
85403	2608.0	2100.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	1.0	0.0
20	5005.0	3148.0
106481390	0.0	0.0
21	3537.0	2645.0
106481391	0.0	0.0
22	1194.0	991.0
153571	671.0	851.0
153572	1363.0	1668.0
23	4729.0	5838.0
24	36.0	20.0
25	10169.0	8640.0
26	289.0	29.0
27	2930.0	1960.0
28	478.0	4546.0
29	4846.0	3291.0
153579	48.0	124.0
728615	0.0	0.0
728614	0.0	0.0
200765	385.0	168.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	23.0	14.0
102466518	0.0	0.0
102466516	3.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	3.0	0.0
106481361	0.0	0.0
85439	117.0	1084.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	4356.0	3657.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	157.0	100.0
106481366	0.0	0.0
30	7638.0	9285.0
106481360	0.0	0.0
31	8722.0	11031.0
32	1365.0	726.0
33	3448.0	3957.0
34	3754.0	2837.0
35	971.0	1926.0
153562	2115.0	2017.0
36	2763.0	8949.0
37	10472.0	17267.0
38	10067.0	4206.0
440307	3.0	18.0
39	1568.0	11149.0
165545	3.0	10.0
106481369	0.0	0.0
728606	1566.0	1982.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	6.0	4.0
106481370	0.0	0.0
41	279.0	799.0
106481371	0.0	0.0
43	672.0	1379.0
645486	0.0	0.0
47	11490.0	26306.0
48	3740.0	3557.0
49	9.0	11.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	1.0	3.0
106481340	0.0	0.0
85458	3623.0	1943.0
106481345	0.0	0.0
85459	758.0	267.0
106481346	0.0	2.0
