id	ff73b9bb-de12-434d-9550-3148c642442b	a62cfb55-6820-404c-959b-e33a2f732f25
1040	2033.0	510.0
1039	1468.0	912.0
1038	2.0	616.0
1036	13268.0	121.0
3696	4496.0	3335.0
3697	0.0	13.0
100873379	0.0	0.0
3698	21.0	52.0
100873378	1.0	18.0
3699	42.0	65.0
100873377	0.0	0.0
728486	0.0	2.0
100873361	0.0	6.0
105373869	41.0	2.0
100873360	0.0	5.0
285540	58.0	150.0
100128705	0.0	4.0
100873365	0.0	24.0
100873364	0.0	3.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	610.0
100873362	0.0	0.0
100128701	4.0	41.0
1054	1234.0	626.0
285547	0.0	0.0
1053	5.0	0.0
285548	2.0	2.0
1052	819.0	629.0
1051	1774.0	885.0
728489	2.0	21.0
1050	242.0	202.0
100128707	1.0	2.0
1048	1.0	39.0
1047	477.0	237.0
1046	25.0	1.0
1045	3.0	19.0
100873369	4.0	80.0
100873368	0.0	0.0
100873367	0.0	7.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	984.0	1201.0
1063	75.0	280.0
1062	61.0	111.0
1061	1.0	26.0
1060	1016.0	2684.0
440253	113.0	210.0
1059	4029.0	824.0
1058	6.0	11.0
1057	1.0	12.0
85379	5020.0	5865.0
114112	338.0	393.0
1056	88.0	36.0
85377	3585.0	1556.0
85378	2523.0	2148.0
128745	1.0	0.0
85376	11.0	6.0
440248	291.0	831.0
1075	2099.0	992.0
1074	4.0	32.0
1073	3167.0	2223.0
1072	18286.0	4732.0
1071	41.0	50.0
440243	0.0	0.0
1070	591.0	104.0
1069	3207.0	634.0
1068	0.0	2.0
85369	1285.0	1746.0
85366	18.0	0.0
85364	1317.0	643.0
85365	4803.0	1019.0
85363	1185.0	968.0
85360	508.0	723.0
1080	47.0	512.0
85391	5.0	69.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	46.0
153733	480.0	302.0
1087	1.0	5.0
1086	0.0	0.0
440279	17.0	57.0
1085	1.0	16.0
1084	1.0	42.0
440278	113.0	275.0
1082	0.0	1.0
403294	2.0	0.0
440275	2125.0	3830.0
1081	26.0	6.0
85397	10.0	35.0
85395	264.0	59.0
403285	0.0	0.0
1091	0.0	8.0
1090	0.0	21.0
403288	0.0	0.0
403289	0.0	1.0
1098	0.0	13.0
1097	0.0	1.0
1096	0.0	10.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	1.0
1094	0.0	3.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	12.0	6.0
440270	1537.0	1490.0
1089	2.0	17.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	112.0	466.0
285598	396.0	1582.0
126133	911.0	155.0
128790	0.0	0.0
126129	145.0	152.0
126123	1.0	2.0
442862	0.0	0.0
126119	552.0	35.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	215.0
128774	0.0	0.0
442893	1.0	40.0
442894	0.0	0.0
442895	0.0	5.0
114131	0.0	0.0
442896	0.0	6.0
114132	6.0	20.0
442897	0.0	10.0
442898	0.0	0.0
114134	675.0	601.0
442899	0.0	0.0
100128790	1.0	12.0
128760	5.0	7.0
100128788	45.0	203.0
100128787	1.0	1.0
440225	0.0	2.0
440224	1.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	11.0
128756	1.0	0.0
100128782	227.0	279.0
100128781	0.0	46.0
403230	0.0	0.0
403231	0.0	1.0
403232	0.0	0.0
645560	5.0	2.0
403234	0.0	1.0
403235	0.0	7.0
403236	0.0	0.0
63982	64.0	24.0
102466616	0.0	0.0
126052	0.0	7.0
151009	54.0	106.0
403227	0.0	0.0
403228	0.0	0.0
138046	41.0	4.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	1.0	8.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	1.0
200634	1280.0	189.0
107131122	0.0	1.0
138050	4081.0	4513.0
403219	0.0	0.0
151011	2794.0	1784.0
645587	2.0	7.0
165679	62.0	112.0
126037	192.0	4.0
114049	3727.0	876.0
106481479	0.0	2.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	6.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	17.0
106481483	0.0	0.0
85315	11055.0	622.0
100033821	1.0	76.0
106481488	0.0	0.0
100033822	0.0	6.0
106481489	0.0	0.0
85313	1390.0	997.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	133.0	76.0
100033820	0.0	0.0
106481480	0.0	48.0
106481481	0.0	19.0
138065	47.0	17.0
645598	0.0	6.0
163007	6.0	3.0
114038	16.0	1.0
645591	0.0	6.0
106481495	2.0	16.0
114041	2.0	39.0
106481496	0.0	3.0
114042	3.0	1.0
106481493	0.0	6.0
114043	7.0	15.0
106481494	0.0	0.0
106481499	0.0	8.0
114044	137.0	820.0
126017	234.0	746.0
106481497	2.0	14.0
106481498	0.0	9.0
85303	0.0	0.0
85300	170.0	359.0
85301	888.0	1804.0
106481491	0.0	6.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	2.0
403275	5.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	715.0	686.0
106481459	0.0	0.0
26994	5754.0	2413.0
106481457	3.0	18.0
26995	1574.0	771.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	3.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1342.0	1641.0
403273	0.0	2.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	2.0
106481460	2.0	7.0
106481461	0.0	0.0
104310350	0.0	3.0
106481466	0.0	0.0
26993	1900.0	1316.0
106481467	0.0	1.0
106481464	0.0	0.0
106481465	0.0	5.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	2.0
403266	0.0	6.0
138009	0.0	7.0
106481468	0.0	0.0
106481469	0.0	2.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	2.0
106481471	0.0	0.0
85329	50.0	12.0
106481472	0.0	0.0
106481477	2.0	33.0
106481478	0.0	22.0
106481475	0.0	5.0
106481476	0.0	0.0
85320	13.0	517.0
106481470	0.0	9.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	593.0	1197.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	1.0
344471	4.0	0.0
106481437	0.0	0.0
26974	144.0	219.0
153657	258.0	117.0
106481438	0.0	0.0
106481435	0.0	25.0
26973	1194.0	2353.0
165631	8.0	265.0
106481436	1.0	32.0
26978	5.0	59.0
126075	890.0	559.0
106481439	0.0	6.0
403250	0.0	0.0
126074	183.0	42.0
403251	0.0	0.0
106481440	0.0	4.0
106481441	0.0	0.0
85359	1663.0	198.0
106481444	7.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	6.0	5.0
85358	752.0	1039.0
85354	0.0	0.0
85352	750.0	896.0
403241	1.0	0.0
344462	2.0	5.0
403244	0.0	7.0
403245	0.0	0.0
153642	537.0	237.0
153643	9.0	21.0
403247	0.0	0.0
403248	0.0	0.0
26985	1894.0	2498.0
106481448	0.0	0.0
26986	42288.0	30463.0
126069	49.0	173.0
106481449	0.0	0.0
126068	666.0	296.0
106481446	0.0	0.0
26983	0.0	0.0
26984	489.0	570.0
106481447	0.0	0.0
106481451	0.0	21.0
106481452	1.0	62.0
106481450	0.0	0.0
114088	291.0	153.0
106481455	0.0	1.0
85349	33.0	47.0
106481456	0.0	17.0
26982	0.0	0.0
106481453	0.0	9.0
85347	0.0	0.0
26980	2.0	70.0
106481454	1.0	1.0
403238	0.0	0.0
85344	4.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	2.0
344454	0.0	33.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	98.0
100873392	0.0	20.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	15.0
100873395	0.0	0.0
100128811	1.0	4.0
106481415	2.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	14.0
63901	1358.0	5712.0
100873390	0.0	0.0
728556	40.0	106.0
106481419	0.0	4.0
100128817	0.0	1.0
728558	39.0	837.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	9.0
163081	283.0	400.0
106481423	0.0	0.0
106481420	0.0	4.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	1.0
100873382	0.0	3.0
100873381	34.0	4.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	3.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	90.0	540.0
100873384	0.0	0.0
285601	7.0	9.0
106481426	0.0	0.0
106481427	0.0	9.0
222005	2.0	3.0
63910	135.0	98.0
106481424	0.0	12.0
106481425	0.0	0.0
285605	466.0	364.0
222008	0.0	576.0
106481428	1.0	0.0
106481429	1.0	13.0
63905	2950.0	1275.0
63904	0.0	0.0
106481430	0.0	1.0
163071	71.0	26.0
63906	521.0	149.0
106481433	1.0	0.0
63908	809.0	1231.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	2.0
285613	44.0	15.0
63920	368.0	102.0
63923	14.0	21.0
63922	263.0	81.0
728577	17.0	79.0
63925	1039.0	997.0
63924	134.0	25.0
63916	2285.0	2688.0
63917	2168.0	2116.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	4.0
728564	5.0	0.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	803.0	316.0
106481402	0.0	13.0
63931	1269.0	723.0
106481403	0.0	6.0
63934	447.0	780.0
728567	2.0	3.0
106481408	0.0	2.0
163088	3.0	8.0
63933	2766.0	845.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	1967.0	718.0
163087	552.0	465.0
728568	248.0	172.0
106481407	5.0	0.0
3704	1365.0	450.0
3705	4786.0	1626.0
63926	809.0	327.0
3706	35.0	2.0
63929	983.0	1864.0
3707	4009.0	2617.0
63928	288.0	62.0
3708	12689.0	12182.0
106481411	0.0	11.0
3709	1141.0	12642.0
106481412	1.0	0.0
106481410	0.0	10.0
3700	17.0	62.0
3702	16.0	623.0
3703	14866.0	4429.0
645506	0.0	1.0
151050	1271.0	2553.0
645520	0.0	0.0
63941	920.0	769.0
63940	269.0	501.0
63943	258.0	66.0
728517	0.0	0.0
163033	406.0	72.0
258010	2162.0	894.0
63947	0.0	0.0
63946	9.0	0.0
728513	3.0	0.0
100033803	0.0	0.0
3716	6816.0	6361.0
100033804	0.0	0.0
3717	749.0	1272.0
100033805	0.0	0.0
3718	456.0	969.0
63939	779.0	1158.0
100033806	0.0	1.0
100190799	1.0	53.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	71.0	120.0
3710	8147.0	2134.0
3712	6977.0	2783.0
3713	5.0	0.0
3714	1290.0	144.0
63950	0.0	0.0
728505	1.0	2.0
63951	173.0	206.0
100033807	0.0	0.0
728501	14.0	6.0
100033808	0.0	1.0
100033809	0.0	4.0
3726	7602.0	3183.0
100033814	0.0	0.0
3727	7103.0	1932.0
63948	2.0	1.0
100033815	0.0	0.0
222052	0.0	11.0
3728	12879.0	2748.0
100033816	0.0	0.0
100033817	0.0	1.0
100033810	0.0	0.0
100033811	0.0	7.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	859.0	1113.0
151056	77.0	720.0
3725	8012.0	8875.0
645528	0.0	7.0
728532	23.0	9.0
163059	298.0	470.0
728538	0.0	8.0
728537	126.0	311.0
63967	14.0	38.0
3737	11.0	139.0
3738	5.0	117.0
3739	79.0	0.0
645538	0.0	0.0
3730	945.0	245.0
3732	7943.0	614.0
3734	30.0	170.0
3735	4671.0	1823.0
3736	3.0	6.0
63970	131.0	54.0
3750	147.0	159.0
63971	2177.0	5467.0
63974	0.0	4.0
163049	1518.0	1739.0
63973	0.0	0.0
63976	1272.0	52.0
222068	9806.0	3153.0
63978	1.0	0.0
63977	323.0	848.0
63979	337.0	432.0
728524	0.0	0.0
3748	1655.0	340.0
163051	34.0	44.0
3749	921.0	2175.0
163050	36.0	63.0
3741	16.0	19.0
645548	3.0	3.0
3743	0.0	25.0
3744	0.0	0.0
3745	460.0	1663.0
3746	5.0	30.0
3747	0.0	127.0
285671	1552.0	1339.0
285672	1471.0	901.0
100873431	0.0	0.0
100873430	1.0	27.0
3760	707.0	1758.0
285676	64.0	173.0
3761	2.0	0.0
100128657	1.0	0.0
285679	4.0	17.0
100861449	0.0	6.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1102.0	310.0
283008	1.0	25.0
3751	38.0	30.0
100873435	0.0	4.0
3752	1165.0	3626.0
100873434	0.0	0.0
3753	4.0	29.0
100873433	0.0	6.0
3754	13.0	5.0
100873432	0.0	0.0
3755	1186.0	83.0
100873439	0.0	0.0
3756	52.0	138.0
100873438	0.0	0.0
3757	770.0	668.0
100873437	0.0	2.0
3758	100.0	21.0
100873436	0.0	2.0
100873420	4.0	2.0
3770	53.0	53.0
3772	3737.0	275.0
100861458	0.0	24.0
100861453	13.0	90.0
100861455	0.0	0.0
1107	10058.0	13551.0
1106	4838.0	11326.0
1105	1648.0	2591.0
1104	852.0	590.0
100873429	0.0	0.0
1103	1.0	0.0
1102	2666.0	724.0
1101	92.0	113.0
3762	7468.0	215.0
100873424	0.0	0.0
3763	10.0	202.0
100128640	133.0	226.0
100873423	0.0	0.0
3764	483.0	640.0
100873422	0.0	6.0
3765	3.0	60.0
100873421	0.0	5.0
3766	34.0	113.0
100873428	0.0	0.0
3767	1229.0	71.0
100873427	0.0	0.0
3768	59.0	49.0
1109	2.0	4.0
100873426	0.0	21.0
1108	12768.0	6660.0
3769	135.0	355.0
100873425	0.0	22.0
100128637	0.0	0.0
100128639	0.0	2.0
3780	18.0	5.0
100873453	0.0	0.0
3781	97.0	199.0
100873452	0.0	0.0
3782	241.0	1907.0
100873451	0.0	0.0
3783	2114.0	183.0
100873450	0.0	0.0
1121	899.0	1234.0
100861468	0.0	1.0
1120	176.0	142.0
100861469	0.0	32.0
1118	230.0	64.0
1117	53.0	406.0
1116	784.0	59.0
1114	953.0	500.0
1113	9.0	765.0
1112	3304.0	9494.0
1111	5288.0	111.0
3773	12064.0	17.0
100873457	1.0	2.0
100873456	0.0	36.0
3775	1216.0	635.0
100873455	0.0	0.0
3776	49.0	175.0
100873454	0.0	0.0
3777	802.0	919.0
3778	6316.0	10549.0
3779	2970.0	2457.0
100873459	0.0	35.0
1119	3190.0	1062.0
100128627	0.0	7.0
100128626	4.0	0.0
3790	218.0	200.0
100128628	0.0	31.0
3791	2805.0	1873.0
100873442	0.0	0.0
3792	24.0	11.0
100873441	0.0	23.0
100873440	0.0	1.0
100128625	0.0	0.0
1132	4.0	2.0
1131	2311.0	138.0
1130	1228.0	3586.0
100861476	0.0	48.0
1129	0.0	221.0
1128	7.0	585.0
1124	416.0	1257.0
1123	795.0	1685.0
1122	217.0	456.0
100861470	0.0	0.0
3784	15159.0	445.0
100873446	0.0	0.0
3785	3.0	51.0
100873445	0.0	0.0
3786	259.0	265.0
100873444	0.0	0.0
3787	1611.0	32.0
100873443	0.0	0.0
3788	38.0	130.0
100873449	6.0	104.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	41.0
283050	56.0	138.0
100128618	1.0	39.0
728597	1.0	47.0
100128617	0.0	4.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	244.0	199.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	5.0	5.0
285634	7.0	1.0
1142	1.0	4.0
1141	2.0	137.0
285636	1709.0	1707.0
1140	628.0	150.0
728599	2.0	34.0
1139	7.0	37.0
1138	12.0	45.0
1137	4.0	17.0
100861485	0.0	0.0
1136	3.0	66.0
1135	23.0	1085.0
1134	2.0	0.0
1133	2.0	85.0
3795	263.0	63.0
100873479	2.0	112.0
3796	740.0	1584.0
100873478	0.0	0.0
3797	729.0	369.0
100873477	5.0	27.0
3798	77.0	114.0
100873476	0.0	0.0
3799	7950.0	7202.0
100873460	0.0	6.0
728586	9.0	82.0
285641	0.0	7.0
100873464	4.0	32.0
100873463	0.0	0.0
100873462	1.0	21.0
285643	0.0	3.0
100128603	0.0	3.0
100873461	0.0	0.0
1154	1208.0	336.0
1153	17238.0	7939.0
1152	12495.0	2291.0
285647	10.0	21.0
728589	3.0	35.0
728588	8.0	66.0
1149	1.0	2.0
1147	885.0	685.0
1146	1.0	81.0
1145	33.0	20.0
1144	1.0	6.0
100873468	0.0	3.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	7.0
100873469	0.0	1.0
100873493	0.0	14.0
100873492	0.0	0.0
100873491	0.0	30.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	2.0
100873495	0.0	14.0
100873494	0.0	0.0
1164	283.0	45.0
1163	409.0	116.0
285659	0.0	0.0
1161	245.0	244.0
1160	371.0	797.0
1159	21.0	30.0
1158	90.0	67.0
1157	0.0	0.0
1155	1759.0	455.0
550643	1622.0	730.0
283025	1.0	5.0
100873499	0.0	44.0
100873498	0.0	5.0
100873482	0.0	1.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	7.0
100873485	0.0	1.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	7061.0	817.0
1175	1385.0	379.0
285668	3.0	11.0
1174	1036.0	494.0
1173	15473.0	3687.0
550631	123.0	83.0
100873489	0.0	0.0
283014	8.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	14.0	113.0
1186	2162.0	845.0
1185	776.0	2205.0
1184	315.0	1385.0
1183	458.0	376.0
1182	5576.0	3170.0
1181	647.0	233.0
440375	26.0	4.0
1180	12.0	9.0
1179	1.0	1.0
1178	0.0	6.0
283089	9.0	77.0
85495	0.0	0.0
85480	102.0	193.0
283080	0.0	11.0
1198	2370.0	3640.0
1197	2.0	0.0
1196	1714.0	1565.0
1195	4405.0	3560.0
440366	0.0	6.0
1193	244.0	212.0
1192	7025.0	3075.0
1191	343562.0	8149.0
1188	59.0	8.0
283078	178.0	1826.0
85486	4.0	4.0
128615	0.0	0.0
85481	0.0	0.0
128611	2.0	230.0
440396	39.0	17.0
128609	0.0	0.0
128602	43.0	15.0
440387	1.0	0.0
128674	4.0	2.0
128676	0.0	11.0
114026	0.0	0.0
100861402	4.0	12.0
126014	35.0	44.0
440335	2034.0	107.0
100128690	0.0	0.0
114034	473.0	344.0
126006	68.0	21.0
114036	17.0	148.0
100128696	0.0	2.0
100128688	0.0	0.0
126003	58.0	60.0
100861412	0.0	9.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	95.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	129.0	67.0
440356	9.0	3.0
440354	57.0	39.0
440352	0.0	64.0
100873419	0.0	0.0
100873418	0.0	9.0
100873413	0.0	1.0
128646	2.0	12.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	33.0
100873410	0.0	0.0
100873417	2.0	18.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	264.0	342.0
100861435	0.0	0.0
100861436	2.0	0.0
440345	147.0	300.0
200734	1498.0	2214.0
100861431	0.0	14.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	11.0
100873408	0.0	0.0
100873407	1.0	2.0
100861430	9.0	113.0
100873402	0.0	10.0
100873401	0.0	6.0
100873400	0.0	2.0
100128665	0.0	0.0
128637	3024.0	2799.0
100873406	0.0	1.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	4.0
645440	0.0	0.0
645443	6.0	1.0
165530	12.0	171.0
85409	69.0	62.0
106481385	0.0	44.0
106481386	0.0	0.0
85416	3.0	41.0
106481383	2.0	105.0
85417	100.0	34.0
106481384	0.0	0.0
103106903	0.0	14.0
85414	115.0	35583.0
106481389	0.0	0.0
85415	502.0	1025.0
106481387	0.0	0.0
85413	2.0	8.0
106481388	1.0	16.0
645436	0.0	1.0
106481381	0.0	4.0
106481382	0.0	0.0
10	25.0	7.0
106481380	0.0	2.0
11	0.0	1.0
403341	598.0	947.0
12	44.0	1271.0
13	0.0	2.0
14	4617.0	823.0
15	0.0	17.0
16	7897.0	2749.0
645455	2.0	66.0
18	1427.0	2367.0
19	2405.0	4569.0
128580	0.0	4.0
85407	758.0	2232.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	819.0	652.0
106481395	0.0	5.0
85403	1410.0	909.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	1.0
20	4703.0	1424.0
106481390	0.0	8.0
21	2158.0	947.0
106481391	0.0	0.0
22	669.0	534.0
153571	146.0	85.0
153572	175.0	378.0
23	2713.0	1539.0
24	775.0	75.0
25	5377.0	3794.0
26	281.0	58.0
27	823.0	3423.0
28	518.0	1631.0
29	2712.0	3876.0
153579	303.0	328.0
728615	0.0	2.0
728614	0.0	0.0
200765	116.0	116.0
106481358	1.0	4.0
106481359	0.0	0.0
728611	54.0	29.0
102466518	0.0	87.0
102466516	3.0	11.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	2.0
85438	36.0	2.0
106481361	0.0	85.0
85439	414.0	649.0
106481362	0.0	3.0
106481367	0.0	12.0
85437	2184.0	1082.0
106481368	1.0	0.0
106481365	0.0	0.0
728609	123.0	225.0
106481366	0.0	0.0
30	2408.0	761.0
106481360	0.0	6.0
31	5583.0	12832.0
32	3009.0	3915.0
33	375.0	904.0
34	2622.0	672.0
35	610.0	68.0
153562	1304.0	481.0
36	1650.0	3944.0
37	16530.0	3728.0
38	2653.0	1221.0
440307	16.0	34.0
39	446.0	360.0
165545	8.0	4.0
106481369	0.0	0.0
728606	10.0	120.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	3.0
106481373	0.0	14.0
106481378	1.0	3.0
106481379	0.0	0.0
106481376	0.0	3.0
106481377	0.0	0.0
403315	0.0	14.0
40	14.0	2.0
106481370	0.0	0.0
41	75.0	273.0
106481371	0.0	1.0
43	207.0	100.0
645486	0.0	0.0
47	4069.0	6294.0
48	2745.0	2246.0
49	2.0	5.0
106481338	0.0	0.0
106481339	0.0	6.0
106481336	0.0	0.0
106481337	1.0	12.0
106481341	0.0	0.0
106481342	2.0	7.0
106481340	0.0	22.0
85458	3152.0	4666.0
106481345	0.0	3.0
85459	482.0	1292.0
106481346	0.0	7.0
85456	10685.0	3395.0
442910	0.0	0.0
106481343	0.0	0.0
85457	2618.0	3576.0
442911	0.0	0.0
106481344	0.0	43.0
