id	fa85b238-f8d6-4c71-b5e0-fdba959b4122	7852bfcc-9d96-4a25-8c4c-feec90f9c21f
100033820	0.0	0.0
106481480	0.0	3.0
106481481	0.0	0.0
138065	11.0	6.0
645598	1.0	0.0
163007	2.0	0.0
114038	1.0	0.0
645591	2.0	0.0
106481495	0.0	0.0
114041	8.0	0.0
106481496	0.0	0.0
114042	10.0	14.0
106481493	0.0	0.0
114043	1.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	143.0	169.0
126017	1078.0	1254.0
106481497	2.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1170.0	196.0
85301	1721.0	233.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1103.0	1522.0
106481459	0.0	0.0
26994	6469.0	2139.0
106481457	4.0	0.0
26995	2079.0	2147.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1431.0	1162.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	4.0
106481460	0.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2891.0	5234.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	7.0	0.0
106481472	0.0	0.0
106481477	0.0	2.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	30.0	115.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	565.0	659.0
403255	0.0	1.0
403256	0.0	0.0
403257	0.0	0.0
344471	12.0	15.0
106481437	0.0	0.0
26974	243.0	252.0
153657	39.0	21.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	821.0	535.0
165631	32.0	9.0
106481436	1.0	0.0
26978	13.0	4.0
126075	1862.0	3177.0
106481439	0.0	0.0
403250	0.0	0.0
126074	260.0	301.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4309.0	3790.0
106481444	1.0	12.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1243.0	711.0
85354	0.0	0.0
85352	1077.0	108.0
403241	0.0	0.0
344462	6.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	573.0	222.0
153643	5.0	124.0
403247	0.0	0.0
403248	0.0	0.0
26985	2442.0	926.0
106481448	0.0	0.0
26986	75916.0	38564.0
126069	89.0	67.0
106481449	0.0	0.0
126068	492.0	193.0
106481446	0.0	0.0
26983	2.0	1.0
26984	682.0	486.0
106481447	0.0	0.0
106481451	7.0	0.0
106481452	2.0	0.0
106481450	0.0	0.0
114088	91.0	22.0
106481455	0.0	0.0
85349	66.0	0.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	3.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	3.0	0.0
100873392	0.0	14.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	2.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	2246.0	6268.0
100873390	0.0	0.0
728556	37.0	44.0
106481419	0.0	6.0
100128817	0.0	0.0
728558	73.0	69.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	252.0	67.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	30.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	93.0	25.0
100873384	0.0	0.0
285601	15.0	9.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	0.0
63910	62.0	68.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	339.0	115.0
222008	25.0	0.0
106481428	0.0	0.0
106481429	2.0	0.0
63905	4965.0	2653.0
63904	0.0	0.0
106481430	4.0	1.0
163071	31.0	5.0
63906	691.0	493.0
106481433	0.0	0.0
63908	599.0	417.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	52.0	64.0
63920	509.0	177.0
63923	7.0	75.0
63922	514.0	847.0
728577	52.0	39.0
63925	1393.0	1863.0
63924	64.0	7.0
63916	3191.0	2053.0
63917	3271.0	1550.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	7.0	3.0
728564	3.0	9.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1042.0	353.0
106481402	0.0	0.0
63931	1264.0	281.0
106481403	0.0	0.0
63934	542.0	857.0
728567	8.0	0.0
106481408	0.0	0.0
163088	6.0	21.0
63933	1249.0	1058.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2919.0	1209.0
163087	613.0	335.0
728568	383.0	250.0
106481407	18.0	9.0
3704	1964.0	2190.0
3705	7366.0	4780.0
63926	364.0	226.0
3706	148.0	12.0
63929	951.0	658.0
3707	5553.0	3006.0
63928	34.0	0.0
3708	5873.0	326.0
106481411	0.0	3.0
3709	1850.0	1023.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	29.0	34.0
3702	162.0	10.0
3703	6989.0	4664.0
645506	0.0	0.0
151050	1378.0	360.0
645520	0.0	0.0
63941	4026.0	9189.0
63940	954.0	394.0
63943	303.0	169.0
728517	0.0	0.0
163033	1114.0	1518.0
258010	1772.0	1418.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	8035.0	1380.0
100033804	0.0	0.0
3717	802.0	137.0
100033805	0.0	0.0
3718	581.0	340.0
63939	1339.0	1123.0
100033806	0.0	0.0
100190799	1.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	89.0	127.0
3710	1479.0	772.0
3712	7748.0	8031.0
3713	0.0	0.0
3714	3407.0	460.0
63950	3.0	4.0
728505	0.0	1.0
63951	257.0	350.0
100033807	0.0	0.0
728501	35.0	26.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	3343.0	1878.0
100033814	0.0	0.0
3727	8076.0	14423.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	15492.0	12339.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1005.0	1266.0
151056	284.0	104.0
3725	11422.0	6766.0
645528	3.0	4.0
728532	30.0	5.0
163059	232.0	408.0
728538	0.0	0.0
728537	69.0	265.0
63967	53.0	14.0
3737	28.0	9.0
3738	9.0	0.0
3739	10.0	2.0
645538	0.0	0.0
3730	576.0	97.0
3732	3930.0	773.0
3734	46.0	24.0
3735	7280.0	4914.0
3736	0.0	0.0
63970	221.0	9.0
3750	347.0	120.0
63971	4131.0	2125.0
63974	0.0	0.0
163049	1975.0	1697.0
63973	0.0	0.0
63976	73.0	11.0
222068	5851.0	4248.0
63978	0.0	1.0
63977	392.0	502.0
63979	397.0	185.0
728524	0.0	0.0
3748	168.0	185.0
163051	48.0	21.0
3749	755.0	176.0
163050	33.0	16.0
3741	107.0	12.0
645548	0.0	1.0
3743	8.0	1.0
3744	0.0	0.0
3745	1218.0	87.0
3746	31.0	13.0
3747	1743.0	46.0
285671	1171.0	293.0
285672	2444.0	2986.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1773.0	36.0
285676	91.0	34.0
3761	0.0	0.0
100128657	0.0	0.0
285679	2.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	161.0	88.0
283008	1.0	1.0
3751	0.0	4.0
100873435	0.0	0.0
3752	3849.0	2015.0
100873434	0.0	0.0
3753	8.0	8.0
100873433	0.0	0.0
3754	26.0	0.0
100873432	0.0	0.0
3755	1199.0	204.0
100873439	0.0	0.0
3756	23.0	0.0
100873438	0.0	0.0
3757	3085.0	434.0
100873437	0.0	0.0
3758	2.0	5.0
100873436	0.0	0.0
100873420	4.0	0.0
3770	161.0	225.0
3772	290.0	9.0
100861458	0.0	0.0
100861453	5.0	10.0
100861455	0.0	0.0
1107	19806.0	11343.0
1106	4961.0	5598.0
1105	1395.0	1002.0
1104	1255.0	1113.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1456.0	428.0
1101	49.0	0.0
3762	673.0	145.0
100873424	0.0	0.0
3763	76.0	52.0
100128640	145.0	118.0
100873423	0.0	0.0
3764	2006.0	125.0
100873422	0.0	0.0
3765	7.0	5.0
100873421	0.0	0.0
3766	29.0	5.0
100873428	0.0	0.0
3767	497.0	489.0
100873427	0.0	0.0
3768	56.0	111.0
1109	0.0	0.0
100873426	0.0	0.0
1108	8630.0	3812.0
3769	8.0	7.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	69.0	34.0
100873453	0.0	0.0
3781	178.0	265.0
100873452	0.0	0.0
3782	574.0	101.0
100873451	0.0	0.0
3783	3922.0	930.0
100873450	0.0	0.0
1121	930.0	416.0
100861468	0.0	0.0
1120	182.0	407.0
100861469	0.0	0.0
1118	131.0	406.0
1117	840.0	25.0
1116	67.0	207.0
1114	478.0	63.0
1113	182.0	2712.0
1112	4742.0	1963.0
1111	440.0	210.0
3773	5.0	3.0
100873457	0.0	8.0
100873456	0.0	0.0
3775	366.0	74.0
100873455	0.0	0.0
3776	16.0	3.0
100873454	0.0	0.0
3777	3841.0	113.0
3778	8462.0	713.0
3779	9136.0	1006.0
100873459	0.0	0.0
1119	2616.0	2195.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	342.0	127.0
100128628	0.0	0.0
3791	1818.0	210.0
100873442	0.0	0.0
3792	104.0	1.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	9.0	0.0
1131	71.0	293.0
1130	1333.0	335.0
100861476	0.0	0.0
1129	77.0	21.0
1128	7938.0	9260.0
1124	1100.0	223.0
1123	2385.0	222.0
1122	270.0	123.0
100861470	1.0	0.0
3784	1611.0	1080.0
100873446	0.0	0.0
3785	258.0	6.0
100873445	0.0	0.0
3786	307.0	27.0
100873444	0.0	0.0
3787	53.0	19.0
100873443	0.0	0.0
3788	55.0	7.0
100873449	0.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	120.0	135.0
100128618	1.0	0.0
728597	3.0	6.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	286.0	111.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	0.0
285634	1.0	1.0
1142	0.0	0.0
1141	20.0	4.0
285636	2585.0	1031.0
1140	341.0	36.0
728599	2.0	6.0
1139	36.0	0.0
1138	79.0	138.0
1137	91.0	0.0
100861485	0.0	0.0
1136	20.0	7.0
1135	5104.0	16340.0
1134	1.0	2.0
1133	6.0	3.0
3795	306.0	161.0
100873479	3.0	0.0
3796	595.0	156.0
100873478	0.0	0.0
3797	793.0	208.0
100873477	0.0	0.0
3798	48.0	34.0
100873476	0.0	0.0
3799	11518.0	5449.0
100873460	0.0	0.0
728586	10.0	14.0
285641	0.0	0.0
100873464	0.0	0.0
100873463	1.0	0.0
100873462	0.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	837.0	111.0
1153	24250.0	20754.0
1152	48531.0	32836.0
285647	12.0	9.0
728589	2.0	0.0
728588	6.0	3.0
1149	1.0	0.0
1147	895.0	340.0
1146	1.0	8.0
1145	39.0	12.0
1144	0.0	2.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	664.0	196.0
1163	405.0	69.0
285659	0.0	0.0
1161	255.0	157.0
1160	451.0	45.0
1159	211.0	105.0
1158	660.0	32.0
1157	0.0	0.0
1155	3496.0	2451.0
550643	1947.0	1009.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2334.0	951.0
1175	5017.0	4526.0
285668	6.0	1.0
1174	2064.0	1240.0
1173	23979.0	16137.0
550631	199.0	171.0
100873489	0.0	0.0
283014	15.0	67.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	14.0	54.0
1186	2823.0	3376.0
1185	827.0	918.0
1184	300.0	460.0
1183	90.0	129.0
1182	3677.0	3059.0
1181	317.0	362.0
440375	28.0	15.0
1180	0.0	4.0
1179	0.0	0.0
1178	0.0	0.0
283089	7.0	1.0
85495	0.0	0.0
85480	699.0	37.0
283080	0.0	0.0
1198	2501.0	3763.0
1197	2.0	0.0
1196	1606.0	1705.0
1195	2633.0	4621.0
440366	0.0	0.0
1193	378.0	68.0
1192	13885.0	10280.0
1191	53713.0	5309.0
1188	65.0	19.0
283078	1992.0	333.0
85486	5.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	34.0	7.0
440396	41.0	107.0
128609	0.0	0.0
128602	3.0	254.0
440387	0.0	0.0
128674	1.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	5.0	6.0
126014	106.0	42.0
440335	422.0	12918.0
100128690	0.0	0.0
114034	724.0	270.0
126006	78.0	588.0
114036	3.0	10.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	117.0	108.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	6.0	10.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	117.0	26.0
440356	4.0	8.0
440354	26.0	8.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	2.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	12.0	31.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	162.0	1083.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	25.0	68.0
200734	2263.0	596.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	9.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	14.0	0.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3472.0	2214.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	2.0
165530	47.0	16.0
85409	465.0	98.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	19.0
106481383	0.0	0.0
85417	11.0	16.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	47999.0	124690.0
106481389	0.0	0.0
85415	1430.0	1366.0
106481387	0.0	0.0
85413	3.0	3.0
106481388	0.0	0.0
645436	1.0	0.0
106481381	0.0	1.0
106481382	0.0	0.0
10	19.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	649.0	358.0
12	131.0	43.0
13	0.0	0.0
14	6728.0	3656.0
15	3.0	0.0
16	7593.0	4346.0
645455	4.0	1.0
18	2794.0	3820.0
19	996.0	347.0
128580	6.0	1.0
85407	837.0	136.0
106481396	0.0	0.0
106481397	2.0	0.0
106481394	0.0	0.0
85406	928.0	206.0
106481395	0.0	0.0
85403	1027.0	537.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	3.0
106481393	0.0	0.0
20	3507.0	3354.0
106481390	0.0	0.0
21	2249.0	3329.0
106481391	0.0	0.0
22	796.0	321.0
153571	475.0	715.0
153572	334.0	743.0
23	3703.0	1618.0
24	27.0	5.0
25	8269.0	6396.0
26	294.0	41.0
27	1141.0	1142.0
28	1020.0	196.0
29	6774.0	3259.0
153579	231.0	116.0
728615	0.0	1.0
728614	0.0	0.0
200765	225.0	631.0
106481358	0.0	3.0
106481359	0.0	0.0
728611	22.0	6.0
102466518	0.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	20.0	0.0
106481361	0.0	0.0
85439	914.0	90.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2862.0	1426.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	136.0	370.0
106481366	0.0	0.0
30	4115.0	4045.0
106481360	0.0	0.0
31	7526.0	11118.0
32	1938.0	740.0
33	818.0	1098.0
34	1360.0	354.0
35	1569.0	968.0
153562	695.0	858.0
36	3044.0	2576.0
37	12286.0	13915.0
38	2433.0	521.0
440307	14.0	27.0
39	1360.0	963.0
165545	7.0	46.0
106481369	0.0	0.0
728606	107.0	619.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	2.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	32.0	22.0
106481370	0.0	0.0
41	1191.0	519.0
106481371	0.0	0.0
43	340.0	171.0
645486	0.0	0.0
47	7157.0	9133.0
48	5636.0	1758.0
49	11.0	6.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	2.0	0.0
106481340	0.0	0.0
85458	3703.0	928.0
106481345	0.0	0.0
85459	399.0	234.0
106481346	0.0	0.0
85456	11865.0	7091.0
442910	0.0	0.0
106481343	0.0	0.0
85457	3606.0	705.0
442911	0.0	0.0
