id	4a8849c2-9e21-4ccf-b703-b6d6311744e0	1530a60d-78d0-4ce6-8959-40080184f716
403299	0.0	0.0
1088	3.0	1.0
153733	563.0	603.0
1087	6.0	8.0
1086	0.0	0.0
440279	1.0	0.0
1085	3.0	2.0
1084	2.0	3.0
440278	136.0	191.0
1082	0.0	0.0
403294	0.0	0.0
440275	5093.0	7762.0
1081	37.0	8.0
85397	5.0	8.0
85395	391.0	596.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	182.0	219.0
1089	19.0	14.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	126.0	77.0
285598	464.0	324.0
126133	968.0	2059.0
128790	0.0	1.0
126129	149.0	164.0
126123	15.0	9.0
442862	0.0	0.0
126119	489.0	800.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	4.0	1.0
442896	0.0	0.0
114132	15.0	11.0
442897	0.0	0.0
442898	1.0	0.0
114134	539.0	560.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	4.0
100128788	82.0	160.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	3.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	1.0	4.0
100128782	430.0	251.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	3.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	6.0	13.0
102466616	0.0	0.0
126052	0.0	0.0
151009	50.0	101.0
403227	0.0	0.0
403228	0.0	0.0
138046	13.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	2.0
645572	0.0	0.0
645571	1.0	5.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2296.0	2413.0
107131122	0.0	0.0
138050	5964.0	5159.0
403219	0.0	1.0
151011	4117.0	3201.0
645587	0.0	1.0
165679	6563.0	387.0
126037	36.0	70.0
114049	3613.0	3579.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1105.0	709.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1751.0	1408.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	270.0	348.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	6.0	3.0
645598	1.0	0.0
163007	3.0	2.0
114038	1.0	0.0
645591	0.0	1.0
106481495	0.0	0.0
114041	7.0	8.0
106481496	0.0	0.0
114042	0.0	3.0
106481493	0.0	0.0
114043	7.0	1.0
106481494	0.0	0.0
106481499	1.0	0.0
114044	208.0	201.0
126017	2161.0	1371.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	633.0	357.0
85301	1084.0	495.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	1.0	0.0
403278	0.0	0.0
26996	3499.0	4647.0
106481459	0.0	0.0
26994	7389.0	6615.0
106481457	3.0	7.0
26995	3040.0	3279.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2034.0	2948.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	2.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1759.0	1980.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	2.0	2.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	1192.0	119.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1225.0	936.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	14.0
106481437	0.0	0.0
26974	308.0	365.0
153657	24.0	41.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	960.0	811.0
165631	35.0	25.0
106481436	0.0	0.0
26978	8.0	33.0
126075	1476.0	1799.0
106481439	0.0	0.0
403250	0.0	0.0
126074	396.0	367.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3162.0	3589.0
106481444	1.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	944.0	1365.0
85354	0.0	0.0
85352	1340.0	706.0
403241	3.0	4.0
344462	0.0	7.0
403244	1.0	0.0
403245	0.0	0.0
153642	891.0	428.0
153643	7.0	10.0
403247	0.0	0.0
403248	0.0	0.0
26985	4573.0	4411.0
106481448	0.0	0.0
26986	71695.0	104727.0
126069	169.0	155.0
106481449	0.0	0.0
126068	634.0	436.0
106481446	0.0	0.0
26983	0.0	0.0
26984	966.0	781.0
106481447	0.0	0.0
106481451	1.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	53.0	31.0
106481455	0.0	0.0
85349	31.0	15.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	4.0	2.0
106481454	1.0	0.0
403238	0.0	0.0
85344	1.0	1.0
403239	1.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	8.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	0.0	7.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	2.0	3.0
106481415	0.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2886.0	5462.0
100873390	0.0	0.0
728556	94.0	96.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	88.0	84.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	353.0	304.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	35.0	25.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	2.0	0.0
100128801	0.0	0.0
285600	136.0	124.0
100873384	0.0	0.0
285601	27.0	14.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	3.0
63910	55.0	44.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	622.0	588.0
222008	261.0	580.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5193.0	4707.0
63904	0.0	0.0
106481430	0.0	0.0
163071	12.0	18.0
63906	795.0	913.0
106481433	0.0	0.0
63908	683.0	645.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	8.0
285613	103.0	144.0
63920	490.0	442.0
63923	23.0	48.0
63922	333.0	562.0
728577	108.0	78.0
63925	1316.0	1751.0
63924	58.0	25.0
63916	4061.0	4096.0
63917	4821.0	3649.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	6.0
728564	5.0	6.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1293.0	1225.0
106481402	0.0	1.0
63931	2155.0	1874.0
106481403	0.0	0.0
63934	523.0	599.0
728567	4.0	7.0
106481408	0.0	0.0
163088	2.0	5.0
63933	1919.0	2116.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3291.0	2710.0
163087	878.0	674.0
728568	392.0	379.0
106481407	17.0	9.0
3704	1537.0	1565.0
3705	6338.0	6444.0
63926	572.0	724.0
3706	26.0	20.0
63929	1040.0	1221.0
3707	6482.0	7954.0
63928	283.0	112.0
3708	6430.0	3789.0
106481411	0.0	0.0
3709	3629.0	5674.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	9.0	5.0
3702	94.0	92.0
3703	12063.0	13942.0
645506	0.0	1.0
151050	1297.0	1221.0
645520	1.0	0.0
63941	4876.0	6613.0
63940	468.0	399.0
63943	317.0	304.0
728517	0.0	0.0
163033	364.0	678.0
258010	2958.0	3778.0
63947	0.0	0.0
63946	0.0	0.0
728513	1.0	2.0
100033803	0.0	0.0
3716	8234.0	8541.0
100033804	0.0	0.0
3717	1014.0	826.0
100033805	0.0	0.0
3718	212.0	263.0
63939	1385.0	827.0
100033806	0.0	0.0
100190799	1.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	128.0	105.0
3710	2227.0	3568.0
3712	11924.0	17109.0
3713	5.0	0.0
3714	2032.0	2440.0
63950	0.0	2.0
728505	1.0	0.0
63951	372.0	437.0
100033807	0.0	0.0
728501	38.0	46.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	6196.0	11611.0
100033814	0.0	0.0
3727	3890.0	7408.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	1.0
3728	16724.0	23980.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1065.0	1429.0
151056	256.0	233.0
3725	19515.0	26341.0
645528	0.0	0.0
728532	17.0	29.0
163059	400.0	291.0
728538	1.0	3.0
728537	60.0	83.0
63967	32.0	69.0
3737	36.0	13.0
3738	18.0	25.0
3739	1.0	1.0
645538	0.0	0.0
3730	1927.0	1548.0
3732	4070.0	5197.0
3734	64.0	34.0
3735	7085.0	8041.0
3736	0.0	3.0
63970	82.0	16.0
3750	130.0	164.0
63971	5116.0	5837.0
63974	0.0	0.0
163049	2091.0	2173.0
63973	0.0	0.0
63976	115.0	86.0
222068	9887.0	8591.0
63978	0.0	0.0
63977	441.0	614.0
63979	519.0	484.0
728524	0.0	0.0
3748	215.0	230.0
163051	57.0	26.0
3749	577.0	417.0
163050	84.0	74.0
3741	19.0	24.0
645548	1.0	5.0
3743	2.0	1.0
3744	1.0	0.0
3745	625.0	611.0
3746	58.0	88.0
3747	232.0	270.0
285671	1007.0	595.0
285672	1763.0	1357.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	208.0	445.0
285676	107.0	50.0
3761	0.0	1.0
100128657	0.0	0.0
285679	3.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	648.0	598.0
283008	18.0	41.0
3751	82.0	3.0
100873435	0.0	0.0
3752	3744.0	5439.0
100873434	0.0	0.0
3753	3.0	3.0
100873433	0.0	0.0
3754	9.0	11.0
100873432	0.0	0.0
3755	563.0	202.0
100873439	0.0	0.0
3756	11.0	13.0
100873438	0.0	0.0
3757	1419.0	1359.0
100873437	0.0	0.0
3758	8.0	3.0
100873436	0.0	0.0
100873420	3.0	2.0
3770	90.0	122.0
3772	120.0	54.0
100861458	0.0	0.0
100861453	17.0	12.0
100861455	0.0	0.0
1107	15278.0	30171.0
1106	4952.0	6952.0
1105	1521.0	1563.0
1104	1590.0	2407.0
100873429	0.0	0.0
1103	2.0	1.0
1102	1634.0	969.0
1101	67.0	60.0
3762	451.0	297.0
100873424	0.0	0.0
3763	47.0	295.0
100128640	251.0	399.0
100873423	0.0	0.0
3764	1096.0	586.0
100873422	0.0	0.0
3765	0.0	4.0
100873421	0.0	0.0
3766	12.0	9.0
100873428	0.0	0.0
3767	491.0	776.0
100873427	0.0	0.0
3768	61.0	46.0
1109	0.0	4.0
100873426	1.0	0.0
1108	8952.0	11198.0
3769	11.0	2.0
100873425	0.0	0.0
100128637	1.0	3.0
100128639	0.0	0.0
3780	19.0	22.0
100873453	0.0	0.0
3781	1274.0	2692.0
100873452	0.0	0.0
3782	415.0	438.0
100873451	0.0	0.0
3783	7011.0	2636.0
100873450	0.0	0.0
1121	1844.0	1365.0
100861468	0.0	0.0
1120	165.0	116.0
100861469	0.0	0.0
1118	48.0	215.0
1117	72.0	88.0
1116	30.0	28.0
1114	148.0	200.0
1113	1550.0	1537.0
1112	5433.0	6162.0
1111	366.0	517.0
3773	15.0	1.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	728.0	682.0
100873455	0.0	0.0
3776	72.0	32.0
100873454	0.0	0.0
3777	1750.0	421.0
3778	7396.0	4257.0
3779	5711.0	2556.0
100873459	0.0	6.0
1119	2382.0	3301.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	421.0	443.0
100128628	5.0	0.0
3791	2294.0	2392.0
100873442	0.0	0.0
3792	21.0	19.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	21.0
1131	639.0	399.0
1130	1559.0	1402.0
100861476	0.0	0.0
1129	9.0	0.0
1128	10334.0	10221.0
1124	957.0	903.0
1123	789.0	928.0
1122	497.0	635.0
100861470	0.0	0.0
3784	1520.0	2030.0
100873446	0.0	0.0
3785	10.0	15.0
100873445	0.0	0.0
3786	115.0	107.0
100873444	0.0	0.0
3787	405.0	107.0
100873443	0.0	0.0
3788	24.0	16.0
100873449	0.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	67.0	97.0
100128618	0.0	0.0
728597	2.0	14.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	275.0	70.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	10.0	2.0
285634	1.0	1.0
1142	0.0	0.0
1141	13.0	12.0
285636	2376.0	2525.0
1140	409.0	302.0
728599	2.0	7.0
1139	108.0	121.0
1138	126.0	225.0
1137	1.0	2.0
100861485	0.0	0.0
1136	19.0	20.0
1135	8449.0	11008.0
1134	3.0	7.0
1133	11.0	4.0
3795	290.0	400.0
100873479	9.0	8.0
3796	1277.0	1107.0
100873478	0.0	0.0
3797	894.0	712.0
100873477	0.0	0.0
3798	52.0	42.0
100873476	0.0	0.0
3799	16095.0	15364.0
100873460	0.0	0.0
728586	22.0	8.0
285641	0.0	0.0
100873464	5.0	0.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	1.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	551.0	368.0
1153	20375.0	21255.0
1152	66618.0	37882.0
285647	29.0	25.0
728589	4.0	3.0
728588	1.0	6.0
1149	1.0	2.0
1147	1496.0	1432.0
1146	1.0	7.0
1145	33.0	31.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	466.0	482.0
1163	530.0	329.0
285659	0.0	0.0
1161	388.0	257.0
1160	449.0	234.0
1159	157.0	303.0
1158	1024.0	567.0
1157	0.0	0.0
1155	2595.0	2529.0
550643	1837.0	1430.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	2.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1823.0	1904.0
1175	3869.0	4532.0
285668	5.0	0.0
1174	3314.0	3231.0
1173	23207.0	22874.0
550631	169.0	194.0
100873489	0.0	0.0
283014	2.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	29.0	26.0
1186	3202.0	4639.0
1185	1060.0	1024.0
1184	297.0	387.0
1183	285.0	245.0
1182	11107.0	10418.0
1181	332.0	442.0
440375	58.0	64.0
1180	9.0	11.0
1179	4.0	0.0
1178	11.0	18.0
283089	11.0	15.0
85495	0.0	0.0
85480	234.0	82.0
283080	0.0	1.0
1198	3398.0	3286.0
1197	1.0	3.0
1196	1549.0	1541.0
1195	3158.0	3151.0
440366	1.0	0.0
1193	393.0	236.0
1192	22049.0	21279.0
1191	39770.0	20197.0
1188	41.0	19.0
283078	1317.0	1062.0
85486	7.0	24.0
128615	0.0	0.0
85481	0.0	0.0
128611	28.0	48.0
440396	24.0	41.0
128609	0.0	1.0
128602	8.0	0.0
440387	3.0	16.0
128674	0.0	0.0
128676	0.0	1.0
114026	0.0	0.0
100861402	0.0	2.0
126014	39.0	66.0
440335	1174.0	1617.0
100128690	0.0	0.0
114034	864.0	713.0
126006	17.0	24.0
114036	13.0	5.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	49.0	50.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	5.0	6.0
100128678	2.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	281.0	215.0
440356	4.0	2.0
440354	85.0	45.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	2.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	9.0	25.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	108.0	126.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	20.0	36.0
200734	2345.0	2294.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	22.0	11.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3377.0	3595.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	10.0
165530	89.0	77.0
85409	83.0	105.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	36.0	146.0
106481383	1.0	0.0
85417	18.0	29.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	173632.0	223481.0
106481389	0.0	0.0
85415	7030.0	6041.0
106481387	0.0	0.0
85413	4.0	14.0
106481388	3.0	2.0
645436	0.0	1.0
106481381	1.0	0.0
106481382	0.0	0.0
10	17.0	8.0
106481380	0.0	0.0
11	0.0	0.0
403341	593.0	576.0
12	24.0	121.0
13	1.0	0.0
14	8926.0	11338.0
15	1.0	7.0
16	9014.0	12812.0
645455	9.0	5.0
18	6512.0	8850.0
19	1373.0	1961.0
128580	4.0	6.0
85407	871.0	706.0
106481396	0.0	0.0
106481397	2.0	0.0
106481394	0.0	0.0
85406	1892.0	1913.0
106481395	0.0	2.0
85403	2152.0	1998.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4735.0	6225.0
106481390	0.0	0.0
21	3484.0	5133.0
106481391	0.0	0.0
22	1369.0	1083.0
153571	199.0	622.0
153572	476.0	798.0
23	4067.0	5253.0
24	11.0	8.0
25	7456.0	9613.0
26	1937.0	51.0
27	1147.0	1827.0
28	778.0	250.0
29	5391.0	6699.0
153579	216.0	212.0
728615	1.0	0.0
728614	0.0	0.0
200765	193.0	162.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	8.0	29.0
102466518	1.0	0.0
102466516	2.0	2.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	4.0	3.0
106481361	0.0	1.0
85439	313.0	465.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	3191.0	3165.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	291.0	285.0
106481366	0.0	0.0
30	7361.0	6409.0
106481360	0.0	0.0
31	11856.0	23635.0
32	2929.0	1826.0
33	1325.0	1063.0
34	2828.0	2311.0
35	1520.0	1619.0
153562	1986.0	1874.0
36	6894.0	7957.0
37	14869.0	15073.0
38	3333.0	4364.0
440307	5.0	8.0
39	3802.0	3128.0
165545	11.0	30.0
106481369	0.0	0.0
728606	718.0	837.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	18.0	9.0
106481370	0.0	0.0
41	868.0	820.0
106481371	0.0	0.0
43	187.0	205.0
645486	0.0	0.0
47	24614.0	29345.0
48	3485.0	2962.0
49	7.0	7.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	2.0
106481341	0.0	0.0
106481342	1.0	5.0
106481340	0.0	1.0
85458	4092.0	4049.0
106481345	0.0	1.0
85459	765.0	600.0
