id	6598740f-64d5-4b20-af26-dac644efc45f	d487c477-1052-4b32-8df9-edf0e6872bd4
1031	806.0	958.0
285527	8158.0	8927.0
1030	199.0	1008.0
728468	0.0	0.0
440288	188.0	233.0
1029	80.0	192.0
440295	307.0	98.0
1028	1792.0	360.0
1027	7740.0	3228.0
1026	2339.0	15130.0
1025	3602.0	3513.0
1024	873.0	1606.0
3685	10576.0	92783.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	703.0	7137.0
100873345	2.0	2.0
3688	29813.0	70630.0
100873344	0.0	2.0
3689	3910.0	9478.0
100873349	2.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	7.0	0.0
100873370	0.0	0.0
728498	30.0	9.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	72.0	46.0
100873375	0.0	0.0
100128710	3.0	2.0
285533	184.0	33.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	1.0
1044	18.0	23.0
1043	633.0	1269.0
1041	1.0	2.0
1040	4441.0	3185.0
1039	1714.0	2354.0
1038	1.0	9.0
1036	402.0	180.0
3696	13452.0	895.0
3697	3.0	28.0
100873379	0.0	0.0
3698	231.0	11.0
100873378	2.0	2.0
3699	75.0	28.0
100873377	0.0	0.0
728486	6.0	13.0
100873361	3.0	0.0
105373869	4.0	549.0
100873360	0.0	2.0
285540	267.0	99.0
100128705	7.0	4.0
100873365	3.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	4.0	10.0
100873362	0.0	0.0
100128701	7.0	12.0
1054	3158.0	3806.0
285547	0.0	0.0
1053	2.0	9.0
285548	2.0	2.0
1052	2410.0	2720.0
1051	3605.0	2149.0
728489	15.0	5.0
1050	355.0	858.0
100128707	1.0	0.0
1048	25.0	103.0
1047	392.0	3716.0
1046	0.0	0.0
1045	0.0	0.0
100873369	27.0	7.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	5.0	0.0
1066	941.0	376.0
1063	1405.0	6501.0
1062	516.0	2069.0
1061	20.0	10.0
1060	4527.0	3386.0
440253	302.0	115.0
1059	5522.0	6135.0
1058	53.0	280.0
1057	4.0	1.0
85379	26748.0	9061.0
114112	1447.0	1099.0
1056	29.0	18.0
85377	4691.0	3199.0
85378	5936.0	3818.0
128745	0.0	1.0
85376	11.0	38.0
440248	1791.0	594.0
1075	3944.0	12488.0
1074	23.0	28.0
1073	2577.0	3407.0
1072	22655.0	57994.0
1071	36.0	84.0
440243	0.0	0.0
1070	1419.0	1100.0
1069	3322.0	4112.0
1068	0.0	0.0
85369	3110.0	3666.0
85366	8.0	77.0
85364	1697.0	1784.0
85365	2637.0	2836.0
85363	2715.0	2434.0
85360	714.0	839.0
1080	76.0	15.0
85391	1.0	10.0
403296	0.0	0.0
403297	2.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	4.0	0.0
153733	1123.0	765.0
1087	6.0	3.0
1086	0.0	0.0
440279	36.0	34.0
1085	4.0	2.0
1084	1.0	2.0
440278	173.0	250.0
1082	0.0	25.0
403294	0.0	0.0
440275	5972.0	7684.0
1081	0.0	0.0
85397	2.0	4.0
85395	578.0	489.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	1.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	3734.0	984.0
1089	5.0	13.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	1.0
285596	40.0	2.0
285598	1889.0	854.0
126133	1714.0	3032.0
128790	1.0	0.0
126129	129.0	193.0
126123	1.0	0.0
442862	0.0	0.0
126119	425.0	865.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	2.0	0.0
128774	1.0	0.0
442893	1.0	0.0
442894	1.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	1.0
114132	23.0	25.0
442897	0.0	0.0
442898	4.0	2.0
114134	953.0	2075.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	12.0
100128788	176.0	109.0
100128787	0.0	0.0
440225	0.0	0.0
440224	52.0	172.0
442890	0.0	0.0
442891	0.0	0.0
442892	5.0	1.0
128756	2.0	6.0
100128782	333.0	166.0
100128781	5.0	6.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	8.0	13.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	52.0	6.0
102466616	0.0	0.0
126052	1.0	1.0
151009	122.0	15.0
403227	4.0	0.0
403228	0.0	0.0
138046	50.0	9.0
645558	0.0	0.0
403229	0.0	0.0
645573	9.0	7.0
645572	0.0	0.0
645571	16.0	38.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1875.0	1080.0
107131122	0.0	0.0
138050	8741.0	12218.0
403219	0.0	0.0
151011	9782.0	4506.0
645587	3.0	11.0
165679	1220.0	2122.0
126037	92.0	70.0
114049	4128.0	5164.0
106481479	0.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	25.0	4.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	1.0	0.0
106481483	0.0	0.0
85315	654.0	705.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3789.0	2633.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	619.0	551.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	0.0	1.0
138065	80.0	7.0
645598	1.0	0.0
163007	15.0	1.0
114038	4.0	3.0
645591	1.0	0.0
106481495	0.0	1.0
114041	396.0	5.0
106481496	0.0	0.0
114042	6.0	5.0
106481493	0.0	0.0
114043	17.0	31.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	665.0	288.0
126017	912.0	1155.0
106481497	2.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	8.0	3.0
85301	5573.0	5641.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	3.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2233.0	5729.0
106481459	0.0	0.0
26994	8143.0	9627.0
106481457	27.0	14.0
26995	2809.0	4698.0
106481458	0.0	0.0
403271	0.0	0.0
26998	21.0	1.0
403272	1.0	1.0
102466659	0.0	0.0
26999	1933.0	6356.0
403273	0.0	0.0
102466658	14.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	2.0
106481460	1.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3362.0	3696.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	8.0	2.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	1.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	31.0	16.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	521.0	124.0
106481470	2.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1477.0	1580.0
403255	0.0	1.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	11.0
106481437	0.0	0.0
26974	706.0	680.0
153657	119.0	98.0
106481438	2.0	7.0
106481435	0.0	0.0
26973	2678.0	3046.0
165631	229.0	316.0
106481436	4.0	1.0
26978	62.0	40.0
126075	1006.0	889.0
106481439	0.0	0.0
403250	0.0	0.0
126074	239.0	335.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1551.0	2130.0
106481444	18.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2959.0	2617.0
85354	0.0	0.0
85352	49.0	246.0
403241	0.0	0.0
344462	1.0	8.0
403244	0.0	0.0
403245	1.0	0.0
153642	845.0	1382.0
153643	23.0	8.0
403247	0.0	0.0
403248	0.0	0.0
26985	5549.0	8221.0
106481448	0.0	0.0
26986	145249.0	135907.0
126069	360.0	238.0
106481449	0.0	0.0
126068	1981.0	1307.0
106481446	0.0	0.0
26983	0.0	1.0
26984	1265.0	1332.0
106481447	0.0	0.0
106481451	5.0	8.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	742.0	105.0
106481455	1.0	1.0
85349	198.0	25.0
106481456	2.0	0.0
26982	0.0	0.0
106481453	2.0	3.0
85347	0.0	0.0
26980	16.0	18.0
106481454	1.0	1.0
403238	0.0	0.0
85344	14.0	6.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	13.0	21.0
85340	0.0	1.0
100873394	0.0	0.0
100873393	7.0	2.0
100873392	4.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	1.0
106481416	2.0	1.0
106481413	0.0	0.0
106481414	2.0	0.0
63901	4953.0	5800.0
100873390	0.0	0.0
728556	52.0	136.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	177.0	176.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	1.0	0.0
163081	1010.0	790.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	3.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	1.0	0.0
100128801	0.0	0.0
285600	454.0	382.0
100873384	0.0	0.0
285601	2.0	112.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	1.0	8.0
63910	160.0	1204.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1244.0	2551.0
222008	0.0	0.0
106481428	2.0	0.0
106481429	2.0	1.0
63905	3230.0	3767.0
63904	0.0	21.0
106481430	1.0	1.0
163071	67.0	52.0
63906	1167.0	1127.0
106481433	0.0	0.0
63908	1810.0	1249.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	2.0	0.0
100873389	0.0	0.0
100873388	7.0	0.0
285613	82.0	217.0
63920	734.0	588.0
63923	591.0	489.0
63922	767.0	770.0
728577	602.0	67.0
63925	2942.0	2183.0
63924	232.0	76.0
63916	3513.0	4252.0
63917	5016.0	4351.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	8.0	11.0
728564	3.0	6.0
285622	5.0	11.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2377.0	2330.0
106481402	0.0	0.0
63931	2640.0	2579.0
106481403	2.0	0.0
63934	1826.0	199.0
728567	5.0	7.0
106481408	0.0	0.0
163088	9.0	2.0
63933	3222.0	4038.0
106481409	0.0	0.0
106481406	2.0	0.0
63935	4485.0	3217.0
163087	1793.0	1286.0
728568	466.0	621.0
106481407	17.0	8.0
3704	2198.0	3006.0
3705	3058.0	5581.0
63926	1208.0	1659.0
3706	43.0	133.0
63929	1862.0	2203.0
3707	4845.0	3959.0
63928	7.0	0.0
3708	13948.0	10431.0
106481411	0.0	1.0
3709	26450.0	13033.0
106481412	0.0	0.0
106481410	2.0	1.0
3700	51.0	44.0
3702	414.0	652.0
3703	14012.0	25605.0
645506	2.0	0.0
151050	1716.0	642.0
645520	0.0	0.0
63941	1184.0	2060.0
63940	924.0	3270.0
63943	394.0	598.0
728517	0.0	0.0
163033	384.0	391.0
258010	4020.0	4939.0
63947	0.0	0.0
63946	1.0	0.0
728513	3.0	2.0
100033803	0.0	0.0
3716	19771.0	22158.0
100033804	0.0	0.0
3717	2890.0	5421.0
100033805	0.0	0.0
3718	657.0	1379.0
63939	1701.0	1648.0
100033806	0.0	0.0
100190799	15.0	14.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	178.0	62.0
3710	6623.0	10078.0
3712	7483.0	8837.0
3713	0.0	1.0
3714	3713.0	1367.0
63950	2.0	1.0
728505	2.0	5.0
63951	90.0	15.0
100033807	0.0	0.0
728501	79.0	24.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	4892.0	8397.0
100033814	0.0	0.0
3727	11134.0	5962.0
63948	0.0	0.0
100033815	0.0	0.0
222052	4.0	4.0
3728	21657.0	14405.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	3337.0	3246.0
151056	719.0	245.0
3725	45765.0	8334.0
645528	1.0	3.0
728532	70.0	99.0
163059	855.0	478.0
728538	3.0	3.0
728537	549.0	144.0
63967	156.0	753.0
3737	19.0	11.0
3738	141.0	124.0
3739	2.0	0.0
645538	0.0	0.0
3730	1556.0	3693.0
3732	7454.0	4644.0
3734	0.0	0.0
3735	12609.0	10700.0
3736	120.0	150.0
63970	306.0	11.0
3750	189.0	186.0
63971	8886.0	10848.0
63974	0.0	0.0
163049	5022.0	3147.0
63973	114.0	0.0
63976	646.0	48.0
222068	8089.0	9559.0
63978	0.0	0.0
63977	1410.0	1073.0
63979	1564.0	1524.0
728524	0.0	0.0
3748	622.0	300.0
163051	81.0	34.0
3749	6569.0	392.0
163050	144.0	65.0
3741	24.0	19.0
645548	19.0	51.0
3743	9.0	2.0
3744	0.0	0.0
3745	741.0	45.0
3746	40.0	3.0
3747	352.0	78.0
285671	1307.0	478.0
285672	2606.0	3202.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	67.0	344.0
285676	259.0	70.0
3761	0.0	0.0
100128657	0.0	0.0
285679	7.0	3.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1103.0	880.0
283008	0.0	0.0
3751	62.0	380.0
100873435	0.0	0.0
3752	1751.0	5828.0
100873434	0.0	0.0
3753	71.0	3.0
100873433	0.0	0.0
3754	117.0	6.0
100873432	0.0	0.0
3755	117.0	113.0
100873439	0.0	0.0
3756	16.0	28.0
100873438	0.0	0.0
3757	108.0	29.0
100873437	0.0	0.0
3758	14.0	11.0
100873436	0.0	0.0
100873420	6.0	3.0
3770	215.0	99.0
3772	189.0	283.0
100861458	0.0	0.0
100861453	49.0	5.0
100861455	0.0	0.0
1107	17516.0	15392.0
1106	16527.0	10450.0
1105	7352.0	6440.0
1104	3339.0	5664.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2897.0	1384.0
1101	2674.0	12023.0
3762	275.0	758.0
100873424	0.0	0.0
3763	11.0	1.0
100128640	362.0	94.0
100873423	0.0	0.0
3764	818.0	1853.0
100873422	0.0	0.0
3765	4.0	2.0
100873421	0.0	1.0
3766	15.0	172.0
100873428	0.0	0.0
3767	724.0	2275.0
100873427	0.0	0.0
3768	96.0	103.0
1109	1.0	1.0
100873426	0.0	1.0
1108	23323.0	29906.0
3769	16.0	1.0
100873425	0.0	0.0
100128637	9.0	11.0
100128639	0.0	2.0
3780	38.0	64.0
100873453	0.0	0.0
3781	111.0	82.0
100873452	0.0	0.0
3782	540.0	1148.0
100873451	0.0	0.0
3783	8181.0	1721.0
100873450	0.0	0.0
1121	2917.0	4411.0
100861468	0.0	0.0
1120	382.0	230.0
100861469	2.0	0.0
1118	29.0	31.0
1117	6815.0	382.0
1116	6889.0	1695.0
1114	639.0	28.0
1113	21.0	20.0
1112	8044.0	7970.0
1111	596.0	1306.0
3773	448.0	34.0
100873457	0.0	0.0
100873456	2.0	0.0
3775	676.0	137.0
100873455	0.0	0.0
3776	1744.0	244.0
100873454	0.0	0.0
3777	380.0	27.0
3778	4128.0	8756.0
3779	1546.0	169.0
100873459	1.0	0.0
1119	7242.0	1692.0
100128627	8.0	4.0
100128626	0.0	1.0
3790	1833.0	897.0
100128628	10.0	14.0
3791	4162.0	6477.0
100873442	0.0	0.0
3792	95.0	157.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	16.0
1131	970.0	145.0
1130	5130.0	4956.0
100861476	1.0	0.0
1129	1.0	0.0
1128	1475.0	11.0
1124	437.0	720.0
1123	921.0	1016.0
1122	2439.0	1660.0
100861470	0.0	0.0
3784	1405.0	2517.0
100873446	0.0	0.0
3785	5.0	3.0
100873445	0.0	1.0
3786	618.0	278.0
100873444	0.0	0.0
3787	472.0	29.0
100873443	0.0	0.0
3788	13.0	25.0
100873449	21.0	11.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	246.0	29.0
100128618	8.0	9.0
728597	1.0	2.0
100128617	3.0	13.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	123.0	119.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	3.0	2.0
285634	2.0	12.0
1142	0.0	0.0
1141	177.0	21.0
285636	4616.0	6639.0
1140	640.0	679.0
728599	7.0	7.0
1139	36.0	14.0
1138	92.0	27.0
1137	1.0	1.0
100861485	0.0	0.0
1136	18.0	14.0
1135	13.0	8.0
1134	4.0	30.0
1133	36.0	28.0
3795	412.0	267.0
100873479	3.0	1.0
3796	2946.0	3330.0
100873478	0.0	0.0
3797	1086.0	2637.0
100873477	6.0	1.0
3798	276.0	20.0
100873476	0.0	0.0
3799	20703.0	30627.0
100873460	0.0	0.0
728586	70.0	22.0
285641	3.0	2.0
100873464	7.0	9.0
100873463	0.0	0.0
100873462	7.0	1.0
285643	3.0	9.0
100128603	0.0	0.0
100873461	3.0	2.0
1154	5995.0	5524.0
1153	35024.0	22425.0
1152	1173.0	154059.0
285647	48.0	43.0
728589	23.0	39.0
728588	0.0	0.0
1149	80.0	19.0
1147	2911.0	4003.0
1146	6.0	2.0
1145	79.0	50.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	1.0	0.0
283033	1.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	425.0	1702.0
1163	1308.0	1303.0
285659	0.0	0.0
1161	721.0	679.0
1160	202.0	50.0
1159	306.0	262.0
1158	7.0	31.0
1157	0.0	2.0
1155	2043.0	2837.0
550643	1670.0	1808.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2733.0	3801.0
1175	2002.0	5352.0
285668	13.0	11.0
1174	1850.0	2982.0
1173	15158.0	29620.0
550631	189.0	225.0
100873489	0.0	0.0
283014	15.0	8.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	51.0	28.0
1186	3727.0	8026.0
1185	2935.0	1878.0
1184	673.0	1057.0
1183	428.0	174.0
1182	13301.0	11985.0
1181	403.0	404.0
440375	41.0	41.0
1180	46.0	8.0
1179	1.0	0.0
1178	0.0	1.0
283089	21.0	1.0
85495	0.0	0.0
85480	227.0	22.0
283080	0.0	0.0
1198	4879.0	3278.0
1197	4.0	4.0
1196	4095.0	2157.0
1195	19679.0	5883.0
440366	10.0	2.0
1193	1660.0	1986.0
1192	12583.0	22746.0
1191	72491.0	12354.0
1188	20.0	10.0
283078	78.0	18.0
85486	40.0	31.0
128615	0.0	0.0
85481	0.0	0.0
128611	217.0	169.0
440396	97.0	58.0
128609	0.0	2.0
128602	0.0	0.0
440387	0.0	1.0
128674	2.0	0.0
128676	3.0	7.0
114026	0.0	0.0
100861402	3.0	3.0
126014	106.0	5456.0
440335	1080.0	1890.0
100128690	0.0	0.0
114034	1165.0	907.0
126006	130.0	164.0
114036	30.0	10.0
100128696	0.0	1.0
100128688	0.0	0.0
126003	54.0	49.0
100861412	1.0	0.0
105180390	3.0	1.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	1.0
100128678	2.0	4.0
100861429	0.0	0.0
128653	0.0	0.0
200728	274.0	242.0
440356	4.0	1.0
440354	250.0	108.0
440352	3.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	17.0	16.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	421.0	157.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	242.0	89.0
200734	4424.0	3893.0
100861431	1.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	0.0
100873408	1.0	0.0
100873407	1.0	1.0
100861430	18.0	30.0
100873402	0.0	0.0
100873401	3.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4280.0	5213.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	2.0	4.0
645443	10.0	30.0
165530	352.0	42.0
85409	210.0	99.0
106481385	1.0	0.0
106481386	0.0	0.0
85416	13.0	3.0
106481383	8.0	2.0
85417	65.0	104.0
106481384	0.0	0.0
103106903	19.0	0.0
85414	551.0	2046.0
106481389	0.0	0.0
85415	6848.0	2445.0
106481387	1.0	0.0
85413	19.0	20.0
106481388	23.0	4.0
645436	2.0	0.0
106481381	3.0	0.0
106481382	0.0	0.0
10	3.0	3.0
106481380	0.0	0.0
11	1.0	0.0
403341	1384.0	1911.0
12	548.0	1544.0
13	4.0	0.0
14	6786.0	6019.0
15	4.0	2.0
16	7762.0	10006.0
645455	26.0	50.0
18	2422.0	6702.0
19	2319.0	8001.0
128580	29.0	27.0
85407	257.0	74.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1790.0	2650.0
106481395	1.0	1.0
85403	2330.0	3945.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	5184.0	3699.0
106481390	1.0	0.0
21	5363.0	7621.0
106481391	0.0	0.0
22	2700.0	3303.0
153571	543.0	63.0
153572	8031.0	329.0
23	6481.0	8837.0
24	244.0	353.0
25	7981.0	7941.0
26	12.0	53.0
27	3743.0	12168.0
28	527.0	241.0
29	7537.0	14284.0
153579	1967.0	347.0
728615	0.0	0.0
728614	0.0	0.0
200765	892.0	181.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	3.0	17.0
102466518	0.0	0.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1609.0	1879.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3463.0	4854.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	425.0	172.0
106481366	0.0	0.0
30	3016.0	4120.0
106481360	0.0	0.0
31	8635.0	19637.0
32	4315.0	2388.0
33	52.0	7.0
34	4978.0	12455.0
35	1387.0	1552.0
153562	2152.0	2162.0
36	9360.0	29932.0
37	21091.0	23266.0
38	3965.0	8042.0
440307	12.0	13.0
39	1574.0	1217.0
165545	12.0	31.0
106481369	0.0	0.0
728606	202.0	892.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	8.0	6.0
106481370	0.0	0.0
41	1053.0	194.0
106481371	0.0	0.0
43	248.0	54.0
645486	0.0	0.0
47	10215.0	22496.0
48	2536.0	5871.0
49	56.0	2.0
106481338	0.0	0.0
106481339	4.0	0.0
106481336	0.0	0.0
106481337	4.0	0.0
