id	ef51ae2e-91ac-4d5f-ba2a-0ae978ba33b9	36bcb602-58b0-4731-8d2c-090eaac15d29
1021	3241.0	2075.0
1020	436.0	929.0
440299	2.0	0.0
1019	3850.0	2228.0
128709	0.0	0.0
1018	37.0	9.0
1017	2215.0	4202.0
1016	2.0	5.0
1015	47.0	20.0
1014	1.0	0.0
1013	9.0	9.0
1012	3244.0	1837.0
116730	95.0	70.0
3674	45.0	22.0
100873358	0.0	0.0
3675	10471.0	771.0
100873357	1.0	2.0
3676	1005.0	865.0
100128731	4473.0	9808.0
100873356	0.0	0.0
3678	7867.0	9352.0
3679	8787.0	148.0
100873359	0.0	0.0
728464	82.0	7.0
728463	53.0	2.0
100128725	1.0	2.0
3690	629.0	206.0
3691	16725.0	2758.0
100873343	0.0	1.0
3692	4723.0	5178.0
3693	11333.0	9587.0
285521	1155.0	2203.0
100873342	0.0	0.0
3694	5733.0	2196.0
100873341	0.0	0.0
3695	248.0	78.0
100873340	1.0	1.0
100128723	5.0	1.0
1033	86.0	763.0
1032	302.0	150.0
285525	2.0	2.0
1031	3964.0	775.0
285527	7809.0	8440.0
1030	2443.0	902.0
728468	0.0	0.0
440288	198.0	183.0
1029	136.0	100.0
440295	137.0	79.0
1028	4147.0	585.0
1027	5317.0	6861.0
1026	10193.0	7172.0
1025	4053.0	1484.0
1024	962.0	1960.0
3685	13215.0	26998.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	465.0	655.0
100873345	0.0	1.0
3688	40731.0	41143.0
100873344	0.0	0.0
3689	2202.0	818.0
100873349	1.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	0.0
100873370	0.0	0.0
728498	37.0	2.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	45.0	19.0
100873375	0.0	1.0
100128710	0.0	1.0
285533	287.0	57.0
100873374	1.0	0.0
728495	2.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	10.0	18.0
1043	556.0	463.0
1041	6.0	0.0
1040	2561.0	8713.0
1039	2821.0	2179.0
1038	34.0	24.0
1036	2361.0	576.0
3696	4455.0	366.0
3697	3.0	0.0
100873379	0.0	0.0
3698	60.0	10.0
100873378	2.0	4.0
3699	121.0	4.0
100873377	0.0	0.0
728486	9.0	1.0
100873361	0.0	5.0
105373869	3.0	1794.0
100873360	0.0	0.0
285540	233.0	448.0
100128705	4.0	5.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	0.0
100873362	0.0	0.0
100128701	5.0	1.0
1054	4120.0	2950.0
285547	0.0	0.0
1053	1.0	2.0
285548	0.0	8.0
1052	1758.0	732.0
1051	2325.0	4068.0
728489	14.0	4.0
1050	2895.0	65.0
100128707	0.0	0.0
1048	17.0	235.0
1047	159.0	148.0
1046	0.0	0.0
1045	0.0	0.0
100873369	25.0	3.0
100873368	0.0	0.0
100873367	1.0	0.0
100873366	0.0	0.0
105373877	7.0	0.0
1066	1986.0	29.0
1063	861.0	6453.0
1062	268.0	2169.0
1061	7.0	5.0
1060	3493.0	2953.0
440253	426.0	55.0
1059	4711.0	2009.0
1058	54.0	388.0
1057	4.0	1.0
85379	11756.0	4266.0
114112	1058.0	516.0
1056	41.0	50.0
85377	3485.0	802.0
85378	4359.0	463.0
128745	2.0	0.0
85376	3.0	0.0
440248	1350.0	158.0
1075	4701.0	3045.0
1074	10.0	11.0
1073	4975.0	2644.0
1072	26136.0	43463.0
1071	111.0	48.0
440243	0.0	0.0
1070	1318.0	1768.0
1069	3485.0	7087.0
1068	0.0	0.0
85369	3284.0	962.0
85366	3.0	7.0
85364	1970.0	967.0
85365	2844.0	2896.0
85363	2072.0	1183.0
85360	1408.0	455.0
1080	203.0	5.0
85391	3.0	5.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	1.0
153733	804.0	1136.0
1087	12.0	4.0
1086	3.0	0.0
440279	25.0	12.0
1085	5.0	14.0
1084	1.0	0.0
440278	151.0	159.0
1082	0.0	0.0
403294	0.0	0.0
440275	6187.0	7854.0
1081	0.0	27.0
85397	6.0	4.0
85395	385.0	61.0
403285	0.0	0.0
1091	1.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	1936.0	707.0
1089	4.0	0.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	21.0	0.0
285598	1146.0	923.0
126133	1148.0	666.0
128790	1.0	0.0
126129	270.0	447.0
126123	0.0	1.0
442862	0.0	0.0
126119	342.0	283.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	1.0	0.0
442895	0.0	1.0
114131	0.0	0.0
442896	0.0	0.0
114132	37.0	7.0
442897	0.0	0.0
442898	3.0	1.0
114134	829.0	1050.0
442899	0.0	0.0
100128790	0.0	0.0
128760	11.0	1.0
100128788	61.0	109.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	1.0	0.0
442892	3.0	2.0
128756	0.0	0.0
100128782	370.0	87.0
100128781	2.0	2.0
403230	0.0	2.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	3.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	376.0	1054.0
102466616	0.0	0.0
126052	0.0	0.0
151009	14.0	2.0
403227	6.0	0.0
403228	0.0	0.0
138046	2.0	8.0
645558	0.0	0.0
403229	0.0	0.0
645573	3.0	0.0
645572	0.0	0.0
645571	3.0	16.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	772.0	550.0
107131122	1.0	0.0
138050	10991.0	10366.0
403219	0.0	0.0
151011	7971.0	5539.0
645587	6.0	0.0
165679	626.0	6878.0
126037	35.0	17.0
114049	3640.0	4019.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1057.0	556.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2927.0	2433.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	356.0	307.0
100033820	0.0	0.0
106481480	1.0	1.0
106481481	0.0	0.0
138065	134.0	1.0
645598	1.0	2.0
163007	1.0	0.0
114038	2.0	0.0
645591	1.0	0.0
106481495	1.0	1.0
114041	101.0	12.0
106481496	1.0	0.0
114042	4.0	3.0
106481493	0.0	0.0
114043	46.0	22.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	433.0	193.0
126017	713.0	905.0
106481497	3.0	0.0
106481498	0.0	3.0
85303	0.0	0.0
85300	8.0	0.0
85301	2519.0	473.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	3.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2103.0	5367.0
106481459	0.0	0.0
26994	11636.0	15836.0
106481457	16.0	14.0
26995	2383.0	904.0
106481458	0.0	0.0
403271	0.0	0.0
26998	2.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1516.0	1455.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	5.0
106481460	7.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2605.0	685.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	3909.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	2592.0	74.0
106481470	0.0	3.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1105.0	1040.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	2.0
344471	4.0	4.0
106481437	0.0	0.0
26974	335.0	291.0
153657	123.0	20.0
106481438	9.0	38.0
106481435	0.0	0.0
26973	2225.0	3519.0
165631	155.0	56.0
106481436	0.0	0.0
26978	14.0	80.0
126075	802.0	486.0
106481439	0.0	0.0
403250	0.0	0.0
126074	274.0	190.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1325.0	388.0
106481444	22.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4920.0	292.0
85354	0.0	0.0
85352	71.0	100.0
403241	2.0	0.0
344462	3.0	5.0
403244	0.0	0.0
403245	1.0	0.0
153642	736.0	498.0
153643	10.0	30.0
403247	0.0	0.0
403248	0.0	0.0
26985	4791.0	5989.0
106481448	0.0	0.0
26986	68783.0	153101.0
126069	196.0	68.0
106481449	0.0	0.0
126068	1248.0	784.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1274.0	1652.0
106481447	0.0	0.0
106481451	6.0	3.0
106481452	2.0	0.0
106481450	0.0	0.0
114088	584.0	186.0
106481455	0.0	2.0
85349	279.0	107.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	4.0	16.0
106481454	0.0	1.0
403238	0.0	0.0
85344	5.0	6.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	8.0	1.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	0.0	4.0
100873392	3.0	6.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3841.0	4998.0
100873390	0.0	0.0
728556	55.0	98.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	177.0	106.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	703.0	609.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	2.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	5.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	1.0	0.0
100128801	0.0	0.0
285600	388.0	490.0
100873384	0.0	0.0
285601	15.0	4.0
106481426	0.0	0.0
106481427	2.0	2.0
222005	1.0	2.0
63910	178.0	214.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	749.0	1509.0
222008	29.0	2.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3795.0	3137.0
63904	0.0	0.0
106481430	1.0	1.0
163071	29.0	452.0
63906	962.0	247.0
106481433	0.0	0.0
63908	1380.0	1125.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	0.0
285613	51.0	34.0
63920	330.0	516.0
63923	527.0	148.0
63922	422.0	334.0
728577	391.0	4.0
63925	2333.0	698.0
63924	14306.0	1.0
63916	3511.0	3478.0
63917	4413.0	1414.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	1.0
728564	1.0	18.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2365.0	2318.0
106481402	0.0	0.0
63931	2207.0	2150.0
106481403	0.0	0.0
63934	891.0	413.0
728567	6.0	3.0
106481408	0.0	0.0
163088	19.0	4.0
63933	2677.0	3383.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4375.0	2060.0
163087	1199.0	769.0
728568	363.0	874.0
106481407	16.0	9.0
3704	1179.0	393.0
3705	5134.0	1647.0
63926	896.0	1560.0
3706	6.0	9.0
63929	1620.0	1431.0
3707	6020.0	1875.0
63928	8.0	0.0
3708	19776.0	4537.0
106481411	1.0	0.0
3709	14492.0	4743.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	61.0	3.0
3702	281.0	37.0
3703	11862.0	22798.0
645506	0.0	1.0
151050	1994.0	896.0
645520	0.0	0.0
63941	1008.0	1960.0
63940	835.0	787.0
63943	347.0	254.0
728517	0.0	0.0
163033	371.0	525.0
258010	3110.0	5769.0
63947	0.0	0.0
63946	2.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	24998.0	13973.0
100033804	0.0	0.0
3717	2041.0	1203.0
100033805	0.0	0.0
3718	724.0	465.0
63939	1506.0	2286.0
100033806	0.0	0.0
100190799	16.0	9.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	140.0	111.0
3710	5055.0	2763.0
3712	7286.0	7521.0
3713	1.0	0.0
3714	4560.0	348.0
63950	1.0	0.0
728505	1.0	0.0
63951	243.0	12.0
100033807	0.0	0.0
728501	63.0	16.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	10719.0	2576.0
100033814	0.0	0.0
3727	17261.0	5805.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	23277.0	20646.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2203.0	2357.0
151056	345.0	45.0
3725	26092.0	1455.0
645528	12.0	1.0
728532	56.0	28.0
163059	612.0	483.0
728538	0.0	0.0
728537	361.0	89.0
63967	60.0	406.0
3737	21.0	1.0
3738	138.0	8.0
3739	35.0	0.0
645538	0.0	0.0
3730	1953.0	1615.0
3732	3644.0	592.0
3734	0.0	0.0
3735	9440.0	11072.0
3736	242.0	5.0
63970	152.0	9.0
3750	407.0	99.0
63971	10790.0	3470.0
63974	0.0	0.0
163049	3629.0	2963.0
63973	136.0	1.0
63976	371.0	27.0
222068	6378.0	7784.0
63978	0.0	0.0
63977	747.0	519.0
63979	1646.0	1485.0
728524	0.0	0.0
3748	962.0	2066.0
163051	39.0	61.0
3749	3146.0	230.0
163050	85.0	54.0
3741	35.0	12.0
645548	5.0	22.0
3743	6.0	0.0
3744	0.0	0.0
3745	1696.0	14.0
3746	29.0	0.0
3747	372.0	1.0
285671	1027.0	252.0
285672	2625.0	2666.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	194.0	29117.0
285676	143.0	17.0
3761	0.0	0.0
100128657	0.0	0.0
285679	2.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1012.0	639.0
283008	13.0	1.0
3751	448.0	588.0
100873435	0.0	0.0
3752	1530.0	112.0
100873434	0.0	0.0
3753	56.0	0.0
100873433	0.0	0.0
3754	45.0	146.0
100873432	0.0	0.0
3755	86.0	6.0
100873439	0.0	0.0
3756	25.0	11.0
100873438	0.0	0.0
3757	33.0	157.0
100873437	0.0	0.0
3758	19.0	5.0
100873436	0.0	0.0
100873420	6.0	0.0
3770	195.0	37.0
3772	95.0	152.0
100861458	0.0	0.0
100861453	36.0	70.0
100861455	0.0	0.0
1107	14993.0	7598.0
1106	11524.0	3572.0
1105	6502.0	13452.0
1104	1602.0	4220.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2806.0	861.0
1101	1065.0	166.0
3762	244.0	143.0
100873424	0.0	0.0
3763	6.0	55.0
100128640	178.0	126.0
100873423	0.0	0.0
3764	1691.0	510.0
100873422	0.0	0.0
3765	10.0	1.0
100873421	2.0	0.0
3766	20.0	14.0
100873428	0.0	0.0
3767	315.0	157.0
100873427	0.0	0.0
3768	254.0	37.0
1109	2.0	2.0
100873426	1.0	1.0
1108	21147.0	15122.0
3769	14.0	15.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	54.0	8.0
100873453	0.0	0.0
3781	36.0	80.0
100873452	1.0	0.0
3782	669.0	389.0
100873451	0.0	0.0
3783	1189.0	96.0
100873450	1.0	0.0
1121	2775.0	5503.0
100861468	0.0	0.0
1120	289.0	65.0
100861469	0.0	0.0
1118	132.0	4.0
1117	1132.0	194.0
1116	2534.0	859.0
1114	3.0	2.0
1113	33.0	13.0
1112	11743.0	3536.0
1111	400.0	2682.0
3773	354.0	0.0
100873457	2.0	0.0
100873456	0.0	0.0
3775	688.0	3287.0
100873455	0.0	0.0
3776	796.0	3011.0
100873454	0.0	0.0
3777	332.0	8.0
3778	7436.0	531.0
3779	3527.0	113.0
100873459	0.0	0.0
1119	2731.0	1165.0
100128627	3.0	1.0
100128626	0.0	0.0
3790	1508.0	2905.0
100128628	5.0	13.0
3791	8353.0	2080.0
100873442	0.0	0.0
3792	50.0	1.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	15.0	19.0
1131	200.0	38.0
1130	5924.0	3022.0
100861476	0.0	0.0
1129	5.0	1.0
1128	247.0	8.0
1124	420.0	106.0
1123	1066.0	2287.0
1122	2235.0	6463.0
100861470	0.0	0.0
3784	802.0	241.0
100873446	0.0	0.0
3785	2.0	0.0
100873445	0.0	0.0
3786	148.0	775.0
100873444	0.0	0.0
3787	58.0	2.0
100873443	0.0	0.0
3788	8.0	4.0
100873449	6.0	19.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	138.0	78.0
100128618	1.0	0.0
728597	8.0	0.0
100128617	1.0	5.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	72.0	36.0
100873473	0.0	0.0
100873472	0.0	1.0
1143	12.0	70.0
285634	2.0	1.0
1142	0.0	0.0
1141	182.0	29.0
285636	3757.0	6386.0
1140	715.0	376.0
728599	9.0	2.0
1139	68.0	7.0
1138	52.0	619.0
1137	3.0	0.0
100861485	0.0	0.0
1136	16.0	28.0
1135	88.0	0.0
1134	81.0	324.0
1133	62.0	4.0
3795	376.0	42.0
100873479	11.0	0.0
3796	2546.0	3514.0
100873478	0.0	0.0
3797	1631.0	1220.0
100873477	10.0	2.0
3798	434.0	321.0
100873476	0.0	0.0
3799	21813.0	29059.0
100873460	0.0	0.0
728586	20.0	18.0
285641	1.0	0.0
100873464	4.0	1.0
100873463	0.0	0.0
100873462	12.0	0.0
285643	3.0	5.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1327.0	4500.0
1153	29243.0	14111.0
1152	2009.0	203.0
285647	39.0	35.0
728589	40.0	17.0
728588	71.0	18.0
1149	6163.0	0.0
1147	2455.0	2125.0
1146	2.0	2.0
1145	107.0	64.0
1144	1.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	1.0	1.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	1.0	0.0
100873494	0.0	0.0
1164	344.0	1745.0
1163	1139.0	1656.0
285659	0.0	0.0
1161	631.0	853.0
1160	570.0	43.0
1159	78.0	719.0
1158	7.0	5.0
1157	1.0	0.0
1155	1902.0	1608.0
550643	1405.0	7082.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3138.0	6778.0
1175	1939.0	5066.0
285668	27.0	2.0
1174	1265.0	1860.0
1173	17297.0	22025.0
550631	166.0	43.0
100873489	0.0	0.0
283014	9.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	55.0	16.0
1186	3471.0	1267.0
1185	2775.0	513.0
1184	640.0	365.0
1183	752.0	211.0
1182	9297.0	14474.0
1181	375.0	271.0
440375	34.0	2.0
1180	46.0	14.0
1179	1.0	0.0
1178	2.0	7.0
283089	19.0	2.0
85495	0.0	0.0
85480	350.0	19.0
283080	0.0	1.0
1198	3802.0	1481.0
1197	0.0	0.0
1196	2482.0	2593.0
1195	7366.0	3340.0
440366	8.0	0.0
1193	2381.0	500.0
1192	13331.0	15793.0
1191	87390.0	3696.0
1188	30.0	27.0
283078	316.0	435.0
85486	10.0	4.0
128615	0.0	0.0
85481	1.0	0.0
128611	183.0	1.0
440396	110.0	23.0
128609	0.0	0.0
128602	0.0	1.0
440387	6.0	0.0
128674	1.0	0.0
128676	3.0	0.0
114026	0.0	0.0
100861402	5.0	4.0
126014	131.0	167.0
440335	475.0	1546.0
100128690	0.0	0.0
114034	1214.0	500.0
126006	69.0	26.0
114036	32.0	42.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	59.0	12.0
100861412	1.0	2.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	5.0	0.0
200728	221.0	116.0
440356	1.0	15.0
440354	164.0	106.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	5.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	0.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	354.0	180.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	309.0	130.0
200734	6325.0	6066.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	6.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	21.0	32.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	6021.0	2748.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	8.0	5.0
165530	237.0	9.0
85409	236.0	83.0
106481385	2.0	0.0
106481386	0.0	0.0
85416	4.0	34.0
106481383	2.0	8.0
85417	54.0	128.0
106481384	0.0	0.0
103106903	1.0	4.0
85414	398.0	169.0
106481389	0.0	0.0
85415	2398.0	2337.0
106481387	0.0	0.0
85413	9.0	2.0
106481388	4.0	13.0
645436	0.0	0.0
106481381	1.0	0.0
106481382	0.0	0.0
10	19.0	419.0
106481380	0.0	0.0
11	0.0	1.0
403341	1277.0	1903.0
12	296.0	19.0
13	62.0	0.0
14	6786.0	1356.0
15	6.0	2.0
16	8513.0	7427.0
645455	20.0	23.0
18	1871.0	1661.0
19	7698.0	4877.0
128580	14.0	9.0
85407	211.0	96.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2114.0	1466.0
106481395	0.0	2.0
85403	2150.0	5767.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4510.0	2566.0
106481390	0.0	0.0
21	3475.0	2402.0
106481391	0.0	0.0
22	2069.0	2246.0
153571	437.0	224.0
153572	4330.0	656.0
23	5793.0	3444.0
24	304.0	224.0
25	10844.0	2292.0
26	18.0	343.0
27	5283.0	4628.0
28	1118.0	696.0
29	8247.0	1858.0
153579	6823.0	29.0
728615	1.0	0.0
728614	0.0	0.0
200765	346.0	286.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	36.0	12.0
102466518	0.0	0.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1190.0	834.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	3637.0	4943.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	333.0	82.0
106481366	0.0	0.0
30	2925.0	697.0
106481360	0.0	0.0
31	7683.0	6109.0
32	25172.0	327.0
33	532.0	0.0
34	5842.0	5593.0
35	2365.0	213.0
153562	1630.0	3704.0
36	9148.0	3612.0
37	19645.0	4929.0
38	5398.0	5143.0
440307	17.0	0.0
39	1301.0	952.0
165545	7.0	287.0
106481369	0.0	0.0
728606	91.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	2.0	0.0
40	11.0	23.0
106481370	0.0	0.0
41	325.0	126.0
106481371	0.0	0.0
43	138.0	14.0
645486	1.0	0.0
47	10332.0	9011.0
48	8514.0	2919.0
49	44.0	3.0
106481338	0.0	0.0
106481339	0.0	2.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	12.0	12.0
106481340	0.0	0.0
85458	8366.0	1493.0
