id	c5eb6a8e-2a5b-4268-8ae6-f6c13d3e3b01	95c75be7-d55d-4d74-9179-9be223230a5b
100873351	0.0	0.0
285512	99.0	31.0
1022	1247.0	972.0
285513	679.0	616.0
1021	1912.0	609.0
1020	534.0	827.0
440299	0.0	0.0
1019	3670.0	3097.0
128709	1.0	0.0
1018	12.0	18.0
1017	1820.0	889.0
1016	0.0	1.0
1015	35.0	16.0
1014	7.0	19.0
1013	4.0	2.0
1012	4936.0	1451.0
116730	73.0	51.0
3674	23.0	19.0
100873358	0.0	0.0
3675	11060.0	2362.0
100873357	0.0	0.0
3676	325.0	432.0
100128731	5129.0	6085.0
100873356	0.0	0.0
3678	9030.0	4198.0
3679	1867.0	1222.0
100873359	0.0	0.0
728464	47.0	35.0
728463	123.0	10.0
100128725	0.0	0.0
3690	507.0	68.0
3691	21597.0	9603.0
100873343	0.0	1.0
3692	5068.0	3826.0
3693	12314.0	12062.0
285521	818.0	694.0
100873342	0.0	0.0
3694	6919.0	1390.0
100873341	0.0	0.0
3695	86.0	63.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	65.0	198.0
1032	323.0	133.0
285525	3.0	0.0
1031	1137.0	448.0
285527	3270.0	2769.0
1030	871.0	1046.0
728468	0.0	0.0
440288	143.0	95.0
1029	357.0	477.0
440295	82.0	59.0
1028	2331.0	1157.0
1027	3022.0	9511.0
1026	21336.0	3238.0
1025	3404.0	1866.0
1024	553.0	565.0
3685	7527.0	7960.0
100873347	0.0	5.0
100873346	0.0	0.0
3687	562.0	351.0
100873345	1.0	0.0
3688	24234.0	16826.0
100873344	0.0	0.0
3689	3584.0	1400.0
100873349	4.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	7.0	2.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	33.0	34.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	80.0	12.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	1.0	0.0
100128712	0.0	0.0
1044	6.0	12.0
1043	485.0	315.0
1041	1.0	0.0
1040	2914.0	2252.0
1039	2557.0	2461.0
1038	1.0	4.0
1036	798.0	290.0
3696	3967.0	260.0
3697	7.0	1.0
100873379	0.0	0.0
3698	466.0	14.0
100873378	0.0	1.0
3699	84.0	26.0
100873377	0.0	0.0
728486	12.0	6.0
100873361	0.0	0.0
105373869	1.0	51.0
100873360	2.0	1.0
285540	78.0	79.0
100128705	0.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	4.0
100873362	0.0	0.0
100128701	4.0	0.0
1054	2779.0	1957.0
285547	0.0	0.0
1053	7.0	5.0
285548	2.0	3.0
1052	8609.0	1799.0
1051	6510.0	966.0
728489	8.0	6.0
1050	715.0	1118.0
100128707	0.0	0.0
1048	139.0	1122.0
1047	146.0	662.0
1046	0.0	0.0
1045	0.0	3.0
100873369	1.0	18.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	8.0	0.0
1066	5205.0	6511.0
1063	642.0	2301.0
1062	106.0	204.0
1061	9.0	0.0
1060	1580.0	986.0
440253	53.0	190.0
1059	7378.0	3600.0
1058	47.0	124.0
1057	0.0	8.0
85379	9765.0	3994.0
114112	791.0	318.0
1056	24.0	70.0
85377	3809.0	1635.0
85378	2750.0	1126.0
128745	0.0	0.0
85376	0.0	6.0
440248	452.0	256.0
1075	5319.0	4635.0
1074	2.0	6.0
1073	3072.0	623.0
1072	40710.0	25203.0
1071	26.0	78.0
440243	0.0	0.0
1070	883.0	762.0
1069	3835.0	2886.0
1068	0.0	0.0
85369	2235.0	1083.0
85366	0.0	3.0
85364	1312.0	798.0
85365	2570.0	1744.0
85363	1548.0	649.0
85360	1162.0	509.0
1080	117.0	4.0
85391	0.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	3.0	0.0
153733	303.0	427.0
1087	20.0	166.0
1086	0.0	0.0
440279	14.0	5.0
1085	0.0	1.0
1084	22.0	9.0
440278	166.0	38.0
1082	0.0	0.0
403294	0.0	0.0
440275	4187.0	2676.0
1081	0.0	0.0
85397	3.0	1.0
85395	661.0	332.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	2.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	1.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	404.0	269.0
1089	16.0	2.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	5.0	0.0
285598	451.0	254.0
126133	1860.0	824.0
128790	0.0	0.0
126129	272.0	131.0
126123	0.0	0.0
442862	0.0	0.0
126119	776.0	388.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	9.0	7.0
442896	0.0	0.0
114132	30.0	6.0
442897	0.0	0.0
442898	1.0	0.0
114134	472.0	279.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	1.0
100128788	44.0	74.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	121.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	247.0	169.0
100128781	1.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	0.0	2.0
403236	0.0	0.0
63982	51.0	36.0
102466616	0.0	0.0
126052	0.0	1.0
151009	57.0	25.0
403227	8.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	2.0
645572	0.0	0.0
645571	6.0	4.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1368.0	1647.0
107131122	0.0	0.0
138050	6841.0	7043.0
403219	0.0	0.0
151011	5241.0	2747.0
645587	0.0	6.0
165679	345.0	1151.0
126037	68.0	115.0
114049	3862.0	3344.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	445.0	249.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1907.0	1440.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	138.0	311.0
100033820	0.0	0.0
106481480	4.0	0.0
106481481	0.0	0.0
138065	181.0	9.0
645598	0.0	0.0
163007	0.0	1.0
114038	0.0	1.0
645591	0.0	0.0
106481495	4.0	0.0
114041	26.0	596.0
106481496	0.0	0.0
114042	0.0	0.0
106481493	0.0	0.0
114043	10.0	4.0
106481494	0.0	0.0
106481499	3.0	0.0
114044	146.0	211.0
126017	234.0	212.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3.0	0.0
85301	1591.0	312.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	2.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1536.0	12069.0
106481459	0.0	0.0
26994	8248.0	5106.0
106481457	0.0	1.0
26995	2212.0	2079.0
106481458	0.0	0.0
403271	0.0	0.0
26998	13.0	20.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1611.0	3456.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	3.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2205.0	2081.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	2.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	277.0	309.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	526.0	651.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	516.0	667.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	24.0
106481437	0.0	0.0
26974	112.0	69.0
153657	39.0	52.0
106481438	2.0	0.0
106481435	0.0	0.0
26973	862.0	674.0
165631	54.0	14.0
106481436	0.0	0.0
26978	35.0	26.0
126075	810.0	450.0
106481439	0.0	0.0
403250	0.0	0.0
126074	157.0	120.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1636.0	1141.0
106481444	1.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2324.0	1667.0
85354	0.0	0.0
85352	124.0	23.0
403241	0.0	0.0
344462	2.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	427.0	332.0
153643	28.0	29.0
403247	0.0	0.0
403248	0.0	0.0
26985	3147.0	3340.0
106481448	0.0	0.0
26986	69962.0	155870.0
126069	40.0	55.0
106481449	0.0	0.0
126068	315.0	247.0
106481446	0.0	0.0
26983	0.0	0.0
26984	728.0	493.0
106481447	0.0	0.0
106481451	0.0	3.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	143.0	35.0
106481455	0.0	1.0
85349	291.0	11.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	5.0
85347	0.0	0.0
26980	8.0	10.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	9.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	4.0
100873392	4.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1763.0	2316.0
100873390	0.0	0.0
728556	36.0	52.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	68.0	35.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	263.0	336.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	5.0	5.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	136.0	56.0
100873384	0.0	0.0
285601	27.0	5.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	138.0	73.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	514.0	571.0
222008	1.0	2.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4087.0	1887.0
63904	0.0	0.0
106481430	2.0	0.0
163071	11.0	20.0
63906	756.0	395.0
106481433	0.0	0.0
63908	650.0	474.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	58.0	31.0
63920	114.0	108.0
63923	1101.0	212.0
63922	400.0	336.0
728577	208.0	34.0
63925	1464.0	951.0
63924	1578.0	1695.0
63916	2598.0	1712.0
63917	3846.0	2110.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	9.0
728564	3.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1337.0	1156.0
106481402	0.0	0.0
63931	1704.0	2556.0
106481403	0.0	0.0
63934	343.0	294.0
728567	10.0	6.0
106481408	0.0	0.0
163088	15.0	3.0
63933	1693.0	2135.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3615.0	1591.0
163087	404.0	355.0
728568	232.0	288.0
106481407	3.0	4.0
3704	1912.0	1499.0
3705	4226.0	3799.0
63926	596.0	1103.0
3706	2.0	226.0
63929	810.0	1030.0
3707	5394.0	3785.0
63928	3.0	11.0
3708	11010.0	5610.0
106481411	2.0	0.0
3709	5235.0	4884.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	11.0	5.0
3702	168.0	70.0
3703	10483.0	5675.0
645506	0.0	0.0
151050	653.0	309.0
645520	0.0	0.0
63941	1042.0	1798.0
63940	1194.0	949.0
63943	272.0	208.0
728517	0.0	0.0
163033	462.0	319.0
258010	2006.0	2105.0
63947	0.0	0.0
63946	2.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	15235.0	6180.0
100033804	0.0	0.0
3717	998.0	930.0
100033805	0.0	0.0
3718	317.0	246.0
63939	451.0	505.0
100033806	0.0	0.0
100190799	12.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	60.0	36.0
3710	3587.0	2789.0
3712	5539.0	3772.0
3713	16.0	98.0
3714	3971.0	1025.0
63950	3.0	20.0
728505	1.0	0.0
63951	47.0	28.0
100033807	0.0	0.0
728501	32.0	45.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	31241.0	16801.0
100033814	0.0	0.0
3727	26960.0	8082.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	1.0
3728	25209.0	20779.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1792.0	1436.0
151056	284.0	156.0
3725	19910.0	13354.0
645528	0.0	1.0
728532	21.0	28.0
163059	274.0	108.0
728538	0.0	0.0
728537	117.0	79.0
63967	50.0	150.0
3737	0.0	3.0
3738	36.0	27.0
3739	0.0	1.0
645538	0.0	0.0
3730	1170.0	660.0
3732	6032.0	596.0
3734	0.0	0.0
3735	8554.0	4938.0
3736	60.0	29.0
63970	226.0	100.0
3750	213.0	149.0
63971	5940.0	2881.0
63974	0.0	0.0
163049	1596.0	932.0
63973	57.0	2.0
63976	272.0	57.0
222068	5197.0	5165.0
63978	1.0	0.0
63977	417.0	372.0
63979	436.0	297.0
728524	0.0	0.0
3748	1312.0	68.0
163051	17.0	15.0
3749	1402.0	1578.0
163050	29.0	43.0
3741	54.0	29.0
645548	5.0	30.0
3743	2.0	1.0
3744	0.0	0.0
3745	511.0	221.0
3746	27.0	2.0
3747	26.0	0.0
285671	782.0	181.0
285672	1289.0	1823.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	20.0	3.0
285676	44.0	21.0
3761	5.0	0.0
100128657	0.0	0.0
285679	4.0	1.0
100861449	2.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	690.0	159.0
283008	3.0	3.0
3751	319.0	115.0
100873435	0.0	0.0
3752	2183.0	208.0
100873434	0.0	0.0
3753	148.0	7.0
100873433	0.0	0.0
3754	192.0	1.0
100873432	0.0	0.0
3755	56.0	18.0
100873439	0.0	0.0
3756	12.0	10.0
100873438	0.0	0.0
3757	149.0	24.0
100873437	0.0	0.0
3758	11.0	3.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	104.0	65.0
3772	189.0	1318.0
100861458	0.0	0.0
100861453	32.0	3.0
100861455	0.0	0.0
1107	15113.0	5578.0
1106	6979.0	4022.0
1105	4433.0	2516.0
1104	2011.0	1780.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1250.0	739.0
1101	1048.0	6866.0
3762	373.0	141.0
100873424	0.0	0.0
3763	7.0	1.0
100128640	109.0	102.0
100873423	0.0	0.0
3764	980.0	481.0
100873422	0.0	0.0
3765	2.0	5.0
100873421	0.0	0.0
3766	7.0	8.0
100873428	0.0	0.0
3767	503.0	238.0
100873427	0.0	0.0
3768	259.0	30.0
1109	8.0	0.0
100873426	1.0	0.0
1108	17522.0	15536.0
3769	2.0	5.0
100873425	0.0	0.0
100128637	2.0	0.0
100128639	0.0	0.0
3780	22.0	0.0
100873453	0.0	0.0
3781	42.0	83.0
100873452	0.0	0.0
3782	473.0	440.0
100873451	0.0	0.0
3783	2427.0	187.0
100873450	0.0	0.0
1121	1356.0	1437.0
100861468	0.0	0.0
1120	88.0	96.0
100861469	0.0	0.0
1118	1569.0	89.0
1117	1421.0	51.0
1116	6166.0	251.0
1114	534.0	2.0
1113	55.0	43.0
1112	5085.0	3972.0
1111	285.0	228.0
3773	1759.0	6.0
100873457	0.0	0.0
100873456	1.0	0.0
3775	632.0	3223.0
100873455	0.0	0.0
3776	1350.0	41.0
100873454	0.0	0.0
3777	277.0	62.0
3778	4188.0	218.0
3779	2706.0	62.0
100873459	0.0	0.0
1119	1858.0	1125.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	1582.0	1393.0
100128628	10.0	13.0
3791	2439.0	6298.0
100873442	0.0	0.0
3792	40.0	7.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	6.0	6.0
1131	168.0	202.0
1130	2249.0	1889.0
100861476	0.0	0.0
1129	4.0	0.0
1128	169.0	21.0
1124	227.0	256.0
1123	1548.0	338.0
1122	1015.0	607.0
100861470	0.0	0.0
3784	1382.0	892.0
100873446	0.0	0.0
3785	11.0	0.0
100873445	0.0	0.0
3786	190.0	88.0
100873444	0.0	0.0
3787	486.0	10.0
100873443	0.0	0.0
3788	6.0	24.0
100873449	0.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	127.0	114.0
100128618	3.0	0.0
728597	0.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	68.0	3.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	10.0	12.0
285634	1.0	4.0
1142	0.0	0.0
1141	232.0	8.0
285636	1592.0	1272.0
1140	509.0	103.0
728599	5.0	0.0
1139	26.0	8.0
1138	74.0	127.0
1137	0.0	0.0
100861485	0.0	0.0
1136	26.0	11.0
1135	18.0	1.0
1134	59.0	5.0
1133	4.0	10.0
3795	507.0	466.0
100873479	0.0	0.0
3796	1268.0	938.0
100873478	0.0	0.0
3797	1351.0	879.0
100873477	0.0	0.0
3798	221.0	3.0
100873476	0.0	0.0
3799	14184.0	10499.0
100873460	0.0	0.0
728586	21.0	7.0
285641	0.0	0.0
100873464	1.0	1.0
100873463	1.0	0.0
100873462	5.0	1.0
285643	0.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2513.0	2592.0
1153	23072.0	10811.0
1152	2119.0	622.0
285647	7.0	15.0
728589	12.0	19.0
728588	0.0	0.0
1149	491.0	497.0
1147	1780.0	1097.0
1146	2.0	0.0
1145	103.0	26.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	1.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	243.0	730.0
1163	960.0	1262.0
285659	0.0	0.0
1161	414.0	388.0
1160	84.0	77.0
1159	109.0	146.0
1158	2.0	3.0
1157	0.0	0.0
1155	2620.0	1963.0
550643	1623.0	2394.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2874.0	866.0
1175	2672.0	1265.0
285668	11.0	2.0
1174	1882.0	2108.0
1173	17026.0	12696.0
550631	210.0	40.0
100873489	0.0	0.0
283014	3.0	1.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	28.0	12.0
1186	3346.0	1459.0
1185	1224.0	702.0
1184	374.0	271.0
1183	487.0	123.0
1182	6023.0	6582.0
1181	269.0	279.0
440375	29.0	13.0
1180	50.0	10.0
1179	0.0	0.0
1178	0.0	3.0
283089	2.0	7.0
85495	0.0	0.0
85480	103.0	14.0
283080	0.0	0.0
1198	2381.0	1762.0
1197	1.0	0.0
1196	1316.0	2085.0
1195	1903.0	2154.0
440366	1.0	1.0
1193	1739.0	732.0
1192	18734.0	13893.0
1191	79318.0	6779.0
1188	44.0	6.0
283078	252.0	56.0
85486	10.0	2.0
128615	0.0	0.0
85481	6.0	0.0
128611	59.0	30.0
440396	21.0	13.0
128609	0.0	0.0
128602	9.0	13.0
440387	0.0	0.0
128674	0.0	1.0
128676	1.0	1.0
114026	0.0	0.0
100861402	5.0	3.0
126014	162.0	86.0
440335	1014.0	1642.0
100128690	0.0	0.0
114034	1004.0	439.0
126006	47.0	32.0
114036	27.0	25.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	30.0	36.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	185.0	149.0
440356	0.0	2.0
440354	68.0	26.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	2.0	0.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	12.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	12.0	6.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	81.0	69.0
200734	4698.0	2635.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	8.0	10.0
100873402	0.0	0.0
100873401	0.0	2.0
100873400	0.0	1.0
100128665	0.0	0.0
128637	3704.0	3029.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	1.0
645443	7.0	6.0
165530	83.0	25.0
85409	320.0	80.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	13.0
106481383	0.0	0.0
85417	35.0	55.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	351.0	453.0
106481389	0.0	0.0
85415	3047.0	2015.0
106481387	1.0	0.0
85413	4.0	0.0
106481388	0.0	10.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	29.0	5.0
106481380	0.0	0.0
11	0.0	0.0
403341	514.0	462.0
12	2177.0	8.0
13	72.0	69.0
14	7324.0	4646.0
15	0.0	0.0
16	8362.0	3351.0
645455	2.0	4.0
18	2191.0	489.0
19	2706.0	1508.0
128580	10.0	12.0
85407	91.0	57.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1573.0	982.0
106481395	0.0	0.0
85403	1539.0	1452.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4002.0	2327.0
106481390	0.0	0.0
21	4044.0	1349.0
106481391	0.0	0.0
22	1519.0	996.0
153571	461.0	32.0
153572	3917.0	102.0
23	5310.0	3257.0
24	297.0	385.0
25	10510.0	3554.0
26	12.0	5.0
27	4415.0	3404.0
28	1134.0	944.0
29	7668.0	4079.0
153579	2453.0	2029.0
728615	0.0	0.0
728614	0.0	0.0
200765	188.0	146.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	18.0	6.0
102466518	0.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	6.0	1.0
106481361	0.0	0.0
85439	698.0	2012.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	2443.0	4196.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	112.0	81.0
106481366	0.0	0.0
30	2966.0	2951.0
106481360	0.0	0.0
31	4441.0	3419.0
32	4106.0	2337.0
33	108.0	64.0
34	2891.0	2346.0
35	1928.0	738.0
153562	1251.0	1646.0
36	6896.0	4343.0
37	20106.0	7828.0
38	3685.0	1515.0
440307	9.0	8.0
39	896.0	635.0
165545	3.0	72.0
106481369	0.0	0.0
728606	100.0	12.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	31.0	4.0
106481370	0.0	0.0
41	357.0	123.0
106481371	0.0	0.0
43	74.0	25.0
645486	0.0	0.0
47	11410.0	8786.0
48	3548.0	2831.0
49	15.0	22.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	4.0	1.0
106481340	0.0	0.0
85458	4392.0	1375.0
106481345	0.0	0.0
85459	487.0	413.0
106481346	0.0	0.0
