id	9570c964-8d26-4280-97b7-43ebc45a3b58	5bc7e90d-0fa4-4bde-bee8-4f9b92de03a2
106481467	0.0	0.0
106481464	0.0	0.0
106481465	1.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	2.0	0.0
403260	0.0	0.0
106481473	1.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	3155.0	89.0
106481472	0.0	0.0
106481477	0.0	2.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	586.0	136.0
106481470	3.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	701.0	1012.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	1.0
106481437	0.0	0.0
26974	193.0	272.0
153657	52.0	43.0
106481438	12.0	3.0
106481435	0.0	0.0
26973	1249.0	5483.0
165631	91.0	47.0
106481436	0.0	0.0
26978	9.0	14.0
126075	736.0	1091.0
106481439	0.0	0.0
403250	0.0	0.0
126074	176.0	122.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1433.0	1572.0
106481444	6.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	5083.0	1054.0
85354	0.0	0.0
85352	37.0	11.0
403241	1.0	0.0
344462	1.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	485.0	542.0
153643	8.0	2.0
403247	0.0	0.0
403248	0.0	0.0
26985	3621.0	7783.0
106481448	0.0	0.0
26986	42422.0	201055.0
126069	131.0	131.0
106481449	0.0	0.0
126068	584.0	576.0
106481446	0.0	0.0
26983	0.0	0.0
26984	756.0	913.0
106481447	0.0	0.0
106481451	3.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	294.0	258.0
106481455	0.0	0.0
85349	107.0	21.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	1.0	10.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	10.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	6.0	2.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	2.0	3.0
100873392	4.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1934.0	2644.0
100873390	0.0	0.0
728556	36.0	68.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	91.0	190.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	344.0	546.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	5.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	224.0	485.0
100873384	0.0	0.0
285601	9.0	7.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	0.0	2.0
63910	165.0	1658.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	579.0	810.0
222008	4.0	8955.0
106481428	0.0	1.0
106481429	2.0	0.0
63905	2621.0	5229.0
63904	0.0	0.0
106481430	0.0	0.0
163071	38.0	25.0
63906	746.0	1116.0
106481433	0.0	0.0
63908	681.0	3417.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	1.0
285613	41.0	488.0
63920	362.0	725.0
63923	1282.0	72.0
63922	420.0	1727.0
728577	322.0	19.0
63925	1765.0	2533.0
63924	17742.0	444.0
63916	2538.0	5384.0
63917	3099.0	2605.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	0.0
728564	1.0	6.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1488.0	2673.0
106481402	0.0	0.0
63931	1829.0	2934.0
106481403	0.0	1.0
63934	500.0	33.0
728567	4.0	3.0
106481408	0.0	0.0
163088	8.0	6.0
63933	2376.0	5490.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2847.0	4340.0
163087	755.0	794.0
728568	249.0	870.0
106481407	3.0	2.0
3704	1147.0	2783.0
3705	9405.0	17280.0
63926	742.0	2049.0
3706	12.0	5.0
63929	1072.0	1331.0
3707	4040.0	1533.0
63928	0.0	0.0
3708	7450.0	4324.0
106481411	0.0	0.0
3709	8244.0	20343.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	30.0	3.0
3702	80.0	103.0
3703	7965.0	10054.0
645506	0.0	2.0
151050	1041.0	583.0
645520	0.0	0.0
63941	1027.0	11429.0
63940	690.0	518.0
63943	329.0	1092.0
728517	0.0	0.0
163033	283.0	688.0
258010	1370.0	2230.0
63947	0.0	0.0
63946	2.0	85.0
728513	0.0	0.0
100033803	0.0	0.0
3716	17253.0	9312.0
100033804	0.0	0.0
3717	1507.0	474.0
100033805	0.0	0.0
3718	464.0	208.0
63939	690.0	4260.0
100033806	0.0	0.0
100190799	8.0	2.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	99.0	40.0
3710	3054.0	6275.0
3712	4626.0	8119.0
3713	0.0	0.0
3714	2939.0	2864.0
63950	0.0	1.0
728505	0.0	0.0
63951	109.0	2.0
100033807	0.0	0.0
728501	21.0	14.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	22125.0	4449.0
100033814	0.0	0.0
3727	15996.0	7166.0
63948	0.0	0.0
100033815	0.0	0.0
222052	3.0	0.0
3728	14967.0	41569.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1508.0	5061.0
151056	380.0	73.0
3725	44274.0	16211.0
645528	4.0	1.0
728532	21.0	24.0
163059	341.0	228.0
728538	0.0	1.0
728537	172.0	74.0
63967	55.0	1161.0
3737	32.0	0.0
3738	33.0	19.0
3739	45.0	1.0
645538	0.0	0.0
3730	1491.0	2619.0
3732	3643.0	1706.0
3734	0.0	0.0
3735	5862.0	6256.0
3736	152.0	0.0
63970	217.0	6.0
3750	266.0	73.0
63971	6437.0	10517.0
63974	0.0	0.0
163049	2095.0	1885.0
63973	101.0	0.0
63976	159.0	164.0
222068	4717.0	17781.0
63978	0.0	0.0
63977	568.0	1083.0
63979	625.0	1648.0
728524	0.0	0.0
3748	383.0	20.0
163051	18.0	13.0
3749	1420.0	539.0
163050	69.0	74.0
3741	60.0	16.0
645548	9.0	34.0
3743	5.0	0.0
3744	0.0	0.0
3745	1688.0	1146.0
3746	33.0	96.0
3747	331.0	257.0
285671	756.0	234.0
285672	1532.0	2770.0
100873431	0.0	0.0
100873430	2.0	0.0
3760	209.0	106052.0
285676	124.0	13.0
3761	0.0	0.0
100128657	1.0	0.0
285679	3.0	4.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	577.0	197.0
283008	0.0	0.0
3751	919.0	59.0
100873435	0.0	0.0
3752	2361.0	1640.0
100873434	0.0	0.0
3753	75.0	3.0
100873433	0.0	0.0
3754	63.0	303.0
100873432	0.0	0.0
3755	76.0	3.0
100873439	0.0	0.0
3756	20.0	73.0
100873438	0.0	0.0
3757	60.0	1358.0
100873437	0.0	0.0
3758	8.0	3.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	83.0	20.0
3772	125.0	23.0
100861458	0.0	0.0
100861453	17.0	6.0
100861455	0.0	0.0
1107	9621.0	15361.0
1106	6361.0	6326.0
1105	3510.0	7837.0
1104	1259.0	4633.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1550.0	338.0
1101	892.0	1620.0
3762	513.0	208.0
100873424	0.0	0.0
3763	4.0	0.0
100128640	129.0	37.0
100873423	0.0	0.0
3764	1282.0	440.0
100873422	0.0	0.0
3765	2.0	3.0
100873421	4.0	1.0
3766	11.0	31.0
100873428	0.0	0.0
3767	356.0	1295.0
100873427	0.0	0.0
3768	277.0	12.0
1109	5.0	5.0
100873426	1.0	1.0
1108	12197.0	28275.0
3769	21.0	2.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	25.0	7.0
100873453	0.0	0.0
3781	23.0	315.0
100873452	0.0	0.0
3782	314.0	404.0
100873451	0.0	0.0
3783	1089.0	931.0
100873450	0.0	0.0
1121	1475.0	2568.0
100861468	0.0	0.0
1120	193.0	98.0
100861469	0.0	0.0
1118	444.0	54.0
1117	881.0	22.0
1116	4182.0	242.0
1114	336.0	32443.0
1113	69.0	75.0
1112	7465.0	1747.0
1111	249.0	898.0
3773	629.0	3.0
100873457	0.0	3.0
100873456	0.0	0.0
3775	335.0	2408.0
100873455	0.0	0.0
3776	963.0	46.0
100873454	0.0	0.0
3777	480.0	13013.0
3778	1572.0	2157.0
3779	2077.0	62.0
100873459	0.0	0.0
1119	1636.0	3634.0
100128627	6.0	0.0
100128626	0.0	0.0
3790	657.0	2591.0
100128628	6.0	15.0
3791	5679.0	2608.0
100873442	0.0	0.0
3792	93.0	20.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	20.0	8.0
1131	147.0	49.0
1130	3476.0	3524.0
100861476	0.0	0.0
1129	5.0	0.0
1128	234.0	1.0
1124	337.0	227.0
1123	712.0	1097.0
1122	946.0	3040.0
100861470	0.0	0.0
3784	935.0	625.0
100873446	0.0	0.0
3785	6.0	2.0
100873445	0.0	0.0
3786	187.0	83.0
100873444	0.0	0.0
3787	223.0	4.0
100873443	0.0	0.0
3788	20.0	11.0
100873449	4.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	99.0	29.0
100128618	0.0	2.0
728597	0.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	64.0	20.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	7.0
285634	9.0	3.0
1142	0.0	0.0
1141	67.0	4353.0
285636	1945.0	5376.0
1140	564.0	216.0
728599	3.0	6.0
1139	25.0	2.0
1138	35.0	348.0
1137	0.0	0.0
100861485	0.0	0.0
1136	6.0	6.0
1135	6.0	0.0
1134	12.0	30.0
1133	11.0	8.0
3795	288.0	430.0
100873479	5.0	1.0
3796	1256.0	3613.0
100873478	0.0	0.0
3797	1225.0	834.0
100873477	1.0	2.0
3798	143.0	357.0
100873476	0.0	0.0
3799	14634.0	23098.0
100873460	0.0	0.0
728586	16.0	31.0
285641	0.0	0.0
100873464	5.0	5.0
100873463	0.0	0.0
100873462	5.0	2.0
285643	0.0	6.0
100128603	0.0	0.0
100873461	1.0	0.0
1154	1148.0	2026.0
1153	13810.0	9616.0
1152	1716.0	105.0
285647	16.0	66.0
728589	17.0	42.0
728588	9.0	0.0
1149	2625.0	96.0
1147	1649.0	3822.0
1146	1.0	5.0
1145	44.0	7.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	1.0	0.0
100873494	0.0	0.0
1164	199.0	2808.0
1163	836.0	4324.0
285659	1.0	0.0
1161	398.0	659.0
1160	455.0	75.0
1159	116.0	363.0
1158	3.0	7.0
1157	0.0	0.0
1155	1580.0	5248.0
550643	953.0	2208.0
283025	0.0	2.0
100873499	0.0	3.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	1.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2472.0	5674.0
1175	2315.0	3783.0
285668	29.0	23.0
1174	1189.0	3306.0
1173	15212.0	13766.0
550631	211.0	223.0
100873489	0.0	0.0
283014	11.0	9.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	70.0	14.0
1186	3265.0	10203.0
1185	1508.0	1179.0
1184	362.0	616.0
1183	570.0	140.0
1182	5877.0	11475.0
1181	253.0	379.0
440375	44.0	7.0
1180	30.0	11.0
1179	0.0	0.0
1178	1.0	0.0
283089	13.0	0.0
85495	0.0	0.0
85480	144.0	8.0
283080	0.0	0.0
1198	2738.0	2787.0
1197	1.0	1.0
1196	1747.0	3852.0
1195	6119.0	5978.0
440366	2.0	13.0
1193	1571.0	381.0
1192	12123.0	17887.0
1191	69331.0	60267.0
1188	46.0	1.0
283078	125.0	300.0
85486	2.0	2.0
128615	0.0	0.0
85481	1.0	0.0
128611	34.0	15.0
440396	46.0	72.0
128609	0.0	0.0
128602	4.0	0.0
440387	0.0	0.0
128674	0.0	280.0
128676	1.0	0.0
114026	0.0	0.0
100861402	0.0	3.0
126014	109.0	114.0
440335	509.0	6044.0
100128690	0.0	0.0
114034	666.0	772.0
126006	89.0	94.0
114036	54.0	6.0
100128696	0.0	0.0
100128688	1.0	0.0
126003	35.0	15.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	1.0	0.0
200728	191.0	221.0
440356	5.0	588.0
440354	53.0	88.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	4.0	18.0
100873410	0.0	0.0
100873417	4.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	118.0	98.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	96.0	145.0
200734	3210.0	4675.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	5.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	14.0	10.0
100873402	0.0	0.0
100873401	1.0	1.0
100873400	0.0	0.0
100128665	0.0	1.0
128637	3791.0	3884.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	0.0
165530	90.0	9.0
85409	165.0	224.0
106481385	2.0	0.0
106481386	0.0	0.0
85416	0.0	49.0
106481383	0.0	3.0
85417	56.0	46.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	300.0	160.0
106481389	0.0	0.0
85415	1517.0	3004.0
106481387	0.0	0.0
85413	8.0	4.0
106481388	2.0	5.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	4.0	29.0
106481380	0.0	0.0
11	0.0	4.0
403341	909.0	1032.0
12	139.0	186.0
13	1049.0	0.0
14	5453.0	8201.0
15	3.0	0.0
16	7554.0	12753.0
645455	12.0	18.0
18	1803.0	275.0
19	7602.0	3169.0
128580	12.0	5.0
85407	133.0	32.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1389.0	3440.0
106481395	0.0	1.0
85403	1456.0	4956.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	2.0	0.0
106481393	0.0	0.0
20	4947.0	10195.0
106481390	0.0	0.0
21	2615.0	29181.0
106481391	0.0	0.0
22	1150.0	1312.0
153571	401.0	1030.0
153572	2791.0	5221.0
23	4005.0	13219.0
24	247.0	145.0
25	8528.0	7270.0
26	11.0	447.0
27	3042.0	6631.0
28	272.0	29.0
29	5704.0	4054.0
153579	6775.0	216.0
728615	3.0	0.0
728614	0.0	0.0
200765	178.0	298.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	27.0	5.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	1.0
85439	824.0	859.0
106481362	1.0	0.0
106481367	0.0	2.0
85437	2092.0	4469.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	210.0	232.0
106481366	0.0	0.0
30	3243.0	2320.0
106481360	0.0	0.0
31	5512.0	27833.0
32	17350.0	1372.0
33	553.0	16.0
34	3361.0	3704.0
35	2984.0	907.0
153562	1059.0	5922.0
36	5763.0	19854.0
37	21200.0	7530.0
38	5365.0	2803.0
440307	12.0	2.0
39	737.0	1243.0
165545	4.0	29.0
106481369	0.0	0.0
728606	97.0	3.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	2.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	1.0
40	19.0	3.0
106481370	0.0	0.0
41	302.0	350.0
106481371	0.0	0.0
43	58.0	32.0
645486	0.0	1.0
47	8298.0	34713.0
48	13550.0	1177.0
49	33.0	5.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	4.0	3.0
106481340	0.0	0.0
85458	4868.0	1079.0
