id	d5f0ea64-6660-49ac-a37e-3cd747045147	f01c01c8-97d9-4ba6-98cd-4ac9ac85ed82
1085	0.0	16.0
1084	5.0	3.0
440278	60.0	272.0
1082	0.0	0.0
403294	0.0	0.0
440275	2246.0	3885.0
1081	0.0	27.0
85397	7.0	25.0
85395	272.0	313.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	1.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	1.0
403283	0.0	0.0
403284	1.0	0.0
1092	0.0	0.0
440270	42.0	252.0
1089	8.0	24.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	3.0	0.0
285598	675.0	457.0
126133	350.0	1099.0
128790	0.0	0.0
126129	61.0	180.0
126123	0.0	1.0
442862	0.0	0.0
126119	412.0	650.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	6.0
442896	0.0	0.0
114132	10.0	43.0
442897	0.0	0.0
442898	1.0	1.0
114134	212.0	1264.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	3.0
100128788	27.0	64.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	2.0
442890	38.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	0.0
100128782	244.0	315.0
100128781	0.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	0.0	1.0
102466616	0.0	0.0
126052	0.0	0.0
151009	5.0	29.0
403227	0.0	0.0
403228	0.0	0.0
138046	7.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	1.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	13.0	1113.0
107131122	0.0	0.0
138050	1958.0	9665.0
403219	0.0	1.0
151011	2629.0	2356.0
645587	2.0	3.0
165679	6.0	6856.0
126037	12.0	156.0
114049	3776.0	5838.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	2.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	153.0	759.0
100033821	1.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	727.0	1862.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	147.0	46.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	0.0	43.0
645598	0.0	1.0
163007	0.0	4.0
114038	1.0	1.0
645591	0.0	0.0
106481495	0.0	0.0
114041	1.0	41.0
106481496	0.0	0.0
114042	0.0	5.0
106481493	0.0	0.0
114043	5.0	21.0
106481494	0.0	0.0
106481499	0.0	1.0
114044	77.0	301.0
126017	84.0	702.0
106481497	0.0	2.0
106481498	0.0	1.0
85303	0.0	0.0
85300	20.0	2.0
85301	175.0	735.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	1.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	97.0	4184.0
106481459	0.0	0.0
26994	10611.0	5387.0
106481457	2.0	2.0
26995	1800.0	4174.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	1.0
102466659	0.0	0.0
26999	683.0	6848.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1413.0	2305.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	2.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	1.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	14.0	3.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	17.0	99.0
106481470	2.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	219.0	2440.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	1.0
106481437	0.0	0.0
26974	149.0	164.0
153657	3.0	156.0
106481438	0.0	4.0
106481435	0.0	0.0
26973	1103.0	1043.0
165631	362.0	134.0
106481436	0.0	0.0
26978	5.0	13.0
126075	94.0	999.0
106481439	0.0	0.0
403250	0.0	0.0
126074	88.0	219.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1354.0	1528.0
106481444	0.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1463.0	2333.0
85354	0.0	0.0
85352	14.0	352.0
403241	0.0	1.0
344462	0.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	212.0	368.0
153643	3.0	97.0
403247	0.0	0.0
403248	0.0	0.0
26985	1743.0	3443.0
106481448	0.0	0.0
26986	6909.0	132537.0
126069	110.0	147.0
106481449	0.0	0.0
126068	215.0	933.0
106481446	0.0	0.0
26983	0.0	0.0
26984	437.0	1061.0
106481447	0.0	0.0
106481451	0.0	3.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	75.0	107.0
106481455	0.0	1.0
85349	0.0	43.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	1.0	6.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	78.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	0.0	6.0
100873392	0.0	7.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	380.0	4330.0
100873390	0.0	0.0
728556	69.0	54.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	128.0	77.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	126.0	400.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	6.0	10.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	101.0	261.0
100873384	0.0	0.0
285601	13.0	8.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	0.0	2.0
63910	14.0	310.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1146.0	1070.0
222008	0.0	2.0
106481428	0.0	2.0
106481429	0.0	0.0
63905	690.0	3699.0
63904	0.0	0.0
106481430	0.0	0.0
163071	12.0	24.0
63906	854.0	696.0
106481433	0.0	0.0
63908	350.0	926.0
106481434	0.0	0.0
106481431	0.0	1.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	9.0	252.0
63920	146.0	531.0
63923	33.0	2507.0
63922	63.0	501.0
728577	90.0	32.0
63925	1126.0	1961.0
63924	84.0	2.0
63916	2695.0	5469.0
63917	2092.0	4813.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	0.0
728564	2.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1040.0	2110.0
106481402	0.0	0.0
63931	1086.0	2331.0
106481403	0.0	0.0
63934	80.0	131.0
728567	1.0	3.0
106481408	0.0	0.0
163088	1.0	10.0
63933	1524.0	3643.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3324.0	3921.0
163087	622.0	731.0
728568	976.0	303.0
106481407	3.0	3.0
3704	694.0	1574.0
3705	2019.0	7056.0
63926	124.0	1377.0
3706	5.0	5.0
63929	1167.0	1283.0
3707	2024.0	7452.0
63928	2.0	0.0
3708	1159.0	9086.0
106481411	0.0	1.0
3709	1066.0	13471.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	168.0	20.0
3702	54.0	246.0
3703	2298.0	13977.0
645506	3.0	0.0
151050	1267.0	1381.0
645520	0.0	0.0
63941	3062.0	2076.0
63940	152.0	2168.0
63943	149.0	348.0
728517	0.0	0.0
163033	685.0	372.0
258010	854.0	2029.0
63947	0.0	0.0
63946	1.0	0.0
728513	0.0	1.0
100033803	0.0	0.0
3716	12482.0	14296.0
100033804	0.0	0.0
3717	2832.0	1410.0
100033805	0.0	0.0
3718	31.0	629.0
63939	4169.0	1659.0
100033806	0.0	0.0
100190799	8.0	6.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	74.0	49.0
3710	499.0	1964.0
3712	8143.0	7489.0
3713	0.0	6.0
3714	1246.0	2756.0
63950	0.0	0.0
728505	1.0	1.0
63951	286.0	22.0
100033807	0.0	0.0
728501	11.0	18.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	32435.0	15054.0
100033814	0.0	0.0
3727	8663.0	14591.0
63948	0.0	0.0
100033815	0.0	0.0
222052	10.0	0.0
3728	6561.0	19975.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1504.0	2324.0
151056	191.0	477.0
3725	41903.0	8179.0
645528	0.0	1.0
728532	10.0	53.0
163059	212.0	597.0
728538	0.0	0.0
728537	43.0	129.0
63967	21.0	85.0
3737	65.0	1.0
3738	10.0	85.0
3739	9.0	1.0
645538	0.0	0.0
3730	2114.0	5198.0
3732	1173.0	5819.0
3734	1.0	0.0
3735	12063.0	6616.0
3736	14.0	61.0
63970	1.0	44.0
3750	57.0	247.0
63971	17272.0	3475.0
63974	0.0	0.0
163049	1251.0	3292.0
63973	1.0	0.0
63976	88.0	96.0
222068	5188.0	10441.0
63978	0.0	2.0
63977	495.0	496.0
63979	628.0	367.0
728524	0.0	0.0
3748	52.0	191.0
163051	7.0	40.0
3749	541.0	567.0
163050	21.0	95.0
3741	158.0	25.0
645548	21.0	20.0
3743	6247.0	2.0
3744	1.0	0.0
3745	1264.0	83.0
3746	39.0	90.0
3747	7.0	0.0
285671	315.0	405.0
285672	1103.0	2009.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	100.0	2682.0
285676	11.0	52.0
3761	0.0	0.0
100128657	0.0	0.0
285679	0.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	2951.0	313.0
283008	0.0	0.0
3751	152.0	638.0
100873435	0.0	0.0
3752	833.0	4086.0
100873434	0.0	0.0
3753	4.0	3.0
100873433	0.0	0.0
3754	1.0	25.0
100873432	0.0	0.0
3755	3.0	7.0
100873439	0.0	0.0
3756	4.0	222.0
100873438	0.0	0.0
3757	13.0	87.0
100873437	0.0	0.0
3758	2.0	11.0
100873436	0.0	0.0
100873420	0.0	1.0
3770	136.0	58.0
3772	22.0	126.0
100861458	0.0	0.0
100861453	3.0	17.0
100861455	0.0	0.0
1107	1624.0	18436.0
1106	6121.0	9518.0
1105	1622.0	3616.0
1104	482.0	3694.0
100873429	0.0	0.0
1103	0.0	0.0
1102	786.0	1614.0
1101	467.0	55.0
3762	32.0	935.0
100873424	0.0	0.0
3763	2.0	27.0
100128640	696.0	109.0
100873423	0.0	0.0
3764	709.0	927.0
100873422	0.0	0.0
3765	0.0	4.0
100873421	1.0	1.0
3766	3.0	25.0
100873428	0.0	0.0
3767	4376.0	1899.0
100873427	0.0	0.0
3768	7688.0	75.0
1109	0.0	14.0
100873426	0.0	2.0
1108	9269.0	20687.0
3769	3.0	12.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	0.0	29.0
100873453	0.0	0.0
3781	390.0	65.0
100873452	0.0	1.0
3782	2675.0	829.0
100873451	0.0	0.0
3783	9.0	484.0
100873450	0.0	0.0
1121	1874.0	2444.0
100861468	0.0	0.0
1120	45.0	146.0
100861469	0.0	1.0
1118	6.0	49.0
1117	12.0	86.0
1116	166.0	11241.0
1114	44.0	18.0
1113	2.0	5.0
1112	13369.0	4683.0
1111	88.0	200.0
3773	29.0	7.0
100873457	1.0	2.0
100873456	0.0	0.0
3775	18.0	4140.0
100873455	0.0	0.0
3776	24.0	40.0
100873454	0.0	0.0
3777	16.0	454.0
3778	4092.0	2222.0
3779	53.0	269.0
100873459	0.0	0.0
1119	209.0	1931.0
100128627	1.0	2.0
100128626	0.0	0.0
3790	4816.0	1099.0
100128628	2.0	1.0
3791	2578.0	7551.0
100873442	0.0	0.0
3792	8.0	996.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	34.0
1131	15.0	263.0
1130	1137.0	2400.0
100861476	0.0	0.0
1129	0.0	3.0
1128	1.0	134.0
1124	161.0	2025.0
1123	175.0	1510.0
1122	858.0	1799.0
100861470	0.0	0.0
3784	113.0	1212.0
100873446	0.0	0.0
3785	2.0	2.0
100873445	0.0	0.0
3786	37.0	914.0
100873444	0.0	0.0
3787	0.0	11.0
100873443	0.0	0.0
3788	1.0	42.0
100873449	1.0	5.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	20.0	164.0
100128618	0.0	0.0
728597	1.0	0.0
100128617	16.0	5.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	46.0	4.0
100873473	0.0	0.0
100873472	1.0	0.0
1143	2.0	55.0
285634	1.0	3.0
1142	4.0	0.0
1141	3.0	12.0
285636	901.0	3690.0
1140	8068.0	819.0
728599	0.0	0.0
1139	13.0	5.0
1138	85.0	24.0
1137	1.0	16.0
100861485	0.0	0.0
1136	6.0	10.0
1135	3.0	19.0
1134	4241.0	43.0
1133	2.0	35.0
3795	208.0	168.0
100873479	0.0	2.0
3796	679.0	1804.0
100873478	0.0	0.0
3797	291.0	1214.0
100873477	1.0	1.0
3798	0.0	1322.0
100873476	0.0	0.0
3799	16399.0	13926.0
100873460	0.0	0.0
728586	26.0	20.0
285641	2.0	2.0
100873464	0.0	4.0
100873463	0.0	2.0
100873462	2.0	1.0
285643	3.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	541.0	5750.0
1153	8550.0	18104.0
1152	783.0	2488.0
285647	12.0	11.0
728589	3.0	111.0
728588	0.0	6.0
1149	16.0	0.0
1147	1268.0	2932.0
1146	1335.0	2.0
1145	20.0	56.0
1144	3393.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	152.0	329.0
1163	177.0	455.0
285659	0.0	0.0
1161	307.0	456.0
1160	48873.0	68.0
1159	0.0	220.0
1158	1607874.0	6.0
1157	0.0	0.0
1155	1821.0	2608.0
550643	434.0	2335.0
283025	0.0	0.0
100873499	0.0	3.0
100873498	0.0	1.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1115.0	3944.0
1175	2335.0	3285.0
285668	0.0	10.0
1174	277.0	2888.0
1173	8286.0	24743.0
550631	23.0	193.0
100873489	0.0	0.0
283014	3.0	6.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	11.0	72.0
1186	1458.0	6837.0
1185	1087.0	1367.0
1184	931.0	1464.0
1183	7473.0	346.0
1182	4392.0	9554.0
1181	83.0	555.0
440375	7.0	28.0
1180	3368.0	178.0
1179	1.0	0.0
1178	2.0	1.0
283089	2.0	3.0
85495	0.0	0.0
85480	155.0	5.0
283080	1.0	182.0
1198	1703.0	2378.0
1197	0.0	1.0
1196	625.0	2209.0
1195	2458.0	5149.0
440366	2.0	2.0
1193	666.0	848.0
1192	2460.0	16215.0
1191	5322.0	478492.0
1188	4.0	12.0
283078	18.0	200.0
85486	3.0	2.0
128615	0.0	0.0
85481	0.0	1.0
128611	22.0	47.0
440396	27.0	160.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	1.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	6.0
126014	13.0	479.0
440335	0.0	4829.0
100128690	0.0	0.0
114034	280.0	596.0
126006	0.0	129.0
114036	403.0	35.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	28.0	39.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	1.0
200728	94.0	181.0
440356	0.0	2.0
440354	31.0	85.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	1.0	6.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	19.0
100873410	0.0	0.0
100873417	3.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	14.0	113.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	48.0	239.0
200734	821.0	4142.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	3.0
100873408	0.0	0.0
100873407	2.0	0.0
100861430	2.0	1.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2494.0	8219.0
100873406	1.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	7.0	7.0
165530	2.0	9.0
85409	7.0	537.0
106481385	0.0	2.0
106481386	0.0	0.0
85416	0.0	449.0
106481383	0.0	4.0
85417	37.0	81.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	268.0	314.0
106481389	0.0	0.0
85415	32.0	8621.0
106481387	0.0	0.0
85413	0.0	1.0
106481388	0.0	3.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	3.0
106481380	0.0	0.0
11	0.0	0.0
403341	669.0	1305.0
12	15.0	102.0
13	0.0	2.0
14	3974.0	7153.0
15	0.0	9.0
16	7063.0	10886.0
645455	23.0	17.0
18	101.0	753.0
19	5394.0	3442.0
128580	2.0	4.0
85407	40.0	146.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	523.0	1562.0
106481395	0.0	2.0
85403	694.0	2239.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	2.0	1.0
106481393	0.0	0.0
20	2129.0	8140.0
106481390	0.0	0.0
21	1037.0	4729.0
106481391	0.0	0.0
22	2261.0	1144.0
153571	2.0	52.0
153572	8.0	165.0
23	7732.0	4910.0
24	35.0	630.0
25	3167.0	8832.0
26	3.0	57.0
27	1498.0	4726.0
28	57.0	220.0
29	3289.0	6313.0
153579	1231.0	722.0
728615	0.0	0.0
728614	0.0	0.0
200765	300.0	332.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	26.0	12.0
102466518	0.0	1.0
102466516	0.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	1.0
106481361	0.0	0.0
85439	1420.0	2097.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2590.0	2385.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	91.0	150.0
106481366	0.0	0.0
30	1923.0	2374.0
106481360	0.0	0.0
31	1855.0	3807.0
32	12077.0	974.0
33	957.0	6.0
34	24808.0	2543.0
35	7878.0	244.0
153562	9.0	3417.0
36	7508.0	9753.0
37	56737.0	13586.0
38	37966.0	3910.0
440307	4.0	22.0
39	276.0	695.0
165545	0.0	65.0
106481369	0.0	0.0
728606	0.0	6.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	1.0
40	0.0	6.0
106481370	0.0	0.0
41	69.0	120.0
106481371	0.0	0.0
43	9759.0	163.0
645486	0.0	0.0
47	2294.0	9193.0
48	3503.0	2332.0
49	17.0	12.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	11.0	17.0
106481340	0.0	0.0
85458	2598.0	4757.0
106481345	0.0	0.0
85459	542.0	1252.0
106481346	0.0	1.0
85456	2947.0	21926.0
