id	af504400-7f49-4561-a8e4-8b0b6ca3d02d	b3b6981a-b5db-481c-bc27-76a114856b03
104310351	3.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	1.0
106481474	0.0	0.0
106481471	1.0	0.0
85329	3716.0	27.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	37.0	4686.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	483.0	579.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	6.0	1.0
106481437	0.0	0.0
26974	217.0	334.0
153657	25.0	46.0
106481438	0.0	2.0
106481435	0.0	0.0
26973	949.0	1098.0
165631	93.0	32.0
106481436	0.0	0.0
26978	14.0	12.0
126075	461.0	535.0
106481439	0.0	0.0
403250	0.0	0.0
126074	154.0	208.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1057.0	2678.0
106481444	3.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4787.0	1179.0
85354	0.0	0.0
85352	46.0	74.0
403241	0.0	0.0
344462	2.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	442.0	591.0
153643	8.0	12.0
403247	0.0	0.0
403248	0.0	0.0
26985	3442.0	3806.0
106481448	0.0	0.0
26986	51838.0	86327.0
126069	119.0	137.0
106481449	0.0	0.0
126068	624.0	491.0
106481446	0.0	0.0
26983	0.0	0.0
26984	828.0	917.0
106481447	0.0	0.0
106481451	0.0	3.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	172.0	139.0
106481455	1.0	0.0
85349	98.0	11.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	3.0	7.0
106481454	0.0	1.0
403238	0.0	0.0
85344	0.0	8.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	15.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	4.0
100873392	7.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1953.0	1696.0
100873390	1.0	0.0
728556	38.0	61.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	97.0	123.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	373.0	362.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	109.0	259.0
100873384	0.0	0.0
285601	24.0	5.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	1.0	0.0
63910	216.0	708.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	515.0	860.0
222008	0.0	184.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	2984.0	3353.0
63904	0.0	1.0
106481430	0.0	0.0
163071	37.0	21.0
63906	660.0	448.0
106481433	0.0	0.0
63908	737.0	430.0
106481434	0.0	0.0
106481431	0.0	2.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	4.0	2.0
285613	25.0	84.0
63920	342.0	291.0
63923	2300.0	998.0
63922	233.0	585.0
728577	309.0	9.0
63925	1448.0	3156.0
63924	19192.0	2.0
63916	2927.0	11259.0
63917	3217.0	2433.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	6.0	5.0
728564	2.0	7.0
285622	0.0	2.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1400.0	1240.0
106481402	0.0	0.0
63931	1573.0	2291.0
106481403	1.0	0.0
63934	538.0	545.0
728567	5.0	3.0
106481408	0.0	0.0
163088	11.0	5.0
63933	2118.0	1939.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2688.0	5885.0
163087	588.0	517.0
728568	267.0	459.0
106481407	11.0	4.0
3704	1049.0	1361.0
3705	10833.0	6916.0
63926	490.0	1279.0
3706	6.0	770.0
63929	1064.0	3162.0
3707	4654.0	1742.0
63928	1.0	1.0
3708	6790.0	5029.0
106481411	0.0	0.0
3709	10211.0	3044.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	30.0	9.0
3702	140.0	43.0
3703	7147.0	15850.0
645506	2.0	0.0
151050	930.0	240.0
645520	0.0	0.0
63941	692.0	2765.0
63940	784.0	613.0
63943	258.0	507.0
728517	0.0	0.0
163033	298.0	296.0
258010	887.0	2427.0
63947	0.0	0.0
63946	1.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	16468.0	24034.0
100033804	0.0	0.0
3717	1100.0	433.0
100033805	0.0	0.0
3718	429.0	216.0
63939	808.0	1145.0
100033806	0.0	0.0
100190799	13.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	81.0	25.0
3710	3020.0	9127.0
3712	4376.0	12257.0
3713	0.0	1.0
3714	2750.0	1284.0
63950	0.0	0.0
728505	2.0	0.0
63951	157.0	1.0
100033807	0.0	0.0
728501	37.0	16.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	9427.0	4506.0
100033814	0.0	0.0
3727	10895.0	10788.0
63948	0.0	0.0
100033815	0.0	0.0
222052	7.0	1.0
3728	14325.0	54530.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1533.0	5830.0
151056	389.0	143.0
3725	37421.0	12980.0
645528	9.0	0.0
728532	28.0	19.0
163059	225.0	274.0
728538	0.0	2.0
728537	205.0	119.0
63967	31.0	1416.0
3737	157.0	0.0
3738	54.0	18.0
3739	20.0	0.0
645538	0.0	0.0
3730	1202.0	2151.0
3732	2741.0	1276.0
3734	0.0	0.0
3735	6616.0	7312.0
3736	128.0	11.0
63970	168.0	13.0
3750	289.0	158.0
63971	6649.0	6404.0
63974	0.0	0.0
163049	2147.0	1713.0
63973	48.0	0.0
63976	212.0	66.0
222068	4446.0	9327.0
63978	1.0	0.0
63977	537.0	600.0
63979	484.0	1340.0
728524	0.0	0.0
3748	470.0	348.0
163051	19.0	17.0
3749	2257.0	539.0
163050	58.0	54.0
3741	88.0	10.0
645548	6.0	11.0
3743	2.0	0.0
3744	1.0	0.0
3745	2720.0	16.0
3746	14.0	62.0
3747	274.0	0.0
285671	747.0	186.0
285672	1473.0	1511.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	45.0	22014.0
285676	75.0	11.0
3761	1.0	0.0
100128657	1.0	0.0
285679	0.0	5.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	754.0	146.0
283008	8.0	1.0
3751	701.0	240.0
100873435	0.0	0.0
3752	780.0	2573.0
100873434	0.0	0.0
3753	35.0	2.0
100873433	0.0	0.0
3754	53.0	330.0
100873432	0.0	0.0
3755	70.0	675.0
100873439	0.0	0.0
3756	18.0	2202.0
100873438	0.0	0.0
3757	105.0	83.0
100873437	0.0	0.0
3758	7.0	1.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	89.0	74.0
3772	115.0	29.0
100861458	0.0	0.0
100861453	15.0	13.0
100861455	0.0	0.0
1107	7384.0	9709.0
1106	6441.0	4663.0
1105	2999.0	4280.0
1104	1272.0	2380.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1556.0	451.0
1101	219.0	4138.0
3762	480.0	389.0
100873424	0.0	0.0
3763	2.0	1.0
100128640	223.0	65.0
100873423	0.0	0.0
3764	931.0	526.0
100873422	0.0	0.0
3765	4.0	1.0
100873421	0.0	0.0
3766	11.0	14.0
100873428	0.0	0.0
3767	168.0	1070.0
100873427	0.0	0.0
3768	220.0	30.0
1109	2.0	0.0
100873426	4.0	2.0
1108	11005.0	17544.0
3769	2.0	5.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	20.0	13.0
100873453	0.0	0.0
3781	40.0	44.0
100873452	0.0	0.0
3782	547.0	500.0
100873451	0.0	0.0
3783	2346.0	2424.0
100873450	0.0	0.0
1121	1408.0	1424.0
100861468	0.0	0.0
1120	236.0	115.0
100861469	0.0	0.0
1118	51.0	107.0
1117	914.0	628.0
1116	3949.0	1936.0
1114	20.0	4.0
1113	16.0	1.0
1112	8308.0	2101.0
1111	269.0	2099.0
3773	312.0	7.0
100873457	3.0	0.0
100873456	0.0	0.0
3775	248.0	1733.0
100873455	0.0	0.0
3776	1083.0	2878.0
100873454	0.0	0.0
3777	355.0	13.0
3778	1952.0	359.0
3779	1590.0	119.0
100873459	0.0	0.0
1119	2202.0	954.0
100128627	3.0	2.0
100128626	0.0	0.0
3790	715.0	2519.0
100128628	2.0	5.0
3791	4657.0	2889.0
100873442	0.0	0.0
3792	17.0	3.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	5.0
1131	213.0	75.0
1130	3144.0	1881.0
100861476	0.0	0.0
1129	2.0	0.0
1128	537.0	1.0
1124	242.0	178.0
1123	861.0	372.0
1122	784.0	8172.0
100861470	0.0	0.0
3784	699.0	419.0
100873446	0.0	0.0
3785	3.0	0.0
100873445	0.0	0.0
3786	342.0	206.0
100873444	0.0	0.0
3787	147.0	7.0
100873443	0.0	0.0
3788	16.0	1.0
100873449	2.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	173.0	38.0
100128618	0.0	0.0
728597	1.0	1.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	55.0	3.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	4.0
285634	4.0	2.0
1142	0.0	0.0
1141	51.0	42.0
285636	1778.0	2557.0
1140	606.0	405.0
728599	0.0	0.0
1139	21.0	2.0
1138	56.0	16.0
1137	0.0	0.0
100861485	0.0	1.0
1136	5.0	2.0
1135	0.0	0.0
1134	4.0	26.0
1133	8.0	15.0
3795	217.0	637.0
100873479	2.0	1.0
3796	1262.0	1639.0
100873478	0.0	0.0
3797	1113.0	1711.0
100873477	2.0	0.0
3798	121.0	20.0
100873476	0.0	0.0
3799	16064.0	9090.0
100873460	0.0	0.0
728586	27.0	8.0
285641	0.0	0.0
100873464	3.0	1.0
100873463	0.0	0.0
100873462	1.0	0.0
285643	0.0	5.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2487.0	2473.0
1153	15295.0	7340.0
1152	2549.0	307.0
285647	8.0	22.0
728589	17.0	10.0
728588	0.0	29.0
1149	3373.0	1.0
1147	1344.0	1559.0
1146	2.0	1.0
1145	40.0	9.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	189.0	1568.0
1163	890.0	1788.0
285659	0.0	0.0
1161	519.0	383.0
1160	577.0	50.0
1159	92.0	798.0
1158	3.0	7.0
1157	0.0	0.0
1155	1504.0	2327.0
550643	1023.0	1822.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	1.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2576.0	1182.0
1175	2413.0	5937.0
285668	53.0	10.0
1174	1001.0	3381.0
1173	14090.0	19194.0
550631	83.0	401.0
100873489	0.0	0.0
283014	7.0	3.0
100873488	0.0	0.0
100873487	1.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	48.0	5.0
1186	2345.0	3230.0
1185	1886.0	436.0
1184	438.0	439.0
1183	834.0	66.0
1182	5877.0	6082.0
1181	221.0	996.0
440375	29.0	19.0
1180	32.0	10.0
1179	0.0	0.0
1178	2.0	0.0
283089	10.0	5.0
85495	0.0	0.0
85480	201.0	12.0
283080	0.0	0.0
1198	2677.0	2121.0
1197	0.0	2.0
1196	1778.0	1805.0
1195	5805.0	1952.0
440366	3.0	0.0
1193	1391.0	443.0
1192	10290.0	20038.0
1191	50371.0	420210.0
1188	31.0	2.0
283078	130.0	11.0
85486	9.0	4.0
128615	0.0	0.0
85481	0.0	0.0
128611	89.0	5.0
440396	59.0	77.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	0.0
128674	1.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	0.0	5.0
126014	105.0	289.0
440335	398.0	3166.0
100128690	0.0	0.0
114034	587.0	1205.0
126006	22.0	60.0
114036	40.0	18.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	31.0	101.0
100861412	0.0	0.0
105180390	0.0	1.0
100128685	0.0	0.0
100128681	0.0	4.0
105180391	0.0	0.0
100128682	0.0	2.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	1.0
200728	201.0	164.0
440356	9.0	55.0
440354	81.0	22.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	6.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	11.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	141.0	49.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	164.0	85.0
200734	3629.0	3453.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	19.0	17.0
100873402	0.0	1.0
100873401	3.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3917.0	2744.0
100873406	0.0	0.0
100873405	0.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	7.0	5.0
165530	87.0	30.0
85409	220.0	142.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	2.0	3.0
106481383	11.0	1.0
85417	89.0	136.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	282.0	1817.0
106481389	0.0	0.0
85415	1501.0	1936.0
106481387	0.0	0.0
85413	16.0	1.0
106481388	1.0	8.0
645436	1.0	1.0
106481381	1.0	1.0
106481382	0.0	0.0
10	8.0	3.0
106481380	0.0	0.0
11	0.0	0.0
403341	988.0	438.0
12	185.0	806.0
13	492.0	0.0
14	4257.0	7168.0
15	5.0	2.0
16	8222.0	11818.0
645455	10.0	17.0
18	683.0	5030.0
19	4351.0	878.0
128580	7.0	8.0
85407	89.0	224.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	1.0	0.0
85406	1168.0	2244.0
106481395	0.0	0.0
85403	1253.0	4412.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4176.0	2614.0
106481390	0.0	0.0
21	3196.0	7328.0
106481391	0.0	0.0
22	1269.0	1574.0
153571	285.0	1598.0
153572	2029.0	3471.0
23	3367.0	5365.0
24	201.0	1892.0
25	7662.0	4468.0
26	27.0	19.0
27	2633.0	3228.0
28	401.0	37.0
29	5151.0	5665.0
153579	7116.0	69.0
728615	0.0	0.0
728614	0.0	0.0
200765	242.0	268.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	24.0	9.0
102466518	0.0	0.0
102466516	10.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	690.0	402.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2166.0	3798.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	134.0	166.0
106481366	0.0	0.0
30	2481.0	2874.0
106481360	2.0	0.0
31	7305.0	6559.0
32	22460.0	4602.0
33	872.0	2.0
34	3380.0	1515.0
35	2486.0	1054.0
153562	604.0	1926.0
36	2885.0	5713.0
37	19490.0	14222.0
38	4678.0	7663.0
440307	6.0	6.0
39	798.0	1900.0
165545	7.0	24.0
106481369	0.0	0.0
728606	11.0	2.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	12.0	18.0
106481370	0.0	0.0
41	433.0	185.0
106481371	0.0	0.0
43	100.0	8.0
645486	1.0	0.0
47	11386.0	15022.0
48	11081.0	6953.0
49	35.0	8.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	3.0	4.0
106481340	0.0	0.0
85458	4945.0	2002.0
106481345	0.0	0.0
85459	853.0	1191.0
106481346	0.0	0.0
