id	6b59b355-7581-426d-98c1-36e132a77c4e	b6a39fab-afc2-4498-bb4c-95adeb388c6f
85378	1583.0	3557.0
128745	0.0	0.0
85376	2.0	58.0
440248	493.0	344.0
1075	5850.0	1954.0
1074	6.0	22.0
1073	4351.0	782.0
1072	20587.0	31598.0
1071	188.0	49.0
440243	0.0	0.0
1070	588.0	1100.0
1069	2393.0	3646.0
1068	0.0	1.0
85369	1420.0	2386.0
85366	2.0	16.0
85364	992.0	1547.0
85365	1164.0	1212.0
85363	887.0	557.0
85360	1412.0	549.0
1080	34.0	56.0
85391	15.0	14.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	1.0
153733	477.0	670.0
1087	5.0	8.0
1086	0.0	0.0
440279	61.0	1.0
1085	11.0	3.0
1084	46.0	3.0
440278	112.0	87.0
1082	0.0	0.0
403294	0.0	0.0
440275	4757.0	2436.0
1081	0.0	1413.0
85397	2.0	3.0
85395	224.0	261.0
403285	0.0	0.0
1091	0.0	0.0
1090	4.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	6.0	1.0
440270	223.0	1025.0
1089	32.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	14.0	2.0
285598	398.0	441.0
126133	985.0	1103.0
128790	0.0	0.0
126129	115.0	84.0
126123	0.0	0.0
442862	0.0	0.0
126119	504.0	500.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	2.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	2.0
442895	1.0	1.0
114131	0.0	0.0
442896	0.0	1.0
114132	47.0	9.0
442897	0.0	0.0
442898	1.0	0.0
114134	412.0	658.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	6.0
100128788	25.0	96.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	1.0	1.0
100128782	63.0	85.0
100128781	1.0	1.0
403230	1.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	0.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	732.0	8.0
102466616	0.0	0.0
126052	0.0	0.0
151009	53.0	35.0
403227	0.0	0.0
403228	0.0	0.0
138046	2.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	9.0	8.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	46.0	1212.0
107131122	2.0	0.0
138050	7104.0	3562.0
403219	0.0	0.0
151011	4693.0	2638.0
645587	0.0	5.0
165679	18.0	159.0
126037	32.0	194.0
114049	2026.0	6287.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	439.0	259.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1404.0	2746.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	127.0	132.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	7.0	13.0
645598	0.0	0.0
163007	1.0	0.0
114038	0.0	1.0
645591	0.0	1.0
106481495	0.0	0.0
114041	6.0	52.0
106481496	0.0	0.0
114042	1.0	16.0
106481493	0.0	0.0
114043	30.0	18.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	131.0	322.0
126017	338.0	1081.0
106481497	0.0	0.0
106481498	0.0	1.0
85303	0.0	0.0
85300	0.0	5.0
85301	455.0	418.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	3.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	1.0
26996	256.0	2849.0
106481459	0.0	0.0
26994	8165.0	6154.0
106481457	3.0	19.0
26995	1448.0	1627.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	4.0
403272	0.0	0.0
102466659	0.0	0.0
26999	363.0	4089.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1429.0	4346.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	4067.0	80.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	20.0	199.0
106481470	0.0	0.0
403252	0.0	1.0
403253	0.0	0.0
403254	0.0	0.0
126070	386.0	1097.0
403255	0.0	2.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	2.0
106481437	0.0	0.0
26974	197.0	999.0
153657	5.0	82.0
106481438	0.0	19.0
106481435	0.0	0.0
26973	785.0	1717.0
165631	142.0	52.0
106481436	0.0	0.0
26978	23.0	27.0
126075	396.0	968.0
106481439	0.0	0.0
403250	0.0	0.0
126074	68.0	319.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	858.0	1924.0
106481444	1.0	8.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	1.0
85358	5144.0	2111.0
85354	0.0	0.0
85352	13.0	122.0
403241	0.0	4.0
344462	2.0	9.0
403244	0.0	0.0
403245	0.0	0.0
153642	278.0	182.0
153643	5.0	3.0
403247	0.0	0.0
403248	0.0	0.0
26985	3999.0	5599.0
106481448	0.0	0.0
26986	45912.0	167115.0
126069	92.0	109.0
106481449	0.0	0.0
126068	509.0	935.0
106481446	0.0	0.0
26983	1.0	0.0
26984	821.0	838.0
106481447	1.0	0.0
106481451	1.0	8.0
106481452	1.0	1.0
106481450	0.0	0.0
114088	65.0	93.0
106481455	0.0	0.0
85349	4.0	14.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	5.0	10.0
106481454	1.0	0.0
403238	0.0	0.0
85344	0.0	5.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	1.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	5.0
100873392	5.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	4.0
106481415	0.0	0.0
106481416	0.0	4.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1221.0	1762.0
100873390	0.0	0.0
728556	34.0	70.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	78.0	97.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	244.0	494.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	11.0	2.0
100873380	4.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	121.0	183.0
100873384	0.0	0.0
285601	14.0	9.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	2.0
63910	85.0	3584.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	395.0	798.0
222008	0.0	3.0
106481428	0.0	0.0
106481429	0.0	2.0
63905	2991.0	2500.0
63904	0.0	0.0
106481430	0.0	0.0
163071	42.0	17.0
63906	620.0	782.0
106481433	0.0	0.0
63908	438.0	1198.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	4.0	4.0
285613	10.0	172.0
63920	262.0	345.0
63923	959.0	117.0
63922	114.0	735.0
728577	126.0	5.0
63925	744.0	1683.0
63924	36166.0	373.0
63916	2213.0	4156.0
63917	2942.0	5611.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	1.0
728564	2.0	5.0
285622	0.0	2.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1213.0	1533.0
106481402	0.0	0.0
63931	1822.0	1578.0
106481403	0.0	2.0
63934	239.0	686.0
728567	10.0	7.0
106481408	0.0	0.0
163088	1.0	10.0
63933	2313.0	2653.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	1981.0	2371.0
163087	487.0	724.0
728568	219.0	521.0
106481407	6.0	2.0
3704	1125.0	1570.0
3705	15450.0	5110.0
63926	690.0	2738.0
3706	13.0	254.0
63929	987.0	1820.0
3707	4862.0	2550.0
63928	5.0	7.0
3708	2167.0	1251.0
106481411	0.0	0.0
3709	4657.0	4557.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	13.0	21.0
3702	165.0	56.0
3703	6164.0	14671.0
645506	1.0	0.0
151050	1013.0	1007.0
645520	0.0	0.0
63941	669.0	1834.0
63940	968.0	306.0
63943	202.0	206.0
728517	0.0	0.0
163033	156.0	336.0
258010	372.0	2101.0
63947	0.0	0.0
63946	2.0	0.0
728513	18.0	3.0
100033803	0.0	0.0
3716	22101.0	16973.0
100033804	0.0	0.0
3717	1781.0	558.0
100033805	0.0	0.0
3718	390.0	210.0
63939	667.0	5532.0
100033806	0.0	0.0
100190799	22.0	12.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	67.0	66.0
3710	1264.0	6895.0
3712	3219.0	4075.0
3713	5.0	72.0
3714	1157.0	2241.0
63950	1.0	4.0
728505	1.0	1.0
63951	268.0	121.0
100033807	0.0	0.0
728501	4.0	16.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	17026.0	2674.0
100033814	0.0	0.0
3727	10781.0	6666.0
63948	1.0	2.0
100033815	0.0	0.0
222052	0.0	1.0
3728	3890.0	44725.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	909.0	2462.0
151056	245.0	108.0
3725	34686.0	4613.0
645528	12.0	1.0
728532	34.0	58.0
163059	156.0	394.0
728538	0.0	0.0
728537	94.0	135.0
63967	40.0	195.0
3737	345.0	6.0
3738	19.0	20.0
3739	51.0	2.0
645538	0.0	0.0
3730	1272.0	937.0
3732	1701.0	1303.0
3734	1.0	1.0
3735	6455.0	8927.0
3736	91.0	8.0
63970	22.0	34.0
3750	120.0	116.0
63971	7969.0	5626.0
63974	0.0	0.0
163049	1806.0	2870.0
63973	3.0	0.0
63976	182.0	401.0
222068	3328.0	11182.0
63978	0.0	0.0
63977	339.0	780.0
63979	364.0	997.0
728524	0.0	0.0
3748	60.0	153.0
163051	6.0	72.0
3749	802.0	294.0
163050	15.0	94.0
3741	50.0	10.0
645548	7.0	18.0
3743	2.0	1.0
3744	0.0	1.0
3745	3845.0	161.0
3746	2.0	42.0
3747	2.0	0.0
285671	724.0	996.0
285672	1617.0	1467.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	6.0	19.0
285676	49.0	88.0
3761	0.0	6.0
100128657	0.0	0.0
285679	1.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	402.0	98.0
283008	1.0	9.0
3751	1104.0	218.0
100873435	0.0	0.0
3752	1037.0	1094.0
100873434	0.0	0.0
3753	37.0	13.0
100873433	0.0	0.0
3754	1.0	376.0
100873432	0.0	0.0
3755	6.0	322.0
100873439	0.0	0.0
3756	14.0	16.0
100873438	2.0	0.0
3757	4.0	279.0
100873437	0.0	0.0
3758	14.0	1.0
100873436	0.0	0.0
100873420	2.0	1.0
3770	34.0	143.0
3772	232.0	132.0
100861458	0.0	0.0
100861453	7.0	15.0
100861455	0.0	0.0
1107	6506.0	8030.0
1106	4800.0	7326.0
1105	1885.0	5631.0
1104	566.0	5780.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1623.0	795.0
1101	35.0	222.0
3762	657.0	175.0
100873424	0.0	0.0
3763	2.0	20.0
100128640	73.0	203.0
100873423	0.0	0.0
3764	2367.0	1774.0
100873422	0.0	0.0
3765	3.0	2.0
100873421	0.0	0.0
3766	5.0	13.0
100873428	0.0	0.0
3767	36.0	988.0
100873427	0.0	0.0
3768	235.0	88.0
1109	5.0	1.0
100873426	0.0	3.0
1108	9143.0	19885.0
3769	0.0	11.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	3.0
3780	3.0	20.0
100873453	0.0	0.0
3781	6.0	133.0
100873452	0.0	1.0
3782	132.0	252.0
100873451	0.0	0.0
3783	181.0	444.0
100873450	0.0	0.0
1121	1609.0	1676.0
100861468	0.0	0.0
1120	145.0	262.0
100861469	1.0	3.0
1118	1297.0	198.0
1117	435.0	38.0
1116	2124.0	276.0
1114	4.0	8.0
1113	4.0	37169.0
1112	19026.0	2852.0
1111	245.0	387.0
3773	71.0	3.0
100873457	0.0	0.0
100873456	0.0	1.0
3775	55.0	633.0
100873455	0.0	0.0
3776	184.0	2608.0
100873454	0.0	0.0
3777	68.0	23.0
3778	814.0	242.0
3779	123.0	111.0
100873459	0.0	0.0
1119	621.0	3451.0
100128627	2.0	12.0
100128626	3.0	0.0
3790	219.0	702.0
100128628	0.0	0.0
3791	8137.0	2701.0
100873442	0.0	0.0
3792	16.0	85.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	3.0
1131	79.0	62.0
1130	3535.0	2214.0
100861476	0.0	0.0
1129	1.0	1.0
1128	13.0	70.0
1124	658.0	610.0
1123	488.0	1555.0
1122	348.0	432.0
100861470	0.0	0.0
3784	410.0	3040.0
100873446	0.0	0.0
3785	1.0	8.0
100873445	0.0	2.0
3786	175.0	601.0
100873444	0.0	0.0
3787	6.0	58.0
100873443	0.0	0.0
3788	9.0	11.0
100873449	2.0	7.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	77.0	69.0
100128618	0.0	1.0
728597	0.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	26.0	27.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	75.0
285634	16.0	1.0
1142	0.0	0.0
1141	9.0	19.0
285636	1628.0	3115.0
1140	523.0	322.0
728599	8.0	2.0
1139	13.0	8.0
1138	12.0	221.0
1137	0.0	1031.0
100861485	0.0	0.0
1136	6.0	2293.0
1135	6.0	3.0
1134	9.0	72.0
1133	17.0	10.0
3795	191.0	182.0
100873479	2.0	0.0
3796	1336.0	1750.0
100873478	0.0	0.0
3797	545.0	1448.0
100873477	2.0	1.0
3798	6.0	798.0
100873476	0.0	0.0
3799	13813.0	14333.0
100873460	0.0	0.0
728586	7.0	15.0
285641	1.0	2.0
100873464	0.0	6.0
100873463	0.0	0.0
100873462	1.0	2.0
285643	0.0	4.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	486.0	3663.0
1153	11131.0	19613.0
1152	2792.0	1706.0
285647	5.0	43.0
728589	9.0	85.0
728588	0.0	74.0
1149	6556.0	164.0
1147	1362.0	1997.0
1146	0.0	12.0
1145	44.0	13.0
1144	0.0	1.0
100873468	0.0	0.0
100873467	4.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	3.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	2.0	0.0
100873494	0.0	0.0
1164	87.0	360.0
1163	1063.0	358.0
285659	0.0	0.0
1161	514.0	562.0
1160	1076.0	71.0
1159	4.0	37.0
1158	2.0	1.0
1157	0.0	0.0
1155	1573.0	3871.0
550643	653.0	1299.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	1.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2723.0	1201.0
1175	2304.0	2164.0
285668	151.0	19.0
1174	839.0	5488.0
1173	15102.0	15730.0
550631	25.0	237.0
100873489	0.0	0.0
283014	6.0	12.0
100873488	0.0	2.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	37.0	250.0
1186	2201.0	4843.0
1185	1858.0	1246.0
1184	527.0	696.0
1183	1163.0	109.0
1182	5005.0	7858.0
1181	110.0	495.0
440375	18.0	32.0
1180	5.0	18.0
1179	3.0	0.0
1178	3.0	0.0
283089	9.0	4.0
85495	0.0	0.0
85480	143.0	5.0
283080	0.0	0.0
1198	2091.0	5771.0
1197	2.0	0.0
1196	1045.0	1783.0
1195	4495.0	4321.0
440366	2.0	2.0
1193	1931.0	361.0
1192	12485.0	14352.0
1191	89470.0	71925.0
1188	10.0	7.0
283078	112.0	19.0
85486	5.0	2.0
128615	0.0	0.0
85481	0.0	0.0
128611	46.0	22.0
440396	19.0	46.0
128609	0.0	0.0
128602	0.0	7.0
440387	0.0	1.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	1.0
100861402	1.0	13.0
126014	141.0	55.0
440335	12.0	1500.0
100128690	0.0	0.0
114034	492.0	558.0
126006	1.0	174.0
114036	216.0	15.0
100128696	0.0	1.0
100128688	0.0	0.0
126003	52.0	110.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	2.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	208.0	110.0
440356	3.0	4.0
440354	34.0	58.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	21.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	79.0	380.0
100861435	0.0	2.0
100861436	0.0	1.0
440345	112.0	149.0
200734	2261.0	4420.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	5.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	4.0	3.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	0.0	3.0
100128665	0.0	1.0
128637	4069.0	3949.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	1.0
100873403	0.0	0.0
645440	0.0	1.0
645443	4.0	6.0
165530	41.0	33.0
85409	9.0	480.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	1.0	331.0
106481383	1.0	3.0
85417	71.0	52.0
106481384	0.0	0.0
103106903	3.0	1.0
85414	116.0	169.0
106481389	0.0	0.0
85415	80.0	2593.0
106481387	0.0	0.0
85413	7.0	6.0
106481388	1.0	7.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	6.0	20.0
106481380	0.0	0.0
11	0.0	0.0
403341	1113.0	568.0
12	39.0	13.0
13	1320.0	26.0
14	4734.0	7122.0
15	0.0	5.0
16	7436.0	8685.0
645455	12.0	10.0
18	484.0	5117.0
19	7364.0	1427.0
128580	12.0	12.0
85407	136.0	392.0
106481396	0.0	0.0
106481397	0.0	2.0
106481394	0.0	0.0
85406	1179.0	2128.0
106481395	0.0	0.0
85403	1260.0	3757.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	3.0	1.0
106481393	0.0	0.0
20	4050.0	5503.0
106481390	0.0	0.0
21	2125.0	4329.0
106481391	0.0	0.0
22	1348.0	1011.0
153571	176.0	455.0
153572	289.0	2014.0
23	3698.0	5386.0
24	22.0	81.0
25	6375.0	4193.0
26	43.0	1097.0
27	2304.0	2730.0
28	245.0	879.0
29	3515.0	9683.0
153579	12056.0	731.0
728615	0.0	2.0
728614	0.0	0.0
200765	83.0	223.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	25.0	24.0
102466518	0.0	0.0
102466516	10.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	3.0
106481361	0.0	0.0
85439	323.0	786.0
106481362	0.0	2.0
106481367	0.0	0.0
85437	2935.0	4326.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	146.0	354.0
106481366	0.0	0.0
30	2805.0	2535.0
106481360	0.0	0.0
31	6697.0	3104.0
32	34866.0	4523.0
33	1529.0	40.0
34	4327.0	2477.0
35	3716.0	621.0
153562	88.0	3204.0
36	2935.0	4061.0
37	18953.0	7010.0
38	8444.0	5476.0
440307	6.0	15.0
39	740.0	1226.0
165545	0.0	68.0
106481369	0.0	0.0
728606	0.0	11.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	3.0	0.0
40	1.0	44.0
106481370	0.0	0.0
41	185.0	727.0
106481371	0.0	0.0
43	48.0	123.0
645486	0.0	1.0
47	6075.0	11397.0
48	26473.0	3848.0
49	20.0	11.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	6.0	2.0
106481340	0.0	0.0
85458	6636.0	915.0
106481345	0.0	0.0
85459	561.0	1335.0
106481346	0.0	0.0
85456	15920.0	7859.0
