id	450cbf36-7dab-46a4-b6b5-d6b99d51083f	2d721010-840f-4ca7-b41c-6792385b410d
440243	0.0	0.0
1070	850.0	681.0
1069	2201.0	3385.0
1068	1.0	0.0
85369	1846.0	1349.0
85366	2.0	18.0
85364	1473.0	1660.0
85365	1814.0	2360.0
85363	1259.0	902.0
85360	1403.0	546.0
1080	31.0	10.0
85391	4.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	4.0	0.0
153733	507.0	999.0
1087	4.0	67.0
1086	0.0	4.0
440279	19.0	4.0
1085	16.0	36.0
1084	1.0	23.0
440278	118.0	79.0
1082	0.0	0.0
403294	0.0	0.0
440275	5086.0	5808.0
1081	0.0	7.0
85397	2.0	16.0
85395	320.0	351.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	2.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	1.0	0.0
1093	0.0	1.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	4.0
440270	848.0	491.0
1089	3.0	7.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	13.0	2.0
285598	865.0	335.0
126133	1027.0	2416.0
128790	0.0	0.0
126129	138.0	95.0
126123	2.0	0.0
442862	0.0	0.0
126119	404.0	596.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	1.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	24.0	14.0
442897	0.0	0.0
442898	2.0	0.0
114134	791.0	985.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	4.0
100128788	60.0	129.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	1811.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	2.0
128756	0.0	0.0
100128782	178.0	198.0
100128781	1.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	1124.0	3.0
102466616	0.0	0.0
126052	0.0	0.0
151009	33.0	59.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	3.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	407.0	512.0
107131122	1.0	1.0
138050	7537.0	4635.0
403219	0.0	0.0
151011	6599.0	2870.0
645587	2.0	6.0
165679	165.0	814.0
126037	24.0	82.0
114049	2167.0	4403.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	454.0	376.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1710.0	1946.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	349.0	279.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	2.0
138065	87.0	15.0
645598	1.0	1.0
163007	9.0	0.0
114038	1.0	0.0
645591	0.0	0.0
106481495	4.0	0.0
114041	47.0	18.0
106481496	0.0	0.0
114042	3.0	2.0
106481493	0.0	0.0
114043	17.0	8.0
106481494	0.0	0.0
106481499	1.0	0.0
114044	182.0	282.0
126017	476.0	1614.0
106481497	2.0	0.0
106481498	0.0	3.0
85303	0.0	0.0
85300	3.0	0.0
85301	1170.0	1724.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	8.0	0.0
403276	0.0	0.0
403277	0.0	1.0
403278	0.0	0.0
26996	1192.0	7215.0
106481459	0.0	0.0
26994	10642.0	6273.0
106481457	4.0	11.0
26995	1835.0	4010.0
106481458	0.0	0.0
403271	0.0	0.0
26998	3.0	0.0
403272	1.0	0.0
102466659	0.0	0.0
26999	517.0	4566.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	3.0
106481463	0.0	0.0
104310353	1.0	0.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1523.0	2296.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	3.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	13321.0	106.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	682.0	2756.0
106481470	1.0	2.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	605.0	1007.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	2.0
106481437	0.0	0.0
26974	256.0	179.0
153657	41.0	71.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	1043.0	1171.0
165631	41.0	70.0
106481436	1.0	0.0
26978	13.0	9.0
126075	423.0	390.0
106481439	0.0	0.0
403250	0.0	0.0
126074	145.0	229.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1336.0	1365.0
106481444	3.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4500.0	1652.0
85354	0.0	0.0
85352	36.0	136.0
403241	1.0	0.0
344462	0.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	359.0	412.0
153643	4.0	86.0
403247	0.0	0.0
403248	0.0	0.0
26985	4082.0	5395.0
106481448	0.0	0.0
26986	57983.0	53966.0
126069	152.0	109.0
106481449	0.0	0.0
126068	862.0	470.0
106481446	0.0	0.0
26983	0.0	0.0
26984	716.0	773.0
106481447	0.0	0.0
106481451	2.0	1.0
106481452	1.0	0.0
106481450	0.0	1.0
114088	394.0	49.0
106481455	1.0	0.0
85349	119.0	114.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	3.0	2.0
106481454	0.0	2.0
403238	0.0	0.0
85344	8.0	86.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	15.0	13.0
85340	0.0	0.0
100873394	0.0	2.0
100873393	0.0	1.0
100873392	2.0	3.0
100873391	0.0	0.0
100873398	1.0	1.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1818.0	1088.0
100873390	0.0	0.0
728556	52.0	78.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	120.0	110.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	347.0	387.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	163.0	252.0
100873384	0.0	0.0
285601	3.0	4.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	71.0	141.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	704.0	1663.0
222008	0.0	0.0
106481428	0.0	0.0
106481429	1.0	0.0
63905	2427.0	2531.0
63904	0.0	0.0
106481430	0.0	1.0
163071	57.0	7.0
63906	577.0	611.0
106481433	0.0	0.0
63908	716.0	726.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	19.0	58.0
63920	445.0	637.0
63923	1240.0	407.0
63922	175.0	234.0
728577	306.0	4.0
63925	1089.0	1870.0
63924	43675.0	416.0
63916	2351.0	5117.0
63917	3042.0	3776.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	5.0	4.0
728564	0.0	1.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1513.0	1328.0
106481402	0.0	0.0
63931	1826.0	2739.0
106481403	0.0	0.0
63934	424.0	73.0
728567	2.0	4.0
106481408	0.0	0.0
163088	8.0	2.0
63933	2621.0	2180.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2705.0	2359.0
163087	894.0	608.0
728568	369.0	343.0
106481407	10.0	4.0
3704	799.0	2184.0
3705	9021.0	3300.0
63926	946.0	2014.0
3706	5.0	17.0
63929	1407.0	1252.0
3707	5642.0	5901.0
63928	1.0	0.0
3708	11078.0	2630.0
106481411	0.0	0.0
3709	7913.0	12814.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	12.0	5.0
3702	91.0	214.0
3703	6854.0	9193.0
645506	0.0	1.0
151050	1390.0	465.0
645520	0.0	0.0
63941	1096.0	823.0
63940	383.0	1141.0
63943	269.0	604.0
728517	0.0	0.0
163033	368.0	366.0
258010	1465.0	2341.0
63947	0.0	0.0
63946	0.0	33.0
728513	0.0	0.0
100033803	0.0	0.0
3716	23908.0	9998.0
100033804	0.0	0.0
3717	2151.0	1612.0
100033805	0.0	0.0
3718	251.0	384.0
63939	1505.0	1651.0
100033806	0.0	0.0
100190799	4.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	99.0	24.0
3710	1774.0	9658.0
3712	5695.0	6581.0
3713	1.0	0.0
3714	2546.0	749.0
63950	4.0	3.0
728505	1.0	0.0
63951	309.0	13.0
100033807	0.0	0.0
728501	34.0	27.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	16810.0	5943.0
100033814	0.0	0.0
3727	9291.0	2290.0
63948	2.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	10920.0	38069.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1453.0	3718.0
151056	147.0	159.0
3725	36861.0	5950.0
645528	3.0	4.0
728532	26.0	36.0
163059	293.0	342.0
728538	0.0	0.0
728537	210.0	205.0
63967	18.0	623.0
3737	35.0	2.0
3738	40.0	34.0
3739	75.0	0.0
645538	0.0	0.0
3730	1879.0	3651.0
3732	3287.0	2585.0
3734	0.0	0.0
3735	8801.0	4688.0
3736	24.0	23.0
63970	121.0	22.0
3750	231.0	154.0
63971	9241.0	4989.0
63974	0.0	0.0
163049	2693.0	2453.0
63973	77.0	1.0
63976	203.0	62.0
222068	4915.0	4349.0
63978	0.0	0.0
63977	413.0	1288.0
63979	558.0	1088.0
728524	0.0	0.0
3748	330.0	883.0
163051	24.0	35.0
3749	1465.0	448.0
163050	63.0	138.0
3741	62.0	13.0
645548	7.0	10.0
3743	3.0	1.0
3744	0.0	0.0
3745	2446.0	25.0
3746	15.0	119.0
3747	15.0	0.0
285671	998.0	472.0
285672	2080.0	1761.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	9.0	0.0
285676	72.0	20.0
3761	0.0	0.0
100128657	0.0	0.0
285679	4.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	523.0	289.0
283008	8.0	35.0
3751	415.0	512.0
100873435	0.0	0.0
3752	2018.0	125.0
100873434	0.0	0.0
3753	115.0	3.0
100873433	0.0	0.0
3754	12.0	323.0
100873432	0.0	0.0
3755	51.0	261.0
100873439	0.0	0.0
3756	38.0	10.0
100873438	0.0	0.0
3757	32.0	38.0
100873437	0.0	0.0
3758	3.0	0.0
100873436	0.0	0.0
100873420	1.0	3.0
3770	56.0	111.0
3772	142.0	104.0
100861458	0.0	0.0
100861453	22.0	10.0
100861455	0.0	0.0
1107	8860.0	16720.0
1106	6617.0	8449.0
1105	3137.0	5035.0
1104	959.0	2877.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1522.0	877.0
1101	411.0	183.0
3762	160.0	217.0
100873424	0.0	0.0
3763	5.0	14.0
100128640	205.0	75.0
100873423	0.0	0.0
3764	1939.0	282.0
100873422	0.0	1.0
3765	2.0	2.0
100873421	0.0	0.0
3766	5.0	41.0
100873428	0.0	0.0
3767	197.0	1881.0
100873427	0.0	0.0
3768	85.0	2477.0
1109	1.0	1.0
100873426	0.0	0.0
1108	15596.0	33598.0
3769	27.0	18.0
100873425	0.0	0.0
100128637	2.0	0.0
100128639	0.0	0.0
3780	17.0	15.0
100873453	0.0	0.0
3781	18.0	77.0
100873452	1.0	0.0
3782	143.0	302.0
100873451	0.0	0.0
3783	540.0	250.0
100873450	0.0	0.0
1121	1831.0	3132.0
100861468	0.0	0.0
1120	171.0	86.0
100861469	0.0	0.0
1118	140.0	43.0
1117	1398.0	91.0
1116	3895.0	778.0
1114	8.0	2.0
1113	4.0	0.0
1112	12770.0	3653.0
1111	316.0	672.0
3773	734.0	2.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	403.0	3565.0
100873455	0.0	0.0
3776	563.0	31.0
100873454	0.0	0.0
3777	702.0	78.0
3778	3278.0	14600.0
3779	1791.0	168.0
100873459	0.0	0.0
1119	1151.0	525.0
100128627	0.0	0.0
100128626	0.0	0.0
3790	1008.0	1105.0
100128628	3.0	2.0
3791	9895.0	3731.0
100873442	0.0	0.0
3792	11.0	21.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	8.0	9.0
1131	149.0	30.0
1130	3878.0	2517.0
100861476	0.0	0.0
1129	0.0	0.0
1128	140.0	49.0
1124	341.0	737.0
1123	754.0	627.0
1122	1087.0	6054.0
100861470	0.0	0.0
3784	393.0	560.0
100873446	0.0	0.0
3785	1.0	1.0
100873445	0.0	0.0
3786	164.0	223.0
100873444	0.0	0.0
3787	118.0	5.0
100873443	0.0	0.0
3788	5.0	11.0
100873449	5.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	113.0	83.0
100128618	0.0	0.0
728597	0.0	0.0
100128617	1.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	35.0	24.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	1.0
285634	9.0	2.0
1142	0.0	1.0
1141	130.0	46.0
285636	2592.0	3252.0
1140	499.0	364.0
728599	2.0	0.0
1139	23.0	1.0
1138	37.0	48.0
1137	1.0	0.0
100861485	0.0	0.0
1136	15.0	14.0
1135	26.0	0.0
1134	11.0	88.0
1133	10.0	17.0
3795	298.0	235.0
100873479	3.0	1.0
3796	2253.0	2620.0
100873478	0.0	0.0
3797	844.0	623.0
100873477	5.0	8.0
3798	200.0	24.0
100873476	0.0	0.0
3799	15897.0	26377.0
100873460	0.0	0.0
728586	20.0	22.0
285641	0.0	0.0
100873464	5.0	2.0
100873463	0.0	0.0
100873462	0.0	0.0
285643	0.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	362.0	3141.0
1153	18842.0	13455.0
1152	6944.0	130.0
285647	16.0	45.0
728589	37.0	35.0
728588	0.0	0.0
1149	16861.0	134.0
1147	1589.0	2402.0
1146	0.0	3.0
1145	22.0	16.0
1144	2.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	117.0	1485.0
1163	1090.0	1414.0
285659	0.0	0.0
1161	632.0	728.0
1160	858.0	59.0
1159	20.0	167.0
1158	2.0	9.0
1157	0.0	0.0
1155	1211.0	2777.0
550643	779.0	2220.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2286.0	1141.0
1175	1851.0	3174.0
285668	10.0	1.0
1174	975.0	3268.0
1173	11975.0	19536.0
550631	67.0	224.0
100873489	0.0	0.0
283014	6.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	36.0	17.0
1186	2468.0	2803.0
1185	2104.0	737.0
1184	333.0	457.0
1183	772.0	100.0
1182	7577.0	12244.0
1181	210.0	563.0
440375	51.0	64.0
1180	40.0	0.0
1179	0.0	0.0
1178	4.0	0.0
283089	5.0	0.0
85495	0.0	0.0
85480	475.0	4.0
283080	0.0	0.0
1198	2508.0	2788.0
1197	1.0	0.0
1196	1431.0	3321.0
1195	5666.0	4068.0
440366	4.0	0.0
1193	1156.0	538.0
1192	9238.0	23097.0
1191	35322.0	11675.0
1188	17.0	9.0
283078	247.0	40.0
85486	6.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	47.0	53.0
440396	44.0	74.0
128609	0.0	0.0
128602	0.0	11.0
440387	1.0	1.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	4.0
126014	47.0	187.0
440335	233.0	2322.0
100128690	0.0	0.0
114034	527.0	908.0
126006	39.0	23.0
114036	45.0	23.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	45.0	27.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	1.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	5.0	3.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	3.0	0.0
200728	217.0	190.0
440356	5.0	15.0
440354	69.0	54.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	8.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	9.0	3.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	129.0	117.0
200734	3220.0	14762.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	27.0	12.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5143.0	3957.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	2.0	3.0
165530	85.0	8.0
85409	108.0	233.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	3.0	3.0
85417	107.0	103.0
106481384	0.0	0.0
103106903	2.0	7.0
85414	253.0	984.0
106481389	0.0	0.0
85415	1053.0	3499.0
106481387	0.0	0.0
85413	1.0	0.0
106481388	3.0	0.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	3.0	68.0
106481380	0.0	0.0
11	0.0	0.0
403341	1247.0	1242.0
12	167.0	13.0
13	5.0	0.0
14	5494.0	6856.0
15	6.0	3.0
16	6865.0	6453.0
645455	16.0	26.0
18	1348.0	3318.0
19	11366.0	1506.0
128580	6.0	9.0
85407	134.0	403.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1329.0	2932.0
106481395	0.0	0.0
85403	1425.0	3270.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4243.0	4090.0
106481390	0.0	0.0
21	3020.0	3814.0
106481391	0.0	0.0
22	2185.0	1889.0
153571	277.0	1249.0
153572	2461.0	8132.0
23	3278.0	6108.0
24	96.0	75.0
25	5754.0	13427.0
26	6.0	31.0
27	1946.0	5349.0
28	429.0	27.0
29	4917.0	5077.0
153579	12471.0	157.0
728615	0.0	1.0
728614	0.0	0.0
200765	222.0	338.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	71.0	48.0
102466518	1.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	496.0	537.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2809.0	2452.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	197.0	231.0
106481366	0.0	0.0
30	3625.0	2012.0
106481360	0.0	0.0
31	13089.0	3271.0
32	61823.0	1223.0
33	1370.0	11.0
34	8170.0	2822.0
35	5088.0	454.0
153562	848.0	4164.0
36	7134.0	2058.0
37	19379.0	7368.0
38	11138.0	1465.0
440307	4.0	12.0
39	938.0	1058.0
165545	7.0	312.0
106481369	0.0	0.0
728606	9.0	25.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	11.0	1.0
106481370	0.0	0.0
41	155.0	116.0
106481371	0.0	0.0
43	40.0	15.0
645486	0.0	1.0
47	9981.0	26895.0
48	21314.0	1397.0
49	24.0	3.0
106481338	0.0	0.0
106481339	0.0	2.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	4.0	0.0
106481340	0.0	0.0
85458	5162.0	1115.0
106481345	0.0	0.0
85459	1048.0	1507.0
