id	cd20a78a-7e98-4601-8cf0-3a121d58613c	99c7b545-c90e-407f-9086-0ef8e108f973
1031	4574.0	476.0
285527	2170.0	1763.0
1030	4795.0	1173.0
728468	0.0	0.0
440288	70.0	67.0
1029	29.0	89.0
440295	27.0	48.0
1028	7130.0	536.0
1027	5824.0	2619.0
1026	7256.0	1436.0
1025	2685.0	1546.0
1024	546.0	368.0
3685	4009.0	8896.0
100873347	1.0	4.0
100873346	0.0	0.0
3687	65.0	214.0
100873345	1.0	0.0
3688	15687.0	13991.0
100873344	0.0	0.0
3689	575.0	678.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	15.0	16.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	11.0	9.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	236.0	23.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	0.0	2.0
1043	132.0	173.0
1041	0.0	3.0
1040	103.0	2002.0
1039	578.0	1139.0
1038	21.0	8.0
1036	7036.0	560.0
3696	57.0	118.0
3697	4.0	0.0
100873379	0.0	0.0
3698	2.0	8.0
100873378	0.0	1.0
3699	64.0	21.0
100873377	0.0	0.0
728486	3.0	2.0
100873361	0.0	0.0
105373869	0.0	217.0
100873360	0.0	1.0
285540	41.0	48.0
100128705	0.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	5.0	3.0
100873362	0.0	0.0
100128701	3.0	0.0
1054	2298.0	1465.0
285547	0.0	0.0
1053	2.0	2.0
285548	0.0	8.0
1052	4905.0	693.0
1051	3427.0	760.0
728489	7.0	0.0
1050	10444.0	811.0
100128707	0.0	0.0
1048	0.0	207.0
1047	35.0	1082.0
1046	0.0	0.0
1045	0.0	0.0
100873369	1.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	2315.0	352.0
1063	54.0	300.0
1062	45.0	142.0
1061	3.0	2.0
1060	811.0	998.0
440253	365.0	56.0
1059	4366.0	2658.0
1058	39.0	10.0
1057	3.0	0.0
85379	1250.0	4225.0
114112	358.0	206.0
1056	16.0	11.0
85377	619.0	651.0
85378	1477.0	1063.0
128745	1.0	1.0
85376	9.0	6.0
440248	401.0	253.0
1075	3718.0	1424.0
1074	2.0	24.0
1073	3825.0	743.0
1072	11831.0	11090.0
1071	307.0	59.0
440243	0.0	0.0
1070	569.0	398.0
1069	925.0	2148.0
1068	0.0	0.0
85369	1142.0	1152.0
85366	3.0	2.0
85364	917.0	697.0
85365	799.0	1501.0
85363	420.0	982.0
85360	861.0	411.0
1080	9.0	6.0
85391	4.0	7.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	4.0	0.0
153733	291.0	392.0
1087	0.0	23.0
1086	0.0	0.0
440279	1.0	5.0
1085	14.0	3.0
1084	6.0	2.0
440278	88.0	46.0
1082	1.0	0.0
403294	0.0	0.0
440275	2533.0	3667.0
1081	1.0	0.0
85397	0.0	7.0
85395	511.0	129.0
403285	0.0	0.0
1091	0.0	0.0
1090	2.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	4.0	1.0
440270	331.0	409.0
1089	12.0	4.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	4.0	0.0
285598	256.0	303.0
126133	1120.0	481.0
128790	0.0	0.0
126129	103.0	53.0
126123	0.0	0.0
442862	0.0	0.0
126119	583.0	160.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	1.0	0.0
442896	0.0	0.0
114132	19.0	3.0
442897	0.0	0.0
442898	0.0	1.0
114134	290.0	1307.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	7.0
100128788	24.0	110.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	79.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	1.0	0.0
100128782	88.0	48.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	56.0	8.0
102466616	0.0	0.0
126052	0.0	0.0
151009	11.0	13.0
403227	0.0	0.0
403228	0.0	0.0
138046	11.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	4.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	21.0	240.0
107131122	0.0	0.0
138050	2908.0	2471.0
403219	0.0	0.0
151011	2736.0	2895.0
645587	0.0	0.0
165679	11.0	65.0
126037	39.0	46.0
114049	1756.0	1526.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	2.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	215.0	167.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1039.0	862.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	272.0	114.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	1.0	2.0
645598	0.0	0.0
163007	1.0	0.0
114038	1.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	1.0	2.0
106481496	0.0	0.0
114042	0.0	0.0
106481493	0.0	0.0
114043	16.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	97.0	73.0
126017	176.0	445.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	34.0	0.0
85301	492.0	324.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	1.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	294.0	2068.0
106481459	0.0	0.0
26994	4820.0	4866.0
106481457	7.0	10.0
26995	1395.0	1468.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	297.0	1317.0
403273	0.0	0.0
102466658	0.0	3.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	5.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1157.0	1437.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	12882.0	734.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	50.0	9533.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	159.0	783.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	0.0
106481437	0.0	0.0
26974	102.0	256.0
153657	3.0	54.0
106481438	0.0	4.0
106481435	0.0	0.0
26973	520.0	815.0
165631	24.0	64.0
106481436	0.0	0.0
26978	20.0	5.0
126075	172.0	457.0
106481439	0.0	0.0
403250	0.0	0.0
126074	54.0	164.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1144.0	589.0
106481444	0.0	2.0
106481445	1.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3949.0	814.0
85354	1.0	0.0
85352	10.0	111.0
403241	0.0	0.0
344462	0.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	301.0	140.0
153643	1.0	4.0
403247	0.0	0.0
403248	0.0	0.0
26985	2008.0	2372.0
106481448	0.0	0.0
26986	48963.0	22372.0
126069	44.0	126.0
106481449	0.0	0.0
126068	303.0	633.0
106481446	0.0	0.0
26983	0.0	0.0
26984	482.0	506.0
106481447	0.0	0.0
106481451	1.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	26.0	29.0
106481455	0.0	0.0
85349	0.0	17.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	4.0
85347	0.0	0.0
26980	2.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	18.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	1.0
100873392	1.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	2.0	0.0
63901	872.0	3578.0
100873390	0.0	0.0
728556	33.0	26.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	45.0	70.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	179.0	329.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	44.0	336.0
100873384	0.0	0.0
285601	18.0	5.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	4.0	2.0
63910	19.0	46.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	196.0	596.0
222008	28.0	0.0
106481428	0.0	0.0
106481429	1.0	1.0
63905	1754.0	1430.0
63904	1.0	0.0
106481430	0.0	1.0
163071	27.0	15.0
63906	507.0	330.0
106481433	0.0	0.0
63908	343.0	388.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	17.0	20.0
63920	232.0	302.0
63923	375.0	222.0
63922	133.0	152.0
728577	134.0	16.0
63925	647.0	702.0
63924	49157.0	3074.0
63916	1427.0	1390.0
63917	1617.0	1160.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	0.0
728564	3.0	1.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	829.0	888.0
106481402	0.0	0.0
63931	1295.0	991.0
106481403	0.0	0.0
63934	74.0	43.0
728567	6.0	1.0
106481408	0.0	0.0
163088	2.0	0.0
63933	1008.0	890.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	1895.0	1081.0
163087	493.0	465.0
728568	195.0	188.0
106481407	9.0	3.0
3704	984.0	741.0
3705	5629.0	1466.0
63926	705.0	656.0
3706	5.0	5.0
63929	1035.0	1018.0
3707	3671.0	1310.0
63928	2.0	0.0
3708	956.0	2676.0
106481411	0.0	0.0
3709	2568.0	3787.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	14.0	10.0
3702	53.0	40.0
3703	3385.0	5888.0
645506	0.0	1.0
151050	871.0	361.0
645520	0.0	0.0
63941	947.0	830.0
63940	250.0	207.0
63943	131.0	249.0
728517	0.0	0.0
163033	358.0	186.0
258010	377.0	1810.0
63947	0.0	0.0
63946	0.0	1.0
728513	5.0	0.0
100033803	0.0	0.0
3716	13249.0	10341.0
100033804	0.0	0.0
3717	1879.0	1051.0
100033805	0.0	0.0
3718	223.0	183.0
63939	667.0	504.0
100033806	0.0	0.0
100190799	2.0	5.0
100033800	0.0	0.0
100033801	0.0	1.0
100033802	0.0	0.0
344405	80.0	36.0
3710	893.0	2036.0
3712	4346.0	2469.0
3713	0.0	1.0
3714	1633.0	495.0
63950	1.0	2.0
728505	3.0	0.0
63951	590.0	25.0
100033807	0.0	0.0
728501	21.0	4.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	13156.0	5514.0
100033814	0.0	0.0
3727	5223.0	2133.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	1.0
3728	3926.0	10987.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	618.0	1284.0
151056	41.0	40.0
3725	16139.0	9874.0
645528	9.0	1.0
728532	29.0	31.0
163059	110.0	311.0
728538	0.0	0.0
728537	53.0	66.0
63967	6.0	25.0
3737	12.0	5.0
3738	8.0	12.0
3739	8.0	1.0
645538	0.0	0.0
3730	575.0	458.0
3732	1509.0	4026.0
3734	0.0	0.0
3735	7053.0	2381.0
3736	10.0	6.0
63970	1.0	31.0
3750	108.0	58.0
63971	3125.0	3353.0
63974	0.0	0.0
163049	1264.0	1357.0
63973	1.0	0.0
63976	105.0	34.0
222068	2699.0	2781.0
63978	0.0	0.0
63977	242.0	298.0
63979	235.0	303.0
728524	0.0	0.0
3748	31.0	22.0
163051	5.0	25.0
3749	413.0	162.0
163050	30.0	34.0
3741	57.0	7.0
645548	6.0	11.0
3743	0.0	1.0
3744	0.0	0.0
3745	778.0	121.0
3746	5.0	4.0
3747	0.0	0.0
285671	340.0	311.0
285672	921.0	836.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	2.0	3.0
285676	63.0	55.0
3761	0.0	0.0
100128657	0.0	0.0
285679	1.0	1.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	174.0	211.0
283008	1.0	0.0
3751	118.0	178.0
100873435	0.0	0.0
3752	167.0	677.0
100873434	0.0	0.0
3753	12.0	2.0
100873433	0.0	0.0
3754	5.0	23.0
100873432	0.0	0.0
3755	7.0	4.0
100873439	0.0	0.0
3756	24.0	537.0
100873438	0.0	0.0
3757	69.0	9.0
100873437	0.0	0.0
3758	0.0	1.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	28.0	28.0
3772	27.0	59.0
100861458	0.0	0.0
100861453	8.0	3.0
100861455	0.0	0.0
1107	1854.0	3824.0
1106	3498.0	4553.0
1105	1389.0	2490.0
1104	684.0	677.0
100873429	0.0	0.0
1103	0.0	0.0
1102	764.0	451.0
1101	20.0	929.0
3762	72.0	37.0
100873424	0.0	0.0
3763	0.0	7.0
100128640	109.0	36.0
100873423	0.0	0.0
3764	1361.0	350.0
100873422	0.0	0.0
3765	1.0	1.0
100873421	0.0	0.0
3766	0.0	6.0
100873428	0.0	0.0
3767	74.0	978.0
100873427	0.0	0.0
3768	166.0	35.0
1109	1.0	0.0
100873426	0.0	0.0
1108	5518.0	10741.0
3769	1.0	1.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	2.0	2.0
100873453	0.0	0.0
3781	14.0	45.0
100873452	0.0	0.0
3782	144.0	164.0
100873451	0.0	0.0
3783	78.0	75.0
100873450	0.0	0.0
1121	850.0	875.0
100861468	0.0	0.0
1120	114.0	45.0
100861469	0.0	0.0
1118	17.0	12.0
1117	1171.0	254.0
1116	137.0	126.0
1114	8701.0	3.0
1113	6715.0	3.0
1112	7687.0	2235.0
1111	219.0	118.0
3773	22.0	6.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	39.0	90.0
100873455	0.0	0.0
3776	64.0	36.0
100873454	0.0	0.0
3777	507.0	153.0
3778	225.0	4641.0
3779	109.0	67.0
100873459	0.0	0.0
1119	953.0	578.0
100128627	0.0	1.0
100128626	1.0	0.0
3790	151.0	917.0
100128628	0.0	12.0
3791	6262.0	2201.0
100873442	0.0	0.0
3792	7.0	1.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	1.0
1132	6.0	17.0
1131	87.0	38.0
1130	1952.0	3333.0
100861476	0.0	0.0
1129	0.0	0.0
1128	3.0	2.0
1124	381.0	212.0
1123	311.0	200.0
1122	354.0	779.0
100861470	0.0	0.0
3784	181.0	207.0
100873446	0.0	0.0
3785	103.0	0.0
100873445	0.0	0.0
3786	81.0	238.0
100873444	0.0	0.0
3787	0.0	4.0
100873443	0.0	0.0
3788	1.0	26.0
100873449	0.0	4.0
100873448	1.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	2.0	0.0
283050	27.0	19.0
100128618	2.0	1.0
728597	0.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	7.0	17.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	11.0	0.0
285634	6.0	4.0
1142	0.0	0.0
1141	19.0	39.0
285636	1639.0	1924.0
1140	228.0	133.0
728599	1.0	3.0
1139	3.0	3.0
1138	17.0	9.0
1137	1.0	0.0
100861485	0.0	0.0
1136	270.0	8.0
1135	0.0	3.0
1134	0.0	15.0
1133	4.0	9.0
3795	196.0	37.0
100873479	6.0	0.0
3796	1448.0	722.0
100873478	0.0	0.0
3797	313.0	374.0
100873477	1.0	0.0
3798	30.0	9.0
100873476	0.0	0.0
3799	5089.0	9527.0
100873460	0.0	0.0
728586	16.0	10.0
285641	0.0	0.0
100873464	0.0	1.0
100873463	0.0	0.0
100873462	0.0	1.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1255.0	2421.0
1153	19102.0	9200.0
1152	9347.0	865.0
285647	6.0	14.0
728589	12.0	5.0
728588	0.0	1.0
1149	26141.0	750.0
1147	770.0	1031.0
1146	0.0	2.0
1145	32.0	14.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	72.0	457.0
1163	766.0	304.0
285659	0.0	0.0
1161	352.0	242.0
1160	307.0	72.0
1159	25.0	0.0
1158	19.0	0.0
1157	0.0	0.0
1155	1302.0	862.0
550643	638.0	718.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1689.0	2608.0
1175	1710.0	1826.0
285668	4.0	4.0
1174	622.0	543.0
1173	7495.0	7930.0
550631	25.0	135.0
100873489	0.0	0.0
283014	7.0	2.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	13.0	7.0
1186	1278.0	1707.0
1185	1400.0	716.0
1184	227.0	225.0
1183	566.0	175.0
1182	2523.0	4676.0
1181	70.0	139.0
440375	12.0	25.0
1180	10.0	1.0
1179	0.0	0.0
1178	0.0	0.0
283089	5.0	3.0
85495	0.0	0.0
85480	68.0	6.0
283080	0.0	0.0
1198	1903.0	1088.0
1197	1.0	1.0
1196	1136.0	1006.0
1195	4171.0	4032.0
440366	0.0	0.0
1193	970.0	392.0
1192	5540.0	6708.0
1191	15848.0	5977.0
1188	2.0	1.0
283078	541.0	475.0
85486	9.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	29.0	20.0
440396	21.0	19.0
128609	0.0	0.0
128602	0.0	6.0
440387	0.0	0.0
128674	1.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	5.0	9.0
126014	30.0	48.0
440335	2.0	634.0
100128690	0.0	0.0
114034	277.0	346.0
126006	2.0	71.0
114036	32.0	30.0
100128696	0.0	1.0
100128688	1.0	0.0
126003	32.0	27.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	5.0	0.0
200728	106.0	95.0
440356	0.0	2.0
440354	74.0	99.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	8.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	4.0	2.0
100861435	2.0	0.0
100861436	0.0	0.0
440345	39.0	106.0
200734	1443.0	3636.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	9.0	7.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	1.0
128637	3546.0	2186.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	6.0	0.0
165530	12.0	4.0
85409	10.0	201.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	1.0
106481383	3.0	3.0
85417	29.0	49.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	83.0	91.0
106481389	0.0	0.0
85415	59.0	1183.0
106481387	0.0	0.0
85413	5.0	2.0
106481388	0.0	2.0
645436	0.0	1.0
106481381	0.0	1.0
106481382	0.0	0.0
10	0.0	3.0
106481380	0.0	0.0
11	0.0	0.0
403341	750.0	678.0
12	14.0	40.0
13	278.0	43.0
14	4999.0	2855.0
15	2.0	2.0
16	4223.0	2569.0
645455	6.0	6.0
18	833.0	5162.0
19	10448.0	1912.0
128580	7.0	4.0
85407	53.0	154.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	573.0	746.0
106481395	0.0	4.0
85403	676.0	1431.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	2706.0	1072.0
106481390	0.0	0.0
21	1861.0	1856.0
106481391	0.0	0.0
22	1512.0	889.0
153571	217.0	553.0
153572	367.0	1483.0
23	2420.0	2286.0
24	42.0	11.0
25	4251.0	3069.0
26	4.0	9.0
27	864.0	1677.0
28	83.0	189.0
29	3381.0	1462.0
153579	11139.0	926.0
728615	0.0	0.0
728614	0.0	0.0
200765	54.0	86.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	56.0	10.0
102466518	0.0	0.0
102466516	3.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	155.0	924.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1435.0	1124.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	71.0	57.0
106481366	0.0	0.0
30	2547.0	2487.0
106481360	0.0	0.0
31	8394.0	2877.0
32	82860.0	4808.0
33	1294.0	135.0
34	4617.0	2105.0
35	8451.0	473.0
153562	16.0	1160.0
36	2242.0	4336.0
37	15172.0	3042.0
38	8849.0	2044.0
440307	6.0	13.0
39	813.0	428.0
165545	1.0	18.0
106481369	0.0	0.0
728606	0.0	321.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	0.0	0.0
106481370	0.0	0.0
41	111.0	106.0
106481371	0.0	0.0
43	76.0	20.0
645486	0.0	0.0
47	5672.0	8258.0
48	23159.0	3447.0
49	25.0	10.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	2.0	6.0
106481340	0.0	0.0
85458	1825.0	2352.0
106481345	1.0	0.0
85459	318.0	679.0
106481346	0.0	0.0
85456	13027.0	12071.0
442910	0.0	0.0
106481343	0.0	0.0
85457	1911.0	2369.0
442911	0.0	0.0
106481344	0.0	0.0
442912	0.0	0.0
85455	79.0	41.0
442913	0.0	0.0
85452	68.0	14.0
