id	edc3bfaa-aad7-44d5-8aa0-bb5a311b24c5	5ec8fcf2-85bc-4c30-9329-62b1cc47b67f
1004	1415.0	155.0
1003	14458.0	1257.0
1002	378.0	59.0
1001	5792.0	6441.0
3663	795.0	1399.0
100873325	0.0	0.0
3664	8741.0	9036.0
100873324	1.0	0.0
3665	417.0	1385.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	8239.0	668.0
100873329	0.0	0.0
285590	7783.0	10375.0
100873328	0.0	0.0
3669	289.0	1340.0
100873327	0.0	0.0
1009	4396.0	3664.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	1.0
728477	6.0	5.0
3680	5053.0	738.0
3681	80.0	24.0
100128733	0.0	0.0
100873354	1.0	0.0
3682	1013.0	627.0
100873353	0.0	0.0
3683	858.0	1257.0
100873352	4.0	0.0
128710	1253.0	694.0
3684	2239.0	1273.0
100873351	0.0	0.0
285512	319.0	23.0
1022	1605.0	1240.0
285513	1864.0	658.0
1021	7118.0	1645.0
1020	427.0	1591.0
440299	1.0	2.0
1019	2616.0	3570.0
128709	0.0	0.0
1018	18.0	11.0
1017	2306.0	1591.0
1016	2.0	0.0
1015	29.0	16.0
1014	0.0	0.0
1013	0.0	24.0
1012	9390.0	499.0
116730	100.0	81.0
3674	35.0	12.0
100873358	0.0	0.0
3675	9362.0	1429.0
100873357	2.0	0.0
3676	1066.0	604.0
100128731	6941.0	4927.0
100873356	0.0	0.0
3678	9876.0	4577.0
3679	8906.0	341.0
100873359	0.0	0.0
728464	126.0	14.0
728463	22.0	12.0
100128725	0.0	0.0
3690	904.0	110.0
3691	9991.0	5221.0
100873343	2.0	1.0
3692	3557.0	9552.0
3693	18474.0	4477.0
285521	1798.0	837.0
100873342	0.0	0.0
3694	8413.0	1382.0
100873341	0.0	0.0
3695	103.0	272.0
100873340	0.0	0.0
100128723	3.0	0.0
1033	120.0	447.0
1032	144.0	680.0
285525	2.0	2.0
1031	3728.0	680.0
285527	9885.0	1522.0
1030	5692.0	1318.0
728468	0.0	0.0
440288	169.0	83.0
1029	368.0	3883.0
440295	135.0	188.0
1028	2927.0	848.0
1027	3523.0	2815.0
1026	16498.0	5414.0
1025	3393.0	2131.0
1024	1187.0	1314.0
3685	25861.0	4572.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	1244.0	1235.0
100873345	1.0	0.0
3688	66128.0	20587.0
100873344	0.0	0.0
3689	2777.0	5093.0
100873349	1.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	25.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	58.0	47.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	108.0	114.0
100873374	1.0	0.0
728495	3.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	9.0	4.0
1043	1028.0	1189.0
1041	14.0	17.0
1040	2695.0	2662.0
1039	2697.0	2370.0
1038	128.0	5.0
1036	6004.0	70.0
3696	6001.0	8657.0
3697	10.0	2.0
100873379	0.0	0.0
3698	1240.0	7.0
100873378	6.0	0.0
3699	293.0	21.0
100873377	0.0	0.0
728486	19.0	19.0
100873361	1.0	0.0
105373869	15.0	161.0
100873360	0.0	0.0
285540	204.0	30.0
100128705	1.0	0.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	0.0
100873362	0.0	0.0
100128701	0.0	2.0
1054	4677.0	5801.0
285547	0.0	0.0
1053	1.0	9.0
285548	3.0	22.0
1052	2825.0	2359.0
1051	3417.0	6087.0
728489	5.0	3.0
1050	2369.0	783.0
100128707	0.0	0.0
1048	92.0	79.0
1047	137.0	11.0
1046	0.0	0.0
1045	2.0	40.0
100873369	22.0	3.0
100873368	0.0	0.0
100873367	1.0	0.0
100873366	0.0	0.0
105373877	5.0	3.0
1066	24445.0	65.0
1063	802.0	7483.0
1062	299.0	1107.0
1061	10.0	1.0
1060	3179.0	579.0
440253	398.0	38.0
1059	3271.0	6128.0
1058	45.0	633.0
1057	0.0	0.0
85379	12453.0	6992.0
114112	1341.0	1084.0
1056	84.0	55.0
85377	3685.0	6629.0
85378	2307.0	1391.0
128745	0.0	3.0
85376	4.0	6.0
440248	1499.0	154.0
1075	13991.0	8352.0
1074	14.0	7.0
1073	7256.0	1369.0
1072	25832.0	44557.0
1071	1051.0	60.0
440243	0.0	0.0
1070	1263.0	701.0
1069	3848.0	3250.0
1068	0.0	0.0
85369	2475.0	757.0
85366	0.0	30.0
85364	1435.0	1037.0
85365	3571.0	1552.0
85363	2788.0	731.0
85360	1245.0	410.0
1080	190.0	43.0
85391	2.0	11.0
403296	0.0	0.0
403297	4.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	7.0	1.0
153733	678.0	762.0
1087	16.0	30.0
1086	0.0	0.0
440279	137.0	1.0
1085	14.0	0.0
1084	23.0	3.0
440278	177.0	99.0
1082	0.0	1.0
403294	0.0	1.0
440275	8346.0	3507.0
1081	0.0	2.0
85397	27.0	7.0
85395	159.0	569.0
403285	2.0	0.0
1091	0.0	0.0
1090	2.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	2393.0	227.0
1089	17.0	12.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	29.0	1.0
285598	1556.0	859.0
126133	767.0	914.0
128790	0.0	1.0
126129	246.0	97.0
126123	3.0	0.0
442862	0.0	0.0
126119	222.0	828.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	1.0	2.0
442894	1.0	0.0
442895	1.0	0.0
114131	0.0	4.0
442896	1.0	0.0
114132	90.0	45.0
442897	0.0	0.0
442898	2.0	0.0
114134	1414.0	1488.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	3.0
100128788	54.0	21.0
100128787	0.0	0.0
440225	0.0	0.0
440224	4.0	3.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	1.0
128756	0.0	0.0
100128782	263.0	83.0
100128781	4.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	783.0	49.0
102466616	0.0	0.0
126052	1.0	0.0
151009	88.0	29.0
403227	26.0	0.0
403228	0.0	0.0
138046	12.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	1.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	429.0	270.0
107131122	7.0	0.0
138050	15328.0	4183.0
403219	2.0	0.0
151011	10946.0	1515.0
645587	7.0	4.0
165679	626.0	60.0
126037	17.0	11.0
114049	2650.0	5779.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	6.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1102.0	275.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3156.0	1500.0
106481486	1.0	0.0
106481487	0.0	0.0
645579	163.0	60.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	75.0	10.0
645598	0.0	1.0
163007	4.0	2.0
114038	0.0	0.0
645591	1.0	2.0
106481495	0.0	1.0
114041	136.0	1.0
106481496	1.0	0.0
114042	3.0	0.0
106481493	0.0	0.0
114043	26.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	335.0	118.0
126017	732.0	450.0
106481497	2.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	13.0	0.0
85301	1767.0	1868.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	5.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1646.0	557.0
106481459	0.0	0.0
26994	17109.0	5236.0
106481457	15.0	7.0
26995	1801.0	1993.0
106481458	0.0	0.0
403271	0.0	0.0
26998	10.0	8.0
403272	1.0	0.0
102466659	0.0	0.0
26999	2047.0	957.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	3.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1490.0	1183.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	1.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	1.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	3.0	0.0
106481471	0.0	0.0
85329	3813.0	21.0
106481472	0.0	0.0
106481477	0.0	2.0
106481478	0.0	1.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	697.0	50.0
106481470	2.0	0.0
403252	0.0	0.0
403253	1.0	0.0
403254	0.0	0.0
126070	1599.0	469.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	2.0
106481437	0.0	0.0
26974	344.0	10.0
153657	120.0	1.0
106481438	3.0	0.0
106481435	0.0	0.0
26973	2590.0	1910.0
165631	411.0	106.0
106481436	2.0	0.0
26978	38.0	9.0
126075	614.0	232.0
106481439	0.0	0.0
403250	0.0	0.0
126074	157.0	152.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	812.0	1437.0
106481444	14.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4376.0	904.0
85354	0.0	0.0
85352	212.0	89.0
403241	3.0	0.0
344462	1.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	777.0	260.0
153643	73.0	0.0
403247	0.0	0.0
403248	0.0	0.0
26985	7244.0	2216.0
106481448	0.0	0.0
26986	84474.0	91456.0
126069	266.0	51.0
106481449	0.0	0.0
126068	1252.0	147.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1570.0	681.0
106481447	0.0	0.0
106481451	4.0	0.0
106481452	1.0	0.0
106481450	0.0	1.0
114088	507.0	36.0
106481455	2.0	0.0
85349	79.0	208.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	2.0	0.0
85347	0.0	0.0
26980	3.0	2.0
106481454	1.0	0.0
403238	0.0	0.0
85344	1.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	15.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	6.0	1.0
100873392	3.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	4150.0	521.0
100873390	0.0	0.0
728556	68.0	84.0
106481419	1.0	1.0
100128817	0.0	0.0
728558	228.0	75.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	793.0	1295.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	4.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	12.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	386.0	38.0
100873384	0.0	0.0
285601	51.0	15.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	3.0	3.0
63910	182.0	149.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1323.0	235.0
222008	5.0	0.0
106481428	0.0	0.0
106481429	3.0	0.0
63905	3062.0	2042.0
63904	0.0	0.0
106481430	0.0	0.0
163071	40.0	29.0
63906	469.0	705.0
106481433	0.0	0.0
63908	1287.0	657.0
106481434	0.0	0.0
106481431	0.0	1.0
106481432	0.0	3.0
100873389	0.0	0.0
100873388	7.0	0.0
285613	23.0	172.0
63920	464.0	98.0
63923	931.0	143.0
63922	128.0	646.0
728577	341.0	35.0
63925	1614.0	1198.0
63924	27438.0	113.0
63916	4559.0	2877.0
63917	4713.0	3610.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	1.0
728564	5.0	3.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2156.0	2243.0
106481402	0.0	0.0
63931	2747.0	965.0
106481403	6.0	0.0
63934	939.0	46.0
728567	10.0	4.0
106481408	0.0	1.0
163088	15.0	9.0
63933	3791.0	2486.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2900.0	2645.0
163087	1225.0	1859.0
728568	394.0	362.0
106481407	12.0	10.0
3704	948.0	2005.0
3705	8009.0	2298.0
63926	1123.0	1037.0
3706	1.0	13.0
63929	2234.0	1538.0
3707	5005.0	3253.0
63928	8.0	0.0
3708	13502.0	615.0
106481411	2.0	0.0
3709	19248.0	3654.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	38.0	5.0
3702	233.0	207.0
3703	13440.0	11307.0
645506	0.0	0.0
151050	1968.0	438.0
645520	0.0	0.0
63941	795.0	706.0
63940	973.0	1061.0
63943	283.0	565.0
728517	0.0	0.0
163033	294.0	461.0
258010	2303.0	2236.0
63947	0.0	0.0
63946	3.0	0.0
728513	1.0	8.0
100033803	0.0	0.0
3716	28823.0	7191.0
100033804	0.0	0.0
3717	3549.0	1485.0
100033805	0.0	0.0
3718	619.0	1025.0
63939	1586.0	928.0
100033806	0.0	0.0
100190799	16.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	123.0	25.0
3710	3250.0	3575.0
3712	4780.0	938.0
3713	10.0	60.0
3714	2396.0	2437.0
63950	2.0	6.0
728505	0.0	0.0
63951	205.0	77.0
100033807	0.0	0.0
728501	52.0	28.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	4701.0	3747.0
100033814	0.0	0.0
3727	12871.0	4848.0
63948	1.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	12824.0	15026.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2024.0	3043.0
151056	481.0	271.0
3725	10189.0	6967.0
645528	14.0	0.0
728532	37.0	10.0
163059	571.0	198.0
728538	0.0	0.0
728537	431.0	43.0
63967	86.0	429.0
3737	176.0	37.0
3738	93.0	80.0
3739	37.0	0.0
645538	0.0	0.0
3730	3951.0	268.0
3732	1840.0	9517.0
3734	1.0	0.0
3735	8607.0	8438.0
3736	201.0	5.0
63970	593.0	5.0
3750	514.0	87.0
63971	10224.0	1383.0
63974	0.0	0.0
163049	3793.0	1460.0
63973	39.0	39.0
63976	432.0	21.0
222068	6981.0	7574.0
63978	0.0	0.0
63977	688.0	510.0
63979	1241.0	1071.0
728524	0.0	0.0
3748	1115.0	620.0
163051	28.0	17.0
3749	2889.0	300.0
163050	50.0	32.0
3741	87.0	17.0
645548	17.0	27.0
3743	7.0	2.0
3744	0.0	0.0
3745	5300.0	1028.0
3746	32.0	41.0
3747	140.0	0.0
285671	1607.0	248.0
285672	3393.0	1239.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	42.0	2.0
285676	160.0	163.0
3761	1.0	4.0
100128657	0.0	0.0
285679	3.0	1.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	2036.0	507.0
283008	3.0	0.0
3751	1070.0	119.0
100873435	1.0	0.0
3752	2866.0	69.0
100873434	0.0	0.0
3753	304.0	4.0
100873433	0.0	0.0
3754	72.0	35.0
100873432	0.0	0.0
3755	117.0	1203.0
100873439	0.0	0.0
3756	10.0	3.0
100873438	0.0	0.0
3757	109.0	45.0
100873437	0.0	0.0
3758	39.0	12.0
100873436	0.0	0.0
100873420	2.0	2.0
3770	115.0	108.0
3772	245.0	100.0
100861458	0.0	1.0
100861453	30.0	6.0
100861455	0.0	0.0
1107	8396.0	3400.0
1106	8656.0	4039.0
1105	8839.0	2118.0
1104	797.0	4666.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2871.0	375.0
1101	479.0	9.0
3762	1601.0	549.0
100873424	0.0	0.0
3763	8.0	17.0
100128640	174.0	100.0
100873423	0.0	0.0
3764	2113.0	193.0
100873422	2.0	0.0
3765	4.0	1.0
100873421	0.0	0.0
3766	20.0	84.0
100873428	0.0	0.0
3767	144.0	192.0
100873427	0.0	0.0
3768	175.0	32.0
1109	5.0	6.0
100873426	2.0	0.0
1108	14431.0	12544.0
3769	50.0	2.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	14.0	9.0
100873453	0.0	0.0
3781	50.0	25.0
100873452	0.0	0.0
3782	1078.0	299.0
100873451	0.0	0.0
3783	860.0	5230.0
100873450	0.0	0.0
1121	4014.0	861.0
100861468	0.0	0.0
1120	200.0	67.0
100861469	0.0	0.0
1118	2403.0	1948.0
1117	1871.0	8537.0
1116	3248.0	36342.0
1114	7.0	5.0
1113	39.0	5.0
1112	16257.0	2233.0
1111	351.0	1557.0
3773	882.0	1.0
100873457	2.0	0.0
100873456	0.0	0.0
3775	486.0	1304.0
100873455	0.0	0.0
3776	1220.0	303.0
100873454	0.0	0.0
3777	1152.0	44.0
3778	6779.0	237.0
3779	3319.0	158.0
100873459	0.0	0.0
1119	1908.0	1725.0
100128627	4.0	3.0
100128626	1.0	0.0
3790	1282.0	1213.0
100128628	8.0	1.0
3791	7404.0	957.0
100873442	0.0	0.0
3792	54.0	36.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	10.0	2.0
1131	638.0	767.0
1130	8933.0	2079.0
100861476	0.0	0.0
1129	2.0	0.0
1128	167.0	424.0
1124	713.0	314.0
1123	1409.0	434.0
1122	2019.0	558.0
100861470	0.0	0.0
3784	651.0	613.0
100873446	0.0	0.0
3785	0.0	5.0
100873445	0.0	1.0
3786	478.0	737.0
100873444	0.0	0.0
3787	129.0	9.0
100873443	0.0	0.0
3788	122.0	5.0
100873449	5.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	154.0	48.0
100128618	2.0	1.0
728597	5.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	126.0	99.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	8.0	32.0
285634	23.0	3.0
1142	0.0	0.0
1141	69.0	97.0
285636	4517.0	2629.0
1140	563.0	327.0
728599	3.0	0.0
1139	21.0	13.0
1138	108.0	308.0
1137	0.0	0.0
100861485	0.0	0.0
1136	41.0	20.0
1135	22.0	1.0
1134	88.0	37.0
1133	25.0	4.0
3795	145.0	526.0
100873479	11.0	1.0
3796	2824.0	2921.0
100873478	1.0	0.0
3797	1434.0	1894.0
100873477	4.0	0.0
3798	151.0	9.0
100873476	0.0	0.0
3799	33099.0	18063.0
100873460	0.0	0.0
728586	38.0	8.0
285641	1.0	0.0
100873464	2.0	0.0
100873463	1.0	0.0
100873462	5.0	1.0
285643	2.0	7.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	775.0	858.0
1153	17564.0	4941.0
1152	1356.0	1435.0
285647	23.0	15.0
728589	26.0	5.0
728588	0.0	0.0
1149	1551.0	14.0
1147	3225.0	1105.0
1146	0.0	1.0
1145	58.0	42.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	300.0	2835.0
1163	1285.0	2900.0
285659	0.0	0.0
1161	959.0	651.0
1160	851.0	26.0
1159	77.0	1231.0
1158	3.0	6.0
1157	0.0	0.0
1155	1441.0	8926.0
550643	1879.0	754.0
283025	3.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	1.0	1.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	4847.0	2383.0
1175	2621.0	3746.0
285668	99.0	1.0
1174	909.0	5676.0
1173	16619.0	16050.0
550631	138.0	77.0
100873489	0.0	0.0
283014	6.0	6.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	120.0	3.0
1186	2328.0	5933.0
1185	2836.0	635.0
1184	1243.0	1026.0
1183	1007.0	228.0
1182	11206.0	3402.0
1181	221.0	999.0
440375	17.0	23.0
1180	16.0	3.0
1179	2.0	0.0
1178	10.0	0.0
283089	18.0	1.0
85495	0.0	0.0
85480	334.0	12.0
283080	0.0	1.0
1198	2781.0	1505.0
1197	0.0	2.0
1196	2054.0	1463.0
1195	10345.0	1366.0
440366	10.0	0.0
1193	3702.0	562.0
1192	14122.0	17091.0
1191	77592.0	3365.0
1188	37.0	2.0
283078	405.0	26.0
85486	3.0	8.0
128615	0.0	0.0
85481	0.0	0.0
128611	114.0	68.0
440396	62.0	30.0
128609	0.0	0.0
128602	1.0	0.0
440387	1.0	0.0
128674	0.0	11.0
128676	2.0	0.0
114026	1.0	0.0
100861402	4.0	0.0
126014	207.0	504.0
440335	298.0	937.0
100128690	0.0	0.0
114034	786.0	1014.0
126006	20.0	7.0
114036	72.0	24.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	27.0	75.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	5.0	0.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	3.0
200728	378.0	280.0
440356	1.0	2.0
440354	106.0	85.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	0.0	0.0
128646	18.0	12.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	6.0	28.0
100873410	1.0	0.0
100873417	1.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	396.0	143.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	350.0	94.0
200734	5865.0	1379.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	0.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	6327.0	3085.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	10.0	0.0
165530	177.0	6.0
85409	106.0	224.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	3.0	291.0
106481383	12.0	0.0
85417	84.0	31.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	666.0	212.0
106481389	0.0	0.0
85415	2069.0	15314.0
106481387	0.0	0.0
85413	6.0	25.0
106481388	14.0	1.0
645436	0.0	1.0
106481381	1.0	0.0
106481382	0.0	0.0
10	21.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1811.0	791.0
12	736.0	710.0
13	224.0	0.0
14	2768.0	5000.0
15	2.0	8.0
16	7019.0	9050.0
645455	31.0	7.0
18	2355.0	211.0
19	15799.0	1161.0
128580	13.0	6.0
85407	365.0	186.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1339.0	760.0
106481395	1.0	0.0
85403	2680.0	1354.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4961.0	2299.0
106481390	0.0	0.0
21	2608.0	10799.0
106481391	0.0	0.0
22	2098.0	1129.0
153571	321.0	934.0
153572	2784.0	1380.0
23	3882.0	4776.0
24	418.0	91.0
25	9216.0	4004.0
26	27.0	42.0
27	7691.0	3096.0
28	1550.0	40.0
29	5967.0	2372.0
153579	8709.0	221.0
728615	0.0	0.0
728614	0.0	0.0
200765	246.0	52.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	51.0	14.0
102466518	1.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	2.0	0.0
85438	1.0	0.0
106481361	0.0	0.0
85439	2453.0	175.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	3914.0	1946.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	208.0	86.0
106481366	0.0	0.0
30	1604.0	2273.0
106481360	0.0	1.0
31	11274.0	3954.0
32	26152.0	220.0
33	1335.0	24.0
34	5943.0	1986.0
35	1297.0	636.0
153562	1613.0	960.0
36	11764.0	1318.0
37	14106.0	4939.0
38	7784.0	5014.0
440307	11.0	7.0
39	888.0	845.0
165545	4.0	12.0
106481369	0.0	0.0
728606	69.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	4.0	1.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	53.0	1.0
106481370	0.0	0.0
41	457.0	505.0
106481371	0.0	0.0
43	31.0	50.0
645486	1.0	0.0
47	10483.0	9414.0
48	20165.0	2365.0
49	33.0	9.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	10.0	4.0
106481340	0.0	1.0
