id	f4d80dc6-a28c-4d31-99e8-f58e78678654	a4c7b6e8-ed30-42b2-9daa-0cf0b9d59259
100873340	0.0	0.0
100128723	4.0	0.0
1033	46.0	2056.0
1032	196.0	3155.0
285525	1.0	3.0
1031	1159.0	4803.0
285527	3017.0	3642.0
1030	1671.0	2715.0
728468	0.0	0.0
440288	90.0	86.0
1029	135.0	6840.0
440295	115.0	246.0
1028	1838.0	351.0
1027	3210.0	5323.0
1026	6051.0	1909.0
1025	2466.0	6106.0
1024	412.0	2367.0
3685	6455.0	4249.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	540.0	1566.0
100873345	0.0	0.0
3688	21153.0	25960.0
100873344	0.0	0.0
3689	2031.0	7967.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	2.0
100873370	0.0	0.0
728498	10.0	2.0
100873376	1.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	35.0	71.0
100873375	0.0	0.0
100128710	1.0	2.0
285533	69.0	77.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	1.0
1044	11.0	7.0
1043	873.0	1897.0
1041	1.0	0.0
1040	1536.0	3837.0
1039	1382.0	4627.0
1038	5.0	20.0
1036	1075.0	82.0
3696	1407.0	2058.0
3697	6.0	10.0
100873379	0.0	0.0
3698	35.0	7.0
100873378	1.0	1.0
3699	80.0	7.0
100873377	0.0	0.0
728486	1.0	10.0
100873361	0.0	0.0
105373869	0.0	103.0
100873360	0.0	0.0
285540	62.0	219.0
100128705	2.0	5.0
100873365	2.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	1.0	2.0
1054	2538.0	19694.0
285547	0.0	0.0
1053	0.0	6.0
285548	3.0	31.0
1052	3150.0	3516.0
1051	2290.0	3723.0
728489	16.0	49.0
1050	1316.0	549.0
100128707	0.0	0.0
1048	10.0	2.0
1047	563.0	69.0
1046	0.0	0.0
1045	3.0	34.0
100873369	5.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	5164.0	62.0
1063	293.0	18333.0
1062	83.0	5611.0
1061	2.0	1.0
1060	1206.0	2356.0
440253	179.0	35.0
1059	3737.0	4249.0
1058	43.0	3171.0
1057	0.0	4.0
85379	5936.0	2678.0
114112	405.0	1152.0
1056	19.0	152.0
85377	2016.0	4454.0
85378	1535.0	1419.0
128745	0.0	3.0
85376	4.0	12.0
440248	652.0	373.0
1075	4717.0	8461.0
1074	10.0	13.0
1073	1941.0	3254.0
1072	19529.0	64443.0
1071	328.0	50.0
440243	0.0	0.0
1070	576.0	918.0
1069	1986.0	3510.0
1068	0.0	0.0
85369	1319.0	2364.0
85366	1.0	27.0
85364	1032.0	1353.0
85365	1886.0	3262.0
85363	1382.0	972.0
85360	969.0	662.0
1080	40.0	0.0
85391	5.0	8.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	3.0	1.0
153733	337.0	2470.0
1087	42.0	0.0
1086	1.0	0.0
440279	15.0	0.0
1085	5.0	5.0
1084	3.0	5.0
440278	73.0	35.0
1082	0.0	0.0
403294	0.0	1.0
440275	2670.0	5124.0
1081	0.0	4.0
85397	2.0	21.0
85395	194.0	1499.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	4.0	4.0
440270	1052.0	753.0
1089	7.0	2.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	13.0	2.0
285598	369.0	1387.0
126133	857.0	809.0
128790	0.0	1.0
126129	165.0	564.0
126123	0.0	0.0
442862	0.0	0.0
126119	331.0	135.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	0.0	0.0
442895	1.0	0.0
114131	1.0	0.0
442896	0.0	0.0
114132	19.0	18.0
442897	0.0	0.0
442898	2.0	4.0
114134	545.0	676.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	5.0
100128788	45.0	45.0
100128787	0.0	0.0
440225	0.0	0.0
440224	9.0	2.0
442890	0.0	0.0
442891	0.0	0.0
442892	3.0	0.0
128756	0.0	0.0
100128782	147.0	275.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	139.0	7.0
102466616	0.0	0.0
126052	0.0	0.0
151009	20.0	73.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	17.0	13.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	481.0	4049.0
107131122	0.0	0.0
138050	4903.0	9403.0
403219	0.0	1.0
151011	3929.0	3413.0
645587	0.0	2.0
165679	300.0	9.0
126037	18.0	37.0
114049	2175.0	7202.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	32.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	2.0	0.0
106481483	0.0	0.0
85315	496.0	978.0
100033821	1.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1481.0	2073.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	12.0	30.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	26.0	16.0
645598	0.0	1.0
163007	0.0	1.0
114038	1.0	2.0
645591	0.0	0.0
106481495	1.0	0.0
114041	25.0	4.0
106481496	0.0	0.0
114042	1.0	1.0
106481493	0.0	0.0
114043	14.0	1.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	119.0	327.0
126017	370.0	209.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	0.0
85301	816.0	12298.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	2.0
403275	0.0	0.0
102466656	1.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1494.0	1159.0
106481459	0.0	0.0
26994	6731.0	3775.0
106481457	7.0	1.0
26995	1461.0	6409.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	8.0
403272	0.0	0.0
102466659	0.0	0.0
26999	723.0	1701.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1010.0	3531.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	867.0	12.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	2930.0	4903.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	597.0	862.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	7.0
106481437	0.0	0.0
26974	266.0	21.0
153657	55.0	8.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	864.0	2867.0
165631	113.0	160.0
106481436	0.0	0.0
26978	16.0	14.0
126075	576.0	303.0
106481439	0.0	0.0
403250	0.0	0.0
126074	175.0	212.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	843.0	1116.0
106481444	3.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3293.0	908.0
85354	0.0	0.0
85352	40.0	66.0
403241	0.0	0.0
344462	1.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	263.0	558.0
153643	24.0	1.0
403247	0.0	0.0
403248	0.0	0.0
26985	2395.0	4104.0
106481448	0.0	0.0
26986	40960.0	234576.0
126069	86.0	198.0
106481449	0.0	0.0
126068	470.0	546.0
106481446	0.0	0.0
26983	0.0	0.0
26984	668.0	1209.0
106481447	0.0	0.0
106481451	0.0	4.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	109.0	70.0
106481455	1.0	0.0
85349	70.0	296.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	1.0	10.0
106481454	1.0	0.0
403238	0.0	0.0
85344	2.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	12.0	1.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	0.0
100873392	0.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1746.0	3033.0
100873390	0.0	0.0
728556	26.0	122.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	73.0	130.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	344.0	1753.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	1.0	0.0
100128801	0.0	0.0
285600	112.0	70.0
100873384	0.0	0.0
285601	8.0	49.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	0.0	5.0
63910	55.0	676.0
106481424	1.0	1.0
106481425	0.0	0.0
285605	476.0	389.0
222008	6.0	6.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	1902.0	2386.0
63904	0.0	0.0
106481430	1.0	0.0
163071	29.0	156.0
63906	429.0	1391.0
106481433	0.0	0.0
63908	573.0	615.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	1.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	21.0	42.0
63920	205.0	341.0
63923	230.0	17.0
63922	206.0	1187.0
728577	159.0	62.0
63925	992.0	1640.0
63924	7711.0	4.0
63916	2039.0	3626.0
63917	2430.0	3050.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	7.0
728564	2.0	13.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1435.0	3278.0
106481402	0.0	0.0
63931	1390.0	1786.0
106481403	0.0	0.0
63934	334.0	2164.0
728567	4.0	4.0
106481408	0.0	0.0
163088	3.0	3.0
63933	1514.0	8218.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2056.0	4882.0
163087	742.0	964.0
728568	281.0	972.0
106481407	7.0	11.0
3704	1027.0	1619.0
3705	3622.0	4181.0
63926	502.0	642.0
3706	4.0	12.0
63929	965.0	1104.0
3707	3498.0	1537.0
63928	0.0	0.0
3708	4747.0	1046.0
106481411	0.0	0.0
3709	3722.0	2368.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	15.0	13.0
3702	187.0	1074.0
3703	6249.0	12190.0
645506	0.0	1.0
151050	513.0	1121.0
645520	0.0	0.0
63941	718.0	473.0
63940	1012.0	2080.0
63943	252.0	2283.0
728517	0.0	0.0
163033	291.0	1073.0
258010	1768.0	3588.0
63947	0.0	0.0
63946	16.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	11107.0	9692.0
100033804	0.0	0.0
3717	1310.0	2143.0
100033805	0.0	0.0
3718	598.0	1494.0
63939	744.0	1121.0
100033806	0.0	0.0
100190799	2.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	91.0	66.0
3710	1831.0	16967.0
3712	3317.0	2810.0
3713	0.0	0.0
3714	2153.0	3317.0
63950	1.0	64.0
728505	2.0	0.0
63951	85.0	75.0
100033807	0.0	0.0
728501	45.0	22.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	14798.0	5104.0
100033814	0.0	0.0
3727	9966.0	9041.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	11098.0	31976.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1006.0	2547.0
151056	154.0	164.0
3725	12783.0	7392.0
645528	3.0	0.0
728532	21.0	19.0
163059	232.0	168.0
728538	0.0	0.0
728537	174.0	172.0
63967	19.0	1981.0
3737	17.0	18.0
3738	46.0	371.0
3739	12.0	0.0
645538	0.0	0.0
3730	747.0	323.0
3732	2543.0	2912.0
3734	0.0	0.0
3735	4871.0	9500.0
3736	78.0	4.0
63970	60.0	6.0
3750	224.0	173.0
63971	3492.0	4832.0
63974	0.0	0.0
163049	1734.0	3465.0
63973	28.0	921.0
63976	282.0	13.0
222068	3506.0	7615.0
63978	0.0	2.0
63977	340.0	1246.0
63979	493.0	1974.0
728524	0.0	0.0
3748	492.0	266.0
163051	17.0	31.0
3749	805.0	624.0
163050	27.0	68.0
3741	24.0	9.0
645548	9.0	38.0
3743	4.0	11.0
3744	0.0	0.0
3745	908.0	22.0
3746	28.0	0.0
3747	24.0	0.0
285671	488.0	489.0
285672	1282.0	1367.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	11.0	0.0
285676	60.0	144.0
3761	0.0	0.0
100128657	0.0	1.0
285679	1.0	2.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	681.0	160.0
283008	0.0	0.0
3751	220.0	377.0
100873435	0.0	0.0
3752	1140.0	28.0
100873434	0.0	0.0
3753	52.0	2.0
100873433	0.0	0.0
3754	11.0	308.0
100873432	0.0	0.0
3755	14.0	813.0
100873439	0.0	0.0
3756	9.0	5.0
100873438	0.0	0.0
3757	17.0	892.0
100873437	0.0	0.0
3758	5.0	5.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	109.0	51.0
3772	124.0	151.0
100861458	1.0	0.0
100861453	7.0	7.0
100861455	0.0	0.0
1107	5468.0	6126.0
1106	4233.0	3840.0
1105	2475.0	5022.0
1104	924.0	6627.0
100873429	0.0	0.0
1103	0.0	0.0
1102	971.0	545.0
1101	267.0	2.0
3762	231.0	343.0
100873424	0.0	0.0
3763	8.0	57.0
100128640	78.0	259.0
100873423	0.0	0.0
3764	735.0	858.0
100873422	0.0	2.0
3765	1.0	4.0
100873421	0.0	1.0
3766	7.0	191.0
100873428	0.0	0.0
3767	219.0	234.0
100873427	0.0	0.0
3768	245.0	13.0
1109	1.0	0.0
100873426	0.0	1.0
1108	8256.0	21655.0
3769	14.0	3.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	10.0	13.0
100873453	0.0	0.0
3781	37.0	28.0
100873452	1.0	0.0
3782	324.0	1033.0
100873451	0.0	0.0
3783	692.0	2998.0
100873450	0.0	0.0
1121	1107.0	1506.0
100861468	0.0	0.0
1120	157.0	123.0
100861469	0.0	1.0
1118	49.0	42.0
1117	1463.0	948.0
1116	2152.0	1540.0
1114	5.0	7.0
1113	15.0	2.0
1112	3826.0	4016.0
1111	221.0	2998.0
3773	103.0	113.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	488.0	551.0
100873455	0.0	0.0
3776	269.0	80.0
100873454	0.0	0.0
3777	369.0	1.0
3778	1734.0	610.0
3779	1168.0	285.0
100873459	0.0	1.0
1119	1159.0	5383.0
100128627	3.0	2.0
100128626	0.0	0.0
3790	519.0	3803.0
100128628	2.0	1.0
3791	3816.0	1468.0
100873442	0.0	0.0
3792	30.0	67.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	8.0	3.0
1131	116.0	203.0
1130	2192.0	991.0
100861476	3.0	2.0
1129	1.0	0.0
1128	129.0	403.0
1124	246.0	92.0
1123	834.0	1131.0
1122	718.0	9368.0
100861470	0.0	0.0
3784	439.0	238.0
100873446	0.0	0.0
3785	1.0	1.0
100873445	0.0	2.0
3786	134.0	933.0
100873444	0.0	0.0
3787	33.0	67.0
100873443	0.0	0.0
3788	44.0	2.0
100873449	1.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	60.0	36.0
100128618	2.0	0.0
728597	1.0	1.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	59.0	111.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	2.0
285634	1.0	1.0
1142	0.0	1.0
1141	66.0	8.0
285636	1419.0	2167.0
1140	534.0	437.0
728599	2.0	1.0
1139	6.0	33.0
1138	28.0	355.0
1137	0.0	0.0
100861485	0.0	0.0
1136	14.0	12.0
1135	61.0	1.0
1134	5.0	90.0
1133	11.0	2.0
3795	136.0	654.0
100873479	3.0	2.0
3796	951.0	3848.0
100873478	0.0	0.0
3797	438.0	2039.0
100873477	0.0	1.0
3798	35.0	10.0
100873476	0.0	0.0
3799	9893.0	33839.0
100873460	0.0	0.0
728586	21.0	7.0
285641	0.0	1.0
100873464	1.0	5.0
100873463	0.0	1.0
100873462	1.0	0.0
285643	0.0	9.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1164.0	838.0
1153	11927.0	7272.0
1152	1025.0	9562.0
285647	11.0	44.0
728589	9.0	4.0
728588	8.0	0.0
1149	492.0	0.0
1147	1412.0	2558.0
1146	1.0	1.0
1145	88.0	44.0
1144	0.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	1.0	0.0
100873494	0.0	0.0
1164	249.0	13570.0
1163	600.0	14287.0
285659	0.0	0.0
1161	330.0	507.0
1160	205.0	10.0
1159	55.0	583.0
1158	0.0	9.0
1157	0.0	0.0
1155	1391.0	12926.0
550643	623.0	1124.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2228.0	3782.0
1175	2039.0	4023.0
285668	20.0	0.0
1174	987.0	5568.0
1173	10085.0	17205.0
550631	141.0	75.0
100873489	0.0	0.0
283014	10.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	1.0	0.0
1187	51.0	6.0
1186	1876.0	3711.0
1185	1076.0	1040.0
1184	280.0	1350.0
1183	274.0	1150.0
1182	3874.0	5908.0
1181	136.0	519.0
440375	18.0	31.0
1180	15.0	5.0
1179	0.0	0.0
1178	1.0	0.0
283089	0.0	2.0
85495	0.0	0.0
85480	103.0	16.0
283080	0.0	0.0
1198	1621.0	1978.0
1197	0.0	3.0
1196	1196.0	5846.0
1195	4680.0	2803.0
440366	0.0	0.0
1193	1950.0	999.0
1192	10505.0	26302.0
1191	55739.0	5987.0
1188	17.0	1.0
283078	96.0	554.0
85486	3.0	15.0
128615	0.0	0.0
85481	0.0	0.0
128611	107.0	255.0
440396	35.0	100.0
128609	0.0	0.0
128602	0.0	0.0
440387	1.0	0.0
128674	1.0	2.0
128676	2.0	0.0
114026	0.0	0.0
100861402	0.0	2.0
126014	154.0	344.0
440335	391.0	475.0
100128690	0.0	0.0
114034	493.0	1605.0
126006	49.0	7.0
114036	25.0	28.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	40.0	113.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	2.0
100128678	0.0	2.0
100861429	0.0	0.0
128653	5.0	4.0
200728	173.0	293.0
440356	28.0	46.0
440354	26.0	51.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	8.0	23.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	226.0	124.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	118.0	252.0
200734	3242.0	852.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	9.0	22.0
100873402	0.0	0.0
100873401	0.0	2.0
100873400	0.0	0.0
100128665	0.0	1.0
128637	2621.0	2539.0
100873406	1.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	2.0	3.0
165530	52.0	1.0
85409	61.0	204.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	5.0	291.0
106481383	1.0	3.0
85417	26.0	301.0
106481384	0.0	0.0
103106903	1.0	1.0
85414	304.0	172.0
106481389	0.0	0.0
85415	1646.0	12575.0
106481387	0.0	0.0
85413	13.0	846.0
106481388	2.0	2.0
645436	0.0	0.0
106481381	1.0	0.0
106481382	0.0	0.0
10	24.0	1.0
106481380	0.0	0.0
11	1.0	0.0
403341	790.0	2448.0
12	194.0	32.0
13	13.0	0.0
14	3514.0	8403.0
15	4.0	8.0
16	4479.0	19082.0
645455	3.0	23.0
18	1438.0	336.0
19	2082.0	3060.0
128580	3.0	4.0
85407	103.0	23.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	812.0	1676.0
106481395	0.0	0.0
85403	1219.0	3034.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	2.0
106481393	1.0	0.0
20	2107.0	1170.0
106481390	0.0	0.0
21	1474.0	8743.0
106481391	0.0	0.0
22	875.0	3002.0
153571	300.0	338.0
153572	2043.0	2296.0
23	2981.0	16195.0
24	200.0	15.0
25	5357.0	15433.0
26	20.0	82.0
27	1916.0	13863.0
28	241.0	49.0
29	3541.0	6112.0
153579	5614.0	1115.0
728615	0.0	0.0
728614	0.0	0.0
200765	189.0	364.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	15.0	19.0
102466518	0.0	1.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	476.0	379.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2042.0	2849.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	172.0	159.0
106481366	0.0	0.0
30	1836.0	1851.0
106481360	0.0	0.0
31	3564.0	8930.0
32	5155.0	716.0
33	250.0	15.0
34	2747.0	3104.0
35	1107.0	916.0
153562	886.0	1952.0
36	3795.0	708.0
37	9148.0	8261.0
38	3572.0	3936.0
440307	5.0	12.0
39	709.0	2287.0
165545	5.0	28.0
106481369	0.0	0.0
728606	80.0	3.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	24.0	1.0
106481370	0.0	0.0
41	157.0	504.0
106481371	0.0	0.0
43	59.0	86.0
645486	0.0	0.0
47	5688.0	18672.0
48	4795.0	2712.0
49	28.0	6.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	3.0	2.0
106481340	0.0	0.0
85458	2575.0	519.0
106481345	0.0	0.0
85459	402.0	1332.0
