id	01f17467-b7de-49d4-a9d7-00108f4de1f9	27a9c6bd-6e26-4055-867c-ab7276492464
1030	2248.0	2480.0
728468	0.0	2.0
440288	81.0	66.0
1029	307.0	6956.0
440295	45.0	694.0
1028	2192.0	22.0
1027	2595.0	7487.0
1026	7660.0	468.0
1025	1787.0	2711.0
1024	473.0	1167.0
3685	5536.0	4287.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	227.0	276.0
100873345	0.0	0.0
3688	27576.0	18077.0
100873344	0.0	0.0
3689	1664.0	1374.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	5.0	36.0
100873371	0.0	2.0
100873370	0.0	0.0
728498	23.0	26.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	35.0	83.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	58.0	63.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	11.0
1043	226.0	240.0
1041	1.0	0.0
1040	309.0	2998.0
1039	1017.0	3328.0
1038	26.0	5.0
1036	3450.0	15.0
3696	768.0	15530.0
3697	39.0	3.0
100873379	0.0	0.0
3698	15.0	78.0
100873378	0.0	8.0
3699	1959.0	19.0
100873377	0.0	0.0
728486	6.0	3.0
100873361	0.0	0.0
105373869	6.0	56.0
100873360	0.0	0.0
285540	97.0	110.0
100128705	1.0	7.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	0.0	0.0
1054	2252.0	8876.0
285547	0.0	0.0
1053	1.0	5.0
285548	4.0	43.0
1052	3385.0	2283.0
1051	1735.0	7005.0
728489	6.0	8.0
1050	3945.0	3422.0
100128707	0.0	0.0
1048	2.0	43.0
1047	36.0	9.0
1046	0.0	0.0
1045	0.0	0.0
100873369	5.0	17.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	0.0
1066	6993.0	21.0
1063	425.0	6258.0
1062	175.0	2088.0
1061	2.0	2.0
1060	1038.0	2248.0
440253	186.0	175.0
1059	3253.0	4720.0
1058	39.0	1219.0
1057	0.0	1.0
85379	6005.0	15873.0
114112	411.0	1437.0
1056	49.0	524.0
85377	1560.0	9258.0
85378	1555.0	1946.0
128745	0.0	1.0
85376	6.0	2.0
440248	415.0	674.0
1075	4295.0	2992.0
1074	4.0	17.0
1073	4612.0	836.0
1072	15700.0	44446.0
1071	233.0	35.0
440243	0.0	0.0
1070	454.0	835.0
1069	1486.0	3397.0
1068	0.0	0.0
85369	1440.0	2807.0
85366	20.0	16.0
85364	812.0	1397.0
85365	902.0	2842.0
85363	899.0	600.0
85360	1419.0	186.0
1080	28.0	18.0
85391	2.0	11.0
403296	0.0	0.0
403297	1.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	9.0
153733	338.0	667.0
1087	6.0	2.0
1086	0.0	1.0
440279	114.0	1.0
1085	3.0	32.0
1084	14.0	0.0
440278	80.0	194.0
1082	0.0	2.0
403294	0.0	0.0
440275	2897.0	4649.0
1081	0.0	8.0
85397	4.0	2.0
85395	466.0	756.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	2.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	324.0	2916.0
1089	13.0	5.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	17.0	0.0
285598	665.0	1075.0
126133	939.0	1254.0
128790	0.0	0.0
126129	186.0	1794.0
126123	0.0	1.0
442862	0.0	0.0
126119	424.0	236.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	0.0	0.0
442895	0.0	0.0
114131	1.0	0.0
442896	0.0	0.0
114132	54.0	1.0
442897	0.0	0.0
442898	0.0	1.0
114134	478.0	1362.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	5.0
100128788	16.0	25.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	1.0
128756	0.0	0.0
100128782	155.0	397.0
100128781	1.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	4.0
403234	0.0	1.0
403235	0.0	3.0
403236	0.0	0.0
63982	251.0	41.0
102466616	0.0	0.0
126052	0.0	0.0
151009	39.0	253.0
403227	1.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	7.0	5.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	142.0	3856.0
107131122	1.0	0.0
138050	4348.0	7744.0
403219	0.0	0.0
151011	3601.0	2313.0
645587	0.0	9.0
165679	28.0	13.0
126037	24.0	336.0
114049	1675.0	7098.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	394.0	94.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	884.0	1351.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	130.0	123.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	56.0	1130.0
645598	0.0	0.0
163007	3.0	0.0
114038	0.0	4.0
645591	0.0	18.0
106481495	0.0	0.0
114041	0.0	1.0
106481496	0.0	0.0
114042	3.0	0.0
106481493	0.0	0.0
114043	40.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	106.0	754.0
126017	254.0	1404.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	2.0
85301	943.0	9054.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	1.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	306.0	4217.0
106481459	0.0	1.0
26994	5930.0	4996.0
106481457	4.0	25.0
26995	1197.0	4888.0
106481458	0.0	0.0
403271	0.0	0.0
26998	4.0	118.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1835.0	3523.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	14.0
106481460	0.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1016.0	2437.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	3.0
106481471	0.0	0.0
85329	5433.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	2.0
106481476	0.0	1.0
85320	30.0	58.0
106481470	2.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	328.0	1960.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	1.0
344471	0.0	5.0
106481437	0.0	0.0
26974	123.0	720.0
153657	6.0	66.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	672.0	2935.0
165631	74.0	38.0
106481436	0.0	0.0
26978	8.0	33.0
126075	284.0	288.0
106481439	0.0	0.0
403250	0.0	0.0
126074	79.0	291.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	968.0	1341.0
106481444	1.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3658.0	3287.0
85354	0.0	0.0
85352	101.0	19.0
403241	0.0	0.0
344462	0.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	296.0	369.0
153643	2.0	6.0
403247	0.0	0.0
403248	0.0	0.0
26985	2492.0	5380.0
106481448	0.0	0.0
26986	32642.0	306001.0
126069	90.0	506.0
106481449	0.0	0.0
126068	466.0	764.0
106481446	0.0	0.0
26983	0.0	0.0
26984	545.0	1176.0
106481447	0.0	0.0
106481451	1.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	49.0	16.0
106481455	1.0	0.0
85349	29.0	237.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	1.0	22.0
106481454	0.0	0.0
403238	0.0	0.0
85344	2.0	1.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	1.0	1.0
100873393	1.0	2.0
100873392	3.0	40.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	4.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	900.0	841.0
100873390	0.0	0.0
728556	37.0	118.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	81.0	235.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	227.0	1047.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	98.0	49.0
100873384	0.0	0.0
285601	17.0	17.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	0.0	2.0
63910	132.0	2500.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	329.0	268.0
222008	12.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	1934.0	3367.0
63904	0.0	0.0
106481430	0.0	0.0
163071	18.0	259.0
63906	443.0	1363.0
106481433	0.0	0.0
63908	429.0	1274.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	22.0	168.0
63920	213.0	307.0
63923	409.0	27.0
63922	156.0	970.0
728577	213.0	616.0
63925	869.0	2532.0
63924	20513.0	28.0
63916	2181.0	2986.0
63917	2087.0	5914.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	5.0
728564	2.0	12.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	963.0	2620.0
106481402	0.0	0.0
63931	1249.0	1657.0
106481403	1.0	0.0
63934	264.0	2766.0
728567	4.0	4.0
106481408	0.0	0.0
163088	1.0	9.0
63933	1556.0	3447.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2004.0	3761.0
163087	437.0	1219.0
728568	193.0	961.0
106481407	12.0	16.0
3704	690.0	2380.0
3705	6688.0	3775.0
63926	382.0	1160.0
3706	4.0	8.0
63929	903.0	1283.0
3707	3276.0	5012.0
63928	20.0	4.0
3708	6012.0	529.0
106481411	0.0	0.0
3709	3965.0	9859.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	64.0	23.0
3702	161.0	120.0
3703	4468.0	10437.0
645506	0.0	0.0
151050	882.0	739.0
645520	0.0	0.0
63941	617.0	1115.0
63940	545.0	747.0
63943	150.0	558.0
728517	0.0	0.0
163033	182.0	733.0
258010	555.0	2685.0
63947	0.0	0.0
63946	0.0	0.0
728513	1.0	0.0
100033803	0.0	0.0
3716	12530.0	10995.0
100033804	0.0	0.0
3717	1817.0	896.0
100033805	0.0	0.0
3718	229.0	388.0
63939	732.0	2409.0
100033806	0.0	0.0
100190799	7.0	8.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	67.0	78.0
3710	1911.0	6851.0
3712	2890.0	4219.0
3713	0.0	7.0
3714	1410.0	4339.0
63950	0.0	17.0
728505	1.0	1.0
63951	207.0	193.0
100033807	0.0	0.0
728501	23.0	15.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	12810.0	8122.0
100033814	0.0	0.0
3727	8006.0	5596.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	1.0
3728	4406.0	16384.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	866.0	3726.0
151056	164.0	296.0
3725	34195.0	9166.0
645528	2.0	0.0
728532	18.0	24.0
163059	119.0	772.0
728538	2.0	170.0
728537	88.0	252.0
63967	37.0	698.0
3737	88.0	15.0
3738	27.0	12.0
3739	38.0	1.0
645538	0.0	0.0
3730	1209.0	83.0
3732	1488.0	3455.0
3734	0.0	0.0
3735	4558.0	13854.0
3736	16.0	1.0
63970	6.0	2.0
3750	179.0	117.0
63971	6204.0	2426.0
63974	0.0	0.0
163049	1327.0	3853.0
63973	1.0	3.0
63976	782.0	11.0
222068	3252.0	22354.0
63978	0.0	0.0
63977	337.0	1438.0
63979	375.0	1729.0
728524	0.0	0.0
3748	130.0	2983.0
163051	19.0	73.0
3749	668.0	409.0
163050	25.0	67.0
3741	591.0	14.0
645548	3.0	7.0
3743	3.0	7.0
3744	0.0	0.0
3745	1543.0	17.0
3746	1.0	11.0
3747	28.0	0.0
285671	830.0	200.0
285672	1206.0	1581.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	172.0	2.0
285676	49.0	288.0
3761	0.0	8.0
100128657	0.0	1.0
285679	1.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	214.0	63.0
283008	5.0	23.0
3751	604.0	640.0
100873435	0.0	0.0
3752	784.0	21.0
100873434	0.0	0.0
3753	22.0	6.0
100873433	0.0	0.0
3754	6.0	5.0
100873432	0.0	0.0
3755	35.0	524.0
100873439	0.0	0.0
3756	19.0	1.0
100873438	0.0	0.0
3757	304.0	2126.0
100873437	0.0	0.0
3758	5.0	0.0
100873436	0.0	0.0
100873420	1.0	2.0
3770	47.0	461.0
3772	85.0	27.0
100861458	0.0	1.0
100861453	6.0	21.0
100861455	0.0	0.0
1107	6877.0	7801.0
1106	3803.0	11619.0
1105	1497.0	2891.0
1104	745.0	8962.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1047.0	267.0
1101	120.0	204.0
3762	301.0	32.0
100873424	0.0	0.0
3763	2.0	3.0
100128640	97.0	764.0
100873423	0.0	0.0
3764	1358.0	163.0
100873422	0.0	0.0
3765	2.0	10.0
100873421	0.0	0.0
3766	14.0	12.0
100873428	0.0	0.0
3767	82.0	331.0
100873427	0.0	0.0
3768	369.0	16.0
1109	10.0	22.0
100873426	1.0	0.0
1108	9082.0	24258.0
3769	1.0	3.0
100873425	0.0	0.0
100128637	1.0	3.0
100128639	0.0	0.0
3780	9.0	24.0
100873453	0.0	0.0
3781	32.0	31.0
100873452	0.0	0.0
3782	573.0	184.0
100873451	0.0	0.0
3783	973.0	20015.0
100873450	0.0	0.0
1121	1104.0	1430.0
100861468	0.0	0.0
1120	91.0	89.0
100861469	0.0	0.0
1118	33.0	153.0
1117	1939.0	23906.0
1116	813.0	3468.0
1114	37.0	17.0
1113	3.0	2.0
1112	8234.0	4545.0
1111	250.0	1645.0
3773	98.0	0.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	103.0	560.0
100873455	0.0	0.0
3776	311.0	2993.0
100873454	0.0	0.0
3777	288.0	22.0
3778	4554.0	101.0
3779	2183.0	1603.0
100873459	0.0	0.0
1119	545.0	3253.0
100128627	0.0	8.0
100128626	0.0	0.0
3790	310.0	2371.0
100128628	0.0	5.0
3791	4314.0	1200.0
100873442	0.0	0.0
3792	28.0	72.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	3.0	3.0
1131	128.0	529.0
1130	2967.0	4734.0
100861476	0.0	0.0
1129	4.0	0.0
1128	52.0	1503.0
1124	209.0	28.0
1123	616.0	210.0
1122	732.0	1227.0
100861470	0.0	0.0
3784	371.0	99.0
100873446	0.0	0.0
3785	7.0	115.0
100873445	0.0	0.0
3786	69.0	104.0
100873444	0.0	0.0
3787	6.0	7.0
100873443	0.0	0.0
3788	35.0	1.0
100873449	3.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	1.0
283050	35.0	76.0
100128618	0.0	0.0
728597	6.0	0.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	23.0	108.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	5.0	18.0
285634	9.0	5.0
1142	0.0	0.0
1141	29.0	265.0
285636	1445.0	5545.0
1140	310.0	562.0
728599	1.0	5.0
1139	15.0	46.0
1138	41.0	571.0
1137	13.0	0.0
100861485	0.0	0.0
1136	4.0	118.0
1135	3.0	1.0
1134	0.0	10.0
1133	10.0	16.0
3795	296.0	1609.0
100873479	2.0	5.0
3796	1016.0	1294.0
100873478	0.0	0.0
3797	988.0	8143.0
100873477	2.0	0.0
3798	51.0	1118.0
100873476	0.0	0.0
3799	10533.0	11226.0
100873460	0.0	0.0
728586	17.0	239.0
285641	0.0	0.0
100873464	1.0	4.0
100873463	0.0	0.0
100873462	1.0	1.0
285643	0.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	296.0	817.0
1153	8469.0	4723.0
1152	6271.0	693.0
285647	9.0	17.0
728589	15.0	8.0
728588	0.0	0.0
1149	6494.0	2.0
1147	974.0	2742.0
1146	2.0	10.0
1145	36.0	307.0
1144	0.0	3.0
100873468	0.0	0.0
100873467	2.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	104.0	1649.0
1163	573.0	2037.0
285659	1.0	0.0
1161	381.0	440.0
1160	908.0	153.0
1159	23.0	706.0
1158	0.0	46.0
1157	0.0	0.0
1155	1493.0	2636.0
550643	616.0	2285.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2105.0	1794.0
1175	1705.0	4655.0
285668	16.0	3.0
1174	689.0	2954.0
1173	11863.0	38640.0
550631	29.0	298.0
100873489	0.0	0.0
283014	3.0	2.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	77.0	0.0
1186	1872.0	2682.0
1185	1258.0	542.0
1184	384.0	2272.0
1183	633.0	57.0
1182	3104.0	7144.0
1181	164.0	3037.0
440375	21.0	30.0
1180	15.0	16.0
1179	0.0	0.0
1178	1.0	0.0
283089	9.0	2.0
85495	0.0	0.0
85480	90.0	66.0
283080	0.0	0.0
1198	1803.0	1711.0
1197	0.0	4.0
1196	980.0	4536.0
1195	3536.0	8171.0
440366	0.0	0.0
1193	1417.0	748.0
1192	7070.0	8719.0
1191	76753.0	332.0
1188	14.0	2.0
283078	421.0	7.0
85486	5.0	28.0
128615	0.0	0.0
85481	0.0	0.0
128611	83.0	37.0
440396	25.0	73.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	5.0
128674	0.0	0.0
128676	0.0	2.0
114026	0.0	0.0
100861402	0.0	1.0
126014	67.0	142.0
440335	53.0	496.0
100128690	0.0	0.0
114034	351.0	687.0
126006	13.0	44.0
114036	162.0	112.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	43.0	92.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	3.0
200728	143.0	571.0
440356	8.0	150.0
440354	37.0	182.0
440352	2.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	60.0
100873410	0.0	0.0
100873417	0.0	3.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	15.0	14.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	94.0	207.0
200734	1908.0	8271.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	4.0
100873408	0.0	0.0
100873407	0.0	7.0
100861430	5.0	1.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2857.0	4238.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	4.0
165530	61.0	622.0
85409	57.0	368.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	41.0	1404.0
106481383	1.0	0.0
85417	29.0	12.0
106481384	0.0	0.0
103106903	1.0	28.0
85414	292.0	1649.0
106481389	0.0	0.0
85415	361.0	2528.0
106481387	0.0	1.0
85413	0.0	3.0
106481388	0.0	2.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	5.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	833.0	1620.0
12	46.0	132.0
13	514.0	0.0
14	3256.0	5774.0
15	4.0	11.0
16	5360.0	9366.0
645455	14.0	28.0
18	430.0	422.0
19	5293.0	3738.0
128580	3.0	19.0
85407	977.0	53.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	833.0	1138.0
106481395	0.0	0.0
85403	1053.0	3595.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	3559.0	7226.0
106481390	0.0	0.0
21	2437.0	5368.0
106481391	0.0	0.0
22	906.0	1454.0
153571	169.0	99.0
153572	335.0	427.0
23	2572.0	5750.0
24	134.0	1523.0
25	6266.0	5733.0
26	7.0	19.0
27	1711.0	4394.0
28	405.0	105.0
29	4793.0	3480.0
153579	3963.0	121.0
728615	1.0	0.0
728614	0.0	0.0
200765	96.0	500.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	27.0	31.0
102466518	0.0	0.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	2.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	650.0	938.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1769.0	2661.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	109.0	141.0
106481366	0.0	0.0
30	2188.0	1603.0
106481360	0.0	0.0
31	10439.0	5485.0
32	22933.0	1074.0
33	1191.0	2.0
34	3576.0	3599.0
35	3018.0	596.0
153562	196.0	1427.0
36	2029.0	559.0
37	13319.0	3341.0
38	5576.0	2144.0
440307	3.0	17.0
39	541.0	452.0
165545	1.0	1.0
106481369	0.0	0.0
728606	13.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	1.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	2.0
106481370	0.0	0.0
41	458.0	6576.0
106481371	0.0	0.0
43	59.0	111.0
645486	0.0	0.0
47	8328.0	10090.0
48	13508.0	7473.0
49	10.0	241.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	6.0	13.0
106481340	0.0	0.0
85458	4565.0	1856.0
106481345	1.0	0.0
85459	402.0	575.0
106481346	0.0	0.0
85456	10453.0	7483.0
442910	1.0	0.0
