id	3a04fb30-378c-48a0-a02e-85cf81b31b43	fced57a8-570a-4f05-aa10-4e16aa7ecc85
85343	0.0	0.0
344454	1.0	4.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	1.0	0.0
100873392	3.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2049.0	4885.0
100873390	1.0	0.0
728556	58.0	89.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	139.0	61.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	500.0	612.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	236.0	174.0
100873384	0.0	0.0
285601	9.0	24.0
106481426	0.0	0.0
106481427	2.0	0.0
222005	0.0	3.0
63910	105.0	4545.0
106481424	0.0	0.0
106481425	0.0	1.0
285605	708.0	676.0
222008	2.0	285.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3394.0	4017.0
63904	0.0	0.0
106481430	1.0	0.0
163071	39.0	12.0
63906	645.0	1555.0
106481433	0.0	0.0
63908	782.0	580.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	1.0	0.0
100873389	0.0	0.0
100873388	1.0	0.0
285613	20.0	215.0
63920	356.0	337.0
63923	831.0	879.0
63922	223.0	1586.0
728577	420.0	20.0
63925	1541.0	3082.0
63924	20930.0	40.0
63916	3843.0	8071.0
63917	4062.0	3296.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	5.0	1.0
728564	1.0	12.0
285622	0.0	2.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1819.0	1809.0
106481402	0.0	0.0
63931	2133.0	1813.0
106481403	0.0	0.0
63934	457.0	423.0
728567	4.0	2.0
106481408	0.0	0.0
163088	1.0	3.0
63933	3099.0	4172.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3056.0	4260.0
163087	813.0	639.0
728568	317.0	439.0
106481407	3.0	7.0
3704	1256.0	2600.0
3705	10679.0	5024.0
63926	864.0	2284.0
3706	3.0	628.0
63929	1567.0	1047.0
3707	5740.0	4238.0
63928	2.0	3.0
3708	10371.0	1715.0
106481411	0.0	0.0
3709	9398.0	3119.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	29.0	6.0
3702	219.0	906.0
3703	10732.0	13834.0
645506	0.0	0.0
151050	1290.0	826.0
645520	0.0	0.0
63941	1240.0	4033.0
63940	1403.0	2699.0
63943	300.0	946.0
728517	0.0	0.0
163033	273.0	690.0
258010	1580.0	2336.0
63947	0.0	0.0
63946	1.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	23673.0	13952.0
100033804	0.0	0.0
3717	1803.0	1650.0
100033805	0.0	0.0
3718	592.0	1901.0
63939	946.0	2137.0
100033806	0.0	0.0
100190799	11.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	100.0	58.0
3710	3286.0	15656.0
3712	5274.0	5579.0
3713	3.0	6.0
3714	2640.0	1680.0
63950	1.0	1.0
728505	1.0	2.0
63951	168.0	12.0
100033807	0.0	0.0
728501	40.0	15.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	27651.0	5726.0
100033814	0.0	0.0
3727	14506.0	5714.0
63948	0.0	0.0
100033815	0.0	0.0
222052	4.0	0.0
3728	14433.0	60734.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1657.0	2592.0
151056	420.0	191.0
3725	34778.0	10538.0
645528	9.0	1.0
728532	34.0	25.0
163059	290.0	522.0
728538	0.0	0.0
728537	215.0	93.0
63967	28.0	666.0
3737	35.0	7.0
3738	65.0	64.0
3739	55.0	0.0
645538	0.0	0.0
3730	2109.0	909.0
3732	3201.0	10242.0
3734	0.0	0.0
3735	6784.0	10690.0
3736	88.0	0.0
63970	120.0	15.0
3750	320.0	124.0
63971	7843.0	3733.0
63974	0.0	0.0
163049	2468.0	2110.0
63973	28.0	1.0
63976	247.0	48.0
222068	5509.0	8979.0
63978	0.0	1.0
63977	617.0	988.0
63979	571.0	664.0
728524	0.0	0.0
3748	263.0	134.0
163051	33.0	42.0
3749	1395.0	680.0
163050	52.0	59.0
3741	18.0	20.0
645548	5.0	12.0
3743	1.0	2.0
3744	0.0	0.0
3745	2814.0	78.0
3746	15.0	15.0
3747	115.0	0.0
285671	913.0	272.0
285672	1725.0	1436.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	15.0	36.0
285676	91.0	47.0
3761	0.0	1.0
100128657	0.0	0.0
285679	3.0	9.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1403.0	379.0
283008	3.0	13.0
3751	990.0	549.0
100873435	0.0	0.0
3752	4431.0	173.0
100873434	0.0	0.0
3753	59.0	0.0
100873433	0.0	0.0
3754	44.0	4478.0
100873432	0.0	0.0
3755	57.0	577.0
100873439	0.0	0.0
3756	30.0	21.0
100873438	0.0	0.0
3757	25.0	203.0
100873437	0.0	0.0
3758	12.0	8.0
100873436	0.0	0.0
100873420	3.0	0.0
3770	101.0	70.0
3772	269.0	327.0
100861458	0.0	0.0
100861453	13.0	8.0
100861455	0.0	0.0
1107	8344.0	9753.0
1106	7061.0	5572.0
1105	4003.0	3808.0
1104	1092.0	9049.0
100873429	0.0	0.0
1103	1.0	0.0
1102	1828.0	833.0
1101	2133.0	67.0
3762	761.0	678.0
100873424	0.0	0.0
3763	6.0	36.0
100128640	98.0	34.0
100873423	0.0	0.0
3764	1542.0	988.0
100873422	0.0	0.0
3765	4.0	0.0
100873421	3.0	0.0
3766	10.0	281.0
100873428	0.0	0.0
3767	490.0	1818.0
100873427	0.0	0.0
3768	261.0	72.0
1109	3.0	0.0
100873426	4.0	2.0
1108	14053.0	28412.0
3769	4.0	1.0
100873425	0.0	1.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	7.0	26.0
100873453	0.0	0.0
3781	18.0	82.0
100873452	0.0	1.0
3782	405.0	392.0
100873451	0.0	0.0
3783	573.0	2019.0
100873450	0.0	0.0
1121	2033.0	1036.0
100861468	0.0	0.0
1120	206.0	119.0
100861469	0.0	0.0
1118	366.0	696.0
1117	1385.0	128.0
1116	5152.0	4020.0
1114	173.0	8.0
1113	3.0	0.0
1112	10105.0	2835.0
1111	270.0	948.0
3773	374.0	7.0
100873457	2.0	0.0
100873456	0.0	0.0
3775	218.0	145.0
100873455	0.0	0.0
3776	360.0	93.0
100873454	0.0	0.0
3777	933.0	74.0
3778	2480.0	1017.0
3779	1923.0	443.0
100873459	0.0	0.0
1119	1315.0	1086.0
100128627	1.0	6.0
100128626	0.0	0.0
3790	819.0	1648.0
100128628	5.0	2.0
3791	7434.0	3831.0
100873442	0.0	0.0
3792	176.0	69.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	21.0	16.0
1131	129.0	18.0
1130	4996.0	1721.0
100861476	0.0	0.0
1129	2.0	0.0
1128	150.0	118.0
1124	425.0	336.0
1123	805.0	1393.0
1122	1062.0	1340.0
100861470	0.0	0.0
3784	790.0	482.0
100873446	0.0	0.0
3785	4.0	14.0
100873445	0.0	0.0
3786	446.0	236.0
100873444	0.0	0.0
3787	78.0	3.0
100873443	0.0	0.0
3788	31.0	6.0
100873449	4.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	92.0	41.0
100128618	1.0	2.0
728597	2.0	0.0
100128617	0.0	7.0
100873475	0.0	0.0
100873474	1.0	0.0
728591	75.0	7.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	7.0	4.0
285634	6.0	3.0
1142	0.0	2.0
1141	63.0	10.0
285636	2472.0	3179.0
1140	732.0	479.0
728599	3.0	2.0
1139	11.0	11.0
1138	52.0	226.0
1137	1.0	2.0
100861485	0.0	0.0
1136	28.0	15.0
1135	30.0	0.0
1134	2.0	329.0
1133	15.0	20.0
3795	306.0	583.0
100873479	6.0	4.0
3796	1684.0	1544.0
100873478	0.0	0.0
3797	1168.0	1265.0
100873477	0.0	3.0
3798	86.0	56.0
100873476	0.0	0.0
3799	19894.0	12642.0
100873460	0.0	0.0
728586	7.0	16.0
285641	2.0	1.0
100873464	0.0	1.0
100873463	3.0	0.0
100873462	1.0	0.0
285643	1.0	2.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	686.0	2678.0
1153	13403.0	11589.0
1152	1685.0	166.0
285647	22.0	29.0
728589	21.0	20.0
728588	0.0	1.0
1149	3375.0	14.0
1147	1832.0	1658.0
1146	0.0	5.0
1145	66.0	42.0
1144	1.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	302.0	1688.0
1163	969.0	2849.0
285659	0.0	0.0
1161	514.0	511.0
1160	761.0	71.0
1159	44.0	495.0
1158	6.0	6.0
1157	0.0	0.0
1155	1750.0	5650.0
550643	1095.0	2101.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3354.0	3725.0
1175	2814.0	7531.0
285668	72.0	5.0
1174	1054.0	4219.0
1173	16533.0	26786.0
550631	181.0	127.0
100873489	0.0	0.0
283014	6.0	10.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	109.0	10.0
1186	3044.0	5046.0
1185	2199.0	943.0
1184	577.0	559.0
1183	897.0	204.0
1182	7603.0	5191.0
1181	247.0	414.0
440375	44.0	40.0
1180	73.0	30.0
1179	0.0	0.0
1178	1.0	0.0
283089	1.0	0.0
85495	0.0	0.0
85480	238.0	8.0
283080	1.0	0.0
1198	2714.0	2266.0
1197	0.0	0.0
1196	1599.0	3346.0
1195	6338.0	2792.0
440366	4.0	1.0
1193	2153.0	1347.0
1192	15234.0	46088.0
1191	94681.0	39684.0
1188	40.0	5.0
283078	757.0	75.0
85486	3.0	8.0
128615	0.0	0.0
85481	0.0	1.0
128611	65.0	226.0
440396	41.0	48.0
128609	0.0	1.0
128602	0.0	0.0
440387	1.0	0.0
128674	1.0	0.0
128676	0.0	1.0
114026	0.0	2.0
100861402	1.0	11.0
126014	165.0	482.0
440335	570.0	4751.0
100128690	0.0	0.0
114034	679.0	948.0
126006	52.0	90.0
114036	79.0	36.0
100128696	0.0	0.0
100128688	1.0	0.0
126003	53.0	53.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	0.0	3.0
100861429	0.0	0.0
128653	1.0	0.0
200728	224.0	103.0
440356	1.0	8.0
440354	79.0	87.0
440352	1.0	1.0
100873419	0.0	0.0
100873418	2.0	0.0
100873413	0.0	0.0
128646	0.0	14.0
100873412	0.0	0.0
100873411	0.0	1.0
100128675	4.0	0.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	14.0	6.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	127.0	124.0
200734	4552.0	3996.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	5.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	23.0	15.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	1.0
100128665	0.0	0.0
128637	4648.0	2910.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	4.0
165530	117.0	3.0
85409	62.0	622.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	3.0	1.0
85417	65.0	50.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	317.0	310.0
106481389	0.0	0.0
85415	1699.0	2593.0
106481387	0.0	0.0
85413	7.0	5.0
106481388	2.0	1.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	29.0	14.0
106481380	0.0	0.0
11	2.0	2.0
403341	1222.0	795.0
12	574.0	102.0
13	444.0	3.0
14	5146.0	11696.0
15	1.0	14.0
16	7678.0	12488.0
645455	12.0	6.0
18	2020.0	1050.0
19	8216.0	3341.0
128580	5.0	6.0
85407	117.0	227.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1697.0	2523.0
106481395	0.0	1.0
85403	1977.0	3399.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	1.0
20	4858.0	19795.0
106481390	0.0	0.0
21	3613.0	3766.0
106481391	0.0	0.0
22	1497.0	776.0
153571	488.0	685.0
153572	2613.0	1148.0
23	4220.0	13488.0
24	113.0	339.0
25	8209.0	7551.0
26	11.0	34.0
27	3822.0	3929.0
28	993.0	46.0
29	6562.0	7377.0
153579	9953.0	207.0
728615	0.0	1.0
728614	0.0	0.0
200765	206.0	277.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	33.0	22.0
102466518	1.0	0.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	1299.0	521.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2711.0	3354.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	163.0	163.0
106481366	0.0	0.0
30	2940.0	2850.0
106481360	0.0	0.0
31	7799.0	4192.0
32	19185.0	671.0
33	882.0	2.0
34	4657.0	2608.0
35	2801.0	977.0
153562	1239.0	3458.0
36	8954.0	2512.0
37	20959.0	12121.0
38	6344.0	2399.0
440307	14.0	17.0
39	865.0	3487.0
165545	5.0	442.0
106481369	0.0	0.0
728606	522.0	2.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	4.0	0.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	5.0	11.0
106481370	0.0	0.0
41	291.0	497.0
106481371	0.0	0.0
43	74.0	502.0
645486	0.0	0.0
47	11259.0	19120.0
48	16512.0	2235.0
49	30.0	5.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	11.0	2.0
106481340	1.0	0.0
85458	7044.0	1451.0
