id	96ddce60-2be5-4f57-814b-35722aa00fd9	be8c6402-fb97-4c31-8a18-a5b4783a1726
100873344	0.0	0.0
3689	3112.0	2826.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	5.0	0.0
100873370	0.0	0.0
728498	44.0	19.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	50.0	21.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	231.0	104.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	40.0	38.0
1043	600.0	600.0
1041	11.0	1.0
1040	2990.0	1807.0
1039	2174.0	2660.0
1038	0.0	9.0
1036	1051.0	348.0
3696	5700.0	991.0
3697	7.0	0.0
100873379	0.0	0.0
3698	1313.0	49.0
100873378	0.0	3.0
3699	115.0	29.0
100873377	0.0	0.0
728486	8.0	4.0
100873361	0.0	0.0
105373869	56.0	1092.0
100873360	0.0	0.0
285540	248.0	95.0
100128705	6.0	4.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	2.0
100873362	0.0	0.0
100128701	3.0	0.0
1054	2271.0	2259.0
285547	0.0	0.0
1053	3.0	1.0
285548	4.0	47.0
1052	3638.0	1251.0
1051	2844.0	1793.0
728489	11.0	3.0
1050	478.0	650.0
100128707	2.0	0.0
1048	19.0	1333.0
1047	275.0	1547.0
1046	0.0	0.0
1045	0.0	0.0
100873369	36.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	5.0	0.0
1066	1566.0	547.0
1063	884.0	2311.0
1062	189.0	657.0
1061	13.0	3.0
1060	4061.0	1218.0
440253	191.0	104.0
1059	4547.0	4965.0
1058	80.0	102.0
1057	3.0	1.0
85379	13615.0	3766.0
114112	1200.0	630.0
1056	34.0	10.0
85377	3424.0	1230.0
85378	5669.0	1604.0
128745	0.0	0.0
85376	2.0	21.0
440248	959.0	208.0
1075	3506.0	2643.0
1074	37.0	6.0
1073	1738.0	795.0
1072	22298.0	42118.0
1071	207.0	85.0
440243	2.0	0.0
1070	1327.0	774.0
1069	2821.0	3261.0
1068	0.0	0.0
85369	3223.0	1207.0
85366	6.0	10.0
85364	1571.0	1037.0
85365	2379.0	2789.0
85363	2384.0	689.0
85360	1192.0	1399.0
1080	149.0	15.0
85391	3.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	850.0	805.0
1087	7.0	5.0
1086	2.0	0.0
440279	52.0	1.0
1085	2.0	2.0
1084	4.0	2.0
440278	149.0	87.0
1082	1.0	0.0
403294	0.0	0.0
440275	6434.0	4043.0
1081	2.0	39.0
85397	2.0	18.0
85395	394.0	284.0
403285	0.0	0.0
1091	1.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	3119.0	325.0
1089	2.0	1.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	38.0	0.0
285598	1524.0	755.0
126133	1580.0	947.0
128790	0.0	0.0
126129	361.0	268.0
126123	2.0	0.0
442862	0.0	0.0
126119	422.0	572.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	3.0	0.0
114131	0.0	1.0
442896	0.0	0.0
114132	10.0	6.0
442897	0.0	0.0
442898	3.0	0.0
114134	1151.0	590.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	5.0
100128788	98.0	21.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	2.0
100128782	377.0	105.0
100128781	3.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	51.0	308.0
102466616	0.0	0.0
126052	2.0	0.0
151009	72.0	10.0
403227	16.0	28.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	12.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	834.0	605.0
107131122	1.0	0.0
138050	9899.0	9703.0
403219	0.0	0.0
151011	7264.0	2147.0
645587	2.0	1.0
165679	1559.0	217.0
126037	40.0	37.0
114049	3499.0	1781.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	903.0	727.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3395.0	1598.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	414.0	140.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	1.0	0.0
138065	286.0	86.0
645598	0.0	0.0
163007	0.0	1.0
114038	5.0	1.0
645591	0.0	0.0
106481495	3.0	0.0
114041	230.0	29.0
106481496	1.0	0.0
114042	7.0	3.0
106481493	0.0	0.0
114043	30.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	434.0	125.0
126017	971.0	432.0
106481497	2.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	4.0	0.0
85301	5636.0	775.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	1.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2828.0	1419.0
106481459	0.0	0.0
26994	10077.0	4640.0
106481457	7.0	0.0
26995	2650.0	1642.0
106481458	0.0	0.0
403271	0.0	0.0
26998	8.0	0.0
403272	2.0	0.0
102466659	0.0	0.0
26999	1357.0	2727.0
403273	0.0	0.0
102466658	13.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	6.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	4505.0	1255.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	2.0	1.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	25.0	270.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	2586.0	2566.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1639.0	754.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	6.0	1.0
106481437	0.0	0.0
26974	448.0	70.0
153657	217.0	29.0
106481438	5.0	26.0
106481435	1.0	0.0
26973	2488.0	768.0
165631	199.0	51.0
106481436	2.0	0.0
26978	13.0	14.0
126075	1212.0	504.0
106481439	0.0	0.0
403250	0.0	0.0
126074	256.0	168.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1609.0	1684.0
106481444	18.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2834.0	1415.0
85354	0.0	0.0
85352	101.0	539.0
403241	0.0	4.0
344462	2.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	1095.0	524.0
153643	97.0	66.0
403247	0.0	0.0
403248	0.0	0.0
26985	4718.0	3186.0
106481448	0.0	0.0
26986	88521.0	49022.0
126069	200.0	131.0
106481449	0.0	0.0
126068	1100.0	482.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1018.0	803.0
106481447	0.0	0.0
106481451	5.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	1466.0	119.0
106481455	0.0	0.0
85349	141.0	8.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	3.0	0.0
85347	0.0	0.0
26980	3.0	0.0
106481454	1.0	0.0
403238	0.0	0.0
85344	8.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	45.0	16.0
85340	0.0	0.0
100873394	2.0	0.0
100873393	2.0	0.0
100873392	2.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	1.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	4462.0	1880.0
100873390	0.0	0.0
728556	65.0	35.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	211.0	67.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	1.0
163081	767.0	313.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	3.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	1.0	0.0
285600	581.0	208.0
100873384	0.0	0.0
285601	22.0	14.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	198.0	344.0
106481424	0.0	1.0
106481425	0.0	0.0
285605	927.0	456.0
222008	26.0	0.0
106481428	0.0	0.0
106481429	2.0	0.0
63905	2965.0	2319.0
63904	0.0	0.0
106481430	1.0	2.0
163071	48.0	26.0
63906	985.0	528.0
106481433	0.0	0.0
63908	1688.0	492.0
106481434	0.0	0.0
106481431	1.0	1.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	5.0	1.0
285613	88.0	40.0
63920	556.0	471.0
63923	1587.0	1214.0
63922	619.0	213.0
728577	751.0	80.0
63925	2754.0	1482.0
63924	55.0	1110.0
63916	3462.0	3609.0
63917	5335.0	2439.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	1.0
728564	4.0	3.0
285622	2.0	3.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2024.0	1047.0
106481402	0.0	0.0
63931	2335.0	1939.0
106481403	1.0	0.0
63934	1463.0	207.0
728567	6.0	2.0
106481408	0.0	0.0
163088	1.0	3.0
63933	3240.0	1926.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4087.0	2423.0
163087	1645.0	552.0
728568	383.0	349.0
106481407	5.0	3.0
3704	1561.0	1370.0
3705	3669.0	3401.0
63926	1050.0	624.0
3706	7.0	110.0
63929	1523.0	1199.0
3707	4492.0	1867.0
63928	29.0	0.0
3708	25184.0	2057.0
106481411	0.0	0.0
3709	22260.0	2541.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	61.0	6.0
3702	206.0	173.0
3703	10844.0	8401.0
645506	0.0	0.0
151050	1997.0	500.0
645520	0.0	0.0
63941	1517.0	1670.0
63940	920.0	974.0
63943	378.0	300.0
728517	0.0	0.0
163033	452.0	332.0
258010	3379.0	1441.0
63947	0.0	0.0
63946	3.0	2.0
728513	3.0	0.0
100033803	0.0	0.0
3716	22678.0	12708.0
100033804	0.0	0.0
3717	2266.0	731.0
100033805	0.0	0.0
3718	732.0	494.0
63939	1756.0	521.0
100033806	0.0	0.0
100190799	14.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	142.0	36.0
3710	8170.0	2655.0
3712	7446.0	3058.0
3713	69.0	1.0
3714	3990.0	1560.0
63950	0.0	0.0
728505	0.0	2.0
63951	61.0	130.0
100033807	0.0	0.0
728501	49.0	19.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	12484.0	5305.0
100033814	0.0	0.0
3727	13748.0	4486.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	26018.0	24483.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	3013.0	1043.0
151056	338.0	178.0
3725	56305.0	5770.0
645528	1.0	0.0
728532	37.0	15.0
163059	692.0	239.0
728538	1.0	0.0
728537	521.0	77.0
63967	43.0	113.0
3737	27.0	6.0
3738	99.0	22.0
3739	4.0	1.0
645538	0.0	0.0
3730	3164.0	963.0
3732	5623.0	1567.0
3734	0.0	0.0
3735	8583.0	5191.0
3736	974.0	87.0
63970	416.0	26.0
3750	499.0	203.0
63971	11205.0	4363.0
63974	0.0	0.0
163049	4237.0	1691.0
63973	224.0	1.0
63976	246.0	84.0
222068	6992.0	5142.0
63978	0.0	0.0
63977	969.0	399.0
63979	1419.0	635.0
728524	0.0	0.0
3748	1058.0	311.0
163051	60.0	34.0
3749	3096.0	398.0
163050	133.0	35.0
3741	49.0	29.0
645548	15.0	30.0
3743	16.0	0.0
3744	0.0	0.0
3745	449.0	113.0
3746	62.0	4.0
3747	4111.0	230.0
285671	1300.0	684.0
285672	2573.0	1335.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	829.0	115.0
285676	197.0	63.0
3761	1.0	2.0
100128657	0.0	0.0
285679	5.0	4.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	582.0	289.0
283008	0.0	0.0
3751	306.0	1055.0
100873435	1.0	0.0
3752	2340.0	337.0
100873434	0.0	0.0
3753	26.0	0.0
100873433	3.0	0.0
3754	29.0	141.0
100873432	0.0	0.0
3755	217.0	87.0
100873439	0.0	0.0
3756	23.0	17.0
100873438	0.0	0.0
3757	58.0	42.0
100873437	0.0	0.0
3758	5.0	4.0
100873436	0.0	0.0
100873420	8.0	8.0
3770	197.0	47.0
3772	91.0	239.0
100861458	0.0	0.0
100861453	30.0	4.0
100861455	0.0	0.0
1107	21791.0	6487.0
1106	14157.0	3554.0
1105	6205.0	2645.0
1104	2223.0	1245.0
100873429	0.0	0.0
1103	0.0	0.0
1102	3011.0	1297.0
1101	2128.0	4427.0
3762	556.0	337.0
100873424	0.0	0.0
3763	10.0	39.0
100128640	365.0	58.0
100873423	0.0	0.0
3764	1578.0	551.0
100873422	0.0	0.0
3765	2.0	1.0
100873421	0.0	0.0
3766	23.0	25.0
100873428	0.0	0.0
3767	872.0	349.0
100873427	0.0	0.0
3768	128.0	90.0
1109	2.0	0.0
100873426	1.0	0.0
1108	22792.0	11006.0
3769	109.0	0.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	56.0	28.0
100873453	0.0	0.0
3781	50.0	55.0
100873452	0.0	0.0
3782	459.0	632.0
100873451	0.0	0.0
3783	3136.0	437.0
100873450	0.0	0.0
1121	3197.0	1596.0
100861468	0.0	0.0
1120	332.0	123.0
100861469	1.0	0.0
1118	6697.0	170.0
1117	1169.0	278.0
1116	2249.0	1954.0
1114	52.0	3.0
1113	64.0	1.0
1112	9593.0	3449.0
1111	385.0	259.0
3773	659.0	7.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	545.0	1042.0
100873455	0.0	0.0
3776	459.0	81.0
100873454	0.0	0.0
3777	220.0	45.0
3778	6551.0	949.0
3779	4580.0	441.0
100873459	0.0	0.0
1119	3483.0	839.0
100128627	5.0	0.0
100128626	0.0	0.0
3790	1143.0	2328.0
100128628	9.0	6.0
3791	5763.0	4996.0
100873442	0.0	0.0
3792	111.0	3.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	29.0
1132	12.0	29.0
1131	441.0	154.0
1130	4986.0	1844.0
100861476	2.0	0.0
1129	3.0	1.0
1128	551.0	42.0
1124	316.0	206.0
1123	907.0	1057.0
1122	1951.0	532.0
100861470	0.0	0.0
3784	564.0	576.0
100873446	0.0	0.0
3785	36.0	3.0
100873445	0.0	0.0
3786	255.0	436.0
100873444	0.0	0.0
3787	171.0	20.0
100873443	0.0	0.0
3788	18.0	41.0
100873449	19.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	204.0	46.0
100128618	2.0	0.0
728597	10.0	0.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	184.0	36.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	35.0	21.0
285634	8.0	2.0
1142	0.0	3.0
1141	304.0	45.0
285636	3992.0	2097.0
1140	820.0	395.0
728599	7.0	7.0
1139	27.0	9.0
1138	101.0	65.0
1137	1.0	0.0
100861485	0.0	0.0
1136	34.0	26.0
1135	50.0	0.0
1134	165.0	96.0
1133	40.0	44.0
3795	316.0	176.0
100873479	3.0	7.0
3796	2418.0	868.0
100873478	0.0	0.0
3797	2227.0	1515.0
100873477	4.0	7.0
3798	565.0	155.0
100873476	0.0	0.0
3799	17252.0	8309.0
100873460	0.0	0.0
728586	30.0	8.0
285641	1.0	0.0
100873464	3.0	2.0
100873463	0.0	0.0
100873462	3.0	0.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	5124.0	2115.0
1153	34749.0	8970.0
1152	614.0	1754.0
285647	30.0	12.0
728589	78.0	8.0
728588	10.0	0.0
1149	14.0	142.0
1147	2156.0	1096.0
1146	3.0	4.0
1145	79.0	61.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	320.0	625.0
1163	865.0	879.0
285659	0.0	0.0
1161	588.0	282.0
1160	283.0	109.0
1159	96.0	72.0
1158	6.0	5.0
1157	0.0	1.0
1155	1972.0	2425.0
550643	1346.0	2001.0
283025	1.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2565.0	2585.0
1175	2128.0	3553.0
285668	22.0	2.0
1174	1586.0	908.0
1173	16236.0	19043.0
550631	246.0	164.0
100873489	0.0	0.0
283014	8.0	12.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	91.0	26.0
1186	4063.0	2722.0
1185	2577.0	782.0
1184	532.0	378.0
1183	661.0	233.0
1182	10826.0	5606.0
1181	566.0	425.0
440375	47.0	21.0
1180	60.0	27.0
1179	1.0	0.0
1178	2.0	1.0
283089	18.0	3.0
85495	0.0	0.0
85480	295.0	29.0
283080	0.0	0.0
1198	4325.0	1769.0
1197	1.0	1.0
1196	3530.0	1724.0
1195	15028.0	2682.0
440366	5.0	1.0
1193	1488.0	803.0
1192	10536.0	14586.0
1191	50881.0	20571.0
1188	46.0	10.0
283078	53.0	58.0
85486	5.0	2.0
128615	0.0	0.0
85481	0.0	4.0
128611	86.0	50.0
440396	89.0	34.0
128609	0.0	0.0
128602	0.0	0.0
440387	1.0	1.0
128674	0.0	0.0
128676	1.0	0.0
114026	0.0	0.0
100861402	1.0	2.0
126014	164.0	163.0
440335	654.0	2298.0
100128690	0.0	0.0
114034	894.0	510.0
126006	315.0	206.0
114036	24.0	69.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	108.0	56.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	256.0	229.0
440356	14.0	2.0
440354	178.0	44.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	3.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	15.0	4.0
100873410	0.0	0.0
100873417	4.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	184.0	96.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	183.0	34.0
200734	6966.0	3734.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	43.0	32.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4978.0	3441.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	1.0
165530	215.0	21.0
85409	508.0	1063.0
106481385	4.0	0.0
106481386	0.0	0.0
85416	7.0	2.0
106481383	2.0	1.0
85417	68.0	33.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	528.0	434.0
106481389	0.0	0.0
85415	4398.0	429.0
106481387	0.0	0.0
85413	40.0	3.0
106481388	11.0	4.0
645436	0.0	0.0
106481381	3.0	1.0
106481382	0.0	0.0
10	19.0	55.0
106481380	0.0	0.0
11	0.0	1.0
403341	1204.0	631.0
12	1766.0	218.0
13	126.0	6.0
14	7243.0	4060.0
15	10.0	4.0
16	8563.0	6194.0
645455	13.0	4.0
18	3582.0	1953.0
19	6511.0	1860.0
128580	7.0	1.0
85407	184.0	181.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	2176.0	1489.0
106481395	1.0	0.0
85403	2171.0	2334.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	3.0
106481393	0.0	0.0
20	5693.0	2948.0
106481390	0.0	0.0
21	3450.0	2273.0
106481391	0.0	0.0
22	2170.0	889.0
153571	480.0	433.0
153572	6346.0	1325.0
23	4769.0	3454.0
24	860.0	168.0
25	10267.0	5972.0
26	47.0	11.0
27	3729.0	3564.0
28	354.0	598.0
29	8658.0	3509.0
153579	3568.0	393.0
728615	0.0	0.0
728614	0.0	0.0
200765	435.0	149.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	38.0	14.0
102466518	3.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	1.0	0.0
106481361	0.0	0.0
85439	2076.0	747.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3104.0	2519.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	461.0	139.0
106481366	0.0	0.0
30	3901.0	1727.0
106481360	0.0	0.0
31	7781.0	3118.0
32	4868.0	1508.0
33	169.0	39.0
34	4847.0	1806.0
35	2139.0	542.0
153562	2507.0	1061.0
36	13462.0	3823.0
37	20448.0	4469.0
38	2776.0	1773.0
440307	20.0	9.0
39	1130.0	1250.0
165545	18.0	10.0
106481369	0.0	0.0
728606	197.0	384.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	9.0	60.0
106481370	0.0	0.0
41	530.0	417.0
106481371	0.0	0.0
43	53.0	21.0
645486	0.0	0.0
47	13427.0	13010.0
48	2844.0	3556.0
49	31.0	25.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	9.0	7.0
106481340	0.0	0.0
85458	6391.0	1551.0
106481345	0.0	0.0
