id	8ab96801-8d29-476a-908a-7a99f11f713d	95c9a871-c81b-4a30-92a4-9227a0058553
100873350	1.0	0.0
116729	3.0	0.0
728477	5.0	0.0
3680	4227.0	1252.0
3681	29.0	21.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	762.0	1499.0
100873353	0.0	1.0
3683	908.0	994.0
100873352	2.0	0.0
128710	801.0	1618.0
3684	884.0	1646.0
100873351	0.0	1.0
285512	272.0	105.0
1022	1208.0	1741.0
285513	1444.0	1518.0
1021	3172.0	6903.0
1020	514.0	911.0
440299	4.0	0.0
1019	3680.0	3356.0
128709	0.0	0.0
1018	31.0	7.0
1017	1852.0	4300.0
1016	4.0	0.0
1015	21.0	10.0
1014	1.0	0.0
1013	11.0	6.0
1012	4600.0	2207.0
116730	55.0	127.0
3674	130.0	24.0
100873358	0.0	0.0
3675	8544.0	10461.0
100873357	2.0	0.0
3676	876.0	772.0
100128731	4823.0	12769.0
100873356	0.0	0.0
3678	7877.0	9106.0
3679	21272.0	1394.0
100873359	0.0	0.0
728464	108.0	7.0
728463	45.0	9.0
100128725	0.0	0.0
3690	541.0	468.0
3691	16284.0	5545.0
100873343	1.0	0.0
3692	3958.0	6398.0
3693	13265.0	15624.0
285521	1622.0	2350.0
100873342	0.0	0.0
3694	6102.0	63490.0
100873341	0.0	0.0
3695	177.0	47.0
100873340	0.0	0.0
100128723	0.0	6.0
1033	49.0	1340.0
1032	467.0	213.0
285525	6.0	2.0
1031	11526.0	1436.0
285527	7535.0	6392.0
1030	3151.0	4265.0
728468	0.0	1.0
440288	201.0	211.0
1029	118.0	382.0
440295	218.0	175.0
1028	5454.0	1190.0
1027	7251.0	6951.0
1026	21480.0	9551.0
1025	4451.0	2829.0
1024	1047.0	1910.0
3685	12608.0	41352.0
100873347	1.0	1.0
100873346	0.0	0.0
3687	683.0	1129.0
100873345	0.0	0.0
3688	53061.0	55338.0
100873344	0.0	1.0
3689	2401.0	1719.0
100873349	0.0	3.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	5.0	0.0
100873370	0.0	0.0
728498	64.0	10.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	29.0	39.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	164.0	37.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	19.0	3.0
1043	335.0	502.0
1041	2.0	0.0
1040	1478.0	8410.0
1039	2103.0	3595.0
1038	86.0	59.0
1036	9176.0	2068.0
3696	3849.0	1618.0
3697	5.0	3.0
100873379	0.0	0.0
3698	74.0	16.0
100873378	1.0	4.0
3699	160.0	69.0
100873377	0.0	0.0
728486	8.0	13.0
100873361	0.0	1.0
105373869	3.0	3106.0
100873360	0.0	2.0
285540	201.0	406.0
100128705	5.0	4.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	12.0
100873362	1.0	0.0
100128701	2.0	1.0
1054	4105.0	3820.0
285547	0.0	0.0
1053	0.0	4.0
285548	5.0	24.0
1052	3716.0	2034.0
1051	5421.0	5228.0
728489	11.0	6.0
1050	9486.0	615.0
100128707	0.0	0.0
1048	19.0	5999.0
1047	129.0	4020.0
1046	0.0	0.0
1045	0.0	1.0
100873369	28.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	6.0	1.0
1066	9465.0	1553.0
1063	669.0	9037.0
1062	179.0	2574.0
1061	16.0	11.0
1060	3593.0	2333.0
440253	408.0	132.0
1059	5964.0	4826.0
1058	11.0	1115.0
1057	98.0	2.0
85379	10615.0	6700.0
114112	1068.0	618.0
1056	6920.0	8.0
85377	4024.0	1067.0
85378	4632.0	923.0
128745	0.0	1.0
85376	5.0	9.0
440248	1137.0	329.0
1075	5347.0	10552.0
1074	21.0	22.0
1073	6165.0	1889.0
1072	26769.0	62664.0
1071	952.0	109.0
440243	0.0	0.0
1070	1277.0	1456.0
1069	2640.0	8679.0
1068	0.0	0.0
85369	2943.0	1230.0
85366	1.0	32.0
85364	1906.0	1732.0
85365	2426.0	5134.0
85363	2204.0	2884.0
85360	1841.0	791.0
1080	104.0	21.0
85391	2.0	2.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	3.0	1.0
153733	780.0	800.0
1087	28.0	132.0
1086	1.0	0.0
440279	18.0	3.0
1085	8.0	0.0
1084	16.0	6.0
440278	221.0	148.0
1082	0.0	2.0
403294	0.0	0.0
440275	6856.0	5127.0
1081	0.0	0.0
85397	7.0	5.0
85395	475.0	98.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	1.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	4.0	2.0
440270	911.0	449.0
1089	18.0	0.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	29.0	1.0
285598	1333.0	806.0
126133	1592.0	627.0
128790	0.0	0.0
126129	221.0	157.0
126123	0.0	1.0
442862	0.0	0.0
126119	602.0	380.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	1.0
442895	0.0	0.0
114131	2.0	0.0
442896	0.0	0.0
114132	31.0	7.0
442897	0.0	0.0
442898	6.0	0.0
114134	976.0	1394.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	13.0
100128788	71.0	183.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	182.0
442890	0.0	0.0
442891	1.0	0.0
442892	2.0	0.0
128756	2.0	0.0
100128782	304.0	86.0
100128781	1.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	6.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	700.0	92.0
102466616	0.0	0.0
126052	1.0	0.0
151009	47.0	105.0
403227	5.0	0.0
403228	0.0	0.0
138046	3.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	7.0	2.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	533.0	945.0
107131122	0.0	2.0
138050	9248.0	12056.0
403219	0.0	0.0
151011	8441.0	6371.0
645587	7.0	2.0
165679	358.0	3301.0
126037	36.0	81.0
114049	3283.0	2717.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	952.0	1101.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2562.0	2059.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	197.0	207.0
100033820	0.0	0.0
106481480	1.0	2.0
106481481	0.0	0.0
138065	58.0	4.0
645598	0.0	1.0
163007	3.0	0.0
114038	2.0	2.0
645591	2.0	0.0
106481495	0.0	0.0
114041	69.0	281.0
106481496	0.0	0.0
114042	24.0	5.0
106481493	0.0	0.0
114043	21.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	313.0	194.0
126017	643.0	881.0
106481497	1.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	4.0	2.0
85301	2494.0	641.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	15.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1158.0	7900.0
106481459	0.0	0.0
26994	11868.0	13048.0
106481457	16.0	15.0
26995	2895.0	3166.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1069.0	285.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	4.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2738.0	1027.0
106481467	0.0	0.0
106481464	2.0	2.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	2.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	14393.0	1434.0
106481472	0.0	0.0
106481477	0.0	2.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	1315.0	7070.0
106481470	2.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1051.0	948.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	0.0
106481437	0.0	0.0
26974	337.0	464.0
153657	112.0	62.0
106481438	0.0	16.0
106481435	0.0	0.0
26973	1711.0	2070.0
165631	133.0	80.0
106481436	0.0	0.0
26978	21.0	43.0
126075	687.0	746.0
106481439	0.0	0.0
403250	0.0	0.0
126074	214.0	336.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1705.0	594.0
106481444	8.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	2.0
85358	9759.0	933.0
85354	0.0	0.0
85352	81.0	243.0
403241	0.0	0.0
344462	0.0	3.0
403244	0.0	0.0
403245	1.0	0.0
153642	685.0	554.0
153643	9.0	2.0
403247	0.0	0.0
403248	0.0	0.0
26985	5484.0	8399.0
106481448	0.0	0.0
26986	79963.0	298870.0
126069	233.0	147.0
106481449	0.0	0.0
126068	980.0	572.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1166.0	1956.0
106481447	0.0	0.0
106481451	2.0	4.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	467.0	113.0
106481455	0.0	2.0
85349	248.0	84.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	2.0	34.0
106481454	1.0	0.0
403238	0.0	0.0
85344	5.0	22.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	4.0	11.0
85340	0.0	0.0
100873394	1.0	0.0
100873393	2.0	4.0
100873392	2.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	4.0	1.0
106481413	0.0	0.0
106481414	1.0	1.0
63901	2946.0	6562.0
100873390	0.0	0.0
728556	76.0	196.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	197.0	73.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	501.0	606.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	8.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	299.0	304.0
100873384	0.0	0.0
285601	17.0	18.0
106481426	0.0	0.0
106481427	2.0	0.0
222005	1.0	2.0
63910	216.0	145.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	816.0	1351.0
222008	0.0	1.0
106481428	1.0	0.0
106481429	3.0	2.0
63905	3191.0	2639.0
63904	0.0	0.0
106481430	0.0	3.0
163071	59.0	10.0
63906	1079.0	369.0
106481433	0.0	0.0
63908	1177.0	1553.0
106481434	0.0	0.0
106481431	1.0	0.0
106481432	0.0	0.0
100873389	0.0	1.0
100873388	3.0	0.0
285613	37.0	24.0
63920	525.0	501.0
63923	1308.0	45.0
63922	395.0	183.0
728577	817.0	62.0
63925	2070.0	1361.0
63924	48254.0	4961.0
63916	3050.0	5779.0
63917	4345.0	2993.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	13.0
728564	1.0	8.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2088.0	3089.0
106481402	1.0	0.0
63931	2529.0	2667.0
106481403	1.0	0.0
63934	812.0	150.0
728567	5.0	32.0
106481408	0.0	0.0
163088	18.0	3.0
63933	3315.0	4360.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4178.0	3776.0
163087	1296.0	816.0
728568	379.0	637.0
106481407	18.0	18.0
3704	1430.0	1584.0
3705	9910.0	3495.0
63926	1451.0	3711.0
3706	11.0	14.0
63929	2163.0	4340.0
3707	8553.0	3082.0
63928	6.0	0.0
3708	14837.0	2706.0
106481411	0.0	0.0
3709	12456.0	7420.0
106481412	0.0	0.0
106481410	2.0	0.0
3700	44.0	9.0
3702	188.0	75.0
3703	10247.0	14906.0
645506	0.0	0.0
151050	2259.0	1015.0
645520	0.0	1.0
63941	1632.0	2547.0
63940	907.0	702.0
63943	391.0	432.0
728517	0.0	0.0
163033	487.0	394.0
258010	1674.0	3115.0
63947	0.0	0.0
63946	1.0	312.0
728513	2.0	1.0
100033803	0.0	0.0
3716	30234.0	50815.0
100033804	0.0	0.0
3717	3253.0	1664.0
100033805	0.0	0.0
3718	794.0	347.0
63939	1737.0	2768.0
100033806	0.0	0.0
100190799	12.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	113.0	118.0
3710	3951.0	4022.0
3712	7723.0	4149.0
3713	0.0	149.0
3714	4709.0	705.0
63950	2.0	0.0
728505	0.0	2.0
63951	353.0	58.0
100033807	0.0	0.0
728501	54.0	34.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	44036.0	15897.0
100033814	0.0	0.0
3727	26774.0	8487.0
63948	1.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	19795.0	27481.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2138.0	2625.0
151056	276.0	113.0
3725	83323.0	11245.0
645528	11.0	0.0
728532	41.0	76.0
163059	419.0	485.0
728538	0.0	1.0
728537	353.0	174.0
63967	77.0	755.0
3737	71.0	8.0
3738	122.0	23.0
3739	53.0	1.0
645538	0.0	1.0
3730	2389.0	3240.0
3732	4447.0	1989.0
3734	1.0	0.0
3735	10107.0	6788.0
3736	257.0	50.0
63970	53.0	12.0
3750	466.0	148.0
63971	12262.0	6705.0
63974	0.0	0.0
163049	3866.0	2611.0
63973	108.0	4.0
63976	451.0	101.0
222068	6790.0	7322.0
63978	0.0	1.0
63977	818.0	652.0
63979	1120.0	1594.0
728524	0.0	0.0
3748	719.0	1535.0
163051	22.0	50.0
3749	2742.0	288.0
163050	78.0	35.0
3741	72.0	46.0
645548	21.0	12.0
3743	1.0	2.0
3744	0.0	0.0
3745	5050.0	306.0
3746	39.0	2.0
3747	181.0	0.0
285671	1290.0	587.0
285672	2525.0	1685.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	100.0	3534.0
285676	147.0	57.0
3761	1.0	0.0
100128657	0.0	0.0
285679	5.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1225.0	653.0
283008	0.0	0.0
3751	299.0	221.0
100873435	0.0	0.0
3752	1241.0	402.0
100873434	0.0	0.0
3753	163.0	3.0
100873433	0.0	0.0
3754	47.0	1408.0
100873432	0.0	0.0
3755	53.0	76.0
100873439	0.0	0.0
3756	34.0	155.0
100873438	0.0	0.0
3757	35.0	9.0
100873437	0.0	0.0
3758	12.0	17.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	163.0	108.0
3772	209.0	745.0
100861458	0.0	0.0
100861453	48.0	20.0
100861455	0.0	0.0
1107	14729.0	6962.0
1106	11132.0	4807.0
1105	4610.0	4265.0
1104	1266.0	2475.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2759.0	1331.0
1101	500.0	8833.0
3762	296.0	334.0
100873424	0.0	0.0
3763	4.0	64.0
100128640	225.0	227.0
100873423	0.0	0.0
3764	2510.0	799.0
100873422	0.0	0.0
3765	6.0	0.0
100873421	1.0	0.0
3766	27.0	18.0
100873428	0.0	0.0
3767	190.0	230.0
100873427	1.0	1.0
3768	265.0	121.0
1109	1.0	0.0
100873426	3.0	4.0
1108	20217.0	16434.0
3769	26.0	245.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	28.0	8.0
100873453	0.0	0.0
3781	49.0	80.0
100873452	0.0	0.0
3782	924.0	667.0
100873451	0.0	0.0
3783	1108.0	270.0
100873450	0.0	0.0
1121	2937.0	3708.0
100861468	0.0	0.0
1120	248.0	112.0
100861469	0.0	0.0
1118	83.0	792.0
1117	1881.0	793.0
1116	2721.0	704.0
1114	121.0	7.0
1113	13.0	0.0
1112	19841.0	5512.0
1111	432.0	1278.0
3773	629.0	12.0
100873457	1.0	0.0
100873456	1.0	0.0
3775	483.0	4790.0
100873455	0.0	0.0
3776	568.0	200.0
100873454	0.0	0.0
3777	532.0	170.0
3778	3040.0	1625.0
3779	1914.0	203.0
100873459	1.0	0.0
1119	2212.0	1502.0
100128627	7.0	4.0
100128626	0.0	0.0
3790	1027.0	1069.0
100128628	4.0	4.0
3791	12123.0	3852.0
100873442	0.0	0.0
3792	44.0	6.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	11.0	28.0
1131	226.0	114.0
1130	7032.0	3512.0
100861476	0.0	0.0
1129	0.0	3.0
1128	210.0	15.0
1124	548.0	372.0
1123	880.0	1110.0
1122	1744.0	5114.0
100861470	0.0	0.0
3784	795.0	148.0
100873446	0.0	0.0
3785	1.0	1.0
100873445	0.0	0.0
3786	186.0	294.0
100873444	0.0	0.0
3787	65.0	9.0
100873443	0.0	0.0
3788	27.0	20.0
100873449	12.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	129.0	58.0
100128618	0.0	0.0
728597	2.0	1.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	65.0	135.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	7.0	4.0
285634	9.0	10.0
1142	0.0	0.0
1141	139.0	4.0
285636	4270.0	5348.0
1140	759.0	337.0
728599	7.0	4.0
1139	68.0	12.0
1138	49.0	57.0
1137	3.0	0.0
100861485	0.0	0.0
1136	14.0	15.0
1135	19.0	0.0
1134	2.0	98.0
1133	23.0	14.0
3795	370.0	104.0
100873479	15.0	4.0
3796	2853.0	2385.0
100873478	0.0	0.0
3797	1879.0	1027.0
100873477	2.0	1.0
3798	273.0	43.0
100873476	0.0	0.0
3799	20430.0	39394.0
100873460	0.0	0.0
728586	24.0	28.0
285641	1.0	0.0
100873464	2.0	0.0
100873463	0.0	1.0
100873462	10.0	6.0
285643	1.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	3269.0	7445.0
1153	29406.0	11648.0
1152	7978.0	966.0
285647	28.0	21.0
728589	38.0	30.0
728588	3.0	37.0
1149	9704.0	634.0
1147	2130.0	2496.0
1146	0.0	1.0
1145	87.0	70.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	182.0	4075.0
1163	1353.0	2233.0
285659	1.0	0.0
1161	720.0	600.0
1160	1445.0	281.0
1159	76.0	293.0
1158	5.0	8.0
1157	0.0	0.0
1155	2088.0	1643.0
550643	1190.0	2510.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3050.0	5691.0
1175	2632.0	3523.0
285668	28.0	6.0
1174	1505.0	2120.0
1173	18361.0	16966.0
550631	142.0	105.0
100873489	0.0	0.0
283014	16.0	5.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	104.0	5.0
1186	4039.0	3055.0
1185	3736.0	876.0
1184	627.0	627.0
1183	1082.0	387.0
1182	9091.0	14002.0
1181	338.0	220.0
440375	50.0	8.0
1180	79.0	0.0
1179	0.0	8.0
1178	2.0	3.0
283089	19.0	6.0
85495	0.0	0.0
85480	423.0	57.0
283080	0.0	0.0
1198	4493.0	1846.0
1197	1.0	0.0
1196	2441.0	2121.0
1195	7893.0	6463.0
440366	4.0	0.0
1193	2561.0	1290.0
1192	12615.0	23168.0
1191	73148.0	12443.0
1188	40.0	3.0
283078	422.0	99.0
85486	4.0	4.0
128615	0.0	0.0
85481	1.0	0.0
128611	117.0	29.0
440396	80.0	37.0
128609	0.0	0.0
128602	0.0	17.0
440387	2.0	1.0
128674	1.0	0.0
128676	0.0	3.0
114026	0.0	0.0
100861402	1.0	7.0
126014	134.0	239.0
440335	335.0	1041.0
100128690	0.0	0.0
114034	969.0	609.0
126006	29.0	13.0
114036	76.0	105.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	53.0	48.0
100861412	3.0	0.0
105180390	0.0	1.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	1.0	2.0
100861429	0.0	0.0
128653	0.0	3.0
200728	261.0	232.0
440356	2.0	37.0
440354	118.0	103.0
440352	5.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	3.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	8.0	1.0
100873410	0.0	0.0
100873417	8.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	144.0	25.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	225.0	89.0
200734	4560.0	5165.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	7.0
100873408	0.0	0.0
100873407	1.0	0.0
100861430	25.0	40.0
100873402	0.0	0.0
100873401	4.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	6483.0	5256.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	17.0	3.0
165530	194.0	7.0
85409	175.0	22.0
106481385	5.0	1.0
106481386	0.0	1.0
85416	5.0	7.0
106481383	1.0	4.0
85417	101.0	122.0
106481384	2.0	0.0
103106903	2.0	2.0
85414	497.0	362.0
106481389	0.0	0.0
85415	1639.0	1843.0
106481387	0.0	0.0
85413	12.0	1.0
106481388	8.0	4.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	13.0	26.0
106481380	0.0	0.0
11	0.0	1.0
403341	1491.0	1668.0
12	470.0	1289.0
13	616.0	108.0
14	8638.0	2947.0
15	5.0	0.0
16	9828.0	5430.0
645455	22.0	10.0
18	1783.0	6165.0
19	20101.0	5397.0
128580	6.0	9.0
85407	216.0	53.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1951.0	1293.0
106481395	0.0	0.0
85403	2155.0	4134.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	1.0
20	8417.0	3855.0
106481390	0.0	0.0
21	3787.0	1754.0
106481391	0.0	0.0
22	2309.0	2127.0
153571	467.0	90.0
153572	3393.0	533.0
23	5400.0	5963.0
24	295.0	2776.0
25	11226.0	6643.0
26	23.0	13.0
27	3524.0	4123.0
28	1271.0	207.0
29	9095.0	3710.0
153579	18066.0	600.0
728615	0.0	0.0
728614	0.0	0.0
200765	298.0	429.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	109.0	41.0
102466518	1.0	3.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1321.0	1772.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3126.0	4137.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	246.0	74.0
106481366	0.0	0.0
30	4500.0	626.0
106481360	0.0	0.0
31	25266.0	7262.0
32	77212.0	4263.0
33	1833.0	326.0
34	10319.0	10540.0
35	6154.0	290.0
153562	1043.0	3506.0
36	9363.0	6170.0
37	26599.0	5333.0
38	10333.0	4200.0
440307	8.0	14.0
39	1778.0	1563.0
165545	7.0	203.0
106481369	0.0	0.0
728606	89.0	1.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	9.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	6.0	0.0
106481370	0.0	0.0
41	462.0	241.0
106481371	0.0	0.0
43	236.0	16.0
645486	0.0	0.0
47	19014.0	15027.0
48	23385.0	6160.0
49	59.0	7.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	3.0	0.0
106481341	0.0	0.0
106481342	10.0	7.0
