id	a1a68fe9-9635-4b7f-b9a2-34474ef8c1dc	95041603-df86-48f7-9ba5-8289883df2d0
1031	1500.0	594.0
285527	3520.0	4988.0
1030	1889.0	2308.0
728468	0.0	0.0
440288	102.0	205.0
1029	186.0	1012.0
440295	97.0	76.0
1028	1889.0	745.0
1027	3684.0	7557.0
1026	6702.0	4765.0
1025	2581.0	4535.0
1024	471.0	305.0
3685	5642.0	13822.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	421.0	2966.0
100873345	0.0	0.0
3688	31385.0	24384.0
100873344	0.0	0.0
3689	2895.0	12258.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	22.0	4.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	2.0
728492	15.0	47.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	114.0	91.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	8.0	19.0
1043	681.0	2341.0
1041	5.0	1.0
1040	1883.0	4544.0
1039	1367.0	2248.0
1038	7.0	4.0
1036	1170.0	126.0
3696	3895.0	870.0
3697	1.0	13.0
100873379	0.0	0.0
3698	279.0	16.0
100873378	0.0	2.0
3699	83.0	141.0
100873377	0.0	0.0
728486	9.0	1.0
100873361	0.0	0.0
105373869	0.0	320.0
100873360	0.0	0.0
285540	70.0	152.0
100128705	1.0	3.0
100873365	3.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	1.0
100873362	0.0	0.0
100128701	4.0	1.0
1054	3300.0	4041.0
285547	1.0	1.0
1053	0.0	8.0
285548	4.0	6.0
1052	4252.0	2304.0
1051	3645.0	2166.0
728489	16.0	14.0
1050	2096.0	1552.0
100128707	1.0	2.0
1048	150.0	139.0
1047	117.0	725.0
1046	0.0	2.0
1045	7.0	1.0
100873369	11.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	10753.0	491.0
1063	751.0	6021.0
1062	153.0	406.0
1061	10.0	3.0
1060	1454.0	1699.0
440253	169.0	62.0
1059	4575.0	10790.0
1058	78.0	435.0
1057	0.0	2.0
85379	9114.0	7489.0
114112	695.0	252.0
1056	26.0	8.0
85377	2863.0	2705.0
85378	2193.0	1869.0
128745	0.0	0.0
85376	14.0	72.0
440248	608.0	151.0
1075	4756.0	7272.0
1074	14.0	10.0
1073	2428.0	1237.0
1072	26937.0	79209.0
1071	83.0	170.0
440243	0.0	0.0
1070	631.0	1129.0
1069	3037.0	5212.0
1068	0.0	0.0
85369	1741.0	1989.0
85366	1.0	27.0
85364	1476.0	1949.0
85365	1966.0	3052.0
85363	1210.0	1168.0
85360	989.0	1301.0
1080	31.0	9.0
85391	1.0	1.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	550.0	937.0
1087	11.0	13.0
1086	0.0	0.0
440279	51.0	10.0
1085	14.0	1.0
1084	0.0	4.0
440278	117.0	74.0
1082	2.0	1.0
403294	0.0	0.0
440275	4385.0	5559.0
1081	5.0	11.0
85397	9.0	11.0
85395	528.0	698.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	1290.0	117.0
1089	7.0	1.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	9.0	0.0
285598	670.0	181.0
126133	1419.0	3316.0
128790	0.0	0.0
126129	164.0	251.0
126123	2.0	1.0
442862	0.0	0.0
126119	382.0	1293.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	1.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	23.0	84.0
442897	0.0	0.0
442898	0.0	0.0
114134	332.0	1146.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	2.0
100128788	52.0	106.0
100128787	0.0	0.0
440225	1.0	0.0
440224	0.0	469.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	1.0
100128782	255.0	175.0
100128781	0.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	125.0	5.0
102466616	0.0	0.0
126052	0.0	0.0
151009	51.0	44.0
403227	8.0	8.0
403228	1.0	0.0
138046	3.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	0.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	921.0	1985.0
107131122	2.0	0.0
138050	6842.0	6519.0
403219	0.0	0.0
151011	5129.0	3227.0
645587	5.0	3.0
165679	149.0	7.0
126037	79.0	128.0
114049	3103.0	7120.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	28.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	378.0	1049.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1816.0	2035.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	239.0	130.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	280.0	21.0
645598	0.0	0.0
163007	2.0	0.0
114038	0.0	0.0
645591	1.0	0.0
106481495	0.0	0.0
114041	84.0	248.0
106481496	0.0	0.0
114042	4.0	2.0
106481493	0.0	0.0
114043	21.0	5.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	170.0	152.0
126017	522.0	876.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	2.0
85301	1653.0	529.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	593.0	13302.0
106481459	0.0	0.0
26994	5365.0	11001.0
106481457	2.0	13.0
26995	1853.0	2457.0
106481458	0.0	0.0
403271	1.0	0.0
26998	4.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	816.0	2322.0
403273	0.0	0.0
102466658	12.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	1.0
106481460	2.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1801.0	2269.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	2.0	0.0
104310351	7.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	1028.0	58.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	60.0	4196.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	725.0	1277.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	1.0
106481437	0.0	0.0
26974	297.0	176.0
153657	38.0	32.0
106481438	0.0	50.0
106481435	0.0	0.0
26973	817.0	560.0
165631	52.0	95.0
106481436	0.0	0.0
26978	13.0	6.0
126075	572.0	908.0
106481439	0.0	0.0
403250	0.0	0.0
126074	147.0	249.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1172.0	4573.0
106481444	4.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2566.0	2704.0
85354	0.0	0.0
85352	91.0	52.0
403241	0.0	0.0
344462	2.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	302.0	587.0
153643	15.0	12.0
403247	0.0	0.0
403248	0.0	0.0
26985	3221.0	5819.0
106481448	0.0	0.0
26986	76345.0	82101.0
126069	171.0	145.0
106481449	0.0	0.0
126068	786.0	677.0
106481446	0.0	0.0
26983	0.0	0.0
26984	744.0	1219.0
106481447	0.0	0.0
106481451	1.0	5.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	160.0	59.0
106481455	0.0	0.0
85349	198.0	60.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	10.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	11.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	2.0	6.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	4.0	0.0
106481416	0.0	4.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1633.0	3736.0
100873390	0.0	0.0
728556	37.0	76.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	154.0	59.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	400.0	550.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	7.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	136.0	190.0
100873384	0.0	0.0
285601	11.0	33.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	3.0
63910	128.0	372.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	489.0	1107.0
222008	0.0	14.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	3518.0	4302.0
63904	0.0	0.0
106481430	0.0	1.0
163071	41.0	74.0
63906	700.0	1285.0
106481433	0.0	0.0
63908	593.0	688.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	58.0	90.0
63920	343.0	283.0
63923	423.0	813.0
63922	445.0	1490.0
728577	288.0	61.0
63925	1359.0	1337.0
63924	8612.0	356.0
63916	2362.0	2789.0
63917	3179.0	2688.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	9.0	1.0
728564	0.0	10.0
285622	1.0	2.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1516.0	1385.0
106481402	0.0	0.0
63931	1644.0	2965.0
106481403	0.0	1.0
63934	664.0	421.0
728567	10.0	3.0
106481408	0.0	0.0
163088	17.0	7.0
63933	1848.0	3102.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2943.0	3923.0
163087	694.0	638.0
728568	204.0	500.0
106481407	4.0	13.0
3704	1657.0	3325.0
3705	5407.0	8899.0
63926	641.0	1375.0
3706	5.0	216.0
63929	730.0	1435.0
3707	4027.0	3364.0
63928	17.0	0.0
3708	8601.0	6130.0
106481411	0.0	0.0
3709	8779.0	15088.0
106481412	0.0	0.0
106481410	3.0	0.0
3700	18.0	8.0
3702	138.0	472.0
3703	8261.0	11325.0
645506	2.0	1.0
151050	598.0	454.0
645520	0.0	0.0
63941	597.0	3675.0
63940	900.0	2569.0
63943	351.0	764.0
728517	0.0	0.0
163033	335.0	947.0
258010	1387.0	3372.0
63947	0.0	0.0
63946	0.0	3.0
728513	2.0	4.0
100033803	0.0	0.0
3716	14532.0	13704.0
100033804	0.0	0.0
3717	1007.0	1422.0
100033805	0.0	0.0
3718	431.0	824.0
63939	1007.0	1277.0
100033806	0.0	0.0
100190799	2.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	74.0	96.0
3710	3241.0	5911.0
3712	4605.0	6918.0
3713	19.0	1.0
3714	3790.0	3525.0
63950	3.0	0.0
728505	0.0	0.0
63951	57.0	9.0
100033807	0.0	0.0
728501	45.0	16.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	21831.0	6506.0
100033814	0.0	0.0
3727	10613.0	10626.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	2.0
3728	19637.0	21416.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1821.0	2915.0
151056	376.0	298.0
3725	38677.0	9840.0
645528	3.0	1.0
728532	21.0	32.0
163059	293.0	382.0
728538	0.0	2.0
728537	173.0	83.0
63967	81.0	632.0
3737	44.0	5.0
3738	33.0	63.0
3739	11.0	0.0
645538	0.0	0.0
3730	866.0	5089.0
3732	5192.0	8349.0
3734	0.0	0.0
3735	8736.0	8091.0
3736	90.0	24.0
63970	220.0	35.0
3750	197.0	309.0
63971	5208.0	5858.0
63974	0.0	0.0
163049	2396.0	2299.0
63973	35.0	6.0
63976	271.0	157.0
222068	4048.0	8211.0
63978	1.0	0.0
63977	631.0	676.0
63979	510.0	1106.0
728524	0.0	0.0
3748	733.0	147.0
163051	32.0	36.0
3749	1595.0	696.0
163050	67.0	63.0
3741	46.0	55.0
645548	6.0	32.0
3743	0.0	2.0
3744	0.0	0.0
3745	1369.0	124.0
3746	34.0	14.0
3747	49.0	3461.0
285671	715.0	372.0
285672	1394.0	1615.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	2.0	5855.0
285676	97.0	42.0
3761	4.0	0.0
100128657	0.0	0.0
285679	3.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1546.0	434.0
283008	0.0	1.0
3751	369.0	501.0
100873435	0.0	0.0
3752	839.0	3282.0
100873434	0.0	0.0
3753	24.0	2.0
100873433	0.0	0.0
3754	29.0	353.0
100873432	0.0	0.0
3755	75.0	56.0
100873439	0.0	0.0
3756	4.0	8.0
100873438	0.0	0.0
3757	135.0	999.0
100873437	0.0	0.0
3758	0.0	3.0
100873436	0.0	0.0
100873420	8.0	2.0
3770	104.0	73.0
3772	155.0	109.0
100861458	0.0	0.0
100861453	28.0	10.0
100861455	0.0	0.0
1107	11904.0	8720.0
1106	6552.0	3833.0
1105	2949.0	9194.0
1104	1924.0	3774.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1170.0	1097.0
1101	494.0	22206.0
3762	420.0	376.0
100873424	0.0	0.0
3763	29.0	4.0
100128640	228.0	160.0
100873423	0.0	0.0
3764	840.0	1025.0
100873422	0.0	0.0
3765	2.0	2.0
100873421	0.0	2.0
3766	8.0	37.0
100873428	0.0	0.0
3767	289.0	3201.0
100873427	0.0	0.0
3768	213.0	68.0
1109	2.0	3.0
100873426	0.0	0.0
1108	14088.0	24079.0
3769	0.0	9.0
100873425	0.0	0.0
100128637	1.0	3.0
100128639	0.0	0.0
3780	11.0	101.0
100873453	0.0	0.0
3781	36.0	62.0
100873452	0.0	1.0
3782	435.0	721.0
100873451	0.0	0.0
3783	2779.0	554.0
100873450	0.0	0.0
1121	1273.0	1766.0
100861468	0.0	0.0
1120	141.0	145.0
100861469	0.0	0.0
1118	142.0	2314.0
1117	2805.0	217.0
1116	6080.0	6602.0
1114	264.0	5.0
1113	13.0	3.0
1112	5919.0	4778.0
1111	337.0	1093.0
3773	353.0	9.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	565.0	5701.0
100873455	0.0	0.0
3776	1188.0	88.0
100873454	0.0	0.0
3777	348.0	83.0
3778	3857.0	4770.0
3779	2971.0	427.0
100873459	0.0	0.0
1119	2243.0	1619.0
100128627	2.0	1.0
100128626	0.0	0.0
3790	1189.0	3470.0
100128628	1.0	4.0
3791	3135.0	4585.0
100873442	0.0	0.0
3792	23.0	24.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	27.0	25.0
1131	173.0	110.0
1130	2257.0	2090.0
100861476	0.0	2.0
1129	0.0	0.0
1128	335.0	42.0
1124	230.0	282.0
1123	1548.0	745.0
1122	937.0	6673.0
100861470	0.0	0.0
3784	948.0	1087.0
100873446	0.0	0.0
3785	0.0	0.0
100873445	0.0	0.0
3786	205.0	598.0
100873444	0.0	0.0
3787	284.0	132.0
100873443	0.0	0.0
3788	1.0	28.0
100873449	2.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	103.0	84.0
100128618	1.0	0.0
728597	4.0	0.0
100128617	0.0	7.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	59.0	61.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	9.0	9.0
285634	0.0	3.0
1142	0.0	0.0
1141	181.0	42.0
285636	1808.0	2655.0
1140	603.0	322.0
728599	1.0	1.0
1139	20.0	13.0
1138	47.0	22.0
1137	0.0	125.0
100861485	0.0	0.0
1136	9.0	4.0
1135	0.0	4.0
1134	6.0	164.0
1133	18.0	12.0
3795	229.0	684.0
100873479	2.0	0.0
3796	1368.0	2178.0
100873478	0.0	0.0
3797	836.0	2062.0
100873477	1.0	0.0
3798	176.0	36.0
100873476	0.0	0.0
3799	11776.0	15234.0
100873460	0.0	0.0
728586	30.0	14.0
285641	3.0	2.0
100873464	0.0	3.0
100873463	0.0	0.0
100873462	1.0	3.0
285643	0.0	4.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	898.0	1674.0
1153	19703.0	27220.0
1152	1541.0	1436.0
285647	11.0	25.0
728589	14.0	8.0
728588	1.0	0.0
1149	1134.0	85.0
1147	1412.0	1883.0
1146	3.0	0.0
1145	59.0	71.0
1144	2.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	261.0	1609.0
1163	916.0	2066.0
285659	0.0	0.0
1161	387.0	588.0
1160	227.0	64.0
1159	212.0	8.0
1158	4.0	7.0
1157	0.0	0.0
1155	2182.0	6988.0
550643	1038.0	1146.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2085.0	2249.0
1175	2101.0	6272.0
285668	43.0	5.0
1174	1411.0	3469.0
1173	14192.0	46591.0
550631	117.0	329.0
100873489	0.0	0.0
283014	0.0	9.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	38.0	13.0
1186	2313.0	4197.0
1185	1255.0	1062.0
1184	441.0	1119.0
1183	435.0	167.0
1182	5193.0	6761.0
1181	189.0	819.0
440375	56.0	27.0
1180	78.0	9.0
1179	0.0	0.0
1178	0.0	0.0
283089	3.0	9.0
85495	0.0	0.0
85480	114.0	21.0
283080	0.0	0.0
1198	2139.0	1584.0
1197	2.0	1.0
1196	1816.0	1509.0
1195	5374.0	1915.0
440366	1.0	1.0
1193	1419.0	1392.0
1192	14253.0	30542.0
1191	58015.0	15936.0
1188	31.0	37.0
283078	114.0	352.0
85486	22.0	7.0
128615	0.0	0.0
85481	0.0	1.0
128611	77.0	148.0
440396	51.0	61.0
128609	0.0	0.0
128602	2.0	0.0
440387	6.0	2.0
128674	0.0	1.0
128676	0.0	0.0
114026	1.0	0.0
100861402	0.0	13.0
126014	87.0	509.0
440335	526.0	2027.0
100128690	0.0	0.0
114034	731.0	1343.0
126006	52.0	257.0
114036	23.0	32.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	26.0	87.0
100861412	0.0	2.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	1.0
200728	198.0	169.0
440356	7.0	8.0
440354	44.0	23.0
440352	0.0	3.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	2.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	7.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	2.0	2.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	135.0	104.0
200734	3120.0	5888.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	0.0	2.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3353.0	3947.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	1.0
100873403	0.0	0.0
645440	0.0	0.0
645443	13.0	4.0
165530	108.0	28.0
85409	205.0	405.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	7.0	0.0
106481383	0.0	0.0
85417	60.0	43.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	261.0	483.0
106481389	0.0	0.0
85415	2559.0	1400.0
106481387	0.0	0.0
85413	9.0	4.0
106481388	0.0	2.0
645436	0.0	1.0
106481381	0.0	1.0
106481382	0.0	0.0
10	13.0	2.0
106481380	0.0	0.0
11	0.0	5.0
403341	1080.0	1047.0
12	1084.0	1514.0
13	143.0	2.0
14	5611.0	10709.0
15	10.0	2.0
16	6543.0	10631.0
645455	7.0	12.0
18	1146.0	2167.0
19	2671.0	4032.0
128580	11.0	5.0
85407	70.0	277.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	1360.0	2633.0
106481395	0.0	0.0
85403	1385.0	2767.0
106481398	0.0	2.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	3389.0	3593.0
106481390	0.0	0.0
21	2542.0	3808.0
106481391	0.0	0.0
22	1486.0	2047.0
153571	343.0	1611.0
153572	3620.0	2551.0
23	4186.0	5980.0
24	271.0	233.0
25	7163.0	7511.0
26	14.0	70.0
27	2637.0	4879.0
28	387.0	67.0
29	5209.0	5180.0
153579	3264.0	504.0
728615	0.0	0.0
728614	0.0	0.0
200765	328.0	449.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	61.0	25.0
102466518	0.0	0.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	615.0	3115.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2647.0	4380.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	172.0	154.0
106481366	0.0	0.0
30	2706.0	4107.0
106481360	0.0	0.0
31	3863.0	2657.0
32	7706.0	865.0
33	262.0	8.0
34	2393.0	3170.0
35	1960.0	1961.0
153562	963.0	2915.0
36	6399.0	3895.0
37	17323.0	10118.0
38	3853.0	3213.0
440307	7.0	11.0
39	861.0	3318.0
165545	11.0	9.0
106481369	0.0	0.0
728606	72.0	132.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	40.0	80.0
106481370	0.0	0.0
41	444.0	506.0
106481371	0.0	0.0
43	53.0	73.0
645486	0.0	0.0
47	6936.0	8753.0
48	6086.0	4850.0
49	45.0	14.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	9.0	9.0
106481340	0.0	3.0
