id	0d38dab7-b983-4829-9a5b-d79f0fee6f26	ff850c31-bb15-47a2-bd3d-2590ca013e68
403284	0.0	0.0
1092	7.0	20.0
440270	728.0	256.0
1089	18.0	4.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	40.0	27.0
285598	899.0	510.0
126133	857.0	1094.0
128790	0.0	0.0
126129	231.0	960.0
126123	2.0	3.0
442862	0.0	0.0
126119	335.0	365.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	84.0	60.0
442897	0.0	0.0
442898	2.0	0.0
114134	868.0	1311.0
442899	0.0	0.0
100128790	0.0	0.0
128760	8.0	1.0
100128788	44.0	144.0
100128787	1.0	0.0
440225	0.0	0.0
440224	1.0	1.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	1.0	0.0
100128782	185.0	170.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	51.0	3.0
102466616	0.0	0.0
126052	0.0	1.0
151009	21.0	35.0
403227	6.0	0.0
403228	1.0	0.0
138046	1.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	6.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	558.0	1273.0
107131122	0.0	1.0
138050	5544.0	3871.0
403219	2.0	0.0
151011	4998.0	2149.0
645587	3.0	7.0
165679	305.0	67.0
126037	25.0	8.0
114049	2200.0	3002.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	850.0	415.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1453.0	1412.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	239.0	237.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	133.0	14.0
645598	1.0	0.0
163007	2.0	6.0
114038	1.0	0.0
645591	1.0	0.0
106481495	0.0	0.0
114041	34.0	5.0
106481496	0.0	0.0
114042	5.0	1.0
106481493	0.0	0.0
114043	37.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	244.0	251.0
126017	465.0	453.0
106481497	2.0	0.0
106481498	1.0	0.0
85303	0.0	0.0
85300	2.0	0.0
85301	1690.0	331.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1377.0	1985.0
106481459	0.0	0.0
26994	7101.0	7966.0
106481457	6.0	3.0
26995	1512.0	2881.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	910.0	3577.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	4.0	1.0
106481461	1.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1219.0	1752.0
106481467	1.0	0.0
106481464	0.0	0.0
106481465	1.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	217.0	20.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	12156.0	1639.0
106481470	2.0	0.0
403252	0.0	1.0
403253	0.0	0.0
403254	0.0	0.0
126070	673.0	665.0
403255	1.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	2.0
106481437	0.0	0.0
26974	244.0	246.0
153657	40.0	55.0
106481438	3.0	0.0
106481435	0.0	0.0
26973	1436.0	1309.0
165631	216.0	125.0
106481436	1.0	0.0
26978	9.0	3.0
126075	664.0	809.0
106481439	0.0	0.0
403250	0.0	0.0
126074	191.0	277.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	962.0	1535.0
106481444	7.0	9.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	1.0
85358	3153.0	1512.0
85354	0.0	0.0
85352	159.0	26.0
403241	0.0	0.0
344462	1.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	473.0	87.0
153643	15.0	5.0
403247	0.0	0.0
403248	0.0	0.0
26985	3178.0	4144.0
106481448	0.0	0.0
26986	45280.0	46695.0
126069	168.0	173.0
106481449	0.0	0.0
126068	702.0	644.0
106481446	0.0	0.0
26983	0.0	0.0
26984	727.0	647.0
106481447	0.0	0.0
106481451	2.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	320.0	766.0
106481455	0.0	0.0
85349	56.0	0.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	3.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	3.0	5.0
403239	0.0	0.0
85345	1.0	0.0
85343	0.0	0.0
344454	8.0	39.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	0.0
100873392	2.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	2.0
106481415	0.0	1.0
106481416	5.0	0.0
106481413	0.0	0.0
106481414	0.0	3.0
63901	2235.0	1767.0
100873390	0.0	0.0
728556	80.0	45.0
106481419	1.0	1.0
100128817	0.0	0.0
728558	79.0	108.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	469.0	377.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	241.0	212.0
100873384	0.0	0.0
285601	24.0	5.0
106481426	0.0	0.0
106481427	0.0	2.0
222005	0.0	1.0
63910	342.0	87.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	638.0	680.0
222008	84.0	1.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2135.0	2180.0
63904	0.0	0.0
106481430	4.0	0.0
163071	42.0	21.0
63906	468.0	570.0
106481433	0.0	0.0
63908	804.0	4969.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	1.0
285613	36.0	457.0
63920	443.0	519.0
63923	312.0	64.0
63922	229.0	444.0
728577	145.0	12.0
63925	1222.0	1384.0
63924	1020.0	40.0
63916	2865.0	2466.0
63917	2813.0	4606.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	1.0
728564	6.0	1.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1166.0	1227.0
106481402	1.0	0.0
63931	1470.0	2350.0
106481403	0.0	1.0
63934	574.0	606.0
728567	5.0	2.0
106481408	0.0	0.0
163088	2.0	3.0
63933	1817.0	3244.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2270.0	2442.0
163087	765.0	621.0
728568	325.0	559.0
106481407	6.0	5.0
3704	1082.0	1475.0
3705	2374.0	6701.0
63926	636.0	1421.0
3706	8.0	17.0
63929	1204.0	1050.0
3707	3569.0	1031.0
63928	13.0	1.0
3708	7052.0	13415.0
106481411	0.0	0.0
3709	5593.0	5403.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	32.0	16.0
3702	219.0	179.0
3703	7147.0	10933.0
645506	1.0	0.0
151050	1123.0	623.0
645520	0.0	0.0
63941	738.0	5524.0
63940	1350.0	1003.0
63943	233.0	313.0
728517	0.0	0.0
163033	243.0	465.0
258010	1862.0	3385.0
63947	1.0	0.0
63946	9.0	0.0
728513	1.0	0.0
100033803	0.0	0.0
3716	11704.0	7293.0
100033804	0.0	0.0
3717	1450.0	725.0
100033805	0.0	0.0
3718	684.0	432.0
63939	1243.0	942.0
100033806	0.0	0.0
100190799	3.0	0.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	85.0	69.0
3710	2828.0	5554.0
3712	8897.0	6842.0
3713	0.0	0.0
3714	2227.0	2061.0
63950	2.0	2.0
728505	1.0	1.0
63951	67.0	3.0
100033807	0.0	0.0
728501	18.0	17.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	10520.0	6033.0
100033814	0.0	0.0
3727	6143.0	7038.0
63948	0.0	0.0
100033815	0.0	0.0
222052	3.0	0.0
3728	13922.0	22369.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1452.0	1259.0
151056	325.0	187.0
3725	29539.0	5876.0
645528	1.0	1.0
728532	18.0	13.0
163059	301.0	177.0
728538	0.0	0.0
728537	214.0	162.0
63967	70.0	296.0
3737	21.0	3.0
3738	84.0	77.0
3739	6.0	51.0
645538	0.0	0.0
3730	1236.0	10022.0
3732	3397.0	560.0
3734	0.0	0.0
3735	4822.0	5111.0
3736	108.0	17.0
63970	103.0	15.0
3750	295.0	96.0
63971	4579.0	3022.0
63974	0.0	0.0
163049	2175.0	2636.0
63973	107.0	6.0
63976	182.0	41.0
222068	4309.0	8447.0
63978	0.0	1.0
63977	592.0	472.0
63979	785.0	712.0
728524	0.0	0.0
3748	487.0	1300.0
163051	46.0	58.0
3749	1612.0	1128.0
163050	37.0	52.0
3741	19.0	53.0
645548	8.0	14.0
3743	2.0	0.0
3744	1.0	0.0
3745	461.0	701.0
3746	49.0	936.0
3747	136.0	4962.0
285671	710.0	164.0
285672	1662.0	1274.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	99.0	3487.0
285676	104.0	10.0
3761	0.0	0.0
100128657	0.0	0.0
285679	0.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1324.0	206.0
283008	6.0	15.0
3751	465.0	11094.0
100873435	0.0	0.0
3752	1539.0	5610.0
100873434	0.0	0.0
3753	119.0	4.0
100873433	0.0	0.0
3754	22.0	10.0
100873432	0.0	0.0
3755	33.0	4.0
100873439	0.0	0.0
3756	14.0	14.0
100873438	0.0	0.0
3757	118.0	663.0
100873437	0.0	0.0
3758	11.0	4.0
100873436	0.0	0.0
100873420	6.0	0.0
3770	89.0	96.0
3772	150.0	15.0
100861458	0.0	0.0
100861453	14.0	7.0
100861455	0.0	0.0
1107	9163.0	13602.0
1106	5176.0	5170.0
1105	2690.0	2863.0
1104	1113.0	1668.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1678.0	701.0
1101	564.0	12.0
3762	797.0	106.0
100873424	0.0	0.0
3763	13.0	165.0
100128640	102.0	188.0
100873423	0.0	0.0
3764	1217.0	266.0
100873422	0.0	0.0
3765	2.0	1.0
100873421	0.0	0.0
3766	18.0	13.0
100873428	0.0	0.0
3767	299.0	1178.0
100873427	0.0	0.0
3768	132.0	32.0
1109	0.0	1.0
100873426	0.0	2.0
1108	10544.0	13863.0
3769	14.0	3.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	7.0	9.0
100873453	0.0	0.0
3781	17.0	79.0
100873452	0.0	0.0
3782	500.0	256.0
100873451	0.0	0.0
3783	1166.0	173.0
100873450	0.0	0.0
1121	1484.0	1713.0
100861468	0.0	0.0
1120	225.0	162.0
100861469	0.0	0.0
1118	1669.0	22.0
1117	1135.0	43.0
1116	8605.0	181.0
1114	181.0	4249.0
1113	294.0	8371.0
1112	3990.0	964.0
1111	310.0	649.0
3773	565.0	3.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	615.0	199.0
100873455	0.0	0.0
3776	968.0	44.0
100873454	0.0	0.0
3777	360.0	8860.0
3778	3549.0	10830.0
3779	1859.0	259.0
100873459	0.0	0.0
1119	1368.0	591.0
100128627	3.0	0.0
100128626	0.0	0.0
3790	1044.0	2259.0
100128628	7.0	3.0
3791	3634.0	2706.0
100873442	0.0	0.0
3792	85.0	198.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	74.0
1131	83.0	39.0
1130	3033.0	1578.0
100861476	0.0	0.0
1129	4.0	0.0
1128	194.0	3.0
1124	304.0	401.0
1123	941.0	394.0
1122	876.0	729.0
100861470	0.0	0.0
3784	623.0	381.0
100873446	0.0	0.0
3785	4.0	4.0
100873445	0.0	0.0
3786	265.0	313.0
100873444	0.0	0.0
3787	157.0	62.0
100873443	1.0	0.0
3788	13.0	2.0
100873449	3.0	6.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	203.0	113.0
100128618	1.0	1.0
728597	3.0	0.0
100128617	2.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	56.0	18.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	67.0	0.0
285634	4.0	1.0
1142	1.0	0.0
1141	154.0	2304.0
285636	1942.0	1669.0
1140	496.0	505.0
728599	6.0	1.0
1139	12.0	3.0
1138	58.0	51.0
1137	2.0	1.0
100861485	0.0	0.0
1136	18.0	6.0
1135	253.0	145.0
1134	77.0	4.0
1133	18.0	7.0
3795	182.0	624.0
100873479	3.0	3.0
3796	1156.0	1409.0
100873478	0.0	0.0
3797	1007.0	657.0
100873477	1.0	1.0
3798	139.0	350.0
100873476	0.0	0.0
3799	11652.0	15832.0
100873460	0.0	0.0
728586	11.0	3.0
285641	0.0	0.0
100873464	4.0	2.0
100873463	0.0	0.0
100873462	3.0	1.0
285643	0.0	0.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	789.0	979.0
1153	11809.0	15934.0
1152	872.0	1586.0
285647	26.0	29.0
728589	18.0	19.0
728588	297.0	1.0
1149	301.0	8.0
1147	1492.0	1231.0
1146	2.0	1.0
1145	62.0	22.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	2.0	0.0
100873494	0.0	0.0
1164	355.0	1214.0
1163	532.0	667.0
285659	0.0	0.0
1161	335.0	259.0
1160	80.0	28.0
1159	98.0	1060.0
1158	6.0	5.0
1157	0.0	0.0
1155	1366.0	3672.0
550643	1270.0	1804.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	1.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2251.0	2491.0
1175	2321.0	3271.0
285668	14.0	23.0
1174	1260.0	2688.0
1173	11148.0	13616.0
550631	107.0	423.0
100873489	0.0	0.0
283014	6.0	8.0
100873488	1.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	36.0	33.0
1186	2347.0	3034.0
1185	1269.0	909.0
1184	442.0	103.0
1183	359.0	47.0
1182	6040.0	11146.0
1181	208.0	513.0
440375	17.0	23.0
1180	27.0	5.0
1179	2.0	1.0
1178	13.0	0.0
283089	8.0	2.0
85495	0.0	0.0
85480	249.0	12.0
283080	0.0	0.0
1198	2130.0	3055.0
1197	1.0	0.0
1196	1794.0	1452.0
1195	7075.0	5071.0
440366	1.0	0.0
1193	1578.0	276.0
1192	10741.0	11311.0
1191	105083.0	42265.0
1188	27.0	6.0
283078	116.0	168.0
85486	9.0	1.0
128615	0.0	0.0
85481	0.0	0.0
128611	108.0	63.0
440396	40.0	56.0
128609	0.0	0.0
128602	0.0	0.0
440387	4.0	0.0
128674	1.0	0.0
128676	1.0	0.0
114026	0.0	0.0
100861402	1.0	2.0
126014	384.0	223.0
440335	415.0	1128.0
100128690	0.0	0.0
114034	553.0	449.0
126006	66.0	116.0
114036	39.0	7.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	60.0	260.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	1.0	0.0
200728	144.0	366.0
440356	3.0	18.0
440354	111.0	69.0
440352	0.0	1.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	0.0	0.0
128646	7.0	2.0
100873412	0.0	0.0
100873411	2.0	0.0
100128675	4.0	6.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	277.0	185.0
100861435	1.0	0.0
100861436	1.0	0.0
440345	140.0	86.0
200734	3368.0	2441.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	17.0	8.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3208.0	2792.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	0.0
165530	140.0	39.0
85409	101.0	101.0
106481385	0.0	0.0
106481386	1.0	0.0
85416	6.0	0.0
106481383	2.0	2.0
85417	27.0	51.0
106481384	0.0	0.0
103106903	1.0	0.0
85414	428.0	128.0
106481389	0.0	0.0
85415	1184.0	1185.0
106481387	0.0	0.0
85413	19.0	0.0
106481388	6.0	1.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	1.0
10	60.0	7.0
106481380	0.0	0.0
11	0.0	0.0
403341	1208.0	769.0
12	215.0	129.0
13	187.0	0.0
14	3793.0	5847.0
15	0.0	4.0
16	5391.0	8961.0
645455	7.0	5.0
18	1618.0	904.0
19	3134.0	687.0
128580	4.0	2.0
85407	117.0	48.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1002.0	1553.0
106481395	0.0	0.0
85403	1310.0	2865.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	2733.0	6302.0
106481390	0.0	0.0
21	3390.0	6690.0
106481391	0.0	0.0
22	1035.0	1231.0
153571	398.0	3434.0
153572	3212.0	8944.0
23	2847.0	3365.0
24	136.0	24.0
25	4958.0	4683.0
26	18.0	8.0
27	2024.0	1862.0
28	290.0	48.0
29	5252.0	5099.0
153579	3855.0	216.0
728615	0.0	0.0
728614	0.0	0.0
200765	250.0	313.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	15.0	12.0
102466518	0.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	834.0	2472.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1925.0	2331.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	130.0	182.0
106481366	0.0	0.0
30	2246.0	2734.0
106481360	0.0	0.0
31	8580.0	6304.0
32	3808.0	963.0
33	263.0	12.0
34	5890.0	2966.0
35	979.0	1438.0
153562	1153.0	1800.0
36	4355.0	14929.0
37	12607.0	12743.0
38	2384.0	5529.0
440307	6.0	10.0
39	889.0	718.0
165545	4.0	4.0
106481369	0.0	0.0
728606	325.0	108.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	16.0	8.0
106481370	0.0	0.0
41	270.0	1040.0
106481371	0.0	0.0
43	76.0	63.0
645486	0.0	0.0
47	8153.0	16553.0
48	2784.0	1509.0
49	13.0	20.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	4.0	3.0
106481340	0.0	0.0
85458	3546.0	1820.0
106481345	0.0	0.0
85459	667.0	682.0
106481346	0.0	0.0
