id	47f0749e-01c7-4d8c-8926-06293c4a9b4e	7e56863a-53f2-4c94-9cf0-053d72b4d5ee
1050	654.0	893.0
100128707	0.0	1.0
1048	81.0	108.0
1047	990.0	2555.0
1046	0.0	0.0
1045	1.0	3.0
100873369	15.0	8.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	5799.0	949.0
1063	558.0	4779.0
1062	121.0	372.0
1061	2.0	5.0
1060	2969.0	1257.0
440253	174.0	70.0
1059	5549.0	5866.0
1058	9.0	92.0
1057	3.0	3.0
85379	13559.0	5492.0
114112	1000.0	735.0
1056	22.0	7.0
85377	3163.0	1309.0
85378	4111.0	1744.0
128745	6.0	2.0
85376	21.0	16.0
440248	573.0	136.0
1075	2936.0	2519.0
1074	14.0	17.0
1073	1946.0	1064.0
1072	27534.0	31273.0
1071	16.0	25.0
440243	0.0	0.0
1070	1135.0	892.0
1069	4599.0	4561.0
1068	0.0	0.0
85369	2544.0	1333.0
85366	0.0	3.0
85364	1709.0	1064.0
85365	2321.0	2015.0
85363	1740.0	1266.0
85360	1089.0	1121.0
1080	65.0	22.0
85391	2.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	638.0	528.0
1087	13.0	2.0
1086	0.0	0.0
440279	26.0	3.0
1085	1.0	0.0
1084	2.0	1.0
440278	103.0	60.0
1082	0.0	0.0
403294	0.0	0.0
440275	5919.0	3008.0
1081	0.0	0.0
85397	0.0	12.0
85395	546.0	376.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	4.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	3.0	2.0
440270	1425.0	424.0
1089	7.0	18.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	10.0	5.0
285598	911.0	562.0
126133	1481.0	1823.0
128790	4.0	5.0
126129	251.0	186.0
126123	0.0	0.0
442862	0.0	0.0
126119	522.0	706.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	18.0	23.0
442897	0.0	0.0
442898	0.0	0.0
114134	566.0	523.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	3.0
100128788	79.0	166.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	137.0
442890	0.0	0.0
442891	0.0	0.0
442892	2.0	0.0
128756	1.0	0.0
100128782	197.0	91.0
100128781	3.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	43.0	16.0
102466616	0.0	0.0
126052	0.0	0.0
151009	60.0	15.0
403227	2.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	4.0	2.0
645572	0.0	0.0
645571	0.0	9.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	929.0	546.0
107131122	0.0	0.0
138050	7826.0	6743.0
403219	0.0	0.0
151011	6499.0	2933.0
645587	0.0	1.0
165679	1049.0	3086.0
126037	85.0	63.0
114049	3778.0	3799.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	594.0	819.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2867.0	1177.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	168.0	164.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	1.0	0.0
138065	181.0	84.0
645598	0.0	0.0
163007	8.0	0.0
114038	1.0	1.0
645591	0.0	0.0
106481495	0.0	0.0
114041	16.0	23.0
106481496	0.0	0.0
114042	2.0	2.0
106481493	0.0	0.0
114043	11.0	6.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	276.0	112.0
126017	743.0	492.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	9.0	0.0
85301	1073.0	1317.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	0.0
403275	7.0	0.0
102466656	2.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2182.0	3538.0
106481459	0.0	0.0
26994	7182.0	5875.0
106481457	8.0	5.0
26995	2786.0	1739.0
106481458	0.0	0.0
403271	0.0	0.0
26998	5.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1314.0	6479.0
403273	0.0	0.0
102466658	4.0	12.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3540.0	1483.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	2.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	1.0
106481471	0.0	0.0
85329	348.0	165.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	2034.0	3478.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	993.0	646.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	3.0
106481437	0.0	0.0
26974	436.0	264.0
153657	135.0	150.0
106481438	7.0	9.0
106481435	0.0	0.0
26973	1102.0	1088.0
165631	64.0	63.0
106481436	2.0	1.0
26978	14.0	13.0
126075	1224.0	788.0
106481439	0.0	0.0
403250	0.0	0.0
126074	253.0	145.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1976.0	1758.0
106481444	12.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1737.0	1536.0
85354	0.0	0.0
85352	220.0	296.0
403241	1.0	0.0
344462	0.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	617.0	545.0
153643	34.0	223.0
403247	0.0	0.0
403248	0.0	0.0
26985	4705.0	3286.0
106481448	0.0	0.0
26986	77538.0	84203.0
126069	162.0	100.0
106481449	0.0	0.0
126068	1106.0	548.0
106481446	0.0	0.0
26983	0.0	0.0
26984	974.0	711.0
106481447	0.0	0.0
106481451	6.0	2.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	453.0	540.0
106481455	0.0	1.0
85349	131.0	55.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	14.0	3.0
85347	0.0	0.0
26980	9.0	4.0
106481454	0.0	0.0
403238	0.0	0.0
85344	30.0	11.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	51.0	22.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	5.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	5.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2858.0	4124.0
100873390	0.0	0.0
728556	42.0	38.0
106481419	2.0	0.0
100128817	1.0	0.0
728558	160.0	49.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	686.0	343.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	4.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	374.0	381.0
100873384	0.0	0.0
285601	10.0	11.0
106481426	0.0	0.0
106481427	0.0	2.0
222005	2.0	0.0
63910	151.0	128.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	629.0	670.0
222008	0.0	804.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4623.0	2512.0
63904	0.0	0.0
106481430	0.0	0.0
163071	36.0	16.0
63906	1069.0	742.0
106481433	0.0	0.0
63908	1099.0	517.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	79.0	125.0
63920	424.0	402.0
63923	2100.0	853.0
63922	572.0	1025.0
728577	241.0	49.0
63925	1920.0	945.0
63924	2539.0	709.0
63916	3039.0	1951.0
63917	4361.0	3194.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	1.0
728564	0.0	5.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1680.0	1287.0
106481402	0.0	0.0
63931	2355.0	2205.0
106481403	0.0	0.0
63934	819.0	132.0
728567	12.0	0.0
106481408	0.0	0.0
163088	11.0	1.0
63933	2743.0	1333.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4099.0	2580.0
163087	933.0	448.0
728568	335.0	209.0
106481407	3.0	3.0
3704	1448.0	1334.0
3705	4611.0	4617.0
63926	983.0	1245.0
3706	11.0	40.0
63929	1164.0	1098.0
3707	4526.0	3693.0
63928	9.0	2.0
3708	30284.0	5919.0
106481411	0.0	0.0
3709	11095.0	2726.0
106481412	0.0	0.0
106481410	0.0	1.0
3700	20.0	4.0
3702	267.0	191.0
3703	12868.0	10047.0
645506	1.0	0.0
151050	1047.0	382.0
645520	0.0	0.0
63941	1813.0	1760.0
63940	780.0	1019.0
63943	390.0	321.0
728517	0.0	0.0
163033	338.0	686.0
258010	2694.0	3059.0
63947	0.0	0.0
63946	2.0	7.0
728513	0.0	0.0
100033803	0.0	0.0
3716	18946.0	12743.0
100033804	0.0	0.0
3717	1483.0	1237.0
100033805	0.0	0.0
3718	535.0	453.0
63939	1085.0	767.0
100033806	0.0	0.0
100190799	6.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	134.0	48.0
3710	4469.0	2563.0
3712	6993.0	2877.0
3713	18.0	0.0
3714	4381.0	2193.0
63950	8.0	0.0
728505	6.0	3.0
63951	138.0	38.0
100033807	0.0	0.0
728501	18.0	21.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	9592.0	16993.0
100033814	0.0	0.0
3727	11597.0	8598.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	29931.0	23379.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2509.0	1855.0
151056	388.0	186.0
3725	31743.0	25176.0
645528	1.0	2.0
728532	28.0	18.0
163059	478.0	209.0
728538	5.0	0.0
728537	349.0	102.0
63967	25.0	122.0
3737	12.0	1.0
3738	71.0	44.0
3739	4.0	10.0
645538	0.0	0.0
3730	1975.0	2409.0
3732	4336.0	4050.0
3734	0.0	0.0
3735	8866.0	5491.0
3736	60.0	30.0
63970	504.0	28.0
3750	277.0	262.0
63971	9832.0	4711.0
63974	0.0	0.0
163049	3408.0	1936.0
63973	116.0	0.0
63976	94.0	41.0
222068	6917.0	5476.0
63978	1.0	0.0
63977	741.0	436.0
63979	831.0	809.0
728524	0.0	0.0
3748	914.0	1459.0
163051	44.0	26.0
3749	2653.0	487.0
163050	80.0	54.0
3741	65.0	27.0
645548	14.0	3.0
3743	10.0	5.0
3744	0.0	0.0
3745	808.0	97.0
3746	38.0	8.0
3747	148.0	0.0
285671	912.0	396.0
285672	1683.0	1511.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	718.0	1227.0
285676	127.0	27.0
3761	0.0	0.0
100128657	1.0	0.0
285679	4.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	697.0	184.0
283008	1.0	0.0
3751	212.0	326.0
100873435	0.0	0.0
3752	3439.0	1770.0
100873434	0.0	0.0
3753	99.0	11.0
100873433	0.0	0.0
3754	10.0	175.0
100873432	0.0	0.0
3755	196.0	54.0
100873439	0.0	0.0
3756	27.0	171.0
100873438	0.0	0.0
3757	53.0	79.0
100873437	0.0	0.0
3758	15.0	2.0
100873436	0.0	0.0
100873420	8.0	1.0
3770	110.0	88.0
3772	96.0	215.0
100861458	0.0	0.0
100861453	25.0	14.0
100861455	0.0	0.0
1107	18836.0	10676.0
1106	10944.0	4675.0
1105	3299.0	3379.0
1104	2183.0	1777.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1555.0	784.0
1101	3003.0	829.0
3762	762.0	408.0
100873424	0.0	0.0
3763	3.0	35.0
100128640	336.0	122.0
100873423	0.0	0.0
3764	993.0	228.0
100873422	0.0	0.0
3765	1.0	6.0
100873421	0.0	2.0
3766	11.0	22.0
100873428	0.0	0.0
3767	1345.0	1303.0
100873427	0.0	0.0
3768	92.0	55.0
1109	7.0	0.0
100873426	0.0	2.0
1108	20076.0	16660.0
3769	41.0	11.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	41.0	13.0
100873453	0.0	0.0
3781	19.0	28.0
100873452	1.0	0.0
3782	419.0	397.0
100873451	0.0	0.0
3783	1803.0	556.0
100873450	0.0	0.0
1121	2414.0	1965.0
100861468	0.0	0.0
1120	148.0	68.0
100861469	2.0	0.0
1118	423.0	1007.0
1117	1643.0	1821.0
1116	9838.0	4092.0
1114	22.0	5.0
1113	21.0	9.0
1112	5969.0	2728.0
1111	314.0	719.0
3773	354.0	239.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	625.0	2394.0
100873455	0.0	0.0
3776	1022.0	5317.0
100873454	0.0	0.0
3777	393.0	58.0
3778	6746.0	989.0
3779	4142.0	299.0
100873459	0.0	0.0
1119	1797.0	1610.0
100128627	5.0	4.0
100128626	0.0	0.0
3790	1136.0	4642.0
100128628	10.0	8.0
3791	4264.0	1225.0
100873442	0.0	0.0
3792	60.0	15.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	16.0	33.0
1131	227.0	47.0
1130	5001.0	3828.0
100861476	0.0	3.0
1129	0.0	3.0
1128	119.0	34.0
1124	391.0	1319.0
1123	464.0	590.0
1122	1095.0	1296.0
100861470	0.0	0.0
3784	954.0	1046.0
100873446	0.0	0.0
3785	13.0	13.0
100873445	0.0	0.0
3786	196.0	294.0
100873444	0.0	0.0
3787	22.0	32.0
100873443	0.0	0.0
3788	9.0	17.0
100873449	11.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	137.0	105.0
100128618	1.0	0.0
728597	0.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	47.0	29.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	1.0
285634	3.0	3.0
1142	0.0	1.0
1141	183.0	32.0
285636	2581.0	3063.0
1140	694.0	346.0
728599	4.0	3.0
1139	64.0	17.0
1138	73.0	44.0
1137	0.0	3.0
100861485	0.0	0.0
1136	12.0	21.0
1135	3.0	0.0
1134	9.0	60.0
1133	29.0	15.0
3795	394.0	216.0
100873479	8.0	4.0
3796	1613.0	1510.0
100873478	0.0	0.0
3797	1547.0	1111.0
100873477	3.0	2.0
3798	550.0	51.0
100873476	0.0	0.0
3799	15318.0	8943.0
100873460	0.0	0.0
728586	33.0	18.0
285641	2.0	0.0
100873464	1.0	3.0
100873463	0.0	0.0
100873462	0.0	1.0
285643	0.0	0.0
100128603	2.0	0.0
100873461	0.0	0.0
1154	1364.0	5341.0
1153	29733.0	15939.0
1152	984.0	708.0
285647	29.0	13.0
728589	66.0	7.0
728588	0.0	6.0
1149	348.0	120.0
1147	1435.0	1251.0
1146	0.0	3.0
1145	64.0	28.0
1144	0.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	2.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	237.0	951.0
1163	992.0	1389.0
285659	0.0	0.0
1161	434.0	410.0
1160	473.0	150.0
1159	109.0	84.0
1158	0.0	35.0
1157	0.0	0.0
1155	2557.0	2337.0
550643	1498.0	1397.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2084.0	2628.0
1175	2205.0	2608.0
285668	35.0	2.0
1174	2230.0	2965.0
1173	16786.0	12060.0
550631	194.0	173.0
100873489	0.0	0.0
283014	9.0	19.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	36.0	32.0
1186	3609.0	5270.0
1185	1928.0	802.0
1184	328.0	283.0
1183	591.0	313.0
1182	8536.0	5496.0
1181	352.0	332.0
440375	76.0	22.0
1180	84.0	7.0
1179	0.0	1.0
1178	1.0	0.0
283089	17.0	6.0
85495	0.0	0.0
85480	297.0	39.0
283080	0.0	0.0
1198	3519.0	1506.0
1197	2.0	0.0
1196	2451.0	2304.0
1195	6552.0	2187.0
440366	2.0	0.0
1193	1025.0	695.0
1192	15201.0	11529.0
1191	78174.0	65884.0
1188	35.0	12.0
283078	32.0	54.0
85486	4.0	7.0
128615	0.0	0.0
85481	3.0	10.0
128611	129.0	59.0
440396	37.0	33.0
128609	0.0	0.0
128602	2.0	0.0
440387	0.0	1.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	8.0	4.0
126014	144.0	504.0
440335	1245.0	3253.0
100128690	0.0	0.0
114034	943.0	616.0
126006	91.0	56.0
114036	35.0	39.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	47.0	99.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	2.0
100861429	0.0	0.0
128653	0.0	0.0
200728	181.0	216.0
440356	1.0	29.0
440354	107.0	126.0
440352	1.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	6.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	10.0	13.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	161.0	21.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	124.0	103.0
200734	5085.0	4026.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	5.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	1.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	2.0
100128665	0.0	0.0
128637	4966.0	2896.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	2.0	0.0
645443	8.0	0.0
165530	100.0	20.0
85409	433.0	427.0
106481385	0.0	0.0
106481386	2.0	1.0
85416	1.0	13.0
106481383	3.0	4.0
85417	75.0	84.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	479.0	478.0
106481389	0.0	0.0
85415	2818.0	1435.0
106481387	2.0	0.0
85413	7.0	3.0
106481388	4.0	5.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	9.0	35.0
106481380	0.0	0.0
11	0.0	2.0
403341	1211.0	612.0
12	923.0	502.0
13	4.0	3.0
14	7263.0	6448.0
15	6.0	5.0
16	8381.0	4777.0
645455	13.0	15.0
18	3710.0	7237.0
19	2777.0	2007.0
128580	22.0	3.0
85407	149.0	167.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2321.0	1447.0
106481395	0.0	0.0
85403	2007.0	1631.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	2.0
106481393	0.0	1.0
20	5311.0	3267.0
106481390	0.0	0.0
21	2590.0	4213.0
106481391	0.0	0.0
22	1923.0	1650.0
153571	793.0	511.0
153572	5827.0	1129.0
23	4925.0	3159.0
24	1674.0	910.0
25	7352.0	5328.0
26	7.0	26.0
27	2579.0	4007.0
28	287.0	258.0
29	7250.0	4116.0
153579	1187.0	152.0
728615	0.0	0.0
728614	0.0	0.0
200765	247.0	110.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	15.0	14.0
102466518	0.0	0.0
102466516	3.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1505.0	1075.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3318.0	2573.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	251.0	157.0
106481366	0.0	0.0
30	3643.0	2599.0
106481360	0.0	0.0
31	7968.0	4024.0
32	4750.0	1205.0
33	106.0	48.0
34	4000.0	3262.0
35	3177.0	1023.0
153562	1917.0	1853.0
36	30596.0	8826.0
37	15776.0	7947.0
38	3952.0	4329.0
440307	12.0	3.0
39	1338.0	835.0
165545	37.0	24.0
106481369	0.0	0.0
728606	47.0	37.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	3.0	0.0
106481378	3.0	3.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	5.0	10.0
106481370	0.0	0.0
41	157.0	81.0
106481371	0.0	0.0
43	92.0	38.0
645486	0.0	0.0
47	13227.0	7231.0
48	4502.0	2594.0
49	13.0	14.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	6.0	6.0
106481340	0.0	2.0
