id	c1a570df-7a5f-44a1-9569-8a7eecb651d0	6c6c01b5-ee5b-4ef0-a44f-2b982033fe4c
1026	4520.0	2210.0
1025	1476.0	3411.0
1024	1272.0	840.0
3685	8417.0	8361.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	181.0	528.0
100873345	1.0	2.0
3688	19554.0	18409.0
100873344	1.0	0.0
3689	433.0	1492.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	20.0	0.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	72.0	34.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	206.0	31.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	5.0
1043	1036.0	480.0
1041	0.0	3.0
1040	3375.0	7200.0
1039	1864.0	3905.0
1038	177.0	1.0
1036	1784.0	69.0
3696	8638.0	679.0
3697	10.0	8.0
100873379	0.0	0.0
3698	648.0	16.0
100873378	0.0	0.0
3699	75.0	29.0
100873377	0.0	0.0
728486	0.0	3.0
100873361	0.0	0.0
105373869	0.0	149.0
100873360	0.0	0.0
285540	214.0	191.0
100128705	0.0	6.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	5.0	0.0
100873362	0.0	0.0
100128701	1.0	2.0
1054	3354.0	3882.0
285547	0.0	0.0
1053	0.0	4.0
285548	1.0	6.0
1052	8281.0	1360.0
1051	4367.0	2532.0
728489	5.0	7.0
1050	647.0	349.0
100128707	0.0	0.0
1048	30.0	30.0
1047	156.0	3664.0
1046	0.0	0.0
1045	0.0	0.0
100873369	0.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	1748.0	37.0
1063	207.0	1573.0
1062	83.0	455.0
1061	11.0	5.0
1060	2620.0	1873.0
440253	221.0	24.0
1059	2345.0	4843.0
1058	58.0	178.0
1057	3.0	1.0
85379	10713.0	4091.0
114112	612.0	704.0
1056	12.0	21.0
85377	1264.0	1511.0
85378	786.0	1352.0
128745	0.0	0.0
85376	7.0	16.0
440248	852.0	227.0
1075	4305.0	1567.0
1074	8.0	11.0
1073	8425.0	562.0
1072	26400.0	44760.0
1071	85.0	23.0
440243	0.0	0.0
1070	1507.0	1603.0
1069	7451.0	7602.0
1068	0.0	1.0
85369	1009.0	1670.0
85366	7.0	5.0
85364	1689.0	1485.0
85365	4417.0	5608.0
85363	2160.0	1796.0
85360	452.0	278.0
1080	116.0	6.0
85391	7.0	5.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	0.0
153733	633.0	708.0
1087	12.0	3.0
1086	0.0	0.0
440279	12.0	1.0
1085	1.0	2.0
1084	1.0	0.0
440278	114.0	222.0
1082	0.0	0.0
403294	0.0	0.0
440275	3723.0	4516.0
1081	4.0	7.0
85397	5.0	7.0
85395	74.0	344.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	1.0
1092	0.0	0.0
440270	1421.0	347.0
1089	0.0	6.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	1.0	1.0
285598	851.0	130.0
126133	474.0	1032.0
128790	0.0	2.0
126129	63.0	60.0
126123	0.0	1.0
442862	0.0	0.0
126119	136.0	755.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	1.0	7.0
442897	0.0	0.0
442898	1.0	1.0
114134	905.0	150.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	1.0
100128788	16.0	241.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	2.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	5.0
128756	0.0	0.0
100128782	183.0	195.0
100128781	5.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	6.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	169.0	3.0
102466616	0.0	0.0
126052	1.0	0.0
151009	56.0	90.0
403227	7.0	1.0
403228	0.0	0.0
138046	14.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	4.0	2.0
645572	0.0	0.0
645571	7.0	16.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	742.0	1386.0
107131122	2.0	0.0
138050	7298.0	16593.0
403219	3.0	0.0
151011	9154.0	6282.0
645587	0.0	0.0
165679	292.0	461.0
126037	24.0	78.0
114049	1720.0	5208.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	605.0	267.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1826.0	2184.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	425.0	144.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	171.0	35.0
645598	0.0	0.0
163007	0.0	26.0
114038	4.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	48.0	4.0
106481496	0.0	0.0
114042	0.0	4.0
106481493	0.0	0.0
114043	0.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	158.0	160.0
126017	546.0	1568.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	5.0	0.0
85301	1018.0	616.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3427.0	6630.0
106481459	0.0	0.0
26994	15177.0	7868.0
106481457	26.0	3.0
26995	865.0	3410.0
106481458	0.0	0.0
403271	0.0	0.0
26998	17.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	717.0	397.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	11.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	659.0	1897.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	886.0	147.0
106481472	0.0	0.0
106481477	0.0	3.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	376.0	7473.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	783.0	1214.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	1.0
106481437	0.0	0.0
26974	282.0	412.0
153657	50.0	60.0
106481438	0.0	138.0
106481435	0.0	0.0
26973	1745.0	1826.0
165631	28.0	30.0
106481436	0.0	0.0
26978	7.0	14.0
126075	403.0	1292.0
106481439	0.0	0.0
403250	0.0	0.0
126074	185.0	459.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	380.0	2033.0
106481444	0.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	930.0	558.0
85354	0.0	0.0
85352	20.0	76.0
403241	0.0	0.0
344462	0.0	9.0
403244	0.0	0.0
403245	0.0	0.0
153642	790.0	136.0
153643	3.0	9.0
403247	0.0	0.0
403248	0.0	0.0
26985	5067.0	5139.0
106481448	0.0	0.0
26986	93328.0	159982.0
126069	192.0	140.0
106481449	0.0	0.0
126068	799.0	1233.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1532.0	1188.0
106481447	0.0	0.0
106481451	0.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	215.0	64.0
106481455	0.0	0.0
85349	71.0	94.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	2.0	0.0
85347	0.0	0.0
26980	4.0	9.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	5.0
85340	0.0	1.0
100873394	1.0	0.0
100873393	0.0	1.0
100873392	0.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	3.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2910.0	1778.0
100873390	0.0	0.0
728556	16.0	49.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	117.0	52.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	829.0	486.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	3.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	215.0	285.0
100873384	0.0	0.0
285601	55.0	13.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	47.0	827.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	960.0	824.0
222008	2.0	1.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4014.0	5321.0
63904	0.0	0.0
106481430	1.0	0.0
163071	3.0	17.0
63906	351.0	638.0
106481433	0.0	0.0
63908	817.0	872.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	14.0	83.0
63920	892.0	499.0
63923	124.0	205.0
63922	46.0	599.0
728577	232.0	8.0
63925	442.0	1010.0
63924	6976.0	54.0
63916	1909.0	4756.0
63917	2559.0	1552.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	5.0	3.0
728564	8.0	4.0
285622	1.0	2.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1618.0	2439.0
106481402	0.0	0.0
63931	2027.0	2269.0
106481403	0.0	0.0
63934	582.0	363.0
728567	2.0	7.0
106481408	0.0	0.0
163088	0.0	6.0
63933	2497.0	3923.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	1944.0	3207.0
163087	1083.0	797.0
728568	553.0	587.0
106481407	19.0	12.0
3704	525.0	1968.0
3705	2057.0	8494.0
63926	936.0	1843.0
3706	0.0	60.0
63929	1474.0	2683.0
3707	3127.0	2037.0
63928	14.0	1.0
3708	10379.0	7845.0
106481411	2.0	0.0
3709	4492.0	2010.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	12.0	6.0
3702	169.0	70.0
3703	9425.0	16214.0
645506	2.0	1.0
151050	1204.0	524.0
645520	0.0	0.0
63941	570.0	3725.0
63940	343.0	1138.0
63943	209.0	620.0
728517	0.0	0.0
163033	274.0	389.0
258010	4652.0	4271.0
63947	0.0	0.0
63946	1.0	9.0
728513	0.0	0.0
100033803	0.0	0.0
3716	18738.0	15188.0
100033804	0.0	0.0
3717	1548.0	838.0
100033805	0.0	0.0
3718	519.0	198.0
63939	2144.0	1122.0
100033806	0.0	0.0
100190799	4.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	162.0	87.0
3710	860.0	2531.0
3712	2452.0	8883.0
3713	0.0	1.0
3714	1411.0	1395.0
63950	2.0	0.0
728505	0.0	0.0
63951	291.0	7.0
100033807	0.0	0.0
728501	34.0	30.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	22471.0	5777.0
100033814	0.0	0.0
3727	33104.0	6489.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	2.0
3728	11218.0	56698.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1225.0	2771.0
151056	116.0	106.0
3725	40741.0	5299.0
645528	1.0	1.0
728532	27.0	35.0
163059	458.0	688.0
728538	1.0	0.0
728537	159.0	78.0
63967	17.0	154.0
3737	10.0	1.0
3738	27.0	19.0
3739	28.0	0.0
645538	0.0	0.0
3730	1208.0	1384.0
3732	1259.0	1781.0
3734	0.0	0.0
3735	7909.0	5732.0
3736	10.0	3.0
63970	174.0	13.0
3750	148.0	64.0
63971	4679.0	5457.0
63974	0.0	0.0
163049	2173.0	2555.0
63973	57.0	0.0
63976	108.0	28.0
222068	6842.0	10112.0
63978	0.0	0.0
63977	516.0	473.0
63979	1130.0	631.0
728524	0.0	0.0
3748	331.0	846.0
163051	92.0	85.0
3749	1208.0	219.0
163050	23.0	88.0
3741	79.0	7.0
645548	3.0	4.0
3743	1.0	1.0
3744	0.0	0.0
3745	741.0	12.0
3746	4.0	3.0
3747	81.0	1.0
285671	1538.0	108.0
285672	3120.0	1200.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	114.0	10978.0
285676	96.0	40.0
3761	0.0	0.0
100128657	0.0	0.0
285679	0.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	2649.0	194.0
283008	1.0	12.0
3751	337.0	106.0
100873435	0.0	0.0
3752	2307.0	4993.0
100873434	0.0	0.0
3753	71.0	0.0
100873433	0.0	1.0
3754	18.0	1745.0
100873432	0.0	0.0
3755	15.0	8.0
100873439	0.0	0.0
3756	7.0	131.0
100873438	0.0	0.0
3757	50.0	55.0
100873437	0.0	0.0
3758	0.0	2.0
100873436	0.0	0.0
100873420	4.0	1.0
3770	46.0	54.0
3772	290.0	63.0
100861458	0.0	0.0
100861453	29.0	8.0
100861455	0.0	0.0
1107	3084.0	4311.0
1106	3073.0	4419.0
1105	3281.0	6939.0
1104	1024.0	3254.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2217.0	423.0
1101	817.0	3920.0
3762	114.0	139.0
100873424	0.0	0.0
3763	27.0	4.0
100128640	349.0	159.0
100873423	0.0	0.0
3764	990.0	293.0
100873422	0.0	0.0
3765	18.0	0.0
100873421	0.0	0.0
3766	0.0	10.0
100873428	0.0	0.0
3767	162.0	910.0
100873427	0.0	0.0
3768	41.0	26.0
1109	3.0	0.0
100873426	0.0	1.0
1108	5287.0	14167.0
3769	0.0	3.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	0.0	8.0
100873453	0.0	0.0
3781	32.0	33.0
100873452	0.0	0.0
3782	281.0	125.0
100873451	0.0	0.0
3783	481.0	149.0
100873450	0.0	0.0
1121	1824.0	1620.0
100861468	0.0	0.0
1120	108.0	78.0
100861469	0.0	0.0
1118	43.0	74.0
1117	1662.0	1829.0
1116	3343.0	1234.0
1114	545.0	1.0
1113	7.0	1.0
1112	4900.0	1238.0
1111	405.0	630.0
3773	3615.0	46.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	497.0	576.0
100873455	0.0	0.0
3776	3733.0	110.0
100873454	0.0	0.0
3777	119.0	3.0
3778	4607.0	1505.0
3779	4536.0	103.0
100873459	0.0	0.0
1119	1875.0	1261.0
100128627	0.0	1.0
100128626	0.0	0.0
3790	2356.0	1870.0
100128628	2.0	12.0
3791	2719.0	1173.0
100873442	0.0	0.0
3792	68.0	2.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	12.0	5.0
1131	330.0	22.0
1130	3648.0	1091.0
100861476	0.0	0.0
1129	0.0	0.0
1128	252.0	3.0
1124	276.0	121.0
1123	2389.0	293.0
1122	1132.0	2925.0
100861470	0.0	0.0
3784	159.0	152.0
100873446	0.0	0.0
3785	0.0	0.0
100873445	0.0	0.0
3786	200.0	112.0
100873444	0.0	0.0
3787	394.0	7.0
100873443	0.0	0.0
3788	1.0	10.0
100873449	1.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	170.0	111.0
100128618	11.0	0.0
728597	0.0	0.0
100128617	1.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	122.0	19.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	8.0	22.0
285634	0.0	2.0
1142	0.0	0.0
1141	32.0	65.0
285636	4020.0	2584.0
1140	305.0	352.0
728599	3.0	0.0
1139	1.0	2.0
1138	154.0	26.0
1137	2.0	1.0
100861485	0.0	0.0
1136	4.0	6.0
1135	11.0	1.0
1134	4.0	63.0
1133	28.0	8.0
3795	154.0	258.0
100873479	0.0	0.0
3796	1253.0	812.0
100873478	0.0	0.0
3797	947.0	492.0
100873477	0.0	2.0
3798	96.0	11.0
100873476	0.0	0.0
3799	17385.0	18368.0
100873460	0.0	0.0
728586	14.0	5.0
285641	0.0	0.0
100873464	0.0	0.0
100873463	0.0	4.0
100873462	0.0	1.0
285643	0.0	0.0
100128603	3.0	0.0
100873461	0.0	2.0
1154	808.0	2162.0
1153	20522.0	17724.0
1152	1252.0	102.0
285647	2.0	32.0
728589	14.0	5.0
728588	4.0	12.0
1149	476.0	5.0
1147	2164.0	2297.0
1146	0.0	0.0
1145	33.0	20.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	746.0	2179.0
1163	1462.0	1404.0
285659	0.0	0.0
1161	733.0	263.0
1160	154.0	40.0
1159	106.0	63.0
1158	7.0	3.0
1157	1.0	0.0
1155	1074.0	2945.0
550643	3235.0	3089.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	5831.0	3731.0
1175	1597.0	5561.0
285668	20.0	0.0
1174	913.0	2745.0
1173	8876.0	16523.0
550631	83.0	403.0
100873489	0.0	0.0
283014	1.0	5.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	9.0	31.0
1186	514.0	7638.0
1185	859.0	547.0
1184	304.0	382.0
1183	460.0	77.0
1182	7988.0	9139.0
1181	100.0	476.0
440375	10.0	19.0
1180	22.0	2.0
1179	2.0	0.0
1178	0.0	0.0
283089	17.0	3.0
85495	0.0	0.0
85480	726.0	13.0
283080	0.0	0.0
1198	1280.0	2073.0
1197	0.0	0.0
1196	1689.0	1546.0
1195	9711.0	3911.0
440366	0.0	0.0
1193	2365.0	428.0
1192	9809.0	17623.0
1191	28553.0	56833.0
1188	8.0	16.0
283078	528.0	966.0
85486	6.0	5.0
128615	0.0	0.0
85481	0.0	19.0
128611	120.0	19.0
440396	22.0	36.0
128609	0.0	0.0
128602	1.0	0.0
440387	0.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	21.0
126014	60.0	203.0
440335	387.0	9305.0
100128690	0.0	0.0
114034	517.0	995.0
126006	3.0	226.0
114036	58.0	18.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	28.0	68.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	4.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	1.0
200728	214.0	172.0
440356	8.0	48.0
440354	164.0	115.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	4.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	0.0	4.0
100873410	0.0	0.0
100873417	9.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	15.0	4.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	43.0	76.0
200734	4358.0	3571.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	29.0	42.0
100873402	0.0	0.0
100873401	0.0	3.0
100873400	0.0	1.0
100128665	0.0	0.0
128637	3423.0	4244.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	3.0	0.0
165530	36.0	25.0
85409	21.0	133.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	1.0	0.0
106481383	0.0	0.0
85417	9.0	176.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	354.0	293.0
106481389	0.0	0.0
85415	2677.0	1656.0
106481387	0.0	0.0
85413	9.0	0.0
106481388	1.0	2.0
645436	0.0	0.0
106481381	0.0	1.0
106481382	0.0	0.0
10	80.0	71.0
106481380	0.0	0.0
11	0.0	1.0
403341	1791.0	1164.0
12	263.0	213.0
13	0.0	1.0
14	1211.0	8300.0
15	3.0	1.0
16	3024.0	5571.0
645455	2.0	2.0
18	1135.0	18210.0
19	4580.0	1855.0
128580	12.0	4.0
85407	75.0	266.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	544.0	2128.0
106481395	0.0	0.0
85403	1630.0	2992.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	933.0	1770.0
106481390	0.0	0.0
21	639.0	11681.0
106481391	0.0	0.0
22	1402.0	1265.0
153571	353.0	52.0
153572	9847.0	222.0
23	2454.0	4933.0
24	187.0	73.0
25	2568.0	3764.0
26	0.0	1.0
27	1568.0	1736.0
28	335.0	1174.0
29	2487.0	2186.0
153579	2187.0	109.0
728615	0.0	0.0
728614	5.0	0.0
200765	510.0	190.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	7.0	4.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1027.0	1477.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3471.0	4023.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	49.0	68.0
106481366	0.0	0.0
30	471.0	3086.0
106481360	0.0	0.0
31	2749.0	4859.0
32	3140.0	310.0
33	294.0	3.0
34	5091.0	4085.0
35	363.0	1207.0
153562	1593.0	1870.0
36	9153.0	13764.0
37	5891.0	6697.0
38	3972.0	2339.0
440307	0.0	9.0
39	450.0	1557.0
165545	7.0	27.0
106481369	0.0	0.0
728606	431.0	8.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	1.0
106481377	0.0	0.0
403315	0.0	0.0
40	45.0	795.0
106481370	0.0	0.0
41	109.0	26.0
106481371	0.0	0.0
43	24.0	15.0
645486	0.0	1.0
47	5126.0	11671.0
48	6051.0	4412.0
49	4.0	17.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	6.0	4.0
106481340	0.0	0.0
85458	6041.0	1321.0
106481345	0.0	0.0
85459	725.0	745.0
