id	b504f2d6-3354-4b56-9238-bf58fcf4185a	6c60605b-a647-481e-976d-f2945740faf8
26978	5.0	29.0
126075	400.0	1132.0
106481439	0.0	0.0
403250	0.0	0.0
126074	144.0	468.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1072.0	2159.0
106481444	4.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3893.0	3545.0
85354	0.0	0.0
85352	45.0	187.0
403241	0.0	0.0
344462	1.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	543.0	1649.0
153643	8.0	37.0
403247	0.0	0.0
403248	0.0	0.0
26985	3052.0	9542.0
106481448	0.0	0.0
26986	48280.0	173446.0
126069	98.0	190.0
106481449	0.0	0.0
126068	395.0	1323.0
106481446	0.0	0.0
26983	1.0	2.0
26984	805.0	1725.0
106481447	0.0	0.0
106481451	0.0	4.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	163.0	163.0
106481455	0.0	2.0
85349	121.0	36.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	1.0	23.0
106481454	0.0	0.0
403238	0.0	0.0
85344	2.0	15.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	7.0	27.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	0.0	8.0
100873391	0.0	0.0
100873398	0.0	1.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	3.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1843.0	11755.0
100873390	0.0	0.0
728556	34.0	147.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	62.0	140.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	446.0	1405.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	7.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	210.0	621.0
100873384	0.0	0.0
285601	35.0	46.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	6.0
63910	49.0	405.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	494.0	937.0
222008	10.0	76.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	2302.0	3565.0
63904	0.0	0.0
106481430	0.0	0.0
163071	23.0	80.0
63906	522.0	1095.0
106481433	0.0	0.0
63908	551.0	1557.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	4.0
285613	22.0	100.0
63920	350.0	910.0
63923	684.0	1466.0
63922	140.0	1007.0
728577	206.0	48.0
63925	1029.0	2377.0
63924	9548.0	6152.0
63916	2296.0	10799.0
63917	2833.0	4514.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	8.0
728564	5.0	15.0
285622	0.0	3.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1251.0	3865.0
106481402	0.0	0.0
63931	1314.0	3980.0
106481403	0.0	2.0
63934	429.0	1410.0
728567	6.0	3.0
106481408	0.0	0.0
163088	3.0	8.0
63933	1762.0	5418.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2755.0	4565.0
163087	565.0	1714.0
728568	291.0	638.0
106481407	9.0	24.0
3704	1011.0	2287.0
3705	4376.0	6274.0
63926	541.0	1995.0
3706	7.0	47.0
63929	818.0	2951.0
3707	4459.0	6803.0
63928	4.0	1.0
3708	11264.0	7420.0
106481411	0.0	0.0
3709	5823.0	15991.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	14.0	44.0
3702	172.0	2742.0
3703	7134.0	25203.0
645506	0.0	1.0
151050	1027.0	2224.0
645520	0.0	0.0
63941	740.0	1853.0
63940	822.0	5250.0
63943	274.0	852.0
728517	0.0	0.0
163033	256.0	836.0
258010	1510.0	5217.0
63947	0.0	0.0
63946	3.0	5.0
728513	0.0	0.0
100033803	0.0	0.0
3716	16389.0	35857.0
100033804	0.0	0.0
3717	2067.0	5052.0
100033805	0.0	0.0
3718	443.0	2892.0
63939	900.0	3408.0
100033806	0.0	0.0
100190799	9.0	12.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	70.0	169.0
3710	2530.0	9003.0
3712	3629.0	5982.0
3713	0.0	4.0
3714	2849.0	2015.0
63950	0.0	3.0
728505	1.0	2.0
63951	44.0	228.0
100033807	0.0	0.0
728501	38.0	59.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	72766.0	6294.0
100033814	0.0	0.0
3727	25371.0	7675.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	7.0
3728	15799.0	17842.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1339.0	4871.0
151056	204.0	512.0
3725	60901.0	15687.0
645528	1.0	9.0
728532	20.0	124.0
163059	242.0	440.0
728538	0.0	1.0
728537	58.0	203.0
63967	27.0	919.0
3737	37.0	32.0
3738	38.0	426.0
3739	9.0	2.0
645538	0.0	0.0
3730	1664.0	3722.0
3732	2095.0	2992.0
3734	0.0	0.0
3735	5705.0	14102.0
3736	107.0	121.0
63970	125.0	9.0
3750	314.0	440.0
63971	6625.0	9526.0
63974	0.0	0.0
163049	1556.0	7473.0
63973	35.0	5.0
63976	520.0	186.0
222068	4074.0	11797.0
63978	0.0	0.0
63977	455.0	1439.0
63979	627.0	2285.0
728524	0.0	0.0
3748	354.0	679.0
163051	16.0	79.0
3749	904.0	1069.0
163050	31.0	129.0
3741	340.0	32.0
645548	5.0	48.0
3743	0.0	3.0
3744	0.0	1.0
3745	1384.0	703.0
3746	32.0	29.0
3747	51.0	7462.0
285671	804.0	791.0
285672	1713.0	4983.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	59.0	25.0
285676	75.0	156.0
3761	0.0	0.0
100128657	1.0	2.0
285679	0.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1467.0	905.0
283008	0.0	0.0
3751	518.0	869.0
100873435	0.0	0.0
3752	1926.0	4616.0
100873434	0.0	0.0
3753	240.0	21.0
100873433	0.0	0.0
3754	54.0	356.0
100873432	0.0	0.0
3755	44.0	72.0
100873439	0.0	0.0
3756	7.0	185.0
100873438	0.0	0.0
3757	55.0	127.0
100873437	0.0	0.0
3758	10.0	18.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	86.0	340.0
3772	198.0	360.0
100861458	0.0	0.0
100861453	16.0	25.0
100861455	0.0	0.0
1107	7439.0	16799.0
1106	5176.0	13284.0
1105	3228.0	14788.0
1104	988.0	4412.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1511.0	3241.0
1101	757.0	3518.0
3762	335.0	1197.0
100873424	0.0	0.0
3763	10.0	38.0
100128640	118.0	75.0
100873423	0.0	0.0
3764	1277.0	2777.0
100873422	0.0	0.0
3765	0.0	4.0
100873421	0.0	0.0
3766	13.0	91.0
100873428	0.0	0.0
3767	322.0	1002.0
100873427	0.0	0.0
3768	276.0	156.0
1109	0.0	5.0
100873426	0.0	5.0
1108	11336.0	33333.0
3769	9.0	5.0
100873425	1.0	3.0
100128637	1.0	2.0
100128639	0.0	0.0
3780	6.0	20.0
100873453	0.0	0.0
3781	33.0	142.0
100873452	0.0	0.0
3782	535.0	1082.0
100873451	0.0	0.0
3783	558.0	1014.0
100873450	0.0	0.0
1121	1543.0	4352.0
100861468	0.0	0.0
1120	81.0	225.0
100861469	0.0	0.0
1118	163.0	1712.0
1117	655.0	4481.0
1116	5340.0	2252.0
1114	18.0	846.0
1113	7.0	6.0
1112	7465.0	9894.0
1111	245.0	2364.0
3773	344.0	22.0
100873457	0.0	3.0
100873456	0.0	0.0
3775	483.0	3743.0
100873455	0.0	0.0
3776	540.0	765.0
100873454	0.0	0.0
3777	371.0	708.0
3778	4393.0	3164.0
3779	2715.0	247.0
100873459	0.0	0.0
1119	995.0	5664.0
100128627	0.0	1.0
100128626	0.0	0.0
3790	912.0	1863.0
100128628	3.0	11.0
3791	4299.0	12984.0
100873442	0.0	0.0
3792	24.0	90.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	12.0	21.0
1131	108.0	662.0
1130	4475.0	10284.0
100861476	0.0	0.0
1129	0.0	1.0
1128	68.0	105.0
1124	337.0	1203.0
1123	860.0	2035.0
1122	1113.0	5294.0
100861470	0.0	0.0
3784	462.0	1036.0
100873446	0.0	0.0
3785	0.0	2.0
100873445	0.0	0.0
3786	202.0	2087.0
100873444	0.0	0.0
3787	27.0	34.0
100873443	0.0	0.0
3788	43.0	131.0
100873449	0.0	27.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	44.0	101.0
100128618	0.0	2.0
728597	7.0	11.0
100128617	0.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	60.0	232.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	5.0	8.0
285634	1.0	12.0
1142	0.0	1.0
1141	76.0	93.0
285636	2228.0	7041.0
1140	462.0	1827.0
728599	2.0	11.0
1139	19.0	19.0
1138	28.0	115.0
1137	0.0	0.0
100861485	0.0	0.0
1136	9.0	18.0
1135	13.0	1.0
1134	7.0	66.0
1133	8.0	20.0
3795	150.0	139.0
100873479	3.0	4.0
3796	1244.0	6411.0
100873478	0.0	0.0
3797	1370.0	2223.0
100873477	2.0	4.0
3798	149.0	126.0
100873476	0.0	0.0
3799	14177.0	34969.0
100873460	0.0	0.0
728586	8.0	28.0
285641	1.0	0.0
100873464	0.0	3.0
100873463	1.0	0.0
100873462	0.0	6.0
285643	0.0	6.0
100128603	0.0	3.0
100873461	0.0	0.0
1154	1053.0	3618.0
1153	12317.0	13938.0
1152	2129.0	4775.0
285647	11.0	60.0
728589	15.0	53.0
728588	0.0	82.0
1149	2317.0	3125.0
1147	1435.0	4369.0
1146	1.0	5.0
1145	43.0	70.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	2.0
100873494	0.0	0.0
1164	237.0	2616.0
1163	512.0	3241.0
285659	0.0	0.0
1161	318.0	1446.0
1160	343.0	298.0
1159	24.0	569.0
1158	2.0	8.0
1157	1.0	0.0
1155	1547.0	4788.0
550643	1238.0	3358.0
283025	0.0	0.0
100873499	1.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2579.0	7205.0
1175	1964.0	8167.0
285668	5.0	15.0
1174	968.0	3119.0
1173	11544.0	26293.0
550631	115.0	167.0
100873489	0.0	0.0
283014	4.0	32.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	34.0	20.0
1186	2042.0	4128.0
1185	1269.0	2036.0
1184	309.0	2926.0
1183	319.0	625.0
1182	4999.0	10599.0
1181	192.0	448.0
440375	34.0	36.0
1180	29.0	6.0
1179	0.0	0.0
1178	1.0	0.0
283089	2.0	8.0
85495	0.0	0.0
85480	289.0	84.0
283080	0.0	0.0
1198	2037.0	3097.0
1197	0.0	2.0
1196	1265.0	3704.0
1195	6000.0	11558.0
440366	1.0	5.0
1193	1811.0	4396.0
1192	10758.0	36442.0
1191	63424.0	28398.0
1188	34.0	1.0
283078	274.0	145.0
85486	4.0	28.0
128615	0.0	0.0
85481	1.0	5.0
128611	111.0	1010.0
440396	39.0	111.0
128609	0.0	1.0
128602	0.0	0.0
440387	1.0	1.0
128674	0.0	3.0
128676	0.0	3.0
114026	0.0	0.0
100861402	1.0	5.0
126014	109.0	548.0
440335	269.0	2373.0
100128690	0.0	0.0
114034	472.0	1175.0
126006	13.0	92.0
114036	124.0	148.0
100128696	0.0	0.0
100128688	1.0	0.0
126003	35.0	166.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	0.0	5.0
100128678	1.0	4.0
100861429	0.0	0.0
128653	1.0	0.0
200728	168.0	209.0
440356	0.0	7.0
440354	56.0	245.0
440352	0.0	3.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	0.0	5.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	26.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	63.0	240.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	13.0	153.0
200734	3859.0	6781.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	9.0
100873402	0.0	0.0
100873401	2.0	4.0
100873400	0.0	0.0
100128665	0.0	1.0
128637	3218.0	6444.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	6.0
165530	66.0	274.0
85409	143.0	336.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	2.0	145.0
106481383	0.0	14.0
85417	41.0	199.0
106481384	0.0	0.0
103106903	0.0	2.0
85414	379.0	423.0
106481389	0.0	0.0
85415	1713.0	2384.0
106481387	0.0	0.0
85413	6.0	13.0
106481388	1.0	4.0
645436	0.0	3.0
106481381	0.0	1.0
106481382	0.0	0.0
10	2.0	13.0
106481380	0.0	0.0
11	0.0	7.0
403341	848.0	2367.0
12	1158.0	658.0
13	364.0	143.0
14	3663.0	8260.0
15	2.0	4.0
16	5227.0	13178.0
645455	15.0	70.0
18	1469.0	3700.0
19	5005.0	12558.0
128580	13.0	19.0
85407	424.0	558.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	1.0	0.0
85406	1237.0	3488.0
106481395	0.0	3.0
85403	1442.0	5242.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	2774.0	3434.0
106481390	0.0	0.0
21	1948.0	6859.0
106481391	0.0	0.0
22	1173.0	3430.0
153571	349.0	76.0
153572	3215.0	383.0
23	2900.0	9563.0
24	145.0	168.0
25	7146.0	8664.0
26	15.0	196.0
27	3136.0	9516.0
28	420.0	1306.0
29	5718.0	8382.0
153579	4648.0	4206.0
728615	0.0	0.0
728614	0.0	0.0
200765	145.0	540.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	25.0	42.0
102466518	0.0	0.0
102466516	0.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	988.0	1888.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1948.0	7829.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	90.0	599.0
106481366	0.0	0.0
30	1517.0	2426.0
106481360	0.0	0.0
31	4103.0	6326.0
32	11278.0	14343.0
33	257.0	298.0
34	2686.0	5529.0
35	1512.0	1317.0
153562	1047.0	3514.0
36	6144.0	6697.0
37	10828.0	16611.0
38	3452.0	4895.0
440307	1.0	23.0
39	527.0	3227.0
165545	0.0	21.0
106481369	0.0	0.0
728606	110.0	304.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	1.0	4.0
106481379	0.0	0.0
106481376	0.0	1.0
106481377	0.0	0.0
403315	0.0	0.0
40	13.0	56.0
106481370	0.0	0.0
41	196.0	319.0
106481371	0.0	0.0
43	35.0	68.0
645486	0.0	0.0
47	7823.0	17849.0
48	5578.0	9740.0
49	31.0	16.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
