id	8b86fbec-ded3-4910-9a7b-c9e9d1c7a377	b98a0c48-8404-47bd-a781-22dfc6c1475a
3694	9079.0	7764.0
100873341	1.0	0.0
3695	130.0	100.0
100873340	2.0	0.0
100128723	1.0	5.0
1033	133.0	273.0
1032	96.0	247.0
285525	1.0	2.0
1031	900.0	748.0
285527	4421.0	1924.0
1030	526.0	1054.0
728468	1.0	0.0
440288	117.0	83.0
1029	164.0	546.0
440295	201.0	28.0
1028	1881.0	911.0
1027	2905.0	4730.0
1026	4297.0	4075.0
1025	2373.0	2538.0
1024	597.0	555.0
3685	9558.0	10682.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	530.0	650.0
100873345	0.0	0.0
3688	29464.0	20740.0
100873344	0.0	0.0
3689	2187.0	3922.0
100873349	3.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	2.0
100873370	0.0	0.0
728498	29.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	14.0	19.0
100873375	0.0	0.0
100128710	3.0	0.0
285533	216.0	80.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	17.0	43.0
1043	576.0	1121.0
1041	20.0	38.0
1040	2677.0	2236.0
1039	1560.0	2154.0
1038	10.0	0.0
1036	1450.0	271.0
3696	6923.0	1437.0
3697	1.0	5.0
100873379	0.0	0.0
3698	121.0	12.0
100873378	0.0	0.0
3699	92.0	34.0
100873377	0.0	0.0
728486	0.0	7.0
100873361	0.0	0.0
105373869	14.0	412.0
100873360	0.0	0.0
285540	77.0	78.0
100128705	0.0	1.0
100873365	5.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	3.0
100873362	0.0	0.0
100128701	1.0	0.0
1054	1854.0	1570.0
285547	0.0	0.0
1053	8.0	7.0
285548	6.0	9.0
1052	3705.0	4066.0
1051	2606.0	3342.0
728489	28.0	3.0
1050	672.0	435.0
100128707	0.0	0.0
1048	18.0	159.0
1047	172.0	2583.0
1046	0.0	0.0
1045	0.0	0.0
100873369	13.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	0.0
1066	1558.0	638.0
1063	1179.0	2327.0
1062	231.0	224.0
1061	5.0	2.0
1060	1792.0	964.0
440253	109.0	37.0
1059	3961.0	5415.0
1058	51.0	106.0
1057	0.0	0.0
85379	11229.0	4752.0
114112	1108.0	631.0
1056	25.0	7.0
85377	2994.0	2439.0
85378	2636.0	1296.0
128745	0.0	0.0
85376	0.0	7.0
440248	843.0	125.0
1075	3240.0	2750.0
1074	7.0	14.0
1073	1968.0	650.0
1072	22242.0	43866.0
1071	31.0	86.0
440243	0.0	0.0
1070	570.0	725.0
1069	2536.0	4189.0
1068	0.0	0.0
85369	1711.0	1622.0
85366	1.0	10.0
85364	1132.0	874.0
85365	1875.0	2287.0
85363	1822.0	1120.0
85360	888.0	1058.0
1080	143.0	1.0
85391	2.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	6.0	1.0
153733	321.0	409.0
1087	3.0	11.0
1086	0.0	0.0
440279	64.0	6.0
1085	5.0	0.0
1084	3.0	0.0
440278	209.0	168.0
1082	0.0	0.0
403294	0.0	0.0
440275	5039.0	4087.0
1081	0.0	0.0
85397	6.0	6.0
85395	331.0	615.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	2.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	10.0	5.0
440270	1664.0	173.0
1089	2.0	3.0
85388	0.0	0.0
85389	0.0	0.0
128718	2.0	0.0
285596	27.0	2.0
285598	1080.0	292.0
126133	1202.0	1945.0
128790	0.0	0.0
126129	222.0	208.0
126123	0.0	0.0
442862	0.0	0.0
126119	392.0	1147.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	1.0
442895	2.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	9.0	6.0
442897	0.0	0.0
442898	2.0	0.0
114134	513.0	298.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	3.0
100128788	81.0	87.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	1.0	0.0
100128782	161.0	89.0
100128781	8.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	45.0	9.0
102466616	0.0	0.0
126052	0.0	0.0
151009	58.0	16.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	11.0	20.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	860.0	1302.0
107131122	0.0	1.0
138050	7582.0	6041.0
403219	0.0	0.0
151011	5460.0	3250.0
645587	0.0	0.0
165679	563.0	115.0
126037	17.0	29.0
114049	2457.0	3394.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	642.0	457.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2113.0	949.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	258.0	227.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	200.0	771.0
645598	0.0	0.0
163007	0.0	0.0
114038	0.0	2.0
645591	0.0	0.0
106481495	0.0	0.0
114041	145.0	23.0
106481496	0.0	0.0
114042	12.0	3.0
106481493	0.0	0.0
114043	9.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	277.0	89.0
126017	524.0	411.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	0.0
85301	2829.0	1148.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	1.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	833.0	1640.0
106481459	0.0	0.0
26994	5945.0	6182.0
106481457	6.0	2.0
26995	1882.0	2264.0
106481458	0.0	0.0
403271	0.0	0.0
26998	10.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1876.0	1161.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1651.0	1465.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	6.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	7.0	0.0
106481471	0.0	0.0
85329	1024.0	134.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	2220.0	6569.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	683.0	503.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	8.0
106481437	0.0	0.0
26974	322.0	288.0
153657	66.0	80.0
106481438	0.0	1.0
106481435	0.0	0.0
26973	867.0	558.0
165631	166.0	44.0
106481436	3.0	0.0
26978	11.0	10.0
126075	676.0	838.0
106481439	0.0	0.0
403250	0.0	0.0
126074	131.0	235.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	645.0	1658.0
106481444	10.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2135.0	1210.0
85354	0.0	0.0
85352	32.0	194.0
403241	0.0	0.0
344462	1.0	0.0
403244	1.0	0.0
403245	0.0	0.0
153642	410.0	362.0
153643	20.0	94.0
403247	0.0	0.0
403248	0.0	0.0
26985	3792.0	2978.0
106481448	0.0	0.0
26986	70726.0	68546.0
126069	125.0	83.0
106481449	0.0	0.0
126068	601.0	274.0
106481446	0.0	0.0
26983	0.0	0.0
26984	821.0	640.0
106481447	0.0	0.0
106481451	5.0	1.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	771.0	93.0
106481455	0.0	0.0
85349	286.0	22.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	8.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	8.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	22.0	7.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	0.0
100873392	0.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	5.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2728.0	1975.0
100873390	2.0	0.0
728556	39.0	50.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	130.0	72.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	485.0	243.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	8.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	299.0	258.0
100873384	0.0	0.0
285601	3.0	16.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	0.0	0.0
63910	178.0	105.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	673.0	443.0
222008	1.0	2.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2380.0	2930.0
63904	0.0	0.0
106481430	0.0	0.0
163071	19.0	10.0
63906	595.0	697.0
106481433	0.0	0.0
63908	743.0	303.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	1.0
285613	62.0	33.0
63920	211.0	174.0
63923	2841.0	2445.0
63922	484.0	671.0
728577	312.0	13.0
63925	1990.0	1005.0
63924	3307.0	385.0
63916	2724.0	2605.0
63917	3410.0	2388.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	0.0
728564	4.0	2.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1312.0	1060.0
106481402	0.0	0.0
63931	1508.0	1895.0
106481403	0.0	0.0
63934	816.0	399.0
728567	3.0	2.0
106481408	0.0	0.0
163088	11.0	5.0
63933	2138.0	1232.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2755.0	2177.0
163087	655.0	349.0
728568	408.0	274.0
106481407	3.0	5.0
3704	962.0	1199.0
3705	3475.0	3173.0
63926	666.0	631.0
3706	3.0	21.0
63929	1113.0	1175.0
3707	3100.0	2583.0
63928	1.0	0.0
3708	9071.0	1984.0
106481411	0.0	0.0
3709	14118.0	3743.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	45.0	3.0
3702	599.0	321.0
3703	9373.0	11218.0
645506	0.0	0.0
151050	1067.0	464.0
645520	0.0	0.0
63941	727.0	1353.0
63940	797.0	1058.0
63943	275.0	450.0
728517	0.0	0.0
163033	427.0	845.0
258010	1469.0	1289.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	16248.0	12932.0
100033804	0.0	0.0
3717	1280.0	713.0
100033805	0.0	0.0
3718	872.0	656.0
63939	786.0	726.0
100033806	0.0	0.0
100190799	8.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	93.0	35.0
3710	5502.0	2738.0
3712	5085.0	5602.0
3713	7.0	1.0
3714	2243.0	1518.0
63950	0.0	0.0
728505	0.0	1.0
63951	74.0	16.0
100033807	0.0	0.0
728501	47.0	32.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	4654.0	11135.0
100033814	0.0	0.0
3727	11846.0	7765.0
63948	0.0	0.0
100033815	0.0	0.0
222052	4.0	0.0
3728	17912.0	22054.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2003.0	1620.0
151056	412.0	169.0
3725	30547.0	19662.0
645528	4.0	0.0
728532	28.0	21.0
163059	413.0	195.0
728538	0.0	0.0
728537	335.0	70.0
63967	125.0	126.0
3737	31.0	0.0
3738	69.0	22.0
3739	0.0	0.0
645538	0.0	0.0
3730	1275.0	469.0
3732	2911.0	3502.0
3734	0.0	0.0
3735	7505.0	4979.0
3736	275.0	52.0
63970	273.0	46.0
3750	262.0	181.0
63971	6868.0	3255.0
63974	0.0	0.0
163049	2656.0	1446.0
63973	82.0	6.0
63976	74.0	45.0
222068	4950.0	5093.0
63978	1.0	0.0
63977	768.0	438.0
63979	791.0	460.0
728524	0.0	0.0
3748	635.0	107.0
163051	55.0	11.0
3749	2759.0	437.0
163050	58.0	39.0
3741	52.0	45.0
645548	12.0	6.0
3743	6.0	0.0
3744	0.0	0.0
3745	718.0	75.0
3746	6.0	79.0
3747	645.0	429.0
285671	779.0	274.0
285672	1282.0	1209.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	280.0	30.0
285676	109.0	25.0
3761	1.0	4.0
100128657	0.0	0.0
285679	1.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	457.0	145.0
283008	0.0	0.0
3751	359.0	456.0
100873435	0.0	0.0
3752	852.0	2250.0
100873434	0.0	0.0
3753	88.0	34.0
100873433	0.0	0.0
3754	41.0	448.0
100873432	0.0	0.0
3755	119.0	31.0
100873439	0.0	0.0
3756	162.0	1777.0
100873438	0.0	0.0
3757	99.0	121.0
100873437	0.0	0.0
3758	0.0	2.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	97.0	32.0
3772	69.0	194.0
100861458	0.0	0.0
100861453	16.0	11.0
100861455	0.0	0.0
1107	11657.0	7006.0
1106	7568.0	3690.0
1105	3902.0	1774.0
1104	1541.0	2069.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1490.0	707.0
1101	1152.0	1474.0
3762	195.0	136.0
100873424	0.0	0.0
3763	2.0	61.0
100128640	160.0	104.0
100873423	0.0	0.0
3764	485.0	529.0
100873422	0.0	0.0
3765	8.0	0.0
100873421	0.0	0.0
3766	4.0	19.0
100873428	0.0	0.0
3767	517.0	1190.0
100873427	0.0	0.0
3768	45.0	60.0
1109	2.0	0.0
100873426	0.0	0.0
1108	14561.0	15476.0
3769	28.0	2.0
100873425	0.0	0.0
100128637	3.0	0.0
100128639	0.0	0.0
3780	38.0	10.0
100873453	0.0	0.0
3781	31.0	54.0
100873452	0.0	2.0
3782	425.0	184.0
100873451	0.0	0.0
3783	2516.0	989.0
100873450	0.0	0.0
1121	1706.0	821.0
100861468	0.0	0.0
1120	212.0	82.0
100861469	0.0	0.0
1118	100.0	140.0
1117	2840.0	8157.0
1116	7652.0	1387.0
1114	22.0	4.0
1113	21.0	7.0
1112	5205.0	2272.0
1111	468.0	557.0
3773	1381.0	7.0
100873457	0.0	0.0
100873456	3.0	0.0
3775	499.0	1635.0
100873455	0.0	0.0
3776	1000.0	1323.0
100873454	0.0	0.0
3777	244.0	98.0
3778	3378.0	739.0
3779	2263.0	404.0
100873459	0.0	0.0
1119	2958.0	606.0
100128627	2.0	3.0
100128626	0.0	0.0
3790	774.0	3888.0
100128628	22.0	8.0
3791	3591.0	1498.0
100873442	0.0	0.0
3792	40.0	3.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	17.0	56.0
1131	263.0	58.0
1130	3037.0	1408.0
100861476	0.0	0.0
1129	0.0	0.0
1128	277.0	52.0
1124	321.0	184.0
1123	1158.0	534.0
1122	1508.0	1108.0
100861470	0.0	0.0
3784	468.0	410.0
100873446	0.0	0.0
3785	26.0	2.0
100873445	0.0	0.0
3786	273.0	297.0
100873444	0.0	0.0
3787	142.0	11.0
100873443	0.0	0.0
3788	12.0	15.0
100873449	7.0	0.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	167.0	39.0
100128618	0.0	0.0
728597	4.0	0.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	57.0	70.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	4.0	4.0
285634	0.0	1.0
1142	0.0	1.0
1141	314.0	143.0
285636	2314.0	1889.0
1140	323.0	323.0
728599	1.0	3.0
1139	13.0	6.0
1138	66.0	45.0
1137	0.0	0.0
100861485	0.0	0.0
1136	8.0	15.0
1135	0.0	0.0
1134	20.0	65.0
1133	29.0	8.0
3795	188.0	99.0
100873479	8.0	0.0
3796	1969.0	1088.0
100873478	0.0	0.0
3797	1096.0	1222.0
100873477	0.0	0.0
3798	299.0	42.0
100873476	0.0	0.0
3799	12458.0	6809.0
100873460	0.0	0.0
728586	30.0	14.0
285641	0.0	0.0
100873464	8.0	0.0
100873463	0.0	0.0
100873462	7.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2468.0	5147.0
1153	14373.0	12513.0
1152	1061.0	821.0
285647	7.0	13.0
728589	47.0	20.0
728588	9.0	1.0
1149	938.0	220.0
1147	1709.0	996.0
1146	0.0	2.0
1145	62.0	28.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	354.0	640.0
1163	911.0	1250.0
285659	0.0	0.0
1161	555.0	339.0
1160	123.0	40.0
1159	57.0	51.0
1158	6.0	6.0
1157	0.0	0.0
1155	1355.0	2733.0
550643	1379.0	1464.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1766.0	2677.0
1175	1897.0	4770.0
285668	11.0	7.0
1174	1302.0	2950.0
1173	12313.0	16512.0
550631	168.0	284.0
100873489	0.0	0.0
283014	4.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	13.0	4.0
1186	2547.0	3903.0
1185	1613.0	544.0
1184	462.0	252.0
1183	428.0	188.0
1182	7151.0	5255.0
1181	385.0	482.0
440375	25.0	27.0
1180	29.0	19.0
1179	0.0	0.0
1178	0.0	0.0
283089	6.0	4.0
85495	0.0	0.0
85480	177.0	50.0
283080	1.0	0.0
1198	2360.0	1384.0
1197	0.0	3.0
1196	1979.0	2032.0
1195	5416.0	1160.0
440366	16.0	2.0
1193	1093.0	645.0
1192	9803.0	16331.0
1191	45363.0	61428.0
1188	12.0	6.0
283078	43.0	64.0
85486	4.0	4.0
128615	0.0	0.0
85481	0.0	0.0
128611	148.0	88.0
440396	39.0	24.0
128609	0.0	0.0
128602	30.0	451.0
440387	2.0	0.0
128674	0.0	0.0
128676	2.0	0.0
114026	1.0	0.0
100861402	0.0	3.0
126014	64.0	202.0
440335	572.0	3062.0
100128690	0.0	0.0
114034	753.0	601.0
126006	37.0	42.0
114036	25.0	16.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	25.0	73.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	6.0	0.0
100128678	0.0	2.0
100861429	0.0	0.0
128653	10.0	0.0
200728	184.0	142.0
440356	1.0	14.0
440354	111.0	57.0
440352	6.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	10.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	19.0	5.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	6.0	2.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	228.0	55.0
200734	5960.0	6163.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	0.0
100873408	0.0	1.0
100873407	0.0	0.0
100861430	0.0	0.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3086.0	2446.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	1.0
165530	175.0	60.0
85409	321.0	920.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	3.0	0.0
85417	53.0	54.0
106481384	0.0	0.0
103106903	11.0	0.0
85414	357.0	475.0
106481389	0.0	0.0
85415	2124.0	1707.0
106481387	0.0	0.0
85413	63.0	7.0
106481388	6.0	1.0
645436	15.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	9.0
106481380	0.0	0.0
11	0.0	3.0
403341	763.0	384.0
12	1148.0	208.0
13	12.0	2.0
14	3767.0	5573.0
15	10.0	4.0
16	5945.0	4742.0
645455	22.0	5.0
18	2272.0	10079.0
19	1719.0	1091.0
128580	7.0	3.0
85407	165.0	123.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1090.0	1139.0
106481395	0.0	0.0
85403	1440.0	1213.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4702.0	3972.0
106481390	0.0	0.0
21	3068.0	4805.0
106481391	0.0	0.0
22	1532.0	1148.0
153571	565.0	2204.0
153572	3324.0	4998.0
23	4069.0	3448.0
24	105.0	67.0
25	7213.0	5731.0
26	28.0	36.0
27	3346.0	2634.0
28	774.0	1177.0
29	4940.0	3039.0
153579	1882.0	253.0
728615	0.0	0.0
728614	0.0	0.0
200765	457.0	70.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	50.0	15.0
102466518	0.0	0.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	5.0	0.0
106481361	0.0	0.0
85439	1032.0	457.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1898.0	2262.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	174.0	68.0
106481366	0.0	0.0
30	1562.0	3057.0
106481360	0.0	0.0
31	5287.0	3614.0
32	6772.0	1240.0
33	157.0	39.0
34	2651.0	2082.0
35	1207.0	483.0
153562	1351.0	1364.0
36	5676.0	2864.0
37	12417.0	7145.0
38	2533.0	3709.0
440307	20.0	6.0
39	1191.0	709.0
165545	10.0	47.0
106481369	0.0	0.0
728606	86.0	462.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	15.0	3.0
106481370	0.0	0.0
41	483.0	144.0
106481371	0.0	0.0
43	91.0	54.0
645486	0.0	0.0
47	7782.0	10033.0
48	3915.0	2148.0
49	13.0	8.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	4.0	1.0
106481340	0.0	0.0
85458	3693.0	2575.0
106481345	0.0	0.0
85459	1324.0	594.0
