id	cbb39a6a-61e7-4295-b712-daf6af43dc82	d5887901-f651-47bf-a6e3-6656e48588c9
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	7.0
1043	311.0	709.0
1041	1.0	32.0
1040	2436.0	2152.0
1039	1934.0	2848.0
1038	3.0	0.0
1036	1030.0	49.0
3696	4304.0	8935.0
3697	8.0	2.0
100873379	0.0	0.0
3698	785.0	5.0
100873378	0.0	6.0
3699	92.0	42.0
100873377	0.0	0.0
728486	2.0	10.0
100873361	0.0	0.0
105373869	9.0	455.0
100873360	0.0	1.0
285540	108.0	99.0
100128705	2.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	1.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	2872.0	4591.0
285547	0.0	1.0
1053	2.0	4.0
285548	12.0	20.0
1052	1270.0	469.0
1051	1853.0	4135.0
728489	4.0	2.0
1050	1396.0	1052.0
100128707	0.0	0.0
1048	32.0	42119.0
1047	136.0	431.0
1046	2.0	0.0
1045	3.0	0.0
100873369	7.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	9.0
1066	4234.0	663.0
1063	1552.0	21894.0
1062	244.0	2787.0
1061	4.0	4.0
1060	1918.0	1070.0
440253	174.0	58.0
1059	4198.0	7028.0
1058	54.0	1019.0
1057	4.0	0.0
85379	10197.0	5228.0
114112	685.0	133.0
1056	32.0	11.0
85377	3140.0	1510.0
85378	2640.0	2584.0
128745	0.0	7.0
85376	20.0	40.0
440248	716.0	273.0
1075	2707.0	5668.0
1074	23.0	38.0
1073	2814.0	1256.0
1072	21609.0	69415.0
1071	28.0	39.0
440243	0.0	0.0
1070	670.0	2071.0
1069	2263.0	3811.0
1068	0.0	0.0
85369	1741.0	950.0
85366	2.0	33.0
85364	1098.0	2222.0
85365	2041.0	2428.0
85363	1445.0	962.0
85360	744.0	531.0
1080	95.0	3.0
85391	6.0	18.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	2.0
153733	447.0	1203.0
1087	1.0	86.0
1086	0.0	0.0
440279	34.0	2.0
1085	7.0	5.0
1084	1.0	23.0
440278	113.0	300.0
1082	0.0	0.0
403294	0.0	0.0
440275	3885.0	5125.0
1081	7.0	26.0
85397	6.0	15.0
85395	407.0	361.0
403285	0.0	0.0
1091	0.0	0.0
1090	5.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	3.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	2.0
440270	1100.0	212.0
1089	7.0	3.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	7.0	0.0
285598	663.0	248.0
126133	924.0	1113.0
128790	6.0	1.0
126129	147.0	265.0
126123	1.0	1.0
442862	0.0	0.0
126119	242.0	429.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	1.0
114132	18.0	7.0
442897	0.0	0.0
442898	6.0	1.0
114134	511.0	993.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	7.0
100128788	92.0	116.0
100128787	0.0	0.0
440225	0.0	0.0
440224	8.0	12.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	1.0
100128782	189.0	113.0
100128781	1.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	86.0	218.0
102466616	0.0	0.0
126052	0.0	0.0
151009	38.0	37.0
403227	22.0	0.0
403228	0.0	0.0
138046	0.0	9.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	0.0	1.0
403223	0.0	0.0
403224	2.0	0.0
403226	0.0	0.0
200634	821.0	329.0
107131122	0.0	2.0
138050	6350.0	2923.0
403219	0.0	0.0
151011	4856.0	3140.0
645587	1.0	8.0
165679	381.0	6646.0
126037	45.0	196.0
114049	2439.0	3834.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	52.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	461.0	312.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1938.0	2239.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	229.0	238.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	214.0	1062.0
645598	0.0	0.0
163007	3.0	47.0
114038	2.0	2.0
645591	0.0	2.0
106481495	2.0	0.0
114041	217.0	1220.0
106481496	0.0	0.0
114042	0.0	2.0
106481493	0.0	0.0
114043	11.0	25.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	213.0	350.0
126017	395.0	1140.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	5.0	1.0
85301	2876.0	388.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	851.0	4689.0
106481459	0.0	0.0
26994	6647.0	5593.0
106481457	12.0	16.0
26995	1691.0	3900.0
106481458	0.0	0.0
403271	0.0	1.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	772.0	5187.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1843.0	2260.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	4.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	1.0	0.0
106481474	1.0	0.0
106481471	0.0	1.0
85329	631.0	506.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	1.0
106481476	0.0	0.0
85320	613.0	4151.0
106481470	0.0	0.0
403252	0.0	0.0
403253	1.0	1.0
403254	0.0	2.0
126070	667.0	687.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	1.0
106481437	0.0	0.0
26974	197.0	353.0
153657	67.0	205.0
106481438	10.0	75.0
106481435	0.0	0.0
26973	1252.0	3120.0
165631	96.0	104.0
106481436	0.0	0.0
26978	11.0	11.0
126075	617.0	1078.0
106481439	0.0	0.0
403250	0.0	0.0
126074	165.0	246.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1100.0	2511.0
106481444	12.0	3.0
106481445	1.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2551.0	573.0
85354	0.0	0.0
85352	258.0	47.0
403241	0.0	0.0
344462	1.0	5.0
403244	0.0	0.0
403245	0.0	0.0
153642	342.0	538.0
153643	14.0	6.0
403247	0.0	0.0
403248	0.0	0.0
26985	3164.0	6737.0
106481448	0.0	0.0
26986	53744.0	171072.0
126069	142.0	101.0
106481449	0.0	0.0
126068	620.0	766.0
106481446	0.0	0.0
26983	0.0	0.0
26984	673.0	1639.0
106481447	0.0	0.0
106481451	1.0	0.0
106481452	0.0	0.0
106481450	1.0	0.0
114088	218.0	467.0
106481455	0.0	0.0
85349	204.0	119.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	3.0	1.0
85347	0.0	0.0
26980	2.0	14.0
106481454	0.0	0.0
403238	0.0	0.0
85344	13.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	6.0	5.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	0.0	0.0
100873392	1.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	4.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2022.0	11479.0
100873390	0.0	0.0
728556	46.0	73.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	115.0	194.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	450.0	796.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	198.0	366.0
100873384	0.0	0.0
285601	14.0	10.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	1.0	1.0
63910	168.0	197.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	505.0	601.0
222008	5.0	50.0
106481428	0.0	0.0
106481429	1.0	0.0
63905	2546.0	4097.0
63904	0.0	0.0
106481430	0.0	0.0
163071	17.0	7.0
63906	615.0	655.0
106481433	0.0	0.0
63908	737.0	1270.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	2.0	0.0
100873389	0.0	0.0
100873388	3.0	0.0
285613	82.0	317.0
63920	211.0	733.0
63923	289.0	408.0
63922	463.0	850.0
728577	356.0	8.0
63925	1545.0	1798.0
63924	3692.0	41.0
63916	2522.0	7810.0
63917	2539.0	2525.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	5.0
728564	2.0	8.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1260.0	2098.0
106481402	1.0	0.0
63931	1500.0	2955.0
106481403	0.0	1.0
63934	618.0	50.0
728567	1.0	3.0
106481408	0.0	0.0
163088	5.0	3.0
63933	1950.0	2931.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2585.0	3237.0
163087	622.0	836.0
728568	248.0	729.0
106481407	8.0	5.0
3704	1318.0	2632.0
3705	2746.0	3840.0
63926	586.0	2163.0
3706	9.0	31.0
63929	1014.0	3337.0
3707	5778.0	1459.0
63928	69.0	2.0
3708	11057.0	9794.0
106481411	0.0	0.0
3709	9808.0	2840.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	26.0	18.0
3702	180.0	176.0
3703	8439.0	20214.0
645506	0.0	0.0
151050	1094.0	902.0
645520	0.0	0.0
63941	740.0	3649.0
63940	823.0	760.0
63943	275.0	903.0
728517	0.0	0.0
163033	234.0	236.0
258010	1481.0	3118.0
63947	0.0	0.0
63946	0.0	89.0
728513	3.0	0.0
100033803	0.0	0.0
3716	12970.0	9152.0
100033804	0.0	0.0
3717	1393.0	695.0
100033805	0.0	0.0
3718	450.0	476.0
63939	695.0	3183.0
100033806	0.0	0.0
100190799	9.0	8.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	72.0	48.0
3710	4081.0	7287.0
3712	4084.0	5221.0
3713	2.0	27.0
3714	3159.0	817.0
63950	0.0	0.0
728505	0.0	0.0
63951	99.0	16.0
100033807	0.0	0.0
728501	36.0	21.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	7443.0	3107.0
100033814	0.0	0.0
3727	9768.0	5378.0
63948	0.0	31.0
100033815	0.0	0.0
222052	1.0	0.0
3728	17430.0	35578.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1976.0	3895.0
151056	325.0	103.0
3725	18467.0	5483.0
645528	3.0	0.0
728532	19.0	27.0
163059	329.0	305.0
728538	0.0	1.0
728537	248.0	188.0
63967	78.0	689.0
3737	22.0	2.0
3738	66.0	41.0
3739	5.0	0.0
645538	0.0	0.0
3730	1059.0	7654.0
3732	4907.0	1051.0
3734	0.0	0.0
3735	6153.0	7499.0
3736	13.0	7.0
63970	219.0	57.0
3750	185.0	45.0
63971	5505.0	4184.0
63974	0.0	0.0
163049	2105.0	1946.0
63973	56.0	8.0
63976	136.0	11.0
222068	4012.0	5503.0
63978	0.0	0.0
63977	600.0	700.0
63979	703.0	1814.0
728524	0.0	0.0
3748	923.0	763.0
163051	27.0	40.0
3749	1733.0	133.0
163050	43.0	34.0
3741	15.0	3.0
645548	1.0	19.0
3743	2.0	1.0
3744	0.0	0.0
3745	958.0	18.0
3746	24.0	44.0
3747	230.0	1.0
285671	595.0	103.0
285672	1380.0	2312.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	11.0	48.0
285676	92.0	26.0
3761	0.0	1.0
100128657	0.0	0.0
285679	3.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	724.0	434.0
283008	1.0	2.0
3751	214.0	409.0
100873435	0.0	0.0
3752	1838.0	419.0
100873434	0.0	0.0
3753	125.0	3.0
100873433	0.0	0.0
3754	51.0	629.0
100873432	0.0	0.0
3755	58.0	56.0
100873439	0.0	0.0
3756	14.0	13.0
100873438	0.0	0.0
3757	82.0	70.0
100873437	0.0	0.0
3758	11.0	6.0
100873436	0.0	0.0
100873420	2.0	1.0
3770	103.0	90.0
3772	75.0	192.0
100861458	0.0	0.0
100861453	19.0	17.0
100861455	0.0	0.0
1107	11299.0	6287.0
1106	7135.0	4663.0
1105	4917.0	4967.0
1104	1663.0	4870.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1370.0	429.0
1101	1714.0	13.0
3762	552.0	291.0
100873424	0.0	0.0
3763	7.0	21.0
100128640	149.0	189.0
100873423	0.0	0.0
3764	704.0	389.0
100873422	0.0	0.0
3765	5.0	4.0
100873421	1.0	1.0
3766	39.0	87.0
100873428	0.0	0.0
3767	256.0	833.0
100873427	0.0	0.0
3768	98.0	14.0
1109	3.0	1.0
100873426	0.0	0.0
1108	14958.0	16869.0
3769	9.0	38.0
100873425	0.0	0.0
100128637	2.0	0.0
100128639	0.0	0.0
3780	19.0	11.0
100873453	0.0	0.0
3781	26.0	73.0
100873452	0.0	0.0
3782	436.0	365.0
100873451	0.0	0.0
3783	1886.0	305.0
100873450	0.0	0.0
1121	1360.0	3294.0
100861468	0.0	1.0
1120	204.0	167.0
100861469	0.0	0.0
1118	104.0	355.0
1117	1776.0	299.0
1116	8479.0	2036.0
1114	95.0	0.0
1113	4.0	1.0
1112	4808.0	2191.0
1111	452.0	3181.0
3773	598.0	1.0
100873457	0.0	2.0
100873456	0.0	0.0
3775	383.0	1962.0
100873455	0.0	0.0
3776	886.0	3735.0
100873454	0.0	0.0
3777	192.0	137.0
3778	3503.0	7288.0
3779	2930.0	130.0
100873459	0.0	0.0
1119	2248.0	2761.0
100128627	8.0	0.0
100128626	0.0	0.0
3790	1058.0	1522.0
100128628	6.0	7.0
3791	3596.0	2417.0
100873442	0.0	0.0
3792	126.0	64.0
100873441	1.0	0.0
100873440	0.0	0.0
100128625	0.0	1.0
1132	5.0	5.0
1131	296.0	5.0
1130	2763.0	3827.0
100861476	0.0	0.0
1129	3.0	0.0
1128	345.0	151.0
1124	167.0	445.0
1123	769.0	911.0
1122	1385.0	3936.0
100861470	0.0	0.0
3784	735.0	227.0
100873446	0.0	0.0
3785	0.0	7.0
100873445	0.0	0.0
3786	184.0	175.0
100873444	0.0	0.0
3787	138.0	7.0
100873443	0.0	0.0
3788	8.0	6.0
100873449	8.0	8.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	99.0	183.0
100128618	1.0	0.0
728597	2.0	0.0
100128617	0.0	3.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	57.0	30.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	11.0	2.0
285634	0.0	1.0
1142	0.0	0.0
1141	183.0	428.0
285636	1877.0	5306.0
1140	463.0	383.0
728599	0.0	0.0
1139	22.0	2.0
1138	113.0	525.0
1137	0.0	0.0
100861485	0.0	0.0
1136	17.0	22.0
1135	40.0	0.0
1134	2.0	63.0
1133	32.0	11.0
3795	202.0	350.0
100873479	0.0	0.0
3796	1553.0	2869.0
100873478	0.0	0.0
3797	1387.0	615.0
100873477	1.0	0.0
3798	204.0	46.0
100873476	0.0	0.0
3799	13073.0	17737.0
100873460	0.0	0.0
728586	15.0	11.0
285641	0.0	0.0
100873464	3.0	6.0
100873463	0.0	0.0
100873462	7.0	0.0
285643	1.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	752.0	3837.0
1153	15528.0	14351.0
1152	1226.0	812.0
285647	23.0	33.0
728589	21.0	23.0
728588	0.0	22.0
1149	424.0	15.0
1147	1433.0	3031.0
1146	4.0	1.0
1145	89.0	53.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	271.0	3764.0
1163	902.0	4025.0
285659	0.0	0.0
1161	381.0	751.0
1160	151.0	63.0
1159	67.0	514.0
1158	3.0	11.0
1157	0.0	0.0
1155	1607.0	2145.0
550643	674.0	6320.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1823.0	8178.0
1175	1866.0	5134.0
285668	23.0	0.0
1174	1056.0	2635.0
1173	12563.0	17996.0
550631	180.0	347.0
100873489	0.0	0.0
283014	6.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	40.0	7.0
1186	2817.0	3532.0
1185	1238.0	741.0
1184	360.0	456.0
1183	529.0	130.0
1182	6440.0	8436.0
1181	223.0	543.0
440375	48.0	18.0
1180	50.0	3.0
1179	0.0	0.0
1178	3.0	0.0
283089	5.0	1.0
85495	0.0	0.0
85480	259.0	3.0
283080	1.0	2.0
1198	2620.0	1924.0
1197	0.0	1.0
1196	1764.0	2608.0
1195	5339.0	3877.0
440366	2.0	4.0
1193	1094.0	504.0
1192	10095.0	16534.0
1191	35025.0	116322.0
1188	38.0	3.0
283078	114.0	457.0
85486	6.0	13.0
128615	0.0	0.0
85481	0.0	2.0
128611	113.0	34.0
440396	34.0	57.0
128609	0.0	0.0
128602	0.0	13.0
440387	3.0	1.0
128674	1.0	1.0
128676	0.0	0.0
114026	0.0	0.0
100861402	2.0	5.0
126014	114.0	518.0
440335	551.0	1513.0
100128690	0.0	0.0
114034	795.0	657.0
126006	91.0	120.0
114036	12.0	15.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	31.0	35.0
100861412	0.0	1.0
105180390	3.0	1.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	2.0
100128678	2.0	1.0
100861429	0.0	0.0
128653	3.0	1.0
200728	152.0	216.0
440356	6.0	242.0
440354	59.0	59.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	11.0	4.0
100873410	0.0	0.0
100873417	0.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	35.0	1.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	116.0	81.0
200734	3016.0	4548.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	4.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	0.0
100873402	0.0	0.0
100873401	4.0	3.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3286.0	6499.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	10.0	3.0
165530	208.0	7.0
85409	244.0	252.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	7.0	127.0
106481383	1.0	0.0
85417	92.0	104.0
106481384	0.0	0.0
103106903	3.0	0.0
85414	594.0	348.0
106481389	0.0	0.0
85415	2602.0	1489.0
106481387	0.0	0.0
85413	16.0	1.0
106481388	6.0	0.0
645436	0.0	0.0
106481381	0.0	2.0
106481382	0.0	0.0
10	40.0	1128.0
106481380	0.0	0.0
11	0.0	15.0
403341	738.0	755.0
12	467.0	119.0
13	10.0	3.0
14	4770.0	7477.0
15	3.0	2.0
16	6616.0	13367.0
645455	17.0	22.0
18	2014.0	2692.0
19	2442.0	1512.0
128580	16.0	11.0
85407	213.0	123.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1354.0	2077.0
106481395	0.0	0.0
85403	1464.0	5682.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	3267.0	7884.0
106481390	0.0	0.0
21	2975.0	3719.0
106481391	0.0	0.0
22	1092.0	1985.0
153571	245.0	738.0
153572	1992.0	1196.0
23	3826.0	7088.0
24	306.0	327.0
25	6116.0	4305.0
26	25.0	281.0
27	2371.0	2937.0
28	340.0	24.0
29	5572.0	3393.0
153579	2105.0	149.0
728615	0.0	0.0
728614	0.0	0.0
200765	227.0	319.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	31.0	6.0
102466518	0.0	1.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	2.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	879.0	424.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1935.0	4563.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	207.0	169.0
106481366	0.0	0.0
30	2354.0	3458.0
106481360	0.0	0.0
31	4477.0	15162.0
32	5495.0	1028.0
33	192.0	2.0
34	2583.0	1705.0
35	1109.0	557.0
153562	1369.0	2757.0
36	8394.0	3583.0
37	15922.0	7907.0
38	2554.0	4604.0
440307	10.0	15.0
39	829.0	3123.0
165545	6.0	24.0
106481369	0.0	0.0
728606	233.0	4.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	30.0	4.0
106481370	0.0	0.0
41	316.0	376.0
106481371	0.0	0.0
43	51.0	16.0
645486	2.0	0.0
47	7550.0	27879.0
48	3362.0	2403.0
49	35.0	1.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	7.0	5.0
106481340	0.0	0.0
85458	4101.0	3060.0
106481345	0.0	0.0
85459	907.0	2949.0
