id	49c4c177-b1d5-42e3-acaa-bfa4f6982437	75965f7b-8ec7-481e-ae22-68ba7f7eafed
3667	10500.0	5051.0
100873329	0.0	0.0
285590	6371.0	9067.0
100873328	0.0	0.0
3669	1155.0	961.0
100873327	0.0	0.0
1009	3436.0	12887.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	3.0
728477	6.0	3.0
3680	2869.0	1016.0
3681	23.0	161.0
100128733	5.0	0.0
100873354	0.0	0.0
3682	1014.0	992.0
100873353	0.0	0.0
3683	1424.0	1754.0
100873352	0.0	1.0
128710	1558.0	1746.0
3684	793.0	1831.0
100873351	0.0	0.0
285512	243.0	67.0
1022	1635.0	1170.0
285513	1362.0	1468.0
1021	4819.0	1353.0
1020	482.0	1226.0
440299	1.0	0.0
1019	3544.0	3989.0
128709	1.0	1.0
1018	48.0	34.0
1017	2033.0	1795.0
1016	2.0	9.0
1015	104.0	33.0
1014	0.0	1.0
1013	8.0	11.0
1012	3183.0	2092.0
116730	124.0	34.0
3674	38.0	14.0
100873358	0.0	0.0
3675	9283.0	15924.0
100873357	1.0	1.0
3676	1053.0	866.0
100128731	4406.0	8227.0
100873356	0.0	0.0
3678	3608.0	10315.0
3679	2071.0	862.0
100873359	0.0	0.0
728464	91.0	49.0
728463	34.0	14.0
100128725	0.0	0.0
3690	302.0	195.0
3691	16265.0	42958.0
100873343	0.0	0.0
3692	3954.0	5001.0
3693	12179.0	23564.0
285521	1269.0	962.0
100873342	0.0	0.0
3694	9211.0	18795.0
100873341	0.0	0.0
3695	206.0	219.0
100873340	0.0	0.0
100128723	4.0	1.0
1033	86.0	384.0
1032	219.0	337.0
285525	6.0	0.0
1031	1547.0	538.0
285527	7798.0	4069.0
1030	724.0	1321.0
728468	0.0	0.0
440288	233.0	119.0
1029	84.0	187.0
440295	202.0	95.0
1028	1590.0	567.0
1027	6611.0	2709.0
1026	1709.0	2574.0
1025	2949.0	3133.0
1024	881.0	640.0
3685	12529.0	10372.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	765.0	1760.0
100873345	0.0	0.0
3688	41520.0	27271.0
100873344	0.0	0.0
3689	2594.0	5084.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	1.0	0.0
100873371	4.0	3.0
100873370	0.0	0.0
728498	24.0	5.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	47.0	42.0
100873375	0.0	1.0
100128710	0.0	0.0
285533	115.0	45.0
100873374	0.0	1.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	24.0	25.0
1043	724.0	1346.0
1041	8.0	7.0
1040	3095.0	2465.0
1039	1646.0	2818.0
1038	7.0	20.0
1036	702.0	222.0
3696	6929.0	869.0
3697	6.0	4.0
100873379	0.0	0.0
3698	57.0	15.0
100873378	1.0	4.0
3699	103.0	44.0
100873377	0.0	0.0
728486	5.0	11.0
100873361	0.0	0.0
105373869	1.0	395.0
100873360	0.0	1.0
285540	274.0	160.0
100128705	5.0	2.0
100873365	4.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	4.0
100873362	0.0	0.0
100128701	3.0	1.0
1054	3127.0	2152.0
285547	0.0	0.0
1053	3.0	5.0
285548	0.0	15.0
1052	1360.0	635.0
1051	1959.0	908.0
728489	7.0	2.0
1050	744.0	810.0
100128707	0.0	0.0
1048	11.0	8811.0
1047	461.0	1018.0
1046	0.0	0.0
1045	0.0	0.0
100873369	19.0	17.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	1.0
1066	494.0	252.0
1063	1595.0	4558.0
1062	368.0	720.0
1061	12.0	6.0
1060	3157.0	983.0
440253	217.0	119.0
1059	3945.0	6774.0
1058	50.0	260.0
1057	2.0	2.0
85379	18394.0	7755.0
114112	1184.0	495.0
1056	30.0	18.0
85377	3617.0	1545.0
85378	3738.0	1944.0
128745	0.0	0.0
85376	6.0	31.0
440248	406.0	127.0
1075	3817.0	7881.0
1074	33.0	33.0
1073	2293.0	804.0
1072	19940.0	50536.0
1071	20.0	117.0
440243	0.0	0.0
1070	1365.0	749.0
1069	3271.0	2765.0
1068	0.0	99.0
85369	3036.0	1599.0
85366	2.0	24.0
85364	1691.0	1431.0
85365	2898.0	2347.0
85363	2473.0	1730.0
85360	741.0	1021.0
1080	33.0	202.0
85391	4.0	2.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	3.0	0.0
153733	860.0	552.0
1087	7.0	288.0
1086	0.0	0.0
440279	138.0	15.0
1085	3.0	1.0
1084	1.0	1.0
440278	139.0	42.0
1082	0.0	1.0
403294	0.0	0.0
440275	6168.0	5236.0
1081	1.0	122.0
85397	10.0	11.0
85395	315.0	297.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	13.0	7.0
440270	2721.0	347.0
1089	2.0	4.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	4.0	1.0
285598	1971.0	655.0
126133	1080.0	1382.0
128790	3.0	0.0
126129	156.0	139.0
126123	0.0	2.0
442862	0.0	0.0
126119	251.0	617.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	1.0	0.0
442896	0.0	0.0
114132	14.0	15.0
442897	0.0	0.0
442898	2.0	0.0
114134	712.0	657.0
442899	0.0	0.0
100128790	0.0	0.0
128760	17.0	6.0
100128788	123.0	112.0
100128787	0.0	0.0
440225	0.0	0.0
440224	3.0	708.0
442890	0.0	0.0
442891	1.0	0.0
442892	1.0	1.0
128756	0.0	0.0
100128782	206.0	70.0
100128781	3.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	1.0
403234	0.0	0.0
403235	4.0	0.0
403236	0.0	0.0
63982	104.0	13.0
102466616	0.0	0.0
126052	0.0	0.0
151009	53.0	16.0
403227	0.0	4.0
403228	0.0	0.0
138046	0.0	23.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	7.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1358.0	1865.0
107131122	0.0	1.0
138050	9970.0	9455.0
403219	1.0	0.0
151011	8475.0	1536.0
645587	6.0	1.0
165679	365.0	1059.0
126037	38.0	30.0
114049	3111.0	3624.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	847.0	621.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2848.0	1244.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	308.0	88.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	350.0	24.0
645598	0.0	2.0
163007	0.0	2.0
114038	1.0	0.0
645591	5.0	1.0
106481495	1.0	0.0
114041	645.0	117.0
106481496	0.0	0.0
114042	66.0	32.0
106481493	0.0	0.0
114043	10.0	27.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	601.0	223.0
126017	1055.0	523.0
106481497	2.0	7.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3.0	1.0
85301	3337.0	712.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	1.0	0.0
102466656	0.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2093.0	2854.0
106481459	0.0	0.0
26994	8901.0	4988.0
106481457	15.0	4.0
26995	2346.0	2315.0
106481458	0.0	0.0
403271	0.0	0.0
26998	7.0	0.0
403272	2.0	2.0
102466659	0.0	0.0
26999	1632.0	1677.0
403273	0.0	0.0
102466658	5.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	4.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2277.0	1373.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	1.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	1.0
138009	0.0	0.0
106481468	1.0	1.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	3.0	0.0
106481471	0.0	0.0
85329	383.0	173.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	234.0	13743.0
106481470	0.0	2.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1415.0	1075.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	12.0	2.0
106481437	0.0	0.0
26974	676.0	180.0
153657	104.0	23.0
106481438	2.0	35.0
106481435	0.0	0.0
26973	1811.0	885.0
165631	204.0	213.0
106481436	0.0	0.0
26978	21.0	8.0
126075	746.0	580.0
106481439	0.0	0.0
403250	0.0	0.0
126074	277.0	277.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1506.0	1634.0
106481444	12.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2040.0	1612.0
85354	0.0	0.0
85352	192.0	267.0
403241	0.0	1.0
344462	4.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	785.0	308.0
153643	81.0	26.0
403247	0.0	0.0
403248	0.0	0.0
26985	5569.0	3768.0
106481448	0.0	0.0
26986	128223.0	49613.0
126069	258.0	186.0
106481449	0.0	0.0
126068	1352.0	260.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1104.0	703.0
106481447	0.0	0.0
106481451	2.0	0.0
106481452	2.0	0.0
106481450	0.0	0.0
114088	512.0	108.0
106481455	1.0	0.0
85349	110.0	61.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	3.0	0.0
85347	0.0	0.0
26980	9.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	11.0	43.0
403239	0.0	2.0
85345	0.0	0.0
85343	0.0	0.0
344454	21.0	70.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	7.0	2.0
100873392	3.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	1.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	3.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	4173.0	2820.0
100873390	0.0	0.0
728556	45.0	43.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	143.0	90.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	1.0	0.0
163081	821.0	342.0
106481423	0.0	1.0
106481420	0.0	2.0
106481421	0.0	0.0
100873399	3.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	396.0	171.0
100873384	0.0	1.0
285601	7.0	12.0
106481426	0.0	0.0
106481427	2.0	0.0
222005	0.0	0.0
63910	131.0	350.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1067.0	444.0
222008	2.0	50.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3519.0	2108.0
63904	0.0	0.0
106481430	2.0	1.0
163071	67.0	38.0
63906	837.0	472.0
106481433	0.0	0.0
63908	1219.0	555.0
106481434	0.0	0.0
106481431	1.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	0.0
285613	54.0	52.0
63920	607.0	338.0
63923	1893.0	327.0
63922	390.0	499.0
728577	197.0	19.0
63925	1863.0	1624.0
63924	2257.0	743.0
63916	3313.0	3382.0
63917	4564.0	2381.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	3.0
728564	2.0	4.0
285622	2.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2244.0	989.0
106481402	1.0	0.0
63931	2430.0	2143.0
106481403	0.0	0.0
63934	1556.0	204.0
728567	4.0	4.0
106481408	0.0	0.0
163088	9.0	7.0
63933	3404.0	1897.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3624.0	2563.0
163087	1514.0	481.0
728568	486.0	348.0
106481407	10.0	9.0
3704	1361.0	2943.0
3705	3722.0	7542.0
63926	967.0	631.0
3706	3.0	17.0
63929	1607.0	1717.0
3707	4716.0	3706.0
63928	4.0	5.0
3708	22245.0	3175.0
106481411	1.0	0.0
3709	22489.0	6216.0
106481412	0.0	0.0
106481410	9.0	2.0
3700	34.0	15.0
3702	433.0	378.0
3703	12529.0	7873.0
645506	0.0	0.0
151050	1812.0	537.0
645520	0.0	0.0
63941	1226.0	990.0
63940	949.0	1320.0
63943	473.0	360.0
728517	0.0	0.0
163033	284.0	535.0
258010	3115.0	1650.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	19314.0	11693.0
100033804	0.0	0.0
3717	1755.0	831.0
100033805	0.0	0.0
3718	461.0	923.0
63939	2170.0	1283.0
100033806	0.0	0.0
100190799	3.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	137.0	50.0
3710	4982.0	4528.0
3712	6607.0	4846.0
3713	0.0	5.0
3714	3382.0	1253.0
63950	0.0	0.0
728505	0.0	0.0
63951	278.0	12.0
100033807	0.0	0.0
728501	60.0	31.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	1738.0	2927.0
100033814	0.0	0.0
3727	6051.0	3014.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	22009.0	18029.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	3730.0	2613.0
151056	335.0	106.0
3725	16969.0	3442.0
645528	2.0	7.0
728532	36.0	22.0
163059	480.0	312.0
728538	1.0	0.0
728537	526.0	119.0
63967	72.0	741.0
3737	24.0	12.0
3738	166.0	88.0
3739	8.0	1.0
645538	0.0	0.0
3730	2688.0	2075.0
3732	5583.0	1884.0
3734	0.0	0.0
3735	10027.0	7399.0
3736	239.0	63.0
63970	714.0	42.0
3750	295.0	209.0
63971	9351.0	5430.0
63974	0.0	0.0
163049	4095.0	1547.0
63973	187.0	24.0
63976	167.0	79.0
222068	6538.0	4360.0
63978	1.0	0.0
63977	892.0	692.0
63979	1482.0	576.0
728524	0.0	0.0
3748	793.0	398.0
163051	58.0	9.0
3749	3856.0	645.0
163050	89.0	36.0
3741	16.0	11.0
645548	13.0	14.0
3743	4.0	6.0
3744	0.0	0.0
3745	786.0	197.0
3746	137.0	22.0
3747	206.0	129.0
285671	1097.0	374.0
285672	2799.0	1242.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	16.0	216.0
285676	174.0	46.0
3761	0.0	1.0
100128657	0.0	0.0
285679	11.0	10.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1957.0	326.0
283008	2.0	0.0
3751	206.0	1265.0
100873435	1.0	0.0
3752	1190.0	460.0
100873434	0.0	0.0
3753	84.0	8.0
100873433	0.0	0.0
3754	34.0	149.0
100873432	0.0	0.0
3755	66.0	33.0
100873439	0.0	0.0
3756	12.0	52.0
100873438	0.0	0.0
3757	67.0	90.0
100873437	0.0	0.0
3758	12.0	2.0
100873436	0.0	0.0
100873420	12.0	2.0
3770	159.0	46.0
3772	48.0	177.0
100861458	2.0	0.0
100861453	19.0	5.0
100861455	0.0	0.0
1107	17162.0	11269.0
1106	13582.0	4582.0
1105	6185.0	2834.0
1104	2361.0	1341.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2208.0	1234.0
1101	850.0	52347.0
3762	601.0	462.0
100873424	0.0	0.0
3763	16.0	69.0
100128640	415.0	72.0
100873423	0.0	0.0
3764	906.0	660.0
100873422	0.0	0.0
3765	1.0	3.0
100873421	0.0	2.0
3766	15.0	45.0
100873428	0.0	0.0
3767	442.0	828.0
100873427	0.0	0.0
3768	76.0	70.0
1109	1.0	2.0
100873426	0.0	0.0
1108	24015.0	24066.0
3769	16.0	30.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	33.0	19.0
100873453	0.0	0.0
3781	81.0	108.0
100873452	0.0	0.0
3782	603.0	431.0
100873451	0.0	0.0
3783	4536.0	652.0
100873450	0.0	0.0
1121	2688.0	1046.0
100861468	0.0	0.0
1120	201.0	182.0
100861469	3.0	0.0
1118	2112.0	3048.0
1117	1503.0	202.0
1116	4465.0	1168.0
1114	6.0	11.0
1113	31.0	8.0
1112	8401.0	4530.0
1111	634.0	540.0
3773	515.0	9.0
100873457	5.0	1.0
100873456	0.0	0.0
3775	559.0	3094.0
100873455	0.0	0.0
3776	1523.0	248.0
100873454	0.0	0.0
3777	688.0	211.0
3778	8066.0	1417.0
3779	2976.0	344.0
100873459	0.0	0.0
1119	3499.0	1372.0
100128627	8.0	0.0
100128626	0.0	1.0
3790	1364.0	2223.0
100128628	8.0	7.0
3791	4216.0	3917.0
100873442	0.0	2.0
3792	16.0	51.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	8.0	41.0
1131	576.0	151.0
1130	5333.0	1928.0
100861476	0.0	0.0
1129	1.0	0.0
1128	1169.0	171.0
1124	333.0	355.0
1123	1482.0	644.0
1122	2039.0	2197.0
100861470	0.0	0.0
3784	554.0	539.0
100873446	0.0	0.0
3785	4.0	1.0
100873445	0.0	0.0
3786	474.0	320.0
100873444	0.0	0.0
3787	549.0	12.0
100873443	0.0	0.0
3788	4.0	23.0
100873449	34.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	258.0	31.0
100128618	1.0	0.0
728597	2.0	2.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	185.0	38.0
100873473	0.0	0.0
100873472	2.0	0.0
1143	6.0	5.0
285634	4.0	0.0
1142	0.0	0.0
1141	400.0	175.0
285636	3867.0	1943.0
1140	895.0	324.0
728599	2.0	3.0
1139	32.0	2.0
1138	50.0	85.0
1137	16.0	3736.0
100861485	0.0	0.0
1136	7.0	42.0
1135	8.0	1.0
1134	12.0	97.0
1133	37.0	26.0
3795	418.0	322.0
100873479	8.0	1.0
3796	2656.0	1584.0
100873478	0.0	0.0
3797	1627.0	2744.0
100873477	4.0	4.0
3798	411.0	51.0
100873476	0.0	0.0
3799	18681.0	10482.0
100873460	0.0	1.0
728586	36.0	17.0
285641	3.0	1.0
100873464	6.0	4.0
100873463	0.0	0.0
100873462	0.0	1.0
285643	0.0	3.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	1234.0	1426.0
1153	29261.0	12676.0
1152	716.0	2554.0
285647	51.0	28.0
728589	33.0	6.0
728588	0.0	16.0
1149	365.0	173.0
1147	2143.0	1431.0
1146	5.0	1.0
1145	51.0	27.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	2.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	2.0	0.0
100873469	0.0	1.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	1.0	0.0
100873494	0.0	0.0
1164	523.0	1622.0
1163	1134.0	1435.0
285659	1.0	0.0
1161	754.0	354.0
1160	207.0	95.0
1159	165.0	17.0
1158	0.0	8.0
1157	0.0	0.0
1155	1786.0	2673.0
550643	1469.0	898.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2652.0	2455.0
1175	2055.0	3847.0
285668	40.0	4.0
1174	1766.0	2353.0
1173	15293.0	19833.0
550631	191.0	108.0
100873489	0.0	0.0
283014	9.0	8.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	58.0	34.0
1186	2666.0	3349.0
1185	2241.0	1196.0
1184	616.0	802.0
1183	416.0	227.0
1182	12819.0	6417.0
1181	255.0	356.0
440375	47.0	25.0
1180	65.0	11.0
1179	1.0	0.0
1178	1.0	0.0
283089	11.0	6.0
85495	0.0	0.0
85480	271.0	14.0
283080	0.0	1.0
1198	3631.0	1570.0
1197	0.0	0.0
1196	2532.0	2060.0
1195	9186.0	2532.0
440366	5.0	1.0
1193	1325.0	669.0
1192	11496.0	17594.0
1191	40951.0	15851.0
1188	53.0	3.0
283078	52.0	50.0
85486	7.0	4.0
128615	0.0	0.0
85481	3.0	0.0
128611	168.0	134.0
440396	77.0	81.0
128609	0.0	0.0
128602	0.0	8.0
440387	0.0	0.0
128674	1.0	4.0
128676	2.0	0.0
114026	0.0	0.0
100861402	1.0	2.0
126014	122.0	378.0
440335	610.0	1971.0
100128690	0.0	0.0
114034	801.0	603.0
126006	74.0	26.0
114036	25.0	67.0
100128696	0.0	1.0
100128688	0.0	0.0
126003	45.0	37.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	1.0	0.0
200728	197.0	133.0
440356	12.0	0.0
440354	91.0	35.0
440352	1.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	2.0
100873412	0.0	1.0
100873411	0.0	0.0
100128675	14.0	3.0
100873410	0.0	0.0
100873417	2.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	231.0	206.0
100861435	1.0	1.0
100861436	0.0	0.0
440345	429.0	186.0
200734	5704.0	4571.0
100861431	0.0	1.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	2.0
100873408	0.0	0.0
100873407	1.0	0.0
100861430	16.0	11.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	1.0	0.0
100128665	0.0	0.0
128637	4788.0	4167.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	4.0	7.0
165530	166.0	17.0
85409	126.0	391.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	4.0	0.0
106481383	7.0	3.0
85417	75.0	44.0
106481384	0.0	0.0
103106903	10.0	3.0
85414	396.0	342.0
106481389	0.0	0.0
85415	4836.0	781.0
106481387	0.0	0.0
85413	27.0	8.0
106481388	19.0	6.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	1.0
10	11.0	3.0
106481380	0.0	0.0
11	0.0	1.0
403341	1695.0	808.0
12	383.0	77.0
13	0.0	7.0
14	6259.0	5366.0
15	6.0	1.0
16	7923.0	9433.0
645455	23.0	8.0
18	2203.0	2914.0
19	4733.0	2632.0
128580	29.0	2.0
85407	258.0	194.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2232.0	1712.0
106481395	0.0	0.0
85403	2442.0	2369.0
106481398	0.0	0.0
106481399	1.0	0.0
403339	0.0	0.0
106481392	1.0	1.0
106481393	1.0	0.0
20	4379.0	2504.0
106481390	0.0	0.0
21	4588.0	4121.0
106481391	0.0	0.0
22	2204.0	1075.0
153571	468.0	753.0
153572	5364.0	850.0
23	5390.0	5190.0
24	226.0	204.0
25	7709.0	8296.0
26	12.0	153.0
27	3154.0	3560.0
28	813.0	468.0
29	7154.0	7076.0
153579	2095.0	319.0
728615	2.0	0.0
728614	0.0	0.0
200765	325.0	255.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	33.0	10.0
102466518	0.0	1.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2162.0	1478.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3628.0	1900.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	364.0	122.0
106481366	0.0	0.0
30	2680.0	1653.0
106481360	0.0	0.0
31	9066.0	3862.0
32	7280.0	2580.0
33	105.0	13.0
34	4225.0	1837.0
35	1755.0	408.0
153562	2342.0	2314.0
36	15000.0	4706.0
37	16817.0	6609.0
38	3437.0	2191.0
440307	9.0	14.0
39	1237.0	3159.0
165545	12.0	60.0
106481369	0.0	0.0
728606	149.0	635.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	13.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	2.0	0.0
40	17.0	1.0
106481370	0.0	0.0
41	783.0	238.0
106481371	0.0	0.0
43	42.0	49.0
645486	1.0	0.0
47	9760.0	8801.0
48	3703.0	3879.0
49	33.0	6.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	9.0	17.0
106481340	0.0	0.0
