id	f5aa7410-7a2e-4267-ba3a-2a6a391f6b45	b40a318f-fc61-49e5-ab41-c2e41510a12c
128710	452.0	2467.0
3684	1723.0	1199.0
100873351	0.0	0.0
285512	123.0	46.0
1022	590.0	2094.0
285513	686.0	449.0
1021	1964.0	388.0
1020	351.0	1112.0
440299	1.0	0.0
1019	2124.0	4642.0
128709	0.0	1.0
1018	33.0	15.0
1017	825.0	4233.0
1016	1.0	0.0
1015	14.0	5.0
1014	0.0	0.0
1013	3.0	4.0
1012	2808.0	405.0
116730	38.0	36.0
3674	43.0	175.0
100873358	0.0	0.0
3675	3028.0	10433.0
100873357	0.0	0.0
3676	396.0	602.0
100128731	4807.0	3977.0
100873356	0.0	0.0
3678	8409.0	3706.0
3679	34542.0	223.0
100873359	0.0	0.0
728464	10.0	27.0
728463	10.0	9.0
100128725	0.0	0.0
3690	470.0	58.0
3691	5071.0	408.0
100873343	1.0	0.0
3692	2710.0	3320.0
3693	26976.0	10337.0
285521	975.0	1158.0
100873342	0.0	0.0
3694	73.0	3982.0
100873341	0.0	0.0
3695	92.0	207.0
100873340	0.0	0.0
100128723	2.0	1.0
1033	54.0	1501.0
1032	328.0	1222.0
285525	0.0	2.0
1031	2826.0	1588.0
285527	5549.0	9132.0
1030	9362.0	1220.0
728468	0.0	1.0
440288	132.0	153.0
1029	16.0	176.0
440295	34.0	199.0
1028	3476.0	212.0
1027	3492.0	7946.0
1026	15866.0	2490.0
1025	2836.0	2304.0
1024	765.0	643.0
3685	10670.0	11136.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	1222.0	766.0
100873345	1.0	1.0
3688	80837.0	23070.0
100873344	3.0	0.0
3689	5035.0	2230.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	26.0	10.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	37.0	85.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	31.0	20.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	25.0
1043	1087.0	506.0
1041	2.0	14.0
1040	151.0	6588.0
1039	1434.0	1696.0
1038	57.0	13.0
1036	6070.0	51.0
3696	179.0	3494.0
3697	6.0	0.0
100873379	0.0	0.0
3698	1.0	6.0
100873378	1.0	1.0
3699	41.0	30.0
100873377	0.0	0.0
728486	10.0	7.0
100873361	0.0	3.0
105373869	4.0	464.0
100873360	1.0	0.0
285540	99.0	141.0
100128705	1.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	3.0
100873362	0.0	0.0
100128701	1.0	2.0
1054	3969.0	4492.0
285547	0.0	0.0
1053	6.0	4.0
285548	3.0	15.0
1052	2422.0	847.0
1051	3269.0	1337.0
728489	1.0	4.0
1050	10672.0	206.0
100128707	0.0	0.0
1048	2.0	332.0
1047	42.0	1031.0
1046	0.0	0.0
1045	0.0	0.0
100873369	10.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	7.0	1.0
1066	17397.0	24.0
1063	437.0	30070.0
1062	191.0	4713.0
1061	4.0	2.0
1060	1303.0	1696.0
440253	382.0	69.0
1059	4739.0	6493.0
1058	24.0	1052.0
1057	1.0	1.0
85379	5383.0	7009.0
114112	828.0	553.0
1056	27.0	16.0
85377	1492.0	1341.0
85378	2701.0	3047.0
128745	2.0	2.0
85376	4.0	7.0
440248	704.0	624.0
1075	5922.0	4134.0
1074	9.0	25.0
1073	4927.0	498.0
1072	21706.0	33073.0
1071	258.0	48.0
440243	0.0	0.0
1070	648.0	1153.0
1069	2068.0	3770.0
1068	0.0	0.0
85369	2090.0	1184.0
85366	2.0	54.0
85364	1062.0	1473.0
85365	1228.0	2306.0
85363	1276.0	1566.0
85360	1740.0	416.0
1080	42.0	2.0
85391	1.0	15.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	4.0	0.0
153733	442.0	981.0
1087	0.0	7.0
1086	0.0	1.0
440279	33.0	1.0
1085	24.0	2.0
1084	11.0	1.0
440278	124.0	174.0
1082	0.0	2.0
403294	0.0	0.0
440275	4586.0	4653.0
1081	0.0	0.0
85397	2.0	52.0
85395	210.0	316.0
403285	0.0	0.0
1091	0.0	0.0
1090	4.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	2.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	1.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	0.0
440270	432.0	587.0
1089	18.0	10.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	1.0
285596	29.0	0.0
285598	736.0	286.0
126133	1286.0	1761.0
128790	0.0	0.0
126129	190.0	176.0
126123	0.0	1.0
442862	0.0	0.0
126119	542.0	531.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	0.0	0.0
442896	0.0	0.0
114132	61.0	5.0
442897	0.0	0.0
442898	2.0	0.0
114134	801.0	1495.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	5.0
100128788	31.0	112.0
100128787	1.0	0.0
440225	1.0	0.0
440224	3.0	153.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	1.0
100128782	90.0	29.0
100128781	1.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	4.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	467.0	1.0
102466616	0.0	0.0
126052	2.0	0.0
151009	25.0	2.0
403227	0.0	1.0
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	6.0	5.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	28.0	450.0
107131122	0.0	0.0
138050	9162.0	5593.0
403219	1.0	1.0
151011	6038.0	3135.0
645587	2.0	30.0
165679	21.0	491.0
126037	12.0	106.0
114049	2066.0	3549.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	631.0	599.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1218.0	1691.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	266.0	236.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	9.0	72.0
645598	0.0	1.0
163007	5.0	20.0
114038	1.0	0.0
645591	0.0	1.0
106481495	0.0	0.0
114041	0.0	98.0
106481496	0.0	0.0
114042	3.0	2.0
106481493	0.0	0.0
114043	13.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	142.0	273.0
126017	415.0	318.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	0.0
85301	518.0	1085.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	4.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	447.0	3382.0
106481459	0.0	0.0
26994	9539.0	6040.0
106481457	3.0	8.0
26995	1715.0	2808.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	1.0
102466659	0.0	0.0
26999	400.0	4133.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	3.0
106481460	0.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1536.0	2747.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	8319.0	1.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	1.0
106481476	0.0	0.0
85320	30.0	392.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	349.0	1429.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	4.0
106481437	0.0	0.0
26974	202.0	14.0
153657	9.0	54.0
106481438	4.0	79.0
106481435	0.0	0.0
26973	963.0	1543.0
165631	114.0	87.0
106481436	0.0	0.0
26978	13.0	10.0
126075	394.0	777.0
106481439	0.0	0.0
403250	0.0	0.0
126074	117.0	280.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1093.0	1587.0
106481444	4.0	7.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	9278.0	604.0
85354	0.0	0.0
85352	74.0	136.0
403241	0.0	0.0
344462	0.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	383.0	681.0
153643	10.0	21.0
403247	0.0	0.0
403248	0.0	0.0
26985	4111.0	5124.0
106481448	0.0	0.0
26986	46927.0	142886.0
126069	105.0	154.0
106481449	0.0	0.0
126068	484.0	824.0
106481446	0.0	0.0
26983	0.0	0.0
26984	853.0	940.0
106481447	0.0	0.0
106481451	1.0	4.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	97.0	1350.0
106481455	0.0	0.0
85349	0.0	24.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	1.0	7.0
106481454	0.0	1.0
403238	0.0	0.0
85344	1.0	17.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	16.0
85340	0.0	0.0
100873394	0.0	2.0
100873393	2.0	1.0
100873392	2.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1509.0	3124.0
100873390	1.0	0.0
728556	59.0	65.0
106481419	0.0	1.0
100128817	0.0	0.0
728558	94.0	128.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	281.0	706.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	7.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	6.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	174.0	234.0
100873384	0.0	0.0
285601	25.0	3.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	0.0	8.0
63910	120.0	604.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	518.0	1044.0
222008	244.0	28711.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2561.0	2225.0
63904	0.0	0.0
106481430	1.0	2.0
163071	77.0	4.0
63906	677.0	538.0
106481433	0.0	0.0
63908	697.0	951.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	4.0	1.0
285613	19.0	185.0
63920	377.0	632.0
63923	1185.0	113.0
63922	163.0	1760.0
728577	66.0	1.0
63925	1165.0	2141.0
63924	52943.0	0.0
63916	2812.0	3940.0
63917	3302.0	3057.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	1.0
728564	0.0	6.0
285622	0.0	3.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1461.0	1654.0
106481402	0.0	0.0
63931	1930.0	1785.0
106481403	0.0	0.0
63934	295.0	38.0
728567	0.0	4.0
106481408	0.0	0.0
163088	2.0	4.0
63933	2131.0	3038.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2414.0	3600.0
163087	561.0	770.0
728568	209.0	644.0
106481407	7.0	5.0
3704	1094.0	1878.0
3705	16631.0	7065.0
63926	1195.0	2138.0
3706	7.0	40.0
63929	1262.0	2345.0
3707	5628.0	3148.0
63928	0.0	0.0
3708	3217.0	8946.0
106481411	0.0	1.0
3709	4975.0	13514.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	14.0	29.0
3702	84.0	250.0
3703	6010.0	8824.0
645506	1.0	2.0
151050	1425.0	1027.0
645520	0.0	0.0
63941	1068.0	2067.0
63940	735.0	501.0
63943	181.0	478.0
728517	0.0	0.0
163033	145.0	453.0
258010	492.0	3065.0
63947	0.0	0.0
63946	0.0	2.0
728513	0.0	0.0
100033803	0.0	0.0
3716	24787.0	11251.0
100033804	0.0	0.0
3717	2014.0	1644.0
100033805	0.0	0.0
3718	335.0	471.0
63939	887.0	1733.0
100033806	0.0	0.0
100190799	20.0	7.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	70.0	77.0
3710	2727.0	8588.0
3712	3711.0	4832.0
3713	0.0	1.0
3714	2089.0	806.0
63950	2.0	4.0
728505	0.0	0.0
63951	183.0	5.0
100033807	0.0	0.0
728501	26.0	11.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	21375.0	3163.0
100033814	0.0	0.0
3727	10736.0	5332.0
63948	0.0	0.0
100033815	0.0	0.0
222052	5.0	4.0
3728	6102.0	34553.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1023.0	4293.0
151056	192.0	82.0
3725	46317.0	8872.0
645528	13.0	0.0
728532	21.0	34.0
163059	141.0	448.0
728538	1.0	0.0
728537	111.0	165.0
63967	52.0	1607.0
3737	629.0	3.0
3738	15.0	35.0
3739	200.0	0.0
645538	0.0	0.0
3730	1659.0	2298.0
3732	1661.0	4971.0
3734	33.0	34.0
3735	5995.0	7157.0
3736	66.0	6.0
63970	0.0	4.0
3750	268.0	173.0
63971	8246.0	6953.0
63974	0.0	0.0
163049	1782.0	2629.0
63973	0.0	1.0
63976	395.0	50.0
222068	3622.0	5777.0
63978	0.0	0.0
63977	450.0	982.0
63979	434.0	2825.0
728524	0.0	0.0
3748	42.0	35.0
163051	5.0	36.0
3749	816.0	146.0
163050	41.0	93.0
3741	23.0	4.0
645548	10.0	5.0
3743	0.0	1.0
3744	2.0	1.0
3745	4129.0	43.0
3746	6.0	50.0
3747	13.0	1001.0
285671	951.0	43.0
285672	1643.0	1722.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	38.0	5036.0
285676	48.0	16.0
3761	0.0	0.0
100128657	0.0	0.0
285679	0.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1037.0	113.0
283008	0.0	1.0
3751	922.0	226.0
100873435	0.0	0.0
3752	1489.0	2395.0
100873434	0.0	0.0
3753	24.0	4.0
100873433	0.0	0.0
3754	35.0	1214.0
100873432	0.0	0.0
3755	7.0	2.0
100873439	0.0	0.0
3756	32.0	596.0
100873438	0.0	0.0
3757	4.0	2.0
100873437	0.0	0.0
3758	17.0	5.0
100873436	0.0	0.0
100873420	0.0	2.0
3770	34.0	133.0
3772	111.0	38.0
100861458	0.0	0.0
100861453	15.0	13.0
100861455	0.0	0.0
1107	8087.0	9921.0
1106	4780.0	6737.0
1105	2551.0	5386.0
1104	868.0	4707.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2014.0	390.0
1101	51.0	277.0
3762	545.0	192.0
100873424	0.0	0.0
3763	7.0	38.0
100128640	68.0	108.0
100873423	0.0	0.0
3764	1690.0	726.0
100873422	0.0	0.0
3765	1.0	1.0
100873421	3.0	0.0
3766	11.0	16.0
100873428	0.0	0.0
3767	85.0	2697.0
100873427	0.0	0.0
3768	444.0	13.0
1109	5.0	0.0
100873426	0.0	2.0
1108	10735.0	29165.0
3769	4.0	5.0
100873425	0.0	0.0
100128637	0.0	2.0
100128639	0.0	0.0
3780	5.0	12.0
100873453	0.0	0.0
3781	34.0	11.0
100873452	0.0	0.0
3782	357.0	170.0
100873451	0.0	0.0
3783	140.0	197.0
100873450	0.0	0.0
1121	1656.0	2232.0
100861468	0.0	0.0
1120	201.0	229.0
100861469	0.0	1.0
1118	783.0	110.0
1117	155.0	110.0
1116	3817.0	763.0
1114	6.0	5.0
1113	2.0	0.0
1112	18270.0	3612.0
1111	245.0	2039.0
3773	139.0	2.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	147.0	5122.0
100873455	0.0	0.0
3776	217.0	372.0
100873454	0.0	0.0
3777	150.0	20.0
3778	1181.0	1374.0
3779	89.0	47.0
100873459	0.0	0.0
1119	680.0	2024.0
100128627	1.0	4.0
100128626	0.0	0.0
3790	253.0	1936.0
100128628	3.0	18.0
3791	8185.0	1494.0
100873442	0.0	0.0
3792	16.0	113.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	15.0
1131	62.0	9.0
1130	5495.0	4930.0
100861476	0.0	1.0
1129	2.0	0.0
1128	0.0	3.0
1124	320.0	768.0
1123	689.0	2494.0
1122	504.0	5140.0
100861470	0.0	0.0
3784	494.0	139.0
100873446	0.0	0.0
3785	1.0	0.0
100873445	0.0	0.0
3786	325.0	79.0
100873444	0.0	0.0
3787	0.0	2.0
100873443	0.0	0.0
3788	9.0	2.0
100873449	4.0	7.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	111.0	103.0
100128618	0.0	3.0
728597	0.0	0.0
100128617	2.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	33.0	34.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	12.0	1.0
285634	15.0	2.0
1142	0.0	0.0
1141	4.0	92.0
285636	1998.0	3099.0
1140	672.0	178.0
728599	0.0	6.0
1139	5.0	2.0
1138	16.0	16.0
1137	1.0	0.0
100861485	0.0	0.0
1136	28.0	3.0
1135	1.0	2.0
1134	10.0	226.0
1133	7.0	11.0
3795	260.0	443.0
100873479	1.0	0.0
3796	1369.0	2797.0
100873478	0.0	0.0
3797	942.0	2015.0
100873477	2.0	0.0
3798	6.0	53.0
100873476	0.0	0.0
3799	14921.0	21693.0
100873460	0.0	0.0
728586	17.0	17.0
285641	0.0	0.0
100873464	2.0	7.0
100873463	0.0	0.0
100873462	2.0	3.0
285643	1.0	6.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1528.0	1302.0
1153	9760.0	9927.0
1152	2196.0	610.0
285647	13.0	42.0
728589	23.0	17.0
728588	0.0	6.0
1149	12842.0	0.0
1147	1765.0	3014.0
1146	0.0	0.0
1145	63.0	13.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	143.0	3432.0
1163	976.0	1980.0
285659	0.0	0.0
1161	483.0	576.0
1160	268.0	26.0
1159	4.0	319.0
1158	1.0	4.0
1157	0.0	0.0
1155	1575.0	2885.0
550643	855.0	1344.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3156.0	2342.0
1175	2270.0	2872.0
285668	138.0	3.0
1174	878.0	2497.0
1173	13794.0	11452.0
550631	29.0	224.0
100873489	0.0	0.0
283014	2.0	12.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	115.0	36.0
1186	2723.0	4552.0
1185	2118.0	669.0
1184	614.0	1176.0
1183	1183.0	103.0
1182	5379.0	9330.0
1181	156.0	632.0
440375	43.0	11.0
1180	11.0	53.0
1179	0.0	0.0
1178	2.0	0.0
283089	3.0	3.0
85495	0.0	0.0
85480	273.0	0.0
283080	0.0	0.0
1198	2369.0	2115.0
1197	0.0	1.0
1196	1404.0	2904.0
1195	3920.0	3951.0
440366	1.0	0.0
1193	2120.0	349.0
1192	13558.0	12661.0
1191	89845.0	8180.0
1188	27.0	4.0
283078	100.0	1089.0
85486	5.0	11.0
128615	0.0	0.0
85481	0.0	0.0
128611	36.0	51.0
440396	21.0	174.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	0.0
128674	0.0	0.0
128676	2.0	1.0
114026	0.0	2.0
100861402	3.0	2.0
126014	121.0	175.0
440335	3.0	281.0
100128690	0.0	0.0
114034	437.0	1056.0
126006	4.0	128.0
114036	236.0	20.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	47.0	115.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	1.0
100128678	1.0	1.0
100861429	0.0	0.0
128653	0.0	1.0
200728	229.0	277.0
440356	0.0	6.0
440354	48.0	51.0
440352	2.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	5.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	23.0
100873410	1.0	1.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	119.0	175.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	91.0	76.0
200734	1989.0	5623.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	3.0	2.0
100873402	0.0	0.0
100873401	0.0	4.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4550.0	4348.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	9.0
165530	43.0	2.0
85409	13.0	504.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	4.0
106481383	8.0	0.0
85417	81.0	78.0
106481384	0.0	1.0
103106903	0.0	1.0
85414	176.0	366.0
106481389	0.0	0.0
85415	92.0	1698.0
106481387	0.0	0.0
85413	10.0	14.0
106481388	2.0	5.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	1.0	106.0
106481380	0.0	0.0
11	0.0	0.0
403341	1220.0	1071.0
12	37.0	620.0
13	654.0	0.0
14	5524.0	5587.0
15	4.0	1.0
16	8396.0	11963.0
645455	17.0	33.0
18	445.0	2430.0
19	8794.0	2183.0
128580	1.0	13.0
85407	147.0	84.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1373.0	2548.0
106481395	0.0	0.0
85403	1408.0	3385.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4671.0	4855.0
106481390	0.0	0.0
21	1864.0	5084.0
106481391	0.0	0.0
22	1267.0	1806.0
153571	171.0	466.0
153572	291.0	3648.0
23	3897.0	6433.0
24	40.0	77.0
25	8186.0	7032.0
26	16.0	19.0
27	2479.0	4522.0
28	427.0	12.0
29	5014.0	4338.0
153579	15334.0	102.0
728615	0.0	2.0
728614	0.0	0.0
200765	96.0	416.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	28.0	10.0
102466518	0.0	0.0
102466516	5.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	447.0	1838.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2567.0	3791.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	100.0	174.0
106481366	0.0	0.0
30	3537.0	1380.0
106481360	0.0	0.0
31	6623.0	29394.0
32	45631.0	967.0
33	2011.0	3.0
34	4380.0	2153.0
35	4213.0	912.0
153562	140.0	4687.0
36	2778.0	6713.0
37	24103.0	5755.0
38	8023.0	2459.0
440307	14.0	15.0
39	685.0	2041.0
165545	1.0	7.0
106481369	0.0	0.0
728606	8.0	467.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	1.0
106481377	0.0	0.0
403315	0.0	0.0
40	3.0	310.0
106481370	0.0	0.0
41	252.0	350.0
106481371	0.0	0.0
43	35.0	6.0
645486	0.0	0.0
47	8132.0	9354.0
48	30401.0	2151.0
49	36.0	3.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	0.0	1.0
106481340	0.0	0.0
85458	8316.0	2054.0
106481345	0.0	0.0
85459	679.0	1284.0
