id	f5d3e683-9177-45fc-93e3-357bf7366ac4	94bedc10-62c2-4bd2-bad9-0ec08c9bf5e9
3688	69149.0	25898.0
100873344	1.0	0.0
3689	2816.0	6357.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	4.0
100873370	0.0	0.0
728498	35.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	19.0	26.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	43.0	53.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	4.0	25.0
1043	1041.0	2127.0
1041	2.0	12.0
1040	347.0	4182.0
1039	1437.0	1788.0
1038	250.0	0.0
1036	8609.0	111.0
3696	167.0	286.0
3697	3.0	8.0
100873379	0.0	0.0
3698	23.0	22.0
100873378	3.0	6.0
3699	54.0	47.0
100873377	0.0	0.0
728486	8.0	15.0
100873361	0.0	0.0
105373869	3.0	830.0
100873360	0.0	1.0
285540	168.0	129.0
100128705	0.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	0.0	1.0
1054	4571.0	2931.0
285547	0.0	0.0
1053	2.0	6.0
285548	1.0	23.0
1052	2481.0	956.0
1051	3300.0	2985.0
728489	4.0	3.0
1050	4509.0	721.0
100128707	0.0	0.0
1048	0.0	14908.0
1047	23.0	238.0
1046	1.0	0.0
1045	1.0	1.0
100873369	3.0	5.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	15.0	2.0
1066	21945.0	765.0
1063	157.0	8291.0
1062	203.0	945.0
1061	0.0	1.0
1060	1918.0	1802.0
440253	441.0	82.0
1059	3018.0	11810.0
1058	9.0	679.0
1057	2.0	4.0
85379	4313.0	4582.0
114112	735.0	955.0
1056	11.0	39.0
85377	899.0	2098.0
85378	1584.0	1611.0
128745	1.0	0.0
85376	5.0	17.0
440248	716.0	343.0
1075	11051.0	7594.0
1074	14.0	18.0
1073	6642.0	1095.0
1072	19812.0	75695.0
1071	173.0	69.0
440243	0.0	0.0
1070	769.0	1017.0
1069	2623.0	7075.0
1068	0.0	0.0
85369	1845.0	2390.0
85366	0.0	24.0
85364	1277.0	2460.0
85365	1917.0	2947.0
85363	1464.0	1005.0
85360	1248.0	1082.0
1080	62.0	3.0
85391	33.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	8.0	0.0
153733	447.0	756.0
1087	0.0	80.0
1086	1.0	0.0
440279	16.0	0.0
1085	18.0	21.0
1084	35.0	14.0
440278	81.0	68.0
1082	0.0	0.0
403294	0.0	0.0
440275	5414.0	3529.0
1081	0.0	32.0
85397	2.0	9.0
85395	103.0	533.0
403285	0.0	0.0
1091	1.0	0.0
1090	6.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	620.0	489.0
1089	4.0	13.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	58.0	2.0
285598	1023.0	418.0
126133	561.0	5851.0
128790	0.0	0.0
126129	109.0	206.0
126123	0.0	4.0
442862	0.0	0.0
126119	282.0	2684.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	86.0	24.0
442897	0.0	0.0
442898	1.0	0.0
114134	851.0	427.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	8.0
100128788	15.0	117.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	135.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	0.0	1.0
100128782	91.0	178.0
100128781	3.0	1.0
403230	0.0	0.0
403231	1.0	0.0
403232	0.0	0.0
645560	2.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	564.0	3.0
102466616	0.0	0.0
126052	0.0	0.0
151009	37.0	53.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	5.0
645573	0.0	0.0
645572	0.0	0.0
645571	2.0	5.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	20.0	1970.0
107131122	0.0	2.0
138050	11655.0	9672.0
403219	0.0	0.0
151011	7526.0	2329.0
645587	2.0	7.0
165679	17.0	172.0
126037	6.0	35.0
114049	1925.0	6285.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	720.0	697.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1883.0	1696.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	261.0	234.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	2.0	28.0
645598	0.0	0.0
163007	0.0	3.0
114038	0.0	0.0
645591	1.0	0.0
106481495	0.0	1.0
114041	0.0	5.0
106481496	0.0	0.0
114042	2.0	4.0
106481493	0.0	0.0
114043	68.0	6.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	213.0	246.0
126017	471.0	1043.0
106481497	1.0	1.0
106481498	0.0	1.0
85303	0.0	0.0
85300	0.0	0.0
85301	320.0	828.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	312.0	1196.0
106481459	0.0	0.0
26994	13125.0	5725.0
106481457	4.0	11.0
26995	1304.0	3465.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	1.0
102466659	0.0	0.0
26999	444.0	2226.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	1.0
106481460	1.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1030.0	2665.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	1.0	0.0
104310351	0.0	0.0
403263	1.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	2.0
106481469	0.0	1.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	1.0	0.0
85329	6149.0	36.0
106481472	0.0	0.0
106481477	0.0	2.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	19.0	2815.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	601.0	1203.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	0.0	2.0
106481437	0.0	0.0
26974	253.0	46.0
153657	6.0	25.0
106481438	0.0	2.0
106481435	0.0	0.0
26973	1683.0	1030.0
165631	353.0	257.0
106481436	1.0	1.0
26978	13.0	9.0
126075	304.0	1111.0
106481439	0.0	0.0
403250	0.0	0.0
126074	84.0	390.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	547.0	1642.0
106481444	5.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4110.0	988.0
85354	0.0	0.0
85352	114.0	248.0
403241	0.0	0.0
344462	2.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	460.0	307.0
153643	11.0	6.0
403247	0.0	0.0
403248	0.0	0.0
26985	5844.0	3439.0
106481448	0.0	0.0
26986	57067.0	79256.0
126069	150.0	106.0
106481449	0.0	0.0
126068	858.0	755.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1085.0	2496.0
106481447	0.0	0.0
106481451	2.0	4.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	74.0	87.0
106481455	0.0	2.0
85349	1.0	40.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	4.0
106481454	0.0	1.0
403238	0.0	0.0
85344	0.0	24.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	15.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	1.0	0.0
100873392	1.0	10.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	4.0	3.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	2138.0	3780.0
100873390	0.0	1.0
728556	44.0	74.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	117.0	77.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	393.0	488.0
106481423	1.0	0.0
106481420	1.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	2.0	0.0
100128801	0.0	0.0
285600	165.0	258.0
100873384	0.0	0.0
285601	38.0	48.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	0.0	0.0
63910	104.0	697.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	705.0	556.0
222008	0.0	3.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	2912.0	4341.0
63904	0.0	0.0
106481430	0.0	0.0
163071	43.0	70.0
63906	470.0	940.0
106481433	0.0	0.0
63908	753.0	1587.0
106481434	0.0	0.0
106481431	1.0	1.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	5.0	0.0
285613	10.0	161.0
63920	579.0	684.0
63923	634.0	344.0
63922	78.0	473.0
728577	206.0	12.0
63925	822.0	2473.0
63924	42579.0	77.0
63916	3320.0	7709.0
63917	3424.0	2126.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	9.0
728564	1.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1308.0	1338.0
106481402	2.0	0.0
63931	2317.0	2870.0
106481403	1.0	0.0
63934	305.0	334.0
728567	3.0	4.0
106481408	0.0	1.0
163088	6.0	4.0
63933	3173.0	2951.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2195.0	6735.0
163087	831.0	751.0
728568	299.0	697.0
106481407	16.0	6.0
3704	834.0	4692.0
3705	12590.0	6180.0
63926	1023.0	2493.0
3706	2.0	24.0
63929	1729.0	2377.0
3707	4584.0	1295.0
63928	1.0	0.0
3708	3094.0	7835.0
106481411	0.0	0.0
3709	6651.0	3041.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	18.0	26.0
3702	194.0	453.0
3703	8509.0	7593.0
645506	0.0	0.0
151050	1771.0	800.0
645520	1.0	0.0
63941	649.0	2488.0
63940	680.0	1591.0
63943	149.0	696.0
728517	0.0	0.0
163033	188.0	830.0
258010	524.0	1048.0
63947	0.0	0.0
63946	0.0	37.0
728513	1.0	3.0
100033803	0.0	0.0
3716	29768.0	16513.0
100033804	0.0	0.0
3717	3123.0	1051.0
100033805	0.0	0.0
3718	235.0	1146.0
63939	1149.0	1525.0
100033806	0.0	0.0
100190799	15.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	82.0	78.0
3710	1994.0	4508.0
3712	2881.0	5062.0
3713	0.0	3.0
3714	1041.0	3011.0
63950	2.0	2.0
728505	1.0	0.0
63951	207.0	13.0
100033807	0.0	0.0
728501	24.0	46.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	7784.0	4351.0
100033814	0.0	0.0
3727	9054.0	8080.0
63948	0.0	0.0
100033815	0.0	0.0
222052	5.0	1.0
3728	2744.0	27296.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	983.0	3332.0
151056	211.0	129.0
3725	13905.0	8038.0
645528	11.0	0.0
728532	29.0	29.0
163059	201.0	705.0
728538	0.0	0.0
728537	181.0	307.0
63967	33.0	371.0
3737	245.0	0.0
3738	40.0	46.0
3739	131.0	0.0
645538	0.0	0.0
3730	2455.0	785.0
3732	618.0	1626.0
3734	0.0	0.0
3735	7341.0	10454.0
3736	121.0	7.0
63970	1.0	16.0
3750	201.0	157.0
63971	9204.0	5210.0
63974	0.0	0.0
163049	2391.0	2546.0
63973	0.0	1.0
63976	215.0	48.0
222068	4848.0	5009.0
63978	0.0	0.0
63977	448.0	684.0
63979	492.0	417.0
728524	0.0	0.0
3748	46.0	3571.0
163051	21.0	58.0
3749	779.0	405.0
163050	37.0	53.0
3741	36.0	13.0
645548	4.0	9.0
3743	1.0	4.0
3744	2.0	0.0
3745	3914.0	17.0
3746	0.0	14.0
3747	0.0	0.0
285671	958.0	199.0
285672	2255.0	1840.0
100873431	0.0	0.0
100873430	2.0	0.0
3760	7.0	5381.0
285676	83.0	33.0
3761	0.0	0.0
100128657	0.0	0.0
285679	0.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	809.0	325.0
283008	0.0	0.0
3751	829.0	525.0
100873435	1.0	0.0
3752	1709.0	260.0
100873434	0.0	0.0
3753	13.0	15.0
100873433	0.0	0.0
3754	8.0	85.0
100873432	0.0	0.0
3755	6.0	177.0
100873439	0.0	0.0
3756	10.0	69.0
100873438	0.0	0.0
3757	1.0	19.0
100873437	0.0	0.0
3758	30.0	11.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	37.0	61.0
3772	191.0	218.0
100861458	0.0	0.0
100861453	15.0	12.0
100861455	0.0	0.0
1107	3867.0	10659.0
1106	5048.0	9118.0
1105	3668.0	5272.0
1104	403.0	3535.0
100873429	0.0	0.0
1103	0.0	1.0
1102	2129.0	759.0
1101	24.0	84.0
3762	657.0	474.0
100873424	0.0	0.0
3763	2.0	15.0
100128640	76.0	148.0
100873423	0.0	0.0
3764	2152.0	569.0
100873422	0.0	0.0
3765	3.0	0.0
100873421	2.0	1.0
3766	1.0	119.0
100873428	0.0	0.0
3767	43.0	585.0
100873427	0.0	0.0
3768	312.0	59.0
1109	9.0	4.0
100873426	1.0	8.0
1108	7968.0	23443.0
3769	0.0	4.0
100873425	0.0	2.0
100128637	1.0	1.0
100128639	0.0	1.0
3780	0.0	18.0
100873453	0.0	0.0
3781	42.0	89.0
100873452	0.0	0.0
3782	476.0	319.0
100873451	0.0	0.0
3783	54.0	476.0
100873450	0.0	0.0
1121	2481.0	1560.0
100861468	0.0	0.0
1120	202.0	147.0
100861469	0.0	0.0
1118	6002.0	2670.0
1117	113.0	219.0
1116	2124.0	2655.0
1114	4.0	4.0
1113	7.0	2.0
1112	17158.0	2703.0
1111	200.0	328.0
3773	35.0	1.0
100873457	3.0	1.0
100873456	0.0	1.0
3775	104.0	148.0
100873455	0.0	0.0
3776	149.0	603.0
100873454	0.0	0.0
3777	49.0	35.0
3778	899.0	4824.0
3779	80.0	303.0
100873459	0.0	0.0
1119	882.0	2095.0
100128627	4.0	0.0
100128626	0.0	0.0
3790	393.0	2666.0
100128628	1.0	14.0
3791	8263.0	2365.0
100873442	0.0	0.0
3792	15.0	54.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	16.0
1131	98.0	13.0
1130	6310.0	3104.0
100861476	0.0	1.0
1129	0.0	0.0
1128	1.0	26.0
1124	575.0	245.0
1123	675.0	909.0
1122	733.0	2177.0
100861470	0.0	0.0
3784	371.0	433.0
100873446	0.0	0.0
3785	0.0	0.0
100873445	0.0	0.0
3786	229.0	201.0
100873444	0.0	0.0
3787	8.0	7.0
100873443	0.0	0.0
3788	10.0	6.0
100873449	2.0	5.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	102.0	111.0
100128618	2.0	2.0
728597	5.0	2.0
100128617	1.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	28.0	3.0
100873473	0.0	0.0
100873472	1.0	1.0
1143	3.0	6.0
285634	6.0	0.0
1142	0.0	1.0
1141	3.0	26.0
285636	3212.0	2851.0
1140	488.0	617.0
728599	1.0	2.0
1139	3.0	5.0
1138	26.0	29.0
1137	0.0	1.0
100861485	0.0	0.0
1136	19.0	13.0
1135	0.0	0.0
1134	10.0	203.0
1133	16.0	26.0
3795	125.0	549.0
100873479	9.0	4.0
3796	2082.0	1565.0
100873478	0.0	0.0
3797	538.0	2709.0
100873477	3.0	0.0
3798	15.0	136.0
100873476	0.0	0.0
3799	22972.0	12281.0
100873460	0.0	0.0
728586	20.0	23.0
285641	0.0	1.0
100873464	0.0	3.0
100873463	0.0	0.0
100873462	4.0	1.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1364.0	3411.0
1153	11789.0	22680.0
1152	2181.0	924.0
285647	11.0	44.0
728589	12.0	21.0
728588	0.0	7.0
1149	8943.0	30.0
1147	2332.0	1347.0
1146	1.0	5.0
1145	22.0	22.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	3.0	0.0
100873494	0.0	0.0
1164	88.0	2411.0
1163	1217.0	801.0
285659	0.0	0.0
1161	770.0	376.0
1160	758.0	66.0
1159	0.0	107.0
1158	4.0	4.0
1157	0.0	0.0
1155	1288.0	5284.0
550643	1048.0	1047.0
283025	1.0	0.0
100873499	0.0	0.0
100873498	1.0	1.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	4997.0	3342.0
1175	2230.0	6250.0
285668	62.0	1.0
1174	609.0	2749.0
1173	13136.0	23614.0
550631	27.0	244.0
100873489	0.0	0.0
283014	5.0	15.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	144.0	8.0
1186	1865.0	4341.0
1185	2357.0	907.0
1184	1017.0	757.0
1183	1351.0	120.0
1182	7391.0	6608.0
1181	105.0	542.0
440375	13.0	71.0
1180	5.0	20.0
1179	0.0	0.0
1178	10.0	2.0
283089	8.0	3.0
85495	0.0	0.0
85480	283.0	14.0
283080	0.0	1.0
1198	2043.0	2456.0
1197	2.0	0.0
1196	1449.0	3302.0
1195	10896.0	4699.0
440366	0.0	3.0
1193	3970.0	1010.0
1192	12744.0	33706.0
1191	60306.0	4486.0
1188	22.0	4.0
283078	229.0	42.0
85486	1.0	10.0
128615	0.0	0.0
85481	2.0	0.0
128611	80.0	142.0
440396	26.0	93.0
128609	0.0	0.0
128602	0.0	5.0
440387	0.0	0.0
128674	1.0	0.0
128676	2.0	2.0
114026	0.0	0.0
100861402	0.0	4.0
126014	78.0	601.0
440335	0.0	2570.0
100128690	0.0	0.0
114034	422.0	626.0
126006	0.0	281.0
114036	140.0	47.0
100128696	0.0	0.0
100128688	1.0	0.0
126003	15.0	74.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	7.0	2.0
100128678	1.0	2.0
100861429	0.0	0.0
128653	0.0	2.0
200728	227.0	147.0
440356	1.0	8.0
440354	69.0	86.0
440352	2.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	7.0	7.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	1.0	10.0
100873410	0.0	0.0
100873417	5.0	0.0
100873416	0.0	1.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	73.0	219.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	163.0	144.0
200734	3286.0	4949.0
100861431	0.0	1.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	4.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	22.0	23.0
100873402	0.0	0.0
100873401	1.0	2.0
100873400	0.0	1.0
100128665	0.0	0.0
128637	5003.0	5993.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	7.0	0.0
165530	38.0	4.0
85409	1.0	598.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	2.0	1.0
106481383	8.0	6.0
85417	68.0	100.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	78.0	336.0
106481389	0.0	0.0
85415	53.0	3402.0
106481387	0.0	0.0
85413	20.0	7.0
106481388	1.0	9.0
645436	0.0	0.0
106481381	1.0	0.0
106481382	0.0	2.0
10	4.0	7.0
106481380	0.0	0.0
11	0.0	1.0
403341	1879.0	941.0
12	1.0	253.0
13	1128.0	1.0
14	3072.0	7894.0
15	1.0	4.0
16	6729.0	12303.0
645455	13.0	14.0
18	558.0	769.0
19	13352.0	4331.0
128580	5.0	5.0
85407	160.0	367.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	1026.0	1528.0
106481395	0.0	1.0
85403	1917.0	4270.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	2412.0	3746.0
106481390	0.0	0.0
21	2278.0	3622.0
106481391	0.0	0.0
22	1746.0	1260.0
153571	114.0	68.0
153572	155.0	216.0
23	3514.0	6225.0
24	38.0	64.0
25	7639.0	5888.0
26	7.0	64.0
27	3956.0	4302.0
28	746.0	87.0
29	4078.0	6233.0
153579	11964.0	95.0
728615	0.0	0.0
728614	0.0	0.0
200765	101.0	271.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	64.0	21.0
102466518	1.0	0.0
102466516	5.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	1.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1012.0	1382.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2723.0	3341.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	120.0	277.0
106481366	0.0	0.0
30	1887.0	4036.0
106481360	0.0	0.0
31	6454.0	4388.0
32	60119.0	799.0
33	2209.0	8.0
34	5703.0	2656.0
35	2220.0	1040.0
153562	59.0	2037.0
36	3831.0	7382.0
37	13509.0	13649.0
38	10949.0	2096.0
440307	4.0	74.0
39	578.0	1703.0
165545	0.0	118.0
106481369	0.0	0.0
728606	0.0	2.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	5.0	3.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	7.0	6.0
106481370	0.0	0.0
41	183.0	230.0
106481371	0.0	0.0
43	8.0	30.0
645486	0.0	0.0
47	7484.0	15823.0
48	29796.0	3223.0
49	21.0	5.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	3.0	0.0
106481341	0.0	0.0
106481342	5.0	5.0
106481340	0.0	0.0
85458	9679.0	1473.0
106481345	0.0	0.0
85459	828.0	754.0
