id	6a508e94-c094-4c0f-85c3-5ea50b54a399	cc55afdc-78e2-48c5-b1ac-386033852bca
728486	7.0	1.0
100873361	0.0	0.0
105373869	9.0	198.0
100873360	0.0	1.0
285540	162.0	169.0
100128705	6.0	4.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	1.0
100873362	1.0	0.0
100128701	1.0	2.0
1054	2927.0	1843.0
285547	1.0	0.0
1053	0.0	2.0
285548	1.0	5.0
1052	2814.0	3047.0
1051	2341.0	1821.0
728489	11.0	7.0
1050	1000.0	340.0
100128707	0.0	0.0
1048	32.0	75.0
1047	359.0	870.0
1046	0.0	0.0
1045	0.0	0.0
100873369	16.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	1641.0	361.0
1063	811.0	3694.0
1062	197.0	501.0
1061	8.0	1.0
1060	2798.0	1633.0
440253	176.0	79.0
1059	4465.0	4704.0
1058	46.0	122.0
1057	4.0	1.0
85379	14719.0	8149.0
114112	928.0	693.0
1056	31.0	26.0
85377	3391.0	2411.0
85378	3449.0	2021.0
128745	0.0	0.0
85376	6.0	2.0
440248	1011.0	342.0
1075	3524.0	3161.0
1074	21.0	17.0
1073	2074.0	972.0
1072	25723.0	34206.0
1071	16.0	42.0
440243	1.0	0.0
1070	1136.0	888.0
1069	3244.0	3817.0
1068	0.0	0.0
85369	2399.0	2351.0
85366	1.0	10.0
85364	1409.0	1158.0
85365	2750.0	2387.0
85363	2127.0	1361.0
85360	777.0	926.0
1080	217.0	24.0
85391	2.0	7.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	2.0
153733	697.0	694.0
1087	45.0	11.0
1086	0.0	0.0
440279	30.0	9.0
1085	5.0	0.0
1084	1.0	5.0
440278	129.0	128.0
1082	0.0	0.0
403294	0.0	0.0
440275	5796.0	4522.0
1081	4.0	8.0
85397	5.0	5.0
85395	353.0	264.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	0.0
440270	1217.0	445.0
1089	2.0	26.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	31.0	5.0
285598	1073.0	522.0
126133	1276.0	1702.0
128790	0.0	0.0
126129	210.0	217.0
126123	0.0	0.0
442862	0.0	0.0
126119	319.0	548.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	2.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	15.0	3.0
442897	0.0	0.0
442898	0.0	0.0
114134	894.0	516.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	4.0
100128788	99.0	149.0
100128787	1.0	0.0
440225	0.0	0.0
440224	6.0	7.0
442890	0.0	0.0
442891	0.0	0.0
442892	5.0	1.0
128756	1.0	0.0
100128782	254.0	160.0
100128781	0.0	2.0
403230	0.0	0.0
403231	1.0	0.0
403232	0.0	0.0
645560	4.0	3.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	88.0	12.0
102466616	0.0	0.0
126052	0.0	0.0
151009	73.0	27.0
403227	5.0	6.0
403228	3.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	7.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	964.0	1910.0
107131122	1.0	1.0
138050	8616.0	11700.0
403219	0.0	0.0
151011	6443.0	3819.0
645587	3.0	3.0
165679	680.0	1050.0
126037	35.0	76.0
114049	3403.0	4463.0
106481479	0.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	12.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	460.0	631.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	1.0	0.0
85313	2448.0	1773.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	264.0	180.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	239.0	770.0
645598	0.0	0.0
163007	12.0	1.0
114038	3.0	1.0
645591	4.0	0.0
106481495	2.0	1.0
114041	120.0	64.0
106481496	0.0	0.0
114042	2.0	0.0
106481493	0.0	0.0
114043	12.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	303.0	266.0
126017	670.0	667.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3.0	4.0
85301	2099.0	1781.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	4.0	2.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2071.0	2712.0
106481459	0.0	0.0
26994	8708.0	7827.0
106481457	8.0	5.0
26995	2267.0	2363.0
106481458	0.0	0.0
403271	0.0	0.0
26998	10.0	1.0
403272	1.0	2.0
102466659	0.0	0.0
26999	835.0	2914.0
403273	0.0	0.0
102466658	2.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	6.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1957.0	1751.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	1.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	2.0	0.0
106481471	0.0	0.0
85329	553.0	85.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	12451.0	836.0
106481470	4.0	0.0
403252	0.0	0.0
403253	1.0	0.0
403254	0.0	0.0
126070	1037.0	907.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	2.0
106481437	0.0	0.0
26974	316.0	186.0
153657	76.0	83.0
106481438	1.0	1.0
106481435	0.0	0.0
26973	1644.0	1137.0
165631	59.0	99.0
106481436	0.0	1.0
26978	9.0	9.0
126075	793.0	829.0
106481439	0.0	0.0
403250	0.0	0.0
126074	288.0	278.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1301.0	1231.0
106481444	11.0	7.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2225.0	1689.0
85354	0.0	0.0
85352	59.0	305.0
403241	1.0	0.0
344462	1.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	483.0	349.0
153643	32.0	136.0
403247	0.0	0.0
403248	0.0	0.0
26985	4563.0	5645.0
106481448	0.0	0.0
26986	67142.0	114215.0
126069	201.0	139.0
106481449	0.0	0.0
126068	884.0	525.0
106481446	0.0	0.0
26983	0.0	0.0
26984	979.0	788.0
106481447	0.0	0.0
106481451	1.0	2.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	333.0	144.0
106481455	0.0	2.0
85349	162.0	34.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	1.0	4.0
85347	0.0	0.0
26980	1.0	8.0
106481454	0.0	0.0
403238	0.0	0.0
85344	4.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	15.0	13.0
85340	0.0	0.0
100873394	2.0	1.0
100873393	3.0	1.0
100873392	8.0	8.0
100873391	0.0	0.0
100873398	2.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	1.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	2744.0	3026.0
100873390	0.0	0.0
728556	69.0	73.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	116.0	98.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	701.0	494.0
106481423	0.0	0.0
106481420	1.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	3.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	389.0	275.0
100873384	0.0	0.0
285601	3.0	2.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	1.0	0.0
63910	155.0	282.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	946.0	709.0
222008	45.0	15.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3159.0	2851.0
63904	0.0	0.0
106481430	1.0	0.0
163071	29.0	17.0
63906	745.0	706.0
106481433	0.0	0.0
63908	829.0	724.0
106481434	0.0	0.0
106481431	2.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	3.0
285613	47.0	48.0
63920	374.0	315.0
63923	371.0	2057.0
63922	433.0	590.0
728577	236.0	25.0
63925	1889.0	1553.0
63924	3026.0	473.0
63916	3104.0	2675.0
63917	3645.0	3596.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	3.0
728564	0.0	3.0
285622	0.0	13.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1826.0	1321.0
106481402	0.0	0.0
63931	2004.0	2247.0
106481403	0.0	0.0
63934	1050.0	276.0
728567	5.0	3.0
106481408	0.0	0.0
163088	11.0	1.0
63933	2199.0	2194.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3528.0	3256.0
163087	1008.0	770.0
728568	414.0	333.0
106481407	9.0	4.0
3704	1474.0	1676.0
3705	3960.0	4517.0
63926	924.0	1412.0
3706	3.0	10.0
63929	1457.0	1353.0
3707	4611.0	3727.0
63928	4.0	0.0
3708	13855.0	4896.0
106481411	1.0	0.0
3709	8323.0	5473.0
106481412	0.0	0.0
106481410	2.0	0.0
3700	40.0	7.0
3702	108.0	383.0
3703	11522.0	12672.0
645506	0.0	0.0
151050	1344.0	700.0
645520	0.0	0.0
63941	980.0	1341.0
63940	479.0	935.0
63943	330.0	424.0
728517	0.0	0.0
163033	301.0	420.0
258010	2538.0	2136.0
63947	0.0	0.0
63946	19.0	2.0
728513	3.0	0.0
100033803	0.0	0.0
3716	15446.0	16743.0
100033804	0.0	0.0
3717	1648.0	1486.0
100033805	0.0	0.0
3718	404.0	900.0
63939	911.0	1108.0
100033806	0.0	0.0
100190799	5.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	74.0	52.0
3710	5234.0	5161.0
3712	8510.0	6526.0
3713	0.0	2.0
3714	3919.0	1602.0
63950	3.0	2.0
728505	0.0	0.0
63951	149.0	11.0
100033807	0.0	0.0
728501	39.0	24.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	7751.0	6172.0
100033814	0.0	0.0
3727	12462.0	5504.0
63948	1.0	0.0
100033815	0.0	0.0
222052	0.0	2.0
3728	26026.0	25224.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2359.0	2527.0
151056	290.0	154.0
3725	28778.0	11504.0
645528	2.0	0.0
728532	28.0	35.0
163059	529.0	339.0
728538	1.0	0.0
728537	353.0	253.0
63967	84.0	162.0
3737	36.0	3.0
3738	46.0	57.0
3739	8.0	1.0
645538	0.0	0.0
3730	1685.0	865.0
3732	5225.0	1408.0
3734	0.0	0.0
3735	7448.0	5145.0
3736	450.0	34.0
63970	678.0	92.0
3750	263.0	224.0
63971	6454.0	3936.0
63974	1.0	1.0
163049	3177.0	2049.0
63973	158.0	8.0
63976	153.0	45.0
222068	6074.0	7859.0
63978	1.0	0.0
63977	824.0	736.0
63979	970.0	819.0
728524	0.0	0.0
3748	1142.0	1084.0
163051	48.0	46.0
3749	2360.0	581.0
163050	88.0	63.0
3741	26.0	29.0
645548	6.0	27.0
3743	2.0	1.0
3744	0.0	0.0
3745	921.0	110.0
3746	37.0	17.0
3747	94.0	4.0
285671	830.0	575.0
285672	1670.0	1536.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	52.0	56.0
285676	122.0	41.0
3761	1.0	0.0
100128657	0.0	0.0
285679	4.0	6.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	915.0	269.0
283008	0.0	1.0
3751	218.0	318.0
100873435	0.0	0.0
3752	2324.0	1587.0
100873434	0.0	0.0
3753	25.0	4.0
100873433	0.0	0.0
3754	40.0	302.0
100873432	0.0	0.0
3755	46.0	12.0
100873439	0.0	0.0
3756	19.0	450.0
100873438	0.0	0.0
3757	92.0	23.0
100873437	0.0	0.0
3758	4.0	1.0
100873436	0.0	0.0
100873420	3.0	1.0
3770	164.0	75.0
3772	46.0	138.0
100861458	0.0	0.0
100861453	34.0	11.0
100861455	0.0	0.0
1107	12875.0	11511.0
1106	9149.0	5764.0
1105	5697.0	3162.0
1104	1940.0	2660.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1682.0	742.0
1101	1570.0	1746.0
3762	343.0	226.0
100873424	0.0	0.0
3763	15.0	4.0
100128640	232.0	172.0
100873423	0.0	0.0
3764	533.0	472.0
100873422	0.0	0.0
3765	8.0	1.0
100873421	1.0	0.0
3766	17.0	30.0
100873428	0.0	0.0
3767	614.0	891.0
100873427	0.0	0.0
3768	106.0	31.0
1109	3.0	0.0
100873426	1.0	1.0
1108	18642.0	21605.0
3769	15.0	1.0
100873425	0.0	3.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	31.0	10.0
100873453	0.0	0.0
3781	56.0	49.0
100873452	0.0	0.0
3782	485.0	269.0
100873451	0.0	0.0
3783	2020.0	957.0
100873450	0.0	0.0
1121	2387.0	1353.0
100861468	1.0	0.0
1120	227.0	144.0
100861469	0.0	0.0
1118	57.0	56.0
1117	1272.0	4738.0
1116	15356.0	2256.0
1114	101.0	215.0
1113	14.0	0.0
1112	5170.0	2802.0
1111	396.0	521.0
3773	625.0	12.0
100873457	2.0	2.0
100873456	0.0	0.0
3775	654.0	2299.0
100873455	0.0	0.0
3776	2217.0	4855.0
100873454	0.0	0.0
3777	218.0	106.0
3778	4385.0	691.0
3779	2482.0	662.0
100873459	0.0	0.0
1119	2332.0	1077.0
100128627	7.0	0.0
100128626	0.0	0.0
3790	1472.0	3995.0
100128628	14.0	4.0
3791	3374.0	2772.0
100873442	0.0	0.0
3792	71.0	78.0
100873441	0.0	0.0
100873440	1.0	0.0
100128625	0.0	0.0
1132	11.0	13.0
1131	162.0	72.0
1130	4512.0	2997.0
100861476	3.0	0.0
1129	0.0	0.0
1128	319.0	36.0
1124	257.0	717.0
1123	887.0	603.0
1122	1851.0	2104.0
100861470	0.0	0.0
3784	604.0	338.0
100873446	0.0	0.0
3785	18.0	2.0
100873445	0.0	0.0
3786	171.0	482.0
100873444	0.0	0.0
3787	165.0	5.0
100873443	0.0	0.0
3788	8.0	22.0
100873449	8.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	138.0	80.0
100128618	2.0	0.0
728597	2.0	0.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	83.0	187.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	8.0	7.0
285634	3.0	2.0
1142	0.0	0.0
1141	398.0	87.0
285636	3150.0	2723.0
1140	543.0	568.0
728599	5.0	5.0
1139	25.0	13.0
1138	73.0	55.0
1137	2.0	0.0
100861485	0.0	0.0
1136	12.0	9.0
1135	283.0	0.0
1134	6.0	28.0
1133	32.0	14.0
3795	286.0	224.0
100873479	5.0	2.0
3796	1684.0	1425.0
100873478	0.0	0.0
3797	1342.0	1638.0
100873477	2.0	1.0
3798	446.0	58.0
100873476	0.0	0.0
3799	15612.0	14266.0
100873460	0.0	0.0
728586	26.0	19.0
285641	0.0	0.0
100873464	0.0	4.0
100873463	0.0	0.0
100873462	6.0	1.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2100.0	7826.0
1153	21287.0	17476.0
1152	1346.0	1987.0
285647	28.0	23.0
728589	61.0	16.0
728588	384.0	3.0
1149	512.0	163.0
1147	1978.0	1880.0
1146	0.0	0.0
1145	55.0	35.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	1.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	430.0	948.0
1163	848.0	1520.0
285659	0.0	0.0
1161	541.0	386.0
1160	167.0	67.0
1159	202.0	128.0
1158	8.0	4.0
1157	1.0	0.0
1155	1758.0	2915.0
550643	1299.0	1294.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2427.0	2540.0
1175	2115.0	2623.0
285668	17.0	10.0
1174	1383.0	2814.0
1173	13966.0	15324.0
550631	219.0	252.0
100873489	0.0	0.0
283014	12.0	5.0
100873488	2.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	72.0	68.0
1186	3175.0	3975.0
1185	1780.0	1045.0
1184	387.0	432.0
1183	344.0	174.0
1182	8097.0	6683.0
1181	332.0	496.0
440375	40.0	22.0
1180	62.0	49.0
1179	178.0	0.0
1178	0.0	0.0
283089	8.0	0.0
85495	0.0	0.0
85480	287.0	51.0
283080	0.0	0.0
1198	3186.0	2312.0
1197	3.0	2.0
1196	2144.0	2827.0
1195	9012.0	4271.0
440366	4.0	1.0
1193	1031.0	811.0
1192	12094.0	14216.0
1191	72259.0	33103.0
1188	36.0	8.0
283078	76.0	48.0
85486	1.0	2.0
128615	0.0	1.0
85481	0.0	1.0
128611	61.0	163.0
440396	69.0	68.0
128609	0.0	0.0
128602	0.0	30.0
440387	0.0	0.0
128674	0.0	1.0
128676	1.0	0.0
114026	2.0	0.0
100861402	1.0	1.0
126014	64.0	122.0
440335	763.0	2728.0
100128690	0.0	0.0
114034	875.0	684.0
126006	89.0	135.0
114036	12.0	22.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	53.0	67.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	3.0
105180391	0.0	0.0
100128682	0.0	2.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	7.0
200728	194.0	183.0
440356	11.0	20.0
440354	88.0	85.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	3.0	0.0
100873413	0.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	9.0	5.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	10.0	1.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	73.0	62.0
200734	6293.0	5991.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	3.0
100873408	1.0	0.0
100873407	0.0	0.0
100861430	2.0	1.0
100873402	0.0	0.0
100873401	8.0	7.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4029.0	4206.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	0.0	2.0
165530	139.0	58.0
85409	179.0	495.0
106481385	2.0	0.0
106481386	0.0	0.0
85416	3.0	0.0
106481383	0.0	3.0
85417	53.0	90.0
106481384	0.0	0.0
103106903	2.0	1.0
85414	322.0	384.0
106481389	0.0	0.0
85415	3380.0	3788.0
106481387	0.0	0.0
85413	47.0	19.0
106481388	7.0	4.0
645436	0.0	0.0
106481381	0.0	1.0
106481382	0.0	0.0
10	68.0	17.0
106481380	0.0	0.0
11	0.0	3.0
403341	1046.0	913.0
12	985.0	766.0
13	55.0	6.0
14	5826.0	5347.0
15	5.0	1.0
16	6882.0	4434.0
645455	15.0	10.0
18	3019.0	9062.0
19	3363.0	2607.0
128580	14.0	12.0
85407	169.0	260.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1770.0	1840.0
106481395	2.0	0.0
85403	2058.0	1943.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	1.0	0.0
20	4637.0	4187.0
106481390	0.0	0.0
21	4589.0	4194.0
106481391	0.0	0.0
22	1597.0	1354.0
153571	583.0	1844.0
153572	4686.0	6557.0
23	4585.0	4192.0
24	308.0	227.0
25	7570.0	6886.0
26	18.0	100.0
27	2741.0	3502.0
28	427.0	645.0
29	7121.0	6713.0
153579	1548.0	206.0
728615	1.0	0.0
728614	0.0	0.0
200765	295.0	189.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	61.0	11.0
102466518	1.0	0.0
102466516	4.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	992.0	827.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2550.0	2749.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	219.0	196.0
106481366	0.0	0.0
30	3312.0	3259.0
106481360	0.0	0.0
31	11999.0	4969.0
32	5365.0	2085.0
33	294.0	21.0
34	5538.0	3636.0
35	1580.0	1110.0
153562	2129.0	1936.0
36	13467.0	12708.0
37	14183.0	14144.0
38	3028.0	5301.0
440307	4.0	5.0
39	1285.0	895.0
165545	8.0	22.0
106481369	0.0	0.0
728606	269.0	365.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	5.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	8.0	2.0
106481370	0.0	0.0
41	346.0	58.0
106481371	0.0	0.0
43	91.0	57.0
645486	1.0	0.0
47	11391.0	9312.0
48	3756.0	3025.0
49	12.0	24.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	10.0	5.0
106481340	0.0	0.0
85458	5498.0	3777.0
106481345	0.0	0.0
