id	f4bb4f4b-2e42-4098-9edf-042f1fffea0f	0404b823-fd3c-47dd-9861-0f9f01a02d2e
403284	0.0	0.0
1092	3.0	4.0
440270	2227.0	1110.0
1089	8.0	21.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	1.0
285596	3.0	9.0
285598	828.0	1457.0
126133	897.0	1546.0
128790	1.0	2.0
126129	85.0	186.0
126123	0.0	0.0
442862	0.0	0.0
126119	312.0	610.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	1.0	1.0
442896	0.0	0.0
114132	21.0	17.0
442897	0.0	0.0
442898	8.0	0.0
114134	604.0	1095.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	7.0
100128788	60.0	155.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	6.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	1.0
128756	0.0	0.0
100128782	202.0	242.0
100128781	0.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	7.0
403234	0.0	0.0
403235	0.0	3.0
403236	0.0	0.0
63982	57.0	41.0
102466616	0.0	0.0
126052	1.0	1.0
151009	74.0	92.0
403227	0.0	1.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	2.0
645572	0.0	0.0
645571	6.0	13.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	856.0	754.0
107131122	0.0	1.0
138050	4882.0	11155.0
403219	1.0	1.0
151011	4873.0	7121.0
645587	0.0	2.0
165679	197.0	1086.0
126037	28.0	69.0
114049	2619.0	3741.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	532.0	1403.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	1.0	0.0
106481489	0.0	0.0
85313	1718.0	2847.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	155.0	292.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	218.0	156.0
645598	0.0	0.0
163007	3.0	23.0
114038	0.0	1.0
645591	0.0	0.0
106481495	2.0	2.0
114041	149.0	93.0
106481496	0.0	0.0
114042	1.0	2.0
106481493	0.0	0.0
114043	26.0	12.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	284.0	334.0
126017	594.0	1351.0
106481497	1.0	4.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	3.0
85301	1350.0	1537.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1355.0	3511.0
106481459	0.0	0.0
26994	7089.0	10134.0
106481457	5.0	9.0
26995	2006.0	3796.0
106481458	0.0	0.0
403271	0.0	0.0
26998	3.0	8.0
403272	0.0	2.0
102466659	0.0	0.0
26999	859.0	4317.0
403273	0.0	0.0
102466658	4.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	5.0	4.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1616.0	2282.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	1.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	2.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	2.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	528.0	100.0
106481472	0.0	0.0
106481477	0.0	3.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	6493.0	8645.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	993.0	1776.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	1.0
344471	1.0	1.0
106481437	0.0	0.0
26974	242.0	217.0
153657	82.0	115.0
106481438	7.0	7.0
106481435	0.0	0.0
26973	1537.0	2955.0
165631	122.0	691.0
106481436	0.0	3.0
26978	6.0	14.0
126075	739.0	882.0
106481439	0.0	0.0
403250	0.0	0.0
126074	237.0	282.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	932.0	1689.0
106481444	7.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1718.0	2084.0
85354	0.0	0.0
85352	117.0	1251.0
403241	0.0	0.0
344462	2.0	3.0
403244	0.0	0.0
403245	0.0	0.0
153642	465.0	551.0
153643	18.0	22.0
403247	0.0	0.0
403248	0.0	0.0
26985	3047.0	5763.0
106481448	0.0	0.0
26986	58312.0	120752.0
126069	172.0	225.0
106481449	0.0	0.0
126068	981.0	1396.0
106481446	0.0	0.0
26983	0.0	3.0
26984	772.0	1087.0
106481447	0.0	0.0
106481451	6.0	8.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	413.0	504.0
106481455	0.0	1.0
85349	165.0	102.0
106481456	1.0	1.0
26982	0.0	0.0
106481453	1.0	1.0
85347	0.0	0.0
26980	6.0	18.0
106481454	1.0	0.0
403238	0.0	0.0
85344	5.0	5.0
403239	1.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	17.0	16.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	2.0
100873392	3.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	1.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2249.0	4073.0
100873390	0.0	0.0
728556	48.0	61.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	113.0	196.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	468.0	623.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	4.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	1.0
100128801	0.0	0.0
285600	225.0	548.0
100873384	0.0	0.0
285601	6.0	18.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	1.0
63910	237.0	248.0
106481424	1.0	1.0
106481425	0.0	0.0
285605	808.0	1878.0
222008	3.0	2165.0
106481428	0.0	0.0
106481429	1.0	0.0
63905	2281.0	3109.0
63904	0.0	0.0
106481430	0.0	1.0
163071	26.0	48.0
63906	544.0	841.0
106481433	0.0	0.0
63908	701.0	997.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	1.0
285613	36.0	74.0
63920	366.0	593.0
63923	1264.0	4026.0
63922	324.0	592.0
728577	153.0	124.0
63925	1628.0	1935.0
63924	3046.0	182.0
63916	2299.0	5130.0
63917	2769.0	3874.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	2.0
728564	1.0	7.0
285622	1.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1551.0	2096.0
106481402	0.0	0.0
63931	1496.0	2500.0
106481403	0.0	0.0
63934	740.0	548.0
728567	2.0	1.0
106481408	0.0	0.0
163088	5.0	5.0
63933	1699.0	2645.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2706.0	3515.0
163087	1094.0	1268.0
728568	331.0	463.0
106481407	5.0	13.0
3704	1225.0	2144.0
3705	2759.0	5386.0
63926	770.0	1511.0
3706	3.0	13.0
63929	1331.0	2971.0
3707	2839.0	3918.0
63928	3.0	1.0
3708	9189.0	8962.0
106481411	1.0	1.0
3709	6371.0	12593.0
106481412	0.0	0.0
106481410	0.0	1.0
3700	31.0	16.0
3702	269.0	1512.0
3703	6937.0	12951.0
645506	0.0	2.0
151050	1145.0	1474.0
645520	0.0	0.0
63941	809.0	1138.0
63940	832.0	2486.0
63943	294.0	493.0
728517	0.0	0.0
163033	289.0	299.0
258010	2159.0	3948.0
63947	0.0	0.0
63946	6.0	6.0
728513	3.0	2.0
100033803	0.0	0.0
3716	11787.0	32216.0
100033804	0.0	0.0
3717	1252.0	3509.0
100033805	0.0	0.0
3718	518.0	1937.0
63939	1083.0	1513.0
100033806	0.0	0.0
100190799	4.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	67.0	103.0
3710	2830.0	4615.0
3712	5870.0	9952.0
3713	0.0	2.0
3714	2318.0	2088.0
63950	1.0	3.0
728505	0.0	1.0
63951	95.0	87.0
100033807	0.0	0.0
728501	22.0	32.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	12971.0	16904.0
100033814	0.0	0.0
3727	12091.0	8702.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	1.0
3728	17066.0	23533.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1484.0	3367.0
151056	306.0	348.0
3725	27188.0	25120.0
645528	1.0	6.0
728532	24.0	53.0
163059	391.0	501.0
728538	0.0	2.0
728537	299.0	219.0
63967	17.0	308.0
3737	25.0	51.0
3738	99.0	270.0
3739	12.0	3.0
645538	0.0	0.0
3730	935.0	2068.0
3732	3343.0	5258.0
3734	0.0	0.0
3735	5864.0	7895.0
3736	70.0	69.0
63970	177.0	80.0
3750	191.0	405.0
63971	5985.0	9581.0
63974	0.0	0.0
163049	2492.0	3478.0
63973	85.0	27.0
63976	128.0	158.0
222068	4660.0	6561.0
63978	2.0	0.0
63977	642.0	965.0
63979	679.0	1170.0
728524	0.0	0.0
3748	856.0	998.0
163051	34.0	56.0
3749	1995.0	1777.0
163050	45.0	87.0
3741	12.0	31.0
645548	3.0	6.0
3743	2.0	3.0
3744	0.0	2.0
3745	820.0	457.0
3746	69.0	60.0
3747	4.0	18.0
285671	760.0	783.0
285672	1709.0	2073.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	15.0	289.0
285676	94.0	112.0
3761	0.0	2.0
100128657	0.0	0.0
285679	2.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	502.0	906.0
283008	5.0	8.0
3751	220.0	835.0
100873435	0.0	0.0
3752	1233.0	1690.0
100873434	0.0	0.0
3753	89.0	67.0
100873433	0.0	0.0
3754	12.0	200.0
100873432	0.0	0.0
3755	93.0	78.0
100873439	0.0	0.0
3756	10.0	699.0
100873438	0.0	0.0
3757	47.0	141.0
100873437	0.0	0.0
3758	6.0	2.0
100873436	0.0	0.0
100873420	3.0	7.0
3770	145.0	120.0
3772	87.0	203.0
100861458	0.0	0.0
100861453	15.0	13.0
100861455	0.0	1.0
1107	10865.0	19353.0
1106	6013.0	10018.0
1105	2835.0	6296.0
1104	1292.0	3225.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1327.0	1733.0
1101	391.0	941.0
3762	235.0	544.0
100873424	0.0	0.0
3763	1.0	101.0
100128640	123.0	128.0
100873423	0.0	0.0
3764	577.0	623.0
100873422	0.0	1.0
3765	4.0	0.0
100873421	1.0	1.0
3766	14.0	62.0
100873428	0.0	0.0
3767	289.0	1155.0
100873427	0.0	0.0
3768	153.0	167.0
1109	0.0	2.0
100873426	0.0	3.0
1108	11726.0	26554.0
3769	13.0	24.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	28.0	29.0
100873453	0.0	0.0
3781	47.0	49.0
100873452	0.0	0.0
3782	396.0	778.0
100873451	0.0	0.0
3783	1703.0	1681.0
100873450	0.0	0.0
1121	1675.0	2866.0
100861468	0.0	0.0
1120	195.0	141.0
100861469	0.0	0.0
1118	319.0	673.0
1117	1515.0	3614.0
1116	11777.0	11895.0
1114	4.0	56.0
1113	14.0	42.0
1112	4807.0	6640.0
1111	210.0	570.0
3773	1256.0	468.0
100873457	1.0	6.0
100873456	0.0	1.0
3775	1023.0	1713.0
100873455	0.0	0.0
3776	871.0	1064.0
100873454	0.0	0.0
3777	94.0	94.0
3778	3721.0	3059.0
3779	2975.0	1174.0
100873459	0.0	1.0
1119	1775.0	1544.0
100128627	3.0	7.0
100128626	0.0	0.0
3790	1643.0	2414.0
100128628	11.0	5.0
3791	2325.0	3576.0
100873442	0.0	0.0
3792	56.0	30.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	12.0	22.0
1131	162.0	119.0
1130	2849.0	5953.0
100861476	0.0	2.0
1129	1.0	14.0
1128	448.0	108.0
1124	225.0	462.0
1123	467.0	1066.0
1122	1109.0	2330.0
100861470	0.0	0.0
3784	587.0	861.0
100873446	0.0	1.0
3785	5.0	5.0
100873445	0.0	0.0
3786	192.0	497.0
100873444	0.0	0.0
3787	135.0	104.0
100873443	0.0	0.0
3788	5.0	69.0
100873449	7.0	8.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	118.0	91.0
100128618	1.0	3.0
728597	3.0	0.0
100128617	0.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	75.0	81.0
100873473	0.0	0.0
100873472	1.0	0.0
1143	8.0	8.0
285634	3.0	5.0
1142	0.0	3.0
1141	171.0	131.0
285636	2257.0	4106.0
1140	549.0	636.0
728599	10.0	5.0
1139	23.0	33.0
1138	62.0	59.0
1137	0.0	5.0
100861485	0.0	0.0
1136	16.0	49.0
1135	236.0	17.0
1134	5.0	41.0
1133	42.0	28.0
3795	178.0	208.0
100873479	9.0	3.0
3796	1364.0	2721.0
100873478	1.0	0.0
3797	991.0	1617.0
100873477	4.0	3.0
3798	231.0	180.0
100873476	0.0	0.0
3799	12934.0	23233.0
100873460	0.0	0.0
728586	16.0	33.0
285641	1.0	0.0
100873464	2.0	2.0
100873463	1.0	0.0
100873462	0.0	5.0
285643	0.0	2.0
100128603	0.0	0.0
100873461	1.0	2.0
1154	1263.0	3428.0
1153	15739.0	15648.0
1152	824.0	374.0
285647	18.0	37.0
728589	32.0	34.0
728588	44.0	13.0
1149	503.0	51.0
1147	1493.0	2984.0
1146	2.0	7.0
1145	46.0	67.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	306.0	1319.0
1163	757.0	958.0
285659	0.0	0.0
1161	412.0	500.0
1160	208.0	148.0
1159	103.0	94.0
1158	3.0	7.0
1157	0.0	0.0
1155	1420.0	2796.0
550643	917.0	2036.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1798.0	3986.0
1175	1614.0	4019.0
285668	12.0	6.0
1174	1249.0	2628.0
1173	10625.0	20435.0
550631	164.0	368.0
100873489	0.0	0.0
283014	7.0	3.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	48.0	7.0
1186	2464.0	6297.0
1185	1534.0	1776.0
1184	321.0	713.0
1183	355.0	610.0
1182	6627.0	11558.0
1181	230.0	359.0
440375	24.0	50.0
1180	32.0	23.0
1179	1.0	1.0
1178	2.0	3.0
283089	10.0	7.0
85495	0.0	0.0
85480	304.0	174.0
283080	1.0	0.0
1198	2448.0	3156.0
1197	0.0	2.0
1196	1859.0	2178.0
1195	8025.0	8725.0
440366	1.0	4.0
1193	986.0	2177.0
1192	9072.0	15960.0
1191	55370.0	48435.0
1188	23.0	15.0
283078	69.0	3305.0
85486	8.0	17.0
128615	0.0	0.0
85481	0.0	2.0
128611	150.0	627.0
440396	44.0	79.0
128609	0.0	0.0
128602	3.0	0.0
440387	1.0	0.0
128674	2.0	4.0
128676	0.0	0.0
114026	0.0	1.0
100861402	2.0	2.0
126014	84.0	216.0
440335	507.0	2496.0
100128690	0.0	0.0
114034	703.0	862.0
126006	82.0	72.0
114036	11.0	16.0
100128696	0.0	1.0
100128688	0.0	0.0
126003	58.0	69.0
100861412	0.0	1.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	8.0
200728	144.0	195.0
440356	0.0	0.0
440354	100.0	190.0
440352	1.0	3.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	0.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	6.0	7.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	16.0	10.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	124.0	148.0
200734	3492.0	5488.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	4.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	17.0	38.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3216.0	5158.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	8.0
165530	71.0	133.0
85409	218.0	798.0
106481385	0.0	0.0
106481386	2.0	1.0
85416	3.0	0.0
106481383	2.0	11.0
85417	33.0	51.0
106481384	0.0	0.0
103106903	1.0	2.0
85414	419.0	918.0
106481389	0.0	0.0
85415	2184.0	3739.0
106481387	0.0	0.0
85413	8.0	4.0
106481388	7.0	3.0
645436	0.0	0.0
106481381	1.0	1.0
106481382	1.0	0.0
10	17.0	28.0
106481380	0.0	0.0
11	0.0	0.0
403341	1000.0	1522.0
12	202.0	696.0
13	18.0	3.0
14	4510.0	7291.0
15	4.0	3.0
16	5479.0	8037.0
645455	1.0	12.0
18	1692.0	9657.0
19	2416.0	4883.0
128580	1.0	13.0
85407	115.0	416.0
106481396	0.0	0.0
106481397	0.0	2.0
106481394	0.0	0.0
85406	1179.0	2237.0
106481395	1.0	0.0
85403	1387.0	3049.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	2.0	1.0
106481393	0.0	0.0
20	3019.0	5335.0
106481390	0.0	1.0
21	2184.0	19105.0
106481391	0.0	0.0
22	1173.0	1936.0
153571	409.0	611.0
153572	3624.0	3629.0
23	3301.0	6620.0
24	234.0	236.0
25	5178.0	9100.0
26	12.0	139.0
27	1690.0	3875.0
28	320.0	356.0
29	4285.0	7302.0
153579	1962.0	374.0
728615	0.0	0.0
728614	0.0	0.0
200765	242.0	261.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	7.0	17.0
102466518	2.0	0.0
102466516	1.0	2.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	805.0	1299.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1918.0	3348.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	237.0	359.0
106481366	0.0	0.0
30	2292.0	4247.0
106481360	0.0	0.0
31	6417.0	9238.0
32	6069.0	2625.0
33	250.0	44.0
34	3535.0	5413.0
35	1235.0	1925.0
153562	1495.0	1736.0
36	3986.0	7705.0
37	13759.0	14014.0
38	2670.0	3888.0
440307	5.0	18.0
39	900.0	1098.0
165545	8.0	7.0
106481369	0.0	0.0
728606	34.0	24.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	2.0	0.0
40	9.0	42.0
106481370	0.0	0.0
41	327.0	170.0
106481371	0.0	0.0
43	72.0	141.0
645486	0.0	0.0
47	7268.0	14328.0
48	1454.0	2596.0
49	16.0	18.0
106481338	0.0	0.0
106481339	0.0	2.0
106481336	0.0	0.0
106481337	2.0	1.0
106481341	0.0	0.0
106481342	6.0	5.0
106481340	1.0	1.0
