id	d8f60cfe-3faa-406f-8ed6-2bb201dc36f4	96833a09-14ce-4483-b17d-f4328e0b68f5
3751	654.0	190.0
100873435	0.0	2.0
3752	2410.0	60.0
100873434	0.0	0.0
3753	41.0	17.0
100873433	2.0	4.0
3754	14.0	8.0
100873432	0.0	0.0
3755	53.0	2036.0
100873439	0.0	0.0
3756	15.0	61.0
100873438	0.0	0.0
3757	13.0	5.0
100873437	0.0	0.0
3758	7.0	14.0
100873436	0.0	0.0
100873420	8.0	0.0
3770	31.0	111.0
3772	203.0	153.0
100861458	0.0	2.0
100861453	9.0	14.0
100861455	0.0	6.0
1107	6379.0	5462.0
1106	4345.0	5816.0
1105	2190.0	4689.0
1104	606.0	2907.0
100873429	0.0	0.0
1103	0.0	2.0
1102	1765.0	289.0
1101	303.0	54.0
3762	969.0	333.0
100873424	0.0	0.0
3763	13.0	35.0
100128640	58.0	226.0
100873423	0.0	0.0
3764	1731.0	266.0
100873422	0.0	1.0
3765	3.0	14.0
100873421	0.0	3.0
3766	1.0	32.0
100873428	0.0	0.0
3767	123.0	93.0
100873427	0.0	0.0
3768	243.0	35.0
1109	7.0	47.0
100873426	0.0	7.0
1108	8956.0	20753.0
3769	4.0	123.0
100873425	1.0	0.0
100128637	0.0	2.0
100128639	0.0	0.0
3780	6.0	15.0
100873453	0.0	2.0
3781	23.0	35.0
100873452	0.0	0.0
3782	492.0	137.0
100873451	0.0	0.0
3783	407.0	2913.0
100873450	0.0	0.0
1121	1562.0	844.0
100861468	0.0	0.0
1120	140.0	106.0
100861469	0.0	1.0
1118	46.0	57.0
1117	1187.0	1763.0
1116	4517.0	8678.0
1114	10.0	0.0
1113	6.0	8.0
1112	8832.0	3367.0
1111	200.0	1241.0
3773	194.0	4.0
100873457	0.0	7.0
100873456	0.0	5.0
3775	197.0	1128.0
100873455	0.0	0.0
3776	212.0	1578.0
100873454	0.0	0.0
3777	753.0	35.0
3778	1693.0	247.0
3779	976.0	48.0
100873459	0.0	1.0
1119	720.0	917.0
100128627	4.0	2.0
100128626	0.0	0.0
3790	379.0	161.0
100128628	3.0	44.0
3791	5139.0	1193.0
100873442	0.0	2.0
3792	23.0	73.0
100873441	0.0	6.0
100873440	0.0	0.0
100128625	0.0	1.0
1132	19.0	2.0
1131	85.0	7191.0
1130	3426.0	1456.0
100861476	0.0	1.0
1129	2.0	0.0
1128	39.0	180.0
1124	320.0	46.0
1123	671.0	241.0
1122	557.0	5839.0
100861470	0.0	0.0
3784	684.0	116.0
100873446	0.0	0.0
3785	7.0	2.0
100873445	0.0	0.0
3786	211.0	263.0
100873444	0.0	0.0
3787	30.0	250.0
100873443	0.0	0.0
3788	77.0	23.0
100873449	4.0	33.0
100873448	0.0	0.0
100873447	0.0	1.0
100873471	0.0	0.0
100873470	0.0	2.0
283050	70.0	136.0
100128618	0.0	10.0
728597	1.0	1.0
100128617	0.0	0.0
100873475	0.0	1.0
100873474	0.0	0.0
728591	27.0	415.0
100873473	0.0	0.0
100873472	0.0	2.0
1143	7.0	1.0
285634	2.0	6.0
1142	0.0	1.0
1141	42.0	43.0
285636	1774.0	3197.0
1140	459.0	608.0
728599	2.0	32.0
1139	14.0	6.0
1138	17.0	199.0
1137	1.0	2.0
100861485	0.0	0.0
1136	10.0	19.0
1135	14.0	0.0
1134	2.0	15.0
1133	11.0	43.0
3795	115.0	600.0
100873479	1.0	3.0
3796	1386.0	1946.0
100873478	0.0	0.0
3797	737.0	2835.0
100873477	1.0	10.0
3798	53.0	183.0
100873476	0.0	0.0
3799	18788.0	45636.0
100873460	0.0	0.0
728586	20.0	34.0
285641	0.0	5.0
100873464	2.0	14.0
100873463	0.0	20.0
100873462	1.0	3.0
285643	2.0	4.0
100128603	0.0	1.0
100873461	0.0	0.0
1154	725.0	182.0
1153	8502.0	2713.0
1152	1951.0	1756.0
285647	13.0	36.0
728589	16.0	37.0
728588	0.0	0.0
1149	2293.0	31.0
1147	1494.0	1356.0
1146	2.0	54.0
1145	34.0	83.0
1144	0.0	11.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	4.0
100873465	0.0	0.0
283033	0.0	1.0
100873469	0.0	1.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	6.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	8.0
100873494	0.0	0.0
1164	136.0	1132.0
1163	739.0	1698.0
285659	0.0	0.0
1161	429.0	436.0
1160	1795.0	250.0
1159	47.0	92.0
1158	2.0	27.0
1157	0.0	0.0
1155	1524.0	11487.0
550643	844.0	157.0
283025	0.0	2.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	1.0
100873485	0.0	8.0
100873484	0.0	1.0
100873483	0.0	1.0
1176	2887.0	1878.0
1175	2655.0	1648.0
285668	103.0	4.0
1174	895.0	2341.0
1173	14242.0	8449.0
550631	81.0	91.0
100873489	0.0	0.0
283014	3.0	7.0
100873488	0.0	1.0
100873487	0.0	2.0
283093	0.0	0.0
283092	0.0	0.0
1187	62.0	16.0
1186	2506.0	2631.0
1185	1742.0	544.0
1184	540.0	881.0
1183	851.0	761.0
1182	5705.0	9631.0
1181	153.0	295.0
440375	43.0	79.0
1180	10.0	6.0
1179	0.0	2.0
1178	3.0	6.0
283089	5.0	6.0
85495	0.0	0.0
85480	136.0	10.0
283080	0.0	4.0
1198	1580.0	1532.0
1197	0.0	1.0
1196	1099.0	1938.0
1195	3948.0	2230.0
440366	1.0	0.0
1193	1824.0	149.0
1192	10107.0	12885.0
1191	103747.0	480.0
1188	23.0	14.0
283078	250.0	30.0
85486	7.0	7.0
128615	0.0	0.0
85481	2.0	0.0
128611	69.0	45.0
440396	31.0	59.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	4.0
128674	0.0	1.0
128676	1.0	0.0
114026	0.0	1.0
100861402	1.0	2.0
126014	137.0	142.0
440335	183.0	395.0
100128690	0.0	0.0
114034	400.0	434.0
126006	9.0	13.0
114036	57.0	159.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	20.0	47.0
100861412	0.0	3.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	4.0	0.0
105180391	0.0	0.0
100128682	1.0	5.0
100128678	1.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	185.0	699.0
440356	0.0	39.0
440354	36.0	79.0
440352	0.0	8.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	1.0
128646	5.0	2.0
100873412	0.0	6.0
100873411	0.0	1.0
100128675	1.0	55.0
100873410	0.0	0.0
100873417	2.0	0.0
100873416	0.0	5.0
100873415	0.0	3.0
100873414	0.0	4.0
440348	52.0	89.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	63.0	94.0
200734	3138.0	314.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	0.0
100873408	0.0	3.0
100873407	0.0	4.0
100861430	8.0	1.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3371.0	2362.0
100873406	0.0	2.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	8.0
165530	92.0	43.0
85409	38.0	38.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	3.0	56.0
106481383	2.0	17.0
85417	72.0	42.0
106481384	0.0	1.0
103106903	1.0	13.0
85414	269.0	547.0
106481389	1.0	1.0
85415	516.0	2534.0
106481387	0.0	0.0
85413	10.0	12.0
106481388	3.0	22.0
645436	0.0	0.0
106481381	0.0	2.0
106481382	0.0	0.0
10	13.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1046.0	966.0
12	154.0	57.0
13	113.0	4.0
14	3361.0	2722.0
15	0.0	34.0
16	7498.0	14820.0
645455	22.0	69.0
18	1118.0	202.0
19	9490.0	7918.0
128580	5.0	2.0
85407	176.0	36.0
106481396	0.0	0.0
106481397	2.0	0.0
106481394	0.0	0.0
85406	1006.0	1169.0
106481395	0.0	24.0
85403	1419.0	1133.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	4721.0	1949.0
106481390	0.0	4.0
21	2216.0	4958.0
106481391	0.0	0.0
22	1074.0	960.0
153571	214.0	295.0
153572	917.0	847.0
23	3085.0	3841.0
24	324.0	66.0
25	6994.0	3303.0
26	46.0	31.0
27	2338.0	5956.0
28	462.0	204.0
29	4217.0	962.0
153579	7142.0	36.0
728615	0.0	0.0
728614	0.0	0.0
200765	91.0	261.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	36.0	5.0
102466518	0.0	16.0
102466516	13.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	768.0	788.0
106481362	0.0	0.0
106481367	0.0	2.0
85437	1950.0	1453.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	74.0	113.0
106481366	0.0	0.0
30	2353.0	1044.0
106481360	0.0	1.0
31	11622.0	9881.0
32	23821.0	260.0
33	981.0	6.0
34	3607.0	1734.0
35	2639.0	632.0
153562	536.0	1225.0
36	3367.0	338.0
37	13570.0	11579.0
38	6177.0	1816.0
440307	4.0	14.0
39	733.0	1977.0
165545	1.0	10.0
106481369	0.0	0.0
728606	18.0	10.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	1.0
106481373	0.0	2.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	2.0	1.0
106481377	0.0	0.0
403315	0.0	0.0
40	4.0	5.0
106481370	0.0	0.0
41	187.0	183.0
106481371	0.0	1.0
43	17.0	26.0
645486	0.0	0.0
47	13158.0	9527.0
48	18761.0	2947.0
49	20.0	3.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	2.0	6.0
106481340	0.0	4.0
85458	5187.0	2779.0
106481345	0.0	1.0
85459	581.0	6608.0
106481346	0.0	1.0
85456	8383.0	6497.0
442910	0.0	6.0
106481343	0.0	0.0
