id	2eeb46a1-0422-4a77-b58d-3b7d57d51b44	95e7a64b-f228-4d19-8e57-a02adde8d01d
3699	123.0	55.0
100873377	0.0	0.0
728486	3.0	12.0
100873361	0.0	0.0
105373869	2.0	97.0
100873360	0.0	1.0
285540	142.0	135.0
100128705	3.0	5.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	2.0	1.0
100873362	0.0	0.0
100128701	2.0	0.0
1054	2207.0	2009.0
285547	1.0	1.0
1053	1.0	8.0
285548	4.0	2.0
1052	6590.0	4152.0
1051	2441.0	1935.0
728489	6.0	16.0
1050	1328.0	1047.0
100128707	1.0	0.0
1048	38.0	90.0
1047	416.0	1927.0
1046	1.0	0.0
1045	1.0	2.0
100873369	15.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	4.0	0.0
1066	1386.0	161.0
1063	608.0	2240.0
1062	184.0	486.0
1061	1.0	3.0
1060	3213.0	1845.0
440253	195.0	117.0
1059	4426.0	4940.0
1058	30.0	176.0
1057	0.0	0.0
85379	12813.0	5919.0
114112	921.0	428.0
1056	38.0	6.0
85377	2930.0	2067.0
85378	4051.0	2871.0
128745	0.0	0.0
85376	22.0	31.0
440248	597.0	204.0
1075	2271.0	17092.0
1074	20.0	11.0
1073	1896.0	760.0
1072	16037.0	44840.0
1071	73.0	266.0
440243	0.0	0.0
1070	954.0	758.0
1069	2181.0	3479.0
1068	0.0	0.0
85369	2154.0	2474.0
85366	1.0	5.0
85364	1361.0	1638.0
85365	2206.0	2661.0
85363	1819.0	1751.0
85360	777.0	665.0
1080	234.0	82.0
85391	5.0	2.0
403296	1.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	1.0	0.0
1088	6.0	2.0
153733	666.0	485.0
1087	30.0	40.0
1086	0.0	0.0
440279	36.0	22.0
1085	7.0	3.0
1084	4.0	24.0
440278	160.0	178.0
1082	0.0	0.0
403294	3.0	0.0
440275	4428.0	4093.0
1081	1.0	2.0
85397	1.0	12.0
85395	445.0	454.0
403285	0.0	0.0
1091	2.0	0.0
1090	3.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	2990.0	989.0
1089	11.0	94.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	28.0	24.0
285598	1081.0	466.0
126133	1556.0	2854.0
128790	0.0	0.0
126129	175.0	227.0
126123	2.0	1.0
442862	0.0	0.0
126119	457.0	798.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	0.0	0.0
442895	1.0	0.0
114131	4.0	0.0
442896	0.0	0.0
114132	11.0	29.0
442897	0.0	0.0
442898	2.0	3.0
114134	740.0	750.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	4.0
100128788	117.0	101.0
100128787	0.0	1.0
440225	0.0	0.0
440224	18.0	48.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	212.0	146.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	1.0
403232	1.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	79.0	11.0
102466616	0.0	0.0
126052	0.0	0.0
151009	64.0	24.0
403227	41.0	20.0
403228	0.0	0.0
138046	10.0	3.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	10.0	16.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1048.0	428.0
107131122	1.0	0.0
138050	6567.0	4771.0
403219	1.0	0.0
151011	5981.0	3462.0
645587	5.0	1.0
165679	490.0	663.0
126037	28.0	66.0
114049	2459.0	3846.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	7.0	0.0
106481484	0.0	0.0
106481485	2.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	515.0	1759.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2082.0	1762.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	214.0	172.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	1.0	0.0
138065	198.0	27.0
645598	0.0	1.0
163007	2.0	3.0
114038	5.0	1.0
645591	2.0	0.0
106481495	4.0	0.0
114041	211.0	7.0
106481496	0.0	0.0
114042	5.0	1.0
106481493	0.0	0.0
114043	26.0	9.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	290.0	167.0
126017	706.0	804.0
106481497	3.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	6.0	1.0
85301	2744.0	1191.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	1.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1611.0	3163.0
106481459	0.0	0.0
26994	6732.0	5311.0
106481457	12.0	3.0
26995	2337.0	2606.0
106481458	0.0	0.0
403271	0.0	0.0
26998	7.0	0.0
403272	0.0	1.0
102466659	0.0	0.0
26999	937.0	7192.0
403273	0.0	0.0
102466658	3.0	0.0
106481462	1.0	1.0
106481463	0.0	0.0
104310353	1.0	0.0
106481460	3.0	2.0
106481461	3.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2785.0	2107.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	1.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	2.0	1.0
106481471	0.0	0.0
85329	776.0	169.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	2949.0	2238.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	840.0	663.0
403255	0.0	0.0
403256	2.0	0.0
403257	0.0	0.0
344471	1.0	1.0
106481437	0.0	0.0
26974	387.0	244.0
153657	127.0	50.0
106481438	35.0	19.0
106481435	0.0	0.0
26973	1392.0	1186.0
165631	84.0	1000.0
106481436	0.0	0.0
26978	11.0	9.0
126075	743.0	935.0
106481439	0.0	0.0
403250	0.0	0.0
126074	226.0	274.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1414.0	2173.0
106481444	13.0	3.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	1.0	1.0
85358	2724.0	1160.0
85354	0.0	0.0
85352	69.0	131.0
403241	6.0	19.0
344462	1.0	5.0
403244	0.0	0.0
403245	0.0	0.0
153642	473.0	342.0
153643	64.0	14.0
403247	0.0	0.0
403248	0.0	0.0
26985	3237.0	3774.0
106481448	0.0	0.0
26986	75999.0	79964.0
126069	177.0	100.0
106481449	0.0	0.0
126068	929.0	622.0
106481446	0.0	0.0
26983	0.0	0.0
26984	852.0	747.0
106481447	0.0	0.0
106481451	5.0	1.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	552.0	362.0
106481455	1.0	0.0
85349	130.0	27.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	4.0	3.0
106481454	1.0	0.0
403238	0.0	0.0
85344	3.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	12.0	25.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	0.0
100873392	0.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	2.0	0.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	3388.0	3983.0
100873390	1.0	0.0
728556	30.0	44.0
106481419	0.0	0.0
100128817	1.0	0.0
728558	157.0	91.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	683.0	467.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	1.0	0.0
285600	340.0	224.0
100873384	0.0	0.0
285601	11.0	31.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	2.0	0.0
63910	142.0	529.0
106481424	1.0	0.0
106481425	1.0	0.0
285605	855.0	804.0
222008	16.0	1820.0
106481428	0.0	0.0
106481429	1.0	0.0
63905	2410.0	2286.0
63904	2.0	0.0
106481430	1.0	0.0
163071	71.0	21.0
63906	845.0	1008.0
106481433	0.0	0.0
63908	1085.0	817.0
106481434	1.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	6.0	0.0
285613	80.0	115.0
63920	488.0	246.0
63923	730.0	383.0
63922	612.0	585.0
728577	320.0	15.0
63925	1932.0	1925.0
63924	2660.0	493.0
63916	2107.0	3753.0
63917	3437.0	2310.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	0.0
728564	8.0	7.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1820.0	1326.0
106481402	0.0	0.0
63931	1885.0	1889.0
106481403	0.0	0.0
63934	988.0	178.0
728567	7.0	3.0
106481408	0.0	0.0
163088	4.0	3.0
63933	2110.0	1920.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3020.0	3114.0
163087	1128.0	708.0
728568	433.0	319.0
106481407	6.0	6.0
3704	1089.0	1285.0
3705	3121.0	8264.0
63926	711.0	827.0
3706	4.0	30.0
63929	1297.0	1213.0
3707	4507.0	5176.0
63928	5.0	2.0
3708	16159.0	4733.0
106481411	2.0	0.0
3709	13558.0	4488.0
106481412	1.0	0.0
106481410	1.0	2.0
3700	52.0	25.0
3702	286.0	4442.0
3703	7817.0	10088.0
645506	0.0	0.0
151050	1412.0	606.0
645520	0.0	0.0
63941	1050.0	1274.0
63940	645.0	5423.0
63943	343.0	461.0
728517	0.0	0.0
163033	529.0	482.0
258010	2256.0	2611.0
63947	0.0	0.0
63946	9.0	0.0
728513	1.0	1.0
100033803	0.0	0.0
3716	13989.0	19438.0
100033804	0.0	0.0
3717	1531.0	2766.0
100033805	0.0	0.0
3718	533.0	4946.0
63939	1264.0	1508.0
100033806	0.0	0.0
100190799	15.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	122.0	62.0
3710	3967.0	3594.0
3712	5021.0	6826.0
3713	1.0	0.0
3714	4496.0	1366.0
63950	0.0	1.0
728505	0.0	1.0
63951	83.0	36.0
100033807	0.0	0.0
728501	25.0	31.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	8844.0	9827.0
100033814	0.0	0.0
3727	12936.0	6082.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	4.0
3728	20601.0	15278.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2517.0	2822.0
151056	318.0	197.0
3725	56232.0	13050.0
645528	1.0	3.0
728532	12.0	19.0
163059	410.0	325.0
728538	0.0	1.0
728537	431.0	97.0
63967	36.0	281.0
3737	33.0	20.0
3738	50.0	329.0
3739	6.0	0.0
645538	0.0	0.0
3730	1779.0	503.0
3732	4884.0	6757.0
3734	0.0	0.0
3735	7015.0	8566.0
3736	183.0	52.0
63970	425.0	58.0
3750	194.0	668.0
63971	7571.0	4964.0
63974	0.0	0.0
163049	2950.0	2372.0
63973	128.0	10.0
63976	91.0	75.0
222068	5230.0	5480.0
63978	2.0	0.0
63977	816.0	720.0
63979	968.0	662.0
728524	0.0	0.0
3748	894.0	954.0
163051	59.0	35.0
3749	2472.0	503.0
163050	57.0	58.0
3741	40.0	53.0
645548	13.0	14.0
3743	6.0	1.0
3744	0.0	0.0
3745	695.0	83.0
3746	65.0	3.0
3747	413.0	455.0
285671	968.0	212.0
285672	1790.0	1632.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	105.0	6.0
285676	86.0	35.0
3761	6.0	1.0
100128657	2.0	0.0
285679	4.0	3.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1166.0	400.0
283008	0.0	0.0
3751	170.0	243.0
100873435	0.0	0.0
3752	1405.0	874.0
100873434	0.0	0.0
3753	169.0	50.0
100873433	0.0	0.0
3754	20.0	16.0
100873432	0.0	0.0
3755	135.0	44.0
100873439	0.0	0.0
3756	20.0	384.0
100873438	0.0	0.0
3757	71.0	62.0
100873437	0.0	0.0
3758	6.0	4.0
100873436	0.0	0.0
100873420	1.0	2.0
3770	193.0	83.0
3772	114.0	117.0
100861458	1.0	0.0
100861453	21.0	10.0
100861455	0.0	0.0
1107	13971.0	16682.0
1106	10633.0	7341.0
1105	4187.0	3441.0
1104	1746.0	1991.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1778.0	1042.0
1101	1700.0	957.0
3762	230.0	447.0
100873424	1.0	0.0
3763	9.0	6.0
100128640	495.0	76.0
100873423	0.0	0.0
3764	589.0	423.0
100873422	0.0	0.0
3765	8.0	3.0
100873421	3.0	0.0
3766	9.0	825.0
100873428	0.0	0.0
3767	489.0	1100.0
100873427	0.0	0.0
3768	61.0	58.0
1109	3.0	0.0
100873426	0.0	0.0
1108	14907.0	19753.0
3769	37.0	20.0
100873425	1.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	65.0	34.0
100873453	0.0	0.0
3781	51.0	14.0
100873452	0.0	0.0
3782	288.0	490.0
100873451	0.0	0.0
3783	3362.0	1524.0
100873450	0.0	0.0
1121	1848.0	1429.0
100861468	0.0	1.0
1120	261.0	158.0
100861469	0.0	0.0
1118	370.0	3636.0
1117	1789.0	3698.0
1116	7629.0	8195.0
1114	271.0	370.0
1113	29.0	6.0
1112	6544.0	4629.0
1111	380.0	633.0
3773	903.0	98.0
100873457	3.0	1.0
100873456	1.0	0.0
3775	539.0	354.0
100873455	0.0	0.0
3776	773.0	129.0
100873454	0.0	0.0
3777	184.0	114.0
3778	3473.0	2126.0
3779	2385.0	394.0
100873459	0.0	3.0
1119	3142.0	1114.0
100128627	2.0	2.0
100128626	6.0	2.0
3790	1045.0	1292.0
100128628	4.0	11.0
3791	3711.0	2022.0
100873442	0.0	0.0
3792	128.0	93.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	1.0
1132	10.0	10.0
1131	322.0	79.0
1130	3821.0	3827.0
100861476	0.0	0.0
1129	1.0	1.0
1128	528.0	155.0
1124	226.0	446.0
1123	600.0	925.0
1122	1529.0	1023.0
100861470	1.0	0.0
3784	598.0	606.0
100873446	0.0	0.0
3785	21.0	5.0
100873445	0.0	0.0
3786	212.0	101.0
100873444	0.0	0.0
3787	261.0	14.0
100873443	0.0	0.0
3788	16.0	10.0
100873449	13.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	169.0	42.0
100128618	2.0	0.0
728597	2.0	1.0
100128617	0.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	118.0	32.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	11.0	3.0
285634	2.0	3.0
1142	0.0	0.0
1141	428.0	89.0
285636	2910.0	2255.0
1140	595.0	860.0
728599	6.0	1.0
1139	37.0	4.0
1138	67.0	44.0
1137	4.0	0.0
100861485	0.0	0.0
1136	7.0	8.0
1135	58.0	6.0
1134	17.0	71.0
1133	29.0	19.0
3795	352.0	285.0
100873479	4.0	1.0
3796	1431.0	2316.0
100873478	1.0	0.0
3797	1345.0	739.0
100873477	6.0	1.0
3798	321.0	54.0
100873476	0.0	0.0
3799	12352.0	10192.0
100873460	0.0	2.0
728586	28.0	13.0
285641	4.0	1.0
100873464	2.0	2.0
100873463	0.0	1.0
100873462	3.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1804.0	4851.0
1153	28130.0	19544.0
1152	896.0	364.0
285647	19.0	14.0
728589	37.0	48.0
728588	15.0	10.0
1149	632.0	125.0
1147	1404.0	1597.0
1146	2.0	0.0
1145	68.0	49.0
1144	4.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	1.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	1.0	0.0
100873495	3.0	0.0
100873494	0.0	0.0
1164	311.0	993.0
1163	749.0	851.0
285659	1.0	0.0
1161	434.0	466.0
1160	206.0	86.0
1159	118.0	187.0
1158	8.0	13.0
1157	6.0	0.0
1155	1767.0	3102.0
550643	1019.0	1882.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2038.0	3851.0
1175	1965.0	4321.0
285668	20.0	5.0
1174	1483.0	2291.0
1173	10922.0	17466.0
550631	158.0	236.0
100873489	0.0	0.0
283014	10.0	1.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	53.0	10.0
1186	2797.0	3855.0
1185	1716.0	997.0
1184	367.0	385.0
1183	452.0	298.0
1182	7662.0	6127.0
1181	323.0	294.0
440375	42.0	49.0
1180	69.0	14.0
1179	0.0	0.0
1178	1.0	3.0
283089	17.0	5.0
85495	0.0	0.0
85480	237.0	33.0
283080	1.0	0.0
1198	3346.0	2511.0
1197	2.0	1.0
1196	2327.0	2622.0
1195	11975.0	3516.0
440366	1.0	1.0
1193	765.0	2031.0
1192	8502.0	18341.0
1191	40604.0	51685.0
1188	40.0	5.0
283078	94.0	33.0
85486	6.0	7.0
128615	0.0	0.0
85481	0.0	0.0
128611	70.0	1294.0
440396	70.0	65.0
128609	1.0	0.0
128602	0.0	4.0
440387	3.0	0.0
128674	3.0	7.0
128676	3.0	0.0
114026	2.0	0.0
100861402	4.0	5.0
126014	116.0	308.0
440335	567.0	1266.0
100128690	0.0	0.0
114034	802.0	1008.0
126006	209.0	73.0
114036	30.0	5.0
100128696	2.0	0.0
100128688	0.0	0.0
126003	98.0	66.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	5.0
105180391	0.0	0.0
100128682	5.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	6.0
200728	183.0	102.0
440356	5.0	0.0
440354	126.0	85.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	0.0	11.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	15.0	6.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	149.0	59.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	153.0	99.0
200734	4441.0	4738.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	0.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	1.0
128637	3416.0	3375.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	1.0
645443	7.0	3.0
165530	193.0	112.0
85409	291.0	327.0
106481385	0.0	1.0
106481386	1.0	0.0
85416	3.0	0.0
106481383	2.0	1.0
85417	72.0	52.0
106481384	0.0	0.0
103106903	9.0	2.0
85414	323.0	326.0
106481389	0.0	0.0
85415	2801.0	1479.0
106481387	0.0	0.0
85413	8.0	3.0
106481388	9.0	2.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	19.0	24.0
106481380	0.0	0.0
11	0.0	0.0
403341	1161.0	795.0
12	690.0	80.0
13	10.0	0.0
14	5625.0	7553.0
15	12.0	7.0
16	6046.0	7238.0
645455	17.0	12.0
18	2180.0	4607.0
19	4438.0	2673.0
128580	12.0	3.0
85407	189.0	133.0
106481396	0.0	0.0
106481397	1.0	0.0
106481394	0.0	0.0
85406	1557.0	1784.0
106481395	0.0	0.0
85403	1565.0	1855.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	1.0	0.0
20	3897.0	3144.0
106481390	0.0	0.0
21	3062.0	7201.0
106481391	1.0	0.0
22	1635.0	1445.0
153571	577.0	910.0
153572	5290.0	3077.0
23	3142.0	5541.0
24	287.0	718.0
25	6118.0	5902.0
26	25.0	100.0
27	2255.0	2400.0
28	310.0	111.0
29	5968.0	6716.0
153579	3649.0	846.0
728615	0.0	0.0
728614	0.0	0.0
200765	475.0	195.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	19.0	14.0
102466518	0.0	0.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	3.0	1.0
106481361	0.0	0.0
85439	1087.0	1047.0
106481362	1.0	0.0
106481367	1.0	0.0
85437	2258.0	2721.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	296.0	164.0
106481366	0.0	0.0
30	2635.0	3058.0
106481360	1.0	0.0
31	5013.0	3655.0
32	6179.0	1862.0
33	196.0	41.0
34	3689.0	3413.0
35	1896.0	869.0
153562	1512.0	1197.0
36	13283.0	2895.0
37	16111.0	10778.0
38	2870.0	2810.0
440307	6.0	17.0
39	903.0	1242.0
165545	12.0	38.0
106481369	0.0	0.0
728606	237.0	166.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	3.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	10.0	6.0
106481370	0.0	0.0
41	492.0	117.0
106481371	0.0	0.0
43	81.0	325.0
645486	0.0	0.0
47	6947.0	9309.0
48	3403.0	4046.0
49	35.0	10.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	1.0
106481341	0.0	0.0
106481342	3.0	0.0
106481340	0.0	0.0
85458	5415.0	2190.0
