id	8a987f43-454e-4b94-a2ec-6079c58eb99b	0a3fb653-84e8-426a-999a-8dc8127dfd6d
85354	0.0	0.0
85352	48.0	144.0
403241	0.0	0.0
344462	0.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	336.0	239.0
153643	2.0	0.0
403247	0.0	0.0
403248	0.0	0.0
26985	4129.0	5567.0
106481448	0.0	0.0
26986	48642.0	107084.0
126069	109.0	326.0
106481449	0.0	0.0
126068	553.0	641.0
106481446	0.0	0.0
26983	0.0	0.0
26984	837.0	938.0
106481447	0.0	0.0
106481451	0.0	3.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	31.0	360.0
106481455	0.0	0.0
85349	16.0	17.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	6.0	4.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	9.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	12.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	2.0	2.0
100873391	0.0	0.0
100873398	1.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	2.0
106481415	0.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1134.0	475.0
100873390	0.0	0.0
728556	32.0	53.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	118.0	161.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	304.0	373.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	5.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	98.0	153.0
100873384	0.0	0.0
285601	8.0	0.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	3.0	1.0
63910	74.0	184.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	536.0	633.0
222008	11.0	284.0
106481428	0.0	0.0
106481429	0.0	2.0
63905	2547.0	2170.0
63904	0.0	0.0
106481430	0.0	0.0
163071	31.0	172.0
63906	699.0	451.0
106481433	0.0	0.0
63908	494.0	3491.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	13.0	177.0
63920	350.0	531.0
63923	2763.0	328.0
63922	136.0	991.0
728577	105.0	2.0
63925	769.0	1379.0
63924	56363.0	498.0
63916	2251.0	3535.0
63917	2722.0	2087.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	0.0
728564	4.0	4.0
285622	2.0	4.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1188.0	1306.0
106481402	0.0	0.0
63931	1671.0	2503.0
106481403	0.0	0.0
63934	222.0	52.0
728567	0.0	7.0
106481408	0.0	0.0
163088	0.0	7.0
63933	2444.0	2832.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2076.0	2644.0
163087	607.0	451.0
728568	210.0	596.0
106481407	14.0	1.0
3704	671.0	1211.0
3705	12405.0	9254.0
63926	745.0	3374.0
3706	1.0	230.0
63929	1353.0	1170.0
3707	5649.0	2846.0
63928	0.0	3.0
3708	4115.0	9678.0
106481411	0.0	0.0
3709	7640.0	20746.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	19.0	4.0
3702	109.0	77.0
3703	6114.0	8113.0
645506	0.0	0.0
151050	1246.0	357.0
645520	0.0	0.0
63941	790.0	2045.0
63940	622.0	895.0
63943	187.0	440.0
728517	0.0	0.0
163033	235.0	619.0
258010	525.0	2482.0
63947	0.0	1.0
63946	0.0	0.0
728513	4.0	0.0
100033803	0.0	0.0
3716	22883.0	6511.0
100033804	0.0	0.0
3717	2286.0	676.0
100033805	0.0	0.0
3718	165.0	156.0
63939	1088.0	975.0
100033806	0.0	0.0
100190799	6.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	49.0	67.0
3710	1214.0	4520.0
3712	4341.0	5522.0
3713	5.0	35.0
3714	2474.0	2190.0
63950	1.0	8.0
728505	0.0	0.0
63951	292.0	11.0
100033807	0.0	0.0
728501	13.0	7.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	23178.0	9491.0
100033814	0.0	0.0
3727	11540.0	6849.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	5876.0	24662.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	784.0	2297.0
151056	172.0	86.0
3725	27842.0	5402.0
645528	10.0	1.0
728532	32.0	27.0
163059	151.0	275.0
728538	0.0	0.0
728537	147.0	40.0
63967	22.0	206.0
3737	126.0	2.0
3738	24.0	22.0
3739	102.0	1.0
645538	0.0	0.0
3730	1694.0	2062.0
3732	2225.0	1676.0
3734	0.0	2.0
3735	7369.0	5332.0
3736	51.0	8.0
63970	17.0	44.0
3750	185.0	97.0
63971	7554.0	4623.0
63974	1.0	0.0
163049	1729.0	2177.0
63973	5.0	2.0
63976	521.0	95.0
222068	3750.0	5205.0
63978	0.0	0.0
63977	420.0	656.0
63979	371.0	837.0
728524	0.0	0.0
3748	98.0	501.0
163051	8.0	25.0
3749	957.0	314.0
163050	30.0	121.0
3741	199.0	31.0
645548	36.0	12.0
3743	0.0	1.0
3744	0.0	0.0
3745	3387.0	2224.0
3746	1.0	5523.0
3747	2.0	9280.0
285671	996.0	1130.0
285672	1626.0	1620.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	29.0	1305.0
285676	92.0	17.0
3761	1.0	1.0
100128657	0.0	0.0
285679	0.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	379.0	184.0
283008	0.0	2.0
3751	551.0	119.0
100873435	0.0	0.0
3752	1609.0	4846.0
100873434	0.0	0.0
3753	7.0	2.0
100873433	0.0	0.0
3754	6.0	5.0
100873432	0.0	0.0
3755	3.0	80.0
100873439	0.0	0.0
3756	8.0	378.0
100873438	0.0	0.0
3757	49.0	1394.0
100873437	0.0	0.0
3758	17.0	2.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	38.0	87.0
3772	79.0	130.0
100861458	1.0	1.0
100861453	9.0	8.0
100861455	0.0	0.0
1107	4798.0	29421.0
1106	4265.0	3944.0
1105	2321.0	4115.0
1104	587.0	1522.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1551.0	359.0
1101	50.0	255.0
3762	573.0	218.0
100873424	0.0	0.0
3763	12.0	30.0
100128640	45.0	93.0
100873423	0.0	0.0
3764	2130.0	288.0
100873422	0.0	0.0
3765	2.0	1.0
100873421	0.0	1.0
3766	14.0	12.0
100873428	2.0	0.0
3767	89.0	1584.0
100873427	0.0	0.0
3768	300.0	662.0
1109	7.0	1.0
100873426	2.0	2.0
1108	11000.0	20014.0
3769	4.0	2.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	2.0	6.0
100873453	0.0	0.0
3781	23.0	118.0
100873452	0.0	0.0
3782	542.0	249.0
100873451	0.0	0.0
3783	155.0	99.0
100873450	0.0	0.0
1121	1661.0	1461.0
100861468	2.0	0.0
1120	141.0	90.0
100861469	0.0	0.0
1118	41.0	477.0
1117	131.0	69.0
1116	165.0	155.0
1114	7.0	5623.0
1113	12.0	120.0
1112	15686.0	5033.0
1111	228.0	456.0
3773	60.0	2.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	51.0	1573.0
100873455	0.0	0.0
3776	69.0	29.0
100873454	0.0	0.0
3777	373.0	2752.0
3778	1253.0	755.0
3779	576.0	119.0
100873459	0.0	0.0
1119	997.0	2111.0
100128627	2.0	0.0
100128626	0.0	0.0
3790	428.0	2892.0
100128628	7.0	11.0
3791	9103.0	3158.0
100873442	3.0	0.0
3792	5.0	3.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	22.0	22.0
1131	53.0	62.0
1130	3349.0	2218.0
100861476	0.0	0.0
1129	4.0	0.0
1128	11.0	6.0
1124	250.0	722.0
1123	543.0	349.0
1122	656.0	1002.0
100861470	0.0	0.0
3784	409.0	228.0
100873446	0.0	0.0
3785	3.0	158.0
100873445	0.0	0.0
3786	72.0	178.0
100873444	0.0	0.0
3787	17.0	2.0
100873443	0.0	0.0
3788	51.0	37.0
100873449	2.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	42.0	34.0
100128618	1.0	3.0
728597	21.0	1.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	28.0	18.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	6.0
285634	17.0	2.0
1142	1.0	0.0
1141	11.0	3913.0
285636	2059.0	2265.0
1140	373.0	507.0
728599	5.0	4.0
1139	13.0	6.0
1138	14.0	7.0
1137	0.0	0.0
100861485	0.0	0.0
1136	3.0	2.0
1135	2.0	9.0
1134	6.0	57.0
1133	5.0	5.0
3795	189.0	716.0
100873479	2.0	0.0
3796	1520.0	2221.0
100873478	0.0	0.0
3797	695.0	2190.0
100873477	0.0	2.0
3798	15.0	564.0
100873476	0.0	0.0
3799	15024.0	13438.0
100873460	0.0	0.0
728586	11.0	7.0
285641	2.0	0.0
100873464	1.0	2.0
100873463	3.0	0.0
100873462	8.0	0.0
285643	0.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	422.0	2048.0
1153	10673.0	15111.0
1152	6304.0	2750.0
285647	7.0	58.0
728589	25.0	12.0
728588	0.0	1.0
1149	14118.0	157.0
1147	1830.0	1856.0
1146	0.0	4.0
1145	45.0	52.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	116.0	655.0
1163	1216.0	1162.0
285659	0.0	0.0
1161	570.0	404.0
1160	761.0	90.0
1159	103.0	445.0
1158	0.0	6.0
1157	0.0	0.0
1155	1553.0	4785.0
550643	498.0	1676.0
283025	3.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2482.0	1258.0
1175	2063.0	2411.0
285668	44.0	29.0
1174	806.0	1833.0
1173	12938.0	17944.0
550631	37.0	111.0
100873489	0.0	0.0
283014	9.0	1.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	32.0	1.0
1186	2430.0	2552.0
1185	1833.0	556.0
1184	532.0	526.0
1183	933.0	128.0
1182	5302.0	4240.0
1181	133.0	449.0
440375	29.0	17.0
1180	27.0	0.0
1179	0.0	0.0
1178	0.0	1.0
283089	9.0	4.0
85495	0.0	0.0
85480	222.0	4.0
283080	0.0	0.0
1198	2088.0	1156.0
1197	0.0	0.0
1196	1121.0	1228.0
1195	3735.0	2807.0
440366	1.0	2.0
1193	1523.0	295.0
1192	9755.0	17612.0
1191	51267.0	12262.0
1188	13.0	3.0
283078	607.0	40.0
85486	3.0	6.0
128615	0.0	0.0
85481	0.0	0.0
128611	108.0	31.0
440396	7.0	67.0
128609	0.0	0.0
128602	2.0	5.0
440387	1.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	1.0
100861402	1.0	1.0
126014	40.0	104.0
440335	19.0	1771.0
100128690	0.0	0.0
114034	395.0	361.0
126006	0.0	38.0
114036	80.0	14.0
100128696	0.0	0.0
100128688	3.0	0.0
126003	54.0	133.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	2.0	2.0
100861429	0.0	0.0
128653	0.0	0.0
200728	197.0	182.0
440356	0.0	22.0
440354	30.0	29.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	3.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	0.0	48.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	52.0	10.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	166.0	100.0
200734	2505.0	5210.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	0.0
100873408	1.0	0.0
100873407	1.0	0.0
100861430	20.0	1.0
100873402	0.0	0.0
100873401	1.0	1.0
100873400	0.0	1.0
100128665	0.0	0.0
128637	4830.0	3230.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	8.0	1.0
165530	76.0	7.0
85409	30.0	363.0
106481385	0.0	0.0
106481386	0.0	2.0
85416	6.0	3.0
106481383	3.0	2.0
85417	80.0	83.0
106481384	0.0	0.0
103106903	3.0	0.0
85414	229.0	103.0
106481389	0.0	0.0
85415	176.0	1992.0
106481387	0.0	0.0
85413	10.0	1.0
106481388	3.0	1.0
645436	5.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1245.0	464.0
12	33.0	1204.0
13	433.0	42.0
14	5601.0	6909.0
15	2.0	5.0
16	9478.0	8018.0
645455	12.0	7.0
18	571.0	515.0
19	12062.0	653.0
128580	4.0	6.0
85407	284.0	216.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1084.0	2230.0
106481395	0.0	0.0
85403	1377.0	2167.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4625.0	2202.0
106481390	0.0	0.0
21	2901.0	6884.0
106481391	0.0	0.0
22	1523.0	1356.0
153571	161.0	750.0
153572	399.0	2045.0
23	4269.0	5061.0
24	110.0	26.0
25	6661.0	3773.0
26	28.0	19.0
27	2175.0	3591.0
28	394.0	110.0
29	4758.0	5994.0
153579	15307.0	209.0
728615	0.0	0.0
728614	0.0	0.0
200765	72.0	326.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	48.0	6.0
102466518	0.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	691.0	738.0
106481362	0.0	0.0
106481367	0.0	3.0
85437	2902.0	5000.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	95.0	94.0
106481366	0.0	0.0
30	3684.0	1427.0
106481360	0.0	0.0
31	11884.0	10523.0
32	66874.0	1053.0
33	1511.0	16.0
34	8160.0	1732.0
35	5659.0	907.0
153562	105.0	3045.0
36	3424.0	9285.0
37	20330.0	9997.0
38	11631.0	4844.0
440307	2.0	8.0
39	660.0	925.0
165545	2.0	24.0
106481369	0.0	0.0
728606	0.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	3.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	4.0	0.0
106481370	0.0	0.0
41	133.0	866.0
106481371	0.0	0.0
43	28.0	57.0
645486	1.0	0.0
47	9759.0	13047.0
48	33067.0	2997.0
49	24.0	12.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	3.0	1.0
106481340	0.0	0.0
85458	6106.0	1907.0
106481345	2.0	0.0
85459	506.0	636.0
106481346	0.0	0.0
85456	17688.0	10715.0
442910	0.0	4.0
