id	17ceeaa5-3ce3-4b34-8a52-fadcd8c8e893	130c9498-fa87-4c5b-82b7-60fa417c56d2
128710	971.0	2287.0
3684	2126.0	2843.0
100873351	0.0	0.0
285512	162.0	41.0
1022	1146.0	2669.0
285513	1351.0	702.0
1021	4247.0	1283.0
1020	479.0	1200.0
440299	2.0	0.0
1019	4307.0	16771.0
128709	0.0	0.0
1018	21.0	27.0
1017	2011.0	13314.0
1016	9.0	44.0
1015	34.0	9.0
1014	0.0	2.0
1013	6.0	17.0
1012	2282.0	1118.0
116730	77.0	164.0
3674	68.0	71.0
100873358	0.0	0.0
3675	4400.0	2294.0
100873357	2.0	0.0
3676	1425.0	727.0
100128731	6357.0	8093.0
100873356	0.0	0.0
3678	6434.0	6299.0
3679	15126.0	230.0
100873359	0.0	0.0
728464	73.0	9.0
728463	20.0	91.0
100128725	0.0	0.0
3690	502.0	262.0
3691	8082.0	1473.0
100873343	0.0	0.0
3692	4041.0	9085.0
3693	19634.0	16324.0
285521	1262.0	2447.0
100873342	0.0	0.0
3694	3393.0	5733.0
100873341	0.0	0.0
3695	283.0	361.0
100873340	2.0	0.0
100128723	1.0	2.0
1033	123.0	1460.0
1032	547.0	1407.0
285525	3.0	2.0
1031	4299.0	992.0
285527	8312.0	2890.0
1030	7990.0	1082.0
728468	0.0	0.0
440288	175.0	126.0
1029	446.0	2688.0
440295	108.0	217.0
1028	5924.0	503.0
1027	8112.0	11215.0
1026	4016.0	3637.0
1025	3254.0	6671.0
1024	1069.0	2058.0
3685	13054.0	10807.0
100873347	0.0	0.0
100873346	1.0	1.0
3687	798.0	1451.0
100873345	0.0	0.0
3688	88254.0	75055.0
100873344	3.0	0.0
3689	4138.0	3980.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	3.0	2.0
100873370	0.0	0.0
728498	28.0	3.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	47.0	83.0
100873375	0.0	0.0
100128710	2.0	0.0
285533	155.0	70.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	8.0	15.0
1043	1268.0	549.0
1041	1.0	3.0
1040	1695.0	4112.0
1039	2184.0	7548.0
1038	89.0	41.0
1036	6510.0	286.0
3696	3399.0	2842.0
3697	1.0	3.0
100873379	0.0	0.0
3698	35.0	30.0
100873378	4.0	6.0
3699	77.0	24.0
100873377	0.0	0.0
728486	13.0	12.0
100873361	0.0	1.0
105373869	13.0	390.0
100873360	0.0	0.0
285540	282.0	160.0
100128705	1.0	2.0
100873365	3.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	3.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	4638.0	5629.0
285547	0.0	0.0
1053	2.0	10.0
285548	2.0	18.0
1052	3315.0	8232.0
1051	3703.0	4791.0
728489	9.0	22.0
1050	7304.0	477.0
100128707	1.0	0.0
1048	96.0	140.0
1047	270.0	990.0
1046	0.0	0.0
1045	0.0	0.0
100873369	4.0	2.0
100873368	0.0	0.0
100873367	0.0	2.0
100873366	0.0	0.0
105373877	7.0	4.0
1066	7187.0	303.0
1063	2792.0	26285.0
1062	399.0	3087.0
1061	5.0	5.0
1060	2849.0	2532.0
440253	310.0	48.0
1059	5371.0	10440.0
1058	106.0	1370.0
1057	1.0	2.0
85379	12184.0	4005.0
114112	1031.0	1106.0
1056	22.0	65.0
85377	1891.0	1144.0
85378	2514.0	2005.0
128745	1.0	3.0
85376	8.0	5.0
440248	665.0	504.0
1075	9477.0	14409.0
1074	12.0	15.0
1073	5148.0	779.0
1072	24098.0	82834.0
1071	332.0	62.0
440243	1.0	0.0
1070	1111.0	1383.0
1069	3550.0	8135.0
1068	0.0	0.0
85369	2697.0	2291.0
85366	28.0	25.0
85364	2082.0	2927.0
85365	2605.0	4012.0
85363	1791.0	2989.0
85360	1432.0	927.0
1080	235.0	217.0
85391	26.0	75.0
403296	0.0	0.0
403297	2.0	1.0
85390	0.0	0.0
403299	1.0	0.0
1088	2.0	1.0
153733	691.0	1436.0
1087	4.0	5.0
1086	0.0	0.0
440279	15.0	8.0
1085	9.0	0.0
1084	80.0	4.0
440278	175.0	212.0
1082	0.0	0.0
403294	0.0	0.0
440275	7717.0	15368.0
1081	1.0	8.0
85397	3.0	21.0
85395	378.0	481.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	1.0
440270	719.0	435.0
1089	35.0	4.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	25.0	3.0
285598	1438.0	404.0
126133	1164.0	1265.0
128790	1.0	0.0
126129	200.0	1082.0
126123	0.0	1.0
442862	0.0	0.0
126119	560.0	768.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	2.0	1.0
442896	1.0	0.0
114132	50.0	18.0
442897	0.0	0.0
442898	2.0	1.0
114134	1372.0	1523.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	2.0
100128788	49.0	187.0
100128787	0.0	1.0
440225	0.0	0.0
440224	0.0	2.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	4.0
128756	0.0	0.0
100128782	370.0	225.0
100128781	2.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	4.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	441.0	7.0
102466616	0.0	0.0
126052	0.0	0.0
151009	60.0	26.0
403227	0.0	0.0
403228	0.0	0.0
138046	14.0	5.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	2.0	0.0
403223	0.0	0.0
403224	1.0	0.0
403226	0.0	0.0
200634	431.0	2074.0
107131122	0.0	2.0
138050	11080.0	16204.0
403219	1.0	0.0
151011	7586.0	2202.0
645587	4.0	2.0
165679	460.0	4625.0
126037	26.0	50.0
114049	3313.0	8623.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	36.0	141.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	877.0	288.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	1.0	0.0
85313	2396.0	1995.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	590.0	454.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	1.0	0.0
138065	103.0	963.0
645598	1.0	0.0
163007	17.0	35.0
114038	1.0	1.0
645591	0.0	0.0
106481495	0.0	1.0
114041	215.0	630.0
106481496	0.0	0.0
114042	2.0	6.0
106481493	0.0	0.0
114043	19.0	8.0
106481494	0.0	0.0
106481499	1.0	0.0
114044	295.0	443.0
126017	796.0	1166.0
106481497	3.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	2.0
85301	954.0	1492.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1142.0	1792.0
106481459	0.0	0.0
26994	13405.0	9793.0
106481457	10.0	13.0
26995	2603.0	9046.0
106481458	0.0	0.0
403271	1.0	9.0
26998	5.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1968.0	794.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1761.0	3277.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	6765.0	3.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	0.0
106481475	0.0	1.0
106481476	0.0	0.0
85320	1214.0	1293.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1064.0	3719.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	1.0
344471	4.0	9.0
106481437	0.0	0.0
26974	466.0	699.0
153657	38.0	74.0
106481438	1.0	22.0
106481435	0.0	0.0
26973	1861.0	4277.0
165631	199.0	108.0
106481436	0.0	0.0
26978	15.0	21.0
126075	430.0	896.0
106481439	0.0	0.0
403250	0.0	0.0
126074	175.0	452.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1067.0	1083.0
106481444	8.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3586.0	1111.0
85354	0.0	0.0
85352	46.0	143.0
403241	0.0	0.0
344462	7.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	977.0	715.0
153643	15.0	29.0
403247	0.0	0.0
403248	0.0	0.0
26985	6343.0	10619.0
106481448	0.0	0.0
26986	112379.0	297802.0
126069	160.0	151.0
106481449	0.0	0.0
126068	1338.0	816.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1237.0	1896.0
106481447	0.0	0.0
106481451	1.0	9.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	493.0	430.0
106481455	0.0	1.0
85349	30.0	80.0
106481456	1.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	8.0	17.0
106481454	1.0	1.0
403238	0.0	0.0
85344	3.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	4.0	4.0
85340	1.0	0.0
100873394	0.0	1.0
100873393	0.0	0.0
100873392	0.0	7.0
100873391	0.0	0.0
100873398	2.0	1.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	2.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3142.0	5502.0
100873390	0.0	0.0
728556	43.0	132.0
106481419	2.0	0.0
100128817	0.0	0.0
728558	151.0	158.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	1.0	0.0
163081	673.0	929.0
106481423	0.0	1.0
106481420	1.0	0.0
106481421	0.0	0.0
100873399	3.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	0.0
100873380	0.0	2.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	264.0	112.0
100873384	0.0	0.0
285601	55.0	11.0
106481426	1.0	0.0
106481427	0.0	2.0
222005	0.0	6.0
63910	171.0	1812.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	602.0	400.0
222008	68.0	170.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3461.0	6147.0
63904	0.0	0.0
106481430	0.0	1.0
163071	67.0	55.0
63906	816.0	946.0
106481433	0.0	0.0
63908	877.0	1204.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	1.0	1.0
100873389	0.0	0.0
100873388	3.0	1.0
285613	26.0	53.0
63920	729.0	524.0
63923	3640.0	147.0
63922	279.0	1702.0
728577	211.0	5.0
63925	1402.0	1949.0
63924	34664.0	16.0
63916	4058.0	6364.0
63917	4605.0	3847.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	8.0
728564	5.0	19.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1741.0	2682.0
106481402	0.0	1.0
63931	2686.0	3674.0
106481403	1.0	0.0
63934	919.0	1044.0
728567	4.0	8.0
106481408	0.0	0.0
163088	3.0	6.0
63933	3403.0	2810.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3218.0	2882.0
163087	1357.0	890.0
728568	384.0	1360.0
106481407	18.0	22.0
3704	1281.0	4043.0
3705	8795.0	8423.0
63926	1097.0	2231.0
3706	11.0	33.0
63929	1601.0	3107.0
3707	5078.0	4523.0
63928	7.0	9.0
3708	9785.0	4134.0
106481411	0.0	0.0
3709	12744.0	5199.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	21.0	23.0
3702	771.0	106.0
3703	13856.0	32996.0
645506	0.0	0.0
151050	2238.0	999.0
645520	0.0	0.0
63941	1103.0	2719.0
63940	1434.0	807.0
63943	319.0	484.0
728517	0.0	0.0
163033	276.0	527.0
258010	1956.0	3188.0
63947	0.0	0.0
63946	3.0	8.0
728513	0.0	0.0
100033803	0.0	0.0
3716	34867.0	18166.0
100033804	0.0	0.0
3717	2727.0	1224.0
100033805	0.0	0.0
3718	695.0	595.0
63939	2504.0	1839.0
100033806	0.0	0.0
100190799	8.0	10.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	128.0	95.0
3710	3770.0	7691.0
3712	4901.0	7560.0
3713	1.0	0.0
3714	2351.0	1598.0
63950	1.0	4.0
728505	0.0	0.0
63951	222.0	19.0
100033807	0.0	0.0
728501	53.0	42.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	8391.0	5582.0
100033814	0.0	0.0
3727	7776.0	8560.0
63948	0.0	0.0
100033815	0.0	0.0
222052	13.0	2.0
3728	12702.0	12331.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2442.0	2733.0
151056	354.0	112.0
3725	20201.0	10430.0
645528	2.0	0.0
728532	39.0	29.0
163059	314.0	273.0
728538	4.0	2.0
728537	206.0	206.0
63967	178.0	1980.0
3737	137.0	0.0
3738	222.0	5.0
3739	38.0	1.0
645538	1.0	0.0
3730	3905.0	1307.0
3732	2557.0	2821.0
3734	0.0	0.0
3735	11174.0	10275.0
3736	130.0	0.0
63970	122.0	15.0
3750	280.0	289.0
63971	10864.0	1399.0
63974	0.0	0.0
163049	3519.0	3051.0
63973	54.0	8.0
63976	321.0	12.0
222068	7290.0	13971.0
63978	3.0	0.0
63977	752.0	1478.0
63979	1154.0	3560.0
728524	0.0	0.0
3748	173.0	709.0
163051	41.0	33.0
3749	2123.0	793.0
163050	80.0	118.0
3741	45.0	4.0
645548	4.0	21.0
3743	3.0	3.0
3744	0.0	0.0
3745	1292.0	64.0
3746	14.0	28.0
3747	121.0	222.0
285671	1057.0	69.0
285672	2854.0	1802.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	98.0	183.0
285676	98.0	25.0
3761	0.0	3.0
100128657	1.0	0.0
285679	7.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1678.0	296.0
283008	13.0	21.0
3751	925.0	325.0
100873435	0.0	0.0
3752	1194.0	269.0
100873434	0.0	0.0
3753	130.0	19.0
100873433	0.0	0.0
3754	94.0	661.0
100873432	0.0	0.0
3755	37.0	14.0
100873439	0.0	0.0
3756	212.0	1269.0
100873438	0.0	0.0
3757	47.0	512.0
100873437	0.0	0.0
3758	15.0	4.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	94.0	150.0
3772	449.0	154.0
100861458	0.0	0.0
100861453	17.0	4.0
100861455	1.0	1.0
1107	12686.0	10799.0
1106	10162.0	7027.0
1105	4997.0	4126.0
1104	2403.0	9840.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2250.0	539.0
1101	570.0	255.0
3762	428.0	252.0
100873424	0.0	0.0
3763	5.0	16.0
100128640	227.0	195.0
100873423	0.0	0.0
3764	3181.0	589.0
100873422	0.0	0.0
3765	5.0	4.0
100873421	1.0	0.0
3766	13.0	25.0
100873428	0.0	0.0
3767	402.0	1589.0
100873427	0.0	3.0
3768	280.0	43.0
1109	5.0	2.0
100873426	3.0	2.0
1108	19884.0	39198.0
3769	11.0	5.0
100873425	0.0	2.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	20.0	30.0
100873453	0.0	0.0
3781	40.0	51.0
100873452	0.0	1.0
3782	904.0	153.0
100873451	0.0	0.0
3783	1951.0	843.0
100873450	0.0	0.0
1121	2858.0	2112.0
100861468	0.0	0.0
1120	170.0	239.0
100861469	0.0	0.0
1118	213.0	104.0
1117	1683.0	728.0
1116	2286.0	21977.0
1114	7.0	4.0
1113	4.0	7.0
1112	18351.0	4033.0
1111	688.0	6039.0
3773	562.0	1.0
100873457	1.0	0.0
100873456	0.0	1.0
3775	1105.0	5178.0
100873455	0.0	0.0
3776	604.0	2209.0
100873454	0.0	0.0
3777	382.0	1319.0
3778	4883.0	1859.0
3779	1581.0	194.0
100873459	2.0	0.0
1119	1431.0	3369.0
100128627	3.0	11.0
100128626	0.0	0.0
3790	1212.0	7931.0
100128628	8.0	2.0
3791	7714.0	1575.0
100873442	1.0	0.0
3792	25.0	57.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	32.0	46.0
1131	323.0	12.0
1130	7150.0	2826.0
100861476	0.0	0.0
1129	0.0	0.0
1128	394.0	17.0
1124	631.0	402.0
1123	751.0	1171.0
1122	1846.0	4101.0
100861470	0.0	1.0
3784	642.0	458.0
100873446	0.0	0.0
3785	2.0	1.0
100873445	0.0	0.0
3786	263.0	268.0
100873444	0.0	0.0
3787	168.0	96.0
100873443	0.0	0.0
3788	7.0	3.0
100873449	16.0	5.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	121.0	155.0
100128618	1.0	2.0
728597	8.0	1.0
100128617	0.0	7.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	43.0	68.0
100873473	0.0	0.0
100873472	0.0	1.0
1143	7.0	12.0
285634	9.0	8.0
1142	0.0	0.0
1141	88.0	141.0
285636	3816.0	6861.0
1140	780.0	600.0
728599	4.0	2.0
1139	20.0	4.0
1138	102.0	382.0
1137	4.0	0.0
100861485	0.0	0.0
1136	55.0	25.0
1135	3.0	2.0
1134	6.0	45.0
1133	22.0	6.0
3795	394.0	228.0
100873479	8.0	3.0
3796	3183.0	3241.0
100873478	0.0	0.0
3797	1415.0	1257.0
100873477	6.0	1.0
3798	183.0	21.0
100873476	0.0	0.0
3799	19807.0	18968.0
100873460	0.0	0.0
728586	26.0	12.0
285641	2.0	1.0
100873464	4.0	0.0
100873463	1.0	0.0
100873462	5.0	0.0
285643	3.0	6.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1135.0	5203.0
1153	18050.0	9724.0
1152	3417.0	6259.0
285647	27.0	42.0
728589	22.0	10.0
728588	0.0	6.0
1149	22623.0	7.0
1147	2159.0	2691.0
1146	1.0	1.0
1145	48.0	19.0
1144	3.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	1.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	597.0	5968.0
1163	1772.0	6829.0
285659	0.0	0.0
1161	616.0	313.0
1160	421.0	29.0
1159	102.0	487.0
1158	686.0	13.0
1157	1.0	0.0
1155	1822.0	4357.0
550643	1216.0	3021.0
283025	1.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	1.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	5820.0	20467.0
1175	2669.0	7297.0
285668	13.0	2.0
1174	1458.0	5686.0
1173	18957.0	52518.0
550631	72.0	168.0
100873489	0.0	0.0
283014	17.0	17.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	19.0	87.0
1186	2960.0	6910.0
1185	2509.0	985.0
1184	1010.0	1207.0
1183	1634.0	44.0
1182	10396.0	5446.0
1181	309.0	1938.0
440375	30.0	10.0
1180	35.0	13.0
1179	1.0	0.0
1178	79.0	0.0
283089	22.0	8.0
85495	0.0	0.0
85480	487.0	10.0
283080	2.0	0.0
1198	2909.0	2485.0
1197	2.0	3.0
1196	2056.0	4696.0
1195	11833.0	5134.0
440366	4.0	5.0
1193	2947.0	516.0
1192	13869.0	14149.0
1191	61372.0	109582.0
1188	18.0	4.0
283078	846.0	23.0
85486	0.0	17.0
128615	0.0	0.0
85481	0.0	0.0
128611	327.0	21.0
440396	47.0	103.0
128609	0.0	0.0
128602	3.0	2.0
440387	1.0	0.0
128674	0.0	0.0
128676	0.0	1.0
114026	0.0	0.0
100861402	1.0	3.0
126014	144.0	316.0
440335	497.0	3289.0
100128690	0.0	0.0
114034	680.0	2650.0
126006	26.0	79.0
114036	108.0	30.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	89.0	201.0
100861412	0.0	0.0
105180390	2.0	1.0
100128685	0.0	0.0
100128681	2.0	0.0
105180391	0.0	0.0
100128682	0.0	1.0
100128678	2.0	1.0
100861429	0.0	0.0
128653	1.0	1.0
200728	300.0	529.0
440356	3.0	23.0
440354	76.0	210.0
440352	2.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	5.0	4.0
100873412	1.0	0.0
100873411	0.0	0.0
100128675	0.0	22.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	7.0	3.0
100861435	0.0	2.0
100861436	0.0	0.0
440345	168.0	307.0
200734	4783.0	4142.0
100861431	1.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	8.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	5.0	2.0
100873402	0.0	0.0
100873401	3.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	5610.0	7343.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	4.0
165530	124.0	15.0
85409	71.0	122.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	7.0	26.0
106481383	4.0	2.0
85417	99.0	116.0
106481384	2.0	0.0
103106903	11.0	0.0
85414	279.0	176.0
106481389	0.0	0.0
85415	1596.0	2787.0
106481387	0.0	0.0
85413	6.0	29.0
106481388	5.0	4.0
645436	1.0	0.0
106481381	1.0	1.0
106481382	0.0	0.0
10	5.0	10.0
106481380	0.0	0.0
11	2.0	2.0
403341	2683.0	2086.0
12	115.0	1070.0
13	558.0	17.0
14	6521.0	6272.0
15	6.0	5.0
16	10147.0	18201.0
645455	14.0	1.0
18	2101.0	15850.0
19	14515.0	4069.0
128580	9.0	5.0
85407	332.0	262.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1824.0	2968.0
106481395	1.0	0.0
85403	2187.0	4488.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	2.0
106481393	0.0	0.0
20	4014.0	8109.0
106481390	0.0	0.0
21	4209.0	5806.0
106481391	0.0	0.0
22	2419.0	3015.0
153571	311.0	1271.0
153572	2592.0	4752.0
23	5023.0	4799.0
24	264.0	68.0
25	11616.0	13169.0
26	12.0	68.0
27	3872.0	5009.0
28	574.0	2227.0
29	5906.0	5265.0
153579	7855.0	45.0
728615	0.0	0.0
728614	0.0	0.0
200765	235.0	428.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	39.0	11.0
102466518	0.0	1.0
102466516	4.0	1.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	1863.0	2110.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3147.0	4615.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	176.0	255.0
106481366	0.0	0.0
30	2915.0	2657.0
106481360	0.0	0.0
31	9289.0	13336.0
32	44024.0	1786.0
33	1322.0	145.0
34	5712.0	7812.0
35	3096.0	606.0
153562	1167.0	1939.0
36	5432.0	5839.0
37	18806.0	9168.0
38	10449.0	10420.0
440307	5.0	13.0
39	1009.0	1870.0
165545	5.0	14.0
106481369	0.0	0.0
728606	169.0	970.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	3.0	0.0
106481379	0.0	0.0
106481376	1.0	1.0
106481377	0.0	0.0
403315	1.0	0.0
40	20.0	270.0
106481370	0.0	0.0
41	498.0	289.0
106481371	0.0	0.0
43	26.0	11.0
645486	0.0	0.0
47	11335.0	13393.0
48	21820.0	3305.0
49	18.0	19.0
106481338	0.0	0.0
106481339	2.0	2.0
106481336	0.0	0.0
