id	5d4c3e4c-0f1b-4e23-af3a-7644cab6c70f	2d71fd22-4dd1-4954-87cf-a7c5879b8bec
100873322	0.0	0.0
3667	9454.0	6201.0
100873329	0.0	0.0
285590	4885.0	3893.0
100873328	0.0	0.0
3669	607.0	308.0
100873327	0.0	0.0
1009	3105.0	7207.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	1.0
728477	17.0	5.0
3680	5054.0	2615.0
3681	3.0	6.0
100128733	1.0	6.0
100873354	0.0	0.0
3682	728.0	463.0
100873353	0.0	0.0
3683	1135.0	711.0
100873352	2.0	0.0
128710	717.0	1051.0
3684	606.0	2002.0
100873351	0.0	0.0
285512	250.0	109.0
1022	1299.0	1807.0
285513	1313.0	677.0
1021	3865.0	2474.0
1020	421.0	911.0
440299	2.0	0.0
1019	3158.0	2801.0
128709	0.0	1.0
1018	27.0	25.0
1017	1600.0	1398.0
1016	5.0	0.0
1015	24.0	23.0
1014	1.0	0.0
1013	7.0	19.0
1012	1652.0	641.0
116730	105.0	66.0
3674	44.0	18.0
100873358	0.0	0.0
3675	9187.0	7944.0
100873357	0.0	0.0
3676	579.0	348.0
100128731	4269.0	4705.0
100873356	0.0	0.0
3678	2809.0	3673.0
3679	2926.0	1267.0
100873359	0.0	0.0
728464	54.0	28.0
728463	12.0	13.0
100128725	0.0	0.0
3690	150.0	189.0
3691	15628.0	10536.0
100873343	3.0	1.0
3692	4195.0	4045.0
3693	12051.0	11455.0
285521	1263.0	1053.0
100873342	0.0	0.0
3694	10448.0	3450.0
100873341	0.0	0.0
3695	158.0	116.0
100873340	1.0	1.0
100128723	7.0	0.0
1033	49.0	184.0
1032	242.0	210.0
285525	2.0	3.0
1031	1150.0	392.0
285527	4784.0	3774.0
1030	644.0	1387.0
728468	0.0	0.0
440288	170.0	133.0
1029	116.0	161.0
440295	223.0	171.0
1028	1804.0	938.0
1027	5285.0	7754.0
1026	3357.0	2532.0
1025	2981.0	3583.0
1024	541.0	621.0
3685	9129.0	15373.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	603.0	439.0
100873345	0.0	0.0
3688	23509.0	17376.0
100873344	1.0	0.0
3689	2627.0	1658.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	2.0
100873370	0.0	0.0
728498	24.0	14.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	56.0	46.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	189.0	86.0
100873374	1.0	1.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	3.0
1043	721.0	551.0
1041	9.0	7.0
1040	2584.0	2541.0
1039	1088.0	2207.0
1038	4.0	5.0
1036	968.0	601.0
3696	6607.0	2062.0
3697	4.0	1.0
100873379	0.0	0.0
3698	207.0	93.0
100873378	0.0	3.0
3699	86.0	79.0
100873377	0.0	0.0
728486	6.0	3.0
100873361	0.0	0.0
105373869	2.0	47.0
100873360	0.0	1.0
285540	152.0	114.0
100128705	2.0	4.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	4.0	2.0
100873362	0.0	0.0
100128701	1.0	3.0
1054	2958.0	2897.0
285547	0.0	0.0
1053	0.0	1.0
285548	2.0	0.0
1052	1973.0	1805.0
1051	2909.0	2745.0
728489	10.0	8.0
1050	1121.0	814.0
100128707	0.0	0.0
1048	10.0	247.0
1047	151.0	2152.0
1046	0.0	0.0
1045	2.0	0.0
100873369	8.0	8.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	1.0
1066	3404.0	674.0
1063	606.0	1875.0
1062	148.0	256.0
1061	2.0	0.0
1060	2598.0	1809.0
440253	219.0	102.0
1059	4979.0	4677.0
1058	18.0	32.0
1057	5.0	3.0
85379	20018.0	7536.0
114112	937.0	543.0
1056	31.0	22.0
85377	3551.0	1810.0
85378	3350.0	2904.0
128745	0.0	0.0
85376	12.0	3.0
440248	755.0	522.0
1075	3238.0	3096.0
1074	26.0	28.0
1073	2392.0	710.0
1072	21628.0	38056.0
1071	17.0	21.0
440243	0.0	0.0
1070	902.0	625.0
1069	3026.0	3466.0
1068	0.0	0.0
85369	2415.0	1859.0
85366	1.0	19.0
85364	1682.0	1223.0
85365	2428.0	2374.0
85363	1808.0	1515.0
85360	963.0	943.0
1080	68.0	151.0
85391	6.0	1.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	1.0	0.0
1088	2.0	2.0
153733	661.0	561.0
1087	32.0	39.0
1086	0.0	1.0
440279	52.0	8.0
1085	4.0	0.0
1084	2.0	3.0
440278	138.0	125.0
1082	1.0	0.0
403294	0.0	0.0
440275	5391.0	3900.0
1081	0.0	0.0
85397	1.0	3.0
85395	404.0	278.0
403285	0.0	0.0
1091	0.0	0.0
1090	2.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	2.0
440270	1741.0	1365.0
1089	7.0	5.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	23.0	8.0
285598	1298.0	488.0
126133	1179.0	2104.0
128790	1.0	0.0
126129	108.0	138.0
126123	0.0	0.0
442862	0.0	0.0
126119	286.0	611.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	1.0	0.0
442893	1.0	0.0
442894	1.0	0.0
442895	1.0	0.0
114131	0.0	0.0
442896	0.0	1.0
114132	9.0	5.0
442897	0.0	0.0
442898	0.0	2.0
114134	686.0	1359.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	0.0
100128788	113.0	222.0
100128787	0.0	0.0
440225	0.0	0.0
440224	4.0	17.0
442890	0.0	0.0
442891	0.0	1.0
442892	1.0	0.0
128756	0.0	0.0
100128782	303.0	186.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	2.0	0.0
403236	0.0	0.0
63982	69.0	19.0
102466616	0.0	0.0
126052	0.0	0.0
151009	40.0	25.0
403227	1.0	0.0
403228	0.0	0.0
138046	9.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	1.0
645572	0.0	0.0
645571	3.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1132.0	987.0
107131122	0.0	0.0
138050	7269.0	5326.0
403219	2.0	0.0
151011	7640.0	4415.0
645587	3.0	103.0
165679	320.0	398.0
126037	51.0	65.0
114049	3203.0	3942.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	547.0	645.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2012.0	2002.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	309.0	239.0
100033820	0.0	0.0
106481480	1.0	2.0
106481481	0.0	0.0
138065	120.0	381.0
645598	0.0	0.0
163007	6.0	9.0
114038	2.0	1.0
645591	0.0	3.0
106481495	1.0	0.0
114041	461.0	219.0
106481496	0.0	0.0
114042	2.0	0.0
106481493	0.0	0.0
114043	11.0	10.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	386.0	251.0
126017	784.0	1264.0
106481497	3.0	4.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	1.0
85301	2736.0	787.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	1.0
102466656	0.0	2.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1252.0	4750.0
106481459	0.0	0.0
26994	7510.0	6431.0
106481457	9.0	4.0
26995	2175.0	2632.0
106481458	0.0	0.0
403271	0.0	0.0
26998	8.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1231.0	900.0
403273	0.0	0.0
102466658	1.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	3.0
106481460	5.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1940.0	2909.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	2.0	0.0
106481468	0.0	0.0
106481469	0.0	1.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	5.0	0.0
106481471	0.0	0.0
85329	613.0	220.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	1.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	1208.0	1327.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1040.0	1047.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	1.0
106481437	0.0	0.0
26974	318.0	492.0
153657	122.0	110.0
106481438	10.0	23.0
106481435	0.0	0.0
26973	1186.0	1634.0
165631	82.0	118.0
106481436	0.0	3.0
26978	24.0	13.0
126075	626.0	959.0
106481439	0.0	0.0
403250	0.0	0.0
126074	289.0	287.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1335.0	1245.0
106481444	6.0	19.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2317.0	1586.0
85354	0.0	0.0
85352	35.0	75.0
403241	0.0	2.0
344462	2.0	0.0
403244	0.0	0.0
403245	0.0	1.0
153642	477.0	310.0
153643	11.0	45.0
403247	0.0	0.0
403248	0.0	0.0
26985	3770.0	4659.0
106481448	0.0	0.0
26986	107664.0	75617.0
126069	228.0	150.0
106481449	0.0	0.0
126068	1208.0	857.0
106481446	0.0	0.0
26983	0.0	0.0
26984	952.0	963.0
106481447	0.0	0.0
106481451	4.0	3.0
106481452	0.0	0.0
106481450	1.0	2.0
114088	742.0	161.0
106481455	0.0	0.0
85349	92.0	64.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	5.0	3.0
106481454	1.0	0.0
403238	0.0	0.0
85344	7.0	8.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	8.0	52.0
85340	0.0	0.0
100873394	1.0	3.0
100873393	2.0	3.0
100873392	1.0	10.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2650.0	4479.0
100873390	0.0	0.0
728556	30.0	31.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	160.0	98.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	734.0	732.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	4.0	1.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	266.0	284.0
100873384	0.0	0.0
285601	15.0	9.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	0.0	3.0
63910	176.0	103.0
106481424	1.0	0.0
106481425	0.0	0.0
285605	870.0	851.0
222008	4.0	17.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2979.0	2927.0
63904	0.0	0.0
106481430	0.0	1.0
163071	63.0	36.0
63906	826.0	730.0
106481433	0.0	0.0
63908	909.0	897.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	1.0
285613	50.0	73.0
63920	439.0	375.0
63923	2107.0	505.0
63922	473.0	848.0
728577	60.0	19.0
63925	2007.0	2010.0
63924	2889.0	893.0
63916	3117.0	3435.0
63917	3745.0	4048.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	2.0
728564	3.0	1.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1829.0	1427.0
106481402	0.0	0.0
63931	2055.0	3115.0
106481403	0.0	0.0
63934	1079.0	307.0
728567	7.0	1.0
106481408	0.0	0.0
163088	11.0	11.0
63933	2119.0	2225.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4279.0	3084.0
163087	1187.0	939.0
728568	436.0	307.0
106481407	11.0	5.0
3704	1405.0	1591.0
3705	3081.0	3815.0
63926	981.0	1426.0
3706	5.0	52.0
63929	1434.0	1758.0
3707	3763.0	2990.0
63928	2.0	1.0
3708	11818.0	7355.0
106481411	0.0	1.0
3709	11756.0	8757.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	37.0	25.0
3702	270.0	109.0
3703	9397.0	17959.0
645506	1.0	0.0
151050	1132.0	707.0
645520	0.0	0.0
63941	1039.0	1635.0
63940	791.0	847.0
63943	377.0	374.0
728517	0.0	0.0
163033	401.0	613.0
258010	2246.0	2791.0
63947	0.0	0.0
63946	0.0	2.0
728513	0.0	0.0
100033803	0.0	0.0
3716	17436.0	17923.0
100033804	0.0	0.0
3717	1350.0	1499.0
100033805	0.0	0.0
3718	630.0	509.0
63939	1802.0	1295.0
100033806	0.0	0.0
100190799	5.0	10.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	138.0	94.0
3710	4311.0	4502.0
3712	5152.0	6211.0
3713	0.0	0.0
3714	3668.0	2113.0
63950	1.0	1.0
728505	0.0	1.0
63951	72.0	41.0
100033807	0.0	0.0
728501	35.0	25.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	9374.0	12816.0
100033814	0.0	0.0
3727	10396.0	7887.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	3.0
3728	21363.0	28851.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2343.0	2123.0
151056	438.0	192.0
3725	29124.0	18085.0
645528	3.0	2.0
728532	18.0	18.0
163059	418.0	400.0
728538	0.0	1.0
728537	374.0	209.0
63967	44.0	85.0
3737	55.0	7.0
3738	160.0	51.0
3739	3.0	1.0
645538	0.0	0.0
3730	1595.0	1418.0
3732	6781.0	4611.0
3734	1.0	0.0
3735	9481.0	5033.0
3736	42.0	34.0
63970	565.0	189.0
3750	245.0	332.0
63971	7458.0	4620.0
63974	0.0	0.0
163049	3241.0	3630.0
63973	89.0	30.0
63976	332.0	100.0
222068	5270.0	7363.0
63978	0.0	0.0
63977	838.0	828.0
63979	1368.0	1122.0
728524	0.0	0.0
3748	567.0	492.0
163051	57.0	63.0
3749	4405.0	995.0
163050	59.0	83.0
3741	31.0	16.0
645548	4.0	7.0
3743	9.0	2.0
3744	0.0	0.0
3745	983.0	170.0
3746	61.0	24.0
3747	124.0	3656.0
285671	1015.0	675.0
285672	2117.0	1597.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	33.0	6.0
285676	129.0	43.0
3761	0.0	7.0
100128657	0.0	0.0
285679	4.0	3.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	699.0	290.0
283008	2.0	0.0
3751	159.0	93.0
100873435	1.0	0.0
3752	1478.0	2679.0
100873434	0.0	0.0
3753	54.0	19.0
100873433	0.0	1.0
3754	47.0	1024.0
100873432	0.0	0.0
3755	123.0	46.0
100873439	0.0	0.0
3756	17.0	13.0
100873438	0.0	0.0
3757	108.0	158.0
100873437	0.0	0.0
3758	15.0	1.0
100873436	0.0	0.0
100873420	4.0	0.0
3770	209.0	137.0
3772	81.0	59.0
100861458	0.0	0.0
100861453	16.0	7.0
100861455	0.0	0.0
1107	11815.0	13436.0
1106	10843.0	9650.0
1105	3845.0	3258.0
1104	1739.0	1474.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1693.0	951.0
1101	926.0	3613.0
3762	259.0	201.0
100873424	0.0	0.0
3763	8.0	0.0
100128640	438.0	138.0
100873423	0.0	0.0
3764	988.0	2633.0
100873422	0.0	0.0
3765	7.0	2.0
100873421	3.0	0.0
3766	19.0	37.0
100873428	0.0	0.0
3767	261.0	1357.0
100873427	0.0	0.0
3768	139.0	40.0
1109	0.0	0.0
100873426	1.0	2.0
1108	14763.0	20406.0
3769	17.0	30.0
100873425	0.0	0.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	53.0	57.0
100873453	0.0	0.0
3781	42.0	31.0
100873452	0.0	0.0
3782	401.0	263.0
100873451	0.0	0.0
3783	3691.0	549.0
100873450	0.0	0.0
1121	1839.0	1793.0
100861468	0.0	0.0
1120	208.0	137.0
100861469	1.0	0.0
1118	633.0	166.0
1117	2115.0	2919.0
1116	4291.0	4273.0
1114	40.0	17.0
1113	33.0	21.0
1112	6225.0	3103.0
1111	437.0	367.0
3773	724.0	130.0
100873457	1.0	4.0
100873456	0.0	1.0
3775	571.0	2148.0
100873455	0.0	0.0
3776	811.0	182.0
100873454	0.0	0.0
3777	241.0	111.0
3778	2066.0	3478.0
3779	4288.0	1095.0
100873459	0.0	0.0
1119	3987.0	2503.0
100128627	5.0	2.0
100128626	0.0	0.0
3790	2212.0	3200.0
100128628	1.0	6.0
3791	5319.0	2552.0
100873442	0.0	0.0
3792	83.0	100.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	12.0	20.0
1131	419.0	132.0
1130	3335.0	3839.0
100861476	0.0	0.0
1129	2.0	0.0
1128	1388.0	598.0
1124	201.0	411.0
1123	707.0	363.0
1122	1988.0	1262.0
100861470	0.0	0.0
3784	961.0	4131.0
100873446	0.0	0.0
3785	1.0	4.0
100873445	0.0	0.0
3786	270.0	282.0
100873444	0.0	0.0
3787	429.0	37.0
100873443	0.0	0.0
3788	3.0	16.0
100873449	16.0	8.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	224.0	200.0
100128618	1.0	0.0
728597	1.0	0.0
100128617	0.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	66.0	24.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	2.0	4.0
285634	2.0	5.0
1142	0.0	0.0
1141	286.0	256.0
285636	2955.0	2865.0
1140	493.0	439.0
728599	5.0	1.0
1139	41.0	17.0
1138	98.0	35.0
1137	7.0	2.0
100861485	0.0	0.0
1136	17.0	14.0
1135	10.0	9.0
1134	10.0	3.0
1133	13.0	12.0
3795	259.0	136.0
100873479	2.0	2.0
3796	1882.0	1661.0
100873478	0.0	0.0
3797	1174.0	712.0
100873477	4.0	6.0
3798	350.0	164.0
100873476	0.0	0.0
3799	13721.0	15938.0
100873460	0.0	0.0
728586	38.0	24.0
285641	2.0	0.0
100873464	3.0	2.0
100873463	1.0	1.0
100873462	2.0	2.0
285643	2.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2121.0	3912.0
1153	28970.0	27472.0
1152	1175.0	1853.0
285647	33.0	32.0
728589	21.0	29.0
728588	1.0	3.0
1149	253.0	172.0
1147	1690.0	1683.0
1146	5.0	4.0
1145	90.0	34.0
1144	0.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	1.0	0.0
100873469	0.0	0.0
100873493	0.0	1.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	257.0	703.0
1163	1163.0	1154.0
285659	0.0	0.0
1161	572.0	542.0
1160	380.0	197.0
1159	165.0	167.0
1158	3.0	2.0
1157	0.0	0.0
1155	1535.0	2594.0
550643	1310.0	1258.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	1.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2057.0	1533.0
1175	2131.0	2859.0
285668	10.0	4.0
1174	1564.0	3066.0
1173	13153.0	12511.0
550631	146.0	169.0
100873489	0.0	0.0
283014	1.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	35.0	69.0
1186	2630.0	4234.0
1185	2176.0	1155.0
1184	403.0	221.0
1183	428.0	198.0
1182	9971.0	9141.0
1181	300.0	519.0
440375	45.0	63.0
1180	49.0	38.0
1179	0.0	0.0
1178	0.0	0.0
283089	17.0	8.0
85495	0.0	0.0
85480	201.0	81.0
283080	0.0	0.0
1198	3076.0	2917.0
1197	0.0	1.0
1196	2094.0	3400.0
1195	6918.0	6409.0
440366	3.0	1.0
1193	1258.0	682.0
1192	9409.0	13784.0
1191	52976.0	45657.0
1188	48.0	31.0
283078	88.0	23.0
85486	14.0	3.0
128615	0.0	0.0
85481	1.0	0.0
128611	93.0	33.0
440396	74.0	72.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	0.0
128674	2.0	1.0
128676	0.0	0.0
114026	0.0	1.0
100861402	2.0	7.0
126014	97.0	157.0
440335	684.0	2290.0
100128690	0.0	0.0
114034	831.0	792.0
126006	51.0	85.0
114036	30.0	29.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	36.0	112.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	2.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	239.0	170.0
440356	2.0	4.0
440354	102.0	106.0
440352	1.0	3.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	2.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	10.0	19.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	152.0	53.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	213.0	197.0
200734	4443.0	3951.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	2.0
100873408	0.0	0.0
100873407	2.0	0.0
100861430	0.0	2.0
100873402	0.0	0.0
100873401	2.0	5.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3767.0	3543.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	1.0
100873403	0.0	0.0
645440	0.0	0.0
645443	7.0	6.0
165530	80.0	20.0
85409	289.0	234.0
106481385	0.0	0.0
106481386	1.0	1.0
85416	9.0	1.0
106481383	0.0	6.0
85417	48.0	116.0
106481384	1.0	0.0
103106903	2.0	2.0
85414	291.0	256.0
106481389	0.0	0.0
85415	3665.0	3758.0
106481387	0.0	0.0
85413	8.0	1.0
106481388	4.0	3.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	39.0	58.0
106481380	0.0	0.0
11	0.0	2.0
403341	1290.0	1005.0
12	204.0	1994.0
13	35.0	0.0
14	5652.0	6860.0
15	7.0	2.0
16	6304.0	5380.0
645455	16.0	8.0
18	1526.0	13580.0
19	2218.0	2381.0
128580	14.0	7.0
85407	119.0	192.0
106481396	0.0	0.0
106481397	0.0	1.0
106481394	0.0	0.0
85406	1617.0	1759.0
106481395	1.0	0.0
85403	1736.0	2184.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	4691.0	3676.0
106481390	0.0	0.0
21	3325.0	2932.0
106481391	0.0	0.0
22	1777.0	1769.0
153571	632.0	275.0
153572	5735.0	1951.0
23	3913.0	4172.0
24	223.0	369.0
25	6713.0	6579.0
26	11.0	9.0
27	2574.0	3520.0
28	646.0	209.0
29	5614.0	6363.0
153579	2142.0	486.0
728615	4.0	0.0
728614	0.0	0.0
200765	394.0	179.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	20.0	10.0
102466518	2.0	0.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	1.0
106481361	0.0	0.0
85439	934.0	1035.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2932.0	2395.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	292.0	377.0
106481366	0.0	0.0
30	2352.0	3041.0
106481360	1.0	0.0
31	6183.0	7942.0
32	5370.0	1911.0
33	127.0	50.0
34	3350.0	5228.0
35	1430.0	1164.0
153562	1501.0	1635.0
36	5725.0	7907.0
37	15571.0	13550.0
38	3126.0	3955.0
440307	11.0	22.0
39	1569.0	1283.0
165545	4.0	32.0
106481369	0.0	0.0
728606	135.0	1145.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	2.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	1.0	0.0
40	18.0	8.0
106481370	0.0	0.0
41	997.0	146.0
106481371	0.0	0.0
43	153.0	68.0
645486	0.0	0.0
47	7385.0	11743.0
48	4183.0	3063.0
49	41.0	13.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	11.0	6.0
106481340	0.0	0.0
