id	54a62dcd-c9a6-4a97-85c9-62e364766fca	b140b49a-5eb6-4272-a534-ab9a3685b87e
85364	1751.0	2420.0
85365	3100.0	1993.0
85363	2023.0	2004.0
85360	686.0	525.0
1080	58.0	9.0
85391	14.0	7.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	477.0	562.0
1087	11.0	9.0
1086	0.0	0.0
440279	18.0	1.0
1085	1.0	0.0
1084	0.0	3.0
440278	77.0	114.0
1082	0.0	0.0
403294	0.0	0.0
440275	4837.0	4801.0
1081	10.0	1.0
85397	3.0	8.0
85395	315.0	722.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	1658.0	587.0
1089	3.0	13.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	0.0	3.0
285598	916.0	529.0
126133	1132.0	2599.0
128790	0.0	1.0
126129	218.0	96.0
126123	0.0	1.0
442862	0.0	0.0
126119	317.0	1141.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	2.0	0.0
442896	0.0	0.0
114132	4.0	4.0
442897	0.0	0.0
442898	1.0	3.0
114134	388.0	809.0
442899	0.0	0.0
100128790	0.0	0.0
128760	12.0	4.0
100128788	69.0	213.0
100128787	0.0	0.0
440225	0.0	0.0
440224	4.0	38.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	0.0	0.0
100128782	215.0	80.0
100128781	4.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	84.0	368.0
102466616	0.0	0.0
126052	0.0	0.0
151009	53.0	27.0
403227	17.0	0.0
403228	1.0	1.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	2.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1155.0	56.0
107131122	4.0	0.0
138050	8184.0	11441.0
403219	0.0	0.0
151011	5722.0	2092.0
645587	2.0	0.0
165679	638.0	2906.0
126037	59.0	64.0
114049	3720.0	6985.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	115.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	570.0	390.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2356.0	1423.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	273.0	110.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	222.0	155.0
645598	0.0	0.0
163007	3.0	7.0
114038	2.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	72.0	13.0
106481496	0.0	0.0
114042	2.0	0.0
106481493	0.0	0.0
114043	15.0	4.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	319.0	269.0
126017	699.0	940.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	1648.0	2045.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	2.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2234.0	4869.0
106481459	0.0	0.0
26994	9468.0	6064.0
106481457	13.0	11.0
26995	2320.0	3601.0
106481458	0.0	0.0
403271	0.0	0.0
26998	8.0	1.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1041.0	2659.0
403273	0.0	0.0
102466658	1.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	6.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1728.0	3940.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	42.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	22.0	17.0
106481472	0.0	0.0
106481477	0.0	2.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	3224.0	609.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	922.0	702.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	2.0
106481437	0.0	0.0
26974	417.0	332.0
153657	76.0	65.0
106481438	6.0	6.0
106481435	0.0	0.0
26973	1467.0	1690.0
165631	59.0	98.0
106481436	0.0	0.0
26978	8.0	8.0
126075	908.0	986.0
106481439	0.0	0.0
403250	0.0	1.0
126074	281.0	700.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1673.0	2094.0
106481444	17.0	2.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1325.0	576.0
85354	0.0	0.0
85352	49.0	109.0
403241	0.0	1.0
344462	1.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	487.0	227.0
153643	23.0	11.0
403247	0.0	0.0
403248	0.0	0.0
26985	4172.0	2290.0
106481448	0.0	0.0
26986	74639.0	76233.0
126069	194.0	201.0
106481449	0.0	0.0
126068	1188.0	804.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1022.0	1254.0
106481447	0.0	0.0
106481451	4.0	6.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	315.0	40.0
106481455	0.0	0.0
85349	183.0	77.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	3.0	4.0
106481454	0.0	0.0
403238	0.0	0.0
85344	4.0	13.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	18.0	6.0
85340	0.0	0.0
100873394	4.0	0.0
100873393	0.0	1.0
100873392	5.0	7.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2399.0	4824.0
100873390	0.0	0.0
728556	32.0	36.0
106481419	0.0	1.0
100128817	1.0	0.0
728558	110.0	59.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	4.0
163081	611.0	413.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	2.0	2.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	3.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	3.0	0.0
100128801	0.0	0.0
285600	215.0	115.0
100873384	0.0	0.0
285601	5.0	13.0
106481426	0.0	0.0
106481427	2.0	0.0
222005	1.0	1.0
63910	101.0	87.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	732.0	473.0
222008	3.0	60.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4064.0	5443.0
63904	0.0	0.0
106481430	0.0	0.0
163071	20.0	219.0
63906	724.0	870.0
106481433	0.0	0.0
63908	611.0	797.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	1.0
100873388	0.0	0.0
285613	33.0	49.0
63920	453.0	364.0
63923	480.0	1733.0
63922	323.0	2010.0
728577	226.0	12.0
63925	1717.0	1720.0
63924	34.0	30.0
63916	3030.0	5011.0
63917	3225.0	2744.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	5.0	4.0
728564	1.0	2.0
285622	0.0	4.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1594.0	1845.0
106481402	0.0	0.0
63931	2171.0	2725.0
106481403	0.0	0.0
63934	710.0	424.0
728567	4.0	7.0
106481408	0.0	0.0
163088	9.0	5.0
63933	1994.0	2060.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3372.0	4391.0
163087	817.0	503.0
728568	344.0	499.0
106481407	2.0	11.0
3704	988.0	2210.0
3705	2451.0	12080.0
63926	839.0	1137.0
3706	1.0	13.0
63929	1062.0	1259.0
3707	3732.0	3162.0
63928	2.0	1.0
3708	13037.0	1572.0
106481411	2.0	1.0
3709	8864.0	1503.0
106481412	0.0	0.0
106481410	4.0	0.0
3700	30.0	21.0
3702	133.0	231.0
3703	10599.0	15522.0
645506	0.0	0.0
151050	1024.0	740.0
645520	0.0	0.0
63941	1494.0	3390.0
63940	689.0	849.0
63943	457.0	2034.0
728517	0.0	0.0
163033	318.0	942.0
258010	2819.0	2870.0
63947	0.0	0.0
63946	1.0	4.0
728513	2.0	0.0
100033803	0.0	0.0
3716	15159.0	11146.0
100033804	0.0	0.0
3717	1024.0	3315.0
100033805	0.0	0.0
3718	427.0	488.0
63939	1170.0	860.0
100033806	0.0	0.0
100190799	3.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	112.0	10.0
3710	3705.0	1395.0
3712	6940.0	6883.0
3713	2.0	0.0
3714	3362.0	1646.0
63950	0.0	0.0
728505	1.0	0.0
63951	169.0	18.0
100033807	0.0	0.0
728501	30.0	28.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	10302.0	10387.0
100033814	0.0	0.0
3727	7073.0	6071.0
63948	0.0	0.0
100033815	0.0	0.0
222052	2.0	0.0
3728	30552.0	42514.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1712.0	2863.0
151056	265.0	119.0
3725	23862.0	8170.0
645528	0.0	0.0
728532	19.0	26.0
163059	600.0	722.0
728538	3.0	0.0
728537	337.0	86.0
63967	27.0	111.0
3737	14.0	2.0
3738	20.0	15.0
3739	0.0	1.0
645538	0.0	0.0
3730	1457.0	649.0
3732	3788.0	8707.0
3734	2.0	0.0
3735	8401.0	7603.0
3736	39.0	17.0
63970	381.0	26.0
3750	288.0	146.0
63971	6310.0	1817.0
63974	0.0	0.0
163049	2717.0	2052.0
63973	119.0	0.0
63976	89.0	38.0
222068	6263.0	8031.0
63978	0.0	0.0
63977	685.0	636.0
63979	871.0	797.0
728524	0.0	0.0
3748	1180.0	7284.0
163051	50.0	68.0
3749	2575.0	213.0
163050	76.0	80.0
3741	31.0	9.0
645548	12.0	12.0
3743	5.0	2.0
3744	0.0	0.0
3745	660.0	15.0
3746	26.0	5.0
3747	118.0	0.0
285671	913.0	284.0
285672	1809.0	1353.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	17.0	0.0
285676	69.0	21.0
3761	0.0	1.0
100128657	0.0	0.0
285679	0.0	3.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1096.0	220.0
283008	0.0	0.0
3751	305.0	173.0
100873435	0.0	0.0
3752	1651.0	129.0
100873434	0.0	0.0
3753	80.0	7.0
100873433	0.0	1.0
3754	58.0	153.0
100873432	0.0	0.0
3755	97.0	13.0
100873439	0.0	0.0
3756	10.0	322.0
100873438	0.0	0.0
3757	62.0	13.0
100873437	0.0	0.0
3758	4.0	2.0
100873436	0.0	0.0
100873420	5.0	0.0
3770	182.0	65.0
3772	79.0	112.0
100861458	0.0	0.0
100861453	24.0	12.0
100861455	0.0	0.0
1107	11626.0	11203.0
1106	6530.0	3254.0
1105	3805.0	1328.0
1104	1799.0	1691.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1511.0	406.0
1101	813.0	179.0
3762	290.0	188.0
100873424	0.0	0.0
3763	2.0	34.0
100128640	207.0	85.0
100873423	0.0	0.0
3764	1133.0	288.0
100873422	0.0	0.0
3765	0.0	5.0
100873421	0.0	0.0
3766	8.0	51.0
100873428	0.0	0.0
3767	575.0	1610.0
100873427	0.0	2.0
3768	41.0	27.0
1109	1.0	0.0
100873426	0.0	0.0
1108	16667.0	16462.0
3769	53.0	6.0
100873425	1.0	0.0
100128637	0.0	1.0
100128639	0.0	1.0
3780	56.0	9.0
100873453	0.0	0.0
3781	38.0	63.0
100873452	0.0	0.0
3782	200.0	131.0
100873451	0.0	0.0
3783	2220.0	332.0
100873450	0.0	0.0
1121	2053.0	627.0
100861468	0.0	0.0
1120	210.0	159.0
100861469	0.0	0.0
1118	951.0	455.0
1117	2000.0	2138.0
1116	9435.0	1472.0
1114	84.0	12.0
1113	9.0	4.0
1112	3311.0	2316.0
1111	280.0	873.0
3773	804.0	4.0
100873457	1.0	1.0
100873456	0.0	0.0
3775	1025.0	562.0
100873455	0.0	0.0
3776	1343.0	56.0
100873454	0.0	0.0
3777	335.0	33.0
3778	4343.0	222.0
3779	3752.0	286.0
100873459	0.0	0.0
1119	2179.0	3698.0
100128627	3.0	4.0
100128626	0.0	0.0
3790	1284.0	385.0
100128628	4.0	1.0
3791	2371.0	1487.0
100873442	0.0	0.0
3792	150.0	3.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	12.0
1131	124.0	22.0
1130	2512.0	1228.0
100861476	0.0	1.0
1129	0.0	0.0
1128	294.0	218.0
1124	189.0	238.0
1123	1262.0	472.0
1122	1290.0	2008.0
100861470	0.0	0.0
3784	612.0	203.0
100873446	0.0	0.0
3785	1.0	0.0
100873445	0.0	0.0
3786	128.0	117.0
100873444	0.0	0.0
3787	164.0	10.0
100873443	0.0	0.0
3788	8.0	14.0
100873449	5.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	120.0	26.0
100128618	0.0	0.0
728597	3.0	0.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	104.0	12.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	14.0	0.0
285634	3.0	2.0
1142	0.0	0.0
1141	263.0	412.0
285636	2527.0	2320.0
1140	801.0	1338.0
728599	6.0	2.0
1139	33.0	8.0
1138	87.0	38.0
1137	0.0	0.0
100861485	0.0	0.0
1136	11.0	3.0
1135	27.0	483.0
1134	15.0	41.0
1133	17.0	11.0
3795	317.0	267.0
100873479	7.0	2.0
3796	1359.0	660.0
100873478	0.0	0.0
3797	1201.0	632.0
100873477	5.0	1.0
3798	374.0	21.0
100873476	0.0	0.0
3799	13105.0	5229.0
100873460	0.0	0.0
728586	26.0	14.0
285641	3.0	0.0
100873464	3.0	5.0
100873463	0.0	0.0
100873462	5.0	2.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1957.0	10742.0
1153	18908.0	15875.0
1152	950.0	389.0
285647	27.0	14.0
728589	33.0	32.0
728588	7.0	52.0
1149	58.0	14.0
1147	1603.0	1048.0
1146	2.0	4.0
1145	54.0	109.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	805.0	1926.0
1163	822.0	2195.0
285659	0.0	0.0
1161	436.0	351.0
1160	126.0	40.0
1159	98.0	539.0
1158	6.0	2.0
1157	0.0	0.0
1155	1926.0	3882.0
550643	1217.0	610.0
283025	0.0	2.0
100873499	0.0	1.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	1.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2003.0	2559.0
1175	2350.0	9373.0
285668	4.0	1.0
1174	1856.0	4238.0
1173	14626.0	27898.0
550631	223.0	267.0
100873489	0.0	0.0
283014	7.0	7.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	37.0	18.0
1186	3031.0	5893.0
1185	1256.0	626.0
1184	292.0	299.0
1183	248.0	255.0
1182	8293.0	3705.0
1181	330.0	865.0
440375	49.0	30.0
1180	86.0	4.0
1179	1.0	3.0
1178	0.0	0.0
283089	20.0	2.0
85495	0.0	0.0
85480	347.0	34.0
283080	0.0	0.0
1198	2533.0	2568.0
1197	0.0	1.0
1196	1749.0	5492.0
1195	5892.0	2718.0
440366	1.0	5.0
1193	726.0	626.0
1192	14505.0	23044.0
1191	54740.0	62683.0
1188	63.0	5.0
283078	49.0	22.0
85486	6.0	14.0
128615	2.0	0.0
85481	0.0	4.0
128611	45.0	53.0
440396	61.0	150.0
128609	0.0	1.0
128602	0.0	36.0
440387	0.0	0.0
128674	0.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	2.0	2.0
126014	117.0	203.0
440335	1218.0	380.0
100128690	0.0	0.0
114034	864.0	949.0
126006	95.0	180.0
114036	17.0	32.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	63.0	34.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	3.0
200728	179.0	51.0
440356	7.0	136.0
440354	53.0	62.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	1.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	18.0
100873410	0.0	0.0
100873417	5.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	148.0	437.0
100861435	2.0	0.0
100861436	0.0	0.0
440345	204.0	218.0
200734	4065.0	3549.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	1.0
100873408	0.0	0.0
100873407	0.0	1.0
100861430	0.0	3.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4011.0	3691.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	7.0	3.0
165530	94.0	10.0
85409	222.0	485.0
106481385	0.0	0.0
106481386	1.0	1.0
85416	3.0	0.0
106481383	2.0	2.0
85417	78.0	29.0
106481384	0.0	0.0
103106903	5.0	3.0
85414	246.0	95.0
106481389	0.0	0.0
85415	2556.0	1230.0
106481387	0.0	0.0
85413	12.0	2.0
106481388	4.0	4.0
645436	4.0	0.0
106481381	0.0	1.0
106481382	0.0	0.0
10	7.0	16.0
106481380	0.0	0.0
11	0.0	0.0
403341	1327.0	466.0
12	433.0	256.0
13	10.0	5.0
14	5790.0	10260.0
15	5.0	1.0
16	6891.0	9511.0
645455	12.0	0.0
18	3179.0	34795.0
19	2872.0	787.0
128580	24.0	10.0
85407	88.0	191.0
106481396	0.0	0.0
106481397	2.0	0.0
106481394	0.0	0.0
85406	1886.0	1496.0
106481395	0.0	0.0
85403	1886.0	1369.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	3455.0	1369.0
106481390	0.0	0.0
21	3766.0	13312.0
106481391	0.0	0.0
22	1479.0	1293.0
153571	464.0	634.0
153572	3888.0	1377.0
23	4272.0	9487.0
24	662.0	26.0
25	5609.0	3413.0
26	9.0	78.0
27	1719.0	2224.0
28	418.0	2190.0
29	6224.0	3278.0
153579	1021.0	126.0
728615	0.0	2.0
728614	0.0	0.0
200765	226.0	592.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	20.0	11.0
102466518	0.0	1.0
102466516	0.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	0.0	2.0
85439	1088.0	172.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2833.0	3268.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	154.0	122.0
106481366	0.0	0.0
30	3118.0	7137.0
106481360	0.0	0.0
31	5009.0	5878.0
32	2781.0	303.0
33	45.0	4.0
34	3686.0	2755.0
35	1531.0	1692.0
153562	2356.0	1154.0
36	10086.0	4047.0
37	15789.0	26275.0
38	3165.0	6331.0
440307	7.0	3.0
39	1000.0	966.0
165545	4.0	708.0
106481369	0.0	0.0
728606	42.0	37.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	1.0
106481379	0.0	0.0
106481376	2.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	27.0	1.0
106481370	0.0	0.0
41	240.0	158.0
106481371	0.0	0.0
43	78.0	42.0
645486	0.0	1.0
47	8985.0	22567.0
48	3065.0	1879.0
49	8.0	5.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	1.0	4.0
106481340	0.0	0.0
85458	5248.0	1886.0
106481345	0.0	0.0
85459	764.0	711.0
