id	98921931-2f32-470d-97ae-824716d1c034	f6466e05-5aea-4d32-a97a-c65589f327e2
403227	0.0	0.0
403228	0.0	0.0
138046	4.0	89.0
645558	0.0	0.0
403229	0.0	7.0
645573	0.0	7.0
645572	0.0	0.0
645571	6.0	5.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	97.0	749.0
107131122	0.0	0.0
138050	6632.0	6132.0
403219	0.0	0.0
151011	5856.0	4516.0
645587	2.0	12.0
165679	67.0	300.0
126037	13.0	85.0
114049	1538.0	5782.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	30.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	519.0	589.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1596.0	2464.0
106481486	1.0	0.0
106481487	0.0	0.0
645579	197.0	204.0
100033820	0.0	0.0
106481480	3.0	0.0
106481481	0.0	0.0
138065	19.0	67.0
645598	0.0	0.0
163007	8.0	6.0
114038	1.0	3.0
645591	0.0	0.0
106481495	0.0	2.0
114041	57.0	15.0
106481496	0.0	0.0
114042	5.0	4.0
106481493	0.0	0.0
114043	29.0	81.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	173.0	400.0
126017	347.0	723.0
106481497	2.0	2.0
106481498	0.0	3.0
85303	0.0	0.0
85300	0.0	1.0
85301	466.0	1089.0
106481491	0.0	2.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	6.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	609.0	7849.0
106481459	0.0	0.0
26994	8805.0	8023.0
106481457	7.0	53.0
26995	1228.0	2347.0
106481458	0.0	0.0
403271	0.0	0.0
26998	2.0	0.0
403272	0.0	1.0
102466659	0.0	0.0
26999	465.0	4780.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	1.0	4.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	744.0	3629.0
106481467	0.0	0.0
106481464	2.0	1.0
106481465	0.0	0.0
104310351	0.0	4.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	3.0
403266	0.0	0.0
138009	0.0	18.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	11871.0	14.0
106481472	0.0	0.0
106481477	0.0	4.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	189.0	1660.0
106481470	3.0	3.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	537.0	1765.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	0.0
106481437	0.0	0.0
26974	167.0	139.0
153657	20.0	361.0
106481438	0.0	69.0
106481435	0.0	0.0
26973	882.0	2111.0
165631	62.0	434.0
106481436	1.0	2.0
26978	11.0	9.0
126075	159.0	1828.0
106481439	0.0	0.0
403250	0.0	0.0
126074	62.0	306.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	762.0	933.0
106481444	5.0	23.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3584.0	1120.0
85354	0.0	0.0
85352	27.0	218.0
403241	0.0	5.0
344462	0.0	4.0
403244	0.0	0.0
403245	0.0	2.0
153642	532.0	481.0
153643	2.0	900.0
403247	0.0	0.0
403248	0.0	0.0
26985	4093.0	6459.0
106481448	0.0	0.0
26986	55269.0	84373.0
126069	125.0	256.0
106481449	0.0	0.0
126068	626.0	1409.0
106481446	0.0	0.0
26983	0.0	1.0
26984	868.0	1036.0
106481447	0.0	0.0
106481451	1.0	8.0
106481452	0.0	4.0
106481450	0.0	0.0
114088	182.0	69.0
106481455	0.0	1.0
85349	11.0	88.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	6.0
85347	0.0	0.0
26980	5.0	3.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	19.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	41.0
85340	0.0	0.0
100873394	0.0	1.0
100873393	2.0	4.0
100873392	2.0	5.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	1634.0	7219.0
100873390	0.0	0.0
728556	32.0	89.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	111.0	120.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	1.0
163081	328.0	568.0
106481423	2.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	2.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	10.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	164.0	510.0
100873384	0.0	0.0
285601	29.0	12.0
106481426	0.0	0.0
106481427	0.0	3.0
222005	0.0	1.0
63910	62.0	145.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	499.0	1684.0
222008	10.0	10.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	1725.0	2493.0
63904	0.0	0.0
106481430	0.0	3.0
163071	52.0	33.0
63906	379.0	610.0
106481433	0.0	0.0
63908	493.0	1240.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	0.0
285613	4.0	86.0
63920	408.0	465.0
63923	1158.0	1113.0
63922	96.0	1741.0
728577	214.0	56.0
63925	709.0	1765.0
63924	41599.0	28.0
63916	1873.0	3356.0
63917	2579.0	3889.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	0.0	1.0
728564	2.0	1.0
285622	0.0	5.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1198.0	2029.0
106481402	0.0	0.0
63931	1609.0	1944.0
106481403	0.0	2.0
63934	361.0	182.0
728567	2.0	5.0
106481408	0.0	0.0
163088	2.0	3.0
63933	2146.0	2017.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	1765.0	2981.0
163087	797.0	1062.0
728568	222.0	318.0
106481407	8.0	4.0
3704	504.0	1696.0
3705	5317.0	4941.0
63926	869.0	3062.0
3706	3.0	6.0
63929	1244.0	1214.0
3707	4035.0	3914.0
63928	2.0	1.0
3708	3678.0	25892.0
106481411	1.0	0.0
3709	6961.0	13261.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	16.0	53.0
3702	107.0	649.0
3703	5905.0	9914.0
645506	0.0	0.0
151050	1456.0	925.0
645520	0.0	0.0
63941	725.0	2690.0
63940	282.0	1344.0
63943	137.0	496.0
728517	0.0	0.0
163033	195.0	411.0
258010	807.0	2826.0
63947	0.0	0.0
63946	0.0	56.0
728513	0.0	0.0
100033803	0.0	0.0
3716	21201.0	11929.0
100033804	0.0	0.0
3717	2637.0	2758.0
100033805	0.0	0.0
3718	164.0	787.0
63939	1363.0	1320.0
100033806	0.0	0.0
100190799	6.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	86.0	115.0
3710	1003.0	3253.0
3712	3569.0	7313.0
3713	0.0	0.0
3714	936.0	1148.0
63950	1.0	0.0
728505	0.0	0.0
63951	324.0	21.0
100033807	0.0	0.0
728501	40.0	42.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	7722.0	4639.0
100033814	0.0	0.0
3727	10564.0	7745.0
63948	0.0	1.0
100033815	0.0	0.0
222052	1.0	1.0
3728	5005.0	19412.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	874.0	2939.0
151056	84.0	179.0
3725	29989.0	19232.0
645528	5.0	5.0
728532	29.0	48.0
163059	165.0	823.0
728538	0.0	1.0
728537	128.0	383.0
63967	41.0	62.0
3737	69.0	12.0
3738	70.0	69.0
3739	10.0	0.0
645538	0.0	0.0
3730	1947.0	6046.0
3732	1240.0	2064.0
3734	0.0	0.0
3735	8648.0	4504.0
3736	41.0	65.0
63970	78.0	99.0
3750	197.0	190.0
63971	6079.0	6126.0
63974	1.0	0.0
163049	2164.0	3302.0
63973	14.0	2.0
63976	111.0	41.0
222068	4423.0	10608.0
63978	0.0	0.0
63977	315.0	1200.0
63979	582.0	1161.0
728524	0.0	0.0
3748	45.0	1308.0
163051	14.0	54.0
3749	951.0	787.0
163050	17.0	92.0
3741	41.0	25.0
645548	5.0	7.0
3743	3.0	3.0
3744	0.0	0.0
3745	1414.0	15.0
3746	9.0	16.0
3747	32.0	588.0
285671	875.0	382.0
285672	1839.0	1925.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	21.0	1828.0
285676	69.0	44.0
3761	0.0	0.0
100128657	0.0	0.0
285679	3.0	4.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	558.0	144.0
283008	0.0	2.0
3751	449.0	123.0
100873435	0.0	0.0
3752	845.0	3971.0
100873434	0.0	0.0
3753	14.0	15.0
100873433	0.0	0.0
3754	6.0	87.0
100873432	0.0	0.0
3755	13.0	11.0
100873439	0.0	0.0
3756	41.0	21.0
100873438	0.0	0.0
3757	20.0	21.0
100873437	0.0	0.0
3758	4.0	6.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	63.0	211.0
3772	58.0	138.0
100861458	0.0	0.0
100861453	11.0	17.0
100861455	0.0	0.0
1107	3103.0	13455.0
1106	4360.0	12912.0
1105	2585.0	5318.0
1104	456.0	1956.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1349.0	1028.0
1101	94.0	351.0
3762	120.0	414.0
100873424	0.0	0.0
3763	1.0	6.0
100128640	174.0	119.0
100873423	0.0	0.0
3764	2256.0	228.0
100873422	0.0	0.0
3765	2.0	2.0
100873421	0.0	2.0
3766	9.0	39.0
100873428	0.0	0.0
3767	61.0	2438.0
100873427	0.0	0.0
3768	89.0	26.0
1109	2.0	4.0
100873426	1.0	0.0
1108	7753.0	27858.0
3769	1.0	19.0
100873425	0.0	1.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	8.0	18.0
100873453	0.0	0.0
3781	18.0	23.0
100873452	0.0	3.0
3782	413.0	296.0
100873451	0.0	0.0
3783	505.0	361.0
100873450	0.0	0.0
1121	1793.0	2754.0
100861468	0.0	0.0
1120	145.0	175.0
100861469	0.0	0.0
1118	9.0	65.0
1117	560.0	639.0
1116	271.0	762.0
1114	2.0	29.0
1113	5.0	5.0
1112	13686.0	3046.0
1111	231.0	200.0
3773	174.0	24.0
100873457	1.0	3.0
100873456	0.0	0.0
3775	104.0	106.0
100873455	0.0	0.0
3776	119.0	42.0
100873454	0.0	0.0
3777	73.0	41.0
3778	1526.0	9346.0
3779	729.0	447.0
100873459	0.0	0.0
1119	1023.0	2698.0
100128627	3.0	6.0
100128626	0.0	0.0
3790	457.0	630.0
100128628	1.0	13.0
3791	6446.0	1614.0
100873442	0.0	0.0
3792	10.0	88.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	31.0
1131	140.0	91.0
1130	3602.0	3246.0
100861476	0.0	0.0
1129	0.0	1.0
1128	103.0	61.0
1124	539.0	2351.0
1123	404.0	571.0
1122	884.0	863.0
100861470	0.0	0.0
3784	201.0	596.0
100873446	0.0	0.0
3785	0.0	2.0
100873445	0.0	0.0
3786	73.0	297.0
100873444	0.0	0.0
3787	16.0	23.0
100873443	0.0	0.0
3788	6.0	30.0
100873449	3.0	17.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	52.0	69.0
100128618	0.0	1.0
728597	7.0	1.0
100128617	1.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	34.0	192.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	2.0	7.0
285634	4.0	2.0
1142	1.0	0.0
1141	22.0	14.0
285636	2545.0	3939.0
1140	338.0	376.0
728599	3.0	3.0
1139	9.0	12.0
1138	45.0	30.0
1137	19.0	0.0
100861485	0.0	0.0
1136	24.0	14.0
1135	3.0	37.0
1134	3.0	23.0
1133	10.0	22.0
3795	187.0	117.0
100873479	8.0	1.0
3796	1909.0	1832.0
100873478	0.0	0.0
3797	597.0	693.0
100873477	3.0	3.0
3798	42.0	74.0
100873476	0.0	0.0
3799	10391.0	24203.0
100873460	0.0	0.0
728586	4.0	26.0
285641	0.0	0.0
100873464	1.0	8.0
100873463	0.0	0.0
100873462	3.0	8.0
285643	1.0	8.0
100128603	1.0	1.0
100873461	0.0	0.0
1154	273.0	8077.0
1153	15973.0	34558.0
1152	4240.0	713.0
285647	13.0	42.0
728589	20.0	19.0
728588	1.0	6.0
1149	17598.0	3.0
1147	1300.0	2305.0
1146	0.0	8.0
1145	63.0	55.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	1.0	0.0
100873469	0.0	1.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	48.0	931.0
1163	989.0	932.0
285659	0.0	0.0
1161	542.0	541.0
1160	669.0	79.0
1159	21.0	25.0
1158	2.0	5.0
1157	0.0	0.0
1155	769.0	1724.0
550643	688.0	2009.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2635.0	2816.0
1175	1386.0	2475.0
285668	7.0	2.0
1174	585.0	2356.0
1173	8771.0	16414.0
550631	28.0	198.0
100873489	0.0	1.0
283014	6.0	7.0
100873488	0.0	1.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	20.0	134.0
1186	1320.0	6245.0
1185	1979.0	1804.0
1184	374.0	422.0
1183	842.0	288.0
1182	5334.0	9527.0
1181	115.0	411.0
440375	11.0	26.0
1180	38.0	4.0
1179	0.0	2.0
1178	0.0	0.0
283089	5.0	4.0
85495	0.0	0.0
85480	491.0	22.0
283080	0.0	5.0
1198	1810.0	4194.0
1197	0.0	0.0
1196	1070.0	2614.0
1195	6122.0	9799.0
440366	0.0	4.0
1193	1674.0	870.0
1192	6701.0	11736.0
1191	22537.0	38931.0
1188	7.0	55.0
283078	996.0	127.0
85486	3.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	87.0	236.0
440396	24.0	36.0
128609	0.0	0.0
128602	0.0	594.0
440387	0.0	0.0
128674	1.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	5.0	12.0
126014	33.0	182.0
440335	42.0	2799.0
100128690	0.0	0.0
114034	369.0	455.0
126006	3.0	151.0
114036	117.0	18.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	17.0	66.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	1.0
105180391	0.0	0.0
100128682	3.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	213.0	101.0
440356	0.0	4.0
440354	99.0	187.0
440352	0.0	6.0
100873419	0.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	0.0	4.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	0.0	33.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	9.0	2.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	98.0	504.0
200734	2669.0	3192.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	14.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	32.0	17.0
100873402	0.0	0.0
100873401	2.0	4.0
100873400	1.0	0.0
100128665	0.0	0.0
128637	4636.0	3788.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	10.0	0.0
165530	51.0	110.0
85409	15.0	205.0
106481385	1.0	0.0
106481386	1.0	0.0
85416	4.0	0.0
106481383	3.0	5.0
85417	74.0	41.0
106481384	0.0	1.0
103106903	6.0	1.0
85414	141.0	440.0
106481389	0.0	0.0
85415	512.0	2203.0
106481387	0.0	0.0
85413	5.0	1.0
106481388	1.0	12.0
645436	1.0	0.0
106481381	0.0	1.0
106481382	0.0	1.0
10	2.0	1818.0
106481380	0.0	0.0
11	0.0	7.0
403341	1406.0	1100.0
12	43.0	183.0
13	193.0	0.0
14	3149.0	6049.0
15	4.0	10.0
16	4593.0	3650.0
645455	14.0	19.0
18	731.0	13408.0
19	13244.0	4498.0
128580	4.0	6.0
85407	82.0	135.0
106481396	0.0	0.0
106481397	1.0	1.0
106481394	0.0	0.0
85406	773.0	1808.0
106481395	1.0	0.0
85403	1276.0	2817.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	2053.0	5487.0
106481390	0.0	0.0
21	2638.0	6718.0
106481391	0.0	0.0
22	2115.0	2261.0
153571	139.0	944.0
153572	776.0	12695.0
23	2057.0	5147.0
24	150.0	1257.0
25	4722.0	6995.0
26	8.0	18.0
27	1725.0	3643.0
28	354.0	97.0
29	2835.0	4762.0
153579	10741.0	248.0
728615	1.0	2.0
728614	0.0	0.0
200765	97.0	270.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	37.0	8.0
102466518	0.0	0.0
102466516	3.0	0.0
102466515	0.0	0.0
106481363	0.0	1.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	494.0	3416.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2609.0	3378.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	124.0	363.0
106481366	0.0	0.0
30	1894.0	2863.0
106481360	0.0	0.0
31	9082.0	19277.0
32	42263.0	1344.0
33	2099.0	9.0
34	7229.0	4664.0
35	3278.0	829.0
153562	290.0	4082.0
36	3989.0	14980.0
37	12738.0	6694.0
38	10343.0	2789.0
440307	4.0	17.0
39	774.0	612.0
165545	3.0	30.0
106481369	0.0	0.0
728606	3.0	943.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	2.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	5.0	1.0
106481370	0.0	0.0
41	234.0	115.0
106481371	0.0	1.0
43	18.0	34.0
645486	0.0	0.0
47	5316.0	15892.0
48	19361.0	1912.0
49	22.0	7.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	4.0	5.0
106481340	0.0	2.0
85458	4226.0	4998.0
106481345	0.0	0.0
85459	652.0	1723.0
106481346	0.0	2.0
85456	6890.0	15950.0
