id	6a12fc1f-9ef6-48fb-8706-f7d82b86407b	73a8acb0-feba-4c0d-b67a-a1f26d046b0b
26994	9398.0	10783.0
106481457	9.0	0.0
26995	2443.0	2088.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	3.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2185.0	2775.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	1.0
106481460	2.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2870.0	3274.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	2.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	9.0	5.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	1.0
106481475	0.0	0.0
106481476	1.0	0.0
85320	7.0	958.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	707.0	476.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	9.0	7.0
106481437	0.0	0.0
26974	395.0	247.0
153657	37.0	47.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1602.0	1637.0
165631	229.0	284.0
106481436	0.0	0.0
26978	5.0	9.0
126075	1200.0	1271.0
106481439	0.0	0.0
403250	0.0	0.0
126074	291.0	233.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2658.0	3120.0
106481444	13.0	8.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	1.0
85358	3499.0	8885.0
85354	0.0	0.0
85352	77.0	121.0
403241	3.0	0.0
344462	1.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	808.0	609.0
153643	48.0	46.0
403247	0.0	0.0
403248	0.0	0.0
26985	3787.0	3139.0
106481448	0.0	0.0
26986	26792.0	29086.0
126069	101.0	67.0
106481449	0.0	0.0
126068	1057.0	737.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1041.0	1112.0
106481447	0.0	0.0
106481451	3.0	1.0
106481452	2.0	0.0
106481450	0.0	1.0
114088	32.0	45.0
106481455	0.0	0.0
85349	237.0	248.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	1.0	4.0
106481454	0.0	0.0
403238	0.0	0.0
85344	75.0	26.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	1.0	0.0
100873394	0.0	0.0
100873393	1.0	1.0
100873392	0.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1885.0	2578.0
100873390	0.0	0.0
728556	49.0	49.0
106481419	0.0	0.0
100128817	1.0	0.0
728558	145.0	213.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	651.0	541.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	6.0	21.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	229.0	206.0
100873384	0.0	0.0
285601	5.0	27.0
106481426	1.0	0.0
106481427	0.0	2.0
222005	0.0	0.0
63910	348.0	479.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1058.0	524.0
222008	11.0	7.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4603.0	4856.0
63904	0.0	0.0
106481430	1.0	2.0
163071	795.0	516.0
63906	814.0	862.0
106481433	0.0	0.0
63908	1192.0	976.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	6.0	4.0
285613	111.0	111.0
63920	626.0	393.0
63923	206.0	81.0
63922	367.0	535.0
728577	52.0	68.0
63925	1936.0	1811.0
63924	1.0	2.0
63916	3509.0	3805.0
63917	4870.0	4984.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	4.0	2.0
728564	3.0	3.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1610.0	1907.0
106481402	0.0	1.0
63931	2579.0	1832.0
106481403	1.0	0.0
63934	1099.0	997.0
728567	2.0	2.0
106481408	1.0	0.0
163088	5.0	11.0
63933	4922.0	3492.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4723.0	4153.0
163087	932.0	666.0
728568	720.0	561.0
106481407	14.0	14.0
3704	3337.0	3201.0
3705	6052.0	6642.0
63926	953.0	472.0
3706	8.0	23.0
63929	1129.0	883.0
3707	2878.0	4683.0
63928	2.0	1.0
3708	26691.0	10304.0
106481411	2.0	0.0
3709	2034.0	3625.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	36.0	45.0
3702	789.0	194.0
3703	15723.0	12345.0
645506	1.0	0.0
151050	1518.0	1598.0
645520	0.0	0.0
63941	1960.0	1987.0
63940	1314.0	1021.0
63943	763.0	658.0
728517	0.0	0.0
163033	382.0	1060.0
258010	3660.0	3756.0
63947	1.0	0.0
63946	0.0	0.0
728513	2.0	13.0
100033803	0.0	0.0
3716	11060.0	12780.0
100033804	0.0	0.0
3717	1170.0	831.0
100033805	0.0	0.0
3718	824.0	649.0
63939	1136.0	825.0
100033806	0.0	0.0
100190799	5.0	8.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	105.0	100.0
3710	17911.0	13167.0
3712	13558.0	9209.0
3713	0.0	95.0
3714	1231.0	4902.0
63950	6.0	4.0
728505	2.0	0.0
63951	303.0	426.0
100033807	0.0	0.0
728501	41.0	15.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	31527.0	84983.0
100033814	0.0	0.0
3727	11117.0	45675.0
63948	24.0	11.0
100033815	0.0	0.0
222052	3.0	0.0
3728	28760.0	26863.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1433.0	1400.0
151056	171.0	148.0
3725	112320.0	105351.0
645528	3.0	1.0
728532	41.0	30.0
163059	588.0	398.0
728538	1.0	2.0
728537	220.0	231.0
63967	64.0	65.0
3737	72.0	12.0
3738	177.0	74.0
3739	1.0	0.0
645538	0.0	0.0
3730	2053.0	2687.0
3732	2789.0	2754.0
3734	0.0	1.0
3735	6773.0	6485.0
3736	49.0	18.0
63970	6.0	1.0
3750	170.0	258.0
63971	6070.0	6134.0
63974	0.0	0.0
163049	3288.0	2616.0
63973	0.0	0.0
63976	2958.0	1559.0
222068	20412.0	18643.0
63978	0.0	0.0
63977	611.0	515.0
63979	428.0	313.0
728524	0.0	0.0
3748	1404.0	2933.0
163051	48.0	52.0
3749	686.0	1086.0
163050	88.0	48.0
3741	161.0	447.0
645548	4.0	17.0
3743	0.0	2.0
3744	1.0	1.0
3745	110.0	89.0
3746	12.0	13.0
3747	0.0	0.0
285671	1847.0	1387.0
285672	1875.0	1627.0
100873431	0.0	0.0
100873430	0.0	1.0
3760	4.0	11.0
285676	130.0	153.0
3761	3.0	6.0
100128657	1.0	0.0
285679	2.0	1.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	152.0	2747.0
283008	1.0	1.0
3751	59.0	17.0
100873435	0.0	0.0
3752	176.0	174.0
100873434	0.0	0.0
3753	10.0	15.0
100873433	0.0	0.0
3754	14.0	20.0
100873432	0.0	0.0
3755	13.0	14.0
100873439	0.0	0.0
3756	10.0	16.0
100873438	0.0	0.0
3757	19.0	8.0
100873437	0.0	0.0
3758	142.0	67.0
100873436	0.0	0.0
100873420	3.0	0.0
3770	105.0	111.0
3772	8264.0	12261.0
100861458	0.0	0.0
100861453	20.0	19.0
100861455	0.0	0.0
1107	14826.0	11023.0
1106	9188.0	8421.0
1105	2470.0	2685.0
1104	941.0	1170.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2860.0	2301.0
1101	117.0	70.0
3762	775.0	1097.0
100873424	0.0	0.0
3763	7.0	13.0
100128640	98.0	90.0
100873423	0.0	0.0
3764	638.0	771.0
100873422	0.0	0.0
3765	2.0	2.0
100873421	0.0	2.0
3766	67.0	94.0
100873428	0.0	0.0
3767	634.0	378.0
100873427	0.0	0.0
3768	541.0	333.0
1109	1.0	0.0
100873426	1.0	0.0
1108	19652.0	26716.0
3769	114.0	222.0
100873425	1.0	1.0
100128637	2.0	0.0
100128639	1.0	0.0
3780	13.0	9.0
100873453	0.0	0.0
3781	23.0	79.0
100873452	0.0	0.0
3782	1131.0	2916.0
100873451	0.0	0.0
3783	194.0	936.0
100873450	0.0	0.0
1121	2107.0	1647.0
100861468	0.0	0.0
1120	325.0	300.0
100861469	0.0	0.0
1118	534.0	7367.0
1117	941.0	1001.0
1116	718.0	11430.0
1114	74.0	159.0
1113	8.0	15.0
1112	3308.0	2822.0
1111	223.0	329.0
3773	48116.0	96657.0
100873457	0.0	1.0
100873456	1.0	0.0
3775	1067.0	1642.0
100873455	0.0	0.0
3776	609.0	109.0
100873454	0.0	0.0
3777	712.0	1349.0
3778	415.0	691.0
3779	153.0	519.0
100873459	0.0	0.0
1119	2412.0	2066.0
100128627	0.0	2.0
100128626	0.0	0.0
3790	147.0	431.0
100128628	7.0	4.0
3791	5610.0	11907.0
100873442	0.0	0.0
3792	79.0	8.0
100873441	0.0	1.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	9.0	7.0
1131	330.0	992.0
1130	2835.0	3298.0
100861476	1.0	0.0
1129	0.0	0.0
1128	5.0	9.0
1124	762.0	1659.0
1123	741.0	884.0
1122	1159.0	687.0
100861470	0.0	1.0
3784	13457.0	8055.0
100873446	1.0	0.0
3785	9.0	25.0
100873445	0.0	0.0
3786	140.0	1039.0
100873444	0.0	0.0
3787	87.0	31.0
100873443	0.0	0.0
3788	4.0	8.0
100873449	10.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	138.0	106.0
100128618	1.0	0.0
728597	6.0	2.0
100128617	7.0	15.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	57.0	33.0
100873473	0.0	0.0
100873472	0.0	1.0
1143	21.0	32.0
285634	4.0	2.0
1142	1.0	0.0
1141	6.0	7.0
285636	2245.0	2218.0
1140	1600.0	2007.0
728599	3.0	3.0
1139	61.0	47.0
1138	18.0	14.0
1137	282.0	53.0
100861485	0.0	0.0
1136	14.0	10.0
1135	1.0	5.0
1134	10.0	40.0
1133	11.0	11.0
3795	125.0	97.0
100873479	2.0	6.0
3796	1413.0	807.0
100873478	0.0	0.0
3797	1200.0	980.0
100873477	1.0	4.0
3798	53.0	186.0
100873476	0.0	0.0
3799	11063.0	12432.0
100873460	0.0	0.0
728586	9.0	20.0
285641	0.0	1.0
100873464	4.0	2.0
100873463	0.0	0.0
100873462	2.0	3.0
285643	2.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4269.0	3697.0
1153	22267.0	28705.0
1152	16761.0	10064.0
285647	76.0	18.0
728589	15.0	18.0
728588	0.0	0.0
1149	5.0	2.0
1147	2037.0	1507.0
1146	3.0	2.0
1145	63.0	173.0
1144	1.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	3.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	355.0	725.0
1163	638.0	657.0
285659	0.0	0.0
1161	502.0	377.0
1160	228.0	269.0
1159	123.0	40.0
1158	4.0	4.0
1157	0.0	0.0
1155	2345.0	3744.0
550643	2181.0	2871.0
283025	0.0	0.0
100873499	0.0	1.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	1.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2757.0	2838.0
1175	2076.0	3037.0
285668	18.0	8.0
1174	1511.0	2525.0
1173	16781.0	20108.0
550631	374.0	506.0
100873489	0.0	0.0
283014	16.0	16.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	417.0	108.0
1186	3884.0	4718.0
1185	1810.0	1521.0
1184	695.0	413.0
1183	1910.0	1560.0
1182	6832.0	5438.0
1181	363.0	334.0
440375	67.0	69.0
1180	10.0	3.0
1179	0.0	0.0
1178	0.0	0.0
283089	16.0	10.0
85495	0.0	0.0
85480	105.0	75.0
283080	1.0	0.0
1198	3222.0	3963.0
1197	2.0	0.0
1196	2401.0	2405.0
1195	7004.0	9433.0
440366	2.0	0.0
1193	4664.0	4190.0
1192	13652.0	21992.0
1191	101933.0	240397.0
1188	1241.0	453.0
283078	40.0	731.0
85486	4.0	6.0
128615	0.0	0.0
85481	0.0	0.0
128611	468.0	87.0
440396	48.0	39.0
128609	0.0	0.0
128602	0.0	0.0
440387	6.0	4.0
128674	6.0	1.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	4.0
126014	106.0	190.0
440335	8.0	445.0
100128690	0.0	0.0
114034	1228.0	1313.0
126006	43.0	55.0
114036	322.0	270.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	55.0	54.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	4.0	1.0
100128678	1.0	3.0
100861429	0.0	0.0
128653	0.0	1.0
200728	292.0	386.0
440356	3.0	1.0
440354	83.0	73.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	1.0
128646	2.0	3.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	6.0	11.0
100873410	0.0	0.0
100873417	1.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	153.0	145.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	56.0	39.0
200734	3590.0	5061.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	2.0	0.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	1.0	1.0
100128665	0.0	0.0
128637	4186.0	4194.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	8.0	5.0
165530	48.0	20.0
85409	28.0	80.0
106481385	0.0	0.0
106481386	2.0	0.0
85416	2.0	1.0
106481383	2.0	1.0
85417	57.0	29.0
106481384	0.0	0.0
103106903	3.0	2.0
85414	223.0	170.0
106481389	0.0	0.0
85415	691.0	457.0
106481387	0.0	0.0
85413	6.0	1.0
106481388	3.0	1.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1127.0	1075.0
12	4.0	3.0
13	3.0	0.0
14	7937.0	8264.0
15	22.0	5.0
16	15703.0	10343.0
645455	52.0	35.0
18	4874.0	5275.0
19	1842.0	3719.0
128580	2.0	11.0
85407	96.0	164.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1969.0	1439.0
106481395	1.0	0.0
85403	1668.0	2083.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	7061.0	7890.0
106481390	0.0	0.0
21	8792.0	6493.0
106481391	0.0	0.0
22	1202.0	1036.0
153571	129.0	67.0
153572	148.0	84.0
23	5202.0	4473.0
24	136.0	119.0
25	13714.0	13638.0
26	31.0	108.0
27	1748.0	2962.0
28	2470.0	2172.0
29	3422.0	7551.0
153579	1084.0	2028.0
728615	0.0	1.0
728614	0.0	0.0
200765	407.0	270.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	34.0	86.0
102466518	0.0	0.0
102466516	18.0	13.0
102466515	0.0	0.0
106481363	1.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1660.0	1013.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	3104.0	3055.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	275.0	227.0
106481366	0.0	0.0
30	3231.0	4684.0
106481360	0.0	0.0
31	2844.0	2849.0
32	7621.0	2646.0
33	1824.0	1287.0
34	4805.0	2503.0
35	2044.0	2005.0
153562	4339.0	3360.0
36	2292.0	1436.0
37	27050.0	33276.0
38	6736.0	3497.0
440307	11.0	6.0
39	750.0	626.0
165545	6.0	3.0
106481369	0.0	0.0
728606	107.0	159.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	2.0
106481379	0.0	0.0
106481376	1.0	1.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	0.0
106481370	0.0	0.0
41	169.0	248.0
106481371	0.0	0.0
43	226.0	260.0
645486	0.0	0.0
47	8256.0	7877.0
48	4193.0	4764.0
49	17.0	33.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	1.0	2.0
106481341	0.0	0.0
106481342	5.0	2.0
106481340	0.0	0.0
