id	d0b25a83-b0a8-4466-b928-18b68e33dd17	59d90fcf-e519-4e32-87cd-eb920cf3b588
100873329	0.0	0.0
285590	1000.0	2385.0
100873328	0.0	0.0
3669	1477.0	1038.0
100873327	0.0	0.0
1009	686.0	1240.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	0.0
728477	7.0	10.0
3680	5717.0	19333.0
3681	70.0	18.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	713.0	611.0
100873353	1.0	0.0
3683	2657.0	667.0
100873352	0.0	0.0
128710	617.0	784.0
3684	523.0	1439.0
100873351	0.0	0.0
285512	63.0	106.0
1022	852.0	2243.0
285513	849.0	644.0
1021	1362.0	1324.0
1020	725.0	841.0
440299	0.0	0.0
1019	3475.0	5084.0
128709	0.0	0.0
1018	7.0	29.0
1017	654.0	1392.0
1016	2.0	0.0
1015	4.0	3.0
1014	6409.0	73.0
1013	7.0	92.0
1012	460.0	1844.0
116730	21.0	9.0
3674	110.0	98.0
100873358	0.0	0.0
3675	12889.0	95493.0
100873357	0.0	0.0
3676	811.0	359.0
100128731	5353.0	7751.0
100873356	0.0	0.0
3678	1998.0	3386.0
3679	1057.0	2460.0
100873359	0.0	0.0
728464	47.0	8.0
728463	4.0	52.0
100128725	0.0	0.0
3690	1546.0	4697.0
3691	1718.0	11811.0
100873343	0.0	0.0
3692	5046.0	7765.0
3693	3587.0	8887.0
285521	825.0	1258.0
100873342	0.0	0.0
3694	1098.0	6329.0
100873341	1.0	0.0
3695	399.0	4544.0
100873340	0.0	0.0
100128723	0.0	4.0
1033	58.0	45.0
1032	310.0	372.0
285525	10.0	3.0
1031	563.0	644.0
285527	1995.0	2887.0
1030	54.0	1091.0
728468	0.0	0.0
440288	65.0	86.0
1029	27.0	127.0
440295	65.0	133.0
1028	466.0	382.0
1027	3967.0	3761.0
1026	1312.0	31917.0
1025	2441.0	4583.0
1024	541.0	788.0
3685	9575.0	32425.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	731.0	1994.0
100873345	0.0	0.0
3688	9105.0	17247.0
100873344	1.0	1.0
3689	3442.0	4681.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	2.0
100873370	0.0	0.0
728498	16.0	28.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	41.0	50.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	31.0	75.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	13.0	2.0
1043	3219.0	1059.0
1041	2.0	132.0
1040	4157.0	7815.0
1039	4135.0	3532.0
1038	1.0	4.0
1036	522.0	1683.0
3696	743.0	3303.0
3697	8.0	2.0
100873379	0.0	0.0
3698	8.0	22.0
100873378	0.0	3.0
3699	74.0	105.0
100873377	0.0	0.0
728486	6.0	4.0
100873361	0.0	0.0
105373869	0.0	7.0
100873360	0.0	0.0
285540	74.0	55.0
100128705	2.0	0.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	2.0	3.0
1054	1729.0	2418.0
285547	0.0	0.0
1053	10.0	15.0
285548	1.0	4.0
1052	573.0	3930.0
1051	1824.0	3075.0
728489	4.0	20.0
1050	672.0	376.0
100128707	0.0	0.0
1048	333.0	19.0
1047	20.0	65.0
1046	0.0	1.0
1045	3.0	2.0
100873369	4.0	3.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	2.0
1066	250.0	73.0
1063	197.0	364.0
1062	115.0	148.0
1061	1.0	0.0
1060	1405.0	1740.0
440253	154.0	214.0
1059	4942.0	7948.0
1058	35.0	18.0
1057	0.0	1.0
85379	5807.0	7612.0
114112	571.0	674.0
1056	15.0	37.0
85377	1880.0	3024.0
85378	1961.0	3641.0
128745	1.0	0.0
85376	42.0	38.0
440248	223.0	426.0
1075	4402.0	44829.0
1074	1.0	8.0
1073	2202.0	2258.0
1072	28337.0	38516.0
1071	298.0	38.0
440243	0.0	0.0
1070	669.0	764.0
1069	4935.0	4755.0
1068	0.0	0.0
85369	1516.0	2325.0
85366	17.0	18.0
85364	1522.0	2087.0
85365	2805.0	3592.0
85363	1423.0	2438.0
85360	564.0	557.0
1080	12.0	77.0
85391	0.0	2.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	330.0	453.0
1087	0.0	1.0
1086	0.0	0.0
440279	80.0	77.0
1085	2.0	0.0
1084	2.0	1.0
440278	136.0	156.0
1082	0.0	0.0
403294	0.0	0.0
440275	3420.0	4649.0
1081	0.0	2.0
85397	867.0	12.0
85395	358.0	542.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	1047.0	4296.0
1089	7.0	13.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	8.0	147.0
285598	243.0	583.0
126133	1741.0	2035.0
128790	1.0	0.0
126129	110.0	94.0
126123	11.0	12.0
442862	0.0	0.0
126119	1017.0	1358.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	36.0	20.0
442897	0.0	0.0
442898	0.0	0.0
114134	284.0	1218.0
442899	0.0	0.0
100128790	1.0	0.0
128760	3.0	4.0
100128788	36.0	50.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	3.0
442890	0.0	0.0
442891	0.0	7.0
442892	1.0	1.0
128756	0.0	1.0
100128782	372.0	453.0
100128781	5.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	6.0	0.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	63.0	57.0
102466616	0.0	0.0
126052	0.0	0.0
151009	87.0	111.0
403227	0.0	0.0
403228	0.0	0.0
138046	8.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	1.0	14.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	687.0	862.0
107131122	0.0	0.0
138050	5283.0	10327.0
403219	0.0	0.0
151011	2800.0	4485.0
645587	1.0	2.0
165679	9.0	26.0
126037	41.0	20.0
114049	4285.0	6001.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	2.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	616.0	517.0
100033821	1.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1888.0	2692.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	254.0	323.0
100033820	0.0	0.0
106481480	0.0	2.0
106481481	0.0	0.0
138065	2.0	5.0
645598	1.0	1.0
163007	1.0	1.0
114038	0.0	1.0
645591	0.0	1.0
106481495	0.0	0.0
114041	111.0	29.0
106481496	0.0	0.0
114042	4.0	5.0
106481493	0.0	0.0
114043	21.0	1.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	110.0	195.0
126017	578.0	553.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3.0	2.0
85301	551.0	544.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	450.0	310.0
106481459	0.0	0.0
26994	7342.0	11645.0
106481457	4.0	5.0
26995	1950.0	2737.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	10.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3781.0	5371.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	1.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	2.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1780.0	2823.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	1.0	15.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	9.0	145.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	517.0	576.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	4.0
106481437	0.0	0.0
26974	336.0	346.0
153657	49.0	31.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	835.0	1273.0
165631	248.0	353.0
106481436	0.0	0.0
26978	10.0	14.0
126075	1000.0	1540.0
106481439	0.0	0.0
403250	0.0	0.0
126074	262.0	275.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3080.0	3609.0
106481444	1.0	5.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1135.0	2130.0
85354	0.0	0.0
85352	61.0	62.0
403241	4.0	0.0
344462	2.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	658.0	484.0
153643	85.0	112.0
403247	0.0	0.0
403248	0.0	0.0
26985	2508.0	3415.0
106481448	0.0	0.0
26986	38518.0	67347.0
126069	76.0	82.0
106481449	0.0	0.0
126068	794.0	1051.0
106481446	0.0	0.0
26983	0.0	0.0
26984	857.0	1199.0
106481447	0.0	0.0
106481451	3.0	2.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	42.0	18.0
106481455	0.0	0.0
85349	80.0	103.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	17.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	2.0
100873392	7.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	1.0	0.0
63901	1461.0	6139.0
100873390	0.0	0.0
728556	33.0	55.0
106481419	3.0	0.0
100128817	0.0	0.0
728558	67.0	102.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	316.0	521.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	7.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	158.0	253.0
100873384	0.0	0.0
285601	12.0	45.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	4.0	0.0
63910	116.0	536.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	797.0	798.0
222008	13.0	6.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	4498.0	4091.0
63904	0.0	0.0
106481430	2.0	3.0
163071	345.0	835.0
63906	870.0	1087.0
106481433	0.0	0.0
63908	745.0	994.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	8.0
285613	52.0	96.0
63920	490.0	522.0
63923	85.0	31.0
63922	316.0	740.0
728577	6.0	11.0
63925	1319.0	1866.0
63924	3.0	37.0
63916	2642.0	5287.0
63917	3882.0	5506.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	5.0	3.0
728564	6.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1270.0	1952.0
106481402	0.0	2.0
63931	1765.0	1611.0
106481403	0.0	0.0
63934	683.0	1227.0
728567	2.0	3.0
106481408	0.0	0.0
163088	2.0	7.0
63933	3228.0	4103.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4283.0	4293.0
163087	833.0	874.0
728568	444.0	489.0
106481407	5.0	11.0
3704	2109.0	2989.0
3705	3815.0	7709.0
63926	758.0	775.0
3706	12.0	103.0
63929	881.0	940.0
3707	2444.0	2946.0
63928	0.0	1.0
3708	9492.0	1320.0
106481411	0.0	1.0
3709	1794.0	4100.0
106481412	0.0	0.0
106481410	1.0	0.0
3700	14.0	13.0
3702	546.0	146.0
3703	10598.0	10330.0
645506	1.0	0.0
151050	1003.0	1630.0
645520	0.0	0.0
63941	1206.0	1676.0
63940	1726.0	661.0
63943	671.0	716.0
728517	0.0	0.0
163033	534.0	896.0
258010	3659.0	6649.0
63947	1.0	0.0
63946	0.0	0.0
728513	1.0	0.0
100033803	0.0	0.0
3716	9835.0	16683.0
100033804	0.0	0.0
3717	777.0	919.0
100033805	0.0	0.0
3718	1358.0	677.0
63939	1075.0	1533.0
100033806	0.0	2.0
100190799	4.0	4.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	75.0	95.0
3710	7660.0	30081.0
3712	15524.0	15136.0
3713	0.0	1523.0
3714	1248.0	3128.0
63950	5.0	2.0
728505	0.0	0.0
63951	383.0	557.0
100033807	0.0	0.0
728501	51.0	38.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	2403.0	13101.0
100033814	0.0	0.0
3727	4715.0	10272.0
63948	13.0	2.0
100033815	0.0	0.0
222052	1.0	0.0
3728	23306.0	33957.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	855.0	939.0
151056	133.0	156.0
3725	8321.0	14215.0
645528	2.0	0.0
728532	29.0	45.0
163059	424.0	565.0
728538	2.0	0.0
728537	93.0	192.0
63967	53.0	125.0
3737	132.0	14.0
3738	100.0	47.0
3739	4.0	1.0
645538	0.0	0.0
3730	1865.0	4231.0
3732	2891.0	4650.0
3734	46.0	69.0
3735	7007.0	8534.0
3736	78.0	1.0
63970	2.0	0.0
3750	99.0	312.0
63971	4260.0	5997.0
63974	0.0	0.0
163049	3018.0	2932.0
63973	2.0	12.0
63976	3089.0	1449.0
222068	15077.0	15893.0
63978	0.0	0.0
63977	442.0	620.0
63979	329.0	868.0
728524	0.0	0.0
3748	1537.0	2287.0
163051	70.0	72.0
3749	628.0	652.0
163050	54.0	54.0
3741	68.0	89.0
645548	3.0	4.0
3743	0.0	0.0
3744	0.0	1.0
3745	47.0	37.0
3746	10.0	5.0
3747	0.0	0.0
285671	1821.0	2024.0
285672	1418.0	2161.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	4.0	7.0
285676	55.0	135.0
3761	1.0	2.0
100128657	0.0	0.0
285679	3.0	5.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	94.0	1873.0
283008	1.0	2.0
3751	27.0	19.0
100873435	0.0	0.0
3752	159.0	89.0
100873434	0.0	0.0
3753	0.0	7.0
100873433	0.0	0.0
3754	13.0	22.0
100873432	0.0	0.0
3755	13.0	7.0
100873439	0.0	0.0
3756	4.0	13.0
100873438	0.0	0.0
3757	51.0	20.0
100873437	0.0	0.0
3758	37.0	20.0
100873436	0.0	0.0
100873420	1.0	2.0
3770	74.0	81.0
3772	8977.0	16015.0
100861458	0.0	0.0
100861453	17.0	12.0
100861455	0.0	0.0
1107	11129.0	7991.0
1106	5923.0	9656.0
1105	1524.0	2646.0
1104	878.0	1956.0
100873429	0.0	0.0
1103	0.0	2.0
1102	2517.0	2362.0
1101	61.0	63.0
3762	161.0	580.0
100873424	0.0	0.0
3763	13.0	1.0
100128640	132.0	151.0
100873423	0.0	0.0
3764	451.0	258.0
100873422	0.0	0.0
3765	1.0	5.0
100873421	1.0	0.0
3766	87.0	56.0
100873428	0.0	0.0
3767	417.0	769.0
100873427	0.0	0.0
3768	184.0	165.0
1109	0.0	0.0
100873426	2.0	1.0
1108	15155.0	32850.0
3769	187.0	23.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	6.0	5.0
100873453	0.0	0.0
3781	22.0	63.0
100873452	0.0	0.0
3782	468.0	1081.0
100873451	0.0	0.0
3783	276.0	5076.0
100873450	0.0	0.0
1121	1166.0	2088.0
100861468	0.0	0.0
1120	146.0	282.0
100861469	0.0	1.0
1118	886.0	21262.0
1117	1389.0	5183.0
1116	173.0	12365.0
1114	989.0	1058.0
1113	956.0	14.0
1112	2150.0	3067.0
1111	283.0	657.0
3773	15794.0	31421.0
100873457	1.0	5.0
100873456	1.0	1.0
3775	625.0	1711.0
100873455	0.0	0.0
3776	1265.0	72.0
100873454	0.0	0.0
3777	1071.0	1010.0
3778	288.0	557.0
3779	155.0	247.0
100873459	0.0	0.0
1119	2162.0	2006.0
100128627	0.0	3.0
100128626	0.0	0.0
3790	144.0	635.0
100128628	3.0	4.0
3791	6510.0	7009.0
100873442	0.0	0.0
3792	66.0	14.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	8.0
1131	183.0	143.0
1130	1351.0	5674.0
100861476	1.0	0.0
1129	0.0	0.0
1128	3.0	0.0
1124	725.0	1622.0
1123	710.0	805.0
1122	775.0	1245.0
100861470	1.0	0.0
3784	10088.0	5371.0
100873446	0.0	0.0
3785	4.0	4.0
100873445	2.0	0.0
3786	66.0	4690.0
100873444	0.0	0.0
3787	11.0	27.0
100873443	0.0	0.0
3788	4.0	17.0
100873449	0.0	5.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	118.0	309.0
100128618	0.0	1.0
728597	1.0	0.0
100128617	8.0	9.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	34.0	49.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	25.0	53.0
285634	4.0	11.0
1142	1.0	0.0
1141	5.0	13.0
285636	1961.0	2845.0
1140	1151.0	1705.0
728599	2.0	0.0
1139	32.0	28.0
1138	7.0	22.0
1137	139.0	15.0
100861485	0.0	0.0
1136	58.0	11.0
1135	2.0	0.0
1134	1.0	4.0
1133	5.0	8.0
3795	154.0	167.0
100873479	9.0	28.0
3796	973.0	1344.0
100873478	0.0	0.0
3797	568.0	865.0
100873477	0.0	1.0
3798	158.0	86.0
100873476	0.0	0.0
3799	6881.0	13546.0
100873460	0.0	0.0
728586	5.0	20.0
285641	0.0	4.0
100873464	0.0	1.0
100873463	0.0	0.0
100873462	0.0	1.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	1405.0	2314.0
1153	24179.0	29280.0
1152	13734.0	4696.0
285647	23.0	19.0
728589	2.0	11.0
728588	1.0	0.0
1149	1.0	6.0
1147	1167.0	1671.0
1146	0.0	0.0
1145	61.0	103.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	298.0	1051.0
1163	473.0	777.0
285659	0.0	0.0
1161	367.0	476.0
1160	261.0	233.0
1159	170.0	59.0
1158	3.0	4.0
1157	0.0	0.0
1155	1967.0	3666.0
550643	2225.0	3251.0
283025	1.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2368.0	4813.0
1175	2428.0	2677.0
285668	7.0	2.0
1174	1605.0	3357.0
1173	16309.0	28209.0
550631	301.0	302.0
100873489	0.0	0.0
283014	21.0	22.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	316.0	18.0
1186	3502.0	6855.0
1185	1106.0	1456.0
1184	491.0	579.0
1183	1582.0	1690.0
1182	4515.0	6188.0
1181	299.0	446.0
440375	26.0	50.0
1180	6.0	6.0
1179	1.0	0.0
1178	0.0	0.0
283089	23.0	9.0
85495	0.0	0.0
85480	42.0	138.0
283080	0.0	0.0
1198	2665.0	3187.0
1197	2.0	0.0
1196	1403.0	2186.0
1195	2432.0	6214.0
440366	0.0	1.0
1193	3165.0	4405.0
1192	11874.0	27880.0
1191	132734.0	565796.0
1188	2284.0	164.0
283078	46.0	206.0
85486	2.0	4.0
128615	0.0	0.0
85481	1.0	0.0
128611	347.0	39.0
440396	25.0	29.0
128609	0.0	0.0
128602	0.0	0.0
440387	1.0	3.0
128674	5.0	0.0
128676	1.0	0.0
114026	0.0	0.0
100861402	0.0	1.0
126014	80.0	556.0
440335	20.0	22.0
100128690	0.0	0.0
114034	978.0	1415.0
126006	27.0	32.0
114036	215.0	228.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	44.0	27.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	4.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	293.0	495.0
440356	1.0	4.0
440354	23.0	61.0
440352	1.0	0.0
100873419	1.0	0.0
100873418	0.0	1.0
100873413	0.0	0.0
128646	2.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	0.0	16.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	68.0	130.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	49.0	55.0
200734	1980.0	4653.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	4.0	7.0
100873402	0.0	0.0
100873401	3.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3033.0	4434.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	2.0	0.0
645443	11.0	3.0
165530	1.0	8.0
85409	47.0	113.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	3.0	2.0
85417	27.0	36.0
106481384	0.0	0.0
103106903	3.0	1.0
85414	100.0	161.0
106481389	0.0	0.0
85415	684.0	846.0
106481387	0.0	0.0
85413	2.0	2.0
106481388	0.0	0.0
645436	3.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	794.0	1325.0
12	2.0	3.0
13	0.0	1.0
14	7954.0	9131.0
15	6.0	5.0
16	12385.0	12932.0
645455	8.0	15.0
18	5655.0	6730.0
19	1448.0	3338.0
128580	4.0	6.0
85407	61.0	83.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1335.0	1532.0
106481395	0.0	0.0
85403	1160.0	2016.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	6063.0	10316.0
106481390	0.0	0.0
21	6829.0	8954.0
106481391	0.0	0.0
22	968.0	1608.0
153571	182.0	898.0
153572	126.0	1127.0
23	4292.0	4341.0
24	58.0	288.0
25	8017.0	10790.0
26	55.0	122.0
27	1157.0	3164.0
28	3497.0	3403.0
29	2706.0	8820.0
153579	525.0	343.0
728615	0.0	0.0
728614	0.0	0.0
200765	210.0	177.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	20.0	20.0
102466518	0.0	0.0
102466516	5.0	7.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1505.0	2114.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	2113.0	3008.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	115.0	214.0
106481366	0.0	0.0
30	3315.0	5110.0
106481360	0.0	0.0
31	2203.0	2973.0
32	3474.0	1533.0
33	1094.0	1882.0
34	3110.0	2797.0
35	2141.0	2110.0
153562	3906.0	3539.0
36	2234.0	1946.0
37	14453.0	28314.0
38	4675.0	3936.0
440307	5.0	5.0
39	784.0	913.0
165545	2.0	3.0
106481369	0.0	0.0
728606	19.0	2.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	5.0
106481370	0.0	0.0
41	28.0	53.0
106481371	0.0	1.0
43	230.0	41.0
645486	0.0	0.0
47	4928.0	6459.0
48	4325.0	9094.0
49	12.0	14.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	2.0	3.0
106481340	0.0	0.0
85458	2323.0	2036.0
106481345	0.0	0.0
