id	15e2962d-44df-4c43-85d4-a58ca3299da2	702f5f23-47cb-49bd-ac6c-eb9eca14f028
440224	0.0	0.0
442890	0.0	0.0
442891	4.0	6.0
442892	1.0	3.0
128756	0.0	0.0
100128782	569.0	275.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	5.0	2.0
403234	1.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	217.0	22.0
102466616	0.0	0.0
126052	0.0	0.0
151009	160.0	83.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	27.0	2.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1059.0	1519.0
107131122	0.0	2.0
138050	10815.0	9166.0
403219	0.0	0.0
151011	4229.0	2394.0
645587	1.0	0.0
165679	32.0	46.0
126037	24.0	18.0
114049	6191.0	9221.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	1.0
106481484	0.0	0.0
106481485	0.0	10.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	463.0	374.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3177.0	2236.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	248.0	190.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	21.0	413.0
645598	0.0	0.0
163007	1.0	1.0
114038	0.0	2.0
645591	0.0	1.0
106481495	1.0	0.0
114041	147.0	291.0
106481496	0.0	0.0
114042	12.0	30.0
106481493	0.0	0.0
114043	140.0	154.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	252.0	391.0
126017	902.0	334.0
106481497	0.0	5.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	5.0
85301	1505.0	4088.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	3.0
403275	0.0	0.0
102466656	1.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	556.0	218.0
106481459	0.0	0.0
26994	9028.0	4954.0
106481457	8.0	11.0
26995	3087.0	2604.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	18.0
403272	0.0	0.0
102466659	0.0	0.0
26999	5495.0	1621.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	21.0
106481460	2.0	10.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3991.0	5510.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	2.0
403266	1.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	14.0	5.0
106481472	1.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	17.0	12.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	744.0	365.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	12.0
106481437	0.0	0.0
26974	792.0	585.0
153657	81.0	203.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1601.0	1816.0
165631	37.0	70.0
106481436	0.0	2.0
26978	9.0	19.0
126075	1574.0	1847.0
106481439	0.0	0.0
403250	0.0	0.0
126074	445.0	404.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	1.0	0.0
85359	4564.0	4321.0
106481444	21.0	26.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4024.0	2350.0
85354	0.0	0.0
85352	47.0	432.0
403241	9.0	36.0
344462	1.0	6.0
403244	0.0	0.0
403245	0.0	8.0
153642	846.0	415.0
153643	372.0	107.0
403247	0.0	0.0
403248	0.0	0.0
26985	4527.0	1174.0
106481448	0.0	0.0
26986	59395.0	68124.0
126069	192.0	104.0
106481449	0.0	0.0
126068	1281.0	1816.0
106481446	0.0	0.0
26983	1.0	0.0
26984	1285.0	1052.0
106481447	0.0	0.0
106481451	3.0	5.0
106481452	0.0	2.0
106481450	0.0	0.0
114088	86.0	102.0
106481455	0.0	0.0
85349	315.0	15.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	6.0
106481454	0.0	0.0
403238	0.0	0.0
85344	69.0	4.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	2.0
100873394	0.0	0.0
100873393	0.0	1.0
100873392	0.0	11.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	2.0
63901	3441.0	4632.0
100873390	0.0	0.0
728556	45.0	26.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	170.0	124.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	701.0	383.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	1.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	287.0	127.0
100873384	0.0	0.0
285601	6.0	23.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	0.0	2.0
63910	103.0	4069.0
106481424	0.0	1.0
106481425	0.0	0.0
285605	911.0	220.0
222008	33.0	8.0
106481428	0.0	2.0
106481429	0.0	0.0
63905	5929.0	4703.0
63904	0.0	0.0
106481430	2.0	0.0
163071	829.0	659.0
63906	1446.0	861.0
106481433	0.0	0.0
63908	1495.0	1409.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	1.0
100873389	0.0	0.0
100873388	7.0	14.0
285613	129.0	176.0
63920	1118.0	1028.0
63923	562.0	5.0
63922	665.0	1852.0
728577	18.0	4.0
63925	2427.0	2503.0
63924	38.0	5.0
63916	4802.0	2502.0
63917	6927.0	3227.0
106481400	0.0	4.0
106481401	0.0	0.0
728562	0.0	4.0
728564	0.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2400.0	934.0
106481402	0.0	0.0
63931	2848.0	1062.0
106481403	0.0	0.0
63934	1624.0	4288.0
728567	8.0	8.0
106481408	0.0	0.0
163088	18.0	9.0
63933	5121.0	1619.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	7294.0	3604.0
163087	1243.0	1097.0
728568	832.0	970.0
106481407	12.0	18.0
3704	4552.0	3990.0
3705	6446.0	7773.0
63926	1812.0	329.0
3706	26.0	110.0
63929	1759.0	1252.0
3707	3826.0	1529.0
63928	0.0	2.0
3708	18210.0	7833.0
106481411	1.0	1.0
3709	2718.0	1478.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	27.0	39.0
3702	46.0	26.0
3703	17716.0	7093.0
645506	0.0	0.0
151050	2428.0	1360.0
645520	0.0	0.0
63941	2821.0	2650.0
63940	283.0	864.0
63943	1061.0	699.0
728517	0.0	0.0
163033	1832.0	3975.0
258010	3847.0	4761.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	12328.0	4278.0
100033804	0.0	0.0
3717	786.0	268.0
100033805	0.0	0.0
3718	257.0	5120.0
63939	1471.0	2189.0
100033806	0.0	0.0
100190799	3.0	9.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	156.0	240.0
3710	17489.0	13914.0
3712	25417.0	6452.0
3713	2.0	6.0
3714	1671.0	1149.0
63950	4.0	11.0
728505	0.0	0.0
63951	558.0	414.0
100033807	0.0	0.0
728501	16.0	21.0
100033808	1.0	0.0
100033809	0.0	0.0
3726	55715.0	14940.0
100033814	0.0	0.0
3727	33381.0	30685.0
63948	92.0	582.0
100033815	0.0	0.0
222052	0.0	1.0
3728	32004.0	19247.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1580.0	1531.0
151056	532.0	171.0
3725	175230.0	5637.0
645528	0.0	0.0
728532	16.0	3.0
163059	772.0	643.0
728538	1.0	1.0
728537	341.0	1041.0
63967	23.0	25.0
3737	186.0	0.0
3738	34.0	17.0
3739	17.0	4.0
645538	0.0	0.0
3730	2697.0	4056.0
3732	3962.0	766.0
3734	1.0	0.0
3735	9297.0	5399.0
3736	295.0	0.0
63970	10.0	6.0
3750	215.0	538.0
63971	9332.0	2648.0
63974	0.0	0.0
163049	4930.0	3192.0
63973	2.0	0.0
63976	6795.0	4070.0
222068	26225.0	19473.0
63978	0.0	0.0
63977	844.0	902.0
63979	563.0	1266.0
728524	0.0	0.0
3748	2941.0	7952.0
163051	100.0	205.0
3749	987.0	1781.0
163050	74.0	25.0
3741	158.0	44.0
645548	6.0	5.0
3743	9.0	10.0
3744	0.0	0.0
3745	62.0	12.0
3746	20.0	18.0
3747	0.0	2.0
285671	2399.0	801.0
285672	2081.0	2993.0
100873431	0.0	1.0
100873430	0.0	0.0
3760	4.0	14.0
285676	183.0	119.0
3761	3.0	41.0
100128657	0.0	0.0
285679	4.0	9.0
100861449	4.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	211.0	4680.0
283008	0.0	0.0
3751	69.0	96.0
100873435	0.0	0.0
3752	289.0	7.0
100873434	0.0	0.0
3753	4.0	5.0
100873433	0.0	0.0
3754	11.0	38.0
100873432	0.0	0.0
3755	2.0	89.0
100873439	0.0	0.0
3756	12.0	76.0
100873438	0.0	0.0
3757	36.0	892.0
100873437	0.0	0.0
3758	70.0	11.0
100873436	0.0	0.0
100873420	0.0	2.0
3770	296.0	283.0
3772	27027.0	14518.0
100861458	0.0	3.0
100861453	39.0	23.0
100861455	0.0	0.0
1107	18727.0	10332.0
1106	11892.0	12747.0
1105	2388.0	3655.0
1104	1514.0	3189.0
100873429	0.0	0.0
1103	0.0	0.0
1102	4726.0	1715.0
1101	243.0	172.0
3762	1412.0	293.0
100873424	0.0	0.0
3763	1.0	3.0
100128640	310.0	207.0
100873423	0.0	0.0
3764	1045.0	158.0
100873422	0.0	0.0
3765	1.0	6.0
100873421	0.0	0.0
3766	100.0	101.0
100873428	0.0	0.0
3767	1052.0	638.0
100873427	0.0	0.0
3768	1015.0	103.0
1109	0.0	0.0
100873426	4.0	1.0
1108	26945.0	26959.0
3769	454.0	5.0
100873425	0.0	0.0
100128637	0.0	2.0
100128639	0.0	0.0
3780	21.0	199.0
100873453	0.0	0.0
3781	22.0	13.0
100873452	0.0	0.0
3782	953.0	168.0
100873451	0.0	0.0
3783	44.0	10834.0
100873450	0.0	0.0
1121	2075.0	837.0
100861468	0.0	0.0
1120	271.0	581.0
100861469	0.0	0.0
1118	510.0	122.0
1117	1513.0	79.0
1116	357.0	4296.0
1114	66.0	373.0
1113	3.0	0.0
1112	3869.0	974.0
1111	421.0	462.0
3773	34586.0	10038.0
100873457	3.0	3.0
100873456	1.0	0.0
3775	1333.0	2579.0
100873455	0.0	0.0
3776	4266.0	54.0
100873454	0.0	0.0
3777	2813.0	1129.0
3778	940.0	254.0
3779	235.0	85.0
100873459	0.0	0.0
1119	5430.0	4402.0
100128627	0.0	7.0
100128626	0.0	0.0
3790	249.0	1648.0
100128628	4.0	14.0
3791	7354.0	572.0
100873442	0.0	0.0
3792	26.0	32.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	9.0	2.0
1131	422.0	428.0
1130	1970.0	2078.0
100861476	0.0	1.0
1129	13.0	0.0
1128	21.0	0.0
1124	1503.0	632.0
1123	502.0	416.0
1122	1008.0	1072.0
100861470	0.0	0.0
3784	26226.0	4099.0
100873446	0.0	0.0
3785	3.0	2.0
100873445	0.0	0.0
3786	153.0	1491.0
100873444	0.0	0.0
3787	28.0	1.0
100873443	0.0	0.0
3788	62.0	1.0
100873449	10.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	1.0	0.0
283050	244.0	606.0
100128618	1.0	0.0
728597	5.0	2.0
100128617	7.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	47.0	127.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	42.0	35.0
285634	6.0	0.0
1142	0.0	0.0
1141	11.0	49.0
285636	3155.0	2555.0
1140	2419.0	1616.0
728599	5.0	0.0
1139	105.0	70.0
1138	22.0	67.0
1137	605.0	5.0
100861485	0.0	0.0
1136	20.0	15.0
1135	4.0	4.0
1134	23.0	2.0
1133	8.0	10.0
3795	192.0	44.0
100873479	20.0	2.0
3796	1151.0	396.0
100873478	0.0	0.0
3797	1495.0	1046.0
100873477	2.0	2.0
3798	162.0	4608.0
100873476	0.0	0.0
3799	10382.0	5798.0
100873460	0.0	0.0
728586	18.0	13.0
285641	1.0	1.0
100873464	5.0	12.0
100873463	0.0	2.0
100873462	1.0	3.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2873.0	2377.0
1153	45136.0	43417.0
1152	25263.0	5350.0
285647	71.0	2.0
728589	5.0	9.0
728588	0.0	1.0
1149	38.0	3.0
1147	1853.0	660.0
1146	6.0	3.0
1145	28.0	280.0
1144	12.0	15.0
100873468	0.0	0.0
100873467	0.0	1.0
100873466	0.0	1.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	479.0	1913.0
1163	692.0	306.0
285659	0.0	0.0
1161	564.0	285.0
1160	497.0	570.0
1159	189.0	323.0
1158	2165.0	39.0
1157	0.0	0.0
1155	3910.0	7490.0
550643	2959.0	3365.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	2.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3223.0	2907.0
1175	3608.0	3691.0
285668	13.0	0.0
1174	2471.0	5289.0
1173	21622.0	29029.0
550631	618.0	875.0
100873489	0.0	0.0
283014	31.0	114.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	889.0	281.0
1186	8222.0	6049.0
1185	2712.0	2039.0
1184	1112.0	374.0
1183	3118.0	695.0
1182	7724.0	3710.0
1181	714.0	997.0
440375	62.0	9.0
1180	15.0	47.0
1179	0.0	5.0
1178	1.0	4.0
283089	37.0	44.0
85495	0.0	0.0
85480	106.0	129.0
283080	0.0	2.0
1198	5666.0	4720.0
1197	3.0	0.0
1196	3437.0	5875.0
1195	7834.0	15546.0
440366	1.0	1.0
1193	4721.0	2969.0
1192	14959.0	20310.0
1191	193208.0	194938.0
1188	4340.0	415.0
283078	62.0	34.0
85486	6.0	16.0
128615	0.0	0.0
85481	0.0	0.0
128611	113.0	11.0
440396	66.0	111.0
128609	0.0	0.0
128602	3.0	0.0
440387	0.0	9.0
128674	0.0	0.0
128676	0.0	1.0
114026	0.0	0.0
100861402	10.0	8.0
126014	59.0	149.0
440335	29.0	206.0
100128690	0.0	0.0
114034	1754.0	978.0
126006	85.0	287.0
114036	474.0	141.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	146.0	139.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	7.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	588.0	298.0
440356	7.0	51.0
440354	78.0	69.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	54.0
100873410	0.0	0.0
100873417	0.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	13.0	11.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	158.0	429.0
200734	4844.0	4057.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	10.0
100873408	0.0	0.0
100873407	0.0	1.0
100861430	14.0	3.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	2.0	0.0
100128665	0.0	0.0
128637	6479.0	3381.0
100873406	0.0	0.0
100873405	1.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	7.0	2.0
165530	6.0	21.0
85409	38.0	80.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	2.0	8.0
85417	67.0	39.0
106481384	0.0	1.0
103106903	3.0	6.0
85414	199.0	451.0
106481389	0.0	0.0
85415	1085.0	429.0
106481387	0.0	0.0
85413	0.0	1.0
106481388	6.0	7.0
645436	1.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	0.0	1.0
106481380	0.0	0.0
11	0.0	0.0
403341	1532.0	1495.0
12	1.0	0.0
13	2.0	1.0
14	12872.0	7828.0
15	21.0	19.0
16	19630.0	4165.0
645455	8.0	5.0
18	14111.0	5156.0
19	2465.0	3989.0
128580	3.0	11.0
85407	155.0	537.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2623.0	575.0
106481395	0.0	1.0
85403	2364.0	1386.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	15251.0	16474.0
106481390	0.0	0.0
21	16195.0	7324.0
106481391	0.0	0.0
22	1720.0	768.0
153571	86.0	17.0
153572	68.0	11.0
23	7261.0	2377.0
24	192.0	251.0
25	15853.0	8867.0
26	33.0	5740.0
27	2146.0	1457.0
28	12497.0	9174.0
29	3434.0	8156.0
153579	1149.0	134.0
728615	0.0	1.0
728614	0.0	0.0
200765	663.0	994.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	44.0	56.0
102466518	0.0	0.0
102466516	5.0	4.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2362.0	2458.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2782.0	1585.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	220.0	711.0
106481366	0.0	0.0
30	4693.0	5206.0
106481360	0.0	0.0
31	3462.0	1557.0
32	8271.0	1065.0
33	1309.0	393.0
34	3904.0	1311.0
35	4555.0	1289.0
153562	7646.0	1886.0
36	3212.0	543.0
37	33689.0	43683.0
38	6129.0	458.0
440307	14.0	20.0
39	863.0	414.0
165545	4.0	16.0
106481369	0.0	2.0
728606	177.0	159.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	4.0	8.0
106481379	0.0	0.0
106481376	1.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	2.0	57.0
106481370	0.0	0.0
41	77.0	232.0
106481371	0.0	0.0
43	233.0	403.0
645486	0.0	0.0
47	8582.0	3853.0
48	7140.0	9723.0
49	17.0	110.0
106481338	0.0	0.0
106481339	1.0	6.0
106481336	0.0	0.0
106481337	3.0	2.0
106481341	0.0	0.0
106481342	4.0	1.0
