id	cde6f32e-abc0-40a5-9e70-632efc716c67	3511dd71-059e-4e36-8aa3-1fdc5758f830
100128733	0.0	0.0
100873354	0.0	0.0
3682	672.0	712.0
100873353	0.0	0.0
3683	227.0	575.0
100873352	0.0	0.0
128710	868.0	677.0
3684	117.0	878.0
100873351	0.0	0.0
285512	90.0	70.0
1022	1169.0	2129.0
285513	526.0	410.0
1021	1320.0	437.0
1020	606.0	889.0
440299	2.0	0.0
1019	3451.0	4933.0
128709	0.0	0.0
1018	18.0	23.0
1017	867.0	1200.0
1016	0.0	1.0
1015	4.0	16.0
1014	5748.0	43.0
1013	0.0	29.0
1012	559.0	440.0
116730	4.0	14.0
3674	149.0	27.0
100873358	0.0	0.0
3675	25788.0	90450.0
100873357	0.0	1.0
3676	100.0	238.0
100128731	6312.0	7186.0
100873356	0.0	0.0
3678	1690.0	1486.0
3679	420.0	1162.0
100873359	0.0	0.0
728464	134.0	3.0
728463	16.0	79.0
100128725	0.0	0.0
3690	2993.0	2481.0
3691	2172.0	3913.0
100873343	0.0	0.0
3692	5670.0	6618.0
3693	5125.0	5459.0
285521	1357.0	1407.0
100873342	0.0	0.0
3694	1540.0	2443.0
100873341	0.0	0.0
3695	112.0	252.0
100873340	0.0	0.0
100128723	1.0	1.0
1033	15.0	45.0
1032	158.0	254.0
285525	5.0	11.0
1031	478.0	610.0
285527	2363.0	1934.0
1030	38.0	1083.0
728468	1.0	0.0
440288	91.0	66.0
1029	7.0	1351.0
440295	137.0	97.0
1028	1064.0	567.0
1027	4758.0	5414.0
1026	4180.0	13502.0
1025	2755.0	4859.0
1024	827.0	684.0
3685	17952.0	27599.0
100873347	0.0	0.0
100873346	1.0	0.0
3687	66.0	1584.0
100873345	0.0	0.0
3688	10783.0	10895.0
100873344	0.0	0.0
3689	574.0	3856.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	45.0	25.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	65.0	29.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	18.0	31.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	1.0
1043	261.0	790.0
1041	3.0	46.0
1040	8391.0	6246.0
1039	4463.0	2685.0
1038	1.0	2.0
1036	230.0	239.0
3696	1590.0	3206.0
3697	2.0	1.0
100873379	0.0	0.0
3698	2.0	10.0
100873378	1.0	1.0
3699	64.0	9.0
100873377	0.0	0.0
728486	2.0	8.0
100873361	0.0	0.0
105373869	0.0	3.0
100873360	0.0	0.0
285540	160.0	139.0
100128705	0.0	1.0
100873365	2.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	1.0
100873362	0.0	0.0
100128701	0.0	6.0
1054	2730.0	1283.0
285547	0.0	0.0
1053	0.0	0.0
285548	4.0	0.0
1052	4773.0	8594.0
1051	2416.0	3245.0
728489	14.0	10.0
1050	1173.0	304.0
100128707	0.0	0.0
1048	1.0	2.0
1047	6.0	35.0
1046	0.0	0.0
1045	1.0	1.0
100873369	1.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	284.0	7.0
1063	60.0	251.0
1062	71.0	114.0
1061	7.0	6.0
1060	1842.0	1714.0
440253	250.0	172.0
1059	6941.0	7784.0
1058	8.0	21.0
1057	3.0	1.0
85379	12930.0	7216.0
114112	679.0	483.0
1056	9.0	22.0
85377	2244.0	1871.0
85378	2602.0	3682.0
128745	0.0	0.0
85376	34.0	93.0
440248	327.0	286.0
1075	4218.0	67018.0
1074	8.0	13.0
1073	3346.0	2172.0
1072	26203.0	32674.0
1071	66.0	24.0
440243	0.0	0.0
1070	844.0	896.0
1069	6087.0	4441.0
1068	0.0	1.0
85369	1657.0	2160.0
85366	63.0	5.0
85364	2334.0	2118.0
85365	4232.0	3739.0
85363	1844.0	1741.0
85360	627.0	403.0
1080	15.0	137.0
85391	5.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	447.0	348.0
1087	1.0	0.0
1086	0.0	0.0
440279	100.0	77.0
1085	0.0	2.0
1084	0.0	5.0
440278	206.0	123.0
1082	0.0	0.0
403294	5.0	0.0
440275	5174.0	3873.0
1081	0.0	3.0
85397	945.0	16.0
85395	378.0	526.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	2182.0	4566.0
1089	0.0	6.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	33.0	117.0
285598	346.0	367.0
126133	2113.0	2156.0
128790	0.0	0.0
126129	69.0	35.0
126123	11.0	0.0
442862	0.0	0.0
126119	2175.0	1607.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	0.0	1.0
442896	0.0	0.0
114132	42.0	20.0
442897	0.0	0.0
442898	0.0	0.0
114134	395.0	1075.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	5.0
100128788	50.0	26.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	1.0
442890	0.0	0.0
442891	4.0	3.0
442892	2.0	0.0
128756	0.0	0.0
100128782	282.0	247.0
100128781	1.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	4.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	142.0	83.0
102466616	0.0	0.0
126052	0.0	0.0
151009	146.0	36.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	2.0	4.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	999.0	47.0
107131122	1.0	0.0
138050	7913.0	10956.0
403219	0.0	0.0
151011	3951.0	2969.0
645587	0.0	0.0
165679	16.0	6.0
126037	17.0	23.0
114049	4813.0	5018.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	2.0	2.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	394.0	232.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2785.0	3013.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	208.0	214.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	8.0	668.0
645598	0.0	0.0
163007	2.0	4.0
114038	0.0	1.0
645591	0.0	0.0
106481495	1.0	0.0
114041	178.0	37.0
106481496	0.0	0.0
114042	5.0	4.0
106481493	0.0	0.0
114043	28.0	6.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	150.0	116.0
126017	764.0	571.0
106481497	1.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	3.0
85301	519.0	181.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	1.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	798.0	393.0
106481459	0.0	0.0
26994	12775.0	11082.0
106481457	3.0	3.0
26995	2341.0	2288.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3099.0	3599.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	0.0
106481460	2.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2503.0	2581.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	2.0	19.0
106481472	0.0	0.0
106481477	3.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	12.0	14.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	696.0	502.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	11.0
106481437	0.0	0.0
26974	448.0	386.0
153657	55.0	20.0
106481438	2.0	0.0
106481435	0.0	0.0
26973	1562.0	1483.0
165631	36.0	465.0
106481436	6.0	4.0
26978	8.0	9.0
126075	1177.0	1213.0
106481439	0.0	0.0
403250	0.0	0.0
126074	262.0	257.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3196.0	4524.0
106481444	9.0	8.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1331.0	1215.0
85354	0.0	0.0
85352	74.0	15.0
403241	4.0	1.0
344462	0.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	807.0	480.0
153643	160.0	61.0
403247	0.0	0.0
403248	0.0	0.0
26985	4317.0	3519.0
106481448	0.0	0.0
26986	36385.0	79135.0
126069	108.0	81.0
106481449	0.0	0.0
126068	1379.0	916.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1099.0	1042.0
106481447	0.0	0.0
106481451	3.0	1.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	11.0	27.0
106481455	0.0	0.0
85349	106.0	20.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	0.0	2.0
106481454	0.0	0.0
403238	0.0	0.0
85344	25.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	2.0
100873392	4.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	3.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1865.0	5143.0
100873390	0.0	0.0
728556	31.0	55.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	106.0	68.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	481.0	465.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	235.0	211.0
100873384	0.0	0.0
285601	2.0	12.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	1.0	0.0
63910	97.0	72.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1191.0	712.0
222008	22.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	5086.0	3261.0
63904	0.0	0.0
106481430	0.0	0.0
163071	821.0	1578.0
63906	826.0	1076.0
106481433	0.0	0.0
63908	990.0	754.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	7.0	8.0
285613	67.0	79.0
63920	613.0	729.0
63923	50.0	9.0
63922	208.0	454.0
728577	9.0	2.0
63925	1418.0	1675.0
63924	1.0	0.0
63916	3261.0	5197.0
63917	5695.0	4985.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	2.0	6.0
728564	4.0	4.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1600.0	1865.0
106481402	0.0	0.0
63931	2559.0	1541.0
106481403	2.0	0.0
63934	646.0	1195.0
728567	1.0	6.0
106481408	0.0	0.0
163088	7.0	5.0
63933	5064.0	4930.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4827.0	5017.0
163087	1113.0	751.0
728568	836.0	460.0
106481407	6.0	10.0
3704	3809.0	2977.0
3705	4634.0	4943.0
63926	1316.0	1144.0
3706	20.0	23.0
63929	1234.0	953.0
3707	1759.0	2608.0
63928	1.0	1.0
3708	12807.0	786.0
106481411	0.0	0.0
3709	2506.0	3536.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	21.0	9.0
3702	71.0	175.0
3703	14696.0	9390.0
645506	0.0	1.0
151050	1760.0	2036.0
645520	0.0	0.0
63941	1807.0	1006.0
63940	186.0	539.0
63943	872.0	592.0
728517	0.0	0.0
163033	717.0	1518.0
258010	5620.0	6863.0
63947	0.0	0.0
63946	0.0	1.0
728513	0.0	0.0
100033803	0.0	0.0
3716	9056.0	11953.0
100033804	0.0	0.0
3717	781.0	697.0
100033805	0.0	0.0
3718	85.0	1238.0
63939	1188.0	1467.0
100033806	0.0	0.0
100190799	2.0	3.0
100033800	0.0	0.0
100033801	0.0	1.0
100033802	0.0	0.0
344405	151.0	113.0
3710	14268.0	28424.0
3712	20550.0	12588.0
3713	0.0	25.0
3714	818.0	877.0
63950	1.0	1.0
728505	0.0	0.0
63951	551.0	545.0
100033807	0.0	0.0
728501	42.0	31.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	11973.0	17744.0
100033814	0.0	0.0
3727	17571.0	13955.0
63948	12.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	30355.0	36120.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	898.0	779.0
151056	82.0	103.0
3725	36091.0	10922.0
645528	0.0	0.0
728532	25.0	28.0
163059	684.0	406.0
728538	0.0	0.0
728537	171.0	160.0
63967	10.0	39.0
3737	37.0	1.0
3738	20.0	11.0
3739	4.0	0.0
645538	0.0	0.0
3730	3541.0	3387.0
3732	2413.0	3054.0
3734	46.0	31.0
3735	7135.0	7972.0
3736	203.0	0.0
63970	6.0	1.0
3750	113.0	198.0
63971	4515.0	3932.0
63974	0.0	0.0
163049	3978.0	2820.0
63973	1.0	2.0
63976	3919.0	1307.0
222068	18624.0	16175.0
63978	0.0	0.0
63977	453.0	463.0
63979	386.0	798.0
728524	0.0	0.0
3748	1370.0	1608.0
163051	80.0	69.0
3749	577.0	147.0
163050	70.0	33.0
3741	43.0	17.0
645548	1.0	1.0
3743	2.0	0.0
3744	0.0	3.0
3745	26.0	7.0
3746	11.0	2.0
3747	0.0	1.0
285671	2417.0	1306.0
285672	2316.0	1859.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	2.0	0.0
285676	91.0	151.0
3761	1.0	2.0
100128657	0.0	0.0
285679	1.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	123.0	1757.0
283008	1.0	0.0
3751	25.0	0.0
100873435	0.0	0.0
3752	413.0	7.0
100873434	0.0	0.0
3753	4.0	9.0
100873433	0.0	0.0
3754	42.0	1.0
100873432	0.0	0.0
3755	7.0	6.0
100873439	0.0	0.0
3756	2.0	5.0
100873438	0.0	0.0
3757	11.0	10.0
100873437	0.0	0.0
3758	287.0	8.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	70.0	61.0
3772	15470.0	30592.0
100861458	0.0	0.0
100861453	30.0	14.0
100861455	0.0	0.0
1107	12883.0	7209.0
1106	8431.0	6899.0
1105	2050.0	2849.0
1104	983.0	2297.0
100873429	0.0	0.0
1103	0.0	29.0
1102	2669.0	1632.0
1101	98.0	32.0
3762	1259.0	56.0
100873424	0.0	0.0
3763	1.0	1.0
100128640	148.0	208.0
100873423	0.0	0.0
3764	365.0	68.0
100873422	0.0	0.0
3765	0.0	0.0
100873421	0.0	0.0
3766	29.0	18.0
100873428	0.0	0.0
3767	1317.0	670.0
100873427	0.0	0.0
3768	221.0	90.0
1109	0.0	0.0
100873426	2.0	1.0
1108	20045.0	29670.0
3769	39.0	6.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	5.0	7.0
100873453	0.0	0.0
3781	4.0	19.0
100873452	0.0	0.0
3782	506.0	112.0
100873451	0.0	0.0
3783	35.0	5868.0
100873450	0.0	0.0
1121	1889.0	1857.0
100861468	0.0	0.0
1120	197.0	164.0
100861469	0.0	0.0
1118	403.0	2009.0
1117	1009.0	3508.0
1116	176.0	169940.0
1114	102.0	5764.0
1113	2.0	0.0
1112	2630.0	2580.0
1111	343.0	472.0
3773	42337.0	36898.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	1279.0	2201.0
100873455	0.0	0.0
3776	1404.0	64.0
100873454	0.0	0.0
3777	1208.0	374.0
3778	129.0	60.0
3779	75.0	105.0
100873459	0.0	0.0
1119	3152.0	1904.0
100128627	0.0	0.0
100128626	3.0	1.0
3790	442.0	1990.0
100128628	5.0	5.0
3791	2514.0	914.0
100873442	0.0	0.0
3792	8.0	13.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	8.0	4.0
1131	111.0	120.0
1130	2188.0	5244.0
100861476	0.0	0.0
1129	1.0	0.0
1128	10.0	0.0
1124	621.0	1194.0
1123	369.0	432.0
1122	1340.0	1154.0
100861470	0.0	0.0
3784	17551.0	6264.0
100873446	0.0	0.0
3785	1.0	1.0
100873445	1.0	1.0
3786	164.0	4099.0
100873444	0.0	0.0
3787	8.0	1.0
100873443	0.0	0.0
3788	4.0	1.0
100873449	7.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	242.0	234.0
100128618	0.0	0.0
728597	5.0	0.0
100128617	3.0	4.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	77.0	57.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	10.0	1.0
285634	1.0	4.0
1142	0.0	0.0
1141	14.0	9.0
285636	2906.0	2736.0
1140	2126.0	1757.0
728599	2.0	1.0
1139	40.0	32.0
1138	9.0	4.0
1137	442.0	0.0
100861485	0.0	0.0
1136	2.0	2.0
1135	6.0	3.0
1134	1.0	4.0
1133	2.0	6.0
3795	133.0	56.0
100873479	8.0	20.0
3796	1113.0	943.0
100873478	0.0	0.0
3797	836.0	174.0
100873477	1.0	1.0
3798	105.0	21.0
100873476	0.0	0.0
3799	11791.0	11718.0
100873460	0.0	0.0
728586	14.0	8.0
285641	0.0	0.0
100873464	3.0	0.0
100873463	1.0	0.0
100873462	2.0	0.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	3642.0	4158.0
1153	22014.0	22652.0
1152	23339.0	5162.0
285647	24.0	13.0
728589	5.0	3.0
728588	0.0	0.0
1149	0.0	0.0
1147	1792.0	1480.0
1146	1.0	0.0
1145	66.0	38.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	285.0	1173.0
1163	570.0	638.0
285659	0.0	0.0
1161	579.0	361.0
1160	1234.0	127.0
1159	222.0	54.0
1158	2.0	4.0
1157	0.0	1.0
1155	3270.0	4150.0
550643	2786.0	2577.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	1.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3361.0	4746.0
1175	1969.0	2305.0
285668	6.0	1.0
1174	1948.0	3168.0
1173	17349.0	22632.0
550631	447.0	243.0
100873489	0.0	0.0
283014	35.0	6.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	668.0	3.0
1186	3914.0	6251.0
1185	1428.0	1618.0
1184	684.0	419.0
1183	2242.0	1734.0
1182	6352.0	5596.0
1181	385.0	405.0
440375	45.0	53.0
1180	1.0	4.0
1179	0.0	1.0
1178	0.0	1.0
283089	28.0	6.0
85495	0.0	0.0
85480	102.0	34.0
283080	0.0	0.0
1198	3171.0	3004.0
1197	0.0	3.0
1196	1440.0	2405.0
1195	4651.0	5968.0
440366	0.0	0.0
1193	6566.0	5505.0
1192	15500.0	21518.0
1191	157233.0	707984.0
1188	2934.0	26.0
283078	190.0	364.0
85486	0.0	3.0
128615	0.0	0.0
85481	0.0	0.0
128611	90.0	43.0
440396	42.0	29.0
128609	0.0	0.0
128602	0.0	0.0
440387	1.0	0.0
128674	0.0	0.0
128676	1.0	0.0
114026	1.0	0.0
100861402	0.0	3.0
126014	23.0	346.0
440335	25.0	1.0
100128690	0.0	0.0
114034	1033.0	1006.0
126006	34.0	43.0
114036	189.0	34.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	37.0	55.0
100861412	0.0	0.0
105180390	0.0	1.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	473.0	842.0
440356	3.0	3.0
440354	51.0	48.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	2.0	0.0
100873413	0.0	0.0
128646	0.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	3.0	11.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	111.0	128.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	42.0	279.0
200734	3277.0	5454.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	5.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	8.0	1.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	1.0
128637	3677.0	3895.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	1.0	3.0
165530	5.0	74.0
85409	19.0	4.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	1.0	1.0
85417	50.0	54.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	106.0	135.0
106481389	0.0	0.0
85415	947.0	744.0
106481387	0.0	0.0
85413	0.0	2.0
106481388	4.0	3.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	5.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1076.0	1171.0
12	1.0	1.0
13	15.0	0.0
14	8745.0	7877.0
15	9.0	2.0
16	11475.0	6951.0
645455	10.0	15.0
18	8087.0	11262.0
19	2648.0	4371.0
128580	1.0	8.0
85407	61.0	18.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1766.0	1416.0
106481395	1.0	0.0
85403	1739.0	1937.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	7909.0	7522.0
106481390	0.0	0.0
21	9274.0	7072.0
106481391	0.0	0.0
22	1207.0	1524.0
153571	246.0	3.0
153572	177.0	6.0
23	4404.0	3722.0
24	71.0	105.0
25	12065.0	10266.0
26	28.0	30.0
27	1438.0	1739.0
28	3447.0	2742.0
29	2665.0	10165.0
153579	330.0	55.0
728615	0.0	0.0
728614	0.0	0.0
200765	237.0	209.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	34.0	38.0
102466518	0.0	0.0
102466516	49.0	5.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2080.0	1013.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	3075.0	2693.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	226.0	231.0
106481366	0.0	0.0
30	3503.0	4064.0
106481360	0.0	0.0
31	2524.0	1682.0
32	3581.0	782.0
33	1717.0	1692.0
34	5020.0	2342.0
35	2703.0	2441.0
153562	5730.0	3643.0
36	2935.0	1684.0
37	16185.0	18073.0
38	7400.0	3944.0
440307	5.0	4.0
39	797.0	913.0
165545	4.0	0.0
106481369	0.0	0.0
728606	235.0	275.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	1.0	3.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	10.0	0.0
106481370	0.0	0.0
41	22.0	38.0
106481371	0.0	0.0
43	91.0	24.0
645486	0.0	0.0
47	7458.0	6088.0
48	4811.0	12060.0
49	6.0	25.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	0.0	3.0
106481340	0.0	0.0
85458	3427.0	1079.0
106481345	0.0	0.0
