id	4ead28da-fe94-4379-b369-c1ceb4d1f2f0	253954ed-6f83-44ab-b6bc-694fec051c1d
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	386.0	269.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1932.0	1579.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	9.0	15.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	17.0	9.0
645598	0.0	0.0
163007	0.0	0.0
114038	0.0	3.0
645591	0.0	0.0
106481495	1.0	1.0
114041	11.0	0.0
106481496	0.0	0.0
114042	4.0	7.0
106481493	0.0	0.0
114043	13.0	60.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	108.0	169.0
126017	348.0	340.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	1.0
85301	909.0	1025.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	579.0	189.0
106481459	0.0	0.0
26994	4745.0	4475.0
106481457	5.0	7.0
26995	2523.0	2136.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	37.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2319.0	2287.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	3.0	2.0
106481460	2.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3114.0	3537.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	10.0	1.0
106481472	0.0	0.0
106481477	2.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	10.0	69.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	380.0	364.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	15.0
106481437	0.0	0.0
26974	381.0	264.0
153657	68.0	35.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	548.0	1102.0
165631	17.0	26.0
106481436	0.0	0.0
26978	11.0	6.0
126075	2206.0	2620.0
106481439	0.0	0.0
403250	0.0	0.0
126074	403.0	512.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4741.0	5136.0
106481444	12.0	6.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1060.0	1401.0
85354	0.0	0.0
85352	19.0	17.0
403241	4.0	6.0
344462	2.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	403.0	232.0
153643	212.0	139.0
403247	0.0	0.0
403248	0.0	0.0
26985	1943.0	1189.0
106481448	0.0	0.0
26986	20260.0	27246.0
126069	83.0	95.0
106481449	0.0	0.0
126068	822.0	975.0
106481446	0.0	0.0
26983	0.0	0.0
26984	958.0	742.0
106481447	0.0	0.0
106481451	0.0	4.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	15.0	2.0
106481455	0.0	0.0
85349	57.0	25.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	0.0	2.0
85347	0.0	0.0
26980	1.0	0.0
106481454	0.0	0.0
403238	0.0	0.0
85344	43.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	1.0	1.0
100873393	0.0	0.0
100873392	0.0	6.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	1.0
100128811	0.0	11.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	1620.0	3377.0
100873390	0.0	0.0
728556	28.0	20.0
106481419	2.0	1.0
100128817	1.0	0.0
728558	44.0	207.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	252.0	274.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	55.0	35.0
100873384	1.0	0.0
285601	2.0	1.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	0.0
63910	62.0	52.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	370.0	210.0
222008	71.0	0.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	6811.0	3493.0
63904	0.0	0.0
106481430	0.0	0.0
163071	969.0	227.0
63906	1032.0	845.0
106481433	0.0	0.0
63908	943.0	730.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	2.0
285613	74.0	191.0
63920	575.0	649.0
63923	246.0	68.0
63922	490.0	742.0
728577	3.0	23.0
63925	1662.0	1717.0
63924	21.0	0.0
63916	2185.0	3571.0
63917	4389.0	3526.0
106481400	0.0	5.0
106481401	0.0	0.0
728562	2.0	3.0
728564	7.0	9.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1442.0	665.0
106481402	0.0	0.0
63931	2244.0	1276.0
106481403	0.0	0.0
63934	822.0	828.0
728567	5.0	1.0
106481408	0.0	0.0
163088	8.0	5.0
63933	3812.0	3568.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4709.0	2611.0
163087	702.0	551.0
728568	753.0	590.0
106481407	9.0	25.0
3704	4458.0	4952.0
3705	4355.0	4981.0
63926	627.0	560.0
3706	33.0	29.0
63929	1133.0	908.0
3707	1400.0	1630.0
63928	1.0	0.0
3708	6549.0	2001.0
106481411	1.0	1.0
3709	837.0	2392.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	11.0	20.0
3702	69.0	28.0
3703	12563.0	7502.0
645506	0.0	0.0
151050	906.0	789.0
645520	0.0	0.0
63941	2883.0	3056.0
63940	312.0	477.0
63943	1063.0	489.0
728517	0.0	0.0
163033	927.0	1326.0
258010	3511.0	4293.0
63947	0.0	1.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	4952.0	4255.0
100033804	0.0	0.0
3717	326.0	152.0
100033805	0.0	0.0
3718	174.0	2270.0
63939	628.0	867.0
100033806	0.0	0.0
100190799	0.0	11.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	134.0	143.0
3710	4779.0	3631.0
3712	12099.0	7324.0
3713	0.0	3.0
3714	672.0	1161.0
63950	2.0	1.0
728505	0.0	0.0
63951	393.0	311.0
100033807	0.0	0.0
728501	68.0	80.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	10743.0	6150.0
100033814	0.0	0.0
3727	7635.0	12448.0
63948	2.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	16310.0	7030.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	2.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	660.0	903.0
151056	86.0	49.0
3725	20855.0	3620.0
645528	2.0	2.0
728532	18.0	9.0
163059	746.0	588.0
728538	0.0	0.0
728537	208.0	696.0
63967	1.0	51.0
3737	38.0	9.0
3738	17.0	1.0
3739	2.0	0.0
645538	0.0	0.0
3730	983.0	2491.0
3732	2900.0	923.0
3734	0.0	0.0
3735	7462.0	6286.0
3736	178.0	0.0
63970	15.0	2.0
3750	86.0	119.0
63971	3277.0	2880.0
63974	0.0	0.0
163049	1971.0	1551.0
63973	1.0	3.0
63976	2918.0	1232.0
222068	16398.0	13115.0
63978	0.0	0.0
63977	391.0	483.0
63979	173.0	221.0
728524	0.0	0.0
3748	406.0	2749.0
163051	113.0	132.0
3749	498.0	652.0
163050	32.0	34.0
3741	56.0	2.0
645548	10.0	20.0
3743	1.0	5.0
3744	0.0	0.0
3745	32.0	48.0
3746	7.0	24.0
3747	0.0	0.0
285671	1197.0	373.0
285672	1670.0	2787.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	2.0	2.0
285676	71.0	107.0
3761	8.0	1.0
100128657	0.0	0.0
285679	0.0	8.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	41.0	4757.0
283008	27.0	17.0
3751	22.0	3.0
100873435	0.0	0.0
3752	58.0	3.0
100873434	0.0	0.0
3753	0.0	2.0
100873433	0.0	0.0
3754	0.0	16.0
100873432	0.0	0.0
3755	5.0	3.0
100873439	0.0	0.0
3756	1.0	10.0
100873438	0.0	0.0
3757	12.0	5.0
100873437	0.0	0.0
3758	758.0	16.0
100873436	0.0	0.0
100873420	4.0	0.0
3770	88.0	88.0
3772	15833.0	19083.0
100861458	0.0	0.0
100861453	20.0	6.0
100861455	0.0	0.0
1107	8826.0	6913.0
1106	5956.0	6745.0
1105	809.0	1698.0
1104	866.0	1870.0
100873429	0.0	0.0
1103	0.0	0.0
1102	2754.0	1389.0
1101	119.0	23.0
3762	731.0	199.0
100873424	0.0	0.0
3763	0.0	1.0
100128640	143.0	56.0
100873423	0.0	0.0
3764	980.0	293.0
100873422	0.0	0.0
3765	1.0	1.0
100873421	0.0	0.0
3766	56.0	222.0
100873428	0.0	0.0
3767	592.0	1181.0
100873427	0.0	0.0
3768	240.0	192.0
1109	0.0	0.0
100873426	2.0	1.0
1108	15783.0	18372.0
3769	132.0	2.0
100873425	0.0	0.0
100128637	0.0	1.0
100128639	0.0	0.0
3780	11.0	5.0
100873453	0.0	0.0
3781	32.0	36.0
100873452	0.0	0.0
3782	330.0	658.0
100873451	0.0	0.0
3783	76.0	29.0
100873450	0.0	0.0
1121	803.0	861.0
100861468	0.0	0.0
1120	501.0	495.0
100861469	0.0	0.0
1118	163.0	8.0
1117	712.0	770.0
1116	227.0	249.0
1114	44.0	6.0
1113	0.0	1.0
1112	1073.0	862.0
1111	453.0	634.0
3773	13650.0	24837.0
100873457	0.0	0.0
100873456	0.0	2.0
3775	871.0	766.0
100873455	0.0	0.0
3776	464.0	206.0
100873454	0.0	0.0
3777	873.0	3460.0
3778	92.0	100.0
3779	57.0	46.0
100873459	0.0	0.0
1119	3416.0	4621.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	325.0	766.0
100128628	1.0	0.0
3791	3175.0	3083.0
100873442	0.0	0.0
3792	25.0	6.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	4.0	2.0
1131	144.0	914.0
1130	779.0	1643.0
100861476	0.0	0.0
1129	0.0	0.0
1128	5.0	9.0
1124	404.0	3182.0
1123	290.0	216.0
1122	409.0	451.0
100861470	0.0	0.0
3784	19959.0	13273.0
100873446	0.0	0.0
3785	6.0	3.0
100873445	0.0	0.0
3786	33.0	77.0
100873444	0.0	0.0
3787	2.0	0.0
100873443	0.0	0.0
3788	13.0	1.0
100873449	1.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	191.0	71.0
100128618	0.0	3.0
728597	8.0	1.0
100128617	0.0	5.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	19.0	19.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	6.0	11.0
285634	0.0	0.0
1142	0.0	0.0
1141	5.0	1.0
285636	1110.0	1735.0
1140	2632.0	4253.0
728599	1.0	0.0
1139	19.0	66.0
1138	8.0	62.0
1137	601.0	81.0
100861485	0.0	0.0
1136	6.0	2.0
1135	0.0	1.0
1134	0.0	2.0
1133	3.0	10.0
3795	214.0	46.0
100873479	10.0	1.0
3796	433.0	278.0
100873478	0.0	0.0
3797	398.0	155.0
100873477	0.0	1.0
3798	12.0	16.0
100873476	0.0	0.0
3799	3820.0	5358.0
100873460	0.0	0.0
728586	15.0	39.0
285641	0.0	0.0
100873464	0.0	0.0
100873463	0.0	0.0
100873462	0.0	2.0
285643	0.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2414.0	2607.0
1153	36907.0	22776.0
1152	27968.0	7377.0
285647	17.0	8.0
728589	4.0	0.0
728588	0.0	0.0
1149	17.0	0.0
1147	985.0	1016.0
1146	2.0	7.0
1145	18.0	82.0
1144	3.0	15.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	1.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	329.0	2569.0
1163	820.0	332.0
285659	0.0	0.0
1161	495.0	401.0
1160	1497.0	923.0
1159	184.0	275.0
1158	4.0	2.0
1157	0.0	0.0
1155	3216.0	5101.0
550643	3215.0	3869.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	1.0	0.0
100873483	0.0	0.0
1176	2287.0	1923.0
1175	3864.0	4372.0
285668	16.0	0.0
1174	2370.0	2993.0
1173	17277.0	18913.0
550631	530.0	685.0
100873489	0.0	0.0
283014	27.0	26.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	2228.0	606.0
1186	3132.0	5602.0
1185	1121.0	1158.0
1184	406.0	238.0
1183	1054.0	815.0
1182	2725.0	2989.0
1181	477.0	726.0
440375	3.0	8.0
1180	6.0	1.0
1179	0.0	0.0
1178	2.0	0.0
283089	36.0	18.0
85495	0.0	0.0
85480	61.0	51.0
283080	0.0	0.0
1198	3657.0	3876.0
1197	1.0	0.0
1196	2470.0	2526.0
1195	6491.0	9484.0
440366	0.0	0.0
1193	3143.0	1727.0
1192	17102.0	15597.0
1191	134637.0	111145.0
1188	2307.0	270.0
283078	22.0	510.0
85486	3.0	12.0
128615	0.0	0.0
85481	0.0	0.0
128611	65.0	20.0
440396	59.0	55.0
128609	0.0	0.0
128602	3.0	0.0
440387	2.0	0.0
128674	1.0	0.0
128676	0.0	1.0
114026	0.0	1.0
100861402	3.0	11.0
126014	56.0	66.0
440335	122.0	1154.0
100128690	0.0	0.0
114034	1239.0	924.0
126006	245.0	663.0
114036	310.0	61.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	77.0	133.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	3.0
100128678	0.0	2.0
100861429	0.0	0.0
128653	0.0	1.0
200728	303.0	233.0
440356	4.0	6.0
440354	52.0	27.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	8.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	33.0
100873410	0.0	0.0
100873417	0.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	435.0	616.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	6.0	72.0
200734	1561.0	2533.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	4.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	6.0	7.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3048.0	3205.0
100873406	0.0	0.0
100873405	3.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	1.0	0.0
165530	8.0	3.0
85409	22.0	35.0
106481385	0.0	1.0
106481386	0.0	0.0
85416	1.0	0.0
106481383	0.0	0.0
85417	20.0	22.0
106481384	0.0	0.0
103106903	4.0	7.0
85414	130.0	56.0
106481389	0.0	0.0
85415	561.0	220.0
106481387	0.0	0.0
85413	0.0	3.0
106481388	0.0	0.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	1.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	461.0	738.0
12	0.0	0.0
13	3.0	1.0
14	9241.0	4804.0
15	11.0	5.0
16	14356.0	4811.0
645455	1.0	1.0
18	2523.0	4942.0
19	530.0	2189.0
128580	3.0	2.0
85407	39.0	74.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	726.0	474.0
106481395	0.0	1.0
85403	893.0	902.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	6852.0	5326.0
106481390	0.0	0.0
21	5301.0	5921.0
106481391	0.0	0.0
22	970.0	626.0
153571	120.0	1004.0
153572	68.0	313.0
23	3997.0	2083.0
24	52.0	34.0
25	5538.0	5436.0
26	33.0	566.0
27	833.0	839.0
28	6822.0	10445.0
29	1274.0	4170.0
153579	520.0	1266.0
728615	0.0	0.0
728614	0.0	0.0
200765	503.0	521.0
106481358	3.0	2.0
106481359	0.0	0.0
728611	47.0	24.0
102466518	0.0	1.0
102466516	10.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	1721.0	2116.0
106481362	0.0	0.0
106481367	1.0	0.0
85437	3909.0	2841.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	461.0	661.0
106481366	0.0	0.0
30	4052.0	4622.0
106481360	0.0	0.0
31	1450.0	2454.0
32	5458.0	1469.0
33	2584.0	1394.0
34	2495.0	599.0
35	3634.0	2045.0
153562	2889.0	4206.0
36	1707.0	596.0
37	26364.0	39788.0
38	10574.0	1820.0
440307	13.0	33.0
39	686.0	611.0
165545	3.0	1.0
106481369	0.0	0.0
728606	35.0	415.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	0.0
106481370	0.0	0.0
41	37.0	212.0
106481371	0.0	0.0
43	46.0	53.0
645486	0.0	0.0
47	3787.0	3599.0
48	4629.0	4843.0
49	3.0	4.0
106481338	0.0	0.0
106481339	0.0	1.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	2.0	3.0
106481340	0.0	1.0
85458	1410.0	249.0
106481345	1.0	2.0
85459	471.0	605.0
106481346	0.0	0.0
85456	7208.0	7019.0
442910	18.0	5.0
106481343	0.0	0.0
